sequence,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeOEJvhFXgBdmB5mBi?iBcsBzpB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeT/IvhFNlBRhBunB/?rBasB0pB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeT/IvhFNlBamBRiBW?sB0pBXsB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeNEJvhFUgBRhBunB/?rBasBzpB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeOEJvhFNlBUhB3iBq?pBxrBzrB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeT/IvhFOlBdmBRiBC?nB0pBXsB,v115@GhA8HeB8CeA8DeC8BeB8BeC8Jex/IvhFXhBiiBTkBe?qB9rBcsB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeNEJvhFRgB3iBmlBq?rBUnBzpB,v115@GhA8HeB8CeA8DeC8BeB8BeC8Je0/IvhFdmBRiB/pBq?rBTnBOqB,v115@GhA8HeB8CeA8DeC8BeB8BeC8Je0/IvhFdmBRiB2pBq?rBTnBXqB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeNEJvhFamBRiBXlBu?rBcsBzpB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeXAJvhFdmBRiB2pBS?sBzrB0pB
TIJZOLS,O,O,O,X,X,O,O,X,X,X,X,X
TIJZOSL,O,O,O,O,X,O,O,X,X,X,X,X
TIJOLSZ,O,X,X,X,X,X,O,O,X,X,X,X
TIJOLZS,O,X,O,X,X,X,O,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,O,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,O,X,X,X,X,X
TIJOZLS,O,O,O,X,X,O,O,X,X,X,X,X
TIJOZSL,O,O,O,X,X,O,O,X,X,X,X,X
TISLJZO,O,O,X,O,O,O,X,O,X,X,X,X
TISLJOZ,X,O,X,O,O,O,X,O,X,X,X,O
TISLZJO,O,O,X,O,O,O,O,X,X,X,O,X
TISLZOJ,O,O,O,O,O,O,O,X,O,X,X,X
TISLOJZ,X,O,X,O,O,O,X,X,O,X,X,X
TISLOZJ,X,O,X,O,O,O,X,X,O,X,X,X
TISJLZO,O,O,O,O,O,O,O,O,X,X,X,X
TISJLOZ,X,O,X,O,O,O,X,O,X,X,X,O
TISJZLO,O,O,O,O,O,O,O,X,X,X,X,X
TISJZOL,O,O,O,O,X,O,O,X,X,X,X,X
TISJOLZ,X,X,X,X,X,X,O,X,X,X,X,X
TISJOZL,O,O,X,O,X,O,O,X,X,X,X,X
TISZLJO,O,O,X,O,O,O,O,X,X,X,O,X
TISZLOJ,O,O,O,O,O,O,O,X,O,X,X,X
TISZJLO,O,O,O,O,O,O,O,X,X,X,O,X
TISZJOL,O,O,O,O,X,O,O,X,X,X,O,X
TISZOLJ,O,O,O,X,O,O,O,X,X,X,X,X
TISZOJL,O,O,O,O,X,O,X,X,X,X,X,X
TISOLJZ,O,X,X,X,O,X,X,X,X,X,X,X
TISOLZJ,O,X,X,X,O,X,X,X,X,X,X,X
TISOJLZ,O,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,O,X,O,X,O,X,X,X,X,X,X
TISOZLJ,O,O,X,X,O,O,O,X,X,X,X,X
TISOZJL,O,O,X,O,X,O,X,X,X,X,X,X
TIZLJSO,O,X,O,O,O,X,O,X,X,X,O,X
TIZLJOS,O,O,O,X,O,O,O,X,X,X,O,X
TIZLSJO,O,X,X,X,O,X,O,X,X,X,O,X
TIZLSOJ,O,X,O,X,O,X,O,X,X,X,X,X
TIZLOJS,O,O,O,X,O,O,O,X,X,X,X,X
TIZLOSJ,O,X,O,X,O,X,X,X,X,X,X,X
TIZJLSO,O,X,O,O,O,X,O,O,X,X,O,X
TIZJLOS,O,O,O,X,O,O,O,X,X,X,O,X
TIZJSLO,O,O,O,O,O,O,O,X,X,X,O,X
TIZJSOL,O,O,O,O,X,O,O,X,X,X,O,X
TIZJOLS,O,O,O,X,X,O,O,X,X,X,O,X
TIZJOSL,O,O,O,O,X,O,O,X,X,X,O,X
TIZSLJO,O,O,X,O,O,O,O,X,X,X,O,X
TIZSLOJ,O,O,O,O,O,O,O,X,X,X,X,X
TIZSJLO,O,O,O,O,O,O,O,X,X,X,O,X
TIZSJOL,O,O,O,O,X,O,O,X,X,X,O,X
TIZSOLJ,O,O,O,X,O,O,O,X,X,X,X,X
TIZSOJL,O,O,O,O,X,O,X,X,X,X,X,X
TIZOLJS,O,O,O,X,O,O,O,X,X,X,X,X
TIZOLSJ,O,X,O,X,O,X,X,X,X,X,X,X
TIZOJLS,O,O,O,X,X,O,O,X,X,X,X,X
TIZOJSL,O,O,O,O,X,O,O,X,X,X,X,X
TIZOSLJ,O,O,O,X,O,O,X,X,X,X,X,X
TIZOSJL,O,O,O,X,X,O,X,X,X,X,X,X
TIOLJSZ,O,X,X,X,O,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,O,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,O,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,O,X,X,X,X,X,X,X
TIOLZJS,O,X,O,X,O,X,X,X,X,X,X,X
TIOLZSJ,O,X,O,X,O,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,X,X,O,O,X,X,X,X
TIOJLZS,O,X,O,X,X,X,O,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,O,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,O,X,X,X,X,X
TIOJZLS,O,O,O,X,X,O,O,X,X,X,X,X
TIOJZSL,O,O,O,X,X,O,O,X,X,X,X,X
TIOSLJZ,O,X,X,X,O,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,O,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,O,X,X,X,X,X,X,X
TIOSZJL,O,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,O,O,O,X,O,O,O,X,X,X,X,X
TIOZLSJ,O,X,O,X,O,X,X,X,X,X,X,X
TIOZJLS,O,O,O,X,X,O,O,X,X,X,X,X
TIOZJSL,O,O,O,X,X,O,O,X,X,X,X,X
TIOZSLJ,O,X,O,X,O,X,X,X,X,X,X,X
TIOZSJL,O,O,O,X,X,O,X,X,X,X,X,X
TLIJSZO,O,X,O,X,O,X,X,O,X,X,X,X
TLIJSOZ,X,X,X,X,O,X,X,O,X,X,X,O
TLIJZSO,O,X,O,X,O,X,X,O,X,X,X,X
TLIJZOS,O,O,O,X,O,O,X,X,X,O,X,X
TLIJOSZ,X,X,X,X,O,X,X,O,X,O,X,O
TLIJOZS,X,X,O,X,O,X,X,X,X,O,X,O
TLISJZO,O,X,X,X,O,X,X,O,X,X,X,X
TLISJOZ,X,X,X,X,O,X,X,O,X,X,X,O
TLISZJO,O,X,X,X,O,X,X,X,X,X,O,X
TLISZOJ,O,X,O,X,O,X,X,X,O,X,X,X
TLISOJZ,X,X,X,X,O,X,X,X,O,X,X,X
TLISOZJ,X,X,X,X,O,X,X,X,O,X,X,X
TLIZJSO,O,X,O,X,O,X,X,X,X,X,O,X
TLIZJOS,O,O,O,X,O,O,X,X,X,X,O,X
TLIZSJO,O,X,X,X,O,X,X,X,X,X,O,X
TLIZSOJ,O,X,O,X,O,X,X,X,X,X,X,X
TLIZOJS,O,O,O,X,O,O,X,X,X,X,X,X
TLIZOSJ,O,X,O,X,O,X,X,X,X,X,X,X
TLIOJSZ,O,X,X,X,O,X,X,X,O,O,X,X
TLIOJZS,O,X,X,X,O,X,X,X,X,O,X,X
TLIOSJZ,O,X,X,X,O,X,X,X,O,O,X,X
TLIOSZJ,O,X,X,X,O,X,X,X,O,X,X,X
TLIOZJS,O,X,O,X,O,X,X,X,X,O,X,X
TLIOZSJ,O,X,O,X,O,X,X,X,O,X,X,X
TLJISZO,O,X,O,X,O,X,O,O,X,X,X,X
TLJISOZ,X,X,X,X,O,X,X,O,X,X,X,O
TLJIZSO,O,X,O,X,O,X,O,O,X,X,X,X
TLJIZOS,O,O,O,X,O,O,O,X,X,O,X,X
TLJIOSZ,X,X,X,X,O,X,X,O,X,O,X,O
TLJIOZS,X,X,O,X,O,X,X,X,X,O,X,O
TLJSIZO,O,O,O,O,O,O,O,O,X,X,X,X
TLJSIOZ,X,O,X,O,O,O,X,O,X,X,X,O
TLJSZIO,O,O,O,O,O,O,O,O,X,X,O,X
TLJSZOI,O,O,O,O,O,O,O,O,O,O,O,O
TLJSOIZ,X,O,X,O,O,O,O,O,O,O,X,O
TLJSOZI,X,O,X,O,O,O,O,O,O,O,X,O
TLJZISO,O,X,O,O,O,X,O,O,X,X,O,X
TLJZIOS,O,O,O,X,O,O,O,X,X,O,O,X
TLJZSIO,O,O,O,O,O,O,O,O,X,X,O,X
TLJZSOI,O,O,O,O,O,O,O,O,X,O,O,O
TLJZOIS,O,O,O,X,O,O,O,X,X,O,O,O
TLJZOSI,O,O,O,X,O,O,O,X,X,O,O,O
TLJOISZ,X,X,X,X,O,X,O,O,O,O,X,O
TLJOIZS,X,X,O,X,O,X,O,X,X,O,X,O
TLJOSIZ,X,X,X,X,O,X,O,O,O,O,X,O
TLJOSZI,X,X,X,X,O,X,O,O,O,O,X,O
TLJOZIS,X,X,O,X,O,X,O,X,X,O,X,O
TLJOZSI,X,X,O,X,O,X,O,X,X,O,X,O
TLSIJZO,O,O,X,O,O,O,X,O,X,X,X,X
TLSIJOZ,X,O,X,O,O,O,X,O,X,X,X,O
TLSIZJO,O,O,X,O,O,O,O,X,X,X,O,X
TLSIZOJ,O,O,O,O,O,O,O,X,O,X,X,X
TLSIOJZ,X,O,X,O,O,O,X,X,O,X,X,X
TLSIOZJ,X,O,X,O,O,O,X,X,O,X,X,X
TLSJIZO,O,O,O,O,O,O,O,O,X,X,X,X
TLSJIOZ,X,O,X,O,O,O,X,O,X,X,X,O
TLSJZIO,O,O,O,O,O,O,O,O,X,X,O,X
TLSJZOI,O,O,O,O,O,O,O,O,O,O,O,O
TLSJOIZ,X,O,X,O,O,O,O,O,O,O,X,O
TLSJOZI,X,O,X,O,O,O,O,O,O,O,X,O
TLSZIJO,O,O,X,O,O,O,O,X,X,X,O,X
TLSZIOJ,O,O,O,O,O,O,O,X,O,X,X,X
TLSZJIO,O,O,O,O,O,O,O,O,X,X,O,X
TLSZJOI,O,O,O,O,O,O,O,O,O,X,O,O
TLSZOIJ,O,O,O,O,X,O,O,X,O,X,X,X
TLSZOJI,O,O,O,O,O,O,O,X,O,X,O,X
TLSOIJZ,X,O,X,O,O,O,X,O,O,O,X,X
TLSOIZJ,X,O,X,O,O,O,X,X,O,X,X,X
TLSOJIZ,X,O,X,O,O,O,X,O,O,O,X,O
TLSOJZI,X,O,X,O,O,O,X,O,O,O,X,O
TLSOZIJ,X,O,X,O,X,O,X,X,O,X,X,X
TLSOZJI,X,O,X,O,O,O,X,O,O,X,O,X
TLZIJSO,O,X,O,O,O,X,O,X,X,X,O,X
TLZIJOS,O,O,O,X,O,O,O,X,X,X,O,X
TLZISJO,O,X,X,X,O,X,O,X,X,X,O,X
TLZISOJ,O,X,O,X,O,X,O,X,X,X,X,X
TLZIOJS,O,O,O,X,O,O,O,X,X,X,X,X
TLZIOSJ,O,X,O,X,O,X,X,X,X,X,X,X
TLZJISO,O,X,O,O,O,X,O,O,X,X,O,X
TLZJIOS,O,O,O,X,O,O,O,X,X,O,O,X
TLZJSIO,O,O,O,O,O,O,O,O,X,X,O,X
TLZJSOI,O,O,O,O,O,O,O,O,X,O,O,O
TLZJOIS,O,O,O,X,O,O,O,X,X,O,O,O
TLZJOSI,O,O,O,X,O,O,O,X,X,O,O,O
TLZSIJO,O,O,X,O,O,O,O,X,X,X,O,X
TLZSIOJ,O,O,O,O,O,O,O,X,O,X,X,X
TLZSJIO,O,O,O,O,O,O,O,O,X,X,O,X
TLZSJOI,O,O,O,O,O,O,O,O,O,X,O,O
TLZSOIJ,O,O,O,O,X,O,O,X,O,X,X,X
TLZSOJI,O,O,O,O,O,O,O,X,O,X,O,X
TLZOIJS,O,O,O,X,O,O,O,X,X,O,X,X
TLZOISJ,O,X,O,X,O,X,X,X,O,X,X,X
TLZOJIS,O,O,O,X,O,O,O,X,X,O,O,X
TLZOJSI,O,O,O,X,O,O,O,X,X,O,O,X
TLZOSIJ,O,O,O,X,X,O,O,X,O,X,X,X
TLZOSJI,O,O,O,X,O,O,O,X,O,X,O,X
TLOIJSZ,O,X,X,X,O,X,X,O,O,O,X,X
TLOIJZS,O,X,X,X,O,X,X,O,X,O,X,X
TLOISJZ,O,X,X,X,O,X,X,O,O,O,X,X
TLOISZJ,O,X,X,X,O,X,X,X,O,X,X,X
TLOIZJS,O,X,O,X,O,X,X,X,X,O,X,X
TLOIZSJ,O,X,O,X,O,X,X,X,O,X,X,X
TLOJISZ,O,X,X,X,O,X,O,O,O,O,X,O
TLOJIZS,O,X,O,X,O,X,O,O,X,O,X,O
TLOJSIZ,O,X,X,X,O,X,O,O,O,O,X,O
TLOJSZI,O,X,X,X,O,X,O,O,O,O,X,O
TLOJZIS,O,X,O,X,O,X,O,O,X,O,X,O
TLOJZSI,O,X,O,X,O,X,O,O,X,O,X,O
TLOSIJZ,O,X,X,X,O,X,X,O,O,O,X,X
TLOSIZJ,O,X,X,X,O,X,X,X,O,X,X,X
TLOSJIZ,O,X,X,X,O,X,X,O,O,O,X,O
TLOSJZI,O,X,X,X,O,X,X,O,O,O,X,O
TLOSZIJ,O,X,X,X,X,X,X,X,O,X,X,X
TLOSZJI,O,X,X,X,O,X,X,O,O,X,O,X
TLOZIJS,O,X,O,X,O,X,O,X,X,O,X,X
TLOZISJ,O,X,O,X,O,X,X,X,O,X,X,X
TLOZJIS,O,X,O,X,O,X,O,O,X,O,O,X
TLOZJSI,O,X,O,X,O,X,O,O,X,O,O,X
TLOZSIJ,O,X,O,X,X,X,X,X,O,X,X,X
TLOZSJI,O,X,O,X,O,X,O,O,O,X,O,X
TJILSZO,O,X,O,X,O,X,O,O,X,X,X,X
TJILSOZ,X,X,X,X,O,X,X,O,X,X,X,O
TJILZSO,O,X,O,X,O,X,O,O,X,X,X,X
TJILZOS,O,O,O,X,O,O,O,X,X,O,X,X
TJILOSZ,X,X,X,X,O,X,X,O,X,O,X,O
TJILOZS,X,X,O,X,O,X,X,X,X,O,X,O
TJISLZO,O,O,O,O,O,O,O,O,X,X,X,X
TJISLOZ,X,O,X,O,O,O,X,O,X,X,X,O
TJISZLO,O,O,O,O,O,O,O,X,X,X,X,X
TJISZOL,O,O,O,O,X,O,O,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,O,X,X,X,X,X
TJISOZL,O,O,X,O,X,O,O,X,X,X,X,X
TJIZLSO,O,X,O,O,O,X,O,O,X,X,X,X
TJIZLOS,O,O,O,X,O,O,O,X,X,O,X,X
TJIZSLO,O,O,O,O,O,O,O,X,X,X,X,X
TJIZSOL,O,O,O,O,X,O,O,X,X,X,X,X
TJIZOLS,O,O,O,X,X,O,O,X,X,X,X,X
TJIZOSL,O,O,O,O,X,O,O,X,X,X,X,X
TJIOLSZ,O,X,X,X,X,X,O,O,X,X,X,X
TJIOLZS,O,X,O,X,X,X,O,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,O,X,X,X,X,X
TJIOSZL,O,X,X,X,X,X,O,X,X,X,X,X
TJIOZLS,O,O,O,X,X,O,O,X,X,X,X,X
TJIOZSL,O,O,O,X,X,O,O,X,X,X,X,X
TJLISZO,O,X,O,X,O,X,O,O,X,X,X,X
TJLISOZ,X,X,X,X,O,X,X,O,X,X,X,O
TJLIZSO,O,X,O,X,O,X,O,O,X,X,X,X
TJLIZOS,O,O,O,X,O,O,O,X,X,O,X,X
TJLIOSZ,X,X,X,X,O,X,X,O,X,O,X,O
TJLIOZS,X,X,O,X,O,X,X,X,X,O,X,O
TJLSIZO,O,O,O,O,O,O,O,O,X,X,X,X
TJLSIOZ,X,O,X,O,O,O,X,O,X,X,X,O
TJLSZIO,O,O,O,O,O,O,O,O,X,X,O,X
TJLSZOI,O,O,O,O,O,O,O,O,O,O,O,O
TJLSOIZ,X,O,X,O,O,O,O,O,O,O,X,O
TJLSOZI,X,O,X,O,O,O,O,O,O,O,X,O
TJLZISO,O,X,O,O,O,X,O,O,X,X,O,X
TJLZIOS,O,O,O,X,O,O,O,X,X,O,O,X
TJLZSIO,O,O,O,O,O,O,O,O,X,X,O,X
TJLZSOI,O,O,O,O,O,O,O,O,X,O,O,O
TJLZOIS,O,O,O,X,O,O,O,X,X,O,O,O
TJLZOSI,O,O,O,X,O,O,O,X,X,O,O,O
TJLOISZ,X,X,X,X,O,X,O,O,O,O,X,O
TJLOIZS,X,X,O,X,O,X,O,X,X,O,X,O
TJLOSIZ,X,X,X,X,O,X,O,O,O,O,X,O
TJLOSZI,X,X,X,X,O,X,O,O,O,O,X,O
TJLOZIS,X,X,O,X,O,X,O,X,X,O,X,O
TJLOZSI,X,X,O,X,O,X,O,X,X,O,X,O
TJSILZO,O,O,O,O,O,O,O,O,X,X,X,X
TJSILOZ,X,O,X,O,O,O,X,O,X,X,X,O
TJSIZLO,O,O,O,O,O,O,O,X,X,X,X,X
TJSIZOL,O,O,O,O,X,O,O,X,X,X,X,X
TJSIOLZ,X,X,X,O,X,X,O,X,X,X,X,X
TJSIOZL,O,O,X,O,X,O,O,X,X,X,X,X
TJSLIZO,O,O,O,O,O,O,O,O,X,X,X,X
TJSLIOZ,X,O,X,O,O,O,X,O,X,X,X,O
TJSLZIO,O,O,O,O,O,O,O,O,X,X,O,X
TJSLZOI,O,O,O,O,O,O,O,O,O,O,O,O
TJSLOIZ,X,O,X,O,O,O,O,O,O,O,X,O
TJSLOZI,X,O,X,O,O,O,O,O,O,O,X,O
TJSZILO,O,O,O,O,X,O,O,X,X,X,O,X
TJSZIOL,O,O,O,O,X,O,O,X,X,X,O,X
TJSZLIO,O,O,O,O,O,O,O,O,X,X,O,X
TJSZLOI,O,O,O,O,O,O,O,O,O,O,O,O
TJSZOIL,O,O,O,O,X,O,O,X,X,X,O,X
TJSZOLI,O,O,O,O,X,O,O,X,X,X,O,X
TJSOILZ,X,X,X,O,X,X,O,X,X,X,X,X
TJSOIZL,O,O,X,O,X,O,O,X,X,X,X,X
TJSOLIZ,X,O,X,O,X,O,O,O,X,X,X,O
TJSOLZI,X,O,X,O,X,O,O,O,X,X,X,O
TJSOZIL,O,O,X,O,X,O,O,X,X,X,X,X
TJSOZLI,O,O,X,O,X,O,O,X,X,X,X,X
TJZILSO,O,X,O,O,O,X,O,O,X,X,O,X
TJZILOS,O,O,O,X,O,O,O,X,X,O,O,X
TJZISLO,O,O,O,O,O,O,O,X,X,X,O,X
TJZISOL,O,O,O,O,X,O,O,X,X,X,O,X
TJZIOLS,O,O,O,X,X,O,O,X,X,X,O,X
TJZIOSL,O,O,O,O,X,O,O,X,X,X,O,X
TJZLISO,O,X,O,O,O,X,O,O,X,X,O,X
TJZLIOS,O,O,O,X,O,O,O,X,X,O,O,X
TJZLSIO,O,O,O,O,O,O,O,O,X,X,O,X
TJZLSOI,O,O,O,O,O,O,O,O,X,O,O,O
TJZLOIS,O,O,O,X,O,O,O,X,X,O,O,O
TJZLOSI,O,O,O,X,O,O,O,X,X,O,O,O
TJZSILO,O,O,O,O,X,O,O,X,X,X,O,X
TJZSIOL,O,O,O,O,X,O,O,X,X,X,O,X
TJZSLIO,O,O,O,O,O,O,O,O,X,X,O,X
TJZSLOI,O,O,O,O,O,O,O,O,X,O,O,O
TJZSOIL,O,O,O,O,X,O,O,X,X,X,O,X
TJZSOLI,O,O,O,O,X,O,O,X,X,X,O,X
TJZOILS,O,O,O,X,X,O,O,X,X,X,O,X
TJZOISL,O,O,O,O,X,O,O,X,X,X,O,X
TJZOLIS,O,O,O,X,X,O,O,X,X,O,O,X
TJZOLSI,O,O,O,X,X,O,O,X,X,O,O,X
TJZOSIL,O,O,O,O,X,O,O,X,X,X,O,X
TJZOSLI,O,O,O,O,X,O,O,X,X,X,O,X
TJOILSZ,O,X,X,X,X,X,O,O,X,X,X,X
TJOILZS,O,X,O,X,X,X,O,X,X,X,X,X
TJOISLZ,O,X,X,O,X,X,O,X,X,X,X,X
TJOISZL,O,X,X,O,X,X,O,X,X,X,X,X
TJOIZLS,O,O,O,O,X,O,O,X,X,X,X,X
TJOIZSL,O,O,O,O,X,O,O,X,X,X,X,X
TJOLISZ,O,X,X,X,X,X,O,O,X,O,X,O
TJOLIZS,O,X,O,X,X,X,O,X,X,O,X,O
TJOLSIZ,O,X,X,O,X,X,O,O,X,O,X,O
TJOLSZI,O,X,X,O,X,X,O,O,X,O,X,O
TJOLZIS,O,X,O,O,X,X,O,X,X,O,X,O
TJOLZSI,O,X,O,O,X,X,O,X,X,O,X,O
TJOSILZ,O,X,X,O,X,X,O,X,X,X,X,X
TJOSIZL,O,O,X,O,X,O,O,X,X,X,X,X
TJOSLIZ,O,O,X,O,X,O,O,O,X,X,X,O
TJOSLZI,O,O,X,O,X,O,O,O,X,X,X,O
TJOSZIL,O,O,X,O,X,O,O,X,X,X,X,X
TJOSZLI,O,O,X,O,X,O,O,X,X,X,X,X
TJOZILS,O,O,O,O,X,O,O,X,X,X,X,X
TJOZISL,O,O,O,O,X,O,O,X,X,X,X,X
TJOZLIS,O,O,O,O,X,O,O,X,X,O,X,X
TJOZLSI,O,O,O,O,X,O,O,X,X,O,X,X
TJOZSIL,O,O,O,O,X,O,O,X,X,X,X,X
TJOZSLI,O,O,O,O,X,O,O,X,X,X,X,X
TSILJZO,O,O,X,O,O,O,X,O,X,X,X,X
TSILJOZ,X,O,X,O,O,O,X,O,X,X,X,O
TSILZJO,O,O,X,O,O,O,O,X,X,X,O,X
TSILZOJ,O,O,O,O,O,O,O,X,O,X,X,X
TSILOJZ,X,O,X,O,O,O,X,X,O,X,X,X
TSILOZJ,X,O,X,O,O,O,X,X,O,X,X,X
TSIJLZO,O,O,O,O,O,O,O,O,X,X,X,X
TSIJLOZ,X,O,X,O,O,O,X,O,X,X,X,O
TSIJZLO,O,O,O,O,O,O,O,X,X,X,X,X
TSIJZOL,O,O,O,O,X,O,O,X,X,X,X,X
TSIJOLZ,X,X,X,O,X,X,O,X,X,X,X,X
TSIJOZL,O,O,X,O,X,O,O,X,X,X,X,X
TSIZLJO,O,O,X,O,O,O,O,X,X,X,O,X
TSIZLOJ,O,O,O,O,O,O,O,X,O,X,X,X
TSIZJLO,O,O,O,O,O,O,O,X,X,X,O,X
TSIZJOL,O,O,O,O,X,O,O,X,X,X,O,X
TSIZOLJ,O,O,O,X,O,O,O,X,X,X,X,X
TSIZOJL,O,O,O,O,X,O,X,X,X,X,X,X
TSIOLJZ,O,X,X,O,O,X,X,X,X,X,X,X
TSIOLZJ,O,X,X,O,O,X,X,X,X,X,X,X
TSIOJLZ,O,X,X,O,X,X,X,X,X,X,X,X
TSIOJZL,O,O,X,O,X,O,X,X,X,X,X,X
TSIOZLJ,O,O,X,O,O,O,O,X,X,X,X,X
TSIOZJL,O,O,X,O,X,O,X,X,X,X,X,X
TSLIJZO,O,O,X,O,O,O,X,O,X,X,X,X
TSLIJOZ,X,O,X,O,O,O,X,O,X,X,X,O
TSLIZJO,O,O,X,O,O,O,O,X,X,X,O,X
TSLIZOJ,O,O,O,O,O,O,O,X,O,X,X,X
TSLIOJZ,X,O,X,O,O,O,X,X,O,X,X,X
TSLIOZJ,X,O,X,O,O,O,X,X,O,X,X,X
TSLJIZO,O,O,O,O,O,O,O,O,X,X,X,X
TSLJIOZ,X,O,X,O,O,O,X,O,X,X,X,O
TSLJZIO,O,O,O,O,O,O,O,O,X,X,O,X
TSLJZOI,O,O,O,O,O,O,O,O,O,O,O,O
TSLJOIZ,X,O,X,O,O,O,O,O,O,O,X,O
