sequence,v115@9gC8GeB8HeB8HeD8EeA8Je3AJvhFumBcnBTjByqBFt?BxwB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFThBOnBXjBStBFr?BRxB,v115@9gC8GeB8HeB8HeD8EeA8JeGBJvhFxiBilBXnBToBUr?B1xB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFemBCiBTjBXnBFt?BxwB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFThBxiBesBCoBFr?BXtB,v115@9gC8GeB8HeB8HeD8EeA8JeRBJvhFGjBTlBlnBirBXt?B0rB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFThBiiB+oB3nBFr?BRxB,v115@9gC8GeB8HeB8HeD8EeA8Je3AJvhFFiB6oB0mBznBmq?BRxB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFemB6oBRnB3rBzs?BFsB,v115@9gC8GeB8HeB8HeD8EeA8JeRBJvhF+oBilBfsBlnBUr?BzsB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFihB+oBRnBFrBXs?BzsB
TISZLJO,O,X,O,O,X,X,X,X,X,X,X
TISZLOJ,O,X,O,O,X,X,X,X,X,X,X
TISZJLO,O,X,O,O,X,X,X,X,X,X,X
TISZJOL,O,X,O,O,X,X,X,X,X,X,X
TISZOLJ,O,X,O,O,X,X,X,X,X,X,X
TISZOJL,O,X,O,O,X,X,X,X,X,X,X
TISOLJZ,O,X,O,X,X,X,X,X,X,X,X
TISOLZJ,O,X,O,O,X,X,X,X,X,X,X
TISOJLZ,X,X,O,X,X,X,X,X,X,X,X
TISOJZL,X,X,O,O,X,X,X,X,X,X,X
TISOZLJ,O,X,O,O,X,X,X,X,X,X,X
TISOZJL,O,X,O,O,X,X,X,X,X,X,X
TIZLJSO,O,O,X,O,X,X,O,O,X,X,X
TIZLJOS,O,O,O,O,X,X,O,X,X,X,X
TIZLSJO,O,O,O,O,X,X,X,O,X,X,X
TIZLSOJ,O,O,O,O,X,X,X,O,X,X,X
TIZLOJS,O,O,O,O,X,X,O,O,X,X,X
TIZLOSJ,O,O,O,O,X,X,X,O,X,X,X
TIZJLSO,O,O,X,O,X,X,O,O,X,X,X
TIZJLOS,O,O,X,O,X,X,O,X,X,X,X
TIZJSLO,O,O,X,O,X,X,O,O,X,X,X
TIZJSOL,O,O,X,O,X,X,O,O,X,X,X
TIZJOLS,O,O,X,O,X,X,O,O,X,X,X
TIZJOSL,O,O,X,O,X,X,O,O,X,X,X
TIZSLJO,O,O,O,O,X,X,X,O,X,X,X
TIZSLOJ,O,O,O,O,X,X,X,O,X,X,X
TIZSJLO,O,O,O,O,X,X,O,O,X,X,X
TIZSJOL,O,O,O,O,X,X,O,O,X,X,X
TIZSOLJ,O,O,O,O,X,X,X,O,X,X,X
TIZSOJL,O,O,O,O,X,X,O,O,X,X,X
TIZOLJS,O,O,O,O,X,X,O,O,X,X,X
TIZOLSJ,O,O,O,O,X,X,X,O,X,X,X
TIZOJLS,O,O,O,O,X,X,O,O,X,X,X
TIZOJSL,O,O,O,O,X,X,O,O,X,X,X
TIZOSLJ,O,O,O,O,X,X,X,O,X,X,X
TIZOSJL,O,O,O,O,X,X,O,O,X,X,X
TIOLJSZ,O,X,O,X,X,X,X,O,X,X,X
TIOLJZS,O,X,O,X,X,X,X,O,X,X,X
TIOLSJZ,O,X,O,X,X,X,X,O,X,X,X
TIOLSZJ,O,X,O,O,X,X,X,O,X,X,X
TIOLZJS,O,X,O,O,X,X,X,O,X,X,X
TIOLZSJ,O,X,O,O,X,X,X,O,X,X,X
TIOJLSZ,O,X,O,X,X,X,X,O,X,X,X
TIOJLZS,O,X,O,X,X,X,X,O,X,X,X
TIOJSLZ,X,X,O,X,X,X,X,O,X,X,X
TIOJSZL,X,X,O,O,X,X,X,O,X,X,X
TIOJZLS,O,X,O,O,X,X,X,O,X,X,X
TIOJZSL,O,X,O,O,X,X,X,O,X,X,X
TIOSLJZ,O,X,O,X,X,X,X,O,X,X,X
TIOSLZJ,O,X,O,O,X,X,X,O,X,X,X
TIOSJLZ,X,X,O,X,X,X,X,O,X,X,X
TIOSJZL,X,X,O,O,X,X,X,O,X,X,X
TIOSZLJ,O,X,O,O,X,X,X,O,X,X,X
TIOSZJL,O,X,O,O,X,X,X,O,X,X,X
TIOZLJS,O,X,O,O,X,X,X,O,X,X,X
TIOZLSJ,O,X,O,O,X,X,X,O,X,X,X
TIOZJLS,O,X,O,O,X,X,X,O,X,X,X
TIOZJSL,O,X,O,O,X,X,X,O,X,X,X
TIOZSLJ,O,X,O,O,X,X,X,O,X,X,X
TIOZSJL,O,X,O,O,X,X,X,O,X,X,X
TLIJSZO,O,X,X,X,X,X,X,O,X,X,X
TLIJSOZ,O,X,X,X,X,X,X,O,X,X,X
TLIJZSO,O,X,X,X,X,X,X,O,X,O,X
TLIJZOS,O,X,X,X,X,X,X,O,X,X,X
TLIJOSZ,O,X,O,X,X,X,X,O,X,X,X
TLIJOZS,O,X,O,X,X,X,X,O,X,X,X
TLISJZO,O,X,O,X,X,X,X,X,X,X,X
TLISJOZ,O,X,O,X,X,X,X,X,X,X,X
TLISZJO,O,X,O,X,X,X,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,X,O,X,X,X,X,X,X,X,X
TLISOZJ,O,X,O,X,X,X,X,X,X,X,X
TLIZJSO,O,X,X,X,X,X,X,O,X,O,X
TLIZJOS,O,X,O,X,X,X,X,X,X,X,X
TLIZSJO,O,X,O,X,X,X,X,O,X,O,X
TLIZSOJ,O,X,O,X,X,X,X,O,X,X,X
TLIZOJS,O,X,O,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,O,X,X,X,X,O,X,X,X
TLIOJSZ,O,X,O,X,X,X,X,O,X,X,X
TLIOJZS,O,X,O,X,X,X,X,O,X,X,X
TLIOSJZ,O,X,O,X,X,X,X,O,X,X,X
TLIOSZJ,O,X,O,X,X,X,X,O,X,X,X
TLIOZJS,O,X,O,X,X,X,X,O,X,X,X
TLIOZSJ,O,X,O,X,X,X,X,O,X,X,X
TLJISZO,X,X,X,X,X,X,X,O,X,X,X
TLJISOZ,X,X,X,X,X,X,X,O,X,X,X
TLJIZSO,X,X,X,X,X,X,X,O,X,O,X
TLJIZOS,X,X,X,X,X,X,X,O,X,X,X
TLJIOSZ,X,X,O,X,X,X,X,O,X,X,X
TLJIOZS,X,X,O,X,X,X,X,O,X,X,X
TLJSIZO,X,X,O,X,X,X,X,O,X,O,X
TLJSIOZ,X,X,O,X,X,X,X,O,X,X,X
TLJSZIO,O,X,O,X,X,X,X,O,X,O,X
TLJSZOI,O,X,O,X,X,X,X,O,X,O,X
TLJSOIZ,X,X,O,X,X,X,X,X,X,X,X
TLJSOZI,O,X,O,X,X,X,X,X,X,O,X
TLJZISO,O,X,X,X,X,X,X,O,X,O,X
TLJZIOS,O,X,O,X,X,X,X,X,X,X,X
TLJZSIO,O,X,O,X,X,X,X,O,X,O,X
TLJZSOI,O,X,O,X,X,X,X,O,X,O,X
TLJZOIS,O,X,O,X,X,X,X,X,X,X,X
TLJZOSI,O,X,O,X,X,X,X,O,X,X,X
TLJOISZ,X,X,O,X,X,X,X,X,X,X,X
TLJOIZS,X,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,O,X,X,X,X,X,X,X,X
TLJOSZI,O,X,O,X,X,X,X,X,X,X,X
TLJOZIS,O,X,O,X,X,X,X,X,X,X,X
TLJOZSI,O,X,O,X,X,X,X,X,X,X,X
TLSIJZO,O,X,O,X,X,O,X,X,X,X,X
TLSIJOZ,O,X,O,X,X,O,X,X,X,X,X
TLSIZJO,O,X,O,O,X,O,X,X,X,X,X
TLSIZOJ,O,X,O,O,X,X,X,X,X,X,X
TLSIOJZ,O,X,O,X,X,O,X,X,X,X,X
TLSIOZJ,O,X,O,O,X,X,X,X,X,X,X
TLSJIZO,X,O,O,X,X,O,X,X,X,O,X
TLSJIOZ,X,X,O,X,X,O,X,X,X,X,X
TLSJZIO,O,O,O,X,X,O,X,X,X,O,X
TLSJZOI,O,O,O,X,X,X,X,X,X,O,X
TLSJOIZ,X,X,O,X,X,O,X,X,X,X,X
TLSJOZI,O,X,O,X,X,X,X,X,X,O,X
TLSZIJO,O,O,O,O,X,O,X,X,X,X,X
TLSZIOJ,O,O,O,O,X,X,X,X,X,X,X
TLSZJIO,O,O,O,O,X,O,X,X,X,X,X
TLSZJOI,O,O,O,O,X,X,X,X,X,X,X
TLSZOIJ,O,O,O,O,X,X,X,X,X,X,X
TLSZOJI,O,O,O,O,X,X,X,X,X,X,X
TLSOIJZ,X,X,O,X,X,O,X,X,X,X,X
TLSOIZJ,O,X,O,O,X,X,X,X,X,X,X
TLSOJIZ,X,X,O,X,X,O,X,X,X,X,X
TLSOJZI,O,X,O,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,O,O,X,X,X,X,X,X,X
TLSOZJI,O,X,O,O,X,X,X,X,X,X,X
TLZIJSO,O,O,X,O,X,X,X,X,X,O,X
TLZIJOS,O,O,O,O,X,X,X,X,X,X,X
TLZISJO,O,O,O,O,X,X,X,X,X,O,X
TLZISOJ,O,O,O,O,X,X,X,X,X,X,X
TLZIOJS,O,O,O,O,X,X,X,X,X,X,X
TLZIOSJ,O,O,O,O,X,X,X,X,X,X,X
TLZJISO,O,X,X,X,X,X,X,X,X,O,X
TLZJIOS,O,X,O,X,X,X,X,X,X,X,X
TLZJSIO,O,O,O,O,X,X,X,X,X,O,X
TLZJSOI,O,O,O,O,X,X,X,X,X,O,X
TLZJOIS,O,X,O,X,X,X,X,X,O,X,X
TLZJOSI,O,O,O,O,X,X,X,X,O,X,X
TLZSIJO,O,O,O,O,X,X,X,X,X,O,X
TLZSIOJ,O,O,O,O,X,X,X,X,X,X,X
TLZSJIO,O,O,O,O,X,X,X,X,X,O,X
TLZSJOI,O,O,O,O,X,X,X,X,X,O,X
TLZSOIJ,O,O,O,O,X,X,X,X,X,X,X
TLZSOJI,O,O,O,O,X,X,X,X,X,X,X
TLZOIJS,O,X,O,O,X,X,X,X,O,X,X
TLZOISJ,O,O,O,O,X,X,X,X,X,X,X
TLZOJIS,O,X,O,X,X,X,X,X,O,X,X
TLZOJSI,O,O,O,O,X,X,X,X,O,X,X
TLZOSIJ,O,O,O,O,X,X,X,X,O,X,X
TLZOSJI,O,O,O,O,X,X,X,X,O,X,X
TLOIJSZ,X,X,O,X,X,X,X,X,X,X,X
TLOIJZS,X,X,O,X,X,X,X,X,X,X,X
TLOISJZ,X,X,O,X,X,X,X,X,X,X,X
TLOISZJ,O,X,O,X,X,X,X,X,O,X,X
TLOIZJS,O,X,O,X,X,X,X,X,O,X,X
TLOIZSJ,O,X,O,X,X,X,X,X,X,X,X
TLOJISZ,X,X,O,X,X,X,X,X,X,X,X
TLOJIZS,X,X,O,X,X,X,X,X,X,X,X
TLOJSIZ,X,X,O,X,X,X,X,X,X,X,X
TLOJSZI,O,X,O,X,X,X,X,X,X,X,X
TLOJZIS,O,X,O,X,X,X,X,X,X,X,X
TLOJZSI,O,X,O,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,O,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,O,O,X,X,X,X,O,X,X
TLOSJIZ,X,X,O,X,X,X,X,X,X,X,X
TLOSJZI,O,X,O,X,X,X,X,X,X,X,X
TLOSZIJ,O,X,O,O,X,X,X,X,O,X,X
TLOSZJI,O,X,O,O,X,X,X,X,O,X,X
TLOZIJS,O,X,O,O,X,X,X,X,O,X,X
TLOZISJ,O,X,O,O,X,X,X,X,X,X,X
TLOZJIS,O,X,O,X,X,X,X,X,O,X,X
TLOZJSI,O,X,O,O,X,X,X,X,O,X,X
TLOZSIJ,O,X,O,O,X,X,X,X,O,X,X
TLOZSJI,O,X,O,O,X,X,X,X,O,X,X
TJILSZO,X,X,X,X,X,X,X,O,X,X,X
TJILSOZ,X,X,X,X,X,X,X,O,X,X,X
TJILZSO,X,X,X,X,X,X,X,O,X,X,X
TJILZOS,X,X,X,X,X,X,X,O,X,X,X
TJILOSZ,X,X,X,X,X,X,X,O,X,X,X
TJILOZS,X,X,X,X,X,X,X,O,X,X,X
TJISLZO,X,X,X,X,X,X,O,O,X,O,X
TJISLOZ,X,X,X,X,X,X,X,O,X,X,X
TJISZLO,X,X,X,X,X,X,O,O,X,X,X
TJISZOL,X,X,X,X,X,X,O,O,X,X,X
TJISOLZ,X,X,X,X,X,X,X,O,X,X,X
TJISOZL,X,X,X,X,X,X,X,O,X,X,X
TJIZLSO,X,X,X,X,X,X,O,O,X,X,X
TJIZLOS,X,X,X,X,O,X,O,O,X,X,X
TJIZSLO,X,X,X,X,X,X,O,O,X,X,X
TJIZSOL,X,X,X,X,O,X,O,O,X,X,X
TJIZOLS,X,X,X,X,O,X,O,O,X,X,X
TJIZOSL,X,X,X,X,O,X,O,O,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,O,X,X,X
TJIOLZS,X,X,X,X,X,X,X,O,X,X,X
TJIOSLZ,X,X,X,X,X,X,X,O,X,X,X
TJIOSZL,X,X,X,X,X,X,X,O,X,X,X
TJIOZLS,X,X,X,X,X,X,X,O,X,X,X
TJIOZSL,X,X,X,X,X,X,X,O,X,X,X
TJLISZO,X,X,X,X,X,X,X,O,X,X,X
TJLISOZ,X,X,X,X,X,X,X,O,X,X,X
TJLIZSO,X,X,X,X,X,X,X,O,X,O,X
TJLIZOS,X,X,X,X,X,X,X,O,X,X,X
TJLIOSZ,X,X,O,X,X,X,X,O,X,X,X
TJLIOZS,X,X,O,X,X,X,X,O,X,X,X
TJLSIZO,X,X,O,X,X,X,X,O,X,O,X
TJLSIOZ,X,X,O,X,X,X,X,O,X,X,X
TJLSZIO,O,X,O,X,X,X,X,O,X,O,X
TJLSZOI,O,X,O,X,X,X,X,O,X,O,X
TJLSOIZ,X,X,O,X,X,X,X,X,X,X,X
TJLSOZI,O,X,O,X,X,X,X,X,X,O,X
TJLZISO,O,X,X,X,X,X,X,O,X,O,X
TJLZIOS,O,X,O,X,X,X,X,X,X,X,X
TJLZSIO,O,X,O,X,X,X,X,O,X,O,X
TJLZSOI,O,X,O,X,X,X,X,O,X,O,X
TJLZOIS,O,X,O,X,X,X,X,X,X,X,X
TJLZOSI,O,X,O,X,X,X,X,O,X,X,X
TJLOISZ,X,X,O,X,X,X,X,X,X,X,X
TJLOIZS,X,X,O,X,X,X,X,X,X,X,X
TJLOSIZ,X,X,O,X,X,X,X,X,X,X,X
TJLOSZI,O,X,O,X,X,X,X,X,X,X,X
TJLOZIS,O,X,O,X,X,X,X,X,X,X,X
TJLOZSI,O,X,O,X,X,X,X,X,X,X,X
TJSILZO,X,X,O,X,X,X,X,O,X,O,X
TJSILOZ,X,X,O,X,X,X,X,O,X,X,X
TJSIZLO,X,X,O,O,O,X,X,O,X,X,X
TJSIZOL,X,X,O,O,O,X,X,O,X,X,X
TJSIOLZ,X,X,O,X,X,X,X,O,X,X,X
TJSIOZL,X,X,O,O,X,X,X,O,X,X,X
TJSLIZO,X,X,O,X,O,X,O,O,X,O,X
TJSLIOZ,X,X,O,X,X,X,X,O,X,X,X
TJSLZIO,X,X,O,X,O,X,O,O,X,O,X
TJSLZOI,X,X,O,X,O,X,O,O,X,O,X
TJSLOIZ,X,X,O,X,X,X,X,X,X,X,X
TJSLOZI,X,X,O,X,X,X,X,X,X,O,X
TJSZILO,X,X,O,O,O,X,O,O,X,X,O
TJSZIOL,X,X,O,O,O,X,O,O,X,X,O
TJSZLIO,X,X,O,O,O,X,O,O,X,O,O
TJSZLOI,X,X,O,O,O,X,O,O,X,O,O
TJSZOIL,X,X,O,O,O,X,O,O,X,X,O
TJSZOLI,X,X,O,O,O,X,O,O,X,X,O
TJSOILZ,X,X,O,X,X,X,X,X,X,X,X
TJSOIZL,X,X,O,O,X,X,X,X,X,X,X
TJSOLIZ,X,X,O,X,X,X,X,X,X,X,X
TJSOLZI,X,X,O,X,X,X,X,X,X,O,X
TJSOZIL,X,X,O,O,X,X,X,X,X,X,X
TJSOZLI,X,X,O,O,X,X,X,X,X,X,X
TJZILSO,O,X,X,O,X,X,O,O,X,X,O
TJZILOS,O,X,X,O,O,X,O,O,X,X,X
TJZISLO,O,X,X,O,O,X,O,O,X,X,O
TJZISOL,O,X,X,O,O,X,O,O,X,X,O
TJZIOLS,O,X,X,O,O,X,O,O,X,X,X
TJZIOSL,O,X,X,O,O,X,O,O,X,X,X
TJZLISO,O,X,X,X,X,X,X,O,X,O,O
TJZLIOS,O,X,O,X,O,X,X,O,X,X,X
TJZLSIO,O,X,O,O,O,X,O,O,X,O,O
TJZLSOI,O,X,O,O,O,X,O,O,X,O,O
TJZLOIS,O,X,O,X,O,X,X,X,X,X,X
TJZLOSI,O,X,O,O,O,X,O,O,X,X,O
TJZSILO,O,X,O,O,O,X,O,O,X,X,O
TJZSIOL,O,X,O,O,O,X,O,O,X,X,O
TJZSLIO,O,X,O,O,O,X,O,O,X,O,O
TJZSLOI,O,X,O,O,O,X,O,O,X,O,O
TJZSOIL,O,X,O,O,O,X,O,O,X,X,O
TJZSOLI,O,X,O,O,O,X,O,O,X,X,O
TJZOILS,O,X,O,O,O,X,X,O,X,X,X
TJZOISL,O,X,O,O,O,X,O,O,X,X,X
TJZOLIS,O,X,O,X,O,X,X,X,X,X,X
TJZOLSI,O,X,O,O,O,X,O,O,X,X,O
TJZOSIL,O,X,O,O,O,X,O,O,X,X,O
TJZOSLI,O,X,O,O,O,X,O,O,X,X,O
TJOILSZ,X,X,O,X,X,X,X,X,X,X,X
TJOILZS,X,X,O,X,X,X,X,X,X,X,X
TJOISLZ,X,X,O,X,X,X,X,X,X,X,X
TJOISZL,X,X,O,X,X,X,X,X,X,X,X
TJOIZLS,X,X,O,X,X,X,X,X,X,X,X
TJOIZSL,X,X,O,X,X,X,X,X,X,X,X
TJOLISZ,X,X,O,X,X,X,X,X,X,X,X
TJOLIZS,X,X,O,X,X,X,X,X,X,X,X
TJOLSIZ,X,X,O,X,X,X,X,X,X,X,X
TJOLSZI,O,X,O,X,X,X,X,X,X,X,X
TJOLZIS,O,X,O,X,X,X,X,X,X,X,X
TJOLZSI,O,X,O,X,X,X,X,X,X,X,X
TJOSILZ,X,X,O,X,X,X,X,X,X,X,X
TJOSIZL,X,X,O,O,X,X,X,X,X,X,X
TJOSLIZ,X,X,O,X,X,X,X,X,X,X,X
TJOSLZI,X,X,O,X,X,X,X,X,X,O,X
TJOSZIL,X,X,O,O,X,X,X,X,X,X,X
TJOSZLI,X,X,O,O,X,X,X,X,X,X,X
TJOZILS,O,X,O,O,X,X,X,X,X,X,X
TJOZISL,O,X,O,O,X,X,X,X,X,X,X
TJOZLIS,O,X,O,X,X,X,X,X,X,X,X
TJOZLSI,O,X,O,O,X,X,X,X,X,X,X
TJOZSIL,O,X,O,O,X,X,X,X,X,X,X
TJOZSLI,O,X,O,O,X,X,X,X,X,X,X
TSILJZO,X,X,O,X,X,O,X,X,X,X,X
TSILJOZ,X,X,O,X,X,O,X,X,X,X,X
TSILZJO,X,X,O,O,X,O,X,X,X,X,X
TSILZOJ,X,X,O,O,X,X,X,X,X,X,X
TSILOJZ,X,X,O,X,X,O,X,X,X,X,X
TSILOZJ,X,X,O,O,X,X,X,X,X,X,X
TSIJLZO,X,X,O,X,X,O,X,X,X,X,X
TSIJLOZ,X,X,O,X,X,O,X,X,X,X,X
TSIJZLO,X,X,O,O,X,O,X,X,X,X,X
TSIJZOL,X,X,O,O,X,O,X,X,X,X,X
TSIJOLZ,X,X,O,X,X,O,X,X,X,X,X
TSIJOZL,X,X,O,O,X,O,X,X,X,X,X
TSIZLJO,X,X,O,O,X,X,X,X,X,X,X
TSIZLOJ,X,X,O,O,X,X,X,X,X,X,X
TSIZJLO,X,X,O,O,X,O,X,X,X,X,X
TSIZJOL,X,X,O,O,X,O,X,X,X,X,X
TSIZOLJ,X,X,O,O,X,X,X,X,X,X,X
TSIZOJL,X,X,O,O,X,X,X,X,X,X,X
TSIOLJZ,X,X,O,X,X,O,X,X,X,X,X
TSIOLZJ,X,X,O,O,X,O,X,X,X,X,X
TSIOJLZ,X,X,O,X,X,O,X,X,X,X,X
TSIOJZL,X,X,O,O,X,O,X,X,X,X,X
TSIOZLJ,X,X,O,O,X,X,X,X,X,X,X
TSIOZJL,X,X,O,O,X,O,X,X,X,X,X
TSLIJZO,X,X,O,X,O,O,X,X,X,X,X
TSLIJOZ,X,X,O,X,X,O,X,X,X,X,X
TSLIZJO,O,X,O,O,O,O,X,X,X,X,X
TSLIZOJ,O,X,O,O,X,X,X,X,X,X,X
TSLIOJZ,X,X,O,X,X,O,X,X,X,X,X
TSLIOZJ,O,X,O,O,X,X,X,X,X,X,X
TSLJIZO,X,X,O,X,O,O,X,X,X,O,X
TSLJIOZ,X,X,O,X,X,O,X,X,X,X,X
TSLJZIO,O,X,O,X,O,O,X,X,X,O,X
TSLJZOI,O,X,O,X,O,X,X,X,X,O,X
TSLJOIZ,X,X,O,X,X,O,X,X,X,X,X
TSLJOZI,O,X,O,X,X,O,X,X,X,O,X
TSLZIJO,O,X,O,O,O,O,X,X,X,X,X
TSLZIOJ,O,X,O,O,X,X,X,X,X,X,X
TSLZJIO,O,X,O,O,O,O,X,X,X,X,X
TSLZJOI,O,X,O,O,O,X,X,X,X,X,X
TSLZOIJ,O,X,O,O,X,X,X,X,X,X,X
TSLZOJI,O,X,O,O,X,X,X,X,X,X,X
TSLOIJZ,X,X,O,X,X,O,X,X,X,X,X
TSLOIZJ,O,X,O,O,X,O,X,X,X,X,X
TSLOJIZ,X,X,O,X,X,O,X,X,X,X,X
TSLOJZI,O,X,O,X,X,O,X,X,X,X,X
TSLOZIJ,O,X,O,O,X,O,X,X,X,X,X
TSLOZJI,O,X,O,O,X,O,X,X,X,X,X
TSJILZO,X,X,O,X,X,O,X,X,X,O,X
TSJILOZ,X,X,O,X,X,O,X,X,X,X,X
TSJIZLO,X,X,O,O,O,O,X,X,X,X,X
TSJIZOL,X,X,O,O,O,O,X,X,X,X,X
TSJIOLZ,X,X,O,X,X,O,X,X,X,X,X
TSJIOZL,X,X,O,O,X,O,X,X,X,X,X
TSJLIZO,X,X,O,X,O,O,X,X,X,O,X
TSJLIOZ,X,X,O,X,X,O,X,X,X,X,X
TSJLZIO,X,X,O,X,O,O,X,X,X,O,X
TSJLZOI,X,X,O,X,O,X,X,X,X,O,X
TSJLOIZ,X,X,O,X,X,O,X,X,X,X,X
TSJLOZI,X,X,O,X,X,O,X,X,X,O,X
TSJZILO,X,X,O,O,O,O,X,X,X,X,O
TSJZIOL,X,X,O,O,O,O,X,X,X,X,O
TSJZLIO,X,X,O,O,O,O,X,X,X,O,O
TSJZLOI,X,X,O,O,O,X,X,X,X,O,O
TSJZOIL,X,X,O,O,O,O,X,X,X,X,O
TSJZOLI,X,X,O,O,O,O,X,X,X,X,O
TSJOILZ,X,X,O,X,X,O,X,X,X,X,X
TSJOIZL,X,X,O,O,X,O,X,X,X,X,X
TSJOLIZ,X,X,O,X,X,O,X,X,X,X,X
