sequence,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFChBliB5oB8sB3r?BmrB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFWmB3iB5oB8sBlm?BywB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFVnBaoB5oBGsBfr?B0rB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFWmBxhB/sBUoB1w?B6tB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFmiB5oBCnBlsBfr?B0rB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFynB5oBGmBFnB3s?BUrB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhF0hBxiB1sB6tBWx?BfrB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFRhBfsBStBUrBls?BGtB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFFiBGmBxsB6tB3s?BUrB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFWoBRmB8rB6tB3s?BFrB
TISLZJO,O,X,X,O,O,X,X,X,X,X
TISLZOJ,O,X,X,O,O,X,X,X,X,X
TISLOJZ,X,X,X,O,O,O,X,X,X,X
TISLOZJ,O,X,X,O,O,X,X,X,X,X
TISJLZO,X,X,X,O,O,X,X,X,X,X
TISJLOZ,X,X,X,O,O,O,X,X,X,X
TISJZLO,X,X,X,O,X,X,X,X,X,X
TISJZOL,X,X,X,O,X,X,X,X,X,X
TISJOLZ,X,X,X,O,O,O,X,X,X,O
TISJOZL,X,X,X,O,X,X,X,X,X,O
TISZLJO,O,X,X,O,X,X,X,X,X,X
TISZLOJ,O,X,X,O,X,X,X,X,X,X
TISZJLO,O,X,X,O,X,X,X,X,X,X
TISZJOL,O,X,X,O,X,X,X,X,X,X
TISZOLJ,O,X,X,O,X,X,X,X,X,X
TISZOJL,O,X,X,O,X,X,X,X,X,X
TISOLJZ,X,X,X,O,O,O,X,X,X,X
TISOLZJ,O,X,X,O,O,X,X,X,X,X
TISOJLZ,X,X,X,O,O,O,X,X,X,O
TISOJZL,X,X,X,O,X,X,X,X,X,O
TISOZLJ,O,X,X,O,X,X,X,X,X,X
TISOZJL,O,X,X,O,X,X,X,X,X,X
TIZLJSO,X,O,X,X,O,X,X,X,X,X
TIZLJOS,O,O,X,X,O,X,X,X,X,X
TIZLSJO,O,O,X,X,O,X,X,X,X,X
TIZLSOJ,O,O,X,X,O,X,X,X,X,X
TIZLOJS,O,O,X,X,O,X,X,X,X,X
TIZLOSJ,O,O,X,X,O,X,X,X,X,X
TIZJLSO,X,X,X,X,O,X,X,X,X,X
TIZJLOS,O,X,X,X,O,X,X,X,X,X
TIZJSLO,O,X,X,X,X,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X,X,X,X
TIZJOLS,O,X,X,X,O,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X,X,X,X,X
TIZSLJO,O,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,X,X,X,X,X,X,X,X
TIZSJLO,O,X,X,X,X,X,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X,X,X,X
TIZSOLJ,O,X,X,X,X,X,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X,X,X,X
TIZOLJS,O,O,X,X,O,X,X,X,X,X
TIZOLSJ,O,O,X,X,O,X,X,X,X,X
TIZOJLS,O,X,X,X,O,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,X,X,X,X
TIZOSJL,O,O,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,O,X,O,X,X,X
TIOLJZS,X,O,O,X,O,X,O,X,X,X
TIOLSJZ,X,X,X,X,O,X,X,X,X,X
TIOLSZJ,O,X,X,X,O,X,X,X,X,X
TIOLZJS,O,O,X,X,O,X,X,X,X,X
TIOLZSJ,O,O,X,X,O,X,X,X,X,X
TIOJLSZ,X,X,O,O,O,X,O,X,O,X
TIOJLZS,X,O,O,X,O,X,O,X,X,X
TIOJSLZ,X,X,O,O,O,O,X,X,O,X
TIOJSZL,X,X,X,O,X,X,X,X,O,X
TIOJZLS,X,X,O,X,O,X,X,X,X,X
TIOJZSL,X,O,X,O,X,X,X,X,X,X
TIOSLJZ,X,X,X,O,O,O,X,X,X,X
TIOSLZJ,O,X,X,O,O,X,X,X,X,X
TIOSJLZ,X,X,X,O,O,O,X,X,X,O
TIOSJZL,X,X,X,O,X,X,X,X,X,O
TIOSZLJ,O,X,X,O,X,X,X,X,X,X
TIOSZJL,O,X,X,O,X,X,X,X,X,X
TIOZLJS,O,O,X,X,O,X,X,X,X,X
TIOZLSJ,O,O,X,X,O,X,X,X,X,X
TIOZJLS,O,X,X,X,O,X,X,X,X,X
TIOZJSL,O,O,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,X,X,X,X
TIOZSJL,O,O,X,X,X,X,X,X,X,X
TLIJSZO,X,X,O,X,O,X,O,X,X,X
TLIJSOZ,X,X,O,X,O,X,O,X,X,X
TLIJZSO,X,O,O,X,O,X,O,X,X,X
TLIJZOS,X,O,O,X,O,X,O,X,X,X
TLIJOSZ,X,X,O,X,O,X,O,X,X,X
TLIJOZS,X,O,O,X,O,X,O,X,X,X
TLISJZO,X,X,X,X,O,X,X,X,X,X
TLISJOZ,X,X,X,X,O,X,X,X,X,X
TLISZJO,O,X,X,X,O,X,X,X,X,X
TLISZOJ,O,X,X,X,O,X,X,X,X,X
TLISOJZ,X,X,X,X,O,X,X,X,X,X
TLISOZJ,O,X,X,X,O,X,X,X,X,X
TLIZJSO,X,O,X,X,O,X,X,X,X,X
TLIZJOS,O,O,X,X,O,X,X,X,X,X
TLIZSJO,O,O,X,X,O,X,X,X,X,X
TLIZSOJ,O,O,X,X,O,X,X,X,X,X
TLIZOJS,O,O,X,X,O,X,X,X,X,X
TLIZOSJ,O,O,X,X,O,X,X,X,X,X
TLIOJSZ,X,X,O,X,O,X,O,X,X,X
TLIOJZS,X,O,O,X,O,X,O,X,X,X
TLIOSJZ,X,X,X,X,O,X,X,X,X,X
TLIOSZJ,O,X,X,X,O,X,X,X,X,X
TLIOZJS,O,O,X,X,O,X,X,X,X,X
TLIOZSJ,O,O,X,X,O,X,X,X,X,X
TLJISZO,X,X,O,O,O,X,O,X,X,X
TLJISOZ,X,X,O,O,O,X,O,X,X,X
TLJIZSO,X,O,O,X,O,X,O,X,X,X
TLJIZOS,X,O,O,X,O,X,O,X,X,X
TLJIOSZ,X,X,O,O,O,X,O,X,X,X
TLJIOZS,X,O,O,X,O,X,O,X,X,X
TLJSIZO,X,X,O,O,O,X,O,X,X,X
TLJSIOZ,X,X,O,O,O,X,O,X,X,X
TLJSZIO,X,X,X,O,X,X,O,X,X,X
TLJSZOI,X,X,X,O,X,X,O,X,X,X
TLJSOIZ,X,X,O,O,O,X,O,X,X,X
TLJSOZI,X,X,X,O,X,X,O,X,X,X
TLJZISO,X,O,O,X,O,X,O,X,X,X
TLJZIOS,X,O,O,X,O,X,O,X,X,X
TLJZSIO,X,O,X,X,X,X,O,X,X,X
TLJZSOI,X,O,X,X,X,X,O,X,X,X
TLJZOIS,X,O,O,X,O,X,O,X,X,X
TLJZOSI,X,O,X,X,X,X,O,X,X,X
TLJOISZ,X,X,O,O,O,X,O,X,X,X
TLJOIZS,X,O,O,X,O,X,O,X,X,X
TLJOSIZ,X,X,O,O,O,X,O,X,X,X
TLJOSZI,X,X,X,O,X,X,O,X,X,X
TLJOZIS,X,O,O,X,O,X,O,X,X,X
TLJOZSI,X,O,X,X,X,X,O,X,X,X
TLSIJZO,X,X,X,O,O,X,X,X,X,X
TLSIJOZ,X,X,X,O,O,X,X,X,X,X
TLSIZJO,O,X,X,O,O,X,X,O,X,X
TLSIZOJ,O,X,X,O,O,X,X,O,X,X
TLSIOJZ,X,X,X,O,O,X,X,X,X,X
TLSIOZJ,O,X,X,O,O,X,X,O,X,X
TLSJIZO,X,X,X,O,O,X,O,X,X,X
TLSJIOZ,X,X,X,O,O,X,O,X,X,X
TLSJZIO,X,X,X,O,X,X,O,O,X,X
TLSJZOI,X,X,X,O,X,X,O,O,X,X
TLSJOIZ,X,X,X,O,O,X,O,X,X,X
TLSJOZI,X,X,X,O,X,X,O,O,X,X
TLSZIJO,O,X,X,O,X,X,X,O,X,X
TLSZIOJ,O,X,X,O,X,X,X,O,X,X
TLSZJIO,O,X,X,O,X,X,X,O,X,X
TLSZJOI,O,X,X,O,X,X,X,O,X,X
TLSZOIJ,O,X,X,O,X,X,X,O,X,X
TLSZOJI,O,X,X,O,X,X,X,O,X,X
TLSOIJZ,X,X,X,O,O,X,X,X,X,X
TLSOIZJ,O,X,X,O,O,X,X,O,X,X
TLSOJIZ,X,X,X,O,O,X,O,X,X,X
TLSOJZI,X,X,X,O,X,X,O,O,X,X
TLSOZIJ,O,X,X,O,X,X,X,O,X,X
TLSOZJI,O,X,X,O,X,X,X,O,X,X
TLZIJSO,X,O,X,X,O,X,X,X,X,X
TLZIJOS,O,O,X,X,O,X,X,X,X,X
TLZISJO,O,O,X,X,O,X,X,X,X,X
TLZISOJ,O,O,X,X,O,X,X,X,X,X
TLZIOJS,O,O,X,X,O,X,X,X,X,X
TLZIOSJ,O,O,X,X,O,X,X,X,X,X
TLZJISO,X,O,X,X,O,X,O,X,X,X
TLZJIOS,O,O,X,X,O,X,O,X,X,X
TLZJSIO,X,O,X,X,X,X,O,X,X,X
TLZJSOI,X,O,X,X,X,X,O,X,X,X
TLZJOIS,O,O,X,X,O,X,O,X,X,X
TLZJOSI,X,O,X,X,X,X,O,X,X,X
TLZSIJO,O,O,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,X,X,X,X,X,X,X,X
TLZSJIO,O,O,X,X,X,X,X,X,X,X
TLZSJOI,O,O,X,X,X,X,X,X,X,X
TLZSOIJ,O,O,X,X,X,X,X,X,X,X
TLZSOJI,O,O,X,X,X,X,X,X,X,X
TLZOIJS,O,O,X,X,O,X,X,X,X,X
TLZOISJ,O,O,X,X,O,X,X,X,X,X
TLZOJIS,O,O,X,X,O,X,O,X,X,X
TLZOJSI,X,O,X,X,X,X,O,X,X,X
TLZOSIJ,O,O,X,X,X,X,X,X,X,X
TLZOSJI,O,O,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,O,X,O,X,O,X,X,X
TLOIJZS,X,O,O,X,O,X,O,X,X,X
TLOISJZ,X,X,X,X,O,X,X,X,X,X
TLOISZJ,O,X,X,X,O,X,X,X,X,X
TLOIZJS,O,O,X,X,O,X,X,X,X,X
TLOIZSJ,O,O,X,X,O,X,X,X,X,X
TLOJISZ,X,X,O,O,O,X,O,X,X,X
TLOJIZS,X,O,O,X,O,X,O,X,X,X
TLOJSIZ,X,X,O,O,O,X,O,X,X,X
TLOJSZI,X,X,X,O,X,X,O,X,X,X
TLOJZIS,X,O,O,X,O,X,O,X,X,X
TLOJZSI,X,O,X,X,X,X,O,X,X,X
TLOSIJZ,X,X,X,O,O,X,X,X,X,X
TLOSIZJ,O,X,X,O,O,X,X,O,X,X
TLOSJIZ,X,X,X,O,O,X,O,X,X,X
TLOSJZI,X,X,X,O,X,X,O,O,X,X
TLOSZIJ,O,X,X,O,X,X,X,O,X,X
TLOSZJI,O,X,X,O,X,X,X,O,X,X
TLOZIJS,O,O,X,X,O,X,X,X,X,X
TLOZISJ,O,O,X,X,O,X,X,X,X,X
TLOZJIS,O,O,X,X,O,X,O,X,X,X
TLOZJSI,X,O,X,X,X,X,O,X,X,X
TLOZSIJ,O,O,X,X,X,X,X,X,X,X
TLOZSJI,O,O,X,X,X,X,X,X,X,X
TJILSZO,X,X,O,O,O,X,O,X,O,X
TJILSOZ,X,X,O,O,O,X,O,X,O,X
TJILZSO,X,O,O,X,O,X,O,X,X,X
TJILZOS,X,O,O,X,O,X,O,X,X,X
TJILOSZ,X,X,O,O,O,X,O,X,O,X
TJILOZS,X,O,O,X,O,X,O,X,X,X
TJISLZO,X,X,O,O,O,X,X,X,O,X
TJISLOZ,X,X,O,O,O,O,X,X,O,X
TJISZLO,X,X,X,O,X,X,X,X,O,X
TJISZOL,X,X,X,O,X,X,X,X,O,X
TJISOLZ,X,X,O,O,O,O,X,X,O,X
TJISOZL,X,X,X,O,X,X,X,X,O,X
TJIZLSO,X,X,O,X,O,X,X,X,X,X
TJIZLOS,X,X,O,X,O,X,X,X,X,X
TJIZSLO,X,X,X,O,X,X,X,X,X,X
TJIZSOL,X,O,X,O,X,X,X,X,X,X
TJIZOLS,X,X,O,X,O,X,X,X,X,X
TJIZOSL,X,O,X,O,X,X,X,X,X,X
TJIOLSZ,X,X,O,O,O,X,O,X,O,X
TJIOLZS,X,O,O,X,O,X,O,X,X,X
TJIOSLZ,X,X,O,O,O,O,X,X,O,X
TJIOSZL,X,X,X,O,X,X,X,X,O,X
TJIOZLS,X,X,O,X,O,X,X,X,X,X
TJIOZSL,X,O,X,O,X,X,X,X,X,X
TJLISZO,X,X,O,O,O,X,O,X,X,X
TJLISOZ,X,X,O,O,O,X,O,X,X,X
TJLIZSO,X,O,O,X,O,X,O,X,X,X
TJLIZOS,X,O,O,X,O,X,O,X,X,X
TJLIOSZ,X,X,O,O,O,X,O,X,X,X
TJLIOZS,X,O,O,X,O,X,O,X,X,X
TJLSIZO,X,X,O,O,O,X,O,X,X,X
TJLSIOZ,X,X,O,O,O,X,O,X,X,X
TJLSZIO,X,X,X,O,X,X,O,X,X,X
TJLSZOI,X,X,X,O,X,X,O,X,X,X
TJLSOIZ,X,X,O,O,O,X,O,X,X,X
TJLSOZI,X,X,X,O,X,X,O,X,X,X
TJLZISO,X,O,O,X,O,X,O,X,X,X
TJLZIOS,X,O,O,X,O,X,O,X,X,X
TJLZSIO,X,O,X,X,X,X,O,X,X,X
TJLZSOI,X,O,X,X,X,X,O,X,X,X
TJLZOIS,X,O,O,X,O,X,O,X,X,X
TJLZOSI,X,O,X,X,X,X,O,X,X,X
TJLOISZ,X,X,O,O,O,X,O,X,X,X
TJLOIZS,X,O,O,X,O,X,O,X,X,X
TJLOSIZ,X,X,O,O,O,X,O,X,X,X
TJLOSZI,X,X,X,O,X,X,O,X,X,X
TJLOZIS,X,O,O,X,O,X,O,X,X,X
TJLOZSI,X,O,X,X,X,X,O,X,X,X
TJSILZO,X,X,O,O,O,X,X,X,X,X
TJSILOZ,X,X,O,O,O,O,X,X,X,X
TJSIZLO,X,X,X,O,X,X,X,X,X,X
TJSIZOL,X,X,X,O,X,X,X,X,X,X
TJSIOLZ,X,X,O,O,O,O,X,X,X,X
TJSIOZL,X,X,X,O,X,X,X,X,X,X
TJSLIZO,X,X,O,O,O,X,O,X,X,X
TJSLIOZ,X,X,O,O,O,O,O,X,X,X
TJSLZIO,X,X,X,O,X,X,O,X,X,X
TJSLZOI,X,X,X,O,X,X,O,X,X,X
TJSLOIZ,X,X,O,O,O,O,O,X,X,X
TJSLOZI,X,X,X,O,X,X,O,X,X,X
TJSZILO,X,X,X,O,X,X,X,X,X,X
TJSZIOL,X,X,X,O,X,X,X,X,X,X
TJSZLIO,X,X,X,O,X,X,X,X,X,X
TJSZLOI,X,X,X,O,X,X,X,X,X,X
TJSZOIL,X,X,X,O,X,X,X,X,X,X
TJSZOLI,X,X,X,O,X,X,X,X,X,X
TJSOILZ,X,X,O,O,O,O,X,X,X,X
TJSOIZL,X,X,X,O,X,X,X,X,X,X
TJSOLIZ,X,X,O,O,O,O,O,X,X,X
TJSOLZI,X,X,X,O,X,X,O,X,X,X
TJSOZIL,X,X,X,O,X,X,X,X,X,X
TJSOZLI,X,X,X,O,X,X,X,X,X,X
TJZILSO,X,X,O,X,O,X,X,X,X,X
TJZILOS,X,X,O,X,O,X,X,X,X,X
TJZISLO,X,X,X,O,X,X,X,X,X,X
TJZISOL,X,O,X,O,X,X,X,X,X,X
TJZIOLS,X,X,O,X,O,X,X,X,X,X
TJZIOSL,X,O,X,O,X,X,X,X,X,X
TJZLISO,X,X,O,X,O,X,O,X,X,X
TJZLIOS,X,X,O,X,O,X,O,X,X,X
TJZLSIO,X,X,X,X,X,X,O,X,X,X
TJZLSOI,X,X,X,X,X,X,O,X,X,X
TJZLOIS,X,X,O,X,O,X,O,X,X,X
TJZLOSI,X,X,X,X,X,X,O,X,X,X
TJZSILO,X,X,X,O,X,X,X,X,X,X
TJZSIOL,X,O,X,O,X,X,X,X,X,X
TJZSLIO,X,X,X,O,X,X,X,X,X,X
TJZSLOI,X,X,X,O,X,X,X,X,X,X
TJZSOIL,X,O,X,O,X,X,X,X,X,X
TJZSOLI,X,X,X,O,X,X,X,X,X,X
TJZOILS,X,X,O,X,O,X,X,X,X,X
TJZOISL,X,O,X,O,X,X,X,X,X,X
TJZOLIS,X,X,O,X,O,X,O,X,X,X
TJZOLSI,X,X,X,X,X,X,O,X,X,X
TJZOSIL,X,O,X,O,X,X,X,X,X,X
TJZOSLI,X,X,X,O,X,X,X,X,X,X
TJOILSZ,X,X,O,O,O,X,O,X,O,X
TJOILZS,X,O,O,X,O,X,O,X,X,X
TJOISLZ,X,X,O,O,O,O,X,X,O,X
TJOISZL,X,X,X,O,X,X,X,X,O,X
TJOIZLS,X,X,O,X,O,X,X,X,X,X
TJOIZSL,X,O,X,O,X,X,X,X,X,X
TJOLISZ,X,X,O,O,O,X,O,X,X,X
TJOLIZS,X,O,O,X,O,X,O,X,X,X
TJOLSIZ,X,X,O,O,O,X,O,X,X,X
TJOLSZI,X,X,X,O,X,X,O,X,X,X
TJOLZIS,X,O,O,X,O,X,O,X,X,X
TJOLZSI,X,O,X,X,X,X,O,X,X,X
TJOSILZ,X,X,O,O,O,O,X,X,X,X
TJOSIZL,X,X,X,O,X,X,X,X,X,X
TJOSLIZ,X,X,O,O,O,O,O,X,X,X
TJOSLZI,X,X,X,O,X,X,O,X,X,X
TJOSZIL,X,X,X,O,X,X,X,X,X,X
TJOSZLI,X,X,X,O,X,X,X,X,X,X
TJOZILS,X,X,O,X,O,X,X,X,X,X
TJOZISL,X,O,X,O,X,X,X,X,X,X
TJOZLIS,X,X,O,X,O,X,O,X,X,X
TJOZLSI,X,X,X,X,X,X,O,X,X,X
TJOZSIL,X,O,X,O,X,X,X,X,X,X
TJOZSLI,X,X,X,O,X,X,X,X,X,X
TSILJZO,X,X,X,O,O,X,X,X,X,X
TSILJOZ,X,X,X,O,O,O,X,X,X,X
TSILZJO,O,X,X,O,O,X,X,X,X,X
TSILZOJ,O,X,X,O,O,X,X,X,X,X
TSILOJZ,X,X,X,O,O,O,X,X,X,X
TSILOZJ,O,X,X,O,O,X,X,X,X,X
TSIJLZO,X,X,X,O,O,X,X,X,X,X
TSIJLOZ,X,X,X,O,O,O,X,X,X,X
TSIJZLO,X,X,X,O,X,X,X,X,X,X
TSIJZOL,X,X,X,O,X,X,X,X,X,X
TSIJOLZ,X,X,X,O,O,O,X,X,X,O
TSIJOZL,X,X,X,O,X,X,X,X,X,O
TSIZLJO,O,X,X,O,X,X,X,X,X,X
TSIZLOJ,O,X,X,O,X,X,X,X,X,X
TSIZJLO,O,X,X,O,X,X,X,X,X,X
TSIZJOL,O,X,X,O,X,X,X,X,X,X
TSIZOLJ,O,X,X,O,X,X,X,X,X,X
TSIZOJL,O,X,X,O,X,X,X,X,X,X
TSIOLJZ,X,X,X,O,O,O,X,X,X,X
TSIOLZJ,O,X,X,O,O,X,X,X,X,X
TSIOJLZ,X,X,X,O,O,O,X,X,X,O
TSIOJZL,X,X,X,O,X,X,X,X,X,O
TSIOZLJ,O,X,X,O,X,X,X,X,X,X
TSIOZJL,O,X,X,O,X,X,X,X,X,X
TSLIJZO,X,X,X,O,O,X,X,X,X,X
TSLIJOZ,X,X,X,O,O,O,X,X,X,X
TSLIZJO,O,X,X,O,O,X,X,O,X,X
TSLIZOJ,O,X,X,O,O,X,X,O,X,X
TSLIOJZ,X,X,X,O,O,O,X,X,X,X
TSLIOZJ,O,X,X,O,O,X,X,O,X,X
TSLJIZO,X,X,X,O,O,X,O,X,X,X
TSLJIOZ,X,X,X,O,O,O,O,X,X,X
TSLJZIO,X,X,X,O,X,X,O,O,X,X
TSLJZOI,X,X,X,O,X,X,O,O,X,X
TSLJOIZ,X,X,X,O,O,O,O,X,X,X
TSLJOZI,X,X,X,O,X,X,O,O,X,X
TSLZIJO,O,X,X,O,X,X,X,O,X,X
TSLZIOJ,O,X,X,O,X,X,X,O,X,X
TSLZJIO,O,X,X,O,X,X,X,O,X,X
TSLZJOI,O,X,X,O,X,X,X,O,X,X
TSLZOIJ,O,X,X,O,X,X,X,O,X,X
TSLZOJI,O,X,X,O,X,X,X,O,X,X
TSLOIJZ,X,X,X,O,O,O,X,X,X,X
TSLOIZJ,O,X,X,O,O,X,X,O,X,X
TSLOJIZ,X,X,X,O,O,O,O,X,X,X
TSLOJZI,X,X,X,O,X,X,O,O,X,X
TSLOZIJ,O,X,X,O,X,X,X,O,X,X
TSLOZJI,O,X,X,O,X,X,X,O,X,X
TSJILZO,X,X,X,O,O,X,X,X,X,X
TSJILOZ,X,X,X,O,O,O,X,X,X,X
TSJIZLO,X,X,X,O,X,X,X,X,X,X
TSJIZOL,X,X,X,O,X,X,X,X,X,X
TSJIOLZ,X,X,X,O,O,O,X,X,X,O
TSJIOZL,X,X,X,O,X,X,X,X,X,O
TSJLIZO,X,X,X,O,O,X,O,X,X,X
TSJLIOZ,X,X,X,O,O,O,O,X,X,X
TSJLZIO,X,X,X,O,X,X,O,X,X,X
TSJLZOI,X,X,X,O,X,X,O,X,X,X
TSJLOIZ,X,X,X,O,O,O,O,X,X,X
TSJLOZI,X,X,X,O,X,X,O,X,X,X
TSJZILO,X,X,X,O,X,X,X,X,X,X
TSJZIOL,X,X,X,O,X,X,X,X,X,X
TSJZLIO,X,X,X,O,X,X,X,X,X,X
TSJZLOI,X,X,X,O,X,X,X,X,X,X
TSJZOIL,X,X,X,O,X,X,X,X,X,X
TSJZOLI,X,X,X,O,X,X,X,X,X,X
TSJOILZ,X,X,X,O,O,O,X,X,X,O
TSJOIZL,X,X,X,O,X,X,X,X,X,O
TSJOLIZ,X,X,X,O,O,O,O,X,X,X
TSJOLZI,X,X,X,O,X,X,O,X,X,X
TSJOZIL,X,X,X,O,X,X,X,X,X,X
TSJOZLI,X,X,X,O,X,X,X,X,X,X
TSZILJO,O,X,X,O,X,X,X,X,X,X
TSZILOJ,O,X,X,O,X,X,X,X,X,X
TSZIJLO,O,X,X,O,X,X,X,X,X,X
TSZIJOL,O,X,X,O,X,X,X,X,X,X
TSZIOLJ,O,X,X,O,X,X,X,X,X,X
TSZIOJL,O,X,X,O,X,X,X,X,X,X
TSZLIJO,O,X,X,O,X,X,X,X,X,X
TSZLIOJ,O,X,X,O,X,X,X,X,X,X
TSZLJIO,O,X,X,O,X,X,X,X,X,X
TSZLJOI,O,X,X,O,X,X,X,X,X,X
TSZLOIJ,O,X,X,O,X,X,X,X,X,X
TSZLOJI,O,X,X,O,X,X,X,X,X,X
TSZJILO,O,X,X,O,X,X,X,X,X,X
TSZJIOL,O,X,X,O,X,X,X,X,X,X
TSZJLIO,O,X,X,O,X,X,X,X,X,X
TSZJLOI,O,X,X,O,X,X,X,X,X,X
TSZJOIL,O,X,X,O,X,X,X,X,X,X
TSZJOLI,O,X,X,O,X,X,X,X,X,X
TSZOILJ,O,X,X,O,X,X,X,X,X,X
TSZOIJL,O,X,X,O,X,X,X,X,X,X
TSZOLIJ,O,X,X,O,X,X,X,X,X,X
TSZOLJI,O,X,X,O,X,X,X,X,X,X
TSZOJIL,O,X,X,O,X,X,X,X,X,X
TSZOJLI,O,X,X,O,X,X,X,X,X,X
TSOILJZ,X,X,X,O,O,O,X,X,X,X
TSOILZJ,O,X,X,O,O,X,X,X,X,X
TSOIJLZ,X,X,X,O,O,O,X,X,X,O
TSOIJZL,X,X,X,O,X,X,X,X,X,O
TSOIZLJ,O,X,X,O,X,X,X,X,X,X
TSOIZJL,O,X,X,O,X,X,X,X,X,X
