sequence,v115@9gB8HeB8HeB8HeC8DeC8JexAJvhFOnB6oB/qBznB0r?BFrB,v115@9gB8HeB8HeB8HeC8DeC8JeFCJvhFXjBxlBStBmlB0q?BzrB,v115@9gB8HeB8HeB8HeC8DeC8JexAJvhFKnBziB+oB/qB0r?BFrB,v115@9gB8HeB8HeB8HeC8DeC8Je0AJvhFlhBziB+oB/qBxr?BywB,v115@9gB8HeB8HeB8HeC8DeC8Je3BJvhFziB+oB0lBVsBil?BRwB,v115@9gB8HeB8HeB8HeC8DeC8Je3AJvhF1mBxiBcsBToB2q?BSwB,v115@9gB8HeB8HeB8HeC8DeC8JeUBJvhFFiBTjBWtBxqByw?B/qB,v115@9gB8HeB8HeB8HeC8DeC8JeiAJvhFTjBGmBlqBxsBcs?B3rB,v115@9gB8HeB8HeB8HeC8DeC8JefIJvhF6oBTlBlmBmlBUn?BRwB,v115@9gB8HeB8HeB8HeC8DeC8JeTAJvhFUjBxmBStBlqB3r?BmrB,v115@9gB8HeB8HeB8HeC8DeC8JeXBJvhFxiB2qBToBCsBFs?B0qB
TISJLZO,X,X,X,O,O,X,X,O,X,X,X
TISJLOZ,X,X,X,O,O,X,X,O,O,X,X
TISJZLO,X,X,X,O,O,X,X,O,X,X,X
TISJZOL,X,X,X,O,O,X,X,O,X,O,X
TISJOLZ,X,X,X,O,O,X,X,O,O,X,X
TISJOZL,X,X,X,O,O,X,X,O,X,O,X
TISZLJO,X,X,X,O,O,X,X,X,X,X,X
TISZLOJ,X,X,X,X,X,X,X,X,O,O,X
TISZJLO,X,X,X,O,O,X,X,X,X,X,X
TISZJOL,X,X,X,O,O,X,X,X,X,O,X
TISZOLJ,X,X,X,X,X,X,X,X,O,O,X
TISZOJL,X,X,X,O,O,X,X,X,X,O,X
TISOLJZ,X,X,X,X,X,X,X,O,O,X,X
TISOLZJ,X,X,X,X,X,X,X,X,O,O,X
TISOJLZ,X,X,X,O,O,X,X,O,O,X,X
TISOJZL,X,X,X,O,O,X,X,O,X,O,X
TISOZLJ,X,X,X,X,X,X,X,X,O,O,X
TISOZJL,X,X,X,O,O,X,X,X,X,O,X
TIZLJSO,X,X,X,X,O,X,X,O,X,X,X
TIZLJOS,X,X,X,X,O,X,X,O,X,X,X
TIZLSJO,X,X,X,X,O,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X,O,X,X
TIZLOJS,X,X,X,X,X,X,X,O,X,O,X
TIZLOSJ,X,X,X,X,X,X,X,X,O,O,X
TIZJLSO,X,X,X,X,O,X,X,O,X,X,X
TIZJLOS,X,X,X,X,O,X,X,O,X,X,X
TIZJSLO,X,X,X,O,O,X,X,O,X,X,X
TIZJSOL,X,X,X,O,O,X,X,O,X,X,X
TIZJOLS,X,X,X,X,O,X,X,O,X,O,X
TIZJOSL,X,X,X,O,O,X,X,O,X,O,X
TIZSLJO,X,X,X,O,O,X,X,X,X,X,X
TIZSLOJ,X,X,X,X,X,X,X,X,O,X,X
TIZSJLO,X,X,X,O,O,X,X,X,X,X,X
TIZSJOL,X,X,X,O,O,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,X,X,O,O,X
TIZSOJL,X,X,X,O,O,X,X,X,X,O,X
TIZOLJS,X,X,X,X,X,X,X,O,X,O,X
TIZOLSJ,X,X,X,X,X,X,X,X,O,O,X
TIZOJLS,X,X,X,X,O,X,X,O,X,O,X
TIZOJSL,X,X,X,X,O,X,X,O,X,O,X
TIZOSLJ,X,X,X,X,X,X,X,X,O,O,X
TIZOSJL,X,X,X,X,O,X,X,X,X,O,X
TIOLJSZ,X,X,X,X,X,X,X,O,O,X,X
TIOLJZS,X,X,X,X,X,X,X,O,X,X,X
TIOLSJZ,X,X,X,X,X,X,X,O,O,X,X
TIOLSZJ,X,X,X,X,X,X,X,X,O,X,X
TIOLZJS,X,X,X,X,X,X,X,O,X,O,X
TIOLZSJ,X,X,X,X,X,X,X,X,O,O,X
TIOJLSZ,X,X,X,O,O,X,X,O,O,X,X
TIOJLZS,X,X,X,X,O,X,X,O,X,X,X
TIOJSLZ,X,X,X,O,O,X,X,O,O,X,X
TIOJSZL,X,X,X,O,O,X,X,O,X,X,X
TIOJZLS,X,X,X,X,O,X,X,O,X,O,X
TIOJZSL,X,X,X,O,O,X,X,O,X,O,X
TIOSLJZ,X,X,X,X,X,X,X,O,O,X,X
TIOSLZJ,X,X,X,X,X,X,X,X,O,O,X
TIOSJLZ,X,X,X,O,O,X,X,O,O,X,X
TIOSJZL,X,X,X,O,O,X,X,O,X,O,X
TIOSZLJ,X,X,X,X,X,X,X,X,O,O,X
TIOSZJL,X,X,X,O,O,X,X,X,X,O,X
TIOZLJS,X,X,X,X,X,X,X,O,X,O,X
TIOZLSJ,X,X,X,X,X,X,X,X,O,O,X
TIOZJLS,X,X,X,X,O,X,X,O,X,O,X
TIOZJSL,X,X,X,X,O,X,X,O,X,O,X
TIOZSLJ,X,X,X,X,X,X,X,X,O,O,X
TIOZSJL,X,X,X,X,O,X,X,X,X,O,X
TLIJSZO,X,X,X,X,O,X,O,O,X,X,X
TLIJSOZ,X,X,X,X,O,X,O,O,O,X,X
TLIJZSO,X,X,X,X,O,X,O,O,X,X,X
TLIJZOS,X,X,X,X,O,X,O,O,X,X,X
TLIJOSZ,X,X,X,X,O,X,O,O,O,X,X
TLIJOZS,X,X,X,X,O,X,O,O,X,X,X
TLISJZO,X,X,X,X,O,X,O,O,X,X,X
TLISJOZ,X,X,X,X,O,X,O,O,O,X,X
TLISZJO,X,X,X,X,O,X,X,X,X,X,X
TLISZOJ,X,X,X,X,X,O,X,X,O,X,X
TLISOJZ,X,X,X,X,X,X,X,O,O,X,X
TLISOZJ,X,X,X,X,X,O,X,X,O,X,X
TLIZJSO,X,X,X,X,O,X,O,O,X,X,X
TLIZJOS,X,X,X,X,O,X,O,O,X,X,X
TLIZSJO,X,X,X,X,O,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,O,X,X,O,X,X
TLIZOJS,X,X,X,X,X,O,X,O,X,O,X
TLIZOSJ,X,X,X,X,X,O,X,X,O,O,X
TLIOJSZ,X,X,X,X,X,X,O,O,O,X,X
TLIOJZS,X,X,X,X,X,X,O,O,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,O,O,X,X
TLIOSZJ,X,X,X,X,X,O,X,X,O,X,X
TLIOZJS,X,X,X,X,X,O,X,O,X,O,X
TLIOZSJ,X,X,X,X,X,O,X,X,O,O,X
TLJISZO,X,X,X,X,O,X,O,O,X,X,X
TLJISOZ,X,X,X,X,O,X,O,O,X,X,X
TLJIZSO,X,X,X,X,O,X,O,O,X,X,X
TLJIZOS,X,X,X,X,O,X,O,O,X,X,X
TLJIOSZ,X,X,X,X,O,X,O,O,X,X,X
TLJIOZS,X,X,X,X,O,X,O,O,X,X,X
TLJSIZO,X,X,X,X,O,X,O,O,X,X,X
TLJSIOZ,X,X,O,X,O,X,O,O,X,X,X
TLJSZIO,X,X,O,X,X,X,X,X,X,X,X
TLJSZOI,X,X,O,X,X,O,X,X,X,X,X
TLJSOIZ,X,X,O,X,O,X,O,X,X,X,O
TLJSOZI,X,X,O,X,X,O,X,X,X,X,O
TLJZISO,X,X,X,X,X,X,O,O,X,X,X
TLJZIOS,X,X,X,X,X,X,O,O,X,X,X
TLJZSIO,X,X,O,X,X,X,X,X,X,X,X
TLJZSOI,X,X,O,X,X,O,X,X,X,X,X
TLJZOIS,X,X,X,X,X,O,O,X,X,X,X
TLJZOSI,X,X,O,X,X,O,X,X,X,X,X
TLJOISZ,X,X,X,X,O,X,O,O,X,X,O
TLJOIZS,X,X,X,X,O,X,O,O,X,X,O
TLJOSIZ,X,X,O,X,O,X,O,X,X,X,O
TLJOSZI,X,X,O,X,X,O,X,X,X,X,O
TLJOZIS,X,X,X,X,X,O,O,X,X,X,O
TLJOZSI,X,X,O,X,X,O,X,X,X,X,O
TLSIJZO,X,X,X,X,O,X,O,O,X,X,X
TLSIJOZ,X,X,O,X,O,X,O,O,O,X,X
TLSIZJO,O,O,X,X,O,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,X,O,X,X,O,O,X
TLSIOJZ,O,O,X,X,X,X,X,O,O,X,X
TLSIOZJ,X,O,X,X,X,O,X,X,O,O,X
TLSJIZO,X,X,X,X,O,X,O,O,X,X,X
TLSJIOZ,X,X,O,X,O,X,O,O,X,X,X
TLSJZIO,X,O,O,X,X,X,X,X,X,X,X
TLSJZOI,X,X,O,X,X,O,X,X,X,X,X
TLSJOIZ,X,O,O,X,O,X,O,X,X,X,X
TLSJOZI,X,O,O,X,X,O,X,X,X,X,X
TLSZIJO,O,O,O,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,X,X,X,O,X,X,X,X,X
TLSZJIO,O,O,O,X,X,X,X,X,X,X,X
TLSZJOI,X,X,O,X,X,O,X,X,X,X,X
TLSZOIJ,O,O,X,X,X,O,X,X,X,X,X
TLSZOJI,O,O,X,X,X,O,X,X,X,X,X
TLSOIJZ,O,O,X,X,X,X,X,X,O,X,X
TLSOIZJ,X,O,X,X,X,O,X,X,O,O,X
TLSOJIZ,O,O,X,X,X,X,X,X,X,X,X
TLSOJZI,O,O,X,X,X,O,X,X,X,X,X
TLSOZIJ,O,O,X,X,X,O,X,X,X,X,X
TLSOZJI,O,O,X,X,X,O,X,X,X,X,X
TLZIJSO,X,O,X,X,X,X,O,O,X,X,X
TLZIJOS,X,X,X,X,X,X,O,O,X,X,X
TLZISJO,X,O,X,X,X,X,X,X,X,X,X
TLZISOJ,X,O,X,X,X,O,X,X,X,X,X
TLZIOJS,X,X,X,X,X,O,X,O,X,X,X
TLZIOSJ,X,O,X,X,X,O,X,X,X,X,X
TLZJISO,X,X,X,X,X,X,O,O,X,X,X
TLZJIOS,X,X,X,X,X,X,O,O,X,X,X
TLZJSIO,O,X,O,X,X,X,X,X,X,X,X
TLZJSOI,X,X,O,X,X,O,X,X,X,X,X
TLZJOIS,X,X,X,X,X,O,O,X,X,X,X
TLZJOSI,X,X,O,X,X,O,X,X,X,X,X
TLZSIJO,O,O,O,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,X,X,X,O,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,X,X,X,X
TLZSJOI,X,X,O,X,X,O,X,X,X,X,X
TLZSOIJ,O,O,X,X,X,O,X,X,X,X,X
TLZSOJI,O,O,X,X,X,O,X,X,X,X,X
TLZOIJS,X,O,X,X,X,O,X,X,X,X,X
TLZOISJ,X,O,X,X,X,O,X,X,X,X,X
TLZOJIS,X,O,X,X,X,O,X,X,X,X,X
TLZOJSI,O,O,X,X,X,O,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,O,X,X,X,X,X
TLZOSJI,O,O,X,X,X,O,X,X,X,X,X
TLOIJSZ,X,O,X,X,X,X,O,O,X,X,X
TLOIJZS,X,X,X,X,X,X,O,O,X,X,X
TLOISJZ,X,O,X,X,X,X,X,O,X,X,X
TLOISZJ,X,O,X,X,X,O,X,X,X,X,X
TLOIZJS,X,O,X,X,X,O,X,O,X,O,X
TLOIZSJ,X,O,X,X,X,O,X,X,X,O,X
TLOJISZ,X,O,X,X,X,X,O,O,X,X,O
TLOJIZS,X,X,X,X,X,X,O,O,X,X,O
TLOJSIZ,O,O,X,X,X,X,O,X,X,X,O
TLOJSZI,O,O,X,X,X,O,X,X,X,X,O
TLOJZIS,X,O,X,X,X,O,O,X,X,X,O
TLOJZSI,O,O,X,X,X,O,X,X,X,X,O
TLOSIJZ,O,O,X,X,X,X,X,X,O,X,X
TLOSIZJ,X,O,X,X,X,O,X,X,O,O,X
TLOSJIZ,O,O,X,X,X,X,X,X,X,X,X
TLOSJZI,O,O,X,X,X,O,X,X,X,X,X
TLOSZIJ,O,O,X,X,X,O,X,X,X,X,X
TLOSZJI,O,O,X,X,X,O,X,X,X,X,X
TLOZIJS,X,O,X,X,X,O,X,X,X,X,X
TLOZISJ,X,O,X,X,X,O,X,X,X,X,X
TLOZJIS,X,O,X,X,X,O,X,X,X,X,X
TLOZJSI,O,O,X,X,X,O,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,O,X,X,X,X,X
TLOZSJI,O,O,X,X,X,O,X,X,X,X,X
TJILSZO,X,X,X,O,O,X,O,O,X,X,X
TJILSOZ,X,X,X,O,O,X,O,O,X,X,X
TJILZSO,X,X,X,X,O,X,O,O,X,X,X
TJILZOS,X,X,X,X,O,X,O,O,X,X,X
TJILOSZ,X,X,X,O,O,X,O,O,X,X,X
TJILOZS,X,X,X,X,O,X,O,O,X,X,X
TJISLZO,X,X,X,O,O,X,X,O,X,X,X
TJISLOZ,X,X,X,O,O,X,X,O,X,X,X
TJISZLO,X,X,X,O,O,X,X,O,X,X,X
TJISZOL,X,X,X,O,O,X,X,O,X,X,X
TJISOLZ,X,X,X,O,O,X,X,O,X,X,X
TJISOZL,X,X,X,O,O,X,X,O,X,X,X
TJIZLSO,X,X,X,X,O,X,X,O,X,X,X
TJIZLOS,X,X,X,X,O,X,X,O,X,X,X
TJIZSLO,X,X,X,O,O,X,X,O,X,X,X
TJIZSOL,X,X,X,O,O,X,X,O,X,X,X
TJIZOLS,X,X,X,X,O,X,X,O,X,O,X
TJIZOSL,X,X,X,O,O,X,X,O,X,O,X
TJIOLSZ,X,X,X,O,O,X,O,O,X,X,X
TJIOLZS,X,X,X,X,O,X,O,O,X,X,X
TJIOSLZ,X,X,X,O,O,X,X,O,X,X,X
TJIOSZL,X,X,X,O,O,X,X,O,X,X,X
TJIOZLS,X,X,X,X,O,X,X,O,X,O,X
TJIOZSL,X,X,X,O,O,X,X,O,X,O,X
TJLISZO,X,X,X,X,O,X,O,O,X,X,X
TJLISOZ,X,X,X,X,O,X,O,O,X,X,X
TJLIZSO,X,X,X,X,O,X,O,O,X,X,X
TJLIZOS,X,X,X,X,O,X,O,O,X,X,X
TJLIOSZ,X,X,X,X,O,X,O,O,X,X,X
TJLIOZS,X,X,X,X,O,X,O,O,X,X,X
TJLSIZO,X,X,X,X,O,X,O,O,X,X,X
TJLSIOZ,X,X,O,X,O,X,O,O,X,X,X
TJLSZIO,X,X,O,X,X,X,X,X,X,X,X
TJLSZOI,X,X,O,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,O,X,O,X,O,X,X,X,O
TJLSOZI,X,X,O,X,X,X,X,X,X,X,O
TJLZISO,X,X,X,X,X,X,O,O,X,X,X
TJLZIOS,X,X,X,X,X,X,O,O,X,X,X
TJLZSIO,X,X,O,X,X,X,X,X,X,X,X
TJLZSOI,X,X,O,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,O,X,X,X,X
TJLZOSI,X,X,O,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,O,X,O,O,X,X,O
TJLOIZS,X,X,X,X,O,X,O,O,X,X,O
TJLOSIZ,X,X,O,X,O,X,O,X,X,X,O
TJLOSZI,X,X,O,X,X,X,X,X,X,X,O
TJLOZIS,X,X,X,X,X,X,O,X,X,X,O
TJLOZSI,X,X,O,X,X,X,X,X,X,X,O
TJSILZO,X,X,X,O,O,X,X,O,X,X,X
TJSILOZ,X,X,O,O,O,X,X,O,X,X,X
TJSIZLO,X,X,O,O,O,X,X,O,X,X,X
TJSIZOL,X,X,X,O,O,X,X,O,X,O,X
TJSIOLZ,X,X,X,O,O,X,X,O,X,X,X
TJSIOZL,X,X,X,O,O,X,X,O,X,O,X
TJSLIZO,X,X,X,X,O,X,O,O,X,X,X
TJSLIOZ,X,X,O,X,O,X,O,O,X,X,X
TJSLZIO,X,X,O,X,X,X,X,X,X,X,X
TJSLZOI,X,X,O,X,X,X,X,X,X,X,X
TJSLOIZ,X,X,O,X,O,X,O,X,X,X,O
TJSLOZI,X,X,O,X,X,X,X,X,X,X,O
TJSZILO,X,X,O,O,O,X,X,X,X,X,X
TJSZIOL,X,X,X,O,O,X,X,X,X,X,X
TJSZLIO,X,X,O,O,X,X,X,X,X,X,X
TJSZLOI,X,X,O,O,X,X,X,X,X,X,X
TJSZOIL,X,X,X,O,O,X,X,X,X,X,X
TJSZOLI,X,X,O,O,X,X,X,X,X,X,X
TJSOILZ,X,X,X,O,O,X,X,X,X,X,X
TJSOIZL,X,X,X,O,O,X,X,X,X,O,X
TJSOLIZ,X,X,O,X,O,X,O,X,X,X,O
TJSOLZI,X,X,O,X,X,X,X,X,X,X,O
TJSOZIL,X,X,X,O,O,X,X,X,X,X,X
TJSOZLI,X,X,O,O,X,X,X,X,X,X,X
TJZILSO,X,X,X,X,O,X,X,O,X,X,X
TJZILOS,X,X,X,X,O,X,X,O,X,X,X
TJZISLO,X,X,X,X,O,X,X,O,X,X,X
TJZISOL,X,X,X,X,O,X,X,O,X,X,X
TJZIOLS,X,X,X,X,O,X,X,O,X,X,X
TJZIOSL,X,X,X,X,O,X,X,O,X,X,X
TJZLISO,X,X,X,X,X,X,O,O,X,X,X
TJZLIOS,X,X,X,X,X,X,O,O,X,X,X
TJZLSIO,X,X,O,X,X,X,X,X,X,X,X
TJZLSOI,X,X,O,X,X,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X,O,X,X,X,X
TJZLOSI,X,X,O,X,X,X,X,X,X,X,X
TJZSILO,X,X,O,X,O,X,X,X,X,X,X
TJZSIOL,X,X,X,X,O,X,X,X,X,X,X
TJZSLIO,X,X,O,X,X,X,X,X,X,X,X
TJZSLOI,X,X,O,X,X,X,X,X,X,X,X
TJZSOIL,X,X,X,X,O,X,X,X,X,X,X
TJZSOLI,X,X,O,X,X,X,X,X,X,X,X
TJZOILS,X,X,X,X,O,X,X,X,X,X,X
TJZOISL,X,X,X,X,O,X,X,X,X,X,X
TJZOLIS,X,X,X,X,X,X,O,X,X,X,X
TJZOLSI,X,X,O,X,X,X,X,X,X,X,X
TJZOSIL,X,X,X,X,O,X,X,X,X,X,X
TJZOSLI,X,X,O,X,X,X,X,X,X,X,X
TJOILSZ,X,X,X,O,O,X,O,O,X,X,X
TJOILZS,X,X,X,X,O,X,O,O,X,X,X
TJOISLZ,X,X,X,O,O,X,X,O,X,X,X
TJOISZL,X,X,X,O,O,X,X,O,X,X,X
TJOIZLS,X,X,X,X,O,X,X,O,X,O,X
TJOIZSL,X,X,X,O,O,X,X,O,X,O,X
TJOLISZ,X,X,X,X,O,X,O,O,X,X,O
TJOLIZS,X,X,X,X,O,X,O,O,X,X,O
TJOLSIZ,X,X,O,X,O,X,O,X,X,X,O
TJOLSZI,X,X,O,X,X,X,X,X,X,X,O
TJOLZIS,X,X,X,X,X,X,O,X,X,X,O
TJOLZSI,X,X,O,X,X,X,X,X,X,X,O
TJOSILZ,X,X,X,O,O,X,X,X,X,X,X
TJOSIZL,X,X,X,O,O,X,X,X,X,O,X
TJOSLIZ,X,X,O,X,O,X,O,X,X,X,O
TJOSLZI,X,X,O,X,X,X,X,X,X,X,O
TJOSZIL,X,X,X,O,O,X,X,X,X,X,X
TJOSZLI,X,X,O,O,X,X,X,X,X,X,X
TJOZILS,X,X,X,X,O,X,X,X,X,X,X
TJOZISL,X,X,X,X,O,X,X,X,X,X,X
TJOZLIS,X,X,X,X,X,X,O,X,X,X,X
TJOZLSI,X,X,O,X,X,X,X,X,X,X,X
TJOZSIL,X,X,X,X,O,X,X,X,X,X,X
TJOZSLI,X,X,O,X,X,X,X,X,X,X,X
TSILJZO,X,X,X,O,O,X,X,O,X,X,X
TSILJOZ,X,X,O,O,O,X,X,O,O,X,X
TSILZJO,O,X,X,O,O,X,X,X,X,X,X
TSILZOJ,O,X,X,X,X,X,X,X,O,O,X
TSILOJZ,O,X,X,X,X,X,X,O,O,X,X
TSILOZJ,X,X,X,X,X,X,X,X,O,O,X
TSIJLZO,X,X,X,O,O,X,X,O,X,X,X
TSIJLOZ,X,X,O,O,O,X,X,O,O,X,X
TSIJZLO,X,X,O,O,O,X,X,O,X,X,X
TSIJZOL,X,X,X,O,O,X,X,O,X,O,X
TSIJOLZ,X,X,X,O,O,X,X,O,O,X,X
TSIJOZL,X,X,X,O,O,X,X,O,X,O,X
TSIZLJO,O,X,O,O,O,X,X,X,X,X,X
TSIZLOJ,O,X,X,X,X,X,X,X,O,O,X
TSIZJLO,O,X,O,O,O,X,X,X,X,X,X
TSIZJOL,O,X,X,O,O,X,X,X,X,O,X
TSIZOLJ,O,X,X,X,X,X,X,X,O,O,X
TSIZOJL,O,X,X,O,O,X,X,X,X,O,X
TSIOLJZ,O,X,X,X,X,X,X,O,O,X,X
TSIOLZJ,X,X,X,X,X,X,X,X,O,O,X
TSIOJLZ,O,X,X,O,O,X,X,O,O,X,X
TSIOJZL,X,X,X,O,O,X,X,O,X,O,X
TSIOZLJ,X,X,X,X,X,X,X,X,O,O,X
TSIOZJL,X,X,X,O,O,X,X,X,X,O,X
TSLIJZO,X,X,X,X,O,X,X,O,X,X,X
TSLIJOZ,X,X,O,X,O,X,X,O,O,X,X
TSLIZJO,O,X,X,X,O,X,X,X,X,X,X
TSLIZOJ,O,X,X,X,X,X,X,X,O,O,X
TSLIOJZ,O,X,X,X,X,X,X,O,O,X,X
TSLIOZJ,X,X,X,X,X,X,X,X,O,O,X
TSLJIZO,X,X,X,X,O,X,X,O,X,X,X
TSLJIOZ,X,X,O,X,O,X,X,O,X,X,X
TSLJZIO,X,X,O,X,X,X,X,X,X,X,X
TSLJZOI,X,X,O,X,X,X,X,X,X,X,X
TSLJOIZ,X,X,O,X,O,X,X,X,X,X,X
TSLJOZI,X,X,O,X,X,X,X,X,X,X,X
TSLZIJO,O,X,O,X,X,X,X,X,X,X,X
TSLZIOJ,O,X,X,X,X,X,X,X,X,X,X
TSLZJIO,O,X,O,X,X,X,X,X,X,X,X
TSLZJOI,X,X,O,X,X,X,X,X,X,X,X
TSLZOIJ,O,X,X,X,X,X,X,X,X,X,X
TSLZOJI,O,X,X,X,X,X,X,X,X,X,X
TSLOIJZ,O,X,X,X,X,X,X,X,O,X,X
TSLOIZJ,X,X,X,X,X,X,X,X,O,O,X
TSLOJIZ,O,X,X,X,X,X,X,X,X,X,X
TSLOJZI,O,X,X,X,X,X,X,X,X,X,X
TSLOZIJ,O,X,X,X,X,X,X,X,X,X,X
TSLOZJI,O,X,X,X,X,X,X,X,X,X,X
TSJILZO,X,X,X,O,O,X,X,O,X,X,X
TSJILOZ,X,X,O,O,O,X,X,O,X,X,X
TSJIZLO,X,X,O,O,O,X,X,O,X,X,X
TSJIZOL,X,X,X,O,O,X,X,O,X,O,X
TSJIOLZ,X,X,X,O,O,X,X,O,X,X,X
TSJIOZL,X,X,X,O,O,X,X,O,X,O,X
TSJLIZO,X,X,X,X,O,X,X,O,X,X,X
TSJLIOZ,X,X,O,X,O,X,X,O,X,X,X
TSJLZIO,X,X,O,X,X,X,X,X,X,X,X
TSJLZOI,X,X,O,X,X,X,X,X,X,X,X
TSJLOIZ,X,X,O,X,O,X,X,X,X,X,X
TSJLOZI,X,X,O,X,X,X,X,X,X,X,X
TSJZILO,X,X,O,O,O,X,X,X,X,X,X
TSJZIOL,X,X,X,O,O,X,X,X,X,X,X
TSJZLIO,X,X,O,O,X,X,X,X,X,X,X
TSJZLOI,X,X,O,O,X,X,X,X,X,X,X
TSJZOIL,X,X,X,O,O,X,X,X,X,X,X
TSJZOLI,X,X,O,O,X,X,X,X,X,X,X
TSJOILZ,X,X,X,O,O,X,X,X,X,X,X
TSJOIZL,X,X,X,O,O,X,X,X,X,O,X
