sequence,v115@KhA8FeA8BeB8DeF8CeB8Je/EJvhFalBRhBGjBznBUs?BlrB,v115@KhA8FeA8BeB8DeF8CeB8JeT/IvhFelBFhBxiBXoBUs?BCsB,v115@KhA8FeA8BeB8DeF8CeB8Jem/IvhFFhBXiBTjB0kBRs?BSxB,v115@KhA8FeA8BeB8DeF8CeB8JeT/IvhFelBFhBSoBRsB8r?B3sB,v115@KhA8FeA8BeB8DeF8CeB8JeRBJvhF3iBcoBlkB6rBmk?BTsB,v115@KhA8FeA8BeB8DeF8CeB8Jei/IvhFRhBcoBzkBlmBXs?BusB
IZSOJTL,O,O,O,X,X,X
IZSOJLT,O,O,O,X,X,X
IZOTLJS,X,X,O,X,O,X
IZOTLSJ,X,X,O,X,O,O
IZOTJLS,X,X,O,X,X,X
IZOTJSL,O,X,O,X,X,X
IZOTSLJ,O,X,O,X,O,O
IZOTSJL,O,X,O,X,X,O
IZOLTJS,X,X,O,X,O,X
IZOLTSJ,X,X,O,X,O,O
IZOLJTS,X,X,O,O,O,X
IZOLJST,O,X,O,O,O,X
IZOLSTJ,O,X,O,X,O,O
IZOLSJT,O,X,O,X,O,X
IZOJTLS,X,X,O,O,X,X
IZOJTSL,O,O,O,O,X,X
IZOJLTS,X,X,O,O,X,X
IZOJLST,O,X,O,O,X,X
IZOJSTL,O,O,O,O,X,X
IZOJSLT,O,O,O,O,X,X
IZOSTLJ,O,X,O,X,O,O
IZOSTJL,O,O,O,X,X,O
IZOSLTJ,O,X,O,X,O,O
IZOSLJT,O,O,O,X,O,X
IZOSJTL,O,O,O,X,X,X
IZOSJLT,O,O,O,X,X,X
IOTLJSZ,X,X,X,O,X,O
IOTLJZS,X,X,X,O,O,X
IOTLSJZ,X,X,X,X,X,O
IOTLSZJ,X,X,O,X,O,O
IOTLZJS,X,X,O,X,O,X
IOTLZSJ,X,X,O,X,O,O
IOTJLSZ,X,X,X,O,X,O
IOTJLZS,X,X,X,O,X,X
IOTJSLZ,O,X,X,O,X,O
IOTJSZL,X,X,O,O,X,O
IOTJZLS,X,X,O,O,X,X
IOTJZSL,X,X,O,O,X,X
IOTSLJZ,O,X,X,X,X,O
IOTSLZJ,X,X,O,X,X,O
IOTSJLZ,O,X,X,X,X,O
IOTSJZL,X,X,O,X,X,O
IOTSZLJ,X,X,O,X,X,O
IOTSZJL,X,X,O,X,X,O
IOTZLJS,X,X,O,X,O,X
IOTZLSJ,X,X,O,X,O,O
IOTZJLS,X,X,O,X,X,X
IOTZJSL,X,X,O,X,X,X
IOTZSLJ,X,X,O,X,O,O
IOTZSJL,X,X,O,X,X,O
IOLTJSZ,X,X,X,O,X,O
IOLTJZS,X,X,X,O,O,X
IOLTSJZ,X,X,X,X,X,O
IOLTSZJ,X,X,O,X,O,O
IOLTZJS,X,X,O,X,O,X
IOLTZSJ,X,X,O,X,O,O
IOLJTSZ,X,X,X,O,X,O
IOLJTZS,X,X,X,O,O,X
IOLJSTZ,O,X,X,O,X,X
IOLJSZT,O,X,X,O,X,X
IOLJZTS,X,X,X,O,O,X
IOLJZST,X,X,X,O,O,X
IOLSTJZ,O,X,X,X,X,O
IOLSTZJ,X,X,O,X,O,O
IOLSJTZ,O,X,X,O,X,X
IOLSJZT,O,X,X,O,X,X
IOLSZTJ,X,X,O,X,O,O
IOLSZJT,O,X,O,X,O,X
IOLZTJS,X,X,O,X,O,X
IOLZTSJ,X,X,O,X,O,O
IOLZJTS,X,X,O,O,O,X
IOLZJST,X,X,O,O,O,X
IOLZSTJ,X,X,O,X,O,O
IOLZSJT,X,X,O,X,O,X
IOJTLSZ,X,X,X,O,X,O
IOJTLZS,X,X,X,O,X,X
IOJTSLZ,O,O,X,O,X,O
IOJTSZL,X,O,O,O,X,O
IOJTZLS,X,X,O,O,X,X
IOJTZSL,X,O,O,O,X,X
IOJLTSZ,X,X,X,O,X,O
IOJLTZS,X,X,X,O,X,X
IOJLSTZ,O,X,X,O,X,X
IOJLSZT,O,X,X,O,X,X
IOJLZTS,X,X,X,O,X,X
IOJLZST,X,X,X,O,X,X
IOJSTLZ,O,O,X,O,X,X
IOJSTZL,X,O,O,O,X,X
IOJSLTZ,O,O,X,O,X,X
IOJSLZT,O,O,X,O,X,X
IOJSZTL,O,O,O,O,X,X
IOJSZLT,O,O,O,O,X,X
IOJZTLS,X,X,O,O,X,X
IOJZTSL,O,O,O,O,X,X
IOJZLTS,X,X,O,O,X,X
IOJZLST,O,X,O,O,X,X
IOJZSTL,O,O,O,O,X,X
IOJZSLT,O,O,O,O,X,X
IOSTLJZ,O,X,X,X,X,O
IOSTLZJ,X,X,O,X,X,O
IOSTJLZ,O,O,X,X,X,O
IOSTJZL,X,O,O,X,X,O
IOSTZLJ,X,X,O,X,X,O
IOSTZJL,X,O,O,X,X,O
IOSLTJZ,O,X,X,X,X,O
IOSLTZJ,X,X,O,X,X,O
IOSLJTZ,O,O,X,O,X,X
IOSLJZT,O,O,X,O,X,X
IOSLZTJ,O,X,O,X,X,O
IOSLZJT,O,O,O,X,X,X
IOSJTLZ,O,O,X,O,X,X
IOSJTZL,X,O,O,O,X,X
IOSJLTZ,O,O,X,O,X,X
IOSJLZT,O,O,X,O,X,X
IOSJZTL,O,O,O,O,X,X
IOSJZLT,O,O,O,O,X,X
IOSZTLJ,O,X,O,X,X,O
IOSZTJL,O,O,O,X,X,O
IOSZLTJ,O,X,O,X,X,O
IOSZLJT,O,O,O,X,X,X
IOSZJTL,O,O,O,X,X,X
IOSZJLT,O,O,O,X,X,X
IOZTLJS,X,X,O,X,O,X
IOZTLSJ,X,X,O,X,O,O
IOZTJLS,X,X,O,X,X,X
IOZTJSL,O,X,O,X,X,X
IOZTSLJ,O,X,O,X,O,O
IOZTSJL,O,X,O,X,X,O
IOZLTJS,X,X,O,X,O,X
IOZLTSJ,X,X,O,X,O,O
IOZLJTS,X,X,O,O,O,X
IOZLJST,O,X,O,O,O,X
IOZLSTJ,O,X,O,X,O,O
IOZLSJT,O,X,O,X,O,X
IOZJTLS,X,X,O,O,X,X
IOZJTSL,O,O,O,O,X,X
IOZJLTS,X,X,O,O,X,X
IOZJLST,O,X,O,O,X,X
IOZJSTL,O,O,O,O,X,X
IOZJSLT,O,O,O,O,X,X
IOZSTLJ,O,X,O,X,O,O
IOZSTJL,O,O,O,X,X,O
IOZSLTJ,O,X,O,X,O,O
IOZSLJT,O,O,O,X,O,X
IOZSJTL,O,O,O,X,X,X
IOZSJLT,O,O,O,X,X,X
LTIJSZO,X,X,X,O,X,X
LTIJSOZ,X,X,X,O,X,X
LTIJZSO,X,X,X,O,O,X
LTIJZOS,X,X,X,O,X,X
LTIJOSZ,X,X,X,O,X,X
LTIJOZS,X,X,X,O,O,X
LTISJZO,X,X,X,O,X,X
LTISJOZ,X,X,X,O,X,X
LTISZJO,X,X,O,X,O,X
LTISZOJ,X,X,O,X,O,O
LTISOJZ,X,X,X,X,X,O
LTISOZJ,X,X,O,X,O,O
LTIZJSO,X,X,O,O,O,X
LTIZJOS,X,X,O,O,X,X
LTIZSJO,X,X,O,X,O,X
LTIZSOJ,X,X,O,X,O,X
LTIZOJS,X,X,O,X,O,X
LTIZOSJ,X,X,O,X,O,X
LTIOJSZ,X,X,X,O,X,O
LTIOJZS,X,X,X,O,O,X
LTIOSJZ,X,X,X,X,X,O
LTIOSZJ,X,X,O,X,O,O
LTIOZJS,X,X,O,X,O,X
LTIOZSJ,X,X,O,X,O,O
LTJISZO,X,X,X,O,X,X
LTJISOZ,X,X,X,O,X,X
LTJIZSO,X,X,X,O,O,X
LTJIZOS,X,X,X,O,X,X
LTJIOSZ,X,X,X,O,X,X
LTJIOZS,X,X,X,O,O,X
LTJSIZO,X,X,X,O,X,X
LTJSIOZ,X,O,X,O,X,X
LTJSZIO,X,O,X,X,X,X
LTJSZOI,X,O,X,X,X,X
LTJSOIZ,X,O,X,O,X,X
LTJSOZI,X,O,X,X,X,X
LTJZISO,X,X,X,O,O,X
LTJZIOS,X,X,X,O,X,X
LTJZSIO,X,O,X,X,O,X
LTJZSOI,X,O,X,X,O,X
LTJZOIS,X,X,X,O,O,X
LTJZOSI,X,O,X,X,O,X
LTJOISZ,X,X,X,O,X,X
LTJOIZS,X,X,X,O,O,X
LTJOSIZ,X,O,X,O,X,X
LTJOSZI,X,O,X,X,X,X
LTJOZIS,X,X,X,O,O,X
LTJOZSI,X,O,X,X,O,X
LTSIJZO,X,X,X,O,X,X
LTSIJOZ,X,O,X,O,X,X
LTSIZJO,X,X,X,X,O,X
LTSIZOJ,X,X,X,X,O,O
LTSIOJZ,X,X,X,X,X,O
LTSIOZJ,X,X,X,X,O,O
LTSJIZO,X,X,X,O,X,X
LTSJIOZ,X,O,X,O,X,X
LTSJZIO,X,O,X,X,X,X
LTSJZOI,X,O,X,X,X,X
LTSJOIZ,X,O,X,O,X,X
LTSJOZI,X,O,X,X,X,X
LTSZIJO,X,O,X,X,O,X
LTSZIOJ,X,X,X,X,O,O
LTSZJIO,X,O,X,X,O,X
LTSZJOI,X,O,X,X,O,X
LTSZOIJ,X,X,X,X,O,O
LTSZOJI,X,X,X,X,O,O
LTSOIJZ,X,X,X,X,X,O
LTSOIZJ,X,X,X,X,O,O
LTSOJIZ,X,X,X,X,X,O
LTSOJZI,X,X,X,X,X,O
LTSOZIJ,X,X,X,X,O,O
LTSOZJI,X,X,X,X,O,O
LTZIJSO,X,X,O,O,O,X
LTZIJOS,X,X,O,O,X,X
LTZISJO,X,X,O,X,O,X
LTZISOJ,X,X,O,X,O,X
LTZIOJS,X,X,O,X,O,X
LTZIOSJ,X,X,O,X,O,X
LTZJISO,X,X,O,O,O,X
LTZJIOS,X,X,O,O,X,X
LTZJSIO,X,O,X,X,O,X
LTZJSOI,X,O,X,X,O,X
LTZJOIS,X,X,O,O,O,X
LTZJOSI,X,O,X,X,O,X
LTZSIJO,X,O,X,X,O,X
LTZSIOJ,X,X,X,X,O,X
LTZSJIO,X,O,X,X,O,X
LTZSJOI,X,O,X,X,O,X
LTZSOIJ,X,X,X,X,O,X
LTZSOJI,X,X,X,X,O,X
LTZOIJS,X,X,O,X,O,X
LTZOISJ,X,X,O,X,O,X
LTZOJIS,X,X,O,X,O,X
LTZOJSI,X,X,X,X,O,X
LTZOSIJ,X,X,X,X,O,X
LTZOSJI,X,X,X,X,O,X
LTOIJSZ,X,X,X,O,X,O
LTOIJZS,X,X,X,O,O,X
LTOISJZ,X,X,X,X,X,O
LTOISZJ,X,X,O,X,O,O
LTOIZJS,X,X,O,X,O,X
LTOIZSJ,X,X,O,X,O,O
LTOJISZ,X,X,X,O,X,O
LTOJIZS,X,X,X,O,O,X
LTOJSIZ,X,X,X,O,X,O
LTOJSZI,X,X,X,X,X,O
LTOJZIS,X,X,X,O,O,X
LTOJZSI,X,X,X,X,O,X
LTOSIJZ,X,X,X,X,X,O
LTOSIZJ,X,X,X,X,O,O
LTOSJIZ,X,X,X,X,X,O
LTOSJZI,X,X,X,X,X,O
LTOSZIJ,X,X,X,X,O,O
LTOSZJI,X,X,X,X,O,O
LTOZIJS,X,X,O,X,O,X
LTOZISJ,X,X,O,X,O,O
LTOZJIS,X,X,O,X,O,X
LTOZJSI,X,X,X,X,O,X
LTOZSIJ,X,X,X,X,O,O
LTOZSJI,X,X,X,X,O,O
LITJSZO,X,X,X,O,X,X
LITJSOZ,X,X,X,O,X,X
LITJZSO,X,X,X,O,O,X
LITJZOS,X,X,X,O,X,X
LITJOSZ,X,X,X,O,X,X
LITJOZS,X,X,X,O,O,X
LITSJZO,X,X,X,O,X,X
LITSJOZ,X,X,X,O,X,X
LITSZJO,X,X,O,X,O,X
LITSZOJ,X,X,O,X,O,O
LITSOJZ,X,X,X,X,X,O
LITSOZJ,X,X,O,X,O,O
LITZJSO,X,X,O,O,O,X
LITZJOS,X,X,O,O,X,X
LITZSJO,X,X,O,X,O,X
LITZSOJ,X,X,O,X,O,X
LITZOJS,X,X,O,X,O,X
LITZOSJ,X,X,O,X,O,X
LITOJSZ,X,X,X,O,X,O
LITOJZS,X,X,X,O,O,X
LITOSJZ,X,X,X,X,X,O
LITOSZJ,X,X,O,X,O,O
LITOZJS,X,X,O,X,O,X
LITOZSJ,X,X,O,X,O,O
LIJTSZO,X,X,X,O,X,X
LIJTSOZ,X,X,X,O,X,X
LIJTZSO,X,X,X,O,O,X
LIJTZOS,X,X,X,O,X,X
LIJTOSZ,X,X,X,O,X,X
LIJTOZS,X,X,X,O,O,X
LIJSTZO,O,X,X,O,X,X
LIJSTOZ,O,X,X,O,X,X
LIJSZTO,O,X,X,O,X,X
LIJSZOT,O,X,X,O,X,X
LIJSOTZ,O,X,X,O,X,X
LIJSOZT,O,X,X,O,X,X
LIJZTSO,X,X,X,O,O,X
LIJZTOS,X,X,X,O,X,X
LIJZSTO,X,X,X,O,O,X
LIJZSOT,X,X,X,O,X,X
LIJZOTS,X,X,X,O,X,X
LIJZOST,X,X,X,O,X,X
LIJOTSZ,X,X,X,O,X,X
LIJOTZS,X,X,X,O,O,X
LIJOSTZ,X,X,X,O,X,X
LIJOSZT,X,X,X,O,X,X
LIJOZTS,X,X,X,O,O,X
LIJOZST,X,X,X,O,O,X
LISTJZO,O,X,X,O,X,X
LISTJOZ,O,X,X,O,X,X
LISTZJO,O,X,O,X,O,X
LISTZOJ,O,X,O,X,O,X
LISTOJZ,O,X,X,X,X,X
LISTOZJ,X,X,O,X,O,X
LISJTZO,O,X,X,O,X,X
LISJTOZ,O,X,X,O,X,X
LISJZTO,O,X,X,O,X,X
LISJZOT,O,X,X,O,X,X
LISJOTZ,O,X,X,O,X,X
LISJOZT,O,X,X,O,X,X
LISZTJO,O,X,O,X,O,X
LISZTOJ,O,X,O,X,O,X
LISZJTO,O,X,O,X,O,X
LISZJOT,O,X,O,X,X,X
LISZOTJ,O,X,O,X,O,X
LISZOJT,O,X,O,X,X,X
LISOTJZ,O,X,X,X,X,X
LISOTZJ,X,X,O,X,O,X
LISOJTZ,O,X,X,O,X,X
LISOJZT,O,X,X,O,X,X
LISOZTJ,O,X,O,X,O,X
LISOZJT,O,X,O,X,O,X
LIZTJSO,X,X,O,O,O,X
LIZTJOS,X,X,O,O,X,X
LIZTSJO,X,X,O,X,O,X
LIZTSOJ,X,X,O,X,O,X
LIZTOJS,X,X,O,X,O,X
LIZTOSJ,X,X,O,X,O,X
LIZJTSO,X,X,O,O,O,X
LIZJTOS,X,X,O,O,X,X
LIZJSTO,O,X,O,O,O,X
LIZJSOT,O,X,O,O,X,X
LIZJOTS,X,X,O,O,X,X
LIZJOST,X,X,O,O,X,X
LIZSTJO,O,X,O,X,O,X
LIZSTOJ,O,X,O,X,O,X
LIZSJTO,O,X,O,X,O,X
LIZSJOT,O,X,O,X,X,X
LIZSOTJ,O,X,O,X,O,X
LIZSOJT,O,X,O,X,X,X
LIZOTJS,X,X,O,X,O,X
LIZOTSJ,X,X,O,X,O,X
LIZOJTS,X,X,O,O,O,X
LIZOJST,O,X,O,O,O,X
LIZOSTJ,O,X,O,X,O,X
LIZOSJT,O,X,O,X,O,X
LIOTJSZ,X,X,X,O,X,O
LIOTJZS,X,X,X,O,O,X
LIOTSJZ,X,X,X,X,X,O
LIOTSZJ,X,X,O,X,O,O
LIOTZJS,X,X,O,X,O,X
LIOTZSJ,X,X,O,X,O,O
LIOJTSZ,X,X,X,O,X,O
LIOJTZS,X,X,X,O,O,X
LIOJSTZ,O,X,X,O,X,X
LIOJSZT,O,X,X,O,X,X
LIOJZTS,X,X,X,O,O,X
LIOJZST,X,X,X,O,O,X
LIOSTJZ,O,X,X,X,X,O
LIOSTZJ,X,X,O,X,O,O
LIOSJTZ,O,X,X,O,X,X
LIOSJZT,O,X,X,O,X,X
LIOSZTJ,X,X,O,X,O,X
LIOSZJT,O,X,O,X,O,X
LIOZTJS,X,X,O,X,O,X
LIOZTSJ,X,X,O,X,O,O
LIOZJTS,X,X,O,O,O,X
LIOZJST,X,X,O,O,O,X
LIOZSTJ,X,X,O,X,O,X
LIOZSJT,X,X,O,X,O,X
LJTISZO,X,X,X,O,X,X
LJTISOZ,X,X,X,O,X,X
LJTIZSO,X,X,X,O,O,X
LJTIZOS,X,X,X,O,X,X
LJTIOSZ,X,X,X,O,X,X
LJTIOZS,X,X,X,O,O,X
LJTSIZO,X,X,X,O,X,X
LJTSIOZ,X,O,X,O,X,X
LJTSZIO,X,O,X,X,X,X
LJTSZOI,X,O,X,X,X,X
LJTSOIZ,X,O,X,O,X,X
LJTSOZI,X,O,X,X,X,X
LJTZISO,X,X,X,O,O,X
LJTZIOS,X,X,X,O,X,X
LJTZSIO,X,O,X,X,O,X
LJTZSOI,X,O,X,X,O,X
LJTZOIS,X,X,X,O,O,X
LJTZOSI,X,O,X,X,O,X
LJTOISZ,X,X,X,O,X,X
LJTOIZS,X,X,X,O,O,X
LJTOSIZ,X,O,X,O,X,X
LJTOSZI,X,O,X,X,X,X
LJTOZIS,X,X,X,O,O,X
LJTOZSI,X,O,X,X,O,X
LJITSZO,X,X,X,O,X,X
LJITSOZ,X,X,X,O,X,X
LJITZSO,X,X,X,O,O,X
LJITZOS,X,X,X,O,X,X
LJITOSZ,X,X,X,O,X,X
LJITOZS,X,X,X,O,O,X
LJISTZO,O,X,X,O,X,X
LJISTOZ,O,X,X,O,X,X
LJISZTO,O,X,X,O,X,X
LJISZOT,O,X,X,O,X,X
LJISOTZ,O,X,X,O,X,X
LJISOZT,O,X,X,O,X,X
LJIZTSO,X,X,X,O,O,X
LJIZTOS,X,X,X,O,X,X
LJIZSTO,X,X,X,O,O,X
LJIZSOT,X,X,X,O,X,X
LJIZOTS,X,X,X,O,X,X
LJIZOST,X,X,X,O,X,X
LJIOTSZ,X,X,X,O,X,X
LJIOTZS,X,X,X,O,O,X
LJIOSTZ,X,X,X,O,X,X
LJIOSZT,X,X,X,O,X,X
LJIOZTS,X,X,X,O,O,X
LJIOZST,X,X,X,O,O,X
LJSTIZO,O,X,X,O,X,X
LJSTIOZ,O,O,X,O,X,X
LJSTZIO,O,O,X,X,X,X
LJSTZOI,X,O,X,X,X,X
LJSTOIZ,O,O,X,O,X,X
LJSTOZI,O,O,X,X,X,X
LJSITZO,O,X,X,O,X,X
LJSITOZ,O,O,X,O,X,X
LJSIZTO,O,O,X,O,X,X
LJSIZOT,O,O,X,O,X,X
LJSIOTZ,O,O,X,O,X,X
LJSIOZT,O,O,X,O,X,X
LJSZTIO,O,O,X,X,X,X
LJSZTOI,X,O,X,X,X,X
LJSZITO,O,O,X,X,X,X
LJSZIOT,O,O,X,X,X,X
LJSZOTI,O,O,X,X,X,X
LJSZOIT,O,O,X,X,X,X
LJSOTIZ,O,O,X,O,X,X
LJSOTZI,O,O,X,X,X,X
LJSOITZ,O,O,X,O,X,X
LJSOIZT,O,O,X,O,X,X
LJSOZTI,O,O,X,X,X,X
LJSOZIT,O,O,X,X,X,X
LJZTISO,X,X,X,O,O,X
LJZTIOS,X,X,X,O,X,X
LJZTSIO,X,O,X,X,O,X
LJZTSOI,X,O,X,X,O,X
LJZTOIS,X,X,X,O,O,X
LJZTOSI,X,O,X,X,O,X
LJZITSO,X,X,X,O,O,X
LJZITOS,X,X,X,O,X,X
LJZISTO,O,X,X,O,O,X
LJZISOT,O,X,X,O,X,X
LJZIOTS,X,X,X,O,X,X
LJZIOST,X,X,X,O,X,X
LJZSTIO,O,O,X,X,O,X
LJZSTOI,X,O,X,X,O,X
LJZSITO,O,O,X,X,O,X
LJZSIOT,O,O,X,X,X,X
LJZSOTI,X,O,X,X,X,X
LJZSOIT,O,O,X,X,X,X
LJZOTIS,X,X,X,O,O,X
LJZOTSI,X,O,X,X,O,X
LJZOITS,X,X,X,O,O,X
LJZOIST,X,X,X,O,O,X
LJZOSTI,X,O,X,X,O,X
LJZOSIT,X,O,X,X,O,X
LJOTISZ,X,X,X,O,X,X
LJOTIZS,X,X,X,O,O,X
LJOTSIZ,X,O,X,O,X,X
LJOTSZI,X,O,X,X,X,X
LJOTZIS,X,X,X,O,O,X
LJOTZSI,X,O,X,X,O,X
LJOITSZ,X,X,X,O,X,X
LJOITZS,X,X,X,O,O,X
LJOISTZ,O,X,X,O,X,X
LJOISZT,O,X,X,O,X,X
LJOIZTS,X,X,X,O,O,X
LJOIZST,X,X,X,O,O,X
LJOSTIZ,O,O,X,O,X,X
LJOSTZI,O,O,X,X,X,X
LJOSITZ,O,O,X,O,X,X
LJOSIZT,O,O,X,O,X,X
LJOSZTI,O,O,X,X,X,X
LJOSZIT,O,O,X,X,X,X
LJOZTIS,X,X,X,O,O,X
LJOZTSI,X,O,X,X,O,X
LJOZITS,X,X,X,O,O,X
LJOZIST,O,X,X,O,O,X
LJOZSTI,O,O,X,X,O,X
LJOZSIT,O,O,X,X,O,X
LSTIJZO,O,X,X,O,X,X
LSTIJOZ,O,O,X,O,X,X
LSTIZJO,O,X,X,X,O,X
LSTIZOJ,O,X,X,X,O,O
LSTIOJZ,O,X,X,X,X,O
LSTIOZJ,X,X,X,X,O,O
LSTJIZO,O,X,X,O,X,X
LSTJIOZ,O,O,X,O,X,X
LSTJZIO,O,O,X,X,X,X
LSTJZOI,X,O,X,X,X,X
LSTJOIZ,O,O,X,O,X,X
LSTJOZI,O,O,X,X,X,X
LSTZIJO,O,O,X,X,O,X
LSTZIOJ,O,X,X,X,O,O
LSTZJIO,O,O,X,X,O,X
LSTZJOI,X,O,X,X,O,X
LSTZOIJ,O,X,X,X,O,O
LSTZOJI,O,X,X,X,O,O
LSTOIJZ,O,X,X,X,X,O
LSTOIZJ,X,X,X,X,O,O
LSTOJIZ,O,X,X,X,X,O
LSTOJZI,O,X,X,X,X,O
LSTOZIJ,O,X,X,X,O,O
LSTOZJI,O,X,X,X,O,O
LSITJZO,O,X,X,O,X,X
LSITJOZ,O,O,X,O,X,X
LSITZJO,O,X,X,X,O,X
LSITZOJ,O,X,X,X,O,X
LSITOJZ,O,X,X,X,X,X
LSITOZJ,X,X,X,X,O,X
LSIJTZO,O,X,X,O,X,X
LSIJTOZ,O,O,X,O,X,X
LSIJZTO,O,O,X,O,X,X
LSIJZOT,O,O,X,O,X,X
LSIJOTZ,O,O,X,O,X,X
LSIJOZT,O,O,X,O,X,X
LSIZTJO,O,O,X,X,O,X
LSIZTOJ,O,X,X,X,O,X
LSIZJTO,O,O,X,X,O,X
LSIZJOT,O,O,X,X,X,X
LSIZOTJ,O,X,X,X,O,X
LSIZOJT,O,O,X,X,X,X
LSIOTJZ,O,X,X,X,X,X
LSIOTZJ,X,X,X,X,O,X
LSIOJTZ,O,O,X,O,X,X
LSIOJZT,O,O,X,O,X,X
LSIOZTJ,O,X,X,X,O,X
LSIOZJT,O,O,X,X,O,X
LSJTIZO,O,X,X,O,X,X
LSJTIOZ,O,O,X,O,X,X
LSJTZIO,O,O,X,X,X,X
LSJTZOI,X,O,X,X,X,X
LSJTOIZ,O,O,X,O,X,X
LSJTOZI,O,O,X,X,X,X
LSJITZO,O,X,X,O,X,X
LSJITOZ,O,O,X,O,X,X
LSJIZTO,O,O,X,O,X,X
LSJIZOT,O,O,X,O,X,X
LSJIOTZ,O,O,X,O,X,X
LSJIOZT,O,O,X,O,X,X
LSJZTIO,O,O,X,X,X,X
LSJZTOI,X,O,X,X,X,X
LSJZITO,O,O,X,X,X,X
LSJZIOT,O,O,X,X,X,X
LSJZOTI,O,O,X,X,X,X
LSJZOIT,O,O,X,X,X,X
LSJOTIZ,O,O,X,O,X,X
LSJOTZI,O,O,X,X,X,X
LSJOITZ,O,O,X,O,X,X
LSJOIZT,O,O,X,O,X,X
LSJOZTI,O,O,X,X,X,X
LSJOZIT,O,O,X,X,X,X
LSZTIJO,O,O,X,X,O,X
LSZTIOJ,O,X,X,X,O,O
LSZTJIO,O,O,X,X,O,X
LSZTJOI,X,O,X,X,O,X
LSZTOIJ,O,X,X,X,O,O
LSZTOJI,O,X,X,X,O,O
LSZITJO,O,O,X,X,O,X
LSZITOJ,O,X,X,X,O,X
LSZIJTO,O,O,X,X,O,X
LSZIJOT,O,O,X,X,X,X
LSZIOTJ,O,X,X,X,O,X
LSZIOJT,O,O,X,X,X,X
LSZJTIO,O,O,X,X,O,X
LSZJTOI,X,O,X,X,O,X
LSZJITO,O,O,X,X,O,X
LSZJIOT,O,O,X,X,X,X
LSZJOTI,O,O,X,X,X,X
LSZJOIT,O,O,X,X,X,X
LSZOTIJ,O,X,X,X,O,O
LSZOTJI,O,X,X,X,O,O
LSZOITJ,O,X,X,X,O,O
LSZOIJT,O,O,X,X,O,X
LSZOJTI,O,O,X,X,O,O
LSZOJIT,O,O,X,X,O,X
LSOTIJZ,O,X,X,X,X,O
LSOTIZJ,X,X,X,X,O,O
LSOTJIZ,O,X,X,X,X,O
LSOTJZI,O,X,X,X,X,O
LSOTZIJ,O,X,X,X,O,O
LSOTZJI,O,X,X,X,O,O
LSOITJZ,O,X,X,X,X,O
LSOITZJ,X,X,X,X,O,O
LSOIJTZ,O,O,X,O,X,X
LSOIJZT,O,O,X,O,X,X
LSOIZTJ,O,X,X,X,O,O
LSOIZJT,O,O,X,X,O,X
LSOJTIZ,O,O,X,O,X,O
LSOJTZI,O,O,X,X,X,O
LSOJITZ,O,O,X,O,X,X
LSOJIZT,O,O,X,O,X,X
LSOJZTI,O,O,X,X,X,O
LSOJZIT,O,O,X,X,X,X
LSOZTIJ,O,X,X,X,O,O
LSOZTJI,O,X,X,X,O,O
LSOZITJ,O,X,X,X,O,O
LSOZIJT,O,O,X,X,O,X
LSOZJTI,O,O,X,X,O,O
LSOZJIT,O,O,X,X,O,X
LZTIJSO,X,X,O,O,O,X
LZTIJOS,X,X,O,O,X,X
LZTISJO,X,X,O,X,O,X
LZTISOJ,X,X,O,X,O,X
LZTIOJS,X,X,O,X,O,X
LZTIOSJ,X,X,O,X,O,X
LZTJISO,X,X,O,O,O,X
LZTJIOS,X,X,O,O,X,X
LZTJSIO,X,O,X,X,O,X
LZTJSOI,X,O,X,X,O,X
LZTJOIS,X,X,O,O,O,X
LZTJOSI,X,O,X,X,O,X
LZTSIJO,X,O,X,X,O,X
LZTSIOJ,X,X,X,X,O,X
LZTSJIO,X,O,X,X,O,X
LZTSJOI,X,O,X,X,O,X
LZTSOIJ,X,X,X,X,O,X
LZTSOJI,X,X,X,X,O,X
LZTOIJS,X,X,O,X,O,X
LZTOISJ,X,X,O,X,O,X
LZTOJIS,X,X,O,X,O,X
LZTOJSI,X,X,X,X,O,X
LZTOSIJ,X,X,X,X,O,X
LZTOSJI,X,X,X,X,O,X
LZITJSO,X,X,O,O,O,X
LZITJOS,X,X,O,O,X,X
LZITSJO,X,X,O,X,O,X
LZITSOJ,X,X,O,X,O,X
LZITOJS,X,X,O,X,O,X
LZITOSJ,X,X,O,X,O,X
LZIJTSO,X,X,O,O,O,X
LZIJTOS,X,X,O,O,X,X
LZIJSTO,O,X,O,O,O,X
LZIJSOT,O,X,O,O,X,X
LZIJOTS,X,X,O,O,X,X
LZIJOST,X,X,O,O,X,X
LZISTJO,O,X,O,X,O,X
LZISTOJ,O,X,O,X,O,X
LZISJTO,O,X,O,X,O,X
LZISJOT,O,X,O,X,X,X
LZISOTJ,O,X,O,X,O,X
LZISOJT,O,X,O,X,X,X
LZIOTJS,X,X,O,X,O,X
LZIOTSJ,X,X,O,X,O,X
LZIOJTS,X,X,O,O,O,X
LZIOJST,O,X,O,O,O,X
LZIOSTJ,O,X,O,X,O,X
LZIOSJT,O,X,O,X,O,X
LZJTISO,X,X,O,O,O,X
LZJTIOS,X,X,O,O,X,X
LZJTSIO,X,O,X,X,O,X
LZJTSOI,X,O,X,X,O,X
LZJTOIS,X,X,O,O,O,X
LZJTOSI,X,O,X,X,O,X
