sequence,v115@KhA8FeA8BeB8DeF8CeB8Je/EJvhFalBRhBGjBznBUs?BlrB,v115@KhA8FeA8BeB8DeF8CeB8JeT/IvhFelBFhBxiBXoBUs?BCsB,v115@KhA8FeA8BeB8DeF8CeB8Jem/IvhFFhBXiBTjB0kBRs?BSxB,v115@KhA8FeA8BeB8DeF8CeB8JeT/IvhFelBFhBSoBRsB8r?B3sB,v115@KhA8FeA8BeB8DeF8CeB8JeRBJvhF3iBcoBlkB6rBmk?BTsB,v115@KhA8FeA8BeB8DeF8CeB8Jei/IvhFRhBcoBzkBlmBXs?BusB
TJSILZO,O,X,X,O,X,X
TJSILOZ,O,O,X,O,X,X
TJSIZLO,X,O,X,O,X,X
TJSIZOL,X,O,X,O,X,O
TJSIOLZ,X,O,X,O,X,O
TJSIOZL,X,O,X,O,X,O
TJSLIZO,O,X,X,O,X,X
TJSLIOZ,O,O,X,O,X,X
TJSLZIO,O,O,X,X,X,X
TJSLZOI,X,O,X,X,X,X
TJSLOIZ,O,O,X,O,X,X
TJSLOZI,O,O,X,X,X,X
TJSZILO,O,O,X,X,X,X
TJSZIOL,X,O,X,X,X,O
TJSZLIO,O,O,X,X,X,X
TJSZLOI,X,O,X,X,X,X
TJSZOIL,X,O,X,X,X,O
TJSZOLI,X,O,X,X,X,O
TJSOILZ,O,O,X,O,X,O
TJSOIZL,X,O,X,O,X,O
TJSOLIZ,O,O,X,O,X,O
TJSOLZI,O,O,X,X,X,O
TJSOZIL,O,O,X,X,X,O
TJSOZLI,O,O,X,X,X,O
TJZILSO,X,X,O,O,O,X
TJZILOS,X,X,O,O,X,X
TJZISLO,O,O,O,O,X,X
TJZISOL,X,O,O,O,X,X
TJZIOLS,X,X,O,O,X,X
TJZIOSL,X,O,O,O,X,X
TJZLISO,X,X,O,O,O,X
TJZLIOS,X,X,O,O,X,X
TJZLSIO,X,O,X,X,O,X
TJZLSOI,X,O,X,X,O,X
TJZLOIS,X,X,O,O,O,X
TJZLOSI,X,O,X,X,O,X
TJZSILO,O,O,O,X,X,X
TJZSIOL,X,O,O,X,X,X
TJZSLIO,O,O,X,X,O,X
TJZSLOI,X,O,X,X,O,X
TJZSOIL,X,O,O,X,X,X
TJZSOLI,X,O,X,X,X,X
TJZOILS,X,X,O,O,X,X
TJZOISL,X,O,O,O,X,X
TJZOLIS,X,X,O,O,O,X
TJZOLSI,X,O,X,X,O,X
TJZOSIL,X,O,O,X,X,X
TJZOSLI,X,O,X,X,O,X
TJOILSZ,X,X,X,O,X,O
TJOILZS,X,X,X,O,X,X
TJOISLZ,O,O,X,O,X,O
TJOISZL,X,O,O,O,X,O
TJOIZLS,X,X,O,O,X,X
TJOIZSL,X,O,O,O,X,X
TJOLISZ,X,X,X,O,X,O
TJOLIZS,X,X,X,O,O,X
TJOLSIZ,X,O,X,O,X,O
TJOLSZI,X,O,X,X,X,O
TJOLZIS,X,X,X,O,O,X
TJOLZSI,X,O,X,X,O,X
TJOSILZ,O,O,X,O,X,O
TJOSIZL,X,O,X,O,X,O
TJOSLIZ,O,O,X,O,X,O
TJOSLZI,O,O,X,X,X,O
TJOSZIL,O,O,X,X,X,O
TJOSZLI,O,O,X,X,X,O
TJOZILS,X,X,O,O,X,X
TJOZISL,O,O,O,O,X,X
TJOZLIS,X,X,O,O,O,X
TJOZLSI,X,O,X,X,O,X
TJOZSIL,O,O,O,X,X,X
TJOZSLI,O,O,X,X,O,X
TSILJZO,O,X,X,O,X,X
TSILJOZ,O,O,X,O,X,X
TSILZJO,O,X,O,X,O,X
TSILZOJ,O,X,O,X,O,O
TSILOJZ,O,X,X,X,X,O
TSILOZJ,X,X,O,X,O,O
TSIJLZO,O,X,X,O,X,X
TSIJLOZ,O,O,X,O,X,X
TSIJZLO,X,O,O,O,X,X
TSIJZOL,X,O,O,O,X,O
TSIJOLZ,X,O,X,O,X,O
TSIJOZL,X,O,O,O,X,O
TSIZLJO,O,O,O,X,O,X
TSIZLOJ,O,X,O,X,O,O
TSIZJLO,O,O,O,X,X,X
TSIZJOL,X,O,O,X,X,O
TSIZOLJ,O,X,O,X,X,O
TSIZOJL,O,O,O,X,X,O
TSIOLJZ,O,X,X,X,X,O
TSIOLZJ,X,X,O,X,X,O
TSIOJLZ,O,O,X,X,X,O
TSIOJZL,X,O,O,X,X,O
TSIOZLJ,X,X,O,X,X,O
TSIOZJL,X,O,O,X,X,O
TSLIJZO,O,X,X,O,X,X
TSLIJOZ,O,O,X,O,X,X
TSLIZJO,O,X,X,X,O,X
TSLIZOJ,O,X,X,X,O,O
TSLIOJZ,O,X,X,X,X,O
TSLIOZJ,X,X,X,X,O,O
TSLJIZO,O,X,X,O,X,X
TSLJIOZ,O,O,X,O,X,X
TSLJZIO,O,O,X,X,X,X
TSLJZOI,X,O,X,X,X,X
TSLJOIZ,O,O,X,O,X,X
TSLJOZI,O,O,X,X,X,X
TSLZIJO,O,O,X,X,O,X
TSLZIOJ,O,X,X,X,O,O
TSLZJIO,O,O,X,X,O,X
TSLZJOI,X,O,X,X,O,X
TSLZOIJ,O,X,X,X,O,O
TSLZOJI,O,X,X,X,O,O
TSLOIJZ,O,X,X,X,X,O
TSLOIZJ,X,X,X,X,O,O
TSLOJIZ,O,X,X,X,X,O
TSLOJZI,O,X,X,X,X,O
TSLOZIJ,O,X,X,X,O,O
TSLOZJI,O,X,X,X,O,O
TSJILZO,O,X,X,O,X,X
TSJILOZ,O,O,X,O,X,X
TSJIZLO,X,O,X,O,X,X
TSJIZOL,X,O,X,O,X,O
TSJIOLZ,X,O,X,O,X,O
TSJIOZL,X,O,X,O,X,O
TSJLIZO,O,X,X,O,X,X
TSJLIOZ,O,O,X,O,X,X
TSJLZIO,O,O,X,X,X,X
TSJLZOI,X,O,X,X,X,X
TSJLOIZ,O,O,X,O,X,X
TSJLOZI,O,O,X,X,X,X
TSJZILO,O,O,X,X,X,X
TSJZIOL,X,O,X,X,X,O
TSJZLIO,O,O,X,X,X,X
TSJZLOI,X,O,X,X,X,X
TSJZOIL,X,O,X,X,X,O
TSJZOLI,X,O,X,X,X,O
TSJOILZ,O,O,X,O,X,O
TSJOIZL,X,O,X,O,X,O
TSJOLIZ,O,O,X,O,X,O
TSJOLZI,O,O,X,X,X,O
TSJOZIL,O,O,X,X,X,O
TSJOZLI,O,O,X,X,X,O
TSZILJO,O,O,O,X,O,X
TSZILOJ,O,X,O,X,O,O
TSZIJLO,O,O,O,X,X,X
TSZIJOL,X,O,O,X,X,O
TSZIOLJ,O,X,O,X,X,O
TSZIOJL,O,O,O,X,X,O
TSZLIJO,O,O,X,X,O,X
TSZLIOJ,O,X,X,X,O,O
TSZLJIO,O,O,X,X,O,X
TSZLJOI,X,O,X,X,O,X
TSZLOIJ,O,X,X,X,O,O
TSZLOJI,O,X,X,X,O,O
TSZJILO,O,O,O,X,X,X
