sequence,v115@OhA8BeA8FeB8AeD8AeD8Kem/IvhFzgBfnBxiB0kB6t?BFrB,v115@OhA8BeA8FeB8AeD8AeD8KeT/IvhF0hBmiB5oBllBXl?BirB,v115@OhA8BeA8FeB8AeD8AeD8KeyEJvhFzgBfnBmiB5oB0k?BFrB,v115@OhA8BeA8FeB8AeD8AeD8Ke/EJvhFUgBFhBxiBzmB6t?BmqB,v115@OhA8BeA8FeB8AeD8AeD8Ke/EJvhFUgBmiB5oByqBzm?BFrB
TJIZSOL,X,O,X,O,X
TJIZOLS,X,O,X,X,X
TJIZOSL,X,O,X,X,X
TJIOLSZ,X,O,O,X,O
TJIOLZS,X,O,X,X,X
TJIOSLZ,X,X,O,X,O
TJIOSZL,X,O,O,O,O
TJIOZLS,X,O,X,X,X
TJIOZSL,X,O,X,X,X
TJLISZO,X,O,O,O,X
TJLISOZ,X,O,O,O,X
TJLIZSO,X,O,X,O,X
TJLIZOS,X,O,X,X,X
TJLIOSZ,X,O,O,O,X
TJLIOZS,X,O,X,X,X
TJLSIZO,O,O,O,O,X
TJLSIOZ,O,O,O,O,X
TJLSZIO,O,O,O,O,X
TJLSZOI,O,O,O,O,X
TJLSOIZ,O,O,O,O,X
TJLSOZI,O,O,O,O,X
TJLZISO,O,O,X,O,X
TJLZIOS,O,O,X,X,X
TJLZSIO,O,O,X,O,X
TJLZSOI,O,O,X,O,X
TJLZOIS,O,O,X,X,X
TJLZOSI,O,O,X,X,X
TJLOISZ,X,O,O,O,X
TJLOIZS,X,O,X,O,X
TJLOSIZ,O,O,O,O,X
TJLOSZI,O,O,O,O,X
TJLOZIS,O,O,X,O,X
TJLOZSI,O,O,X,O,X
TJSILZO,X,X,O,O,X
TJSILOZ,X,X,O,O,X
TJSIZLO,O,X,O,O,X
TJSIZOL,O,O,O,O,O
TJSIOLZ,X,X,O,X,O
TJSIOZL,O,O,O,O,O
TJSLIZO,O,X,O,O,X
TJSLIOZ,O,X,O,O,X
TJSLZIO,O,X,O,O,X
TJSLZOI,O,X,O,O,X
TJSLOIZ,O,X,O,O,X
TJSLOZI,O,X,O,O,X
