sequence,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFxhBXjBimBc?tBFqBGsB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeiAJvhFfnBxiBUmBG?oBFqBzsB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhF0hBxiB2rBC?oBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8Je2FJvhFRhBCjB3mBT?oBFqB0sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFKmBfnBxiBu?sBctBFqB,v115@9gB8HeB8HeA8IeB8AeD8BeA8Je2FJvhFfnBxiBqsBT?oBUmBFqB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFKmBGjBRnBU?nBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeiAJvhFziB+oBRmB3?mBFqB0sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFOmB8mBCjBF?qBxsBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFihB3mBFqBx?sBusBctB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeiAJvhFzhBWoBUmBF?qBxsBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JexAJvhFXjBmlBzmBc?tB6sBFqB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeXBJvhFliBzmBRqBC?tBOqBctB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeUCJvhFTjBxlBmlBS?sBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JexAJvhF0iBmlBzmBS?tBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JexAJvhFXjBmlBzmBS?tBFqB0sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTBJvhFFjBSqBctBx?rBOqB/sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8Je1GJvhFTjBXlBWtBR?rBiqB0sB
IZOSLJT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZOSJTL,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOSJLT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTLJSZ,X,O,X,O,X,O,X,X,X,X,X,X,O,X,O,O,X,X
IOTLJZS,X,O,X,O,X,O,X,X,O,X,O,X,O,X,O,O,X,X
IOTLSJZ,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X
IOTLSZJ,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X
IOTLZJS,X,O,X,X,X,O,X,X,O,X,O,X,O,X,O,X,O,X
IOTLZSJ,X,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
IOTJLSZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X
IOTJLZS,X,O,X,O,X,O,X,X,O,X,O,O,X,X,O,O,X,X
IOTJSLZ,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
IOTJSZL,X,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
IOTJZLS,X,O,X,O,X,O,X,X,O,X,O,O,X,X,O,O,X,X
IOTJZSL,X,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
IOTSLJZ,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IOTSLZJ,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X
IOTSJLZ,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTSJZL,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTSZLJ,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOTSZJL,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOTZLJS,X,O,X,X,X,O,X,X,O,X,O,X,X,X,O,X,O,X
IOTZLSJ,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IOTZJLS,X,O,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X
IOTZJSL,X,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
IOTZSLJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOTZSJL,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X
IOLTJSZ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,O,X,X
IOLTJZS,X,X,X,O,X,O,X,X,O,X,X,X,O,X,O,O,X,X
IOLTSJZ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOLTSZJ,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
IOLTZJS,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,O,X
IOLTZSJ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
IOLJTSZ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOLJTZS,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOLJSTZ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOLJSZT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLJZTS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X
IOLJZST,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOLSTJZ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOLSTZJ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOLSJTZ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOLSJZT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLSZTJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
IOLSZJT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOLZTJS,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,O,X
IOLZTSJ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
IOLZJTS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,X
IOLZJST,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOLZSTJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
IOLZSJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOJTLSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLZS,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJTSLZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZLS,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJTZSL,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOJLTSZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJLTZS,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJLSTZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOJLSZT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJLZTS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X
IOJLZST,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
IOJSTLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJSLZT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJSZTL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJSZLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJZTLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJZLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOJZLST,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IOJZSTL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJZSLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSTLJZ,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IOSTLZJ,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IOSTJLZ,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOSTJZL,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSTZLJ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSTZJL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSLTJZ,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IOSLTZJ,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IOSLJTZ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOSLJZT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSLZTJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
IOSLZJT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOSJTLZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSJLZT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSJZTL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOSZLJT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOSZJTL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
IOZTLSJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IOZTJLS,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X
IOZTJSL,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
IOZTSLJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZTSJL,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOZLTJS,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,O,X
IOZLTSJ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
IOZLJTS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,X
IOZLJST,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOZLSTJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
IOZLSJT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOZJTLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZJTSL,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOZJLTS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
IOZJLST,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IOZJSTL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZJSLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZSTLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZSLTJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOZSLJT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOZSJTL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZSJLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJSZO,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTIJSOZ,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
LTIJZSO,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
LTIJZOS,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
LTIJOSZ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X
LTIJOZS,O,X,X,X,X,O,O,O,O,X,O,X,X,X,O,O,X,X
LTISJZO,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
LTISJOZ,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X
LTISZJO,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X
LTISZOJ,O,O,X,X,O,X,O,X,O,O,O,X,X,O,X,X,X,X
LTISOJZ,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
LTISOZJ,O,O,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X
LTIZJSO,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
LTIZJOS,O,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X,O,X
LTIZSJO,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
LTIZSOJ,O,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X
LTIZOJS,O,O,X,X,O,X,O,O,O,X,O,X,X,X,O,X,O,X
LTIZOSJ,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X
LTIOJSZ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,O,O,X,X
LTIOJZS,O,O,X,X,X,O,O,O,O,X,O,X,O,X,O,O,X,X
LTIOSJZ,O,O,X,X,O,O,O,X,X,O,X,X,O,X,X,O,X,X
LTIOSZJ,O,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
LTIOZJS,O,O,X,X,O,O,O,O,O,X,O,X,O,X,O,X,O,X
LTIOZSJ,O,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X
LTJISZO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJISOZ,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X
LTJIZSO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJIZOS,O,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X
LTJIOSZ,O,X,X,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X
LTJIOZS,O,X,X,O,X,O,O,O,X,X,O,O,X,X,O,O,X,X
LTJSIZO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
LTJSZIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTJSZOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
LTJSOIZ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X
LTJSOZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
LTJZISO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
LTJZIOS,O,X,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
LTJZSIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJZSOI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X
LTJZOIS,O,O,O,O,O,O,X,O,O,X,O,O,X,X,O,O,X,X
LTJZOSI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
LTJOISZ,O,O,X,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X
LTJOIZS,O,O,X,O,X,O,O,O,X,X,X,O,X,X,O,O,X,X
LTJOSIZ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X
LTJOSZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
LTJOZIS,O,O,O,O,O,O,X,O,O,X,X,O,X,X,O,O,X,X
LTJOZSI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
LTSIJZO,O,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X
LTSIJOZ,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X
LTSIZJO,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X
LTSIZOJ,O,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X
LTSIOJZ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X
LTSIOZJ,O,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X
LTSJIZO,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTSJIOZ,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X
LTSJZIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTSJZOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
LTSJOIZ,O,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X,X
LTSJOZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
LTSZIJO,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X
LTSZIOJ,O,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X
LTSZJIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTSZJOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
LTSZOIJ,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X
LTSZOJI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
LTSOIJZ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X
LTSOIZJ,O,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X
LTSOJIZ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,O,O,X,X
LTSOJZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
LTSOZIJ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LTSOZJI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
LTZIJSO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X
LTZIJOS,O,X,X,O,O,X,O,O,O,X,O,X,X,X,X,X,O,X
LTZISJO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X
LTZISOJ,O,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X
LTZIOJS,O,O,X,X,O,X,O,O,O,X,O,X,X,X,O,X,O,X
LTZIOSJ,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X
LTZJISO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
LTZJIOS,O,X,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
LTZJSIO,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZJSOI,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X
LTZJOIS,O,O,X,O,O,O,X,O,O,X,O,O,X,X,O,O,X,X
LTZJOSI,O,O,X,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
LTZSIJO,O,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
LTZSIOJ,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTZSJIO,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTZSJOI,O,O,X,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X
LTZSOIJ,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
LTZSOJI,O,O,X,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X
LTZOIJS,O,O,X,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
LTZOISJ,O,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
LTZOJIS,O,O,X,O,O,O,X,O,O,X,O,O,X,X,O,O,X,X
LTZOJSI,O,O,X,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
LTZOSIJ,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
LTZOSJI,O,O,X,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X
LTOIJSZ,O,O,X,O,X,O,O,O,X,X,X,X,O,X,O,O,X,X
LTOIJZS,O,O,X,O,X,O,O,O,O,X,O,X,O,X,O,O,X,X
LTOISJZ,O,O,X,O,O,O,O,X,X,O,X,X,O,X,X,O,X,X
LTOISZJ,O,O,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
LTOIZJS,O,O,X,X,O,O,O,O,O,X,O,X,O,X,O,X,X,X
LTOIZSJ,O,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X
LTOJISZ,O,O,X,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X
LTOJIZS,O,O,X,O,X,O,O,O,X,X,X,O,X,X,O,O,X,X
LTOJSIZ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X
LTOJSZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
LTOJZIS,O,O,O,O,O,O,X,O,O,X,X,O,X,X,O,O,X,X
LTOJZSI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
LTOSIJZ,O,O,O,O,O,O,O,X,X,O,X,X,O,X,X,O,X,X
LTOSIZJ,O,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
LTOSJIZ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,O,O,X,X
LTOSJZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
LTOSZIJ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LTOSZJI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
LTOZIJS,O,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,X,X
LTOZISJ,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
LTOZJIS,O,O,X,O,O,O,X,O,O,X,O,O,X,X,O,O,X,X
LTOZJSI,O,O,X,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
LTOZSIJ,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
LTOZSJI,O,O,X,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X
LITJSZO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITJSOZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
LITJZSO,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LITJZOS,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LITJOSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X
LITJOZS,O,X,X,X,X,O,O,X,O,X,O,X,X,X,O,O,X,X
LITSJZO,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
LITSJOZ,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
LITSZJO,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
LITSZOJ,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
LITSOJZ,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
LITSOZJ,O,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LITZJSO,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X
LITZJOS,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X
LITZSJO,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X
LITZSOJ,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X
LITZOJS,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X
LITZOSJ,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X
LITOJSZ,O,X,X,X,X,O,O,X,X,X,X,X,O,X,O,O,X,X
LITOJZS,O,X,X,X,X,O,O,X,O,X,O,X,O,X,O,O,X,X
LITOSJZ,O,X,X,X,O,O,O,X,X,O,X,X,O,X,X,O,X,X
LITOSZJ,O,X,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
LITOZJS,O,X,X,X,O,O,O,X,O,X,O,X,O,X,O,X,O,X
LITOZSJ,O,X,X,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X
LIJTSZO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJTSOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LIJTZSO,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LIJTZOS,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LIJTOSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LIJTOZS,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LIJSTZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJSTOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LIJSZTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJSZOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJSOTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LIJSOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJZTSO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LIJZTOS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
LIJZSTO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LIJZSOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LIJZOTS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LIJZOST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LIJOTSZ,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LIJOTZS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LIJOSTZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LIJOSZT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIJOZTS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X
LIJOZST,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LISTJZO,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LISTJOZ,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
LISTZJO,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
