sequence,v115@KhA8FeD8FeF8CeA8Je2EJvhFRgBcmB6nBTjBdsBXtB,v115@KhA8FeD8FeF8CeA8Je2EJvhFRgBUiB9oBTmB3nByxB,v115@KhA8FeD8FeF8CeA8Je2EJvhFRgBcmB6oBXnBdtBTsB,v115@KhA8FeD8FeF8CeA8JeT/IvhFigBcmB3iB9oBRsB2xB
LIZOJTS,X,O,O,O
LIZOJST,X,O,X,X
LIZOSTJ,X,O,X,O
LIZOSJT,X,O,X,X
LIOTJSZ,X,O,X,X
LIOTJZS,X,O,O,X
LIOTSJZ,X,O,X,X
LIOTSZJ,X,O,X,O
LIOTZJS,X,O,O,O
LIOTZSJ,X,O,O,O
LIOJTSZ,X,O,X,X
LIOJTZS,X,O,O,X
LIOJSTZ,X,O,X,X
LIOJSZT,X,O,X,X
LIOJZTS,X,O,O,X
LIOJZST,X,O,X,X
LIOSTJZ,X,O,X,X
LIOSTZJ,X,O,X,X
LIOSJTZ,X,O,X,X
LIOSJZT,X,O,X,X
LIOSZTJ,X,O,X,X
LIOSZJT,X,O,X,X
LIOZTJS,X,O,O,O
LIOZTSJ,X,O,O,O
LIOZJTS,X,O,O,O
LIOZJST,X,O,X,X
LIOZSTJ,X,O,X,O
LIOZSJT,X,O,X,X
LJTISZO,O,X,O,X
LJTISOZ,O,O,X,X
LJTIZSO,O,X,O,X
LJTIZOS,O,O,O,X
LJTIOSZ,X,O,X,X
LJTIOZS,X,O,O,X
LJTSIZO,O,X,O,X
LJTSIOZ,O,O,X,X
LJTSZIO,O,X,O,X
LJTSZOI,O,X,O,O
LJTSOIZ,O,O,X,X
LJTSOZI,O,O,O,O
LJTZISO,O,X,O,O
LJTZIOS,O,O,O,O
LJTZSIO,O,X,O,X
LJTZSOI,O,X,O,O
LJTZOIS,O,O,O,O
LJTZOSI,O,O,O,O
LJTOISZ,X,O,X,X
LJTOIZS,X,O,O,X
LJTOSIZ,O,O,X,X
LJTOSZI,O,O,O,O
LJTOZIS,O,O,O,O
LJTOZSI,O,O,O,O
LJITSZO,X,X,O,X
LJITSOZ,X,O,X,X
LJITZSO,X,X,O,X
LJITZOS,X,O,O,X
LJITOSZ,X,O,X,X
LJITOZS,X,O,O,X
LJISTZO,X,X,O,X
LJISTOZ,X,O,X,X
LJISZTO,O,X,O,X
LJISZOT,O,X,X,X
LJISOTZ,X,O,X,X
LJISOZT,O,O,X,X
LJIZTSO,O,X,O,X
LJIZTOS,O,O,O,X
LJIZSTO,O,X,O,X
LJIZSOT,O,X,X,X
LJIZOTS,X,O,O,X
LJIZOST,X,O,X,X
LJIOTSZ,X,O,X,X
LJIOTZS,X,O,O,X
LJIOSTZ,X,O,X,X
LJIOSZT,X,O,X,X
LJIOZTS,X,O,O,X
LJIOZST,X,O,X,X
LJSTIZO,O,X,O,X
LJSTIOZ,O,O,X,X
LJSTZIO,O,X,O,X
LJSTZOI,O,X,O,X
LJSTOIZ,O,O,X,X
LJSTOZI,O,O,O,X
LJSITZO,O,X,O,X
LJSITOZ,O,O,X,X
LJSIZTO,O,X,O,X
LJSIZOT,O,X,X,X
LJSIOTZ,O,O,X,X
LJSIOZT,O,O,X,X
LJSZTIO,O,X,O,X
LJSZTOI,O,X,O,X
LJSZITO,O,X,O,X
LJSZIOT,O,X,X,X
LJSZOTI,O,X,X,X
LJSZOIT,O,X,X,X
LJSOTIZ,O,O,X,X
LJSOTZI,O,O,X,X
LJSOITZ,O,O,X,X
LJSOIZT,O,O,X,X
LJSOZTI,O,O,X,X
LJSOZIT,O,O,X,X
LJZTISO,O,X,O,O
LJZTIOS,O,O,O,O
LJZTSIO,O,X,O,X
LJZTSOI,O,X,O,O
LJZTOIS,O,O,O,O
LJZTOSI,O,O,O,O
LJZITSO,O,X,O,O
LJZITOS,O,O,O,O
LJZISTO,O,X,O,X
LJZISOT,O,X,X,X
LJZIOTS,X,O,O,O
LJZIOST,X,O,X,X
LJZSTIO,O,X,O,X
LJZSTOI,O,X,O,X
LJZSITO,O,X,O,X
LJZSIOT,O,X,X,X
LJZSOTI,O,X,X,X
LJZSOIT,O,X,X,X
LJZOTIS,X,O,O,O
LJZOTSI,X,O,O,O
LJZOITS,X,O,O,O
LJZOIST,X,O,X,X
LJZOSTI,X,O,X,X
LJZOSIT,X,O,X,X
LJOTISZ,X,O,X,X
LJOTIZS,X,O,O,X
LJOTSIZ,X,O,X,X
LJOTSZI,X,O,O,O
LJOTZIS,X,O,O,O
LJOTZSI,X,O,O,O
LJOITSZ,X,O,X,X
LJOITZS,X,O,O,X
LJOISTZ,X,O,X,X
LJOISZT,X,O,X,X
LJOIZTS,X,O,O,X
LJOIZST,X,O,X,X
LJOSTIZ,X,O,X,X
LJOSTZI,X,O,X,X
LJOSITZ,X,O,X,X
LJOSIZT,X,O,X,X
LJOSZTI,X,O,X,X
LJOSZIT,X,O,X,X
LJOZTIS,X,O,O,O
LJOZTSI,X,O,O,O
LJOZITS,X,O,O,O
LJOZIST,X,O,X,X
LJOZSTI,X,O,X,X
LJOZSIT,X,O,X,X
LSTIJZO,O,X,O,X
LSTIJOZ,O,O,X,X
LSTIZJO,O,X,O,X
LSTIZOJ,O,X,O,O
LSTIOJZ,O,O,X,X
LSTIOZJ,O,O,X,O
LSTJIZO,O,X,O,X
LSTJIOZ,O,O,X,X
LSTJZIO,O,X,O,X
LSTJZOI,O,X,O,O
LSTJOIZ,O,O,X,X
LSTJOZI,O,O,O,O
LSTZIJO,O,X,O,O
LSTZIOJ,O,X,O,O
LSTZJIO,O,X,O,X
LSTZJOI,O,X,O,O
LSTZOIJ,O,X,O,O
LSTZOJI,O,X,O,O
LSTOIJZ,O,O,X,X
LSTOIZJ,O,O,X,O
LSTOJIZ,O,O,X,X
LSTOJZI,O,O,O,O
LSTOZIJ,O,O,O,O
LSTOZJI,O,O,O,O
LSITJZO,O,X,O,X
LSITJOZ,O,O,X,X
LSITZJO,O,X,O,X
LSITZOJ,O,X,O,X
LSITOJZ,O,O,X,X
LSITOZJ,O,O,X,X
LSIJTZO,O,X,O,X
LSIJTOZ,O,O,X,X
LSIJZTO,O,X,O,X
LSIJZOT,O,X,X,X
LSIJOTZ,O,O,X,X
LSIJOZT,O,O,X,X
LSIZTJO,O,X,O,X
LSIZTOJ,O,X,O,X
LSIZJTO,O,X,O,X
LSIZJOT,O,X,X,X
LSIZOTJ,O,X,X,X
LSIZOJT,O,X,X,X
LSIOTJZ,O,O,X,X
LSIOTZJ,O,O,X,X
LSIOJTZ,O,O,X,X
LSIOJZT,O,O,X,X
LSIOZTJ,O,O,X,X
LSIOZJT,O,O,X,X
LSJTIZO,O,X,O,X
LSJTIOZ,O,O,X,X
LSJTZIO,O,X,O,X
LSJTZOI,O,X,O,X
LSJTOIZ,O,O,X,X
LSJTOZI,O,O,O,X
LSJITZO,O,X,O,X
LSJITOZ,O,O,X,X
LSJIZTO,O,X,O,X
LSJIZOT,O,X,X,X
LSJIOTZ,O,O,X,X
LSJIOZT,O,O,X,X
LSJZTIO,O,X,O,X
LSJZTOI,O,X,O,X
LSJZITO,O,X,O,X
LSJZIOT,O,X,X,X
LSJZOTI,O,X,X,X
LSJZOIT,O,X,X,X
LSJOTIZ,O,O,X,X
LSJOTZI,O,O,X,X
LSJOITZ,O,O,X,X
LSJOIZT,O,O,X,X
LSJOZTI,O,O,X,X
LSJOZIT,O,O,X,X
LSZTIJO,O,X,O,O
LSZTIOJ,O,X,O,O
LSZTJIO,O,X,O,X
LSZTJOI,O,X,O,O
LSZTOIJ,O,X,O,O
LSZTOJI,O,X,O,O
LSZITJO,O,X,O,O
LSZITOJ,O,X,O,O
LSZIJTO,O,X,O,X
LSZIJOT,O,X,X,X
LSZIOTJ,O,X,X,O
LSZIOJT,O,X,X,X
LSZJTIO,O,X,O,X
LSZJTOI,O,X,O,X
LSZJITO,O,X,O,X
LSZJIOT,O,X,X,X
LSZJOTI,O,X,X,X
LSZJOIT,O,X,X,X
LSZOTIJ,O,X,X,O
LSZOTJI,O,X,X,O
LSZOITJ,O,X,X,O
LSZOIJT,O,X,X,X
LSZOJTI,O,X,X,X
LSZOJIT,O,X,X,X
LSOTIJZ,O,O,X,X
LSOTIZJ,O,O,X,O
LSOTJIZ,O,O,X,X
LSOTJZI,O,O,X,O
LSOTZIJ,O,O,X,O
LSOTZJI,O,O,X,O
LSOITJZ,O,O,X,X
LSOITZJ,O,O,X,X
LSOIJTZ,O,O,X,X
LSOIJZT,O,O,X,X
LSOIZTJ,O,O,X,X
LSOIZJT,O,O,X,X
LSOJTIZ,O,O,X,X
LSOJTZI,O,O,X,X
LSOJITZ,O,O,X,X
LSOJIZT,O,O,X,X
LSOJZTI,O,O,X,X
LSOJZIT,O,O,X,X
LSOZTIJ,O,O,X,O
LSOZTJI,O,O,X,O
LSOZITJ,O,O,X,O
LSOZIJT,O,O,X,X
LSOZJTI,O,O,X,X
LSOZJIT,O,O,X,X
LZTIJSO,O,X,O,O
LZTIJOS,O,O,O,O
LZTISJO,O,X,O,O
LZTISOJ,O,X,O,O
LZTIOJS,O,O,O,O
LZTIOSJ,O,O,O,O
LZTJISO,O,X,O,O
LZTJIOS,O,O,O,O
LZTJSIO,O,X,O,X
LZTJSOI,O,X,O,O
LZTJOIS,O,O,O,O
LZTJOSI,O,O,O,O
LZTSIJO,O,X,O,O
LZTSIOJ,O,X,O,O
LZTSJIO,O,X,O,X
LZTSJOI,O,X,O,O
LZTSOIJ,O,X,O,O
LZTSOJI,O,X,O,O
LZTOIJS,O,O,O,O
LZTOISJ,O,O,O,O
LZTOJIS,O,O,O,O
LZTOJSI,O,O,O,O
LZTOSIJ,O,O,O,O
LZTOSJI,O,O,O,O
LZITJSO,O,X,O,O
LZITJOS,O,O,O,O
LZITSJO,O,X,O,O
LZITSOJ,O,X,O,O
LZITOJS,O,O,O,O
LZITOSJ,O,O,O,O
LZIJTSO,O,X,O,O
LZIJTOS,O,O,O,O
LZIJSTO,O,X,O,X
LZIJSOT,O,X,X,X
LZIJOTS,X,O,O,O
LZIJOST,X,O,X,X
LZISTJO,O,X,O,O
LZISTOJ,O,X,O,O
LZISJTO,O,X,O,X
LZISJOT,O,X,X,X
LZISOTJ,O,X,X,O
LZISOJT,O,X,X,X
LZIOTJS,X,O,O,O
LZIOTSJ,X,O,O,O
LZIOJTS,X,O,O,O
LZIOJST,X,O,X,X
LZIOSTJ,X,O,X,O
LZIOSJT,X,O,X,X
LZJTISO,O,X,O,O
LZJTIOS,O,O,O,O
LZJTSIO,O,X,O,X
LZJTSOI,O,X,O,O
LZJTOIS,O,O,O,O
LZJTOSI,O,O,O,O
LZJITSO,O,X,O,O
LZJITOS,O,O,O,O
LZJISTO,O,X,O,X
LZJISOT,O,X,X,X
LZJIOTS,X,O,O,O
LZJIOST,X,O,X,X
LZJSTIO,O,X,O,X
LZJSTOI,O,X,O,X
LZJSITO,O,X,O,X
LZJSIOT,O,X,X,X
LZJSOTI,O,X,X,X
LZJSOIT,O,X,X,X
LZJOTIS,X,O,O,O
LZJOTSI,X,O,O,O
LZJOITS,X,O,O,O
LZJOIST,X,O,X,X
LZJOSTI,X,O,X,X
LZJOSIT,X,O,X,X
LZSTIJO,O,X,O,O
LZSTIOJ,O,X,O,O
LZSTJIO,O,X,O,X
LZSTJOI,O,X,O,O
LZSTOIJ,O,X,O,O
LZSTOJI,O,X,O,O
LZSITJO,O,X,O,O
LZSITOJ,O,X,O,O
LZSIJTO,O,X,O,X
LZSIJOT,O,X,X,X
LZSIOTJ,O,X,X,O
LZSIOJT,O,X,X,X
LZSJTIO,O,X,O,X
LZSJTOI,O,X,O,X
LZSJITO,O,X,O,X
LZSJIOT,O,X,X,X
LZSJOTI,O,X,X,X
LZSJOIT,O,X,X,X
LZSOTIJ,O,X,X,O
LZSOTJI,O,X,X,O
LZSOITJ,O,X,X,O
LZSOIJT,O,X,X,X
LZSOJTI,O,X,X,X
LZSOJIT,O,X,X,X
LZOTIJS,X,O,O,O
LZOTISJ,X,O,O,O
LZOTJIS,X,O,O,O
LZOTJSI,X,O,O,O
LZOTSIJ,X,O,O,O
LZOTSJI,X,O,O,O
LZOITJS,X,O,O,O
LZOITSJ,X,O,O,O
LZOIJTS,X,O,O,O
LZOIJST,X,O,X,X
LZOISTJ,X,O,X,O
LZOISJT,X,O,X,X
LZOJTIS,X,O,O,O
LZOJTSI,X,O,O,O
LZOJITS,X,O,O,O
LZOJIST,X,O,X,X
LZOJSTI,X,O,X,X
LZOJSIT,X,O,X,X
LZOSTIJ,X,O,X,O
LZOSTJI,X,O,X,O
LZOSITJ,X,O,X,O
LZOSIJT,X,O,X,X
LZOSJTI,X,O,X,X
LZOSJIT,X,O,X,X
LOTIJSZ,X,O,X,X
LOTIJZS,X,O,O,X
LOTISJZ,X,O,X,X
LOTISZJ,X,O,X,O
LOTIZJS,X,O,O,O
LOTIZSJ,X,O,O,O
LOTJISZ,X,O,X,X
LOTJIZS,X,O,O,X
LOTJSIZ,X,O,X,X
LOTJSZI,X,O,O,O
LOTJZIS,X,O,O,O
LOTJZSI,X,O,O,O
LOTSIJZ,X,O,X,X
LOTSIZJ,X,O,X,O
LOTSJIZ,X,O,X,X
LOTSJZI,X,O,O,O
LOTSZIJ,X,O,O,O
LOTSZJI,X,O,O,O
LOTZIJS,X,O,O,O
LOTZISJ,X,O,O,O
LOTZJIS,X,O,O,O
LOTZJSI,X,O,O,O
LOTZSIJ,X,O,O,O
LOTZSJI,X,O,O,O
LOITJSZ,X,O,X,X
LOITJZS,X,O,O,X
LOITSJZ,X,O,X,X
LOITSZJ,X,O,X,O
LOITZJS,X,O,O,O
LOITZSJ,X,O,O,O
LOIJTSZ,X,O,X,X
LOIJTZS,X,O,O,X
LOIJSTZ,X,O,X,X
LOIJSZT,X,O,X,X
LOIJZTS,X,O,O,X
LOIJZST,X,O,X,X
LOISTJZ,X,O,X,X
LOISTZJ,X,O,X,X
LOISJTZ,X,O,X,X
LOISJZT,X,O,X,X
LOISZTJ,X,O,X,X
LOISZJT,X,O,X,X
LOIZTJS,X,O,O,O
LOIZTSJ,X,O,O,O
LOIZJTS,X,O,O,O
LOIZJST,X,O,X,X
LOIZSTJ,X,O,X,O
LOIZSJT,X,O,X,X
LOJTISZ,X,O,X,X
LOJTIZS,X,O,O,X
LOJTSIZ,X,O,X,X
LOJTSZI,X,O,O,O
LOJTZIS,X,O,O,O
LOJTZSI,X,O,O,O
LOJITSZ,X,O,X,X
LOJITZS,X,O,O,X
LOJISTZ,X,O,X,X
LOJISZT,X,O,X,X
LOJIZTS,X,O,O,X
LOJIZST,X,O,X,X
LOJSTIZ,X,O,X,X
LOJSTZI,X,O,X,X
LOJSITZ,X,O,X,X
LOJSIZT,X,O,X,X
LOJSZTI,X,O,X,X
LOJSZIT,X,O,X,X
LOJZTIS,X,O,O,O
LOJZTSI,X,O,O,O
LOJZITS,X,O,O,O
LOJZIST,X,O,X,X
LOJZSTI,X,O,X,X
LOJZSIT,X,O,X,X
LOSTIJZ,X,O,X,X
LOSTIZJ,X,O,X,O
LOSTJIZ,X,O,X,X
LOSTJZI,X,O,X,O
LOSTZIJ,X,O,X,O
LOSTZJI,X,O,X,O
LOSITJZ,X,O,X,X
LOSITZJ,X,O,X,X
LOSIJTZ,X,O,X,X
LOSIJZT,X,O,X,X
LOSIZTJ,X,O,X,X
LOSIZJT,X,O,X,X
LOSJTIZ,X,O,X,X
LOSJTZI,X,O,X,X
LOSJITZ,X,O,X,X
LOSJIZT,X,O,X,X
LOSJZTI,X,O,X,X
LOSJZIT,X,O,X,X
LOSZTIJ,X,O,X,O
LOSZTJI,X,O,X,O
LOSZITJ,X,O,X,O
LOSZIJT,X,O,X,X
LOSZJTI,X,O,X,X
LOSZJIT,X,O,X,X
LOZTIJS,X,O,O,O
LOZTISJ,X,O,O,O
LOZTJIS,X,O,O,O
LOZTJSI,X,O,O,O
LOZTSIJ,X,O,O,O
LOZTSJI,X,O,O,O
LOZITJS,X,O,O,O
LOZITSJ,X,O,O,O
LOZIJTS,X,O,O,O
LOZIJST,X,O,X,X
LOZISTJ,X,O,X,O
LOZISJT,X,O,X,X
LOZJTIS,X,O,O,O
LOZJTSI,X,O,O,O
LOZJITS,X,O,O,O
LOZJIST,X,O,X,X
LOZJSTI,X,O,X,X
LOZJSIT,X,O,X,X
LOZSTIJ,X,O,X,O
LOZSTJI,X,O,X,O
LOZSITJ,X,O,X,O
LOZSIJT,X,O,X,X
LOZSJTI,X,O,X,X
LOZSJIT,X,O,X,X
JTILSZO,O,X,O,X
JTILSOZ,O,O,X,X
JTILZSO,O,X,O,X
JTILZOS,O,O,O,X
JTILOSZ,X,O,X,X
JTILOZS,X,O,O,X
JTISLZO,O,X,O,X
JTISLOZ,O,O,X,X
JTISZLO,O,X,O,O
JTISZOL,O,X,O,O
JTISOLZ,O,O,X,X
JTISOZL,O,O,X,O
JTIZLSO,O,X,O,O
JTIZLOS,O,O,O,O
JTIZSLO,O,X,O,O
JTIZSOL,O,X,O,O
JTIZOLS,O,O,O,O
JTIZOSL,O,O,X,O
JTIOLSZ,X,O,X,X
JTIOLZS,X,O,O,X
JTIOSLZ,X,O,X,X
JTIOSZL,X,O,X,O
JTIOZLS,X,O,O,O
JTIOZSL,X,O,X,O
JTLISZO,O,X,O,X
JTLISOZ,O,O,X,X
JTLIZSO,O,X,O,X
JTLIZOS,O,O,O,X
JTLIOSZ,X,O,X,X
JTLIOZS,X,O,O,X
JTLSIZO,O,X,O,X
JTLSIOZ,O,O,X,X
JTLSZIO,O,X,O,X
JTLSZOI,O,X,O,O
JTLSOIZ,O,O,X,X
JTLSOZI,O,O,O,O
JTLZISO,O,X,O,O
JTLZIOS,O,O,O,O
JTLZSIO,O,X,O,X
JTLZSOI,O,X,O,O
JTLZOIS,O,O,O,O
JTLZOSI,O,O,O,O
JTLOISZ,X,O,X,X
JTLOIZS,X,O,O,X
JTLOSIZ,O,O,X,X
JTLOSZI,O,O,O,O
JTLOZIS,O,O,O,O
JTLOZSI,O,O,O,O
JTSILZO,O,X,O,X
JTSILOZ,O,O,X,X
JTSIZLO,O,X,O,X
JTSIZOL,O,X,O,X
JTSIOLZ,O,O,X,X
JTSIOZL,O,O,X,X
JTSLIZO,O,X,O,X
JTSLIOZ,O,O,X,X
JTSLZIO,O,X,O,X
JTSLZOI,O,X,O,O
JTSLOIZ,O,O,X,X
JTSLOZI,O,O,O,O
JTSZILO,O,X,O,X
JTSZIOL,O,X,O,X
JTSZLIO,O,X,O,X
JTSZLOI,O,X,O,O
JTSZOIL,O,X,O,X
JTSZOLI,O,X,O,O
JTSOILZ,O,O,X,X
JTSOIZL,O,O,X,X
JTSOLIZ,O,O,X,X
JTSOLZI,O,O,O,O
JTSOZIL,O,O,O,X
JTSOZLI,O,O,O,O
JTZILSO,O,X,O,O
JTZILOS,O,O,O,O
JTZISLO,O,X,O,O
JTZISOL,O,X,O,O
JTZIOLS,O,O,O,O
JTZIOSL,O,O,X,O
JTZLISO,O,X,O,O
JTZLIOS,O,O,O,O
JTZLSIO,O,X,O,X
JTZLSOI,O,X,O,O
JTZLOIS,O,O,O,O
JTZLOSI,O,O,O,O
JTZSILO,O,X,O,X
JTZSIOL,O,X,O,X
JTZSLIO,O,X,O,X
JTZSLOI,O,X,O,O
JTZSOIL,O,X,O,X
JTZSOLI,O,X,O,O
JTZOILS,O,O,O,O
JTZOISL,O,O,X,O
JTZOLIS,O,O,O,O
JTZOLSI,O,O,O,O
JTZOSIL,O,O,X,X
JTZOSLI,O,O,X,O
JTOILSZ,X,O,X,X
JTOILZS,X,O,O,X
JTOISLZ,X,O,X,X
JTOISZL,X,O,X,O
JTOIZLS,X,O,O,O
JTOIZSL,X,O,X,O
JTOLISZ,X,O,X,X
JTOLIZS,X,O,O,X
JTOLSIZ,O,O,X,X
JTOLSZI,O,O,O,O
JTOLZIS,O,O,O,O
JTOLZSI,O,O,O,O
JTOSILZ,O,O,X,X
JTOSIZL,O,O,X,X
JTOSLIZ,O,O,X,X
JTOSLZI,O,O,O,O
JTOSZIL,O,O,O,X
JTOSZLI,O,O,O,O
JTOZILS,O,O,O,O
JTOZISL,O,O,X,O
JTOZLIS,O,O,O,O
JTOZLSI,O,O,O,O
JTOZSIL,O,O,X,X
JTOZSLI,O,O,X,O
JITLSZO,O,X,O,X
JITLSOZ,O,O,X,X
JITLZSO,O,X,O,X
JITLZOS,O,O,O,X
JITLOSZ,X,O,X,X
JITLOZS,X,O,O,X
JITSLZO,O,X,O,X
JITSLOZ,O,O,X,X
JITSZLO,O,X,O,O
JITSZOL,O,X,O,O
JITSOLZ,O,O,X,X
JITSOZL,O,O,X,O
JITZLSO,O,X,O,O
JITZLOS,O,O,O,O
JITZSLO,O,X,O,O
JITZSOL,O,X,O,O
JITZOLS,O,O,O,O
JITZOSL,O,O,X,O
JITOLSZ,X,O,X,X
JITOLZS,X,O,O,X
JITOSLZ,X,O,X,X
JITOSZL,X,O,X,O
JITOZLS,X,O,O,O
JITOZSL,X,O,X,O
JILTSZO,X,X,O,X
JILTSOZ,X,O,X,X
JILTZSO,X,X,O,X
JILTZOS,X,O,O,X
JILTOSZ,X,O,X,X
JILTOZS,X,O,O,X
JILSTZO,X,X,O,X
JILSTOZ,X,O,X,X
JILSZTO,O,X,O,X
JILSZOT,O,X,X,X
JILSOTZ,X,O,X,X
JILSOZT,O,O,X,X
JILZTSO,O,X,O,X
JILZTOS,O,O,O,X
JILZSTO,O,X,O,X
JILZSOT,O,X,X,X
JILZOTS,X,O,O,X
JILZOST,X,O,X,X
JILOTSZ,X,O,X,X
JILOTZS,X,O,O,X
JILOSTZ,X,O,X,X
JILOSZT,X,O,X,X
JILOZTS,X,O,O,X
JILOZST,X,O,X,X
JISTLZO,O,X,O,X
JISTLOZ,O,O,X,X
JISTZLO,O,X,O,X
JISTZOL,O,X,O,X
JISTOLZ,O,O,X,X
JISTOZL,O,O,X,X
JISLTZO,O,X,O,X
JISLTOZ,O,O,X,X
JISLZTO,O,X,O,X
JISLZOT,O,X,X,X
JISLOTZ,O,O,X,X
JISLOZT,O,O,X,X
JISZTLO,O,X,O,X
JISZTOL,O,X,O,X
JISZLTO,O,X,O,X
JISZLOT,O,X,X,X
JISZOTL,O,X,O,X
JISZOLT,O,X,X,X
JISOTLZ,O,O,X,X
JISOTZL,O,O,X,X
JISOLTZ,O,O,X,X
JISOLZT,O,O,X,X
JISOZTL,O,O,X,X
JISOZLT,O,O,X,X
JIZTLSO,O,X,O,O
JIZTLOS,O,O,O,O
JIZTSLO,O,X,O,O
JIZTSOL,O,X,O,O
JIZTOLS,O,O,O,O
JIZTOSL,O,O,X,O
JIZLTSO,O,X,O,O
JIZLTOS,O,O,O,O
JIZLSTO,O,X,O,X
JIZLSOT,O,X,X,X
JIZLOTS,X,O,O,O
JIZLOST,X,O,X,X
JIZSTLO,O,X,O,X
JIZSTOL,O,X,O,X
JIZSLTO,O,X,O,X
JIZSLOT,O,X,X,X
JIZSOTL,O,X,O,X
JIZSOLT,O,X,X,X
JIZOTLS,O,O,O,O
JIZOTSL,O,O,X,O
JIZOLTS,X,O,O,O
JIZOLST,X,O,X,X
JIZOSTL,O,O,O,X
JIZOSLT,O,O,X,X
JIOTLSZ,X,O,X,X
JIOTLZS,X,O,O,X
JIOTSLZ,X,O,X,X
JIOTSZL,X,O,X,O
JIOTZLS,X,O,O,O
JIOTZSL,X,O,X,O
JIOLTSZ,X,O,X,X
JIOLTZS,X,O,O,X
JIOLSTZ,X,O,X,X
JIOLSZT,X,O,X,X
JIOLZTS,X,O,O,X
JIOLZST,X,O,X,X
JIOSTLZ,X,O,X,X
JIOSTZL,O,O,X,X
JIOSLTZ,X,O,X,X
JIOSLZT,O,O,X,X
JIOSZTL,O,O,X,X
JIOSZLT,O,O,X,X
JIOZTLS,O,O,O,O
JIOZTSL,O,O,X,O
JIOZLTS,X,O,O,O
JIOZLST,X,O,X,X
JIOZSTL,O,O,O,X
JIOZSLT,O,O,X,X
JLTISZO,O,X,O,X
JLTISOZ,O,O,X,X
JLTIZSO,O,X,O,X
JLTIZOS,O,O,O,X
JLTIOSZ,X,O,X,X
JLTIOZS,X,O,O,X
JLTSIZO,O,X,O,X
JLTSIOZ,O,O,X,X
JLTSZIO,O,X,O,X
JLTSZOI,O,X,O,O
JLTSOIZ,O,O,X,X
JLTSOZI,O,O,O,O
JLTZISO,O,X,O,O
JLTZIOS,O,O,O,O
JLTZSIO,O,X,O,X
JLTZSOI,O,X,O,O
JLTZOIS,O,O,O,O
JLTZOSI,O,O,O,O
JLTOISZ,X,O,X,X
JLTOIZS,X,O,O,X
JLTOSIZ,O,O,X,X
JLTOSZI,O,O,O,O
JLTOZIS,O,O,O,O
JLTOZSI,O,O,O,O
JLITSZO,X,X,O,X
JLITSOZ,X,O,X,X
JLITZSO,X,X,O,X
JLITZOS,X,O,O,X
JLITOSZ,X,O,X,X
JLITOZS,X,O,O,X
JLISTZO,X,X,O,X
JLISTOZ,X,O,X,X
JLISZTO,O,X,O,X
JLISZOT,O,X,X,X
JLISOTZ,X,O,X,X
JLISOZT,O,O,X,X
JLIZTSO,O,X,O,X
JLIZTOS,O,O,O,X
JLIZSTO,O,X,O,X
JLIZSOT,O,X,X,X
JLIZOTS,X,O,O,X
JLIZOST,X,O,X,X
JLIOTSZ,X,O,X,X
JLIOTZS,X,O,O,X
JLIOSTZ,X,O,X,X
JLIOSZT,X,O,X,X
JLIOZTS,X,O,O,X
JLIOZST,X,O,X,X
JLSTIZO,O,X,O,X
JLSTIOZ,O,O,X,X
JLSTZIO,O,X,O,X
JLSTZOI,O,X,O,X
JLSTOIZ,O,O,X,X
JLSTOZI,O,O,O,X
JLSITZO,O,X,O,X
JLSITOZ,O,O,X,X
JLSIZTO,O,X,O,X
JLSIZOT,O,X,X,X
JLSIOTZ,O,O,X,X
JLSIOZT,O,O,X,X
JLSZTIO,O,X,O,X
JLSZTOI,O,X,O,X
JLSZITO,O,X,O,X
JLSZIOT,O,X,X,X
JLSZOTI,O,X,X,X
JLSZOIT,O,X,X,X
JLSOTIZ,O,O,X,X
JLSOTZI,O,O,X,X
JLSOITZ,O,O,X,X
JLSOIZT,O,O,X,X
JLSOZTI,O,O,X,X
JLSOZIT,O,O,X,X
JLZTISO,O,X,O,O
JLZTIOS,O,O,O,O
JLZTSIO,O,X,O,X
JLZTSOI,O,X,O,O
JLZTOIS,O,O,O,O
JLZTOSI,O,O,O,O
JLZITSO,O,X,O,O
JLZITOS,O,O,O,O
JLZISTO,O,X,O,X
JLZISOT,O,X,X,X
JLZIOTS,X,O,O,O
JLZIOST,X,O,X,X
JLZSTIO,O,X,O,X
JLZSTOI,O,X,O,X
JLZSITO,O,X,O,X
JLZSIOT,O,X,X,X
JLZSOTI,O,X,X,X
JLZSOIT,O,X,X,X
JLZOTIS,X,O,O,O
JLZOTSI,X,O,O,O
JLZOITS,X,O,O,O
JLZOIST,X,O,X,X
JLZOSTI,X,O,X,X
JLZOSIT,X,O,X,X
JLOTISZ,X,O,X,X
JLOTIZS,X,O,O,X
JLOTSIZ,X,O,X,X
JLOTSZI,X,O,O,O
JLOTZIS,X,O,O,O
JLOTZSI,X,O,O,O
JLOITSZ,X,O,X,X
JLOITZS,X,O,O,X
JLOISTZ,X,O,X,X
JLOISZT,X,O,X,X
JLOIZTS,X,O,O,X
JLOIZST,X,O,X,X
JLOSTIZ,X,O,X,X
JLOSTZI,X,O,X,X
JLOSITZ,X,O,X,X
JLOSIZT,X,O,X,X
JLOSZTI,X,O,X,X
JLOSZIT,X,O,X,X
JLOZTIS,X,O,O,O
JLOZTSI,X,O,O,O
JLOZITS,X,O,O,O
JLOZIST,X,O,X,X
JLOZSTI,X,O,X,X
