sequence,v115@QhC8EeF8DeC8JeT/IvhFOlBxhBXjBdsBUrBCrB,v115@QhC8EeF8DeC8JeT/IvhF0gBxhBXjB2qBdsBSwB,v115@QhC8EeF8DeC8JeT/IvhF9mBOnBXjB0lBilBRwB,v115@QhC8EeF8DeC8JeT/IvhFNlBGhBxiB8qB3rBisB,v115@QhC8EeF8DeC8JeT/IvhFxgBXjByqBtrBOsB0qB,v115@QhC8EeF8DeC8JeT/IvhFKlBxhBXjBcrBesBtqB,v115@QhC8EeF8DeC8Jei/IvhFXjBUlBRmB9rBOsBzqB
TOIJSLZ,O,O,O,X,X,X,X
TOIJSZL,O,O,O,O,X,X,X
TOIJZLS,O,O,O,X,X,X,X
TOIJZSL,O,O,O,X,X,X,X
TOISLJZ,O,O,O,X,O,X,X
TOISLZJ,O,X,O,O,O,X,X
TOISJLZ,O,O,O,X,X,X,X
TOISJZL,O,O,O,O,X,X,X
TOISZLJ,O,X,O,O,X,X,X
TOISZJL,O,O,O,O,X,X,X
TOIZLJS,O,X,O,X,X,X,X
TOIZLSJ,O,X,O,X,X,X,X
TOIZJLS,O,O,O,X,X,X,X
TOIZJSL,O,O,O,X,X,X,X
TOIZSLJ,O,X,O,O,X,X,X
TOIZSJL,O,O,O,O,X,X,X
TOLIJSZ,O,O,X,X,O,X,X
TOLIJZS,X,O,X,X,O,X,X
TOLISJZ,O,O,X,X,O,X,X
TOLISZJ,O,X,X,O,O,X,X
TOLIZJS,O,X,X,X,O,X,X
TOLIZSJ,O,X,X,X,O,X,X
TOLJISZ,O,O,X,X,O,X,X
TOLJIZS,X,O,X,X,O,X,X
TOLJSIZ,O,O,X,X,O,X,X
TOLJSZI,O,O,X,X,O,O,X
TOLJZIS,O,O,X,X,O,O,X
TOLJZSI,O,O,X,X,O,O,X
TOLSIJZ,O,O,X,X,O,X,X
TOLSIZJ,O,X,X,O,O,X,X
TOLSJIZ,O,O,X,X,O,X,X
TOLSJZI,O,O,X,X,O,O,X
TOLSZIJ,O,X,X,O,O,X,X
TOLSZJI,O,X,X,O,O,X,X
TOLZIJS,O,X,X,X,O,X,X
TOLZISJ,O,X,X,X,O,X,X
TOLZJIS,O,X,X,X,O,O,X
TOLZJSI,O,X,X,X,O,O,X
TOLZSIJ,O,X,X,O,O,X,X
TOLZSJI,O,X,X,O,O,X,X
TOJILSZ,O,O,X,X,X,X,X
TOJILZS,X,O,X,X,X,X,X
TOJISLZ,O,O,X,X,X,X,X
TOJISZL,O,O,X,O,X,X,X
TOJIZLS,O,O,X,X,X,X,X
TOJIZSL,O,O,X,X,X,X,X
TOJLISZ,O,O,X,X,O,X,X
TOJLIZS,X,O,X,X,O,X,X
TOJLSIZ,O,O,X,X,O,X,X
TOJLSZI,O,O,X,X,O,O,X
TOJLZIS,O,O,X,X,O,O,X
TOJLZSI,O,O,X,X,O,O,X
TOJSILZ,O,O,X,X,X,X,X
TOJSIZL,O,O,X,O,X,X,X
TOJSLIZ,O,O,X,X,O,X,X
TOJSLZI,O,O,X,X,O,O,X
TOJSZIL,O,O,X,O,X,X,X
TOJSZLI,O,O,X,O,X,O,X
TOJZILS,O,O,X,X,X,X,X
TOJZISL,O,O,X,X,X,X,X
TOJZLIS,O,O,X,X,X,O,X
TOJZLSI,O,O,X,X,X,O,X
TOJZSIL,O,O,X,O,X,X,X
TOJZSLI,O,O,X,O,X,O,X
TOSILJZ,O,O,O,X,O,X,X
TOSILZJ,O,X,O,O,O,X,X
TOSIJLZ,O,O,O,X,X,X,X
TOSIJZL,O,O,O,O,X,X,X
TOSIZLJ,O,X,O,O,X,X,X
TOSIZJL,O,O,O,O,X,X,X
TOSLIJZ,O,O,X,X,O,X,X
TOSLIZJ,O,X,X,O,O,X,X
TOSLJIZ,O,O,X,X,O,X,X
TOSLJZI,O,O,X,X,O,O,X
TOSLZIJ,O,X,X,O,O,X,X
TOSLZJI,O,X,X,O,O,X,X
TOSJILZ,O,O,O,X,X,X,X
TOSJIZL,O,O,O,O,X,X,X
TOSJLIZ,O,O,X,X,O,X,X
TOSJLZI,O,O,X,X,O,O,X
TOSJZIL,O,O,X,O,X,X,X
TOSJZLI,O,O,X,O,X,O,X
TOSZILJ,O,X,X,O,X,X,X
TOSZIJL,O,O,X,O,X,X,X
TOSZLIJ,O,X,X,O,O,X,X
TOSZLJI,O,X,X,O,O,X,X
TOSZJIL,O,O,X,O,X,X,X
TOSZJLI,O,O,X,O,X,X,X
TOZILJS,O,X,X,X,X,X,X
TOZILSJ,O,X,X,X,X,X,X
TOZIJLS,O,O,X,X,X,X,X
TOZIJSL,O,O,X,X,X,X,X
TOZISLJ,O,X,X,O,X,X,X
TOZISJL,O,O,X,O,X,X,X
TOZLIJS,O,X,X,X,O,X,X
TOZLISJ,O,X,X,X,O,X,X
TOZLJIS,O,X,X,X,O,O,X
TOZLJSI,O,X,X,X,O,O,X
TOZLSIJ,O,X,X,O,O,X,X
TOZLSJI,O,X,X,O,O,X,X
TOZJILS,O,O,X,X,X,X,X
TOZJISL,O,O,X,X,X,X,X
TOZJLIS,O,O,X,X,X,O,X
TOZJLSI,O,O,X,X,X,O,X
TOZJSIL,O,O,X,O,X,X,X
TOZJSLI,O,O,X,O,X,O,X
TOZSILJ,O,X,X,O,X,X,X
TOZSIJL,O,O,X,O,X,X,X
TOZSLIJ,O,X,X,O,O,X,X
TOZSLJI,O,X,X,O,O,X,X
TOZSJIL,O,O,X,O,X,X,X
TOZSJLI,O,O,X,O,X,X,X
ITLJSZO,X,O,O,X,O,X,X
ITLJSOZ,O,O,O,X,O,X,X
ITLJZSO,X,O,O,X,O,X,X
ITLJZOS,X,O,O,X,O,X,X
ITLJOSZ,O,O,O,X,O,X,X
ITLJOZS,X,O,O,X,O,X,X
ITLSJZO,X,O,O,X,O,X,X
ITLSJOZ,O,O,O,X,O,X,X
ITLSZJO,O,X,O,O,O,X,X
ITLSZOJ,O,X,O,O,O,X,X
ITLSOJZ,O,O,O,X,O,X,X
ITLSOZJ,O,X,O,O,O,X,X
ITLZJSO,O,X,O,X,O,X,X
ITLZJOS,O,X,O,X,O,X,X
ITLZSJO,O,X,O,X,O,X,X
ITLZSOJ,O,X,O,X,O,X,X
ITLZOJS,O,X,O,X,O,X,X
ITLZOSJ,O,X,O,X,O,X,X
ITLOJSZ,O,O,O,X,O,X,X
ITLOJZS,X,O,O,X,O,X,X
ITLOSJZ,O,O,O,X,O,X,X
ITLOSZJ,O,X,O,O,O,X,X
ITLOZJS,O,X,O,X,O,X,X
ITLOZSJ,O,X,O,X,O,X,X
ITJLSZO,X,O,O,X,X,X,X
ITJLSOZ,O,O,O,X,X,X,X
ITJLZSO,X,O,O,X,X,X,X
ITJLZOS,X,O,O,X,X,X,X
ITJLOSZ,O,O,O,X,X,X,X
ITJLOZS,X,O,O,X,X,X,X
ITJSLZO,X,O,O,X,X,X,X
ITJSLOZ,O,O,O,X,X,X,X
ITJSZLO,O,O,O,O,X,X,X
ITJSZOL,O,O,O,O,X,X,X
ITJSOLZ,O,O,O,X,X,X,X
ITJSOZL,O,O,O,O,X,X,X
ITJZLSO,O,O,O,X,X,X,X
ITJZLOS,O,O,O,X,X,X,X
ITJZSLO,O,O,O,X,X,X,X
ITJZSOL,O,O,O,X,X,X,X
ITJZOLS,O,O,O,X,X,X,X
ITJZOSL,O,O,O,X,X,X,X
ITJOLSZ,O,O,O,X,X,X,X
ITJOLZS,X,O,O,X,X,X,X
ITJOSLZ,O,O,O,X,X,X,X
ITJOSZL,O,O,O,O,X,X,X
ITJOZLS,O,O,O,X,X,X,X
ITJOZSL,O,O,O,X,X,X,X
ITSLJZO,X,O,O,X,O,X,X
ITSLJOZ,O,O,O,X,O,X,X
ITSLZJO,O,X,O,O,O,X,X
ITSLZOJ,O,X,O,O,O,X,X
ITSLOJZ,O,O,O,X,O,X,X
ITSLOZJ,O,X,O,O,O,X,X
ITSJLZO,X,O,O,X,X,X,X
ITSJLOZ,O,O,O,X,X,X,X
ITSJZLO,O,O,O,O,X,X,X
ITSJZOL,O,O,O,O,X,X,X
ITSJOLZ,O,O,O,X,X,X,X
ITSJOZL,O,O,O,O,X,X,X
ITSZLJO,O,X,O,O,X,X,X
ITSZLOJ,O,X,O,O,X,X,X
ITSZJLO,O,O,O,O,X,X,X
ITSZJOL,O,O,O,O,X,X,X
ITSZOLJ,O,X,O,O,X,X,X
ITSZOJL,O,O,O,O,X,X,X
ITSOLJZ,O,O,O,X,O,X,X
ITSOLZJ,O,X,O,O,O,X,X
ITSOJLZ,O,O,O,X,X,X,X
ITSOJZL,O,O,O,O,X,X,X
ITSOZLJ,O,X,O,O,X,X,X
ITSOZJL,O,O,O,O,X,X,X
ITZLJSO,O,X,O,X,X,X,X
ITZLJOS,O,X,O,X,X,X,X
ITZLSJO,O,X,O,X,X,X,X
ITZLSOJ,O,X,O,X,X,X,X
ITZLOJS,O,X,O,X,X,X,X
ITZLOSJ,O,X,O,X,X,X,X
ITZJLSO,O,O,O,X,X,X,X
ITZJLOS,O,O,O,X,X,X,X
ITZJSLO,O,O,O,X,X,X,X
ITZJSOL,O,O,O,X,X,X,X
ITZJOLS,O,O,O,X,X,X,X
ITZJOSL,O,O,O,X,X,X,X
ITZSLJO,O,X,O,O,X,X,X
ITZSLOJ,O,X,O,O,X,X,X
ITZSJLO,O,O,O,O,X,X,X
ITZSJOL,O,O,O,O,X,X,X
ITZSOLJ,O,X,O,O,X,X,X
ITZSOJL,O,O,O,O,X,X,X
ITZOLJS,O,X,O,X,X,X,X
ITZOLSJ,O,X,O,X,X,X,X
ITZOJLS,O,O,O,X,X,X,X
ITZOJSL,O,O,O,X,X,X,X
ITZOSLJ,O,X,O,O,X,X,X
ITZOSJL,O,O,O,O,X,X,X
ITOLJSZ,O,O,O,X,O,X,X
ITOLJZS,X,O,O,X,O,X,X
ITOLSJZ,O,O,O,X,O,X,X
ITOLSZJ,O,X,O,O,O,X,X
ITOLZJS,O,X,O,X,O,X,X
ITOLZSJ,O,X,O,X,O,X,X
ITOJLSZ,O,O,O,X,X,X,X
ITOJLZS,X,O,O,X,X,X,X
ITOJSLZ,O,O,O,X,X,X,X
ITOJSZL,O,O,O,O,X,X,X
ITOJZLS,O,O,O,X,X,X,X
ITOJZSL,O,O,O,X,X,X,X
ITOSLJZ,O,O,O,X,O,X,X
ITOSLZJ,O,X,O,O,O,X,X
ITOSJLZ,O,O,O,X,X,X,X
ITOSJZL,O,O,O,O,X,X,X
ITOSZLJ,O,X,O,O,X,X,X
ITOSZJL,O,O,O,O,X,X,X
ITOZLJS,O,X,O,X,X,X,X
ITOZLSJ,O,X,O,X,X,X,X
ITOZJLS,O,O,O,X,X,X,X
ITOZJSL,O,O,O,X,X,X,X
ITOZSLJ,O,X,O,O,X,X,X
ITOZSJL,O,O,O,O,X,X,X
ILTJSZO,X,X,O,X,O,X,X
ILTJSOZ,X,X,O,X,O,X,X
ILTJZSO,X,X,O,X,O,X,X
ILTJZOS,X,X,O,X,O,X,X
ILTJOSZ,X,X,O,X,O,X,X
ILTJOZS,X,X,O,X,O,X,X
ILTSJZO,X,X,O,X,O,X,X
ILTSJOZ,X,X,O,X,O,X,X
ILTSZJO,X,X,O,O,O,X,X
ILTSZOJ,X,X,O,O,O,X,X
ILTSOJZ,X,X,O,X,O,X,X
ILTSOZJ,X,X,O,O,O,X,X
ILTZJSO,X,X,O,X,O,X,X
ILTZJOS,X,X,O,X,O,X,X
ILTZSJO,X,X,O,X,O,X,X
ILTZSOJ,X,X,O,X,O,X,X
ILTZOJS,X,X,O,X,O,X,X
ILTZOSJ,X,X,O,X,O,X,X
ILTOJSZ,X,X,O,X,O,X,X
ILTOJZS,X,X,O,X,O,X,X
ILTOSJZ,X,X,O,X,O,X,X
ILTOSZJ,X,X,O,O,O,X,X
ILTOZJS,X,X,O,X,O,X,X
ILTOZSJ,X,X,O,X,O,X,X
ILJTSZO,X,X,O,X,O,X,X
ILJTSOZ,X,X,O,X,O,X,X
ILJTZSO,X,X,O,X,O,X,X
ILJTZOS,X,X,O,X,O,X,X
ILJTOSZ,X,X,O,X,O,X,X
ILJTOZS,X,X,O,X,O,X,X
ILJSTZO,X,X,O,X,X,X,X
ILJSTOZ,X,X,O,X,X,X,X
ILJSZTO,X,X,O,X,X,O,X
ILJSZOT,X,X,O,X,X,O,X
ILJSOTZ,X,X,O,X,X,X,X
ILJSOZT,X,X,O,X,X,O,X
ILJZTSO,X,X,O,X,X,O,X
ILJZTOS,X,X,O,X,X,O,X
ILJZSTO,X,X,O,X,X,O,X
ILJZSOT,X,X,O,X,X,O,X
ILJZOTS,X,X,O,X,X,O,X
ILJZOST,X,X,O,X,X,O,X
ILJOTSZ,X,X,O,X,O,X,X
ILJOTZS,X,X,O,X,O,X,X
ILJOSTZ,X,X,O,X,X,X,X
ILJOSZT,X,X,O,X,X,O,X
ILJOZTS,X,X,O,X,X,O,X
ILJOZST,X,X,O,X,X,O,X
ILSTJZO,X,X,O,X,O,X,X
ILSTJOZ,X,X,O,X,O,X,X
ILSTZJO,X,X,O,O,O,X,X
ILSTZOJ,X,X,O,O,O,X,X
ILSTOJZ,X,X,O,X,O,X,X
ILSTOZJ,X,X,O,O,O,X,X
ILSJTZO,X,X,O,X,X,X,X
ILSJTOZ,X,X,O,X,X,X,X
ILSJZTO,X,X,O,O,X,O,X
ILSJZOT,X,X,O,X,X,O,X
ILSJOTZ,X,X,O,X,X,X,X
ILSJOZT,X,X,O,X,X,O,X
ILSZTJO,X,X,O,O,X,X,O
ILSZTOJ,X,X,O,O,X,X,O
ILSZJTO,X,X,O,O,X,X,O
ILSZJOT,X,X,O,X,X,X,O
ILSZOTJ,X,X,O,O,X,X,O
ILSZOJT,X,X,O,X,X,X,O
ILSOTJZ,X,X,O,X,O,X,X
ILSOTZJ,X,X,O,O,O,X,X
ILSOJTZ,X,X,O,X,X,X,X
ILSOJZT,X,X,O,X,X,O,X
ILSOZTJ,X,X,O,O,X,X,X
ILSOZJT,X,X,O,X,X,X,X
ILZTJSO,X,X,O,X,O,X,X
ILZTJOS,X,X,O,X,O,X,X
ILZTSJO,X,X,O,X,O,X,O
ILZTSOJ,X,X,O,X,O,X,O
ILZTOJS,X,X,O,X,O,X,X
ILZTOSJ,X,X,O,X,O,X,X
ILZJTSO,X,X,O,X,X,O,X
ILZJTOS,X,X,O,X,X,O,X
ILZJSTO,X,X,O,X,X,O,O
ILZJSOT,X,X,O,X,X,O,O
ILZJOTS,X,X,O,X,X,O,X
ILZJOST,X,X,O,X,X,O,X
ILZSTJO,X,X,O,X,X,X,O
ILZSTOJ,X,X,O,X,X,X,O
ILZSJTO,X,X,O,X,X,X,O
ILZSJOT,X,X,O,X,X,X,O
ILZSOTJ,X,X,O,X,X,X,O
ILZSOJT,X,X,O,X,X,X,O
ILZOTJS,X,X,O,X,O,X,X
ILZOTSJ,X,X,O,X,O,X,X
ILZOJTS,X,X,O,X,X,O,X
ILZOJST,X,X,O,X,X,O,X
ILZOSTJ,X,X,O,X,X,X,O
ILZOSJT,X,X,O,X,X,X,O
ILOTJSZ,X,X,O,X,O,X,X
ILOTJZS,X,X,O,X,O,X,X
ILOTSJZ,X,X,O,X,O,X,X
ILOTSZJ,X,X,O,O,O,X,X
ILOTZJS,X,X,O,X,O,X,X
ILOTZSJ,X,X,O,X,O,X,X
ILOJTSZ,X,X,O,X,O,X,X
ILOJTZS,X,X,O,X,O,X,X
ILOJSTZ,X,X,O,X,X,X,X
ILOJSZT,X,X,O,X,X,O,X
ILOJZTS,X,X,O,X,X,O,X
ILOJZST,X,X,O,X,X,O,X
ILOSTJZ,X,X,O,X,O,X,X
ILOSTZJ,X,X,O,O,O,X,X
ILOSJTZ,X,X,O,X,X,X,X
ILOSJZT,X,X,O,X,X,O,X
ILOSZTJ,X,X,O,O,X,X,X
ILOSZJT,X,X,O,X,X,X,X
ILOZTJS,X,X,O,X,O,X,X
ILOZTSJ,X,X,O,X,O,X,X
ILOZJTS,X,X,O,X,X,O,X
ILOZJST,X,X,O,X,X,O,X
ILOZSTJ,X,X,O,X,X,X,X
ILOZSJT,X,X,O,X,X,X,X
IJTLSZO,X,O,O,X,X,X,X
IJTLSOZ,O,O,O,X,X,X,X
IJTLZSO,X,O,O,X,X,X,X
IJTLZOS,X,O,O,X,X,X,X
IJTLOSZ,O,O,O,X,X,X,X
IJTLOZS,X,O,O,X,X,X,X
IJTSLZO,X,O,O,X,X,X,X
IJTSLOZ,O,O,O,X,X,X,X
IJTSZLO,O,O,O,O,X,X,X
IJTSZOL,O,O,O,O,X,X,X
IJTSOLZ,O,O,O,X,X,X,X
IJTSOZL,O,O,O,O,X,X,X
IJTZLSO,O,O,O,X,X,X,X
IJTZLOS,O,O,O,X,X,X,X
IJTZSLO,O,O,O,X,X,X,X
IJTZSOL,O,O,O,X,X,X,X
IJTZOLS,O,O,O,X,X,X,X
IJTZOSL,O,O,O,X,X,X,X
IJTOLSZ,O,O,O,X,X,X,X
IJTOLZS,X,O,O,X,X,X,X
IJTOSLZ,O,O,O,X,X,X,X
IJTOSZL,O,O,O,O,X,X,X
IJTOZLS,O,O,O,X,X,X,X
IJTOZSL,O,O,O,X,X,X,X
IJLTSZO,X,X,O,X,X,X,X
IJLTSOZ,X,X,O,X,X,X,X
IJLTZSO,X,X,O,X,X,X,X
IJLTZOS,X,X,O,X,X,X,X
IJLTOSZ,X,X,O,X,X,X,X
IJLTOZS,X,X,O,X,X,X,X
IJLSTZO,X,X,O,X,X,X,X
IJLSTOZ,X,X,O,X,X,X,X
IJLSZTO,X,X,O,X,X,O,X
IJLSZOT,X,X,O,X,X,O,X
IJLSOTZ,X,X,O,X,X,X,X
IJLSOZT,X,X,O,X,X,O,X
IJLZTSO,X,X,O,X,X,O,X
IJLZTOS,X,X,O,X,X,O,X
IJLZSTO,X,X,O,X,X,O,X
IJLZSOT,X,X,O,X,X,O,X
IJLZOTS,X,X,O,X,X,O,X
IJLZOST,X,X,O,X,X,O,X
IJLOTSZ,X,X,O,X,X,X,X
IJLOTZS,X,X,O,X,X,X,X
IJLOSTZ,X,X,O,X,X,X,X
IJLOSZT,X,X,O,X,X,O,X
IJLOZTS,X,X,O,X,X,O,X
IJLOZST,X,X,O,X,X,O,X
IJSTLZO,X,O,O,X,X,X,X
IJSTLOZ,O,O,O,X,X,X,X
IJSTZLO,O,O,O,O,X,X,X
IJSTZOL,O,O,O,O,X,X,X
IJSTOLZ,O,O,O,X,X,X,X
IJSTOZL,O,O,O,O,X,X,X
IJSLTZO,X,X,O,X,X,X,X
IJSLTOZ,X,X,O,X,X,X,X
IJSLZTO,X,X,O,O,X,O,X
IJSLZOT,X,O,O,X,X,O,X
IJSLOTZ,O,X,O,X,X,X,X
IJSLOZT,O,O,O,X,X,O,X
IJSZTLO,O,O,O,O,X,X,X
IJSZTOL,O,O,O,O,X,X,X
IJSZLTO,X,X,O,O,X,O,X
IJSZLOT,O,O,O,X,X,O,X
IJSZOTL,O,O,O,O,X,X,X
IJSZOLT,O,O,O,X,X,O,X
IJSOTLZ,O,O,O,X,X,X,X
IJSOTZL,O,O,O,O,X,X,X
IJSOLTZ,O,X,O,X,X,X,X
IJSOLZT,O,O,O,X,X,O,X
IJSOZTL,O,O,O,O,X,X,X
IJSOZLT,O,O,O,X,X,O,X
IJZTLSO,O,O,O,X,X,X,X
IJZTLOS,O,O,O,X,X,X,X
IJZTSLO,O,O,O,X,X,X,X
IJZTSOL,O,O,O,X,X,X,X
IJZTOLS,O,O,O,X,X,X,X
IJZTOSL,O,O,O,X,X,X,X
IJZLTSO,X,X,O,X,X,O,X
IJZLTOS,X,X,O,X,X,O,X
IJZLSTO,X,X,O,X,X,O,X
IJZLSOT,X,O,O,X,X,O,X
IJZLOTS,X,X,O,X,X,O,X
IJZLOST,X,O,O,X,X,O,X
IJZSTLO,O,O,O,X,X,X,X
IJZSTOL,O,O,O,X,X,X,X
IJZSLTO,X,X,O,X,X,O,X
IJZSLOT,O,O,O,X,X,O,X
IJZSOTL,O,O,O,X,X,X,X
IJZSOLT,O,O,O,X,X,O,X
IJZOTLS,O,O,O,X,X,X,X
IJZOTSL,O,O,O,X,X,X,X
IJZOLTS,X,X,O,X,X,O,X
IJZOLST,X,O,O,X,X,O,X
IJZOSTL,O,O,O,X,X,X,X
IJZOSLT,O,O,O,X,X,O,X
IJOTLSZ,O,O,O,X,X,X,X
IJOTLZS,X,O,O,X,X,X,X
IJOTSLZ,O,O,O,X,X,X,X
IJOTSZL,O,O,O,O,X,X,X
IJOTZLS,O,O,O,X,X,X,X
IJOTZSL,O,O,O,X,X,X,X
IJOLTSZ,X,X,O,X,X,X,X
IJOLTZS,X,X,O,X,X,X,X
IJOLSTZ,X,X,O,X,X,X,X
IJOLSZT,X,X,O,X,X,O,X
IJOLZTS,X,X,O,X,X,O,X
IJOLZST,X,X,O,X,X,O,X
IJOSTLZ,O,O,O,X,X,X,X
IJOSTZL,O,O,O,O,X,X,X
IJOSLTZ,O,X,O,X,X,X,X
IJOSLZT,O,O,O,X,X,O,X
IJOSZTL,O,O,O,O,X,X,X
IJOSZLT,O,O,O,X,X,O,X
IJOZTLS,O,O,O,X,X,X,X
IJOZTSL,O,O,O,X,X,X,X
IJOZLTS,X,X,O,X,X,O,X
IJOZLST,X,O,O,X,X,O,X
IJOZSTL,O,O,O,X,X,X,X
IJOZSLT,O,O,O,X,X,O,X
ISTLJZO,X,O,O,X,O,X,X
ISTLJOZ,O,O,O,X,O,X,X
ISTLZJO,O,X,O,O,O,X,X
ISTLZOJ,O,X,O,O,O,X,X
ISTLOJZ,O,O,O,X,O,X,X
ISTLOZJ,O,X,O,O,O,X,X
ISTJLZO,X,O,O,X,X,X,X
ISTJLOZ,O,O,O,X,X,X,X
ISTJZLO,O,O,O,O,X,X,X
ISTJZOL,O,O,O,O,X,X,X
ISTJOLZ,O,O,O,X,X,X,X
ISTJOZL,O,O,O,O,X,X,X
ISTZLJO,O,X,O,O,X,X,X
ISTZLOJ,O,X,O,O,X,X,X
ISTZJLO,O,O,O,O,X,X,X
ISTZJOL,O,O,O,O,X,X,X
ISTZOLJ,O,X,O,O,X,X,X
ISTZOJL,O,O,O,O,X,X,X
ISTOLJZ,O,O,O,X,O,X,X
ISTOLZJ,O,X,O,O,O,X,X
ISTOJLZ,O,O,O,X,X,X,X
ISTOJZL,O,O,O,O,X,X,X
ISTOZLJ,O,X,O,O,X,X,X
ISTOZJL,O,O,O,O,X,X,X
ISLTJZO,X,O,O,X,O,X,X
ISLTJOZ,O,O,O,X,O,X,X
ISLTZJO,O,X,O,O,O,X,X
ISLTZOJ,O,X,O,O,O,X,X
ISLTOJZ,O,O,O,X,O,X,X
ISLTOZJ,O,X,O,O,O,X,X
ISLJTZO,X,X,O,X,X,X,X
ISLJTOZ,X,X,O,X,X,X,X
ISLJZTO,X,X,O,O,X,O,X
ISLJZOT,X,O,O,X,X,O,X
ISLJOTZ,O,X,O,X,X,X,X
ISLJOZT,O,O,O,X,X,O,X
ISLZTJO,X,X,O,O,X,X,O
ISLZTOJ,X,X,O,O,X,X,O
ISLZJTO,X,X,O,O,X,X,O
ISLZJOT,O,X,O,X,X,X,O
ISLZOTJ,X,X,O,O,X,X,O
ISLZOJT,O,X,O,X,X,X,O
ISLOTJZ,O,O,O,X,O,X,X
ISLOTZJ,O,X,O,O,O,X,X
ISLOJTZ,O,X,O,X,X,X,X
ISLOJZT,O,O,O,X,X,O,X
ISLOZTJ,X,X,O,O,X,X,X
ISLOZJT,O,X,O,X,X,X,X
ISJTLZO,X,O,O,X,X,X,X
ISJTLOZ,O,O,O,X,X,X,X
ISJTZLO,O,O,O,O,X,X,X
ISJTZOL,O,O,O,O,X,X,X
ISJTOLZ,O,O,O,X,X,X,X
ISJTOZL,O,O,O,O,X,X,X
ISJLTZO,X,X,O,X,X,X,X
ISJLTOZ,X,X,O,X,X,X,X
ISJLZTO,X,X,O,O,X,O,X
ISJLZOT,X,O,O,X,X,O,X
ISJLOTZ,O,X,O,X,X,X,X
ISJLOZT,O,O,O,X,X,O,X
ISJZTLO,O,O,O,O,X,X,X
ISJZTOL,O,O,O,O,X,X,X
ISJZLTO,X,X,O,O,X,O,X
ISJZLOT,O,O,O,X,X,O,X
ISJZOTL,O,O,O,O,X,X,X
ISJZOLT,O,O,O,X,X,O,X
ISJOTLZ,O,O,O,X,X,X,X
ISJOTZL,O,O,O,O,X,X,X
ISJOLTZ,O,X,O,X,X,X,X
ISJOLZT,O,O,O,X,X,O,X
ISJOZTL,O,O,O,O,X,X,X
ISJOZLT,O,O,O,X,X,O,X
ISZTLJO,O,X,O,O,X,X,O
ISZTLOJ,O,X,O,O,X,X,O
ISZTJLO,O,O,O,O,X,X,X
ISZTJOL,O,O,O,O,X,X,X
ISZTOLJ,O,X,O,O,X,X,X
ISZTOJL,O,O,O,O,X,X,X
ISZLTJO,X,X,O,O,X,X,O
ISZLTOJ,X,X,O,O,X,X,O
ISZLJTO,X,X,O,O,X,X,O
ISZLJOT,O,X,O,X,X,X,O
ISZLOTJ,X,X,O,O,X,X,O
ISZLOJT,O,X,O,X,X,X,O
ISZJTLO,O,X,O,O,X,X,X
ISZJTOL,O,O,O,O,X,X,X
ISZJLTO,X,X,O,O,X,X,O
ISZJLOT,O,O,O,X,X,X,O
ISZJOTL,O,O,O,O,X,X,X
ISZJOLT,O,O,O,X,X,X,X
ISZOTLJ,O,X,O,O,X,X,X
ISZOTJL,O,O,O,O,X,X,X
ISZOLTJ,X,X,O,O,X,X,O
ISZOLJT,O,X,O,X,X,X,O
ISZOJTL,O,O,O,O,X,X,X
ISZOJLT,O,O,O,X,X,X,X
ISOTLJZ,O,O,O,X,O,X,X
ISOTLZJ,O,X,O,O,O,X,X
ISOTJLZ,O,O,O,X,X,X,X
ISOTJZL,O,O,O,O,X,X,X
ISOTZLJ,O,X,O,O,X,X,X
ISOTZJL,O,O,O,O,X,X,X
ISOLTJZ,O,O,O,X,O,X,X
ISOLTZJ,O,X,O,O,O,X,X
ISOLJTZ,O,X,O,X,X,X,X
ISOLJZT,O,O,O,X,X,O,X
ISOLZTJ,X,X,O,O,X,X,X
ISOLZJT,O,X,O,X,X,X,X
ISOJTLZ,O,O,O,X,X,X,X
ISOJTZL,O,O,O,O,X,X,X
ISOJLTZ,O,X,O,X,X,X,X
ISOJLZT,O,O,O,X,X,O,X
ISOJZTL,O,O,O,O,X,X,X
ISOJZLT,O,O,O,X,X,O,X
ISOZTLJ,O,X,O,O,X,X,X
ISOZTJL,O,O,O,O,X,X,X
ISOZLTJ,X,X,O,O,X,X,X
ISOZLJT,O,X,O,X,X,X,X
ISOZJTL,O,O,O,O,X,X,X
ISOZJLT,O,O,O,X,X,X,X
IZTLJSO,O,X,O,X,X,X,X
IZTLJOS,O,X,O,X,X,X,X
IZTLSJO,O,X,O,X,X,X,O
IZTLSOJ,O,X,O,X,X,X,O
IZTLOJS,O,X,O,X,X,X,X
IZTLOSJ,O,X,O,X,X,X,X
IZTJLSO,O,X,O,X,X,X,X
IZTJLOS,O,X,O,X,X,X,X
IZTJSLO,O,X,O,X,X,X,X
IZTJSOL,O,X,O,X,X,X,X
IZTJOLS,O,X,O,X,X,X,X
IZTJOSL,O,X,O,X,X,X,X
IZTSLJO,O,X,O,O,X,X,O
IZTSLOJ,O,X,O,O,X,X,O
IZTSJLO,O,X,O,O,X,X,X
IZTSJOL,O,X,O,O,X,X,X
IZTSOLJ,O,X,O,O,X,X,X
IZTSOJL,O,X,O,O,X,X,X
IZTOLJS,O,X,O,X,X,X,X
IZTOLSJ,O,X,O,X,X,X,X
IZTOJLS,O,X,O,X,X,X,X
IZTOJSL,O,X,O,X,X,X,X
IZTOSLJ,O,X,O,O,X,X,X
