sequence,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFmiB5oB?XlBlmBcsBTrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhF8mBziB?5oBilBXsBFrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFclBihB?ziB5oBFsB3rB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeGAJvhF/mBFiB?8nB5oBzkBywB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFXiB8nB?5oBilBzrBFrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFziB5oB?XlBFsBOrB8rB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFThBOnB?8nB5oBXlB1wB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFclBThB?5oBlnB3rBisB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeWFJvhFxiBlmB?csB6tBXlBTrB
IJTSOLZ,X,O,X,X,X,O,X,X,X
IJTSOZL,X,X,X,X,X,O,X,O,X
IJTZLSO,O,X,O,O,X,X,X,O,X
IJTZLOS,X,X,O,X,O,X,X,X,X
IJTZSLO,O,X,O,O,X,X,X,O,X
IJTZSOL,O,X,O,O,X,X,X,O,X
IJTZOLS,X,X,O,X,O,X,X,X,X
IJTZOSL,O,X,O,X,X,X,X,O,X
IJTOLSZ,X,O,X,X,X,X,X,X,X
IJTOLZS,X,X,O,X,O,X,X,X,X
IJTOSLZ,X,O,X,X,X,O,X,X,X
IJTOSZL,X,X,X,X,X,O,X,X,X
IJTOZLS,X,X,O,X,O,X,X,X,X
IJTOZSL,X,X,O,X,X,X,X,X,X
IJLTSZO,X,O,X,X,X,X,X,X,X
IJLTSOZ,X,O,X,X,X,X,X,X,X
IJLTZSO,X,X,O,X,X,X,X,X,O
IJLTZOS,X,X,O,X,O,X,X,X,O
IJLTOSZ,X,O,X,X,X,X,X,X,X
IJLTOZS,X,X,O,X,O,X,X,X,X
IJLSTZO,O,O,X,X,X,X,X,X,X
IJLSTOZ,X,O,X,X,X,X,X,X,X
IJLSZTO,O,O,X,O,X,X,X,X,O
IJLSZOT,O,O,X,X,O,X,X,X,X
IJLSOTZ,X,O,X,X,X,X,X,X,X
IJLSOZT,O,O,X,X,O,X,X,X,X
IJLZTSO,O,X,O,O,X,X,X,X,O
IJLZTOS,X,X,O,X,O,X,X,X,O
IJLZSTO,O,O,O,O,X,X,X,X,O
IJLZSOT,O,O,O,O,O,X,X,X,X
IJLZOTS,X,X,O,X,O,X,X,X,O
IJLZOST,X,O,O,O,O,X,X,X,X
IJLOTSZ,X,O,X,X,X,X,X,X,X
IJLOTZS,X,X,X,X,O,X,X,X,X
IJLOSTZ,X,O,X,X,X,X,X,X,X
IJLOSZT,X,O,X,X,O,X,X,X,X
IJLOZTS,X,X,O,X,O,X,X,X,O
IJLOZST,X,O,O,X,O,X,X,X,X
IJSTLZO,O,O,X,X,X,O,X,X,X
IJSTLOZ,X,O,X,X,X,O,X,X,X
IJSTZLO,O,X,X,O,X,O,X,O,X
IJSTZOL,O,X,X,O,X,O,X,O,X
IJSTOLZ,X,O,X,X,X,O,X,X,X
IJSTOZL,X,X,X,X,X,O,X,O,X
IJSLTZO,O,O,X,X,X,O,X,X,X
IJSLTOZ,X,O,X,X,X,O,X,X,X
IJSLZTO,O,O,X,O,X,X,O,X,X
IJSLZOT,O,O,X,X,O,X,X,X,X
IJSLOTZ,X,O,X,X,X,O,X,X,X
IJSLOZT,O,O,X,X,O,X,X,X,X
IJSZTLO,O,X,X,O,X,X,O,O,X
IJSZTOL,O,X,X,O,X,X,O,O,X
IJSZLTO,O,O,X,O,X,X,O,O,X
IJSZLOT,O,O,X,O,O,X,X,O,X
IJSZOTL,O,X,X,O,X,X,X,O,X
IJSZOLT,O,O,X,O,O,X,X,O,X
IJSOTLZ,X,O,X,X,X,O,X,X,X
IJSOTZL,X,X,X,O,X,O,X,O,X
IJSOLTZ,X,O,X,X,X,O,X,X,X
IJSOLZT,O,O,X,O,O,X,X,X,X
IJSOZTL,O,X,X,O,X,X,X,O,X
IJSOZLT,O,O,X,O,O,X,X,O,X
IJZTLSO,O,X,O,O,X,X,O,O,O
IJZTLOS,X,X,O,X,O,X,O,X,O
IJZTSLO,O,X,O,O,X,X,O,O,X
IJZTSOL,O,X,O,O,X,X,O,O,X
IJZTOLS,X,X,O,X,O,X,O,X,X
IJZTOSL,O,X,O,X,X,X,O,O,X
IJZLTSO,O,X,O,O,X,X,X,O,O
IJZLTOS,X,X,O,X,O,X,X,X,O
IJZLSTO,O,O,O,O,X,X,X,O,O
IJZLSOT,O,O,O,O,O,X,X,O,X
IJZLOTS,X,X,O,O,O,X,X,X,O
IJZLOST,X,O,O,O,O,X,X,O,X
IJZSTLO,O,X,O,O,X,X,O,O,X
IJZSTOL,O,X,O,O,X,X,O,O,X
IJZSLTO,O,O,O,O,X,X,O,O,X
IJZSLOT,O,O,O,O,O,X,X,O,X
IJZSOTL,O,X,O,O,X,X,X,O,X
IJZSOLT,O,O,O,O,O,X,X,O,X
IJZOTLS,X,X,O,O,O,X,X,X,X
IJZOTSL,O,X,O,O,X,X,X,O,X
IJZOLTS,X,X,O,O,O,X,X,X,X
IJZOLST,X,O,O,O,O,X,X,O,X
IJZOSTL,O,X,O,O,X,X,X,O,X
IJZOSLT,O,O,O,O,O,X,X,O,X
IJOTLSZ,X,O,X,X,X,X,X,X,X
IJOTLZS,X,X,O,X,O,X,X,X,X
IJOTSLZ,X,O,X,X,X,O,X,X,X
IJOTSZL,X,X,X,O,X,O,X,X,X
IJOTZLS,X,X,O,O,O,X,X,X,X
IJOTZSL,X,X,O,O,X,X,X,X,X
IJOLTSZ,X,O,X,X,X,X,X,X,X
IJOLTZS,X,X,X,X,O,X,X,X,X
IJOLSTZ,X,O,X,X,X,X,X,X,X
IJOLSZT,X,O,X,O,O,X,X,X,X
IJOLZTS,X,X,O,O,O,X,X,X,X
IJOLZST,X,O,O,O,O,X,X,X,X
IJOSTLZ,X,O,X,X,X,O,X,X,X
IJOSTZL,X,X,X,O,X,O,X,O,X
IJOSLTZ,X,O,X,X,X,O,X,X,X
IJOSLZT,O,O,X,O,O,X,X,X,X
IJOSZTL,O,X,X,O,X,X,X,O,X
IJOSZLT,O,O,X,O,O,X,X,O,X
IJOZTLS,X,X,O,O,O,X,X,X,X
IJOZTSL,O,X,O,O,X,X,X,O,X
IJOZLTS,X,X,O,O,O,X,X,X,X
IJOZLST,X,O,O,O,O,X,X,O,X
IJOZSTL,O,X,O,O,X,X,X,O,X
IJOZSLT,O,O,O,O,O,X,X,O,X
ISTLJZO,O,O,X,X,X,O,X,X,X
ISTLJOZ,X,O,X,X,X,O,X,X,X
ISTLZJO,O,O,O,X,X,O,O,O,X
ISTLZOJ,O,O,O,X,X,O,O,O,X
ISTLOJZ,X,O,X,X,X,O,X,X,X
ISTLOZJ,X,O,O,X,X,O,X,O,X
ISTJLZO,O,O,X,X,X,O,X,X,X
ISTJLOZ,X,O,X,X,X,O,X,X,X
ISTJZLO,O,X,X,O,X,O,X,O,X
ISTJZOL,O,X,X,O,X,O,X,O,X
ISTJOLZ,X,O,X,X,X,O,X,X,X
ISTJOZL,X,X,X,X,X,O,X,O,X
ISTZLJO,O,O,O,O,X,O,O,O,X
ISTZLOJ,O,O,O,O,X,O,O,O,X
ISTZJLO,O,X,O,O,X,O,O,O,X
ISTZJOL,O,X,O,O,X,O,O,O,X
ISTZOLJ,O,O,O,O,X,O,O,O,X
ISTZOJL,O,X,O,O,X,O,O,O,X
ISTOLJZ,X,O,X,X,X,O,X,X,X
ISTOLZJ,X,O,O,X,X,O,X,O,X
ISTOJLZ,X,O,X,X,X,O,X,X,X
ISTOJZL,X,X,X,O,X,O,X,O,X
ISTOZLJ,X,O,O,O,X,O,X,O,X
ISTOZJL,X,X,O,O,X,O,X,O,X
ISLTJZO,O,O,X,X,X,O,X,X,X
ISLTJOZ,X,O,X,X,X,O,X,X,X
ISLTZJO,O,O,O,X,X,O,O,O,X
ISLTZOJ,O,O,O,X,X,O,O,O,X
ISLTOJZ,X,O,X,X,X,O,X,X,X
ISLTOZJ,X,O,O,X,X,O,X,O,X
ISLJTZO,O,O,X,X,X,O,X,X,X
ISLJTOZ,X,O,X,X,X,O,X,X,X
ISLJZTO,O,O,X,O,X,X,O,X,X
ISLJZOT,O,O,X,X,O,X,X,X,X
ISLJOTZ,X,O,X,X,X,O,X,X,X
ISLJOZT,O,O,X,X,O,X,X,X,X
ISLZTJO,O,O,O,O,X,O,O,O,X
ISLZTOJ,O,O,O,O,X,O,O,O,X
ISLZJTO,O,O,O,O,X,X,O,O,X
ISLZJOT,O,O,O,X,O,X,X,O,X
ISLZOTJ,O,O,X,O,O,O,O,O,X
ISLZOJT,O,O,O,O,O,X,X,O,X
ISLOTJZ,X,O,X,X,X,O,X,X,X
ISLOTZJ,X,O,X,X,X,O,X,O,X
ISLOJTZ,X,O,X,X,X,O,X,X,X
ISLOJZT,O,O,X,O,O,X,X,X,X
ISLOZTJ,O,O,X,O,O,O,O,O,X
ISLOZJT,O,O,O,O,O,X,X,O,X
ISJTLZO,O,O,X,X,X,O,X,X,X
ISJTLOZ,X,O,X,X,X,O,X,X,X
ISJTZLO,O,X,X,O,X,O,X,O,X
ISJTZOL,O,X,X,O,X,O,X,O,X
ISJTOLZ,X,O,X,X,X,O,X,X,X
ISJTOZL,X,X,X,X,X,O,X,O,X
ISJLTZO,O,O,X,X,X,O,X,X,X
ISJLTOZ,X,O,X,X,X,O,X,X,X
ISJLZTO,O,O,X,O,X,X,O,X,X
ISJLZOT,O,O,X,X,O,X,X,X,X
ISJLOTZ,X,O,X,X,X,O,X,X,X
ISJLOZT,O,O,X,X,O,X,X,X,X
ISJZTLO,O,X,X,O,X,X,O,O,X
ISJZTOL,O,X,X,O,X,X,O,O,X
ISJZLTO,O,O,X,O,X,X,O,O,X
ISJZLOT,O,O,X,O,O,X,X,O,X
ISJZOTL,O,X,X,O,X,X,X,O,X
ISJZOLT,O,O,X,O,O,X,X,O,X
ISJOTLZ,X,O,X,X,X,O,X,X,X
ISJOTZL,X,X,X,O,X,O,X,O,X
ISJOLTZ,X,O,X,X,X,O,X,X,X
ISJOLZT,O,O,X,O,O,X,X,X,X
ISJOZTL,O,X,X,O,X,X,X,O,X
ISJOZLT,O,O,X,O,O,X,X,O,X
ISZTLJO,O,O,O,O,X,O,O,O,X
ISZTLOJ,O,O,O,O,X,O,O,O,X
ISZTJLO,O,X,O,O,X,O,O,O,X
ISZTJOL,O,X,O,O,X,O,O,O,X
ISZTOLJ,O,O,O,O,X,O,O,O,X
ISZTOJL,O,X,O,O,X,O,O,O,X
ISZLTJO,O,O,O,O,X,O,O,O,X
ISZLTOJ,O,O,O,O,X,O,O,O,X
ISZLJTO,O,O,O,O,X,X,O,O,X
ISZLJOT,O,O,O,O,O,X,X,O,X
ISZLOTJ,O,O,X,O,O,O,O,O,X
ISZLOJT,O,O,O,O,O,X,X,O,X
ISZJTLO,O,X,O,O,X,X,O,O,X
ISZJTOL,O,X,O,O,X,X,O,O,X
ISZJLTO,O,O,O,O,X,X,O,O,X
ISZJLOT,O,O,O,O,O,X,X,O,X
ISZJOTL,O,X,O,O,X,X,X,O,X
ISZJOLT,O,O,O,O,O,X,X,O,X
ISZOTLJ,O,O,O,O,O,O,O,O,X
ISZOTJL,O,X,O,O,X,O,O,O,X
ISZOLTJ,O,O,X,O,O,O,O,O,X
ISZOLJT,O,O,O,O,O,X,X,O,X
ISZOJTL,O,X,O,O,X,X,X,O,X
ISZOJLT,O,O,O,O,O,X,X,O,X
ISOTLJZ,X,O,X,X,X,O,X,X,X
ISOTLZJ,X,O,O,X,X,O,X,O,X
ISOTJLZ,X,O,X,X,X,O,X,X,X
ISOTJZL,X,X,X,O,X,O,X,O,X
ISOTZLJ,X,O,O,O,X,O,X,O,X
ISOTZJL,X,X,O,O,X,O,X,O,X
ISOLTJZ,X,O,X,X,X,O,X,X,X
ISOLTZJ,X,O,X,X,X,O,X,O,X
ISOLJTZ,X,O,X,X,X,O,X,X,X
ISOLJZT,O,O,X,O,O,X,X,X,X
ISOLZTJ,O,O,X,O,O,O,O,O,X
ISOLZJT,O,O,O,O,O,X,X,O,X
ISOJTLZ,X,O,X,X,X,O,X,X,X
ISOJTZL,X,X,X,O,X,O,X,O,X
ISOJLTZ,X,O,X,X,X,O,X,X,X
ISOJLZT,O,O,X,O,O,X,X,X,X
ISOJZTL,O,X,X,O,X,X,X,O,X
ISOJZLT,O,O,X,O,O,X,X,O,X
ISOZTLJ,O,O,O,O,O,O,O,O,X
ISOZTJL,O,X,O,O,X,O,O,O,X
ISOZLTJ,O,O,X,O,O,O,O,O,X
ISOZLJT,O,O,O,O,O,X,X,O,X
ISOZJTL,O,X,O,O,X,X,X,O,X
ISOZJLT,O,O,O,O,O,X,X,O,X
IZTLJSO,O,X,O,O,X,X,O,O,O
IZTLJOS,X,X,O,X,O,X,O,X,O
IZTLSJO,O,X,O,O,X,X,O,O,O
IZTLSOJ,O,X,O,O,X,X,O,O,X
IZTLOJS,X,X,O,O,O,X,O,X,O
IZTLOSJ,X,X,O,O,O,X,O,X,X
IZTJLSO,O,X,O,O,X,X,O,O,O
IZTJLOS,X,X,O,X,O,X,O,X,O
IZTJSLO,O,X,O,O,X,X,O,O,X
IZTJSOL,O,X,O,O,X,X,O,O,X
IZTJOLS,X,X,O,X,O,X,O,X,X
IZTJOSL,O,X,O,X,X,X,O,O,X
IZTSLJO,O,X,O,O,X,O,O,O,X
IZTSLOJ,O,X,O,O,X,O,O,O,X
IZTSJLO,O,X,O,O,X,O,O,O,X
IZTSJOL,O,X,O,O,X,O,O,O,X
IZTSOLJ,O,X,O,O,X,O,O,O,X
IZTSOJL,O,X,O,O,X,O,O,O,X
IZTOLJS,X,X,O,O,O,X,O,X,X
IZTOLSJ,X,X,O,O,O,X,O,X,X
IZTOJLS,X,X,O,O,O,X,O,X,X
IZTOJSL,O,X,O,O,X,X,O,O,X
IZTOSLJ,O,X,O,O,O,O,O,O,X
IZTOSJL,O,X,O,O,X,O,O,O,X
IZLTJSO,O,X,O,O,X,X,O,O,O
IZLTJOS,X,X,O,X,O,X,O,X,O
IZLTSJO,O,X,O,O,X,X,O,O,O
IZLTSOJ,O,X,O,O,X,X,O,O,X
IZLTOJS,X,X,O,O,O,X,O,X,O
IZLTOSJ,X,X,O,O,O,X,O,X,X
IZLJTSO,O,X,O,O,X,X,X,O,O
IZLJTOS,X,X,O,X,O,X,X,X,O
IZLJSTO,O,O,O,O,X,X,X,O,O
IZLJSOT,O,O,O,O,O,X,X,O,X
IZLJOTS,X,X,O,O,O,X,X,X,O
IZLJOST,X,O,O,O,O,X,X,O,X
IZLSTJO,O,O,O,O,X,X,O,O,O
IZLSTOJ,O,O,O,O,X,X,O,O,X
IZLSJTO,O,O,O,O,X,X,O,O,O
IZLSJOT,O,O,O,O,O,X,X,O,X
IZLSOTJ,O,O,X,O,O,X,O,O,X
IZLSOJT,O,O,O,O,O,X,X,O,X
IZLOTJS,X,X,O,O,O,X,X,X,O
IZLOTSJ,X,X,O,O,O,X,X,X,X
IZLOJTS,X,X,O,O,O,X,X,X,O
IZLOJST,X,O,O,O,O,X,X,O,X
IZLOSTJ,X,O,X,O,O,X,X,O,X
IZLOSJT,X,O,O,O,O,X,X,O,X
IZJTLSO,O,X,O,O,X,X,O,O,O
IZJTLOS,X,X,O,X,O,X,O,X,O
IZJTSLO,O,X,O,O,X,X,O,O,X
IZJTSOL,O,X,O,O,X,X,O,O,X
IZJTOLS,X,X,O,X,O,X,O,X,X
IZJTOSL,O,X,O,X,X,X,O,O,X
IZJLTSO,O,X,O,O,X,X,X,O,O
IZJLTOS,X,X,O,X,O,X,X,X,O
IZJLSTO,O,O,O,O,X,X,X,O,O
IZJLSOT,O,O,O,O,O,X,X,O,X
IZJLOTS,X,X,O,O,O,X,X,X,O
IZJLOST,X,O,O,O,O,X,X,O,X
IZJSTLO,O,X,O,O,X,X,O,O,X
IZJSTOL,O,X,O,O,X,X,O,O,X
IZJSLTO,O,O,O,O,X,X,O,O,X
IZJSLOT,O,O,O,O,O,X,X,O,X
IZJSOTL,O,X,O,O,X,X,X,O,X
IZJSOLT,O,O,O,O,O,X,X,O,X
IZJOTLS,X,X,O,O,O,X,X,X,X
IZJOTSL,O,X,O,O,X,X,X,O,X
IZJOLTS,X,X,O,O,O,X,X,X,X
IZJOLST,X,O,O,O,O,X,X,O,X
IZJOSTL,O,X,O,O,X,X,X,O,X
IZJOSLT,O,O,O,O,O,X,X,O,X
IZSTLJO,O,O,O,O,X,O,O,O,X
IZSTLOJ,O,O,O,O,X,O,O,O,X
IZSTJLO,O,X,O,O,X,O,O,O,X
IZSTJOL,O,X,O,O,X,O,O,O,X
IZSTOLJ,O,O,O,O,X,O,O,O,X
IZSTOJL,O,X,O,O,X,O,O,O,X
IZSLTJO,O,O,O,O,X,O,O,O,X
IZSLTOJ,O,O,O,O,X,O,O,O,X
IZSLJTO,O,O,O,O,X,X,O,O,X
IZSLJOT,O,O,O,O,O,X,X,O,X
IZSLOTJ,O,O,X,O,O,O,O,O,X
IZSLOJT,O,O,O,O,O,X,X,O,X
IZSJTLO,O,X,O,O,X,X,O,O,X
IZSJTOL,O,X,O,O,X,X,O,O,X
IZSJLTO,O,O,O,O,X,X,O,O,X
IZSJLOT,O,O,O,O,O,X,X,O,X
IZSJOTL,O,X,O,O,X,X,X,O,X
IZSJOLT,O,O,O,O,O,X,X,O,X
IZSOTLJ,O,O,O,O,O,O,O,O,X
IZSOTJL,O,X,O,O,X,O,O,O,X
IZSOLTJ,O,O,X,O,O,O,O,O,X
IZSOLJT,O,O,O,O,O,X,X,O,X
IZSOJTL,O,X,O,O,X,X,X,O,X
IZSOJLT,O,O,O,O,O,X,X,O,X
IZOTLJS,X,X,O,O,O,X,O,X,X
IZOTLSJ,X,X,O,O,O,X,O,X,X
IZOTJLS,X,X,O,O,O,X,O,X,X
IZOTJSL,O,X,O,O,X,X,O,O,X
IZOTSLJ,O,X,O,O,O,O,O,O,X
IZOTSJL,O,X,O,O,X,O,O,O,X
IZOLTJS,X,X,O,O,O,X,X,X,X
IZOLTSJ,X,X,O,O,O,X,X,X,X
IZOLJTS,X,X,O,O,O,X,X,X,X
IZOLJST,X,O,O,O,O,X,X,O,X
IZOLSTJ,X,O,X,O,O,X,X,O,X
IZOLSJT,X,O,O,O,O,X,X,O,X
IZOJTLS,X,X,O,O,O,X,X,X,X
IZOJTSL,O,X,O,O,X,X,X,O,X
IZOJLTS,X,X,O,O,O,X,X,X,X
IZOJLST,X,O,O,O,O,X,X,O,X
IZOJSTL,O,X,O,O,X,X,X,O,X
IZOJSLT,O,O,O,O,O,X,X,O,X
IZOSTLJ,O,O,O,O,O,O,O,O,X
IZOSTJL,O,X,O,O,X,O,O,O,X
IZOSLTJ,O,O,X,O,O,O,O,O,X
IZOSLJT,O,O,O,O,O,X,X,O,X
IZOSJTL,O,X,O,O,X,X,X,O,X
IZOSJLT,O,O,O,O,O,X,X,O,X
IOTLJSZ,X,O,X,X,X,X,X,X,X
IOTLJZS,X,X,O,X,O,X,X,X,X
IOTLSJZ,X,O,X,X,X,O,X,X,X
IOTLSZJ,X,O,O,X,X,O,X,X,X
IOTLZJS,X,X,O,X,O,X,X,X,X
IOTLZSJ,X,X,O,X,O,X,X,X,X
IOTJLSZ,X,O,X,X,X,X,X,X,X
IOTJLZS,X,X,O,X,O,X,X,X,X
IOTJSLZ,X,O,X,X,X,O,X,X,X
IOTJSZL,X,X,X,O,X,O,X,X,X
IOTJZLS,X,X,O,O,O,X,X,X,X
IOTJZSL,X,X,O,O,X,X,X,X,X
IOTSLJZ,X,O,X,X,X,O,X,X,X
IOTSLZJ,X,O,O,X,X,O,X,O,X
IOTSJLZ,X,O,X,X,X,O,X,X,X
IOTSJZL,X,X,X,O,X,O,X,O,X
IOTSZLJ,X,O,O,O,X,O,X,O,X
IOTSZJL,X,X,O,O,X,O,X,O,X
IOTZLJS,X,X,O,O,O,X,X,X,X
IOTZLSJ,X,X,O,O,O,X,X,X,X
IOTZJLS,X,X,O,O,O,X,X,X,X
IOTZJSL,X,X,O,O,X,X,X,O,X
IOTZSLJ,X,X,O,O,O,O,X,O,X
IOTZSJL,X,X,O,O,X,O,X,O,X
IOLTJSZ,X,O,X,X,X,X,X,X,X
IOLTJZS,X,X,O,X,O,X,X,X,X
IOLTSJZ,X,O,X,X,X,O,X,X,X
IOLTSZJ,X,O,O,X,X,O,X,X,X
IOLTZJS,X,X,O,X,O,X,X,X,X
IOLTZSJ,X,X,O,X,O,X,X,X,X
IOLJTSZ,X,O,X,X,X,X,X,X,X
IOLJTZS,X,X,X,X,O,X,X,X,X
IOLJSTZ,X,O,X,X,X,X,X,X,X
IOLJSZT,X,O,X,O,O,X,X,X,X
IOLJZTS,X,X,O,O,O,X,X,X,X
IOLJZST,X,O,O,O,O,X,X,X,X
IOLSTJZ,X,O,X,X,X,O,X,X,X
IOLSTZJ,X,O,X,X,X,O,X,O,X
IOLSJTZ,X,O,X,X,X,O,X,X,X
IOLSJZT,X,O,X,O,O,X,X,X,X
IOLSZTJ,X,O,X,O,O,O,X,O,X
IOLSZJT,X,O,O,O,O,X,X,O,X
IOLZTJS,X,X,O,O,O,X,X,X,X
IOLZTSJ,X,X,O,O,O,X,X,X,X
IOLZJTS,X,X,O,O,O,X,X,X,X
IOLZJST,X,O,O,O,O,X,X,O,X
IOLZSTJ,X,O,X,O,O,X,X,O,X
IOLZSJT,X,O,O,O,O,X,X,O,X
IOJTLSZ,X,O,X,X,X,X,X,X,X
IOJTLZS,X,X,O,X,O,X,X,X,X
IOJTSLZ,X,O,X,X,X,O,X,X,X
IOJTSZL,X,X,X,O,X,O,X,X,X
IOJTZLS,X,X,O,O,O,X,X,X,X
IOJTZSL,X,X,O,O,X,X,X,X,X
IOJLTSZ,X,O,X,X,X,X,X,X,X
IOJLTZS,X,X,X,X,O,X,X,X,X
IOJLSTZ,X,O,X,X,X,X,X,X,X
IOJLSZT,X,O,X,O,O,X,X,X,X
IOJLZTS,X,X,O,O,O,X,X,X,X
IOJLZST,X,O,O,O,O,X,X,X,X
IOJSTLZ,X,O,X,X,X,O,X,X,X
IOJSTZL,X,X,X,O,X,O,X,O,X
IOJSLTZ,X,O,X,X,X,O,X,X,X
IOJSLZT,O,O,X,O,O,X,X,X,X
IOJSZTL,O,X,X,O,X,X,X,O,X
IOJSZLT,O,O,X,O,O,X,X,O,X
IOJZTLS,X,X,O,O,O,X,X,X,X
IOJZTSL,O,X,O,O,X,X,X,O,X
IOJZLTS,X,X,O,O,O,X,X,X,X
IOJZLST,X,O,O,O,O,X,X,O,X
IOJZSTL,O,X,O,O,X,X,X,O,X
IOJZSLT,O,O,O,O,O,X,X,O,X
IOSTLJZ,X,O,X,X,X,O,X,X,X
IOSTLZJ,X,O,O,X,X,O,X,O,X
IOSTJLZ,X,O,X,X,X,O,X,X,X
IOSTJZL,X,X,X,O,X,O,X,O,X
IOSTZLJ,X,O,O,O,X,O,X,O,X
IOSTZJL,X,X,O,O,X,O,X,O,X
IOSLTJZ,X,O,X,X,X,O,X,X,X
IOSLTZJ,X,O,X,X,X,O,X,O,X
IOSLJTZ,X,O,X,X,X,O,X,X,X
IOSLJZT,O,O,X,O,O,X,X,X,X
IOSLZTJ,O,O,X,O,O,O,O,O,X
IOSLZJT,O,O,O,O,O,X,X,O,X
IOSJTLZ,X,O,X,X,X,O,X,X,X
IOSJTZL,X,X,X,O,X,O,X,O,X
IOSJLTZ,X,O,X,X,X,O,X,X,X
IOSJLZT,O,O,X,O,O,X,X,X,X
IOSJZTL,O,X,X,O,X,X,X,O,X
IOSJZLT,O,O,X,O,O,X,X,O,X
IOSZTLJ,O,O,O,O,O,O,O,O,X
IOSZTJL,O,X,O,O,X,O,O,O,X
IOSZLTJ,O,O,X,O,O,O,O,O,X
IOSZLJT,O,O,O,O,O,X,X,O,X
IOSZJTL,O,X,O,O,X,X,X,O,X
IOSZJLT,O,O,O,O,O,X,X,O,X
IOZTLJS,X,X,O,O,O,X,O,X,X
IOZTLSJ,X,X,O,O,O,X,O,X,X
IOZTJLS,X,X,O,O,O,X,O,X,X
IOZTJSL,O,X,O,O,X,X,O,O,X
IOZTSLJ,O,X,O,O,O,O,O,O,X
IOZTSJL,O,X,O,O,X,O,O,O,X
IOZLTJS,X,X,O,O,O,X,X,X,X
IOZLTSJ,X,X,O,O,O,X,X,X,X
IOZLJTS,X,X,O,O,O,X,X,X,X
IOZLJST,X,O,O,O,O,X,X,O,X
IOZLSTJ,X,O,X,O,O,X,X,O,X
IOZLSJT,X,O,O,O,O,X,X,O,X
IOZJTLS,X,X,O,O,O,X,X,X,X
IOZJTSL,O,X,O,O,X,X,X,O,X
IOZJLTS,X,X,O,O,O,X,X,X,X
IOZJLST,X,O,O,O,O,X,X,O,X
IOZJSTL,O,X,O,O,X,X,X,O,X
IOZJSLT,O,O,O,O,O,X,X,O,X
IOZSTLJ,O,O,O,O,O,O,O,O,X
IOZSTJL,O,X,O,O,X,O,O,O,X
IOZSLTJ,O,O,X,O,O,O,O,O,X
IOZSLJT,O,O,O,O,O,X,X,O,X
IOZSJTL,O,X,O,O,X,X,X,O,X
IOZSJLT,O,O,O,O,O,X,X,O,X
LTIJSZO,X,O,X,X,X,X,X,X,X
LTIJSOZ,X,O,X,X,X,X,X,X,X
LTIJZSO,X,X,O,X,X,X,X,X,O
LTIJZOS,X,X,O,X,O,X,X,X,O
LTIJOSZ,X,O,X,X,X,X,X,X,X
LTIJOZS,X,X,O,X,O,X,X,X,X
LTISJZO,X,O,X,X,X,O,X,X,X
LTISJOZ,X,O,X,X,X,O,X,X,X
LTISZJO,X,O,O,X,X,O,X,O,X
LTISZOJ,X,O,O,X,X,O,X,O,X
LTISOJZ,X,O,X,X,X,O,X,X,X
LTISOZJ,X,O,O,X,X,O,X,O,X
LTIZJSO,X,X,O,X,X,X,X,O,O
LTIZJOS,X,X,O,X,O,X,X,X,O
LTIZSJO,X,X,O,X,X,X,X,O,O
LTIZSOJ,X,X,O,X,X,X,X,O,X
LTIZOJS,X,X,O,X,O,X,X,X,O
LTIZOSJ,X,X,O,X,O,X,X,X,X
LTIOJSZ,X,O,X,X,X,X,X,X,X
LTIOJZS,X,X,O,X,O,X,X,X,X
LTIOSJZ,X,O,X,X,X,O,X,X,X
LTIOSZJ,X,O,O,X,X,O,X,X,X
LTIOZJS,X,X,O,X,O,X,X,X,X
LTIOZSJ,X,X,O,X,O,X,X,X,X
LTJISZO,X,O,X,X,X,X,X,X,X
LTJISOZ,X,O,X,X,X,X,X,X,X
LTJIZSO,X,X,O,X,X,X,X,X,O
LTJIZOS,X,X,O,X,O,X,X,X,O
LTJIOSZ,X,O,X,X,X,X,X,X,X
LTJIOZS,X,X,O,X,O,X,X,X,X
LTJSIZO,X,O,X,X,X,X,X,X,X
LTJSIOZ,X,O,X,X,X,X,X,X,X
LTJSZIO,X,O,X,X,X,X,X,X,X
LTJSZOI,X,O,X,X,X,X,X,X,X
LTJSOIZ,X,O,X,X,X,X,X,X,X
LTJSOZI,X,O,X,X,X,X,X,X,X
LTJZISO,X,X,O,X,X,X,X,X,O
LTJZIOS,X,X,O,X,O,X,X,X,O
LTJZSIO,X,X,O,X,X,X,X,X,O
LTJZSOI,X,X,O,X,X,X,X,X,O
LTJZOIS,X,X,O,X,O,X,X,X,O
LTJZOSI,X,X,O,X,O,X,X,X,O
LTJOISZ,X,O,X,X,X,X,X,X,X
