sequence,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFmiB5oB?XlBlmBcsBTrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhF8mBziB?5oBilBXsBFrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFclBihB?ziB5oBFsB3rB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeGAJvhF/mBFiB?8nB5oBzkBywB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFXiB8nB?5oBilBzrBFrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFziB5oB?XlBFsBOrB8rB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFThBOnB?8nB5oBXlB1wB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFclBThB?5oBlnB3rBisB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeWFJvhFxiBlmB?csB6tBXlBTrB
TLZJIOS,X,X,O,X,O,X,X,X,O
TLZJSIO,X,X,O,X,X,X,X,O,O
TLZJSOI,X,X,O,X,X,X,X,O,O
TLZJOIS,X,X,O,X,O,X,X,X,O
TLZJOSI,X,X,O,X,O,X,X,X,O
TLZSIJO,X,X,O,X,X,X,X,O,O
TLZSIOJ,X,X,O,X,X,X,X,O,X
TLZSJIO,X,X,O,X,X,X,X,O,O
TLZSJOI,X,X,O,X,X,X,X,O,O
TLZSOIJ,X,X,O,X,X,X,X,O,X
TLZSOJI,X,X,O,X,X,X,X,O,X
TLZOIJS,X,X,O,X,O,X,X,X,O
TLZOISJ,X,X,O,X,O,X,X,X,X
TLZOJIS,X,X,O,X,O,X,X,X,O
TLZOJSI,X,X,O,X,O,X,X,X,O
TLZOSIJ,X,X,O,X,O,X,X,X,X
TLZOSJI,X,X,O,X,O,X,X,X,X
TLOIJSZ,X,O,X,X,X,X,X,X,X
TLOIJZS,X,X,O,X,O,X,X,X,X
TLOISJZ,X,O,X,X,X,O,X,X,X
TLOISZJ,X,O,O,X,X,O,X,X,X
TLOIZJS,X,X,O,X,O,X,X,X,X
TLOIZSJ,X,X,O,X,O,X,X,X,X
TLOJISZ,X,O,X,X,X,X,X,X,X
TLOJIZS,X,X,O,X,O,X,X,X,X
TLOJSIZ,X,O,X,X,X,X,X,X,X
TLOJSZI,X,O,X,X,X,X,X,X,X
TLOJZIS,X,X,O,X,O,X,X,X,X
TLOJZSI,X,X,O,X,O,X,X,X,X
TLOSIJZ,X,O,X,X,X,O,X,X,X
TLOSIZJ,X,O,O,X,X,O,X,X,X
TLOSJIZ,X,O,X,X,X,O,X,X,X
TLOSJZI,X,O,X,X,X,X,X,X,X
TLOSZIJ,X,O,O,X,X,O,X,X,X
TLOSZJI,X,O,O,X,X,X,X,X,X
TLOZIJS,X,X,O,X,O,X,X,X,X
TLOZISJ,X,X,O,X,O,X,X,X,X
TLOZJIS,X,X,O,X,O,X,X,X,X
TLOZJSI,X,X,O,X,O,X,X,X,X
TLOZSIJ,X,X,O,X,O,X,X,X,X
TLOZSJI,X,X,O,X,O,X,X,X,X
TJILSZO,X,O,X,X,X,X,X,X,X
TJILSOZ,X,O,X,X,X,X,X,X,X
TJILZSO,X,X,O,X,X,X,X,X,X
TJILZOS,X,X,O,X,O,X,X,X,X
TJILOSZ,X,O,X,X,X,X,X,X,X
TJILOZS,X,X,O,X,O,X,X,X,X
TJISLZO,O,O,X,X,X,O,X,X,X
TJISLOZ,X,O,X,X,X,O,X,X,X
TJISZLO,O,X,X,O,X,O,X,O,X
TJISZOL,O,X,X,O,X,O,X,O,X
TJISOLZ,X,O,X,X,X,O,X,X,X
TJISOZL,X,X,X,X,X,O,X,O,X
TJIZLSO,O,X,O,O,X,X,X,O,X
TJIZLOS,X,X,O,X,O,X,X,X,X
TJIZSLO,O,X,O,O,X,X,X,O,X
TJIZSOL,O,X,O,O,X,X,X,O,X
TJIZOLS,X,X,O,X,O,X,X,X,X
TJIZOSL,O,X,O,X,X,X,X,O,X
TJIOLSZ,X,O,X,X,X,X,X,X,X
TJIOLZS,X,X,O,X,O,X,X,X,X
TJIOSLZ,X,O,X,X,X,O,X,X,X
TJIOSZL,X,X,X,X,X,O,X,X,X
TJIOZLS,X,X,O,X,O,X,X,X,X
TJIOZSL,X,X,O,X,X,X,X,X,X
TJLISZO,X,O,X,X,X,X,X,X,X
TJLISOZ,X,O,X,X,X,X,X,X,X
