sequence,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFOlB/mBUiB5?oBtqBywB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFNlBamBUiB5?oBfsBWwB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFKlBWmBNnB5?oB0rBXrB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhF0gB6mBNnB5?oB/qB2wB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFKlBWmBNnB5?oBXrB0rB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFSmBNnB5oB/?qB0rBmqB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFOlBNnB5oBC?mB0rBXrB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFNlBGhB5oB8?qBXnBywB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFNlBUhB5oBO?sBCrB3rB
TISJZLO,O,O,X,O,O,O,O,O,X
TISJZOL,O,O,X,O,X,O,O,O,O
TISJOLZ,O,O,X,O,O,X,X,X,O
TISJOZL,O,O,X,O,X,O,O,O,O
TISZLJO,O,O,O,O,O,O,O,O,X
TISZLOJ,O,O,O,O,O,O,O,O,X
TISZJLO,O,O,O,O,O,O,O,O,X
TISZJOL,O,O,X,O,X,O,O,O,X
TISZOLJ,O,O,O,O,O,O,O,O,X
TISZOJL,O,O,X,O,X,O,O,O,X
TISOLJZ,O,O,O,O,O,X,X,X,X
TISOLZJ,O,O,O,O,O,O,X,O,X
TISOJLZ,O,O,X,O,O,X,X,X,O
TISOJZL,O,O,X,O,X,O,O,O,O
TISOZLJ,O,O,O,O,O,O,O,O,X
TISOZJL,O,O,X,O,X,O,O,O,X
TIZLJSO,O,O,O,X,X,X,O,X,X
TIZLJOS,O,O,O,X,O,X,O,X,X
TIZLSJO,O,O,O,X,O,O,O,O,X
TIZLSOJ,O,O,O,X,O,O,O,O,X
TIZLOJS,O,O,O,X,O,X,O,X,X
TIZLOSJ,O,O,O,X,O,O,O,O,X
TIZJLSO,O,O,O,O,X,X,O,X,O
TIZJLOS,O,O,O,O,X,X,O,X,O
TIZJSLO,O,O,O,O,X,O,O,O,X
TIZJSOL,O,O,X,O,X,O,O,O,O
TIZJOLS,O,O,O,O,X,X,O,X,O
TIZJOSL,O,O,X,O,X,O,O,O,O
TIZSLJO,O,O,O,O,O,O,O,O,X
TIZSLOJ,O,O,O,O,O,O,O,O,X
TIZSJLO,O,O,O,O,O,O,O,O,X
TIZSJOL,O,O,X,O,X,O,O,O,X
TIZSOLJ,O,O,O,O,O,O,O,O,X
TIZSOJL,O,O,X,O,X,O,O,O,X
TIZOLJS,O,O,O,X,O,X,O,X,X
TIZOLSJ,O,O,O,X,O,O,O,O,X
TIZOJLS,O,O,O,O,X,X,O,X,O
TIZOJSL,O,O,X,O,X,O,O,O,O
TIZOSLJ,O,O,O,O,O,O,O,O,X
TIZOSJL,O,O,X,O,X,O,O,O,X
TIOLJSZ,O,O,O,O,O,X,X,X,O
TIOLJZS,O,O,O,O,O,X,O,X,O
TIOLSJZ,O,O,O,O,O,X,X,X,X
TIOLSZJ,O,O,O,O,O,O,X,O,X
TIOLZJS,O,O,O,X,O,X,O,X,X
TIOLZSJ,O,O,O,X,O,O,O,O,X
TIOJLSZ,O,O,O,O,O,X,X,X,O
TIOJLZS,O,O,O,O,O,X,O,X,O
TIOJSLZ,O,O,X,O,O,X,X,X,O
TIOJSZL,O,O,X,O,X,O,O,O,O
TIOJZLS,O,O,O,O,X,X,O,X,O
TIOJZSL,O,O,X,O,X,O,O,O,O
TIOSLJZ,O,O,O,O,O,X,X,X,X
TIOSLZJ,O,O,O,O,O,O,X,O,X
TIOSJLZ,O,O,X,O,O,X,X,X,O
TIOSJZL,O,O,X,O,X,O,O,O,O
TIOSZLJ,O,O,O,O,O,O,O,O,X
TIOSZJL,O,O,X,O,X,O,O,O,X
TIOZLJS,O,O,O,X,O,X,O,X,X
TIOZLSJ,O,O,O,X,O,O,O,O,X
TIOZJLS,O,O,O,O,X,X,O,X,O
TIOZJSL,O,O,X,O,X,O,O,O,O
TIOZSLJ,O,O,O,O,O,O,O,O,X
TIOZSJL,O,O,X,O,X,O,O,O,X
TLIJSZO,O,O,X,O,O,X,X,X,O
TLIJSOZ,O,O,O,O,O,X,X,X,O
TLIJZSO,O,O,O,O,X,X,O,X,O
TLIJZOS,O,O,O,O,O,X,O,X,O
TLIJOSZ,O,O,O,O,O,X,X,X,O
TLIJOZS,O,O,O,O,O,X,O,X,O
TLISJZO,O,O,X,O,O,X,X,X,X
TLISJOZ,O,O,O,O,O,X,X,X,X
TLISZJO,O,O,O,O,O,O,X,O,X
TLISZOJ,O,O,O,O,O,O,X,O,X
TLISOJZ,O,O,O,O,O,X,X,X,X
TLISOZJ,O,O,O,O,O,O,X,O,X
TLIZJSO,O,O,O,X,X,X,O,X,X
TLIZJOS,O,O,O,X,O,X,O,X,X
TLIZSJO,O,O,O,X,O,O,O,O,X
TLIZSOJ,O,O,O,X,O,O,O,O,X
TLIZOJS,O,O,O,X,O,X,O,X,X
TLIZOSJ,O,O,O,X,O,O,O,O,X
TLIOJSZ,O,O,O,O,O,X,X,X,O
TLIOJZS,O,O,O,O,O,X,O,X,O
TLIOSJZ,O,O,O,O,O,X,X,X,X
TLIOSZJ,O,O,O,O,O,O,X,O,X
TLIOZJS,O,O,O,X,O,X,O,X,X
TLIOZSJ,O,O,O,X,O,O,O,O,X
TLJISZO,O,O,X,O,O,X,X,X,O
TLJISOZ,O,O,O,O,O,X,X,X,O
TLJIZSO,O,O,O,O,X,X,O,X,O
TLJIZOS,O,O,O,O,O,X,O,X,O
TLJIOSZ,O,O,O,O,O,X,X,X,O
TLJIOZS,O,O,O,O,O,X,O,X,O
TLJSIZO,O,O,X,O,O,X,X,X,O
TLJSIOZ,O,O,O,O,O,X,X,X,O
TLJSZIO,O,O,X,O,O,X,X,X,O
TLJSZOI,O,O,X,O,O,X,X,X,O
TLJSOIZ,O,O,O,O,O,X,X,X,O
TLJSOZI,O,O,X,O,O,X,X,X,O
TLJZISO,O,O,O,O,X,X,O,X,O
TLJZIOS,O,O,O,O,O,X,O,X,O
TLJZSIO,O,O,O,O,X,X,O,X,O
TLJZSOI,O,O,O,O,X,X,O,X,O
TLJZOIS,O,O,O,O,O,X,O,X,O
TLJZOSI,O,O,O,O,X,X,O,X,O
TLJOISZ,O,O,O,O,O,X,X,X,O
TLJOIZS,O,O,O,O,O,X,O,X,O
TLJOSIZ,O,O,O,O,O,X,X,X,O
TLJOSZI,O,O,X,O,O,X,X,X,O
TLJOZIS,O,O,O,O,O,X,O,X,O
TLJOZSI,O,O,O,O,X,X,O,X,O
TLSIJZO,O,O,X,O,O,X,X,X,X
TLSIJOZ,O,O,O,O,O,X,X,X,X
TLSIZJO,O,O,O,O,O,O,X,O,X
TLSIZOJ,O,O,O,O,O,O,X,O,X
TLSIOJZ,O,O,O,O,O,X,X,X,X
TLSIOZJ,O,O,O,O,O,O,X,O,X
TLSJIZO,O,O,X,O,O,X,X,X,X
TLSJIOZ,O,O,O,O,O,X,X,X,X
TLSJZIO,O,O,X,O,O,X,X,X,X
TLSJZOI,O,O,X,O,O,X,X,X,X
TLSJOIZ,O,O,O,O,O,X,X,X,X
TLSJOZI,O,O,X,O,O,X,X,X,X
TLSZIJO,O,O,O,O,O,O,X,O,X
TLSZIOJ,O,O,O,O,O,O,X,O,X
TLSZJIO,O,O,O,O,O,O,X,O,X
TLSZJOI,O,O,O,O,O,O,X,O,X
TLSZOIJ,O,O,O,O,O,O,X,O,X
TLSZOJI,O,O,O,O,O,O,X,O,X
TLSOIJZ,O,O,O,O,O,X,X,X,X
TLSOIZJ,O,O,O,O,O,O,X,O,X
TLSOJIZ,O,O,O,O,O,X,X,X,X
TLSOJZI,O,O,X,O,O,X,X,X,X
TLSOZIJ,O,O,O,O,O,O,X,O,X
TLSOZJI,O,O,O,O,O,O,X,O,X
TLZIJSO,O,O,O,X,X,X,O,X,X
TLZIJOS,O,O,O,X,O,X,O,X,X
TLZISJO,O,O,O,X,O,O,O,O,X
TLZISOJ,O,O,O,X,O,O,O,O,X
TLZIOJS,O,O,O,X,O,X,O,X,X
TLZIOSJ,O,O,O,X,O,O,O,O,X
TLZJISO,O,O,O,X,X,X,O,X,X
TLZJIOS,O,O,O,X,O,X,O,X,X
TLZJSIO,O,O,O,X,X,X,O,X,X
TLZJSOI,O,O,O,X,X,X,O,X,X
TLZJOIS,O,O,O,X,O,X,O,X,X
TLZJOSI,O,O,O,X,X,X,O,X,X
TLZSIJO,O,O,O,X,O,O,O,O,X
TLZSIOJ,O,O,O,X,O,O,O,O,X
TLZSJIO,O,O,O,X,O,O,O,O,X
TLZSJOI,O,O,O,X,O,O,O,O,X
TLZSOIJ,O,O,O,X,O,O,O,O,X
TLZSOJI,O,O,O,X,O,O,O,O,X
TLZOIJS,O,O,O,X,O,X,O,X,X
TLZOISJ,O,O,O,X,O,O,O,O,X
TLZOJIS,O,O,O,X,O,X,O,X,X
TLZOJSI,O,O,O,X,X,X,O,X,X
TLZOSIJ,O,O,O,X,O,O,O,O,X
TLZOSJI,O,O,O,X,O,O,O,O,X
TLOIJSZ,O,O,O,O,O,X,X,X,O
TLOIJZS,O,O,O,O,O,X,O,X,O
TLOISJZ,O,O,O,O,O,X,X,X,X
TLOISZJ,O,O,O,O,O,O,X,O,X
TLOIZJS,O,O,O,X,O,X,O,X,X
TLOIZSJ,O,O,O,X,O,O,O,O,X
TLOJISZ,O,O,O,O,O,X,X,X,O
TLOJIZS,O,O,O,O,O,X,O,X,O
TLOJSIZ,O,O,O,O,O,X,X,X,O
TLOJSZI,O,O,X,O,O,X,X,X,O
TLOJZIS,O,O,O,O,O,X,O,X,O
TLOJZSI,O,O,O,O,X,X,O,X,O
TLOSIJZ,O,O,O,O,O,X,X,X,X
TLOSIZJ,O,O,O,O,O,O,X,O,X
TLOSJIZ,O,O,O,O,O,X,X,X,X
TLOSJZI,O,O,X,O,O,X,X,X,X
TLOSZIJ,O,O,O,O,O,O,X,O,X
TLOSZJI,O,O,O,O,O,O,X,O,X
TLOZIJS,O,O,O,X,O,X,O,X,X
TLOZISJ,O,O,O,X,O,O,O,O,X
TLOZJIS,O,O,O,X,O,X,O,X,X
TLOZJSI,O,O,O,X,X,X,O,X,X
TLOZSIJ,O,O,O,X,O,O,O,O,X
TLOZSJI,O,O,O,X,O,O,O,O,X
TJILSZO,O,O,X,O,O,X,X,X,O
TJILSOZ,O,O,O,O,O,X,X,X,O
TJILZSO,O,O,O,O,X,X,O,X,O
TJILZOS,O,O,O,O,O,X,O,X,O
TJILOSZ,O,O,O,O,O,X,X,X,O
TJILOZS,O,O,O,O,O,X,O,X,O
TJISLZO,O,O,X,O,O,X,X,X,O
TJISLOZ,O,O,X,O,O,X,X,X,O
TJISZLO,O,O,X,O,O,O,O,O,X
TJISZOL,O,O,X,O,X,O,O,O,O
TJISOLZ,O,O,X,O,O,X,X,X,O
TJISOZL,O,O,X,O,X,O,O,O,O
TJIZLSO,O,O,O,O,X,X,O,X,O
TJIZLOS,O,O,O,O,X,X,O,X,O
TJIZSLO,O,O,O,O,X,O,O,O,X
TJIZSOL,O,O,X,O,X,O,O,O,O
TJIZOLS,O,O,O,O,X,X,O,X,O
TJIZOSL,O,O,X,O,X,O,O,O,O
TJIOLSZ,O,O,O,O,O,X,X,X,O
TJIOLZS,O,O,O,O,O,X,O,X,O
TJIOSLZ,O,O,X,O,O,X,X,X,O
TJIOSZL,O,O,X,O,X,O,O,O,O
TJIOZLS,O,O,O,O,X,X,O,X,O
TJIOZSL,O,O,X,O,X,O,O,O,O
TJLISZO,O,O,X,O,O,X,X,X,O
TJLISOZ,O,O,O,O,O,X,X,X,O
TJLIZSO,O,O,O,O,X,X,O,X,O
TJLIZOS,O,O,O,O,O,X,O,X,O
TJLIOSZ,O,O,O,O,O,X,X,X,O
TJLIOZS,O,O,O,O,O,X,O,X,O
TJLSIZO,O,O,X,O,O,X,X,X,O
TJLSIOZ,O,O,O,O,O,X,X,X,O
TJLSZIO,O,O,X,O,O,X,X,X,O
TJLSZOI,O,O,X,O,O,X,X,X,O
TJLSOIZ,O,O,O,O,O,X,X,X,O
TJLSOZI,O,O,X,O,O,X,X,X,O
TJLZISO,O,O,O,O,X,X,O,X,O
TJLZIOS,O,O,O,O,O,X,O,X,O
TJLZSIO,O,O,O,O,X,X,O,X,O
TJLZSOI,O,O,O,O,X,X,O,X,O
TJLZOIS,O,O,O,O,O,X,O,X,O
TJLZOSI,O,O,O,O,X,X,O,X,O
TJLOISZ,O,O,O,O,O,X,X,X,O
TJLOIZS,O,O,O,O,O,X,O,X,O
TJLOSIZ,O,O,O,O,O,X,X,X,O
TJLOSZI,O,O,X,O,O,X,X,X,O
TJLOZIS,O,O,O,O,O,X,O,X,O
TJLOZSI,O,O,O,O,X,X,O,X,O
TJSILZO,O,O,X,O,O,X,X,X,O
TJSILOZ,O,O,X,O,O,X,X,X,O
TJSIZLO,O,O,X,O,O,O,O,O,X
TJSIZOL,O,O,X,O,X,O,O,O,O
TJSIOLZ,O,O,X,O,O,X,X,X,O
TJSIOZL,O,O,X,O,X,O,O,O,O
TJSLIZO,O,O,X,O,O,X,X,X,O
TJSLIOZ,O,O,X,O,O,X,X,X,O
TJSLZIO,O,O,X,O,O,X,X,X,O
TJSLZOI,O,O,X,O,O,X,X,X,O
TJSLOIZ,O,O,X,O,O,X,X,X,O
TJSLOZI,O,O,X,O,O,X,X,X,O
TJSZILO,O,O,X,O,O,O,O,O,X
TJSZIOL,O,O,X,O,X,O,O,O,O
TJSZLIO,O,O,X,O,O,O,O,O,X
TJSZLOI,O,O,X,O,O,O,O,O,X
TJSZOIL,O,O,X,O,X,O,O,O,O
TJSZOLI,O,O,X,O,X,O,O,O,X
TJSOILZ,O,O,X,O,O,X,X,X,O
TJSOIZL,O,O,X,O,X,O,O,O,O
TJSOLIZ,O,O,X,O,O,X,X,X,O
TJSOLZI,O,O,X,O,O,X,X,X,O
TJSOZIL,O,O,X,O,X,O,O,O,O
TJSOZLI,O,O,X,O,X,O,O,O,X
TJZILSO,O,O,O,O,X,X,O,X,O
TJZILOS,O,O,O,O,X,X,O,X,O
TJZISLO,O,O,O,O,X,O,O,O,X
TJZISOL,O,O,X,O,X,O,O,O,O
TJZIOLS,O,O,O,O,X,X,O,X,O
TJZIOSL,O,O,X,O,X,O,O,O,O
TJZLISO,O,O,O,O,X,X,O,X,O
TJZLIOS,O,O,O,O,X,X,O,X,O
TJZLSIO,O,O,O,O,X,X,O,X,O
TJZLSOI,O,O,O,O,X,X,O,X,O
TJZLOIS,O,O,O,O,X,X,O,X,O
TJZLOSI,O,O,O,O,X,X,O,X,O
TJZSILO,O,O,O,O,X,O,O,O,X
TJZSIOL,O,O,X,O,X,O,O,O,O
TJZSLIO,O,O,O,O,X,O,O,O,X
TJZSLOI,O,O,O,O,X,O,O,O,X
TJZSOIL,O,O,X,O,X,O,O,O,O
TJZSOLI,O,O,X,O,X,O,O,O,X
TJZOILS,O,O,O,O,X,X,O,X,O
TJZOISL,O,O,X,O,X,O,O,O,O
TJZOLIS,O,O,O,O,X,X,O,X,O
TJZOLSI,O,O,O,O,X,X,O,X,O
TJZOSIL,O,O,X,O,X,O,O,O,O
TJZOSLI,O,O,X,O,X,O,O,O,X
TJOILSZ,O,O,O,O,O,X,X,X,O
TJOILZS,O,O,O,O,O,X,O,X,O
TJOISLZ,O,O,X,O,O,X,X,X,O
TJOISZL,O,O,X,O,X,O,O,O,O
TJOIZLS,O,O,O,O,X,X,O,X,O
TJOIZSL,O,O,X,O,X,O,O,O,O
TJOLISZ,O,O,O,O,O,X,X,X,O
TJOLIZS,O,O,O,O,O,X,O,X,O
TJOLSIZ,O,O,O,O,O,X,X,X,O
TJOLSZI,O,O,X,O,O,X,X,X,O
TJOLZIS,O,O,O,O,O,X,O,X,O
TJOLZSI,O,O,O,O,X,X,O,X,O
TJOSILZ,O,O,X,O,O,X,X,X,O
TJOSIZL,O,O,X,O,X,O,O,O,O
TJOSLIZ,O,O,X,O,O,X,X,X,O
TJOSLZI,O,O,X,O,O,X,X,X,O
TJOSZIL,O,O,X,O,X,O,O,O,O
TJOSZLI,O,O,X,O,X,O,O,O,X
TJOZILS,O,O,O,O,X,X,O,X,O
TJOZISL,O,O,X,O,X,O,O,O,O
TJOZLIS,O,O,O,O,X,X,O,X,O
TJOZLSI,O,O,O,O,X,X,O,X,O
TJOZSIL,O,O,X,O,X,O,O,O,O
TJOZSLI,O,O,X,O,X,O,O,O,X
TSILJZO,O,O,X,O,O,X,X,X,X
TSILJOZ,O,O,O,O,O,X,X,X,X
TSILZJO,O,O,O,O,O,O,X,O,X
TSILZOJ,O,O,O,O,O,O,X,O,X
TSILOJZ,O,O,O,O,O,X,X,X,X
TSILOZJ,O,O,O,O,O,O,X,O,X
TSIJLZO,O,O,X,O,O,X,X,X,O
TSIJLOZ,O,O,X,O,O,X,X,X,O
TSIJZLO,O,O,X,O,O,O,O,O,X
TSIJZOL,O,O,X,O,X,O,O,O,O
TSIJOLZ,O,O,X,O,O,X,X,X,O
TSIJOZL,O,O,X,O,X,O,O,O,O
TSIZLJO,O,O,O,O,O,O,O,O,X
TSIZLOJ,O,O,O,O,O,O,O,O,X
TSIZJLO,O,O,O,O,O,O,O,O,X
TSIZJOL,O,O,X,O,X,O,O,O,X
TSIZOLJ,O,O,O,O,O,O,O,O,X
TSIZOJL,O,O,X,O,X,O,O,O,X
TSIOLJZ,O,O,O,O,O,X,X,X,X
TSIOLZJ,O,O,O,O,O,O,X,O,X
TSIOJLZ,O,O,X,O,O,X,X,X,O
TSIOJZL,O,O,X,O,X,O,O,O,O
TSIOZLJ,O,O,O,O,O,O,O,O,X
TSIOZJL,O,O,X,O,X,O,O,O,X
TSLIJZO,O,O,X,O,O,X,X,X,X
TSLIJOZ,O,O,O,O,O,X,X,X,X
TSLIZJO,O,O,O,O,O,O,X,O,X
TSLIZOJ,O,O,O,O,O,O,X,O,X
TSLIOJZ,O,O,O,O,O,X,X,X,X
TSLIOZJ,O,O,O,O,O,O,X,O,X
TSLJIZO,O,O,X,O,O,X,X,X,X
TSLJIOZ,O,O,O,O,O,X,X,X,X
TSLJZIO,O,O,X,O,O,X,X,X,X
TSLJZOI,O,O,X,O,O,X,X,X,X
TSLJOIZ,O,O,O,O,O,X,X,X,X
TSLJOZI,O,O,X,O,O,X,X,X,X
TSLZIJO,O,O,O,O,O,O,X,O,X
TSLZIOJ,O,O,O,O,O,O,X,O,X
TSLZJIO,O,O,O,O,O,O,X,O,X
TSLZJOI,O,O,O,O,O,O,X,O,X
TSLZOIJ,O,O,O,O,O,O,X,O,X
TSLZOJI,O,O,O,O,O,O,X,O,X
TSLOIJZ,O,O,O,O,O,X,X,X,X
TSLOIZJ,O,O,O,O,O,O,X,O,X
TSLOJIZ,O,O,O,O,O,X,X,X,X
TSLOJZI,O,O,X,O,O,X,X,X,X
TSLOZIJ,O,O,O,O,O,O,X,O,X
TSLOZJI,O,O,O,O,O,O,X,O,X
TSJILZO,O,O,X,O,O,X,X,X,O
TSJILOZ,O,O,X,O,O,X,X,X,O
TSJIZLO,O,O,X,O,O,O,O,O,X
TSJIZOL,O,O,X,O,X,O,O,O,O
TSJIOLZ,O,O,X,O,O,X,X,X,O
TSJIOZL,O,O,X,O,X,O,O,O,O
TSJLIZO,O,O,X,O,O,X,X,X,O
TSJLIOZ,O,O,X,O,O,X,X,X,O
TSJLZIO,O,O,X,O,O,X,X,X,O
TSJLZOI,O,O,X,O,O,X,X,X,O
TSJLOIZ,O,O,X,O,O,X,X,X,O
TSJLOZI,O,O,X,O,O,X,X,X,O
TSJZILO,O,O,X,O,O,O,O,O,X
TSJZIOL,O,O,X,O,X,O,O,O,O
TSJZLIO,O,O,X,O,O,O,O,O,X
TSJZLOI,O,O,X,O,O,O,O,O,X
TSJZOIL,O,O,X,O,X,O,O,O,O
TSJZOLI,O,O,X,O,X,O,O,O,X
TSJOILZ,O,O,X,O,O,X,X,X,O
TSJOIZL,O,O,X,O,X,O,O,O,O
TSJOLIZ,O,O,X,O,O,X,X,X,O
TSJOLZI,O,O,X,O,O,X,X,X,O
TSJOZIL,O,O,X,O,X,O,O,O,O
TSJOZLI,O,O,X,O,X,O,O,O,X
TSZILJO,O,O,O,O,O,O,O,O,X
TSZILOJ,O,O,O,O,O,O,O,O,X
TSZIJLO,O,O,O,O,O,O,O,O,X
TSZIJOL,O,O,X,O,X,O,O,O,X
TSZIOLJ,O,O,O,O,O,O,O,O,X
TSZIOJL,O,O,X,O,X,O,O,O,X
TSZLIJO,O,O,O,O,O,O,O,O,X
TSZLIOJ,O,O,O,O,O,O,O,O,X
TSZLJIO,O,O,O,O,O,O,O,O,X
TSZLJOI,O,O,O,O,O,O,O,O,X
TSZLOIJ,O,O,O,O,O,O,O,O,X
TSZLOJI,O,O,O,O,O,O,O,O,X
TSZJILO,O,O,O,O,O,O,O,O,X
TSZJIOL,O,O,X,O,X,O,O,O,X
TSZJLIO,O,O,O,O,O,O,O,O,X
TSZJLOI,O,O,O,O,O,O,O,O,X
TSZJOIL,O,O,X,O,X,O,O,O,X
TSZJOLI,O,O,X,O,X,O,O,O,X
TSZOILJ,O,O,O,O,O,O,O,O,X
TSZOIJL,O,O,X,O,X,O,O,O,X
TSZOLIJ,O,O,O,O,O,O,O,O,X
TSZOLJI,O,O,O,O,O,O,O,O,X
TSZOJIL,O,O,X,O,X,O,O,O,X
TSZOJLI,O,O,X,O,X,O,O,O,X
TSOILJZ,O,O,O,O,O,X,X,X,X
TSOILZJ,O,O,O,O,O,O,X,O,X
TSOIJLZ,O,O,X,O,O,X,X,X,O
TSOIJZL,O,O,X,O,X,O,O,O,O
TSOIZLJ,O,O,O,O,O,O,O,O,X
TSOIZJL,O,O,X,O,X,O,O,O,X
TSOLIJZ,O,O,O,O,O,X,X,X,X
TSOLIZJ,O,O,O,O,O,O,X,O,X
TSOLJIZ,O,O,O,O,O,X,X,X,X
TSOLJZI,O,O,X,O,O,X,X,X,X
TSOLZIJ,O,O,O,O,O,O,X,O,X
TSOLZJI,O,O,O,O,O,O,X,O,X
TSOJILZ,O,O,X,O,O,X,X,X,O
TSOJIZL,O,O,X,O,X,O,O,O,O
TSOJLIZ,O,O,X,O,O,X,X,X,O
TSOJLZI,O,O,X,O,O,X,X,X,O
TSOJZIL,O,O,X,O,X,O,O,O,O
TSOJZLI,O,O,X,O,X,O,O,O,X
TSOZILJ,O,O,O,O,O,O,O,O,X
TSOZIJL,O,O,X,O,X,O,O,O,X
TSOZLIJ,O,O,O,O,O,O,O,O,X
TSOZLJI,O,O,O,O,O,O,O,O,X
TSOZJIL,O,O,X,O,X,O,O,O,X
TSOZJLI,O,O,X,O,X,O,O,O,X
TZILJSO,O,O,O,X,X,X,O,X,X
TZILJOS,O,O,O,X,O,X,O,X,X
TZILSJO,O,O,O,X,O,O,O,O,X
TZILSOJ,O,O,O,X,O,O,O,O,X
TZILOJS,O,O,O,X,O,X,O,X,X
TZILOSJ,O,O,O,X,O,O,O,O,X
TZIJLSO,O,O,O,O,X,X,O,X,O
TZIJLOS,O,O,O,O,X,X,O,X,O
TZIJSLO,O,O,O,O,X,O,O,O,X
TZIJSOL,O,O,X,O,X,O,O,O,O
TZIJOLS,O,O,O,O,X,X,O,X,O
TZIJOSL,O,O,X,O,X,O,O,O,O
TZISLJO,O,O,O,O,O,O,O,O,X
TZISLOJ,O,O,O,O,O,O,O,O,X
TZISJLO,O,O,O,O,O,O,O,O,X
TZISJOL,O,O,X,O,X,O,O,O,X
TZISOLJ,O,O,O,O,O,O,O,O,X
TZISOJL,O,O,X,O,X,O,O,O,X
