sequence,v115@NhA8BeC8DeE8FeC8JeT/IvhFOlBxhBXjBSvB0rBFrB,v115@NhA8BeC8DeE8FeC8JeT/IvhFxhBXjBeqBFrB6qB0rB,v115@NhA8BeC8DeE8FeC8JeT/IvhFCiBXjBeqBUmBllBRwB,v115@NhA8BeC8DeE8FeC8JeT/IvhFCiBXjBllBeqBUmBRwB,v115@NhA8BeC8DeE8FeC8Je2EJvhFUhBXjB1qBCnBzpBRwB
ITJLOSZ,X,O,O,O,X
ITJLOZS,X,O,O,X,X
ITJSLZO,X,O,O,X,O
ITJSLOZ,X,O,O,O,X
ITJSZLO,X,O,O,X,O
ITJSZOL,X,O,O,X,O
ITJSOLZ,X,O,O,O,X
ITJSOZL,X,O,O,X,O
ITJZLSO,X,O,O,X,O
ITJZLOS,X,O,O,X,X
ITJZSLO,X,O,O,X,O
ITJZSOL,X,O,O,X,O
ITJZOLS,X,O,O,X,X
ITJZOSL,X,O,O,X,O
ITJOLSZ,X,O,O,O,X
ITJOLZS,X,O,O,X,X
ITJOSLZ,X,O,O,O,X
ITJOSZL,X,O,O,X,O
ITJOZLS,X,O,O,X,X
ITJOZSL,X,O,O,X,O
ITSLJZO,X,O,O,X,O
ITSLJOZ,O,O,O,O,X
ITSLZJO,X,X,X,X,O
ITSLZOJ,X,X,X,O,X
ITSLOJZ,O,O,O,O,X
ITSLOZJ,X,X,X,O,X
ITSJLZO,X,O,O,X,O
ITSJLOZ,X,O,O,O,X
ITSJZLO,X,O,O,X,O
ITSJZOL,X,O,O,X,O
ITSJOLZ,X,O,O,O,X
ITSJOZL,X,O,O,X,O
ITSZLJO,O,X,X,X,O
ITSZLOJ,O,X,X,O,X
ITSZJLO,X,O,X,X,O
ITSZJOL,X,O,X,X,O
ITSZOLJ,O,X,X,O,X
ITSZOJL,X,O,X,X,O
ITSOLJZ,O,O,O,O,X
ITSOLZJ,X,X,X,O,X
ITSOJLZ,X,O,O,O,X
ITSOJZL,X,O,O,X,O
ITSOZLJ,O,X,X,O,X
ITSOZJL,X,O,X,X,O
ITZLJSO,O,X,X,X,O
ITZLJOS,O,X,X,X,X
ITZLSJO,O,X,X,X,O
ITZLSOJ,O,X,X,O,X
ITZLOJS,O,X,X,X,X
ITZLOSJ,O,X,X,O,X
ITZJLSO,X,O,X,X,O
ITZJLOS,X,O,X,X,X
ITZJSLO,X,O,X,X,O
ITZJSOL,X,O,X,X,O
ITZJOLS,X,O,X,X,X
ITZJOSL,X,O,X,X,O
ITZSLJO,O,X,X,X,O
ITZSLOJ,O,X,X,O,X
ITZSJLO,X,O,X,X,O
ITZSJOL,X,O,X,X,O
ITZSOLJ,O,X,X,O,X
ITZSOJL,X,O,X,X,O
ITZOLJS,O,X,X,X,X
ITZOLSJ,O,X,X,O,X
ITZOJLS,X,O,X,X,X
ITZOJSL,X,O,X,X,O
ITZOSLJ,O,X,X,O,X
ITZOSJL,X,O,X,X,O
ITOLJSZ,O,O,O,O,X
ITOLJZS,X,O,O,X,X
ITOLSJZ,O,O,O,O,X
ITOLSZJ,X,X,X,O,X
ITOLZJS,X,X,X,X,X
ITOLZSJ,X,X,X,O,X
ITOJLSZ,X,O,O,O,X
ITOJLZS,X,O,O,X,X
ITOJSLZ,X,O,O,O,X
ITOJSZL,X,O,O,X,O
ITOJZLS,X,O,O,X,X
ITOJZSL,X,O,O,X,O
ITOSLJZ,O,O,O,O,X
ITOSLZJ,X,X,X,O,X
ITOSJLZ,X,O,O,O,X
ITOSJZL,X,O,O,X,O
ITOSZLJ,O,X,X,O,X
ITOSZJL,X,O,X,X,O
ITOZLJS,O,X,X,X,X
ITOZLSJ,O,X,X,O,X
ITOZJLS,X,O,X,X,X
ITOZJSL,X,O,X,X,O
ITOZSLJ,O,X,X,O,X
ITOZSJL,X,O,X,X,O
ILTJSZO,X,O,O,X,O
ILTJSOZ,O,O,O,O,X
ILTJZSO,X,O,O,X,O
ILTJZOS,X,O,O,X,X
ILTJOSZ,O,O,O,O,X
ILTJOZS,X,O,O,X,X
ILTSJZO,X,O,O,X,O
ILTSJOZ,O,O,O,O,X
ILTSZJO,X,X,X,X,O
ILTSZOJ,X,X,X,O,X
ILTSOJZ,O,O,O,O,X
ILTSOZJ,X,X,X,O,X
ILTZJSO,X,X,X,X,O
ILTZJOS,X,X,X,X,X
ILTZSJO,X,X,X,X,O
ILTZSOJ,X,X,X,O,X
ILTZOJS,X,X,X,X,X
ILTZOSJ,X,X,X,O,X
ILTOJSZ,O,O,O,O,X
ILTOJZS,X,O,O,X,X
ILTOSJZ,O,O,O,O,X
ILTOSZJ,X,X,X,O,X
ILTOZJS,X,X,X,X,X
ILTOZSJ,X,X,X,O,X
ILJTSZO,X,X,O,X,O
ILJTSOZ,O,X,O,O,X
ILJTZSO,X,X,O,X,O
ILJTZOS,X,X,O,X,X
ILJTOSZ,O,X,O,O,X
ILJTOZS,X,X,O,X,X
ILJSTZO,X,X,O,X,O
ILJSTOZ,O,X,O,O,X
ILJSZTO,O,X,O,X,X
ILJSZOT,O,X,O,X,X
ILJSOTZ,O,X,O,O,X
ILJSOZT,O,X,O,X,X
ILJZTSO,O,X,O,X,X
ILJZTOS,O,X,O,X,X
ILJZSTO,O,X,O,X,X
ILJZSOT,O,X,O,X,X
ILJZOTS,O,X,O,X,X
ILJZOST,O,X,O,X,X
ILJOTSZ,O,X,O,O,X
ILJOTZS,X,X,O,X,X
ILJOSTZ,O,X,O,O,X
ILJOSZT,O,X,O,X,X
ILJOZTS,O,X,O,X,X
ILJOZST,O,X,O,X,X
ILSTJZO,X,O,O,X,O
ILSTJOZ,O,O,O,O,X
ILSTZJO,X,X,X,X,O
ILSTZOJ,X,X,X,O,X
ILSTOJZ,O,O,O,O,X
ILSTOZJ,X,X,X,O,X
ILSJTZO,X,X,O,X,O
ILSJTOZ,O,X,O,O,X
ILSJZTO,O,X,O,X,X
ILSJZOT,O,X,O,X,X
ILSJOTZ,O,X,O,O,X
ILSJOZT,O,X,O,X,X
ILSZTJO,O,X,X,X,X
ILSZTOJ,O,X,X,O,X
ILSZJTO,O,X,O,X,X
ILSZJOT,O,X,O,X,X
ILSZOTJ,O,X,X,O,X
ILSZOJT,O,X,O,X,X
ILSOTJZ,O,O,O,O,X
ILSOTZJ,X,X,X,O,X
ILSOJTZ,O,X,O,O,X
ILSOJZT,O,X,O,X,X
ILSOZTJ,O,X,X,O,X
ILSOZJT,O,X,O,X,X
ILZTJSO,O,X,X,X,X
ILZTJOS,O,X,X,X,X
ILZTSJO,O,X,X,X,X
ILZTSOJ,O,X,X,O,X
ILZTOJS,O,X,X,X,X
ILZTOSJ,O,X,X,O,X
ILZJTSO,O,X,O,X,X
ILZJTOS,O,X,O,X,X
ILZJSTO,O,X,O,X,X
ILZJSOT,O,X,O,X,X
ILZJOTS,O,X,O,X,X
ILZJOST,O,X,O,X,X
ILZSTJO,O,X,X,X,X
ILZSTOJ,O,X,X,O,X
ILZSJTO,O,X,O,X,X
ILZSJOT,O,X,O,X,X
ILZSOTJ,O,X,X,O,X
ILZSOJT,O,X,O,X,X
ILZOTJS,O,X,X,X,X
ILZOTSJ,O,X,X,O,X
ILZOJTS,O,X,O,X,X
ILZOJST,O,X,O,X,X
ILZOSTJ,O,X,X,O,X
ILZOSJT,O,X,O,X,X
ILOTJSZ,O,O,O,O,X
ILOTJZS,X,O,O,X,X
ILOTSJZ,O,O,O,O,X
ILOTSZJ,X,X,X,O,X
ILOTZJS,X,X,X,X,X
ILOTZSJ,X,X,X,O,X
ILOJTSZ,O,X,O,O,X
ILOJTZS,X,X,O,X,X
ILOJSTZ,O,X,O,O,X
ILOJSZT,O,X,O,X,X
ILOJZTS,O,X,O,X,X
ILOJZST,O,X,O,X,X
ILOSTJZ,O,O,O,O,X
ILOSTZJ,X,X,X,O,X
ILOSJTZ,O,X,O,O,X
ILOSJZT,O,X,O,X,X
ILOSZTJ,O,X,X,O,X
ILOSZJT,O,X,O,X,X
ILOZTJS,O,X,X,X,X
ILOZTSJ,O,X,X,O,X
ILOZJTS,O,X,O,X,X
ILOZJST,O,X,O,X,X
ILOZSTJ,O,X,X,O,X
ILOZSJT,O,X,O,X,X
IJTLSZO,X,O,O,X,O
IJTLSOZ,X,O,O,O,X
IJTLZSO,X,O,O,X,O
IJTLZOS,X,O,O,X,X
IJTLOSZ,X,O,O,O,X
IJTLOZS,X,O,O,X,X
IJTSLZO,X,O,O,X,O
IJTSLOZ,X,O,O,O,X
IJTSZLO,X,O,O,X,O
IJTSZOL,X,O,O,X,O
IJTSOLZ,X,O,O,O,X
IJTSOZL,X,O,O,X,O
IJTZLSO,X,O,O,X,O
IJTZLOS,X,O,O,X,X
IJTZSLO,X,O,O,X,O
IJTZSOL,X,O,O,X,O
IJTZOLS,X,O,O,X,X
IJTZOSL,X,O,O,X,O
IJTOLSZ,X,O,O,O,X
IJTOLZS,X,O,O,X,X
IJTOSLZ,X,O,O,O,X
IJTOSZL,X,O,O,X,O
IJTOZLS,X,O,O,X,X
IJTOZSL,X,O,O,X,O
IJLTSZO,X,X,O,X,O
IJLTSOZ,O,X,O,O,X
IJLTZSO,X,X,O,X,O
IJLTZOS,X,X,O,X,X
IJLTOSZ,O,X,O,O,X
IJLTOZS,X,X,O,X,X
IJLSTZO,X,X,O,X,O
IJLSTOZ,O,X,O,O,X
IJLSZTO,X,X,O,X,X
IJLSZOT,O,X,O,X,X
IJLSOTZ,O,X,O,O,X
IJLSOZT,O,X,O,X,X
IJLZTSO,X,X,O,X,X
IJLZTOS,X,X,O,X,X
IJLZSTO,X,X,O,X,X
IJLZSOT,O,X,O,X,X
IJLZOTS,X,X,O,X,X
IJLZOST,O,X,O,X,X
IJLOTSZ,O,X,O,O,X
IJLOTZS,X,X,O,X,X
IJLOSTZ,O,X,O,O,X
IJLOSZT,O,X,O,X,X
IJLOZTS,X,X,O,X,X
IJLOZST,O,X,O,X,X
IJSTLZO,X,O,O,X,O
IJSTLOZ,X,O,O,O,X
IJSTZLO,X,O,O,X,O
IJSTZOL,X,O,O,X,O
IJSTOLZ,X,O,O,O,X
IJSTOZL,X,O,O,X,O
IJSLTZO,X,X,O,X,O
IJSLTOZ,O,X,O,O,X
IJSLZTO,X,X,O,X,X
IJSLZOT,O,X,O,X,X
IJSLOTZ,O,X,O,O,X
IJSLOZT,O,X,O,X,X
IJSZTLO,X,X,O,X,O
IJSZTOL,X,X,O,X,O
IJSZLTO,O,X,O,X,X
IJSZLOT,O,X,O,X,X
IJSZOTL,X,X,O,X,X
IJSZOLT,O,X,O,X,X
IJSOTLZ,X,O,O,O,X
IJSOTZL,X,O,O,X,O
IJSOLTZ,O,X,O,O,X
IJSOLZT,O,X,O,X,X
IJSOZTL,X,X,O,X,X
IJSOZLT,O,X,O,X,X
IJZTLSO,X,X,O,X,O
IJZTLOS,X,X,O,X,X
IJZTSLO,X,X,O,X,O
IJZTSOL,X,X,O,X,O
IJZTOLS,X,X,O,X,X
IJZTOSL,X,X,O,X,O
IJZLTSO,O,X,O,X,X
IJZLTOS,O,X,O,X,X
IJZLSTO,O,X,O,X,X
IJZLSOT,O,X,O,X,X
IJZLOTS,O,X,O,X,X
IJZLOST,O,X,O,X,X
IJZSTLO,X,X,O,X,O
IJZSTOL,X,X,O,X,O
IJZSLTO,O,X,O,X,X
IJZSLOT,O,X,O,X,X
IJZSOTL,X,X,O,X,X
IJZSOLT,O,X,O,X,X
IJZOTLS,X,X,O,X,X
IJZOTSL,X,X,O,X,X
IJZOLTS,O,X,O,X,X
IJZOLST,O,X,O,X,X
IJZOSTL,X,X,O,X,X
IJZOSLT,O,X,O,X,X
IJOTLSZ,X,O,O,O,X
IJOTLZS,X,O,O,X,X
IJOTSLZ,X,O,O,O,X
IJOTSZL,X,O,O,X,O
IJOTZLS,X,O,O,X,X
IJOTZSL,X,O,O,X,O
IJOLTSZ,O,X,O,O,X
IJOLTZS,X,X,O,X,X
IJOLSTZ,O,X,O,O,X
IJOLSZT,O,X,O,X,X
IJOLZTS,X,X,O,X,X
IJOLZST,O,X,O,X,X
IJOSTLZ,X,O,O,O,X
IJOSTZL,X,O,O,X,O
IJOSLTZ,O,X,O,O,X
IJOSLZT,O,X,O,X,X
IJOSZTL,X,X,O,X,X
IJOSZLT,O,X,O,X,X
IJOZTLS,X,X,O,X,X
IJOZTSL,X,X,O,X,X
IJOZLTS,O,X,O,X,X
IJOZLST,O,X,O,X,X
IJOZSTL,X,X,O,X,X
IJOZSLT,O,X,O,X,X
ISTLJZO,X,O,O,X,O
ISTLJOZ,O,O,O,O,X
ISTLZJO,X,X,X,X,O
ISTLZOJ,X,X,X,O,X
ISTLOJZ,O,O,O,O,X
ISTLOZJ,X,X,X,O,X
ISTJLZO,X,O,O,X,O
ISTJLOZ,X,O,O,O,X
ISTJZLO,X,O,O,X,O
ISTJZOL,X,O,O,X,O
ISTJOLZ,X,O,O,O,X
ISTJOZL,X,O,O,X,O
ISTZLJO,O,X,X,X,O
ISTZLOJ,O,X,X,O,X
ISTZJLO,X,O,X,X,O
ISTZJOL,X,O,X,X,O
ISTZOLJ,O,X,X,O,X
ISTZOJL,X,O,X,X,O
ISTOLJZ,O,O,O,O,X
ISTOLZJ,X,X,X,O,X
ISTOJLZ,X,O,O,O,X
ISTOJZL,X,O,O,X,O
ISTOZLJ,O,X,X,O,X
ISTOZJL,X,O,X,X,O
ISLTJZO,X,O,O,X,O
ISLTJOZ,O,O,O,O,X
ISLTZJO,X,X,X,X,O
ISLTZOJ,X,X,X,O,X
ISLTOJZ,O,O,O,O,X
ISLTOZJ,X,X,X,O,X
ISLJTZO,X,X,O,X,O
ISLJTOZ,O,X,O,O,X
ISLJZTO,O,X,O,X,X
ISLJZOT,O,X,O,X,X
ISLJOTZ,O,X,O,O,X
ISLJOZT,O,X,O,X,X
ISLZTJO,O,X,X,X,X
ISLZTOJ,O,X,X,O,X
ISLZJTO,O,X,O,X,X
ISLZJOT,O,X,O,X,X
ISLZOTJ,O,X,X,O,X
ISLZOJT,O,X,O,X,X
ISLOTJZ,O,O,O,O,X
ISLOTZJ,X,X,X,O,X
ISLOJTZ,O,X,O,O,X
ISLOJZT,O,X,O,X,X
ISLOZTJ,O,X,X,O,X
ISLOZJT,O,X,O,X,X
ISJTLZO,X,O,O,X,O
ISJTLOZ,X,O,O,O,X
ISJTZLO,X,O,O,X,O
ISJTZOL,X,O,O,X,O
ISJTOLZ,X,O,O,O,X
ISJTOZL,X,O,O,X,O
ISJLTZO,X,X,O,X,O
ISJLTOZ,O,X,O,O,X
ISJLZTO,X,X,O,X,X
ISJLZOT,O,X,O,X,X
ISJLOTZ,O,X,O,O,X
ISJLOZT,O,X,O,X,X
ISJZTLO,X,X,O,X,O
ISJZTOL,X,X,O,X,O
ISJZLTO,O,X,O,X,X
ISJZLOT,O,X,O,X,X
ISJZOTL,X,X,O,X,X
ISJZOLT,O,X,O,X,X
ISJOTLZ,X,O,O,O,X
ISJOTZL,X,O,O,X,O
ISJOLTZ,O,X,O,O,X
ISJOLZT,O,X,O,X,X
ISJOZTL,X,X,O,X,X
ISJOZLT,O,X,O,X,X
ISZTLJO,O,X,X,X,O
ISZTLOJ,O,X,X,O,X
ISZTJLO,X,O,X,X,O
ISZTJOL,X,O,X,X,O
ISZTOLJ,O,X,X,O,X
ISZTOJL,X,O,X,X,O
ISZLTJO,O,X,X,X,X
ISZLTOJ,O,X,X,O,X
ISZLJTO,O,X,O,X,X
ISZLJOT,O,X,O,X,X
ISZLOTJ,O,X,X,O,X
ISZLOJT,O,X,O,X,X
ISZJTLO,X,X,O,X,O
ISZJTOL,X,X,O,X,O
ISZJLTO,O,X,O,X,X
ISZJLOT,O,X,O,X,X
ISZJOTL,X,X,O,X,X
ISZJOLT,O,X,O,X,X
ISZOTLJ,O,X,X,O,X
ISZOTJL,X,O,X,X,X
ISZOLTJ,O,X,X,O,X
ISZOLJT,O,X,O,X,X
ISZOJTL,X,X,O,X,X
ISZOJLT,O,X,O,X,X
ISOTLJZ,O,O,O,O,X
ISOTLZJ,X,X,X,O,X
ISOTJLZ,X,O,O,O,X
ISOTJZL,X,O,O,X,O
ISOTZLJ,O,X,X,O,X
ISOTZJL,X,O,X,X,O
ISOLTJZ,O,O,O,O,X
ISOLTZJ,X,X,X,O,X
ISOLJTZ,O,X,O,O,X
ISOLJZT,O,X,O,X,X
ISOLZTJ,O,X,X,O,X
ISOLZJT,O,X,O,X,X
ISOJTLZ,X,O,O,O,X
ISOJTZL,X,O,O,X,O
ISOJLTZ,O,X,O,O,X
ISOJLZT,O,X,O,X,X
ISOJZTL,X,X,O,X,X
ISOJZLT,O,X,O,X,X
ISOZTLJ,O,X,X,O,X
ISOZTJL,X,O,X,X,X
ISOZLTJ,O,X,X,O,X
ISOZLJT,O,X,O,X,X
ISOZJTL,X,X,O,X,X
ISOZJLT,O,X,O,X,X
IZTLJSO,O,X,X,X,O
IZTLJOS,O,X,X,X,X
IZTLSJO,O,X,X,X,O
IZTLSOJ,O,X,X,O,X
IZTLOJS,O,X,X,X,X
IZTLOSJ,O,X,X,O,X
IZTJLSO,X,O,X,X,O
IZTJLOS,X,O,X,X,X
IZTJSLO,X,O,X,X,O
IZTJSOL,X,O,X,X,O
IZTJOLS,X,O,X,X,X
IZTJOSL,X,O,X,X,O
IZTSLJO,O,X,X,X,O
IZTSLOJ,O,X,X,O,X
IZTSJLO,X,O,X,X,O
IZTSJOL,X,O,X,X,O
IZTSOLJ,O,X,X,O,X
IZTSOJL,X,O,X,X,O
IZTOLJS,O,X,X,X,X
IZTOLSJ,O,X,X,O,X
IZTOJLS,X,O,X,X,X
IZTOJSL,X,O,X,X,O
IZTOSLJ,O,X,X,O,X
IZTOSJL,X,O,X,X,O
IZLTJSO,O,X,X,X,X
IZLTJOS,O,X,X,X,X
IZLTSJO,O,X,X,X,X
IZLTSOJ,O,X,X,O,X
IZLTOJS,O,X,X,X,X
IZLTOSJ,O,X,X,O,X
IZLJTSO,O,X,O,X,X
IZLJTOS,O,X,O,X,X
IZLJSTO,O,X,O,X,X
IZLJSOT,O,X,O,X,X
IZLJOTS,O,X,O,X,X
IZLJOST,O,X,O,X,X
IZLSTJO,O,X,X,X,X
IZLSTOJ,O,X,X,O,X
IZLSJTO,O,X,O,X,X
IZLSJOT,O,X,O,X,X
IZLSOTJ,O,X,X,O,X
IZLSOJT,O,X,O,X,X
IZLOTJS,O,X,X,X,X
IZLOTSJ,O,X,X,O,X
IZLOJTS,O,X,O,X,X
IZLOJST,O,X,O,X,X
IZLOSTJ,O,X,X,O,X
IZLOSJT,O,X,O,X,X
IZJTLSO,X,X,O,X,O
IZJTLOS,X,X,O,X,X
IZJTSLO,X,X,O,X,O
IZJTSOL,X,X,O,X,O
IZJTOLS,X,X,O,X,X
IZJTOSL,X,X,O,X,O
IZJLTSO,O,X,O,X,X
IZJLTOS,O,X,O,X,X
IZJLSTO,O,X,O,X,X
IZJLSOT,O,X,O,X,X
IZJLOTS,O,X,O,X,X
IZJLOST,O,X,O,X,X
IZJSTLO,X,X,O,X,O
IZJSTOL,X,X,O,X,O
IZJSLTO,O,X,O,X,X
IZJSLOT,O,X,O,X,X
IZJSOTL,X,X,O,X,X
IZJSOLT,O,X,O,X,X
IZJOTLS,X,X,O,X,X
IZJOTSL,X,X,O,X,X
IZJOLTS,O,X,O,X,X
IZJOLST,O,X,O,X,X
IZJOSTL,X,X,O,X,X
IZJOSLT,O,X,O,X,X
IZSTLJO,O,X,X,X,O
IZSTLOJ,O,X,X,O,X
IZSTJLO,X,O,X,X,O
IZSTJOL,X,O,X,X,O
IZSTOLJ,O,X,X,O,X
IZSTOJL,X,O,X,X,O
IZSLTJO,O,X,X,X,X
IZSLTOJ,O,X,X,O,X
IZSLJTO,O,X,O,X,X
IZSLJOT,O,X,O,X,X
IZSLOTJ,O,X,X,O,X
IZSLOJT,O,X,O,X,X
IZSJTLO,X,X,O,X,O
IZSJTOL,X,X,O,X,O
IZSJLTO,O,X,O,X,X
IZSJLOT,O,X,O,X,X
IZSJOTL,X,X,O,X,X
IZSJOLT,O,X,O,X,X
IZSOTLJ,O,X,X,O,X
IZSOTJL,X,O,X,X,X
IZSOLTJ,O,X,X,O,X
IZSOLJT,O,X,O,X,X
IZSOJTL,X,X,O,X,X
IZSOJLT,O,X,O,X,X
IZOTLJS,O,X,X,X,X
IZOTLSJ,O,X,X,O,X
IZOTJLS,X,O,X,X,X
IZOTJSL,X,O,X,X,X
IZOTSLJ,O,X,X,O,X
IZOTSJL,X,O,X,X,X
IZOLTJS,O,X,X,X,X
IZOLTSJ,O,X,X,O,X
IZOLJTS,O,X,O,X,X
IZOLJST,O,X,O,X,X
IZOLSTJ,O,X,X,O,X
IZOLSJT,O,X,O,X,X
IZOJTLS,X,X,O,X,X
IZOJTSL,X,X,O,X,X
IZOJLTS,O,X,O,X,X
IZOJLST,O,X,O,X,X
IZOJSTL,X,X,O,X,X
IZOJSLT,O,X,O,X,X
IZOSTLJ,O,X,X,O,X
IZOSTJL,X,O,X,X,X
IZOSLTJ,O,X,X,O,X
IZOSLJT,O,X,O,X,X
IZOSJTL,X,X,O,X,X
IZOSJLT,O,X,O,X,X
IOTLJSZ,O,O,O,O,X
IOTLJZS,X,O,O,X,X
IOTLSJZ,O,O,O,O,X
IOTLSZJ,X,X,X,O,X
IOTLZJS,X,X,X,X,X
IOTLZSJ,X,X,X,O,X
IOTJLSZ,X,O,O,O,X
IOTJLZS,X,O,O,X,X
IOTJSLZ,X,O,O,O,X
IOTJSZL,X,O,O,X,O
IOTJZLS,X,O,O,X,X
IOTJZSL,X,O,O,X,O
IOTSLJZ,O,O,O,O,X
IOTSLZJ,X,X,X,O,X
IOTSJLZ,X,O,O,O,X
IOTSJZL,X,O,O,X,O
IOTSZLJ,O,X,X,O,X
IOTSZJL,X,O,X,X,O
IOTZLJS,O,X,X,X,X
IOTZLSJ,O,X,X,O,X
IOTZJLS,X,O,X,X,X
IOTZJSL,X,O,X,X,O
IOTZSLJ,O,X,X,O,X
IOTZSJL,X,O,X,X,O
IOLTJSZ,O,O,O,O,X
IOLTJZS,X,O,O,X,X
IOLTSJZ,O,O,O,O,X
IOLTSZJ,X,X,X,O,X
IOLTZJS,X,X,X,X,X
IOLTZSJ,X,X,X,O,X
IOLJTSZ,O,X,O,O,X
IOLJTZS,X,X,O,X,X
IOLJSTZ,O,X,O,O,X
IOLJSZT,O,X,O,X,X
IOLJZTS,O,X,O,X,X
IOLJZST,O,X,O,X,X
IOLSTJZ,O,O,O,O,X
IOLSTZJ,X,X,X,O,X
IOLSJTZ,O,X,O,O,X
IOLSJZT,O,X,O,X,X
IOLSZTJ,O,X,X,O,X
IOLSZJT,O,X,O,X,X
IOLZTJS,O,X,X,X,X
IOLZTSJ,O,X,X,O,X
IOLZJTS,O,X,O,X,X
IOLZJST,O,X,O,X,X
IOLZSTJ,O,X,X,O,X
IOLZSJT,O,X,O,X,X
IOJTLSZ,X,O,O,O,X
IOJTLZS,X,O,O,X,X
IOJTSLZ,X,O,O,O,X
IOJTSZL,X,O,O,X,O
IOJTZLS,X,O,O,X,X
IOJTZSL,X,O,O,X,O
IOJLTSZ,O,X,O,O,X
IOJLTZS,X,X,O,X,X
IOJLSTZ,O,X,O,O,X
IOJLSZT,O,X,O,X,X
IOJLZTS,X,X,O,X,X
IOJLZST,O,X,O,X,X
IOJSTLZ,X,O,O,O,X
IOJSTZL,X,O,O,X,O
IOJSLTZ,O,X,O,O,X
IOJSLZT,O,X,O,X,X
IOJSZTL,X,X,O,X,X
IOJSZLT,O,X,O,X,X
IOJZTLS,X,X,O,X,X
IOJZTSL,X,X,O,X,X
IOJZLTS,O,X,O,X,X
IOJZLST,O,X,O,X,X
IOJZSTL,X,X,O,X,X
IOJZSLT,O,X,O,X,X
IOSTLJZ,O,O,O,O,X
IOSTLZJ,X,X,X,O,X
IOSTJLZ,X,O,O,O,X
IOSTJZL,X,O,O,X,O
IOSTZLJ,O,X,X,O,X
IOSTZJL,X,O,X,X,O
IOSLTJZ,O,O,O,O,X
IOSLTZJ,X,X,X,O,X
IOSLJTZ,O,X,O,O,X
IOSLJZT,O,X,O,X,X
IOSLZTJ,O,X,X,O,X
IOSLZJT,O,X,O,X,X
IOSJTLZ,X,O,O,O,X
IOSJTZL,X,O,O,X,O
IOSJLTZ,O,X,O,O,X
IOSJLZT,O,X,O,X,X
IOSJZTL,X,X,O,X,X
IOSJZLT,O,X,O,X,X
IOSZTLJ,O,X,X,O,X
IOSZTJL,X,O,X,X,X
IOSZLTJ,O,X,X,O,X
IOSZLJT,O,X,O,X,X
IOSZJTL,X,X,O,X,X
IOSZJLT,O,X,O,X,X
IOZTLJS,O,X,X,X,X
IOZTLSJ,O,X,X,O,X
IOZTJLS,X,O,X,X,X
IOZTJSL,X,O,X,X,X
IOZTSLJ,O,X,X,O,X
IOZTSJL,X,O,X,X,X
IOZLTJS,O,X,X,X,X
IOZLTSJ,O,X,X,O,X
IOZLJTS,O,X,O,X,X
IOZLJST,O,X,O,X,X
IOZLSTJ,O,X,X,O,X
IOZLSJT,O,X,O,X,X
IOZJTLS,X,X,O,X,X
IOZJTSL,X,X,O,X,X
IOZJLTS,O,X,O,X,X
IOZJLST,O,X,O,X,X
IOZJSTL,X,X,O,X,X
IOZJSLT,O,X,O,X,X
IOZSTLJ,O,X,X,O,X
IOZSTJL,X,O,X,X,X
IOZSLTJ,O,X,X,O,X
IOZSLJT,O,X,O,X,X
IOZSJTL,X,X,O,X,X
IOZSJLT,O,X,O,X,X
LTIJSZO,X,O,O,X,X
LTIJSOZ,O,O,O,O,X
LTIJZSO,X,O,O,X,X
LTIJZOS,X,O,O,X,X
LTIJOSZ,O,O,O,O,X
LTIJOZS,X,O,O,X,X
LTISJZO,X,O,O,X,X
LTISJOZ,O,O,O,O,X
LTISZJO,X,X,X,X,X
LTISZOJ,X,X,X,O,X
LTISOJZ,O,O,O,O,X
LTISOZJ,X,X,X,O,X
LTIZJSO,X,X,X,X,X
LTIZJOS,X,X,X,X,X
LTIZSJO,X,X,X,X,X
LTIZSOJ,X,X,X,O,X
LTIZOJS,X,X,X,X,X
LTIZOSJ,X,X,X,O,X
LTIOJSZ,O,O,O,O,X
LTIOJZS,X,O,O,X,X
LTIOSJZ,O,O,O,O,X
LTIOSZJ,X,X,X,O,X
LTIOZJS,X,X,X,X,X
LTIOZSJ,X,X,X,O,X
LTJISZO,X,O,O,X,X
LTJISOZ,O,O,O,X,X
LTJIZSO,X,O,O,X,X
LTJIZOS,X,O,O,X,X
LTJIOSZ,O,O,O,X,X
LTJIOZS,X,O,O,X,X
LTJSIZO,X,O,O,X,X
LTJSIOZ,O,O,O,X,X
LTJSZIO,O,O,X,X,X
LTJSZOI,O,O,X,X,X
LTJSOIZ,O,O,O,X,X
LTJSOZI,O,O,X,X,X
LTJZISO,O,O,X,X,X
LTJZIOS,O,O,X,X,X
LTJZSIO,O,O,X,X,X
LTJZSOI,O,O,X,X,X
LTJZOIS,O,O,X,X,X
LTJZOSI,O,O,X,X,X
LTJOISZ,O,O,O,X,X
LTJOIZS,X,O,O,X,X
LTJOSIZ,O,O,O,X,X
LTJOSZI,O,O,X,X,X
LTJOZIS,O,O,X,X,X
LTJOZSI,O,O,X,X,X
LTSIJZO,X,O,O,X,X
LTSIJOZ,O,O,O,O,X
LTSIZJO,X,X,X,X,X
LTSIZOJ,X,X,X,O,X
LTSIOJZ,O,O,O,O,X
LTSIOZJ,X,X,X,O,X
LTSJIZO,X,O,O,X,X
LTSJIOZ,O,O,O,X,X
LTSJZIO,O,O,X,X,X
LTSJZOI,O,O,X,X,X
LTSJOIZ,O,O,O,X,X
LTSJOZI,O,O,X,X,X
