sequence,v115@QhC8BeG8GeB8Jei/IvhFzgBFiBXjBUlBWxBRvB,v115@QhC8BeG8GeB8JeT/IvhFigBUiBFjB3lBWxBRvB,v115@QhC8BeG8GeB8JeT/IvhFChBxiB0qBeqBlrB3sB,v115@QhC8BeG8GeB8JeT/IvhFOlBFjBCmB/sB0rBRvB,v115@QhC8BeG8GeB8Je2EJvhF8lBzhBXjBFlBSxBRvB,v115@QhC8BeG8GeB8JeRAJvhFFjB0qB/pBurBiqBTsB,v115@QhC8BeG8GeB8Je2EJvhFChBxiB0qBlrB3sBzpB,v115@QhC8BeG8GeB8Jex/IvhF8lBzhBXjB2vBlpBSxB
TISLZJO,O,O,X,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X,X
TISLOJZ,O,O,X,O,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X,X
TISJLZO,O,O,X,O,X,X,X,X
TISJLOZ,O,O,X,O,X,X,X,X
TISJZLO,O,O,X,X,X,X,X,X
TISJZOL,O,O,X,X,O,X,X,X
TISJOLZ,O,O,X,O,X,X,X,X
TISJOZL,X,O,X,X,O,X,X,X
TISZLJO,O,O,X,X,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X,X
TISZJLO,O,O,X,X,X,X,X,X
TISZJOL,O,O,X,X,O,X,X,X
TISZOLJ,O,O,X,X,X,X,X,X
TISZOJL,O,O,X,X,O,X,X,X
TISOLJZ,O,O,X,O,X,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X
TISOJLZ,O,O,X,O,X,X,X,X
TISOJZL,X,O,X,X,O,X,X,X
TISOZLJ,O,O,X,X,X,X,X,X
TISOZJL,O,O,X,X,O,X,X,X
TIZLJSO,O,X,O,O,X,O,X,X
TIZLJOS,O,X,O,O,X,X,X,X
TIZLSJO,O,O,O,X,X,O,X,X
TIZLSOJ,O,O,X,X,X,O,X,X
TIZLOJS,O,X,O,O,X,O,X,X
TIZLOSJ,O,O,X,X,X,O,X,X
TIZJLSO,O,X,O,O,X,O,X,X
TIZJLOS,O,X,O,O,X,X,X,X
TIZJSLO,O,O,O,X,X,O,O,X
TIZJSOL,O,O,O,X,O,O,O,X
TIZJOLS,O,X,O,O,X,X,X,X
TIZJOSL,O,O,O,X,O,X,X,X
TIZSLJO,O,O,O,X,X,O,O,X
TIZSLOJ,O,O,O,X,X,O,O,X
TIZSJLO,O,O,O,X,X,O,O,X
TIZSJOL,O,O,O,X,O,O,O,X
TIZSOLJ,O,O,O,X,X,O,O,X
TIZSOJL,O,O,O,X,O,O,O,X
TIZOLJS,O,X,O,O,X,O,X,X
TIZOLSJ,O,O,X,X,X,O,X,X
TIZOJLS,O,X,O,O,X,O,X,X
TIZOJSL,O,O,O,X,O,O,X,X
TIZOSLJ,O,O,O,X,X,O,X,X
TIZOSJL,O,O,O,X,O,O,X,X
TIOLJSZ,O,X,X,O,X,X,X,X
TIOLJZS,X,X,X,O,X,X,X,X
TIOLSJZ,O,O,X,O,X,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,X
TIOLZJS,O,X,X,O,X,X,X,X
TIOLZSJ,O,O,X,X,X,X,X,X
TIOJLSZ,O,X,X,O,X,X,X,X
TIOJLZS,X,X,X,O,X,X,X,X
TIOJSLZ,O,O,X,O,X,X,X,X
TIOJSZL,X,O,X,X,O,X,X,X
TIOJZLS,X,X,X,O,X,X,X,X
TIOJZSL,X,O,X,X,O,X,X,X
TIOSLJZ,O,O,X,O,X,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,X
TIOSJLZ,O,O,X,O,X,X,X,X
TIOSJZL,X,O,X,X,O,X,X,X
TIOSZLJ,O,O,X,X,X,X,X,X
TIOSZJL,O,O,X,X,O,X,X,X
TIOZLJS,O,X,O,O,X,X,X,X
TIOZLSJ,O,O,X,X,X,X,X,X
TIOZJLS,O,X,O,O,X,X,X,X
TIOZJSL,O,O,O,X,O,X,X,X
TIOZSLJ,O,O,O,X,X,X,X,X
TIOZSJL,O,O,O,X,O,X,X,X
TLIJSZO,O,X,X,O,X,X,X,X
TLIJSOZ,O,X,X,O,X,X,X,X
TLIJZSO,O,X,X,O,X,X,X,X
TLIJZOS,O,X,X,O,X,X,X,X
TLIJOSZ,O,X,X,O,X,X,X,X
TLIJOZS,X,X,X,O,X,X,X,X
TLISJZO,O,O,X,O,X,X,X,X
TLISJOZ,O,O,X,O,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,X
TLISZOJ,O,O,X,X,X,X,X,X
TLISOJZ,O,O,X,O,X,X,X,X
TLISOZJ,O,O,X,X,X,X,X,X
TLIZJSO,O,X,X,O,X,X,X,X
TLIZJOS,O,X,X,O,X,X,X,X
TLIZSJO,O,O,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,X,X
TLIZOJS,O,X,X,O,X,X,X,X
TLIZOSJ,O,O,X,X,X,X,X,X
TLIOJSZ,O,X,X,O,X,X,X,X
TLIOJZS,X,X,X,O,X,X,X,X
TLIOSJZ,O,O,X,O,X,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,X
TLIOZJS,O,X,X,O,X,X,X,X
TLIOZSJ,O,O,X,X,X,X,X,X
TLJISZO,O,X,X,O,X,X,X,X
TLJISOZ,O,X,X,O,X,X,X,X
TLJIZSO,O,X,X,O,X,X,X,X
TLJIZOS,O,X,X,O,X,X,X,X
TLJIOSZ,O,X,X,O,X,X,X,X
TLJIOZS,X,X,X,O,X,X,X,X
TLJSIZO,O,X,X,O,X,X,X,X
TLJSIOZ,O,X,X,O,X,X,X,X
TLJSZIO,O,X,X,O,X,X,X,X
TLJSZOI,O,X,X,O,X,X,X,X
TLJSOIZ,O,X,X,O,X,X,X,X
TLJSOZI,O,X,X,O,X,X,X,X
TLJZISO,O,X,X,O,X,X,X,X
TLJZIOS,O,X,X,O,X,X,X,X
TLJZSIO,O,X,X,O,X,X,X,X
TLJZSOI,O,X,X,O,X,X,X,X
TLJZOIS,O,X,X,O,X,X,X,X
TLJZOSI,O,X,X,O,X,X,X,X
TLJOISZ,X,X,X,O,X,X,X,X
TLJOIZS,X,X,X,O,X,X,X,X
TLJOSIZ,O,X,X,O,X,X,X,X
TLJOSZI,O,X,X,O,X,X,X,X
TLJOZIS,X,X,X,O,X,X,X,X
TLJOZSI,X,X,X,O,X,X,X,X
TLSIJZO,O,O,X,O,X,X,X,X
TLSIJOZ,O,O,X,O,X,X,X,X
TLSIZJO,O,O,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,X,X,X,X
TLSIOJZ,O,O,X,O,X,X,X,X
TLSIOZJ,O,O,X,X,X,X,X,X
TLSJIZO,O,O,X,O,X,X,X,X
TLSJIOZ,O,O,X,O,X,X,X,X
TLSJZIO,O,O,X,O,X,X,X,X
TLSJZOI,O,O,X,O,X,X,X,X
TLSJOIZ,O,O,X,O,X,X,X,X
TLSJOZI,O,O,X,O,X,X,X,X
TLSZIJO,O,O,X,X,X,X,X,X
TLSZIOJ,O,O,X,X,X,X,X,X
TLSZJIO,O,O,X,X,X,X,X,X
TLSZJOI,O,O,X,X,X,X,X,X
TLSZOIJ,O,O,X,X,X,X,X,X
TLSZOJI,O,O,X,X,X,X,X,X
TLSOIJZ,O,O,X,O,X,X,X,X
TLSOIZJ,O,O,X,X,X,X,X,X
TLSOJIZ,O,O,X,O,X,X,X,X
TLSOJZI,O,O,X,O,X,X,X,X
TLSOZIJ,O,O,X,X,X,X,X,X
TLSOZJI,O,O,X,X,X,X,X,X
TLZIJSO,O,X,X,O,X,O,X,X
TLZIJOS,O,X,X,O,X,X,X,X
TLZISJO,O,O,X,X,X,O,X,X
TLZISOJ,O,O,X,X,X,O,X,X
TLZIOJS,O,X,X,O,X,O,X,X
TLZIOSJ,O,O,X,X,X,O,X,X
TLZJISO,O,X,X,O,X,O,X,X
TLZJIOS,O,X,X,O,X,X,X,X
TLZJSIO,O,X,X,O,X,O,X,X
TLZJSOI,O,X,X,O,X,O,X,X
TLZJOIS,O,X,X,O,X,O,X,X
TLZJOSI,O,X,X,O,X,O,X,X
TLZSIJO,O,O,X,X,X,O,X,X
TLZSIOJ,O,O,X,X,X,O,X,X
TLZSJIO,O,O,X,X,X,O,X,X
TLZSJOI,O,O,X,X,X,O,X,X
TLZSOIJ,O,O,X,X,X,O,X,X
TLZSOJI,O,O,X,X,X,O,X,X
TLZOIJS,O,X,X,O,X,O,X,X
TLZOISJ,O,O,X,X,X,O,X,X
TLZOJIS,O,X,X,O,X,O,X,X
TLZOJSI,O,X,X,O,X,O,X,X
TLZOSIJ,O,O,X,X,X,O,X,X
TLZOSJI,O,O,X,X,X,O,X,X
TLOIJSZ,O,X,X,O,X,X,X,X
TLOIJZS,X,X,X,O,X,X,X,X
TLOISJZ,O,O,X,O,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X,X
TLOIZJS,O,X,X,O,X,X,X,X
TLOIZSJ,O,O,X,X,X,X,X,X
TLOJISZ,X,X,X,O,X,X,X,X
TLOJIZS,X,X,X,O,X,X,X,X
TLOJSIZ,O,X,X,O,X,X,X,X
TLOJSZI,O,X,X,O,X,X,X,X
TLOJZIS,X,X,X,O,X,X,X,X
TLOJZSI,X,X,X,O,X,X,X,X
TLOSIJZ,O,O,X,O,X,X,X,X
TLOSIZJ,O,O,X,X,X,X,X,X
TLOSJIZ,O,O,X,O,X,X,X,X
TLOSJZI,O,O,X,O,X,X,X,X
TLOSZIJ,O,O,X,X,X,X,X,X
TLOSZJI,O,O,X,X,X,X,X,X
TLOZIJS,O,X,X,O,X,X,X,X
TLOZISJ,O,O,X,X,X,X,X,X
TLOZJIS,O,X,X,O,X,X,X,X
TLOZJSI,O,X,X,O,X,X,X,X
TLOZSIJ,O,O,X,X,X,X,X,X
TLOZSJI,O,O,X,X,X,X,X,X
TJILSZO,O,X,X,O,X,X,X,X
TJILSOZ,O,X,X,O,X,X,X,X
TJILZSO,O,X,X,O,X,X,X,X
TJILZOS,O,X,X,O,X,X,X,X
TJILOSZ,O,X,X,O,X,X,X,X
TJILOZS,X,X,X,O,X,X,X,X
TJISLZO,O,O,X,O,X,X,X,X
TJISLOZ,O,O,X,O,X,X,X,X
TJISZLO,O,O,X,X,X,X,X,X
TJISZOL,O,O,X,X,O,X,X,X
TJISOLZ,O,O,X,O,X,X,X,X
TJISOZL,X,O,X,X,O,X,X,X
TJIZLSO,O,X,X,O,X,X,X,X
TJIZLOS,O,X,X,O,X,X,X,X
TJIZSLO,O,O,X,X,X,X,O,X
TJIZSOL,O,O,X,X,O,X,O,X
TJIZOLS,O,X,X,O,X,X,X,X
TJIZOSL,O,O,X,X,O,X,X,X
TJIOLSZ,O,X,X,O,X,X,X,X
TJIOLZS,X,X,X,O,X,X,X,X
TJIOSLZ,O,O,X,O,X,X,X,X
TJIOSZL,X,O,X,X,O,X,X,X
TJIOZLS,X,X,X,O,X,X,X,X
TJIOZSL,X,O,X,X,O,X,X,X
TJLISZO,O,X,X,O,X,X,X,X
TJLISOZ,O,X,X,O,X,X,X,X
TJLIZSO,O,X,X,O,X,X,X,X
TJLIZOS,O,X,X,O,X,X,X,X
TJLIOSZ,O,X,X,O,X,X,X,X
TJLIOZS,X,X,X,O,X,X,X,X
TJLSIZO,O,X,X,O,X,X,X,X
TJLSIOZ,O,X,X,O,X,X,X,X
TJLSZIO,O,X,X,O,X,X,X,X
TJLSZOI,O,X,X,O,X,X,X,X
TJLSOIZ,O,X,X,O,X,X,X,X
TJLSOZI,O,X,X,O,X,X,X,X
TJLZISO,O,X,X,O,X,X,X,X
TJLZIOS,O,X,X,O,X,X,X,X
TJLZSIO,O,X,X,O,X,X,X,X
TJLZSOI,O,X,X,O,X,X,X,X
TJLZOIS,O,X,X,O,X,X,X,X
TJLZOSI,O,X,X,O,X,X,X,X
TJLOISZ,X,X,X,O,X,X,X,X
TJLOIZS,X,X,X,O,X,X,X,X
TJLOSIZ,O,X,X,O,X,X,X,X
TJLOSZI,O,X,X,O,X,X,X,X
TJLOZIS,X,X,X,O,X,X,X,X
TJLOZSI,X,X,X,O,X,X,X,X
TJSILZO,O,O,X,X,X,X,X,X
TJSILOZ,O,O,X,X,X,X,X,X
TJSIZLO,O,O,X,X,X,X,X,X
TJSIZOL,O,O,X,X,O,X,X,X
TJSIOLZ,O,O,X,X,X,X,X,X
TJSIOZL,X,O,X,X,O,X,X,X
TJSLIZO,O,O,X,X,X,X,X,X
TJSLIOZ,O,O,X,X,X,X,X,X
TJSLZIO,O,O,X,X,X,X,X,X
TJSLZOI,O,O,X,X,X,X,X,X
TJSLOIZ,O,O,X,X,X,X,X,X
TJSLOZI,O,O,X,X,X,X,X,X
TJSZILO,O,O,X,X,X,X,X,X
TJSZIOL,X,O,X,X,X,X,X,X
TJSZLIO,O,O,X,X,X,X,X,X
TJSZLOI,O,O,X,X,X,X,X,X
TJSZOIL,X,O,X,X,O,X,X,X
TJSZOLI,O,O,X,X,O,X,X,X
TJSOILZ,O,O,X,X,X,X,X,X
TJSOIZL,X,O,X,X,O,X,X,X
TJSOLIZ,O,O,X,X,X,X,X,X
TJSOLZI,O,O,X,X,X,X,X,X
TJSOZIL,X,O,X,X,O,X,X,O
TJSOZLI,X,O,X,X,O,X,X,O
TJZILSO,O,X,X,X,X,O,O,X
TJZILOS,O,X,X,X,X,X,X,X
TJZISLO,O,O,X,X,X,O,O,X
TJZISOL,X,O,X,X,X,O,O,X
TJZIOLS,X,X,X,X,X,X,X,X
TJZIOSL,X,O,X,X,X,X,X,X
TJZLISO,O,X,X,X,X,O,O,X
TJZLIOS,O,X,X,X,X,X,X,X
TJZLSIO,O,X,X,X,X,O,O,X
TJZLSOI,O,X,X,X,X,O,O,X
TJZLOIS,O,X,X,X,X,O,X,X
TJZLOSI,O,X,X,X,X,O,O,X
TJZSILO,O,O,X,X,X,O,O,X
TJZSIOL,X,O,X,X,X,O,O,X
TJZSLIO,O,O,X,X,X,O,O,X
TJZSLOI,O,O,X,X,X,O,O,X
TJZSOIL,X,O,X,X,O,O,O,X
TJZSOLI,O,O,X,X,O,O,O,X
TJZOILS,X,X,X,X,X,O,X,X
TJZOISL,X,O,X,X,X,O,X,X
TJZOLIS,O,X,X,X,X,O,X,X
TJZOLSI,O,X,X,X,X,O,O,X
TJZOSIL,X,O,X,X,O,O,O,X
TJZOSLI,O,O,X,X,O,O,O,X
TJOILSZ,O,X,X,O,X,X,X,X
TJOILZS,X,X,X,O,X,X,X,X
TJOISLZ,O,O,X,O,X,X,X,X
TJOISZL,X,O,X,X,O,X,X,X
TJOIZLS,X,X,X,O,X,X,X,X
TJOIZSL,X,O,X,X,O,X,X,X
TJOLISZ,X,X,X,O,X,X,X,X
TJOLIZS,X,X,X,O,X,X,X,X
TJOLSIZ,O,X,X,O,X,X,X,X
TJOLSZI,O,X,X,O,X,X,X,X
TJOLZIS,X,X,X,O,X,X,X,X
TJOLZSI,X,X,X,O,X,X,X,X
TJOSILZ,O,O,X,X,X,X,X,X
TJOSIZL,X,O,X,X,O,X,X,X
TJOSLIZ,O,O,X,X,X,X,X,X
TJOSLZI,O,O,X,X,X,X,X,X
TJOSZIL,X,O,X,X,O,X,X,O
TJOSZLI,X,O,X,X,O,X,X,O
TJOZILS,X,X,X,X,X,X,X,O
TJOZISL,X,O,X,X,X,X,X,O
TJOZLIS,X,X,X,X,X,X,X,O
TJOZLSI,X,X,X,X,X,X,X,O
TJOZSIL,X,O,X,X,O,X,X,O
TJOZSLI,X,O,X,X,O,X,X,O
TSILJZO,O,O,X,O,X,X,X,X
TSILJOZ,O,O,X,O,X,X,X,X
TSILZJO,O,O,X,X,X,X,X,X
TSILZOJ,O,O,X,X,X,X,X,X
TSILOJZ,O,O,X,O,X,X,X,X
TSILOZJ,O,O,X,X,X,X,X,X
TSIJLZO,O,O,X,O,X,X,X,X
TSIJLOZ,O,O,X,O,X,X,X,X
TSIJZLO,O,O,X,X,X,X,X,X
TSIJZOL,O,O,X,X,O,X,X,X
TSIJOLZ,O,O,X,O,X,X,X,X
TSIJOZL,X,O,X,X,O,X,X,X
TSIZLJO,O,O,X,X,X,X,X,X
TSIZLOJ,O,O,X,X,X,X,X,X
TSIZJLO,O,O,X,X,X,X,X,X
TSIZJOL,O,O,X,X,O,X,X,X
TSIZOLJ,O,O,X,X,X,X,X,X
TSIZOJL,O,O,X,X,O,X,X,X
TSIOLJZ,O,O,X,O,X,X,X,X
TSIOLZJ,O,O,X,X,X,X,X,X
TSIOJLZ,O,O,X,O,X,X,X,X
TSIOJZL,X,O,X,X,O,X,X,X
TSIOZLJ,O,O,X,X,X,X,X,X
TSIOZJL,O,O,X,X,O,X,X,X
TSLIJZO,O,O,X,O,X,X,X,X
TSLIJOZ,O,O,X,O,X,X,X,X
TSLIZJO,O,O,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,X
TSLIOJZ,O,O,X,O,X,X,X,X
TSLIOZJ,O,O,X,X,X,X,X,X
TSLJIZO,O,O,X,O,X,X,X,X
TSLJIOZ,O,O,X,O,X,X,X,X
TSLJZIO,O,O,X,O,X,X,X,X
TSLJZOI,O,O,X,O,X,X,X,X
TSLJOIZ,O,O,X,O,X,X,X,X
TSLJOZI,O,O,X,O,X,X,X,X
TSLZIJO,O,O,X,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X
TSLZJIO,O,O,X,X,X,X,X,X
TSLZJOI,O,O,X,X,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X
TSLZOJI,O,O,X,X,X,X,X,X
TSLOIJZ,O,O,X,O,X,X,X,X
TSLOIZJ,O,O,X,X,X,X,X,X
TSLOJIZ,O,O,X,O,X,X,X,X
TSLOJZI,O,O,X,O,X,X,X,X
TSLOZIJ,O,O,X,X,X,X,X,X
TSLOZJI,O,O,X,X,X,X,X,X
TSJILZO,O,O,X,X,X,X,X,X
TSJILOZ,O,O,X,X,X,X,X,X
TSJIZLO,O,O,X,X,X,X,X,X
TSJIZOL,O,O,X,X,O,X,X,X
TSJIOLZ,O,O,X,X,X,X,X,X
TSJIOZL,X,O,X,X,O,X,X,X
TSJLIZO,O,O,X,X,X,X,X,X
TSJLIOZ,O,O,X,X,X,X,X,X
TSJLZIO,O,O,X,X,X,X,X,X
TSJLZOI,O,O,X,X,X,X,X,X
TSJLOIZ,O,O,X,X,X,X,X,X
TSJLOZI,O,O,X,X,X,X,X,X
TSJZILO,O,O,X,X,X,X,X,X
TSJZIOL,X,O,X,X,X,X,X,X
TSJZLIO,O,O,X,X,X,X,X,X
TSJZLOI,O,O,X,X,X,X,X,X
TSJZOIL,X,O,X,X,O,X,X,X
TSJZOLI,O,O,X,X,O,X,X,X
TSJOILZ,O,O,X,X,X,X,X,X
TSJOIZL,X,O,X,X,O,X,X,X
TSJOLIZ,O,O,X,X,X,X,X,X
TSJOLZI,O,O,X,X,X,X,X,X
TSJOZIL,X,O,X,X,O,X,X,O
TSJOZLI,X,O,X,X,O,X,X,O
TSZILJO,O,O,X,X,X,O,X,X
TSZILOJ,O,O,X,X,X,O,X,X
TSZIJLO,O,O,X,X,X,O,X,X
TSZIJOL,O,O,X,X,O,O,X,X
TSZIOLJ,O,O,X,X,X,O,X,X
TSZIOJL,O,O,X,X,O,O,X,X
TSZLIJO,O,O,X,X,X,O,X,X
TSZLIOJ,O,O,X,X,X,O,X,X
TSZLJIO,O,O,X,X,X,O,X,X
TSZLJOI,O,O,X,X,X,O,X,X
TSZLOIJ,O,O,X,X,X,O,X,X
TSZLOJI,O,O,X,X,X,O,X,X
TSZJILO,O,O,X,X,X,O,X,X
TSZJIOL,X,O,X,X,X,O,X,X
TSZJLIO,O,O,X,X,X,O,X,X
TSZJLOI,O,O,X,X,X,O,X,X
TSZJOIL,X,O,X,X,O,O,X,X
TSZJOLI,O,O,X,X,O,O,X,X
TSZOILJ,O,O,X,X,X,O,X,X
TSZOIJL,X,O,X,X,O,O,X,X
TSZOLIJ,O,O,X,X,X,O,X,X
TSZOLJI,O,O,X,X,X,O,X,X
TSZOJIL,X,O,X,X,O,O,X,X
TSZOJLI,O,O,X,X,O,O,X,X
TSOILJZ,O,O,X,O,X,X,X,X
TSOILZJ,O,O,X,X,X,X,X,X
TSOIJLZ,O,O,X,O,X,X,X,X
TSOIJZL,X,O,X,X,O,X,X,X
TSOIZLJ,O,O,X,X,X,X,X,X
TSOIZJL,O,O,X,X,O,X,X,X
TSOLIJZ,O,O,X,O,X,X,X,X
TSOLIZJ,O,O,X,X,X,X,X,X
TSOLJIZ,O,O,X,O,X,X,X,X
TSOLJZI,O,O,X,O,X,X,X,X
TSOLZIJ,O,O,X,X,X,X,X,X
TSOLZJI,O,O,X,X,X,X,X,X
TSOJILZ,O,O,X,X,X,X,X,X
TSOJIZL,X,O,X,X,O,X,X,X
TSOJLIZ,O,O,X,X,X,X,X,X
TSOJLZI,O,O,X,X,X,X,X,X
TSOJZIL,X,O,X,X,O,X,X,O
TSOJZLI,X,O,X,X,O,X,X,O
TSOZILJ,O,O,X,X,X,X,X,X
TSOZIJL,X,O,X,X,O,X,X,X
TSOZLIJ,O,O,X,X,X,X,X,X
TSOZLJI,O,O,X,X,X,X,X,X
TSOZJIL,X,O,X,X,O,X,X,X
TSOZJLI,O,O,X,X,O,X,X,X
TZILJSO,O,X,O,O,X,O,O,X
TZILJOS,O,X,O,O,X,X,X,X
TZILSJO,O,O,O,X,X,O,O,X
TZILSOJ,O,O,O,X,X,O,O,X
TZILOJS,O,X,O,O,X,O,X,X
TZILOSJ,O,O,X,X,X,O,X,X
TZIJLSO,O,X,O,O,X,O,O,X
TZIJLOS,O,X,O,O,X,X,X,X
TZIJSLO,O,O,O,X,X,O,O,X
TZIJSOL,O,O,O,X,O,O,O,X
TZIJOLS,O,X,O,O,X,X,X,X
TZIJOSL,O,O,O,X,O,X,X,X
TZISLJO,O,O,O,X,X,O,O,X
TZISLOJ,O,O,O,X,X,O,O,X
TZISJLO,O,O,O,X,X,O,O,X
TZISJOL,O,O,O,X,O,O,O,X
TZISOLJ,O,O,O,X,X,O,O,X
TZISOJL,O,O,O,X,O,O,O,X
TZIOLJS,O,X,O,O,X,O,X,X
TZIOLSJ,O,O,X,X,X,O,X,X
TZIOJLS,O,X,O,O,X,O,X,X
TZIOJSL,O,O,O,X,O,O,X,X
TZIOSLJ,O,O,O,X,X,O,X,X
TZIOSJL,O,O,O,X,O,O,X,X
TZLIJSO,O,X,O,O,X,O,O,X
TZLIJOS,O,X,O,O,X,X,X,X
TZLISJO,O,O,O,X,X,O,O,X
TZLISOJ,O,O,O,X,X,O,O,X
TZLIOJS,O,X,O,O,X,O,X,X
TZLIOSJ,O,O,X,X,X,O,X,X
TZLJISO,O,X,O,O,X,O,O,X
TZLJIOS,O,X,O,O,X,X,X,X
TZLJSIO,O,X,O,O,X,O,O,X
TZLJSOI,O,X,O,O,X,O,O,X
TZLJOIS,O,X,O,O,X,O,X,X
TZLJOSI,O,X,O,O,X,O,O,X
TZLSIJO,O,O,O,X,X,O,O,X
TZLSIOJ,O,O,O,X,X,O,O,X
TZLSJIO,O,O,O,X,X,O,O,X
TZLSJOI,O,O,O,X,X,O,O,X
TZLSOIJ,O,O,O,X,X,O,O,X
TZLSOJI,O,O,O,X,X,O,O,X
TZLOIJS,O,X,O,O,X,O,X,X
TZLOISJ,O,O,X,X,X,O,X,X
TZLOJIS,O,X,O,O,X,O,X,X
TZLOJSI,O,X,O,O,X,O,O,X
TZLOSIJ,O,O,O,X,X,O,O,X
TZLOSJI,O,O,O,X,X,O,O,X
TZJILSO,O,X,O,X,X,O,O,X
TZJILOS,O,X,O,X,X,X,X,X
TZJISLO,O,O,O,X,X,O,O,X
TZJISOL,X,O,O,X,X,O,O,X
TZJIOLS,X,X,O,X,X,X,X,X
TZJIOSL,X,O,O,X,X,X,X,X
TZJLISO,O,X,O,X,X,O,O,X
TZJLIOS,O,X,O,X,X,X,X,X
TZJLSIO,O,X,O,X,X,O,O,X
TZJLSOI,O,X,O,X,X,O,O,X
TZJLOIS,O,X,O,X,X,O,X,X
TZJLOSI,O,X,O,X,X,O,O,X
TZJSILO,O,O,O,X,X,O,O,X
TZJSIOL,X,O,O,X,X,O,O,X
TZJSLIO,O,O,O,X,X,O,O,X
TZJSLOI,O,O,O,X,X,O,O,X
TZJSOIL,X,O,O,X,O,O,O,X
TZJSOLI,O,O,O,X,O,O,O,X
TZJOILS,X,X,O,X,X,O,X,X
TZJOISL,X,O,O,X,X,O,X,X
TZJOLIS,O,X,O,X,X,O,X,X
TZJOLSI,O,X,O,X,X,O,O,X
TZJOSIL,X,O,O,X,O,O,O,X
TZJOSLI,O,O,O,X,O,O,O,X
TZSILJO,O,O,O,X,X,O,O,X
