sequence,v115@EhC8IeA8CeA8DeD8EeC8JeOEJvhF0gBzkBRnBlmByv?BXsB,v115@EhC8IeA8CeA8DeD8EeC8JeOEJvhF0gBzkBfsBlnBim?BxvB,v115@EhC8IeA8CeA8DeD8EeC8Jex/IvhFmhBTkBKqB3nB0r?BFrB,v115@EhC8IeA8CeA8DeD8EeC8JeOEJvhFTgBfqB0mBlnBim?BRwB,v115@EhC8IeA8CeA8DeD8EeC8Jei/IvhFRhB1pBUmB3nB2v?BzrB,v115@EhC8IeA8CeA8DeD8EeC8Jel/IvhFRhB2pB3nB0rBTq?BirB,v115@EhC8IeA8CeA8DeD8EeC8Je0AJvhFmkBRnBTkBlmByv?BXsB,v115@EhC8IeA8CeA8DeD8EeC8Jel/IvhFUhB2pBxrBTqBis?B3rB,v115@EhC8IeA8CeA8DeD8EeC8JeT/IvhFRhBlnBmpBirB/q?B0rB,v115@EhC8IeA8CeA8DeD8EeC8JeKEJvhFzfBfmBRnBVsB2v?B0rB,v115@EhC8IeA8CeA8DeD8EeC8JeKEJvhFRhBFlB3nBTrBmr?BUqB,v115@EhC8IeA8CeA8DeD8EeC8Je0/IvhFVmB2pBxrBisBTq?B3rB
TILOJZS,O,O,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,O,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,O,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,O,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,O,X,X,X,X,O,X,X,O
TIJLSOZ,X,X,X,O,X,X,X,O,O,O,X,X
TIJLZSO,X,X,X,O,X,X,X,X,O,X,X,O
TIJLZOS,X,X,X,X,X,X,X,O,O,X,X,O
TIJLOSZ,X,X,X,X,X,X,X,O,O,O,X,X
TIJLOZS,X,X,X,X,X,X,X,O,O,X,X,O
TIJSLZO,X,X,X,O,X,X,X,X,X,X,X,O
TIJSLOZ,X,X,X,O,X,X,X,O,X,O,X,X
TIJSZLO,X,X,X,O,X,X,X,X,X,X,X,O
TIJSZOL,X,O,X,O,X,X,X,X,X,X,X,X
TIJSOLZ,X,O,X,O,X,X,X,O,X,X,X,X
TIJSOZL,X,O,X,O,X,X,X,O,X,X,X,X
TIJZLSO,X,X,X,O,X,X,X,X,X,X,X,O
TIJZLOS,X,X,X,X,X,X,X,O,X,X,X,O
TIJZSLO,X,X,X,O,X,X,X,X,X,X,X,O
TIJZSOL,X,O,X,O,X,X,X,X,X,X,X,X
TIJZOLS,X,O,X,X,X,X,X,O,X,X,X,O
TIJZOSL,X,O,X,O,X,X,X,O,X,X,X,X
TIJOLSZ,X,O,X,X,X,X,X,O,O,X,X,X
TIJOLZS,X,O,X,X,X,X,X,O,O,X,X,O
TIJOSLZ,X,O,X,O,X,X,X,O,X,X,X,X
TIJOSZL,X,O,X,O,X,X,X,O,X,X,X,X
TIJOZLS,X,O,X,X,X,X,X,O,X,X,X,O
TIJOZSL,X,O,X,O,X,X,X,O,X,X,X,X
TISLJZO,X,X,X,O,X,X,O,X,X,X,X,X
TISLJOZ,X,X,X,O,X,X,X,X,X,X,X,X
TISLZJO,X,X,X,O,O,X,O,X,X,X,X,X
TISLZOJ,O,O,X,O,O,X,X,X,X,X,X,X
TISLOJZ,O,O,X,O,X,X,X,X,X,X,X,X
TISLOZJ,O,O,X,O,X,X,X,X,X,X,X,X
TISJLZO,X,X,X,O,X,X,X,X,X,X,X,O
TISJLOZ,X,X,X,O,X,X,X,X,X,X,X,X
TISJZLO,X,X,X,O,X,X,X,X,X,X,X,O
TISJZOL,X,O,X,O,X,X,X,X,X,X,X,X
TISJOLZ,X,O,X,O,X,X,X,X,X,X,X,X
TISJOZL,X,O,X,O,X,X,X,X,X,X,X,X
TISZLJO,X,X,X,O,O,X,O,X,X,X,X,X
TISZLOJ,O,O,X,O,O,X,X,X,X,X,X,X
TISZJLO,X,X,X,O,O,X,X,X,X,X,X,X
TISZJOL,X,O,X,O,O,X,X,X,X,X,X,X
TISZOLJ,X,O,X,O,O,X,X,X,X,X,X,X
TISZOJL,O,O,X,O,O,X,X,X,X,X,X,X
TISOLJZ,O,O,X,O,X,X,X,X,X,X,X,X
TISOLZJ,O,O,X,O,X,X,X,X,X,X,X,X
TISOJLZ,O,O,X,O,X,X,X,X,X,X,X,X
TISOJZL,O,O,X,O,X,X,X,X,X,X,X,X
TISOZLJ,X,O,X,O,X,X,X,X,X,X,X,X
TISOZJL,O,O,X,O,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,O,O,X,O,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,O,X,X,X,X,X
TIZLSJO,X,X,X,O,O,X,X,X,X,X,X,X
TIZLSOJ,X,O,X,O,O,X,X,X,X,X,X,X
TIZLOJS,O,O,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,O,X,X,O,X,X,X,X,X,X,X
TIZJLSO,X,X,X,O,O,X,X,X,X,X,X,O
TIZJLOS,X,X,X,X,X,X,X,X,X,X,X,O
TIZJSLO,X,X,X,O,X,X,X,X,X,X,X,O
TIZJSOL,X,O,X,O,X,X,X,X,X,X,X,X
TIZJOLS,X,O,X,X,X,X,X,X,X,X,X,O
TIZJOSL,X,O,X,O,X,X,X,X,X,X,X,X
TIZSLJO,X,X,X,O,O,X,X,X,X,X,X,X
TIZSLOJ,X,O,X,O,O,X,X,X,X,X,X,X
TIZSJLO,X,X,X,O,O,X,X,X,X,X,X,X
TIZSJOL,X,O,X,O,O,X,X,X,X,X,X,X
TIZSOLJ,X,O,X,O,O,X,X,X,X,X,X,X
TIZSOJL,X,O,X,O,O,X,X,X,X,X,X,X
TIZOLJS,X,O,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,X,O,X,X,X,X,X,X,X
TIZOJLS,O,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,O,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,X,O,X,O,X,X,X,X,X,X,X,X
TIZOSJL,X,O,X,O,X,X,X,X,X,X,X,X
TIOLJSZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,O,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZJS,O,O,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,O,X,X,X,X,X,X,X,X,X,O
TIOJSLZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOJSZL,O,O,X,O,X,X,X,X,X,X,X,X
TIOJZLS,O,O,X,X,X,X,X,X,X,X,X,O
TIOJZSL,O,O,X,O,X,X,X,X,X,X,X,X
TIOSLJZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,X,O,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOSJZL,O,O,X,O,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,X,O,X,X,X,X,X,X,X,X
TIOSZJL,O,O,X,O,X,X,X,X,X,X,X,X
TIOZLJS,X,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,O,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,X,O,X,O,X,X,X,X,X,X,X,X
TIOZSJL,X,O,X,O,X,X,X,X,X,X,X,X
TLIJSZO,X,X,X,O,X,X,X,X,O,X,X,O
TLIJSOZ,X,X,X,O,X,X,X,X,O,O,X,X
TLIJZSO,X,X,X,O,X,X,O,X,O,X,X,O
TLIJZOS,X,X,X,X,X,X,O,X,O,X,X,O
TLIJOSZ,X,X,X,X,X,X,X,X,O,O,X,X
TLIJOZS,X,X,X,X,X,X,X,X,O,X,X,O
TLISJZO,X,X,O,O,X,X,X,X,X,X,X,X
TLISJOZ,X,X,O,O,X,X,X,X,X,X,X,X
TLISZJO,X,X,O,O,O,X,X,X,X,X,X,X
TLISZOJ,X,O,X,O,O,X,X,X,X,X,X,X
TLISOJZ,X,O,X,O,X,X,X,X,X,X,O,X
TLISOZJ,X,O,X,O,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,O,O,X,O,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,O,X,X,X,X,X
TLIZSJO,X,X,O,O,O,X,X,X,X,X,X,X
TLIZSOJ,X,O,X,O,O,X,X,X,X,X,X,X
TLIZOJS,O,O,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,O,X,X,O,X,X,X,X,X,X,X
TLIOJSZ,X,O,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,O,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,X,X,X,X,X,X,X,X,O,X
TLIOSZJ,X,O,X,X,X,X,X,X,X,X,X,X
TLIOZJS,O,O,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,O,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,O,X,X,X,X,O,X,X,O
TLJISOZ,X,X,X,O,X,X,X,X,O,O,X,X
TLJIZSO,X,X,X,O,X,X,O,X,O,X,X,O
TLJIZOS,X,X,X,X,X,X,O,X,O,X,X,O
TLJIOSZ,X,X,X,X,X,X,X,X,O,O,X,X
TLJIOZS,X,X,X,X,X,X,X,X,O,X,X,O
TLJSIZO,X,X,X,X,X,X,O,X,O,X,X,X
TLJSIOZ,X,X,X,X,X,X,X,X,O,O,X,X
TLJSZIO,X,X,X,X,O,X,O,X,O,X,X,X
TLJSZOI,X,X,X,X,O,X,X,X,O,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,X,O,O,O,X
TLJSOZI,X,X,X,X,X,X,X,X,O,X,O,X
TLJZISO,X,X,X,X,O,X,O,X,O,X,X,O
TLJZIOS,X,X,X,X,X,X,O,X,O,X,X,O
TLJZSIO,X,X,X,X,O,X,O,X,O,X,X,X
TLJZSOI,X,X,X,X,O,X,X,X,O,X,X,X
TLJZOIS,X,X,X,X,X,X,X,X,O,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,O,X,X,X
TLJOISZ,X,X,X,X,X,X,X,X,O,O,X,X
TLJOIZS,X,X,X,X,X,X,X,X,O,X,X,X
TLJOSIZ,X,X,X,X,X,X,X,X,O,O,O,X
TLJOSZI,X,X,X,X,X,X,X,X,O,X,O,X
TLJOZIS,X,X,X,X,X,X,X,X,O,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,O,X,X,X
TLSIJZO,X,X,O,X,X,X,O,X,X,X,X,X
TLSIJOZ,X,X,O,X,X,X,X,X,X,X,X,X
TLSIZJO,X,X,O,X,O,X,O,X,X,X,X,X
TLSIZOJ,O,O,X,X,O,X,X,X,X,X,X,X
TLSIOJZ,O,O,X,X,X,X,X,X,X,X,O,X
TLSIOZJ,O,O,X,X,X,X,X,X,X,X,X,X
TLSJIZO,X,X,O,X,X,X,O,X,O,X,X,X
TLSJIOZ,X,X,O,X,X,X,X,X,O,X,X,X
TLSJZIO,X,X,X,X,O,X,O,X,O,X,X,X
TLSJZOI,X,X,X,X,O,X,X,X,O,X,X,X
TLSJOIZ,X,X,O,X,X,X,X,X,O,X,O,X
TLSJOZI,X,X,X,X,X,X,X,X,O,X,O,X
TLSZIJO,X,X,O,X,O,X,O,X,X,X,X,X
TLSZIOJ,O,X,X,X,O,X,X,X,X,X,X,X
TLSZJIO,X,X,O,X,O,X,O,X,X,X,X,X
TLSZJOI,X,X,O,X,O,X,X,X,X,X,X,X
TLSZOIJ,O,X,O,X,O,X,X,X,X,X,X,X
TLSZOJI,O,O,O,X,O,X,X,X,X,X,O,X
TLSOIJZ,O,X,O,X,X,X,X,X,X,X,O,X
TLSOIZJ,O,X,O,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,X,O,X,X,X,X,X,X,X,O,X
TLSOJZI,O,O,X,X,X,X,X,X,X,X,O,X
TLSOZIJ,O,X,O,X,O,X,X,X,X,X,X,X
TLSOZJI,O,O,O,X,O,X,X,X,X,X,O,X
TLZIJSO,X,X,X,X,O,X,O,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,O,X,X,X,X,X
TLZISJO,X,X,O,X,O,X,X,X,X,X,X,X
TLZISOJ,X,O,X,X,O,X,X,X,X,X,X,X
TLZIOJS,O,O,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,O,X,X,O,X,X,X,X,X,X,X
TLZJISO,X,X,X,X,O,X,O,X,O,X,X,X
TLZJIOS,X,X,X,X,X,X,O,X,O,X,X,X
TLZJSIO,X,X,X,X,O,X,O,X,O,X,X,X
TLZJSOI,X,X,X,X,O,X,X,X,O,X,X,X
TLZJOIS,X,X,X,X,X,X,X,X,O,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X,O,X,X,X
TLZSIJO,X,X,O,X,O,X,O,X,X,X,X,X
TLZSIOJ,O,X,X,X,O,X,X,X,X,X,X,X
TLZSJIO,X,X,O,X,O,X,O,X,X,X,X,X
TLZSJOI,X,X,O,X,O,X,X,X,X,X,X,X
TLZSOIJ,O,X,O,X,O,X,X,X,X,X,X,X
TLZSOJI,O,O,O,X,O,X,X,X,X,X,O,X
TLZOIJS,O,O,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,O,O,X,O,X,X,X,X,X,X,X
TLZOJIS,O,O,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,O,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,O,X,O,X,X,X,X,X,X,X
TLZOSJI,O,O,O,X,O,X,X,X,X,X,O,X
TLOIJSZ,X,O,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,O,X,X,X,X,X,X,X,X,X,X
TLOISJZ,X,O,O,X,X,X,X,X,X,X,O,X
TLOISZJ,X,O,O,X,X,X,X,X,X,X,X,X
TLOIZJS,O,O,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,O,O,X,X,X,X,X,X,X,X,X
TLOJISZ,X,O,X,X,X,X,X,X,O,O,X,X
TLOJIZS,O,O,X,X,X,X,X,X,O,X,X,X
TLOJSIZ,O,X,X,X,X,X,X,X,O,O,O,X
TLOJSZI,O,O,X,X,X,X,X,X,O,X,O,X
TLOJZIS,O,O,X,X,X,X,X,X,O,X,X,X
TLOJZSI,O,O,X,X,X,X,X,X,O,X,X,X
TLOSIJZ,O,X,O,X,X,X,X,X,X,X,O,X
TLOSIZJ,O,X,O,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,O,X,X,X,X,X,X,X,O,X
TLOSJZI,O,O,X,X,X,X,X,X,X,X,O,X
TLOSZIJ,O,X,O,X,O,X,X,X,X,X,X,X
TLOSZJI,O,O,O,X,O,X,X,X,X,X,O,X
TLOZIJS,O,O,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,O,O,X,O,X,X,X,X,X,X,X
TLOZJIS,O,O,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,O,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,X,O,X,O,X,X,X,X,X,X,X
TLOZSJI,O,O,O,X,O,X,X,X,X,X,O,X
TJILSZO,X,X,X,O,X,X,X,X,O,X,X,O
TJILSOZ,X,X,X,O,X,X,X,O,O,O,X,X
TJILZSO,X,X,X,O,X,X,X,X,O,X,X,O
TJILZOS,X,X,X,X,X,X,X,O,O,X,X,O
TJILOSZ,X,X,X,X,X,X,X,O,O,O,X,X
TJILOZS,X,X,X,X,X,X,X,O,O,X,X,O
TJISLZO,X,X,X,O,X,X,X,X,X,X,X,O
TJISLOZ,X,X,X,O,X,X,X,O,X,O,X,X
TJISZLO,X,X,X,O,X,O,X,X,X,X,X,O
TJISZOL,X,O,X,O,X,O,X,X,X,X,X,X
TJISOLZ,X,O,X,O,X,X,X,O,X,X,X,X
TJISOZL,X,O,X,O,X,X,X,O,X,X,X,X
TJIZLSO,X,X,X,O,X,X,X,X,X,X,X,O
TJIZLOS,X,X,X,X,X,X,X,O,X,X,X,O
TJIZSLO,X,X,X,O,X,O,X,X,X,X,X,O
TJIZSOL,X,O,X,O,X,O,X,X,X,X,X,X
TJIZOLS,X,O,X,X,X,X,X,O,X,X,X,O
TJIZOSL,X,O,X,O,X,X,X,O,X,X,X,X
TJIOLSZ,X,O,X,X,X,X,X,O,O,X,X,X
TJIOLZS,X,O,X,X,X,X,X,O,O,X,X,O
TJIOSLZ,X,O,X,O,X,X,X,O,X,X,X,X
TJIOSZL,X,O,X,O,X,X,X,O,X,X,X,X
TJIOZLS,X,O,X,X,X,X,X,O,X,X,X,O
TJIOZSL,X,O,X,O,X,X,X,O,X,X,X,X
TJLISZO,X,X,X,O,X,X,X,X,O,X,X,O
TJLISOZ,X,X,X,O,X,X,X,O,O,O,X,X
TJLIZSO,X,X,X,O,X,X,X,X,O,X,X,O
TJLIZOS,X,X,X,X,X,X,X,O,O,X,X,O
TJLIOSZ,X,X,X,X,X,X,X,O,O,O,X,X
TJLIOZS,X,X,X,X,X,X,X,O,O,X,X,O
TJLSIZO,X,X,X,X,X,X,X,X,O,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,X,O,O,X,X
TJLSZIO,X,X,X,X,O,O,X,X,O,X,X,X
TJLSZOI,X,X,X,X,O,O,X,X,O,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,X,O,O,X,X
TJLSOZI,X,X,X,X,X,X,X,X,O,X,X,X
TJLZISO,X,X,X,X,O,X,X,X,O,X,X,O
TJLZIOS,X,X,X,X,X,X,X,X,O,X,X,O
TJLZSIO,X,X,X,X,O,O,X,X,O,X,X,X
TJLZSOI,X,X,X,X,O,O,X,X,O,X,X,X
TJLZOIS,X,X,X,X,X,X,X,X,O,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,O,X,X,X
TJLOISZ,X,X,X,X,X,X,X,X,O,O,X,X
TJLOIZS,X,X,X,X,X,X,X,X,O,X,X,X
TJLOSIZ,X,X,X,X,X,X,X,X,O,O,X,X
TJLOSZI,X,X,X,X,X,X,X,X,O,X,X,X
TJLOZIS,X,X,X,X,X,X,X,X,O,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X,O,X,X,X
TJSILZO,X,X,X,O,X,X,X,X,X,X,X,O
TJSILOZ,X,X,X,O,X,X,X,O,X,O,X,X
TJSIZLO,X,X,X,O,X,O,X,X,X,X,X,O
TJSIZOL,X,O,X,O,X,O,X,X,X,X,X,X
TJSIOLZ,X,O,X,O,X,X,X,O,X,X,X,X
TJSIOZL,X,O,X,O,X,X,X,O,X,X,X,X
TJSLIZO,X,X,X,X,X,X,X,X,O,X,X,X
TJSLIOZ,X,X,X,X,X,X,X,X,O,O,X,X
TJSLZIO,X,X,X,X,O,O,X,X,O,X,X,X
TJSLZOI,X,X,X,X,O,O,X,X,O,X,X,X
TJSLOIZ,X,X,X,X,X,X,X,X,O,O,X,X
TJSLOZI,X,X,X,X,X,X,X,X,O,X,X,X
TJSZILO,X,X,X,X,O,O,X,X,X,X,X,O
TJSZIOL,X,X,X,X,O,O,X,X,X,X,X,X
TJSZLIO,X,X,X,X,O,O,X,X,X,X,X,X
TJSZLOI,X,X,X,X,O,O,X,X,X,X,X,X
TJSZOIL,X,O,X,X,O,O,X,X,X,X,X,X
TJSZOLI,X,O,X,X,O,O,X,X,X,X,X,X
TJSOILZ,X,X,X,O,X,X,X,X,X,X,X,X
TJSOIZL,X,O,X,O,X,X,X,X,X,X,X,X
TJSOLIZ,X,X,X,X,X,X,X,X,O,X,X,X
TJSOLZI,X,O,X,X,X,X,X,X,O,X,X,X
TJSOZIL,X,O,X,X,X,O,X,X,X,X,X,X
TJSOZLI,X,O,X,X,X,O,X,X,X,X,X,X
TJZILSO,X,X,X,O,O,X,X,X,X,X,X,O
TJZILOS,X,X,X,X,X,X,X,O,X,X,X,O
TJZISLO,X,X,X,O,X,O,X,X,X,X,X,O
TJZISOL,X,O,X,O,X,O,X,X,X,X,X,X
TJZIOLS,X,O,X,X,X,X,X,O,X,X,X,O
TJZIOSL,X,O,X,O,X,X,X,O,X,X,X,X
TJZLISO,X,X,X,X,O,X,X,X,O,X,X,O
TJZLIOS,X,X,X,X,X,X,X,X,O,X,X,O
TJZLSIO,X,X,X,X,O,O,X,X,O,X,X,X
TJZLSOI,X,X,X,X,O,O,X,X,O,X,X,X
TJZLOIS,X,X,X,X,X,X,X,X,O,X,X,X
TJZLOSI,X,X,X,X,X,X,X,X,O,X,X,X
TJZSILO,X,X,X,X,O,O,X,X,X,X,X,O
TJZSIOL,X,X,X,X,O,O,X,X,X,X,X,X
TJZSLIO,X,X,X,X,O,O,X,X,X,X,X,X
TJZSLOI,X,X,X,X,O,O,X,X,X,X,X,X
TJZSOIL,X,O,X,X,O,O,X,X,X,X,X,X
TJZSOLI,X,O,X,X,O,O,X,X,X,X,X,X
TJZOILS,X,O,X,X,X,X,X,X,X,X,X,O
TJZOISL,X,O,X,X,X,X,X,X,X,X,X,X
TJZOLIS,X,O,X,X,X,X,X,X,O,X,X,X
TJZOLSI,X,O,X,X,X,X,X,X,O,X,X,X
TJZOSIL,X,O,X,X,X,O,X,X,X,X,X,X
TJZOSLI,X,O,X,X,X,O,X,X,X,X,X,X
TJOILSZ,X,O,X,X,X,X,X,O,O,X,X,X
TJOILZS,X,O,X,X,X,X,X,O,O,X,X,O
TJOISLZ,X,O,X,O,X,X,X,O,X,X,X,X
TJOISZL,X,O,X,O,X,X,X,O,X,X,X,X
TJOIZLS,X,O,X,X,X,X,X,O,X,X,X,O
TJOIZSL,X,O,X,O,X,X,X,O,X,X,X,X
TJOLISZ,X,O,X,X,X,X,X,X,O,X,X,X
TJOLIZS,X,O,X,X,X,X,X,X,O,X,X,X
TJOLSIZ,X,X,X,X,X,X,X,X,O,X,X,X
TJOLSZI,X,O,X,X,X,X,X,X,O,X,X,X
TJOLZIS,X,O,X,X,X,X,X,X,O,X,X,X
TJOLZSI,X,O,X,X,X,X,X,X,O,X,X,X
TJOSILZ,X,O,X,X,X,X,X,X,X,X,X,X
TJOSIZL,X,O,X,X,X,X,X,X,X,X,X,X
TJOSLIZ,X,X,X,X,X,X,X,X,O,X,X,X
TJOSLZI,X,O,X,X,X,X,X,X,O,X,X,X
TJOSZIL,X,O,X,X,X,O,X,X,X,X,X,X
TJOSZLI,X,O,X,X,X,O,X,X,X,X,X,X
TJOZILS,X,O,X,X,X,X,X,X,X,X,X,O
TJOZISL,X,O,X,X,X,X,X,X,X,X,X,X
TJOZLIS,X,O,X,X,X,X,X,X,O,X,X,X
TJOZLSI,X,O,X,X,X,X,X,X,O,X,X,X
TJOZSIL,X,O,X,X,X,O,X,X,X,X,X,X
TJOZSLI,X,O,X,X,X,O,X,X,X,X,X,X
TSILJZO,X,X,X,O,X,X,O,X,X,X,X,X
TSILJOZ,X,X,X,O,X,X,X,X,X,X,X,X
TSILZJO,X,X,X,O,O,X,O,X,X,X,X,X
TSILZOJ,O,O,X,O,O,X,X,X,X,X,X,X
TSILOJZ,O,O,X,O,X,X,X,X,X,X,X,X
TSILOZJ,O,O,X,O,X,X,X,X,X,X,X,X
TSIJLZO,X,X,X,O,X,X,X,X,X,X,X,O
TSIJLOZ,X,X,X,O,X,X,X,X,X,X,X,X
TSIJZLO,X,X,X,O,X,X,X,X,X,X,X,O
TSIJZOL,X,O,X,O,X,X,X,X,X,X,X,X
TSIJOLZ,X,O,X,O,X,X,X,X,X,X,X,X
TSIJOZL,X,O,X,O,X,X,X,X,X,X,X,X
TSIZLJO,X,X,X,O,O,X,O,X,X,X,X,X
TSIZLOJ,O,O,X,O,O,X,X,X,X,X,X,X
TSIZJLO,X,X,X,O,O,X,X,X,X,X,X,X
TSIZJOL,X,O,X,O,O,X,X,X,X,X,X,X
TSIZOLJ,X,O,X,O,O,X,X,X,X,X,X,X
TSIZOJL,O,O,X,O,O,X,X,X,X,X,X,X
TSIOLJZ,O,O,X,O,X,X,X,X,X,X,X,X
TSIOLZJ,O,O,X,O,X,X,X,X,X,X,X,X
TSIOJLZ,O,O,X,O,X,X,X,X,X,X,X,X
TSIOJZL,O,O,X,O,X,X,X,X,X,X,X,X
TSIOZLJ,X,O,X,O,X,X,X,X,X,X,X,X
TSIOZJL,O,O,X,O,X,X,X,X,X,X,X,X
TSLIJZO,X,X,O,X,X,X,O,X,X,X,X,X
TSLIJOZ,X,X,O,X,X,X,X,X,X,X,X,X
TSLIZJO,X,X,O,X,O,X,O,X,X,X,X,X
TSLIZOJ,O,O,X,X,O,X,X,X,X,X,X,X
TSLIOJZ,O,O,X,X,X,X,X,X,X,X,O,X
TSLIOZJ,O,O,X,X,X,X,X,X,X,X,X,X
TSLJIZO,X,X,O,X,X,X,O,X,O,X,X,X
TSLJIOZ,X,X,O,X,X,X,X,X,O,X,X,X
TSLJZIO,X,X,X,X,O,X,O,X,O,X,X,X
TSLJZOI,X,X,X,X,O,X,X,X,O,X,X,X
TSLJOIZ,X,X,O,X,X,X,X,X,O,X,O,X
TSLJOZI,X,X,X,X,X,X,X,X,O,X,O,X
TSLZIJO,X,X,O,X,O,X,O,X,X,X,X,X
TSLZIOJ,O,X,X,X,O,X,X,X,X,X,X,X
