sequence,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBCjBTlB/rB8s?B+tB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgB3iB5oB9rBet?BUsB,v115@9gB8HeB8HeB8HeE8AeA8MeTAJvhFxhBXjByqBurB9t?B0sB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgBUiB5oB9rBet?B3sB,v115@9gB8HeB8HeB8HeE8AeA8MeOFJvhF8lBRiBSoB9rB/s?BTtB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBGjBTlB/rBCt?BUtB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBunBcoBTlB/r?BSyB,v115@9gB8HeB8HeB8HeE8AeA8MeTAJvhF2mBXjB9tBxqB0s?BCsB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgBUiB9rBxsBXt?BGtB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBTlB/rBGoBUt?BCtB,v115@9gB8HeB8HeB8HeE8AeA8MemAJvhF0iBTlBxrBXtBtr?B6tB,v115@9gB8HeB8HeB8HeE8AeA8Me2FJvhFRiBcoB9rBTnB3l?BSyB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBSoBTlB/rBUo?BWyB,v115@9gB8HeB8HeB8HeE8AeA8MeNFJvhF3hB5nB8rBOtBzl?B6tB,v115@9gB8HeB8HeB8HeE8AeA8MemAJvhFdoB5oBTlB3mB0s?BCsB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgB9rBxnBUnBXt?BGtB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFXjBTlBimB+tB8r?BtsB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgBRnBctB9rB/s?BGtB
TIZJSOL,X,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
TIZJOLS,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJOSL,X,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
TIZSLJO,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X
TIZSLOJ,X,X,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
TIZSJLO,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIZSJOL,X,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
TIZSOLJ,X,X,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
TIZSOJL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
TIZOLJS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
TIZOJLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
TIZOSLJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
TIZOSJL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
TIOLJSZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOLJZS,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TIOLSJZ,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOLZJS,X,O,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TIOJLSZ,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOJLZS,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOJSLZ,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X
TIOJZLS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOSLJZ,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TIOSLZJ,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TIOSJZL,O,X,X,X,O,X,X,O,X,O,O,X,O,X,O,X,X,X
TIOSZLJ,X,X,X,X,O,O,O,O,X,O,O,X,X,X,O,X,X,X
TIOSZJL,O,X,X,X,O,X,X,O,X,O,O,X,O,X,O,X,X,X
TIOZLJS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
TIOZJLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
TIOZSLJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
TIOZSJL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
TLIJSZO,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIJZSO,X,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TLIJZOS,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLIJOSZ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIJOZS,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLISJZO,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLISJOZ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
TLISZJO,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
TLISOJZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TLISOZJ,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TLIZJSO,X,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TLIZJOS,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLIZSJO,X,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TLIZSOJ,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLIZOJS,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLIZOSJ,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLIOJSZ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIOJZS,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLIOSJZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TLIOSZJ,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TLIOZJS,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLIOZSJ,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLJISZO,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJISOZ,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TLJIZSO,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLJIZOS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLJIOSZ,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TLJIOZS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLJSIZO,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
TLJSZIO,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
TLJSOIZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X
TLJSOZI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,O,X
TLJZISO,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLJZIOS,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLJZSIO,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TLJZSOI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
TLJZOIS,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLJZOSI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
TLJOISZ,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TLJOIZS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLJOSIZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X
TLJOSZI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,O,X
TLJOZIS,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLJOZSI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
TLSIJZO,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
TLSIZJO,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X
TLSIOJZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TLSIOZJ,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TLSJIZO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
TLSJZIO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
TLSJOIZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X
TLSJOZI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
TLSZIJO,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSZIOJ,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X
TLSZJIO,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,X,X,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLSZOIJ,X,X,O,X,O,O,O,X,O,O,X,O,X,X,X,O,X,X
TLSZOJI,X,X,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLSOIJZ,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X
TLSOIZJ,X,X,O,X,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TLSOJIZ,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X
TLSOJZI,O,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
TLSOZIJ,X,X,O,X,O,O,O,X,O,O,X,O,X,X,X,O,X,X
TLSOZJI,X,X,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLZIJSO,X,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TLZIJOS,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLZISJO,X,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TLZISOJ,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLZIOJS,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,O
TLZIOSJ,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O
TLZJISO,X,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TLZJIOS,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLZJSIO,X,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TLZJSOI,X,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLZJOIS,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLZJOSI,X,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLZSIJO,X,X,O,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X
TLZSIOJ,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X
TLZSJIO,X,X,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TLZSJOI,X,X,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLZSOIJ,X,X,O,X,O,O,O,X,O,O,X,O,X,X,X,O,X,X
TLZSOJI,X,X,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLZOIJS,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,O
TLZOISJ,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O
TLZOJIS,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLZOJSI,X,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLZOSIJ,X,X,O,X,O,O,O,X,O,O,X,O,X,X,X,O,X,X
TLZOSJI,X,X,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLOIJSZ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOIJZS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOISJZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TLOISZJ,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TLOIZJS,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLOIZSJ,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLOJISZ,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TLOJIZS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOJSIZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X
TLOJSZI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,O,X
TLOJZIS,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLOJZSI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
TLOSIJZ,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X
TLOSIZJ,X,X,O,X,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TLOSJIZ,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X
TLOSJZI,O,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
TLOSZIJ,X,X,O,X,O,O,O,X,O,O,X,O,X,X,X,O,X,X
TLOSZJI,X,X,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLOZIJS,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,O
TLOZISJ,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O
TLOZJIS,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLOZJSI,X,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLOZSIJ,X,X,O,X,O,O,O,X,O,O,X,O,X,X,X,O,X,X
TLOZSJI,X,X,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TJILSZO,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJILSOZ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TJILZSO,X,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TJILZOS,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TJILOSZ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TJILOZS,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TJISLZO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISLOZ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJISZLO,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJISZOL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJISOLZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJISOZL,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TJIZLSO,O,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TJIZLOS,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJIZSLO,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJIZSOL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJIZOLS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIZOSL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJIOLSZ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIOLZS,X,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJIOSLZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIOSZL,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TJIOZLS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIOZSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJLISZO,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJLISOZ,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TJLIZSO,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TJLIZOS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJLIOSZ,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TJLIOZS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJLSIZO,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
TJLSZIO,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLSZOI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
TJLSOIZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X
TJLSOZI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,O,X
