sequence,v115@EhB8IeA8AeA8EeC8AeB8DeC8KeT/IvhFigBUiB5oBF?qBXrBGrB,v115@EhB8IeA8AeA8EeC8AeB8DeC8KeT/IvhF/lBVnB5oBK?rBGmBUqB,v115@EhB8IeA8AeA8EeC8AeB8DeC8Ke/EJvhFVmBUiB5oBK?qBGlBTrB,v115@EhB8IeA8AeA8EeC8AeB8DeC8Ke/EJvhFzgBUiB5oB+?rBlqBaqB
TIZSJLO,O,O,X,O
TIZSJOL,O,O,X,O
TIZSOLJ,O,O,O,X
TIZSOJL,O,O,O,O
TIZOLJS,O,O,O,X
TIZOLSJ,O,O,O,X
TIZOJLS,O,O,O,O
TIZOJSL,O,O,O,O
TIZOSLJ,O,O,O,X
TIZOSJL,O,O,O,O
TIOLJSZ,O,X,O,O
TIOLJZS,O,O,O,O
TIOLSJZ,O,X,O,O
TIOLSZJ,O,O,O,X
TIOLZJS,O,O,O,X
TIOLZSJ,O,O,O,X
TIOJLSZ,O,X,O,O
TIOJLZS,O,O,O,O
TIOJSLZ,O,X,O,O
TIOJSZL,O,X,O,O
TIOJZLS,O,O,O,O
TIOJZSL,O,O,O,O
TIOSLJZ,O,X,O,O
TIOSLZJ,O,O,O,X
TIOSJLZ,O,X,O,O
TIOSJZL,O,X,O,O
TIOSZLJ,O,O,O,X
TIOSZJL,O,O,O,O
TIOZLJS,O,O,O,X
TIOZLSJ,O,O,O,X
TIOZJLS,O,O,O,O
TIOZJSL,O,O,O,O
TIOZSLJ,O,O,O,X
TIOZSJL,O,O,O,O
TLIJSZO,O,X,X,O
TLIJSOZ,O,X,X,O
TLIJZSO,X,O,X,O
TLIJZOS,O,O,X,O
TLIJOSZ,O,X,X,O
TLIJOZS,O,O,X,O
TLISJZO,O,X,X,O
TLISJOZ,O,X,X,O
TLISZJO,O,O,X,X
TLISZOJ,O,O,O,X
TLISOJZ,O,X,O,O
TLISOZJ,O,O,O,X
TLIZJSO,X,O,X,X
TLIZJOS,O,O,X,X
TLIZSJO,O,O,X,X
TLIZSOJ,O,O,O,X
TLIZOJS,O,O,O,X
TLIZOSJ,O,O,O,X
TLIOJSZ,O,X,O,O
TLIOJZS,O,O,O,O
TLIOSJZ,O,X,O,O
TLIOSZJ,O,O,O,X
TLIOZJS,O,O,O,X
TLIOZSJ,O,O,O,X
TLJISZO,O,X,X,O
TLJISOZ,O,X,X,O
TLJIZSO,X,O,X,O
TLJIZOS,O,O,X,O
TLJIOSZ,O,X,X,O
TLJIOZS,O,O,X,O
TLJSIZO,O,X,X,O
TLJSIOZ,O,X,X,O
TLJSZIO,O,X,X,O
TLJSZOI,O,X,X,O
TLJSOIZ,O,X,X,O
TLJSOZI,O,X,X,O
TLJZISO,X,O,X,O
TLJZIOS,O,O,X,O
TLJZSIO,X,O,X,O
TLJZSOI,X,O,X,O
TLJZOIS,O,O,X,O
TLJZOSI,X,O,X,O
TLJOISZ,O,X,X,O
TLJOIZS,O,O,X,O
TLJOSIZ,O,X,X,O
TLJOSZI,O,X,X,O
TLJOZIS,O,O,X,O
TLJOZSI,X,O,X,O
TLSIJZO,O,X,X,O
TLSIJOZ,O,X,X,O
TLSIZJO,O,O,X,X
TLSIZOJ,O,O,O,X
TLSIOJZ,O,X,O,O
TLSIOZJ,O,O,O,X
TLSJIZO,O,X,X,O
TLSJIOZ,O,X,X,O
TLSJZIO,O,X,X,O
TLSJZOI,O,X,X,O
TLSJOIZ,O,X,X,O
TLSJOZI,O,X,X,O
TLSZIJO,O,O,X,X
TLSZIOJ,O,O,O,X
TLSZJIO,O,O,X,X
TLSZJOI,O,O,X,X
TLSZOIJ,O,O,O,X
TLSZOJI,O,O,O,X
TLSOIJZ,O,X,O,O
TLSOIZJ,O,O,O,X
TLSOJIZ,O,X,O,O
TLSOJZI,O,X,O,O
TLSOZIJ,O,O,O,X
TLSOZJI,O,O,O,X
TLZIJSO,X,O,X,X
TLZIJOS,O,O,X,X
TLZISJO,O,O,X,X
TLZISOJ,O,O,O,X
TLZIOJS,O,O,O,X
TLZIOSJ,O,O,O,X
TLZJISO,X,O,X,X
TLZJIOS,O,O,X,X
TLZJSIO,X,O,X,X
TLZJSOI,X,O,X,X
TLZJOIS,O,O,X,X
TLZJOSI,X,O,X,X
TLZSIJO,O,O,X,X
TLZSIOJ,O,O,O,X
TLZSJIO,O,O,X,X
TLZSJOI,O,O,X,X
TLZSOIJ,O,O,O,X
TLZSOJI,O,O,O,X
TLZOIJS,O,O,O,X
TLZOISJ,O,O,O,X
TLZOJIS,O,O,O,X
TLZOJSI,X,O,O,X
TLZOSIJ,O,O,O,X
TLZOSJI,O,O,O,X
TLOIJSZ,O,X,O,O
TLOIJZS,O,O,O,O
TLOISJZ,O,X,O,O
TLOISZJ,O,O,O,X
TLOIZJS,O,O,O,X
TLOIZSJ,O,O,O,X
TLOJISZ,O,X,O,O
TLOJIZS,O,O,O,O
TLOJSIZ,O,X,O,O
TLOJSZI,O,X,O,O
TLOJZIS,O,O,O,O
TLOJZSI,X,O,O,O
TLOSIJZ,O,X,O,O
TLOSIZJ,O,O,O,X
TLOSJIZ,O,X,O,O
TLOSJZI,O,X,O,O
TLOSZIJ,O,O,O,X
TLOSZJI,O,O,O,X
TLOZIJS,O,O,O,X
TLOZISJ,O,O,O,X
TLOZJIS,O,O,O,X
TLOZJSI,X,O,O,X
TLOZSIJ,O,O,O,X
TLOZSJI,O,O,O,X
TJILSZO,O,X,X,O
TJILSOZ,O,X,X,O
TJILZSO,X,O,X,O
TJILZOS,O,O,X,O
TJILOSZ,O,X,X,O
TJILOZS,O,O,X,O
TJISLZO,O,X,X,O
TJISLOZ,O,X,X,O
TJISZLO,O,X,X,O
TJISZOL,O,X,X,O
TJISOLZ,O,X,X,O
TJISOZL,O,X,X,O
TJIZLSO,X,O,X,O
TJIZLOS,O,O,X,O
TJIZSLO,O,O,X,O
TJIZSOL,O,O,X,O
TJIZOLS,O,O,X,O
TJIZOSL,O,O,X,O
TJIOLSZ,O,X,X,O
TJIOLZS,O,O,X,O
TJIOSLZ,O,X,X,O
TJIOSZL,O,X,X,O
TJIOZLS,O,O,X,O
TJIOZSL,O,O,X,O
TJLISZO,O,X,X,O
TJLISOZ,O,X,X,O
TJLIZSO,X,O,X,O
TJLIZOS,O,O,X,O
TJLIOSZ,O,X,X,O
TJLIOZS,O,O,X,O
TJLSIZO,O,X,X,O
TJLSIOZ,O,X,X,O
TJLSZIO,O,X,X,O
TJLSZOI,O,X,X,O
TJLSOIZ,O,X,X,O
TJLSOZI,O,X,X,O
TJLZISO,X,O,X,O
TJLZIOS,O,O,X,O
TJLZSIO,X,O,X,O
TJLZSOI,X,O,X,O
TJLZOIS,O,O,X,O
TJLZOSI,X,O,X,O
TJLOISZ,O,X,X,O
TJLOIZS,O,O,X,O
TJLOSIZ,O,X,X,O
TJLOSZI,O,X,X,O
TJLOZIS,O,O,X,O
TJLOZSI,X,O,X,O
TJSILZO,O,X,X,O
TJSILOZ,O,X,X,O
TJSIZLO,O,X,X,O
TJSIZOL,O,X,X,O
TJSIOLZ,O,X,X,O
TJSIOZL,O,X,X,O
TJSLIZO,O,X,X,O
TJSLIOZ,O,X,X,O
TJSLZIO,O,X,X,O
TJSLZOI,O,X,X,O
TJSLOIZ,O,X,X,O
TJSLOZI,O,X,X,O
TJSZILO,O,X,X,O
TJSZIOL,O,X,X,O
TJSZLIO,O,X,X,O
TJSZLOI,O,X,X,O
TJSZOIL,O,X,X,O
TJSZOLI,O,X,X,O
TJSOILZ,O,X,X,O
TJSOIZL,O,X,X,O
TJSOLIZ,O,X,X,O
TJSOLZI,O,X,X,O
TJSOZIL,O,X,X,O
TJSOZLI,O,X,X,O
TJZILSO,X,O,X,O
TJZILOS,O,O,X,O
TJZISLO,O,O,X,O
TJZISOL,O,O,X,O
TJZIOLS,O,O,X,O
TJZIOSL,O,O,X,O
TJZLISO,X,O,X,O
TJZLIOS,O,O,X,O
TJZLSIO,X,O,X,O
TJZLSOI,X,O,X,O
TJZLOIS,O,O,X,O
TJZLOSI,X,O,X,O
TJZSILO,O,O,X,O
TJZSIOL,O,O,X,O
TJZSLIO,O,O,X,O
TJZSLOI,O,O,X,O
TJZSOIL,O,O,X,O
TJZSOLI,O,O,X,O
TJZOILS,O,O,X,O
TJZOISL,O,O,X,O
TJZOLIS,O,O,X,O
TJZOLSI,X,O,X,O
TJZOSIL,O,O,X,O
TJZOSLI,O,O,X,O
TJOILSZ,O,X,X,O
TJOILZS,O,O,X,O
TJOISLZ,O,X,X,O
TJOISZL,O,X,X,O
TJOIZLS,O,O,X,O
TJOIZSL,O,O,X,O
TJOLISZ,O,X,X,O
TJOLIZS,O,O,X,O
TJOLSIZ,O,X,X,O
TJOLSZI,O,X,X,O
TJOLZIS,O,O,X,O
TJOLZSI,X,O,X,O
TJOSILZ,O,X,X,O
TJOSIZL,O,X,X,O
TJOSLIZ,O,X,X,O
TJOSLZI,O,X,X,O
TJOSZIL,O,X,X,O
TJOSZLI,O,X,X,O
TJOZILS,O,O,X,O
TJOZISL,O,O,X,O
TJOZLIS,O,O,X,O
TJOZLSI,X,O,X,O
TJOZSIL,O,O,X,O
TJOZSLI,O,O,X,O
TSILJZO,O,X,X,O
TSILJOZ,O,X,X,O
TSILZJO,O,O,X,X
TSILZOJ,O,O,O,X
TSILOJZ,O,X,O,O
TSILOZJ,O,O,O,X
TSIJLZO,O,X,X,O
TSIJLOZ,O,X,X,O
TSIJZLO,O,X,X,O
TSIJZOL,O,X,X,O
TSIJOLZ,O,X,X,O
TSIJOZL,O,X,X,O
TSIZLJO,O,O,X,X
TSIZLOJ,O,O,O,X
TSIZJLO,O,O,X,O
TSIZJOL,O,O,X,O
TSIZOLJ,O,O,O,X
TSIZOJL,O,O,O,O
TSIOLJZ,O,X,O,O
TSIOLZJ,O,O,O,X
TSIOJLZ,O,X,O,O
TSIOJZL,O,X,O,O
TSIOZLJ,O,O,O,X
TSIOZJL,O,O,O,O
TSLIJZO,O,X,X,O
TSLIJOZ,O,X,X,O
TSLIZJO,O,O,X,X
TSLIZOJ,O,O,O,X
TSLIOJZ,O,X,O,O
TSLIOZJ,O,O,O,X
TSLJIZO,O,X,X,O
TSLJIOZ,O,X,X,O
TSLJZIO,O,X,X,O
TSLJZOI,O,X,X,O
TSLJOIZ,O,X,X,O
TSLJOZI,O,X,X,O
TSLZIJO,O,O,X,X
TSLZIOJ,O,O,O,X
TSLZJIO,O,O,X,X
TSLZJOI,O,O,X,X
TSLZOIJ,O,O,O,X
TSLZOJI,O,O,O,X
TSLOIJZ,O,X,O,O
TSLOIZJ,O,O,O,X
TSLOJIZ,O,X,O,O
TSLOJZI,O,X,O,O
TSLOZIJ,O,O,O,X
TSLOZJI,O,O,O,X
TSJILZO,O,X,X,O
TSJILOZ,O,X,X,O
TSJIZLO,O,X,X,O
TSJIZOL,O,X,X,O
TSJIOLZ,O,X,X,O
TSJIOZL,O,X,X,O
TSJLIZO,O,X,X,O
TSJLIOZ,O,X,X,O
TSJLZIO,O,X,X,O
TSJLZOI,O,X,X,O
TSJLOIZ,O,X,X,O
TSJLOZI,O,X,X,O
TSJZILO,O,X,X,O
TSJZIOL,O,X,X,O
TSJZLIO,O,X,X,O
TSJZLOI,O,X,X,O
TSJZOIL,O,X,X,O
TSJZOLI,O,X,X,O
TSJOILZ,O,X,X,O
TSJOIZL,O,X,X,O
TSJOLIZ,O,X,X,O
TSJOLZI,O,X,X,O
TSJOZIL,O,X,X,O
TSJOZLI,O,X,X,O
TSZILJO,O,O,X,X
TSZILOJ,O,O,O,X
TSZIJLO,O,O,X,O
TSZIJOL,O,O,X,O
TSZIOLJ,O,O,O,X
TSZIOJL,O,O,O,O
TSZLIJO,O,O,X,X
TSZLIOJ,O,O,O,X
TSZLJIO,O,O,X,X
TSZLJOI,O,O,X,X
TSZLOIJ,O,O,O,X
TSZLOJI,O,O,O,X
TSZJILO,O,O,X,O
TSZJIOL,O,O,X,O
TSZJLIO,O,O,X,O
TSZJLOI,O,O,X,O
TSZJOIL,O,O,X,O
TSZJOLI,O,O,X,O
TSZOILJ,O,O,O,X
TSZOIJL,O,O,O,O
TSZOLIJ,O,O,O,X
TSZOLJI,O,O,O,X
TSZOJIL,O,O,O,O
TSZOJLI,O,O,O,O
TSOILJZ,O,X,O,O
TSOILZJ,O,O,O,X
TSOIJLZ,O,X,O,O
TSOIJZL,O,X,O,O
TSOIZLJ,O,O,O,X
TSOIZJL,O,O,O,O
TSOLIJZ,O,X,O,O
TSOLIZJ,O,O,O,X
TSOLJIZ,O,X,O,O
TSOLJZI,O,X,O,O
TSOLZIJ,O,O,O,X
TSOLZJI,O,O,O,X
TSOJILZ,O,X,O,O
TSOJIZL,O,X,O,O
TSOJLIZ,O,X,O,O
TSOJLZI,O,X,O,O
TSOJZIL,O,X,O,O
TSOJZLI,O,X,O,O
TSOZILJ,O,O,O,X
TSOZIJL,O,O,O,O
TSOZLIJ,O,O,O,X
TSOZLJI,O,O,O,X
TSOZJIL,O,O,O,O
TSOZJLI,O,O,O,O
TZILJSO,X,O,X,X
TZILJOS,O,O,X,X
TZILSJO,O,O,X,X
TZILSOJ,O,O,O,X
TZILOJS,O,O,O,X
TZILOSJ,O,O,O,X
TZIJLSO,X,O,X,O
TZIJLOS,O,O,X,O
TZIJSLO,O,O,X,O
TZIJSOL,O,O,X,O
TZIJOLS,O,O,X,O
TZIJOSL,O,O,X,O
TZISLJO,O,O,X,X
TZISLOJ,O,O,O,X
TZISJLO,O,O,X,O
TZISJOL,O,O,X,O
TZISOLJ,O,O,O,X
TZISOJL,O,O,O,O
TZIOLJS,O,O,O,X
TZIOLSJ,O,O,O,X
TZIOJLS,O,O,O,O
TZIOJSL,O,O,O,O
TZIOSLJ,O,O,O,X
TZIOSJL,O,O,O,O
TZLIJSO,X,O,X,X
TZLIJOS,O,O,X,X
TZLISJO,O,O,X,X
TZLISOJ,O,O,O,X
TZLIOJS,O,O,O,X
TZLIOSJ,O,O,O,X
TZLJISO,X,O,X,X
TZLJIOS,O,O,X,X
TZLJSIO,X,O,X,X
TZLJSOI,X,O,X,X
TZLJOIS,O,O,X,X
TZLJOSI,X,O,X,X
TZLSIJO,O,O,X,X
TZLSIOJ,O,O,O,X
TZLSJIO,O,O,X,X
TZLSJOI,O,O,X,X
TZLSOIJ,O,O,O,X
TZLSOJI,O,O,O,X
TZLOIJS,O,O,O,X
TZLOISJ,O,O,O,X
TZLOJIS,O,O,O,X
TZLOJSI,X,O,O,X
TZLOSIJ,O,O,O,X
TZLOSJI,O,O,O,X
TZJILSO,X,O,X,O
TZJILOS,O,O,X,O
TZJISLO,O,O,X,O
TZJISOL,O,O,X,O
TZJIOLS,O,O,X,O
TZJIOSL,O,O,X,O
TZJLISO,X,O,X,O
TZJLIOS,O,O,X,O
TZJLSIO,X,O,X,O
TZJLSOI,X,O,X,O
TZJLOIS,O,O,X,O
TZJLOSI,X,O,X,O
TZJSILO,O,O,X,O
TZJSIOL,O,O,X,O
TZJSLIO,O,O,X,O
TZJSLOI,O,O,X,O
TZJSOIL,O,O,X,O
TZJSOLI,O,O,X,O
TZJOILS,O,O,X,O
TZJOISL,O,O,X,O
TZJOLIS,O,O,X,O
TZJOLSI,X,O,X,O
TZJOSIL,O,O,X,O
TZJOSLI,O,O,X,O
TZSILJO,O,O,X,X
TZSILOJ,O,O,O,X
TZSIJLO,O,O,X,O
TZSIJOL,O,O,X,O
TZSIOLJ,O,O,O,X
TZSIOJL,O,O,O,O
TZSLIJO,O,O,X,X
TZSLIOJ,O,O,O,X
TZSLJIO,O,O,X,X
TZSLJOI,O,O,X,X
TZSLOIJ,O,O,O,X
TZSLOJI,O,O,O,X
TZSJILO,O,O,X,O
TZSJIOL,O,O,X,O
TZSJLIO,O,O,X,O
TZSJLOI,O,O,X,O
TZSJOIL,O,O,X,O
TZSJOLI,O,O,X,O
TZSOILJ,O,O,O,X
TZSOIJL,O,O,O,O
TZSOLIJ,O,O,O,X
TZSOLJI,O,O,O,X
TZSOJIL,O,O,O,O
TZSOJLI,O,O,O,O
TZOILJS,O,O,O,X
TZOILSJ,O,O,O,X
TZOIJLS,O,O,O,O
TZOIJSL,O,O,O,O
TZOISLJ,O,O,O,X
TZOISJL,O,O,O,O
TZOLIJS,O,O,O,X
TZOLISJ,O,O,O,X
TZOLJIS,O,O,O,X
TZOLJSI,X,O,O,X
TZOLSIJ,O,O,O,X
TZOLSJI,O,O,O,X
TZOJILS,O,O,O,O
TZOJISL,O,O,O,O
TZOJLIS,O,O,O,O
TZOJLSI,X,O,O,O
TZOJSIL,O,O,O,O
TZOJSLI,O,O,O,O
TZOSILJ,O,O,O,X
TZOSIJL,O,O,O,O
TZOSLIJ,O,O,O,X
TZOSLJI,O,O,O,X
TZOSJIL,O,O,O,O
TZOSJLI,O,O,O,O
TOILJSZ,O,X,O,O
TOILJZS,O,O,O,O
TOILSJZ,O,X,O,O
TOILSZJ,O,O,O,X
TOILZJS,O,O,O,X
TOILZSJ,O,O,O,X
TOIJLSZ,O,X,O,O
TOIJLZS,O,O,O,O
TOIJSLZ,O,X,O,O
TOIJSZL,O,X,O,O
TOIJZLS,O,O,O,O
TOIJZSL,O,O,O,O
TOISLJZ,O,X,O,O
TOISLZJ,O,O,O,X
TOISJLZ,O,X,O,O
TOISJZL,O,X,O,O
TOISZLJ,O,O,O,X
TOISZJL,O,O,O,O
TOIZLJS,O,O,O,X
TOIZLSJ,O,O,O,X
TOIZJLS,O,O,O,O
TOIZJSL,O,O,O,O
TOIZSLJ,O,O,O,X
TOIZSJL,O,O,O,O
TOLIJSZ,O,X,O,O
TOLIJZS,O,O,O,O
TOLISJZ,O,X,O,O
TOLISZJ,O,O,O,X
TOLIZJS,O,O,O,X
TOLIZSJ,O,O,O,X
TOLJISZ,O,X,O,O
TOLJIZS,O,O,O,O
TOLJSIZ,O,X,O,O
TOLJSZI,O,X,O,O
TOLJZIS,O,O,O,O
TOLJZSI,X,O,O,O
TOLSIJZ,O,X,O,O
TOLSIZJ,O,O,O,X
TOLSJIZ,O,X,O,O
TOLSJZI,O,X,O,O
TOLSZIJ,O,O,O,X
TOLSZJI,O,O,O,X
TOLZIJS,O,O,O,X
TOLZISJ,O,O,O,X
TOLZJIS,O,O,O,X
TOLZJSI,X,O,O,X
TOLZSIJ,O,O,O,X
TOLZSJI,O,O,O,X
TOJILSZ,O,X,O,O
TOJILZS,O,O,O,O
TOJISLZ,O,X,O,O
TOJISZL,O,X,O,O
TOJIZLS,O,O,O,O
TOJIZSL,O,O,O,O
TOJLISZ,O,X,O,O
TOJLIZS,O,O,O,O
TOJLSIZ,O,X,O,O
TOJLSZI,O,X,O,O
TOJLZIS,O,O,O,O
TOJLZSI,X,O,O,O
TOJSILZ,O,X,O,O
TOJSIZL,O,X,O,O
TOJSLIZ,O,X,O,O
TOJSLZI,O,X,O,O
TOJSZIL,O,X,O,O
TOJSZLI,O,X,O,O
TOJZILS,O,O,O,O
TOJZISL,O,O,O,O
TOJZLIS,O,O,O,O
TOJZLSI,X,O,O,O
TOJZSIL,O,O,O,O
TOJZSLI,O,O,O,O
TOSILJZ,O,X,O,O
TOSILZJ,O,O,O,X
TOSIJLZ,O,X,O,O
TOSIJZL,O,X,O,O
TOSIZLJ,O,O,O,X
TOSIZJL,O,O,O,O
TOSLIJZ,O,X,O,O
TOSLIZJ,O,O,O,X
TOSLJIZ,O,X,O,O
TOSLJZI,O,X,O,O
TOSLZIJ,O,O,O,X
TOSLZJI,O,O,O,X
TOSJILZ,O,X,O,O
TOSJIZL,O,X,O,O
TOSJLIZ,O,X,O,O
TOSJLZI,O,X,O,O
TOSJZIL,O,X,O,O
TOSJZLI,O,X,O,O
TOSZILJ,O,O,O,X
TOSZIJL,O,O,O,O
TOSZLIJ,O,O,O,X
TOSZLJI,O,O,O,X
TOSZJIL,O,O,O,O
TOSZJLI,O,O,O,O
TOZILJS,O,O,O,X
TOZILSJ,O,O,O,X
TOZIJLS,O,O,O,O
TOZIJSL,O,O,O,O
TOZISLJ,O,O,O,X
TOZISJL,O,O,O,O
TOZLIJS,O,O,O,X
TOZLISJ,O,O,O,X
TOZLJIS,O,O,O,X
TOZLJSI,X,O,O,X
TOZLSIJ,O,O,O,X
TOZLSJI,O,O,O,X
TOZJILS,O,O,O,O
TOZJISL,O,O,O,O
TOZJLIS,O,O,O,O
TOZJLSI,X,O,O,O
TOZJSIL,O,O,O,O
TOZJSLI,O,O,O,O
TOZSILJ,O,O,O,X
TOZSIJL,O,O,O,O
TOZSLIJ,O,O,O,X
TOZSLJI,O,O,O,X
TOZSJIL,O,O,O,O
TOZSJLI,O,O,O,O
ITLJSZO,O,X,X,O
ITLJSOZ,O,X,X,O
ITLJZSO,X,O,X,O
ITLJZOS,O,O,X,O
ITLJOSZ,O,X,X,O
ITLJOZS,O,O,X,O
ITLSJZO,O,X,X,O
ITLSJOZ,O,X,X,O
ITLSZJO,O,O,X,X
ITLSZOJ,O,O,O,X
ITLSOJZ,O,X,O,O
ITLSOZJ,O,O,O,X
ITLZJSO,X,O,X,X
ITLZJOS,O,O,X,X
ITLZSJO,O,O,X,X
ITLZSOJ,O,O,O,X
ITLZOJS,O,O,O,X
ITLZOSJ,O,O,O,X
ITLOJSZ,O,X,O,O
ITLOJZS,O,O,O,O
ITLOSJZ,O,X,O,O
ITLOSZJ,O,O,O,X
ITLOZJS,O,O,O,X
ITLOZSJ,O,O,O,X
ITJLSZO,O,X,X,O
ITJLSOZ,O,X,X,O
ITJLZSO,X,O,X,O
ITJLZOS,O,O,X,O
ITJLOSZ,O,X,X,O
ITJLOZS,O,O,X,O
ITJSLZO,O,X,X,O
ITJSLOZ,O,X,X,O
ITJSZLO,O,X,X,O
ITJSZOL,O,X,X,O
ITJSOLZ,O,X,X,O
ITJSOZL,O,X,X,O
ITJZLSO,X,O,X,O
ITJZLOS,O,O,X,O
ITJZSLO,O,O,X,O
ITJZSOL,O,O,X,O
ITJZOLS,O,O,X,O
ITJZOSL,O,O,X,O
ITJOLSZ,O,X,X,O
ITJOLZS,O,O,X,O
ITJOSLZ,O,X,X,O
ITJOSZL,O,X,X,O
ITJOZLS,O,O,X,O
ITJOZSL,O,O,X,O
ITSLJZO,O,X,X,O
ITSLJOZ,O,X,X,O
ITSLZJO,O,O,X,X
ITSLZOJ,O,O,O,X
ITSLOJZ,O,X,O,O
ITSLOZJ,O,O,O,X
ITSJLZO,O,X,X,O
ITSJLOZ,O,X,X,O
ITSJZLO,O,X,X,O
ITSJZOL,O,X,X,O
ITSJOLZ,O,X,X,O
ITSJOZL,O,X,X,O
ITSZLJO,O,O,X,X
ITSZLOJ,O,O,O,X
ITSZJLO,O,O,X,O
ITSZJOL,O,O,X,O
ITSZOLJ,O,O,O,X
ITSZOJL,O,O,O,O
ITSOLJZ,O,X,O,O
ITSOLZJ,O,O,O,X
ITSOJLZ,O,X,O,O
ITSOJZL,O,X,O,O
ITSOZLJ,O,O,O,X
ITSOZJL,O,O,O,O
ITZLJSO,X,O,X,X
ITZLJOS,O,O,X,X
ITZLSJO,O,O,X,X
ITZLSOJ,O,O,O,X
ITZLOJS,O,O,O,X
ITZLOSJ,O,O,O,X
ITZJLSO,X,O,X,O
ITZJLOS,O,O,X,O
ITZJSLO,O,O,X,O
ITZJSOL,O,O,X,O
ITZJOLS,O,O,X,O
ITZJOSL,O,O,X,O
ITZSLJO,O,O,X,X
ITZSLOJ,O,O,O,X
ITZSJLO,O,O,X,O
ITZSJOL,O,O,X,O
ITZSOLJ,O,O,O,X
ITZSOJL,O,O,O,O
ITZOLJS,O,O,O,X
ITZOLSJ,O,O,O,X
ITZOJLS,O,O,O,O
ITZOJSL,O,O,O,O
ITZOSLJ,O,O,O,X
ITZOSJL,O,O,O,O
ITOLJSZ,O,X,O,O
ITOLJZS,O,O,O,O
ITOLSJZ,O,X,O,O
ITOLSZJ,O,O,O,X
ITOLZJS,O,O,O,X
ITOLZSJ,O,O,O,X
ITOJLSZ,O,X,O,O
ITOJLZS,O,O,O,O
ITOJSLZ,O,X,O,O
ITOJSZL,O,X,O,O
ITOJZLS,O,O,O,O
ITOJZSL,O,O,O,O
ITOSLJZ,O,X,O,O
ITOSLZJ,O,O,O,X
ITOSJLZ,O,X,O,O
ITOSJZL,O,X,O,O
ITOSZLJ,O,O,O,X
ITOSZJL,O,O,O,O
ITOZLJS,O,O,O,X
ITOZLSJ,O,O,O,X
ITOZJLS,O,O,O,O
ITOZJSL,O,O,O,O
ITOZSLJ,O,O,O,X
ITOZSJL,O,O,O,O
