sequence,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThB/nBaoB5?oBUqBFrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThBxiB0nB6?tBFqBXrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThBynB5oB0?nBFqBXrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeXBJvhFiiB5oBcrBz?nBFqBGqB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeXBJvhFiiB5oBcrBz?nBGqBFqB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFxiBTmB0nB6?tBFqBXrB
TZSOJLI,O,O,O,O,X,O
TZOILJS,O,X,X,O,O,O
TZOILSJ,O,X,X,O,O,O
TZOIJLS,O,X,X,O,O,O
TZOIJSL,O,O,X,O,O,X
TZOISLJ,O,O,X,O,O,X
TZOISJL,O,O,X,O,X,X
TZOLIJS,O,O,X,O,O,O
TZOLISJ,O,O,X,O,O,O
TZOLJIS,O,O,X,O,O,O
TZOLJSI,O,O,X,O,O,O
TZOLSIJ,O,O,X,O,O,O
TZOLSJI,O,O,X,O,X,O
TZOJILS,O,X,X,O,O,O
TZOJISL,O,O,X,O,O,X
TZOJLIS,O,O,X,O,O,O
TZOJLSI,O,O,X,O,O,O
TZOJSIL,O,O,X,O,O,X
TZOJSLI,O,O,X,O,O,O
TZOSILJ,O,O,X,O,O,X
TZOSIJL,O,O,X,O,X,X
TZOSLIJ,O,O,X,O,O,O
TZOSLJI,O,O,X,O,X,O
TZOSJIL,O,O,X,O,X,X
TZOSJLI,O,O,X,O,X,O
TOILJSZ,O,X,O,X,X,X
TOILJZS,X,X,X,O,O,O
TOILSJZ,O,X,O,X,X,X
TOILSZJ,O,X,O,O,X,X
TOILZJS,X,X,X,O,O,O
TOILZSJ,X,X,X,O,O,O
TOIJLSZ,O,X,O,X,X,X
TOIJLZS,X,X,X,O,O,O
TOIJSLZ,O,X,X,X,X,X
TOIJSZL,O,X,X,X,X,X
TOIJZLS,X,X,X,O,O,O
TOIJZSL,O,X,X,O,O,X
TOISLJZ,O,X,O,X,X,X
TOISLZJ,O,X,O,O,X,X
TOISJLZ,O,X,O,X,X,X
TOISJZL,O,X,O,X,X,X
TOISZLJ,O,X,O,O,X,X
TOISZJL,O,X,O,O,X,X
TOIZLJS,X,X,X,O,O,O
TOIZLSJ,X,X,X,O,O,O
TOIZJLS,X,X,X,O,O,O
TOIZJSL,O,X,X,O,O,X
TOIZSLJ,O,X,X,O,O,X
TOIZSJL,O,X,X,O,X,X
TOLIJSZ,O,X,O,X,X,X
TOLIJZS,X,X,X,O,O,O
TOLISJZ,O,O,O,X,X,X
TOLISZJ,O,O,O,O,X,X
TOLIZJS,X,X,X,O,O,O
TOLIZSJ,X,X,X,O,O,O
TOLJISZ,O,X,O,X,X,X
TOLJIZS,X,X,X,O,O,O
TOLJSIZ,O,X,O,X,X,X
TOLJSZI,O,X,O,X,X,O
TOLJZIS,X,O,X,O,O,O
TOLJZSI,X,O,X,O,O,O
TOLSIJZ,O,O,O,X,X,X
TOLSIZJ,O,O,O,O,X,X
TOLSJIZ,O,O,O,X,X,X
TOLSJZI,O,O,O,X,X,O
TOLSZIJ,O,O,O,O,X,O
TOLSZJI,O,O,O,O,X,O
TOLZIJS,X,O,X,O,O,O
TOLZISJ,X,O,X,O,O,O
TOLZJIS,X,O,X,O,O,O
TOLZJSI,X,O,X,O,O,O
TOLZSIJ,X,O,X,O,O,O
TOLZSJI,X,O,X,O,X,O
