sequence,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThB/nBaoB5?oBUqBFrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThBxiB0nB6?tBFqBXrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThBynB5oB0?nBFqBXrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeXBJvhFiiB5oBcrBz?nBFqBGqB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeXBJvhFiiB5oBcrBz?nBGqBFqB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFxiBTmB0nB6?tBFqBXrB
IOTLSJZ,O,X,O,X,X,X
IOTLSZJ,O,X,O,O,X,X
IOTLZJS,X,X,X,O,O,X
IOTLZSJ,X,X,X,O,O,X
IOTJLSZ,O,X,O,X,X,X
IOTJLZS,X,X,X,O,O,X
IOTJSLZ,O,X,X,X,X,X
IOTJSZL,O,X,X,X,X,X
IOTJZLS,X,X,X,O,O,X
IOTJZSL,O,X,X,O,O,X
IOTSLJZ,O,X,O,X,X,X
IOTSLZJ,O,X,O,O,X,X
IOTSJLZ,O,X,O,X,X,X
IOTSJZL,O,X,O,X,X,X
IOTSZLJ,O,X,O,O,X,X
IOTSZJL,O,X,O,O,X,X
IOTZLJS,X,X,X,O,O,X
IOTZLSJ,X,X,X,O,O,X
IOTZJLS,X,X,X,O,O,X
IOTZJSL,O,X,X,O,O,X
IOTZSLJ,O,X,X,O,O,X
IOTZSJL,O,X,X,O,X,X
IOLTJSZ,X,X,O,X,X,X
IOLTJZS,X,X,X,O,O,X
IOLTSJZ,X,X,O,X,X,X
IOLTSZJ,X,X,O,O,X,X
IOLTZJS,X,X,X,O,O,X
IOLTZSJ,X,X,X,O,O,X
IOLJTSZ,X,X,O,X,X,X
IOLJTZS,X,X,X,O,O,X
IOLJSTZ,X,X,O,X,X,X
IOLJSZT,X,X,O,X,O,X
IOLJZTS,X,X,X,X,O,X
IOLJZST,X,X,X,O,O,X
IOLSTJZ,X,X,O,X,X,X
IOLSTZJ,X,X,X,O,X,X
IOLSJTZ,X,X,O,X,X,X
IOLSJZT,X,X,O,X,O,X
IOLSZTJ,X,X,X,O,O,X
IOLSZJT,X,X,O,O,O,X
IOLZTJS,X,X,X,O,O,X
IOLZTSJ,X,X,X,O,O,X
IOLZJTS,X,X,X,X,O,X
IOLZJST,X,X,X,O,O,X
IOLZSTJ,X,X,X,O,O,X
IOLZSJT,X,X,X,O,O,X
IOJTLSZ,O,X,O,X,X,X
IOJTLZS,X,X,X,O,O,X
IOJTSLZ,O,X,X,X,X,X
IOJTSZL,O,X,X,X,X,X
IOJTZLS,X,X,X,O,O,X
IOJTZSL,O,X,X,O,O,X
IOJLTSZ,X,X,O,X,X,X
IOJLTZS,X,X,X,O,O,X
IOJLSTZ,X,X,O,X,X,X
IOJLSZT,X,X,O,X,O,X
IOJLZTS,X,X,X,X,O,X
IOJLZST,X,X,X,O,O,X
IOJSTLZ,O,X,O,X,X,X
IOJSTZL,O,X,X,X,X,X
IOJSLTZ,O,X,O,X,X,X
IOJSLZT,O,X,O,X,O,X
IOJSZTL,O,X,X,X,O,X
IOJSZLT,O,X,O,X,O,X
IOJZTLS,O,X,X,X,O,X
IOJZTSL,O,X,X,X,O,X
IOJZLTS,X,X,X,X,O,X
IOJZLST,X,X,X,O,O,X
IOJZSTL,O,X,X,X,O,X
IOJZSLT,O,X,X,O,O,X
IOSTLJZ,O,X,O,X,X,X
IOSTLZJ,O,X,X,O,X,X
IOSTJLZ,O,X,O,X,X,X
IOSTJZL,O,X,X,X,X,X
IOSTZLJ,O,X,X,O,X,X
IOSTZJL,O,X,X,O,X,X
IOSLTJZ,O,X,O,X,X,X
IOSLTZJ,O,X,X,O,X,X
IOSLJTZ,O,X,O,X,X,X
IOSLJZT,O,X,O,X,O,X
IOSLZTJ,O,X,X,O,O,X
IOSLZJT,O,X,O,O,O,X
IOSJTLZ,O,X,O,X,X,X
IOSJTZL,O,X,X,X,X,X
IOSJLTZ,O,X,O,X,X,X
IOSJLZT,O,X,O,X,O,X
IOSJZTL,O,X,X,X,O,X
IOSJZLT,O,X,O,X,O,X
IOSZTLJ,O,X,X,O,O,X
IOSZTJL,O,X,X,X,X,X
IOSZLTJ,O,X,X,O,O,X
IOSZLJT,O,X,O,O,O,X
IOSZJTL,O,X,X,X,O,X
IOSZJLT,O,X,O,O,O,X
IOZTLJS,O,X,X,O,O,X
IOZTLSJ,O,X,X,O,O,X
IOZTJLS,O,X,X,O,O,X
IOZTJSL,O,X,X,O,O,X
IOZTSLJ,O,X,X,O,O,X
IOZTSJL,O,X,X,O,X,X
IOZLTJS,X,X,X,O,O,X
IOZLTSJ,X,X,X,O,O,X
IOZLJTS,X,X,X,X,O,X
IOZLJST,X,X,X,O,O,X
IOZLSTJ,X,X,X,O,O,X
IOZLSJT,X,X,X,O,O,X
IOZJTLS,O,X,X,X,O,X
IOZJTSL,O,X,X,X,O,X
IOZJLTS,X,X,X,X,O,X
IOZJLST,X,X,X,O,O,X
IOZJSTL,O,X,X,X,O,X
IOZJSLT,O,X,X,O,O,X
IOZSTLJ,O,X,X,O,O,X
IOZSTJL,O,X,X,X,X,X
IOZSLTJ,O,X,X,O,O,X
IOZSLJT,O,X,X,O,O,X
IOZSJTL,O,X,X,X,O,X
IOZSJLT,O,X,X,O,O,X
LTIJSZO,O,O,O,X,X,X
LTIJSOZ,O,O,O,X,X,X
LTIJZSO,X,O,O,X,X,O
LTIJZOS,X,O,X,X,X,O
LTIJOSZ,O,X,O,X,X,X
LTIJOZS,X,X,X,X,X,O
LTISJZO,O,O,O,X,X,X
LTISJOZ,O,O,O,X,X,X
LTISZJO,O,O,O,X,X,X
LTISZOJ,O,O,O,X,X,X
LTISOJZ,O,O,O,X,X,X
LTISOZJ,O,O,O,X,X,X
LTIZJSO,X,O,O,X,X,O
LTIZJOS,X,O,X,X,X,O
LTIZSJO,X,O,O,X,X,O
LTIZSOJ,X,O,O,O,X,O
LTIZOJS,X,O,X,O,X,O
LTIZOSJ,X,O,X,O,X,O
LTIOJSZ,O,X,O,X,X,X
LTIOJZS,X,X,X,O,X,O
LTIOSJZ,O,O,O,X,X,X
LTIOSZJ,O,O,O,O,X,X
LTIOZJS,X,X,X,O,X,O
LTIOZSJ,X,X,X,O,X,O
LTJISZO,O,O,O,X,X,X
LTJISOZ,O,O,O,X,X,X
LTJIZSO,X,O,O,X,X,O
LTJIZOS,X,O,X,X,X,O
LTJIOSZ,O,X,O,X,X,X
LTJIOZS,X,X,X,X,X,O
LTJSIZO,O,O,O,X,X,X
LTJSIOZ,O,O,O,X,X,X
LTJSZIO,O,O,O,X,X,O
LTJSZOI,O,O,O,X,X,O
LTJSOIZ,O,O,O,X,X,X
LTJSOZI,O,O,O,X,X,O
LTJZISO,X,O,O,X,X,O
LTJZIOS,X,O,X,X,X,O
LTJZSIO,X,O,O,X,X,O
LTJZSOI,X,O,O,X,X,O
LTJZOIS,X,O,X,X,X,O
LTJZOSI,X,O,X,X,X,O
LTJOISZ,O,X,O,X,X,X
LTJOIZS,X,X,X,X,X,O
LTJOSIZ,O,X,O,X,X,X
LTJOSZI,O,X,O,X,X,O
LTJOZIS,X,O,X,X,X,O
LTJOZSI,X,O,X,X,X,O
LTSIJZO,O,O,O,X,X,X
LTSIJOZ,O,O,O,X,X,X
LTSIZJO,O,O,O,X,X,X
LTSIZOJ,O,O,O,X,X,X
LTSIOJZ,O,O,O,X,X,X
LTSIOZJ,O,O,O,X,X,X
LTSJIZO,O,O,O,X,X,X
LTSJIOZ,O,O,O,X,X,X
LTSJZIO,O,O,O,X,X,O
LTSJZOI,O,O,O,X,X,O
LTSJOIZ,O,O,O,X,X,X
LTSJOZI,O,O,O,X,X,O
LTSZIJO,O,O,O,X,X,O
LTSZIOJ,O,O,O,X,X,O
LTSZJIO,O,O,O,X,X,O
LTSZJOI,O,O,O,X,X,O
LTSZOIJ,O,O,O,X,X,O
LTSZOJI,O,O,O,X,X,O
LTSOIJZ,O,O,O,X,X,X
LTSOIZJ,O,O,O,X,X,X
LTSOJIZ,O,O,O,X,X,X
LTSOJZI,O,O,O,X,X,O
LTSOZIJ,O,O,O,X,X,O
LTSOZJI,O,O,O,X,X,O
LTZIJSO,X,O,O,X,X,O
LTZIJOS,X,O,X,X,X,O
LTZISJO,X,O,O,X,X,O
LTZISOJ,X,O,O,O,X,O
LTZIOJS,X,O,X,O,X,O
LTZIOSJ,X,O,X,O,X,O
LTZJISO,X,O,O,X,X,O
LTZJIOS,X,O,X,X,X,O
LTZJSIO,X,O,O,X,X,O
LTZJSOI,X,O,O,X,X,O
LTZJOIS,X,O,X,X,X,O
LTZJOSI,X,O,X,X,X,O
LTZSIJO,X,O,O,X,X,O
LTZSIOJ,X,O,O,O,X,O
LTZSJIO,X,O,O,X,X,O
LTZSJOI,X,O,O,X,X,O
LTZSOIJ,X,O,O,O,X,O
LTZSOJI,X,O,O,O,X,O
LTZOIJS,X,O,X,O,X,O
LTZOISJ,X,O,X,O,X,O
LTZOJIS,X,O,X,O,X,O
LTZOJSI,X,O,X,O,X,O
LTZOSIJ,X,O,X,O,X,O
LTZOSJI,X,O,X,O,X,O
LTOIJSZ,O,X,O,X,X,X
LTOIJZS,X,X,X,O,X,O
LTOISJZ,O,O,O,X,X,X
LTOISZJ,O,O,O,O,X,X
LTOIZJS,X,X,X,O,X,O
LTOIZSJ,X,X,X,O,X,O
LTOJISZ,O,X,O,X,X,X
LTOJIZS,X,X,X,O,X,O
LTOJSIZ,O,X,O,X,X,X
LTOJSZI,O,X,O,X,X,O
LTOJZIS,X,O,X,O,X,O
LTOJZSI,X,O,X,O,X,O
LTOSIJZ,O,O,O,X,X,X
LTOSIZJ,O,O,O,O,X,X
LTOSJIZ,O,O,O,X,X,X
LTOSJZI,O,O,O,X,X,O
LTOSZIJ,O,O,O,O,X,O
LTOSZJI,O,O,O,O,X,O
LTOZIJS,X,O,X,O,X,O
LTOZISJ,X,O,X,O,X,O
LTOZJIS,X,O,X,O,X,O
LTOZJSI,X,O,X,O,X,O
LTOZSIJ,X,O,X,O,X,O
LTOZSJI,X,O,X,O,X,O
LITJSZO,O,O,O,X,X,X
LITJSOZ,O,O,O,X,X,X
LITJZSO,X,O,O,X,X,O
LITJZOS,X,O,X,X,X,O
LITJOSZ,O,X,O,X,X,X
LITJOZS,X,X,X,X,X,O
LITSJZO,O,O,O,X,X,X
LITSJOZ,O,O,O,X,X,X
LITSZJO,O,O,O,X,X,X
LITSZOJ,O,O,O,X,X,X
LITSOJZ,O,O,O,X,X,X
LITSOZJ,O,O,O,X,X,X
LITZJSO,X,O,O,X,X,O
LITZJOS,X,O,X,X,X,O
LITZSJO,X,O,O,X,X,O
LITZSOJ,X,O,O,O,X,O
LITZOJS,X,O,X,O,X,O
LITZOSJ,X,O,X,O,X,O
LITOJSZ,O,X,O,X,X,X
LITOJZS,X,X,X,O,X,O
LITOSJZ,O,O,O,X,X,X
LITOSZJ,O,O,O,O,X,X
LITOZJS,X,X,X,O,X,O
LITOZSJ,X,X,X,O,X,O
LIJTSZO,O,O,O,X,X,X
LIJTSOZ,O,O,O,X,X,X
LIJTZSO,X,O,O,X,X,O
LIJTZOS,X,O,X,X,X,O
LIJTOSZ,O,X,O,X,X,X
LIJTOZS,X,X,X,X,X,O
LIJSTZO,O,X,O,X,X,X
LIJSTOZ,O,O,O,X,X,X
LIJSZTO,O,O,X,X,X,X
LIJSZOT,O,O,O,X,X,X
LIJSOTZ,O,O,O,X,X,X
LIJSOZT,O,O,O,X,X,X
LIJZTSO,O,O,O,X,X,O
LIJZTOS,O,O,X,X,X,O
LIJZSTO,O,O,X,X,X,O
LIJZSOT,O,O,O,X,O,X
LIJZOTS,X,O,X,X,O,O
LIJZOST,X,O,X,X,O,X
LIJOTSZ,X,X,O,X,X,X
LIJOTZS,X,X,X,X,O,X
LIJOSTZ,X,O,O,X,X,X
LIJOSZT,X,O,O,X,O,X
LIJOZTS,X,X,X,X,O,X
LIJOZST,X,X,X,X,O,X
LISTJZO,O,O,O,X,X,X
LISTJOZ,O,O,O,X,X,X
LISTZJO,O,O,O,X,X,X
LISTZOJ,O,O,O,X,X,X
LISTOJZ,O,O,O,X,X,X
LISTOZJ,O,O,O,X,X,X
LISJTZO,O,X,O,X,X,X
LISJTOZ,O,O,O,X,X,X
LISJZTO,O,O,X,X,X,X
LISJZOT,O,O,O,X,X,X
LISJOTZ,O,O,O,X,X,X
LISJOZT,O,O,O,X,X,X
LISZTJO,O,O,X,X,X,X
LISZTOJ,O,O,X,X,X,X
LISZJTO,O,O,X,X,X,X
LISZJOT,O,O,O,X,X,X
LISZOTJ,O,O,X,X,X,X
LISZOJT,O,O,O,X,X,X
LISOTJZ,O,O,O,X,X,X
LISOTZJ,O,X,X,X,X,X
LISOJTZ,O,O,O,X,X,X
LISOJZT,O,O,O,X,X,X
LISOZTJ,O,O,X,X,X,X
LISOZJT,O,O,O,X,X,X
LIZTJSO,O,O,O,X,X,O
LIZTJOS,O,O,X,X,X,O
LIZTSJO,O,O,O,X,X,O
LIZTSOJ,O,O,O,X,X,O
LIZTOJS,O,O,X,X,X,O
LIZTOSJ,O,O,X,X,X,O
LIZJTSO,O,O,O,X,X,O
LIZJTOS,O,O,X,X,X,O
LIZJSTO,O,O,X,X,X,O
LIZJSOT,O,O,O,X,O,X
LIZJOTS,X,O,X,X,O,O
LIZJOST,X,O,X,X,O,X
LIZSTJO,O,O,X,X,X,O
LIZSTOJ,O,O,X,X,X,O
LIZSJTO,O,O,X,X,X,O
LIZSJOT,O,O,O,X,X,X
LIZSOTJ,O,O,X,O,O,X
LIZSOJT,O,O,O,O,O,X
LIZOTJS,X,O,X,X,O,O
LIZOTSJ,X,O,X,O,O,O
LIZOJTS,X,O,X,X,O,O
LIZOJST,X,O,X,O,O,X
LIZOSTJ,X,O,X,O,O,X
LIZOSJT,X,O,X,O,O,X
LIOTJSZ,X,X,O,X,X,X
LIOTJZS,X,X,X,O,O,X
LIOTSJZ,X,O,O,X,X,X
LIOTSZJ,X,O,O,O,X,X
LIOTZJS,X,X,X,O,O,X
LIOTZSJ,X,X,X,O,O,X
LIOJTSZ,X,X,O,X,X,X
LIOJTZS,X,X,X,O,O,X
LIOJSTZ,X,O,O,X,X,X
LIOJSZT,X,O,O,X,O,X
LIOJZTS,X,X,X,X,O,X
LIOJZST,X,X,X,O,O,X
LIOSTJZ,X,O,O,X,X,X
LIOSTZJ,X,X,X,O,X,X
LIOSJTZ,X,O,O,X,X,X
LIOSJZT,X,O,O,X,O,X
LIOSZTJ,X,X,X,O,O,X
LIOSZJT,X,O,O,O,O,X
LIOZTJS,X,X,X,O,O,X
LIOZTSJ,X,X,X,O,O,X
LIOZJTS,X,X,X,X,O,X
LIOZJST,X,X,X,O,O,X
LIOZSTJ,X,X,X,O,O,X
LIOZSJT,X,X,X,O,O,X
LJTISZO,O,O,O,X,X,X
LJTISOZ,O,O,O,X,X,X
LJTIZSO,X,O,O,X,X,O
LJTIZOS,X,O,X,X,X,O
LJTIOSZ,O,X,O,X,X,X
LJTIOZS,X,X,X,X,X,O
LJTSIZO,O,O,O,X,X,X
LJTSIOZ,O,O,O,X,X,X
LJTSZIO,O,O,O,X,X,O
LJTSZOI,O,O,O,X,X,O
LJTSOIZ,O,O,O,X,X,X
LJTSOZI,O,O,O,X,X,O
LJTZISO,X,O,O,X,X,O
LJTZIOS,X,O,X,X,X,O
LJTZSIO,X,O,O,X,X,O
LJTZSOI,X,O,O,X,X,O
LJTZOIS,X,O,X,X,X,O
LJTZOSI,X,O,X,X,X,O
LJTOISZ,O,X,O,X,X,X
LJTOIZS,X,X,X,X,X,O
LJTOSIZ,O,X,O,X,X,X
LJTOSZI,O,X,O,X,X,O
LJTOZIS,X,O,X,X,X,O
LJTOZSI,X,O,X,X,X,O
LJITSZO,O,O,O,X,X,X
LJITSOZ,O,O,O,X,X,X
LJITZSO,X,O,O,X,X,O
LJITZOS,X,O,X,X,X,O
LJITOSZ,O,X,O,X,X,X
LJITOZS,X,X,X,X,X,O
LJISTZO,O,X,O,X,X,X
LJISTOZ,O,O,O,X,X,X
LJISZTO,O,O,X,X,X,X
LJISZOT,O,O,O,X,X,X
LJISOTZ,O,O,O,X,X,X
LJISOZT,O,O,O,X,X,X
LJIZTSO,O,O,O,X,X,O
LJIZTOS,O,O,X,X,X,O
LJIZSTO,O,O,X,X,X,O
LJIZSOT,O,O,O,X,O,X
LJIZOTS,X,O,X,X,O,O
LJIZOST,X,O,X,X,O,X
LJIOTSZ,X,X,O,X,X,X
LJIOTZS,X,X,X,X,O,X
LJIOSTZ,X,O,O,X,X,X
LJIOSZT,X,O,O,X,O,X
LJIOZTS,X,X,X,X,O,X
LJIOZST,X,X,X,X,O,X
LJSTIZO,O,X,O,X,X,X
LJSTIOZ,O,O,O,X,X,X
LJSTZIO,O,O,O,X,X,O
LJSTZOI,O,O,O,X,X,O
LJSTOIZ,O,O,O,X,X,X
LJSTOZI,O,O,O,X,X,O
LJSITZO,O,X,O,X,X,X
LJSITOZ,O,O,O,X,X,X
LJSIZTO,O,O,X,X,X,X
LJSIZOT,O,O,O,X,X,X
LJSIOTZ,O,O,O,X,X,X
LJSIOZT,O,O,O,X,X,X
LJSZTIO,O,O,X,X,X,O
LJSZTOI,O,O,X,X,X,O
LJSZITO,O,O,X,X,X,O
LJSZIOT,O,O,O,X,X,X
LJSZOTI,O,O,X,X,X,X
LJSZOIT,O,O,O,X,X,X
LJSOTIZ,O,O,O,X,X,X
LJSOTZI,O,O,X,X,X,X
LJSOITZ,O,O,O,X,X,X
LJSOIZT,O,O,O,X,X,X
LJSOZTI,O,O,X,X,X,X
LJSOZIT,O,O,O,X,X,X
LJZTISO,O,O,O,X,X,O
LJZTIOS,O,O,X,X,X,O
LJZTSIO,O,O,O,X,X,O
LJZTSOI,O,O,O,X,X,O
LJZTOIS,O,O,X,X,X,O
LJZTOSI,O,O,X,X,X,O
LJZITSO,O,O,O,X,X,O
LJZITOS,O,O,X,X,X,O
LJZISTO,O,O,X,X,X,O
LJZISOT,O,O,O,X,O,X
LJZIOTS,X,O,X,X,O,O
LJZIOST,X,O,X,X,O,X
LJZSTIO,O,O,X,X,X,O
LJZSTOI,O,O,X,X,X,O
LJZSITO,O,O,X,X,X,O
LJZSIOT,O,O,O,X,O,X
LJZSOTI,O,O,X,X,O,X
LJZSOIT,O,O,O,X,O,X
LJZOTIS,X,O,X,X,O,O
LJZOTSI,X,O,X,X,O,O
LJZOITS,X,O,X,X,O,O
LJZOIST,X,O,X,X,O,X
LJZOSTI,X,O,X,X,O,X
LJZOSIT,X,O,X,X,O,X
LJOTISZ,X,X,O,X,X,X
LJOTIZS,X,X,X,X,O,O
LJOTSIZ,X,X,O,X,X,X
LJOTSZI,X,X,O,X,X,O
LJOTZIS,X,O,X,X,O,O
LJOTZSI,X,O,X,X,O,O
LJOITSZ,X,X,O,X,X,X
LJOITZS,X,X,X,X,O,X
LJOISTZ,X,O,O,X,X,X
LJOISZT,X,O,O,X,O,X
LJOIZTS,X,X,X,X,O,X
LJOIZST,X,X,X,X,O,X
LJOSTIZ,X,O,O,X,X,X
LJOSTZI,X,O,X,X,X,X
LJOSITZ,X,O,O,X,X,X
LJOSIZT,X,O,O,X,O,X
LJOSZTI,X,O,X,X,O,X
LJOSZIT,X,O,O,X,O,X
LJOZTIS,X,O,X,X,O,O
LJOZTSI,X,O,X,X,O,O
LJOZITS,X,O,X,X,O,O
LJOZIST,X,O,X,X,O,X
LJOZSTI,X,O,X,X,O,X
LJOZSIT,X,O,X,X,O,X
LSTIJZO,O,O,O,X,X,X
LSTIJOZ,O,O,O,X,X,X
LSTIZJO,O,O,O,X,X,X
LSTIZOJ,O,O,O,X,X,X
LSTIOJZ,O,O,O,X,X,X
LSTIOZJ,O,O,O,X,X,X
LSTJIZO,O,O,O,X,X,X
LSTJIOZ,O,O,O,X,X,X
LSTJZIO,O,O,O,X,X,O
LSTJZOI,O,O,O,X,X,O
LSTJOIZ,O,O,O,X,X,X
LSTJOZI,O,O,O,X,X,O
LSTZIJO,O,O,O,X,X,O
LSTZIOJ,O,O,O,X,X,O
LSTZJIO,O,O,O,X,X,O
LSTZJOI,O,O,O,X,X,O
LSTZOIJ,O,O,O,X,X,O
LSTZOJI,O,O,O,X,X,O
LSTOIJZ,O,O,O,X,X,X
LSTOIZJ,O,O,O,X,X,X
LSTOJIZ,O,O,O,X,X,X
LSTOJZI,O,O,O,X,X,O
LSTOZIJ,O,O,O,X,X,O
LSTOZJI,O,O,O,X,X,O
LSITJZO,O,O,O,X,X,X
LSITJOZ,O,O,O,X,X,X
LSITZJO,O,O,O,X,X,X
LSITZOJ,O,O,O,X,X,X
LSITOJZ,O,O,O,X,X,X
LSITOZJ,O,O,O,X,X,X
LSIJTZO,O,X,O,X,X,X
LSIJTOZ,O,O,O,X,X,X
LSIJZTO,O,O,X,X,X,X
LSIJZOT,O,O,O,X,X,X
LSIJOTZ,O,O,O,X,X,X
LSIJOZT,O,O,O,X,X,X
LSIZTJO,O,O,X,X,X,X
LSIZTOJ,O,O,X,X,X,X
LSIZJTO,O,O,X,X,X,X
LSIZJOT,O,O,O,X,X,X
LSIZOTJ,O,O,X,X,X,X
LSIZOJT,O,O,O,X,X,X
LSIOTJZ,O,O,O,X,X,X
LSIOTZJ,O,X,X,X,X,X
LSIOJTZ,O,O,O,X,X,X
LSIOJZT,O,O,O,X,X,X
LSIOZTJ,O,O,X,X,X,X
LSIOZJT,O,O,O,X,X,X
LSJTIZO,O,X,O,X,X,X
LSJTIOZ,O,O,O,X,X,X
LSJTZIO,O,O,O,X,X,O
LSJTZOI,O,O,O,X,X,O
LSJTOIZ,O,O,O,X,X,X
LSJTOZI,O,O,O,X,X,O
LSJITZO,O,X,O,X,X,X
LSJITOZ,O,O,O,X,X,X
LSJIZTO,O,O,X,X,X,X
LSJIZOT,O,O,O,X,X,X
LSJIOTZ,O,O,O,X,X,X
LSJIOZT,O,O,O,X,X,X
LSJZTIO,O,O,X,X,X,O
LSJZTOI,O,O,X,X,X,O
LSJZITO,O,O,X,X,X,O
LSJZIOT,O,O,O,X,X,X
LSJZOTI,O,O,X,X,X,X
LSJZOIT,O,O,O,X,X,X
LSJOTIZ,O,O,O,X,X,X
LSJOTZI,O,O,X,X,X,X
LSJOITZ,O,O,O,X,X,X
LSJOIZT,O,O,O,X,X,X
LSJOZTI,O,O,X,X,X,X
LSJOZIT,O,O,O,X,X,X
LSZTIJO,O,O,X,X,X,O
LSZTIOJ,O,O,X,X,X,O
LSZTJIO,O,O,X,X,X,O
LSZTJOI,O,O,X,X,X,O
LSZTOIJ,O,O,X,X,X,O
LSZTOJI,O,O,X,X,X,O
LSZITJO,O,O,X,X,X,O
LSZITOJ,O,O,X,X,X,O
LSZIJTO,O,O,X,X,X,O
LSZIJOT,O,O,O,X,X,X
LSZIOTJ,O,O,X,X,X,X
LSZIOJT,O,O,O,X,X,X
LSZJTIO,O,O,X,X,X,O
LSZJTOI,O,O,X,X,X,O
LSZJITO,O,O,X,X,X,O
LSZJIOT,O,O,O,X,X,X
LSZJOTI,O,O,X,X,X,X
LSZJOIT,O,O,O,X,X,X
LSZOTIJ,O,O,X,X,X,X
LSZOTJI,O,O,X,X,X,X
LSZOITJ,O,O,X,X,X,X
LSZOIJT,O,O,O,X,X,X
LSZOJTI,O,O,X,X,X,X
LSZOJIT,O,O,O,X,X,X
LSOTIJZ,O,O,O,X,X,X
LSOTIZJ,O,X,X,X,X,X
LSOTJIZ,O,O,O,X,X,X
LSOTJZI,O,O,X,X,X,X
LSOTZIJ,O,O,X,X,X,X
LSOTZJI,O,O,X,X,X,X
LSOITJZ,O,O,O,X,X,X
LSOITZJ,O,X,X,X,X,X
LSOIJTZ,O,O,O,X,X,X
LSOIJZT,O,O,O,X,X,X
LSOIZTJ,O,O,X,X,X,X
LSOIZJT,O,O,O,X,X,X
LSOJTIZ,O,O,O,X,X,X
LSOJTZI,O,O,X,X,X,X
LSOJITZ,O,O,O,X,X,X
LSOJIZT,O,O,O,X,X,X
LSOJZTI,O,O,X,X,X,X
LSOJZIT,O,O,O,X,X,X
LSOZTIJ,O,O,X,X,X,X
LSOZTJI,O,O,X,X,X,X
LSOZITJ,O,O,X,X,X,X
LSOZIJT,O,O,O,X,X,X
LSOZJTI,O,O,X,X,X,X
LSOZJIT,O,O,O,X,X,X
LZTIJSO,O,O,O,X,X,O
LZTIJOS,O,O,X,X,X,O
LZTISJO,O,O,O,X,X,O
LZTISOJ,O,O,O,X,X,O
LZTIOJS,O,O,X,X,X,O
LZTIOSJ,O,O,X,X,X,O
LZTJISO,O,O,O,X,X,O
LZTJIOS,O,O,X,X,X,O
LZTJSIO,O,O,O,X,X,O
LZTJSOI,O,O,O,X,X,O
LZTJOIS,O,O,X,X,X,O
LZTJOSI,O,O,X,X,X,O
LZTSIJO,O,O,O,X,X,O
LZTSIOJ,O,O,O,X,X,O
LZTSJIO,O,O,O,X,X,O
LZTSJOI,O,O,O,X,X,O
LZTSOIJ,O,O,O,X,X,O
LZTSOJI,O,O,O,X,X,O
LZTOIJS,O,O,X,X,X,O
LZTOISJ,O,O,X,X,X,O
LZTOJIS,O,O,X,X,X,O
LZTOJSI,O,O,X,X,X,O
LZTOSIJ,O,O,X,X,X,O
LZTOSJI,O,O,X,X,X,O
LZITJSO,O,O,O,X,X,O
LZITJOS,O,O,X,X,X,O
LZITSJO,O,O,O,X,X,O
LZITSOJ,O,O,O,X,X,O
LZITOJS,O,O,X,X,X,O
LZITOSJ,O,O,X,X,X,O
LZIJTSO,O,O,O,X,X,O
LZIJTOS,O,O,X,X,X,O
LZIJSTO,O,O,X,X,X,O
LZIJSOT,O,O,O,X,O,X
LZIJOTS,X,O,X,X,O,O
LZIJOST,X,O,X,X,O,X
LZISTJO,O,O,X,X,X,O
LZISTOJ,O,O,X,X,X,O
LZISJTO,O,O,X,X,X,O
LZISJOT,O,O,O,X,X,X
LZISOTJ,O,O,X,O,O,X
LZISOJT,O,O,O,O,O,X
LZIOTJS,X,O,X,X,O,O
LZIOTSJ,X,O,X,O,O,O
LZIOJTS,X,O,X,X,O,O
LZIOJST,X,O,X,O,O,X
LZIOSTJ,X,O,X,O,O,X
LZIOSJT,X,O,X,O,O,X
LZJTISO,O,O,O,X,X,O
LZJTIOS,O,O,X,X,X,O
LZJTSIO,O,O,O,X,X,O
LZJTSOI,O,O,O,X,X,O
LZJTOIS,O,O,X,X,X,O
LZJTOSI,O,O,X,X,X,O
LZJITSO,O,O,O,X,X,O
LZJITOS,O,O,X,X,X,O
LZJISTO,O,O,X,X,X,O
LZJISOT,O,O,O,X,O,X
LZJIOTS,X,O,X,X,O,O
LZJIOST,X,O,X,X,O,X
LZJSTIO,O,O,X,X,X,O
LZJSTOI,O,O,X,X,X,O
LZJSITO,O,O,X,X,X,O
LZJSIOT,O,O,O,X,O,X
LZJSOTI,O,O,X,X,O,X
LZJSOIT,O,O,O,X,O,X
LZJOTIS,X,O,X,X,O,O
LZJOTSI,X,O,X,X,O,O
LZJOITS,X,O,X,X,O,O
LZJOIST,X,O,X,X,O,X
LZJOSTI,X,O,X,X,O,X
LZJOSIT,X,O,X,X,O,X
LZSTIJO,O,O,X,X,X,O
LZSTIOJ,O,O,X,X,X,O
LZSTJIO,O,O,X,X,X,O
LZSTJOI,O,O,X,X,X,O
LZSTOIJ,O,O,X,X,X,O
LZSTOJI,O,O,X,X,X,O
LZSITJO,O,O,X,X,X,O
LZSITOJ,O,O,X,X,X,O
LZSIJTO,O,O,X,X,X,O
LZSIJOT,O,O,O,X,X,X
