sequence,v115@EhC8HeB8HeC8EeD8JeT/IvhF/lBamBUiBWsBlpBxvB,v115@EhC8HeB8HeC8EeD8Je0/IvhF6lBThB/nB2pBlrBRvB,v115@EhC8HeB8HeC8EeD8Jex/IvhFihBTkB0lBGnBVvB3rB,v115@EhC8HeB8HeC8EeD8JeT/IvhFmgBqmB/nB0lBlpBxvB,v115@EhC8HeB8HeC8EeD8Jex/IvhFThB/nBmkBqqB0pBlrB,v115@EhC8HeB8HeC8EeD8Jei/IvhFRhBFlBTnB0pBGrBXrB,v115@EhC8HeB8HeC8EeD8JeKEJvhFGgBThB/nBUlBlrBRvB,v115@EhC8HeB8HeC8EeD8JeOEJvhFlgBUiBzkBXmBCsBRvB,v115@EhC8HeB8HeC8EeD8JeOEJvhFqmB/nBRlBzpBUrBlqB,v115@EhC8HeB8HeC8EeD8JeKEJvhFRhBFlB8qBGnB3rBzpB,v115@EhC8HeB8HeC8EeD8JeKEJvhFGhB/nBRlB0qBlrBzpB
TILOSJZ,O,X,X,O,X,X,X,O,X,X,X
TILOSZJ,O,X,X,O,X,X,X,O,X,X,X
TILOZJS,X,X,X,X,X,X,X,O,X,X,X
TILOZSJ,X,X,X,O,X,X,X,O,X,X,X
TIJLSZO,O,O,X,X,X,X,X,O,X,X,X
TIJLSOZ,O,O,X,X,X,X,X,O,X,X,X
TIJLZSO,O,O,X,X,X,X,X,O,X,X,X
TIJLZOS,O,X,X,X,X,X,X,O,X,X,X
TIJLOSZ,O,X,O,X,X,X,X,O,X,X,X
TIJLOZS,O,X,O,X,X,X,X,O,X,X,X
TIJSLZO,O,O,X,O,X,X,X,O,X,X,X
TIJSLOZ,O,O,O,O,X,X,X,X,X,X,X
TIJSZLO,O,O,O,O,X,X,X,O,X,X,X
TIJSZOL,O,O,O,O,X,X,X,O,X,X,X
TIJSOLZ,O,O,O,O,X,X,X,X,X,X,X
TIJSOZL,O,O,O,O,X,X,X,O,X,X,X
TIJZLSO,O,O,O,X,X,X,X,X,X,X,X
TIJZLOS,O,X,O,X,X,X,X,X,X,X,X
TIJZSLO,O,O,O,O,X,X,X,X,X,X,X
TIJZSOL,O,O,X,O,X,X,X,X,X,X,X
TIJZOLS,O,X,O,X,X,X,X,X,X,X,X
TIJZOSL,O,X,O,O,X,X,X,X,X,X,X
TIJOLSZ,O,X,O,X,X,X,X,O,X,X,X
TIJOLZS,O,X,O,X,X,X,X,O,X,X,X
TIJOSLZ,O,X,O,O,X,X,X,O,X,X,X
TIJOSZL,O,X,O,O,X,X,X,O,X,X,X
TIJOZLS,O,X,O,X,X,X,X,O,X,X,X
TIJOZSL,O,X,O,O,X,X,X,O,X,X,X
TISLJZO,O,O,X,O,X,X,O,O,X,X,X
TISLJOZ,O,O,X,O,X,X,O,X,X,X,X
TISLZJO,O,O,X,O,X,X,O,O,X,X,X
TISLZOJ,O,O,X,O,X,X,O,O,X,X,X
TISLOJZ,O,O,X,O,X,X,O,O,X,X,X
TISLOZJ,O,O,X,O,X,X,O,O,X,X,X
TISJLZO,O,O,X,O,X,X,O,O,X,X,X
TISJLOZ,O,O,O,O,X,X,O,X,X,X,X
TISJZLO,O,O,O,O,X,X,X,O,X,X,X
TISJZOL,O,O,O,O,X,X,X,O,X,X,X
TISJOLZ,O,O,O,O,X,X,O,O,X,X,X
TISJOZL,O,O,O,O,X,X,X,O,X,X,X
TISZLJO,O,O,O,O,X,X,O,O,X,X,X
TISZLOJ,O,O,O,O,X,X,O,O,X,X,X
TISZJLO,O,O,O,O,X,X,X,O,X,X,X
TISZJOL,O,O,O,O,X,X,X,O,X,X,X
TISZOLJ,O,O,O,O,X,X,O,O,X,X,X
TISZOJL,O,O,O,O,X,X,X,O,X,X,X
TISOLJZ,O,O,O,O,X,X,O,O,X,X,X
TISOLZJ,O,O,O,O,X,X,O,O,X,X,X
TISOJLZ,O,O,O,O,X,X,O,O,X,X,X
TISOJZL,O,O,O,O,X,X,X,O,X,X,X
TISOZLJ,O,O,O,O,X,X,O,O,X,X,X
TISOZJL,O,O,O,O,X,X,X,O,X,X,X
TIZLJSO,X,X,O,X,X,X,X,X,X,X,X
TIZLJOS,X,X,O,X,X,X,X,X,X,X,X
TIZLSJO,X,X,O,O,X,X,X,X,X,X,X
TIZLSOJ,X,X,O,O,X,X,X,X,X,X,X
TIZLOJS,X,X,O,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,O,O,X,X,X,X,X,X,X
TIZJLSO,O,X,O,X,X,X,X,X,X,X,X
TIZJLOS,O,X,O,X,X,X,X,X,X,X,X
TIZJSLO,O,X,O,O,X,X,X,X,X,X,X
TIZJSOL,O,X,O,O,X,X,X,X,X,X,X
TIZJOLS,O,X,O,X,X,X,X,X,X,X,X
TIZJOSL,O,X,O,O,X,X,X,X,X,X,X
TIZSLJO,O,X,O,O,X,X,X,X,X,X,X
TIZSLOJ,O,X,O,O,X,X,X,X,X,X,X
TIZSJLO,O,X,O,O,X,X,X,X,X,X,X
TIZSJOL,O,X,O,O,X,X,X,X,X,X,X
TIZSOLJ,O,X,O,O,X,X,X,X,X,X,X
TIZSOJL,O,X,O,O,X,X,X,X,X,X,X
TIZOLJS,X,X,O,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,O,O,X,X,X,X,X,X,X
TIZOJLS,O,X,O,X,X,X,X,X,X,X,X
TIZOJSL,O,X,O,O,X,X,X,X,X,X,X
TIZOSLJ,O,X,O,O,X,X,X,X,X,X,X
TIZOSJL,O,X,O,O,X,X,X,X,X,X,X
TIOLJSZ,O,X,O,X,X,X,X,O,X,X,X
TIOLJZS,O,X,O,X,X,X,X,O,X,X,X
TIOLSJZ,O,X,O,O,X,X,X,O,X,X,X
TIOLSZJ,O,X,O,O,X,X,X,O,X,X,X
TIOLZJS,X,X,O,X,X,X,X,O,X,X,X
TIOLZSJ,X,X,O,O,X,X,X,O,X,X,X
TIOJLSZ,O,X,O,X,X,X,X,O,X,X,X
TIOJLZS,O,X,O,X,X,X,X,O,X,X,X
TIOJSLZ,O,X,O,O,X,X,X,O,X,X,X
TIOJSZL,O,X,O,O,X,X,X,O,X,X,X
TIOJZLS,O,X,O,X,X,X,X,O,X,X,X
TIOJZSL,O,X,O,O,X,X,X,O,X,X,X
TIOSLJZ,O,X,O,O,X,X,X,O,X,X,X
TIOSLZJ,O,X,O,O,X,X,X,O,X,X,X
TIOSJLZ,O,X,O,O,X,X,X,O,X,X,X
TIOSJZL,O,X,O,O,X,X,X,O,X,X,X
TIOSZLJ,O,X,O,O,X,X,X,O,X,X,X
TIOSZJL,O,X,O,O,X,X,X,O,X,X,X
TIOZLJS,X,X,O,X,X,X,X,O,X,X,X
TIOZLSJ,X,X,O,O,X,X,X,O,X,X,X
TIOZJLS,O,X,O,X,X,X,X,O,X,X,X
TIOZJSL,O,X,O,O,X,X,X,O,X,X,X
TIOZSLJ,O,X,O,O,X,X,X,O,X,X,X
TIOZSJL,O,X,O,O,X,X,X,O,X,X,X
TLIJSZO,X,X,X,X,X,X,X,O,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,O,X,X,X
TLIJZSO,X,X,X,X,X,X,X,O,X,X,X
TLIJZOS,X,X,X,X,X,X,X,O,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,O,X,X,X
TLIJOZS,X,X,X,X,X,X,X,O,X,X,X
TLISJZO,X,X,X,X,X,X,O,O,X,X,X
TLISJOZ,X,X,X,X,O,X,O,O,X,X,X
TLISZJO,X,X,X,X,X,X,O,O,X,X,X
TLISZOJ,X,X,X,X,O,X,O,O,X,X,X
TLISOJZ,X,X,X,X,O,X,O,O,X,X,X
TLISOZJ,X,X,X,X,O,X,O,O,X,X,X
TLIZJSO,X,X,X,X,X,X,O,O,X,O,X
TLIZJOS,X,X,X,X,X,X,X,O,X,X,X
TLIZSJO,X,X,X,X,X,X,O,O,X,X,X
TLIZSOJ,X,X,X,X,X,X,O,O,X,X,X
TLIZOJS,X,X,X,X,X,X,X,O,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,O,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,O,X,X,X
TLIOJZS,X,X,X,X,X,X,X,O,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,O,X,X,X
TLIOSZJ,X,X,X,X,X,X,X,O,X,X,X
TLIOZJS,X,X,X,X,X,X,X,O,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,O,X,X,X
TLJISZO,X,X,X,X,X,X,X,O,X,O,X
TLJISOZ,X,X,X,X,X,X,X,O,X,X,X
TLJIZSO,X,X,X,X,X,X,X,O,X,X,X
TLJIZOS,X,X,X,X,X,X,X,O,X,X,X
TLJIOSZ,X,X,O,X,X,X,X,O,X,X,X
TLJIOZS,X,X,O,X,X,X,X,O,X,X,X
TLJSIZO,O,X,X,X,X,X,X,O,X,O,X
TLJSIOZ,O,X,O,X,X,X,X,X,X,X,X
TLJSZIO,O,X,O,X,X,X,X,O,X,O,X
TLJSZOI,O,X,O,X,X,X,X,O,X,O,X
TLJSOIZ,O,X,O,X,X,X,X,X,X,X,X
TLJSOZI,O,X,O,X,X,X,X,O,X,X,X
TLJZISO,X,X,O,X,X,X,X,O,X,O,X
TLJZIOS,X,X,O,X,X,X,X,O,X,X,X
TLJZSIO,O,X,O,X,X,X,X,O,X,O,X
TLJZSOI,O,X,O,X,X,X,X,O,X,O,X
TLJZOIS,X,X,O,X,X,X,X,X,X,X,X
TLJZOSI,O,X,O,X,X,X,X,X,X,O,X
TLJOISZ,X,X,O,X,X,X,X,X,X,X,X
TLJOIZS,X,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,O,X,X,X,X,X,X,X,X
TLJOSZI,O,X,O,X,X,X,X,X,X,X,X
TLJOZIS,X,X,O,X,X,X,X,X,X,X,X
TLJOZSI,O,X,O,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,O,X,X,O,O,X,X,O
TLSIJOZ,O,X,X,O,O,X,O,O,X,X,X
TLSIZJO,O,X,X,O,O,X,O,O,X,X,O
TLSIZOJ,O,X,X,O,O,X,O,O,X,X,O
TLSIOJZ,O,X,X,O,O,X,O,O,X,X,X
TLSIOZJ,O,X,X,O,O,X,O,O,X,X,X
TLSJIZO,O,X,X,X,X,X,X,O,X,O,O
TLSJIOZ,O,X,O,X,O,X,X,O,X,X,X
TLSJZIO,O,X,O,O,O,X,O,O,X,O,O
TLSJZOI,O,X,O,O,O,X,O,O,X,O,O
TLSJOIZ,O,X,O,X,O,X,X,X,X,X,X
TLSJOZI,O,X,O,O,O,X,O,O,X,X,O
TLSZIJO,O,X,O,O,O,X,O,O,X,X,O
TLSZIOJ,O,X,O,O,O,X,O,O,X,X,O
TLSZJIO,O,X,O,O,O,X,O,O,X,O,O
TLSZJOI,O,X,O,O,O,X,O,O,X,O,O
TLSZOIJ,O,X,O,O,O,X,O,O,X,X,O
TLSZOJI,O,X,O,O,O,X,O,O,X,X,O
TLSOIJZ,O,X,O,O,O,X,X,O,X,X,X
TLSOIZJ,O,X,O,O,O,X,O,O,X,X,X
TLSOJIZ,O,X,O,X,O,X,X,X,X,X,X
TLSOJZI,O,X,O,O,O,X,O,O,X,X,O
TLSOZIJ,O,X,O,O,O,X,O,O,X,X,O
TLSOZJI,O,X,O,O,O,X,O,O,X,X,O
TLZIJSO,X,X,O,X,X,X,X,O,X,O,X
TLZIJOS,X,X,O,X,X,X,X,O,X,X,X
TLZISJO,X,X,O,O,O,X,X,O,X,X,X
TLZISOJ,X,X,O,O,O,X,X,O,X,X,X
TLZIOJS,X,X,O,X,X,X,X,O,X,X,X
TLZIOSJ,X,X,O,O,X,X,X,O,X,X,X
TLZJISO,X,X,O,X,O,X,O,O,X,O,X
TLZJIOS,X,X,O,X,X,X,X,O,X,X,X
TLZJSIO,X,X,O,X,O,X,O,O,X,O,X
TLZJSOI,X,X,O,X,O,X,O,O,X,O,X
TLZJOIS,X,X,O,X,X,X,X,X,X,X,X
TLZJOSI,X,X,O,X,X,X,X,X,X,O,X
TLZSIJO,X,X,O,O,O,X,O,O,X,X,O
TLZSIOJ,X,X,O,O,O,X,O,O,X,X,O
TLZSJIO,X,X,O,O,O,X,O,O,X,O,O
TLZSJOI,X,X,O,O,O,X,O,O,X,O,O
TLZSOIJ,X,X,O,O,O,X,O,O,X,X,O
TLZSOJI,X,X,O,O,O,X,O,O,X,X,O
TLZOIJS,X,X,O,X,X,X,X,X,X,X,X
TLZOISJ,X,X,O,O,X,X,X,X,X,X,X
TLZOJIS,X,X,O,X,X,X,X,X,X,X,X
TLZOJSI,X,X,O,X,X,X,X,X,X,O,X
TLZOSIJ,X,X,O,O,X,X,X,X,X,X,X
TLZOSJI,X,X,O,O,X,X,X,X,X,X,X
TLOIJSZ,X,X,O,X,X,X,X,X,X,X,X
TLOIJZS,X,X,O,X,X,X,X,X,X,X,X
TLOISJZ,X,X,O,X,X,X,X,X,X,X,X
TLOISZJ,X,X,O,X,X,X,X,X,X,X,X
TLOIZJS,X,X,O,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,O,X,X,X,X,X,X,X,X
TLOJISZ,X,X,O,X,X,X,X,X,X,X,X
TLOJIZS,X,X,O,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,O,X,X,X,X,X,X,X,X
TLOJSZI,O,X,O,X,X,X,X,X,X,X,X
TLOJZIS,X,X,O,X,X,X,X,X,X,X,X
TLOJZSI,O,X,O,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,O,O,X,X,X,X,X,X,X
TLOSIZJ,O,X,O,O,X,X,X,X,X,X,X
TLOSJIZ,O,X,O,X,X,X,X,X,X,X,X
TLOSJZI,O,X,O,O,X,X,X,X,X,X,X
TLOSZIJ,O,X,O,O,X,X,X,X,X,X,X
TLOSZJI,O,X,O,O,X,X,X,X,X,X,X
TLOZIJS,X,X,O,X,X,X,X,X,X,X,X
TLOZISJ,X,X,O,O,X,X,X,X,X,X,X
TLOZJIS,X,X,O,X,X,X,X,X,X,X,X
TLOZJSI,X,X,O,X,X,X,X,X,X,O,X
TLOZSIJ,X,X,O,O,X,X,X,X,X,X,X
TLOZSJI,X,X,O,O,X,X,X,X,X,X,X
TJILSZO,O,X,X,X,X,X,X,O,X,O,X
TJILSOZ,O,X,X,X,X,X,X,O,X,X,X
TJILZSO,O,X,X,X,X,X,X,O,X,X,X
TJILZOS,O,X,X,X,X,X,X,O,X,X,X
TJILOSZ,O,X,O,X,X,X,X,O,X,X,X
TJILOZS,O,X,O,X,X,X,X,O,X,X,X
TJISLZO,O,X,X,X,X,X,X,O,X,O,X
TJISLOZ,O,X,O,X,X,X,X,X,X,X,X
TJISZLO,O,X,O,X,X,X,X,O,X,O,X
TJISZOL,O,X,O,X,X,X,X,O,X,X,X
TJISOLZ,O,X,O,X,X,X,X,X,X,X,X
TJISOZL,O,X,O,X,X,X,X,O,X,X,X
TJIZLSO,O,X,O,X,X,X,X,X,X,X,X
TJIZLOS,O,X,O,X,X,X,X,X,X,X,X
TJIZSLO,O,X,O,X,X,X,X,X,X,X,X
TJIZSOL,O,X,X,X,X,X,X,X,X,X,X
TJIZOLS,O,X,O,X,X,X,X,X,X,X,X
TJIZOSL,O,X,O,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,O,X,X,X,X,O,X,X,X
TJIOLZS,O,X,O,X,X,X,X,O,X,X,X
TJIOSLZ,O,X,O,X,X,X,X,O,X,X,X
TJIOSZL,O,X,O,X,X,X,X,O,X,X,X
TJIOZLS,O,X,O,X,X,X,X,O,X,X,X
TJIOZSL,O,X,O,X,X,X,X,O,X,X,X
TJLISZO,X,X,X,X,X,X,X,O,X,O,X
TJLISOZ,X,X,X,X,X,X,X,O,X,X,X
TJLIZSO,X,X,X,X,X,X,X,O,X,X,X
TJLIZOS,X,X,X,X,X,X,X,O,X,X,X
TJLIOSZ,X,X,O,X,X,X,X,O,X,X,X
TJLIOZS,X,X,O,X,X,X,X,O,X,X,X
TJLSIZO,O,X,X,X,X,X,X,O,X,O,X
TJLSIOZ,O,X,O,X,X,X,X,X,X,X,X
TJLSZIO,O,X,O,X,X,X,X,O,X,O,X
TJLSZOI,O,X,O,X,X,X,X,O,X,O,X
TJLSOIZ,O,X,O,X,X,X,X,X,X,X,X
TJLSOZI,O,X,O,X,X,X,X,O,X,X,X
TJLZISO,X,X,O,X,X,X,X,O,X,O,X
TJLZIOS,X,X,O,X,X,X,X,O,X,X,X
TJLZSIO,O,X,O,X,X,X,X,O,X,O,X
TJLZSOI,O,X,O,X,X,X,X,O,X,O,X
TJLZOIS,X,X,O,X,X,X,X,X,X,X,X
TJLZOSI,O,X,O,X,X,X,X,X,X,O,X
TJLOISZ,X,X,O,X,X,X,X,X,X,X,X
TJLOIZS,X,X,O,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,O,X,X,X,X,X,X,X,X
TJLOSZI,O,X,O,X,X,X,X,X,X,X,X
TJLOZIS,X,X,O,X,X,X,X,X,X,X,X
TJLOZSI,O,X,O,X,X,X,X,X,X,X,X
TJSILZO,O,O,X,O,X,X,X,X,X,O,X
TJSILOZ,O,O,O,O,X,X,X,X,X,X,X
TJSIZLO,O,O,O,O,X,X,X,X,X,O,X
TJSIZOL,O,O,O,O,X,X,X,X,X,X,X
TJSIOLZ,O,O,O,O,X,X,X,X,X,X,X
TJSIOZL,O,O,O,O,X,X,X,X,X,X,X
TJSLIZO,O,X,X,X,X,X,X,X,X,O,X
TJSLIOZ,O,X,O,X,X,X,X,X,X,X,X
TJSLZIO,O,O,O,O,X,X,X,X,X,O,X
TJSLZOI,O,O,O,O,X,X,X,X,X,O,X
TJSLOIZ,O,X,O,X,X,X,X,X,O,X,X
TJSLOZI,O,O,O,O,X,X,X,X,O,X,X
TJSZILO,O,O,O,O,X,X,X,X,X,O,X
TJSZIOL,O,O,O,O,X,X,X,X,X,X,X
TJSZLIO,O,O,O,O,X,X,X,X,X,O,X
TJSZLOI,O,O,O,O,X,X,X,X,X,O,X
TJSZOIL,O,O,O,O,X,X,X,X,X,X,X
TJSZOLI,O,O,O,O,X,X,X,X,X,X,X
TJSOILZ,O,X,O,O,X,X,X,X,O,X,X
TJSOIZL,O,O,O,O,X,X,X,X,X,X,X
TJSOLIZ,O,X,O,X,X,X,X,X,O,X,X
TJSOLZI,O,O,O,O,X,X,X,X,O,X,X
TJSOZIL,O,O,O,O,X,X,X,X,O,X,X
TJSOZLI,O,O,O,O,X,X,X,X,O,X,X
TJZILSO,O,X,O,X,X,O,X,X,X,X,X
TJZILOS,O,X,O,X,X,O,X,X,X,X,X
TJZISLO,O,X,O,O,X,O,X,X,X,X,X
TJZISOL,O,X,O,O,X,X,X,X,X,X,X
TJZIOLS,O,X,O,X,X,O,X,X,X,X,X
TJZIOSL,O,X,O,O,X,X,X,X,X,X,X
TJZLISO,X,O,O,X,X,O,X,X,X,O,X
TJZLIOS,X,X,O,X,X,O,X,X,X,X,X
TJZLSIO,O,O,O,X,X,O,X,X,X,O,X
TJZLSOI,O,O,O,X,X,X,X,X,X,O,X
TJZLOIS,X,X,O,X,X,O,X,X,X,X,X
TJZLOSI,O,X,O,X,X,X,X,X,X,O,X
TJZSILO,O,O,O,O,X,O,X,X,X,X,X
TJZSIOL,O,O,O,O,X,X,X,X,X,X,X
TJZSLIO,O,O,O,O,X,O,X,X,X,X,X
TJZSLOI,O,O,O,O,X,X,X,X,X,X,X
TJZSOIL,O,O,O,O,X,X,X,X,X,X,X
TJZSOLI,O,O,O,O,X,X,X,X,X,X,X
TJZOILS,X,X,O,X,X,O,X,X,X,X,X
TJZOISL,O,X,O,O,X,X,X,X,X,X,X
TJZOLIS,X,X,O,X,X,O,X,X,X,X,X
TJZOLSI,O,X,O,X,X,X,X,X,X,X,X
TJZOSIL,O,X,O,O,X,X,X,X,X,X,X
TJZOSLI,O,X,O,O,X,X,X,X,X,X,X
TJOILSZ,X,X,O,X,X,X,X,X,X,X,X
TJOILZS,X,X,O,X,X,X,X,X,X,X,X
TJOISLZ,O,X,O,X,X,X,X,X,O,X,X
TJOISZL,O,X,O,X,X,X,X,X,X,X,X
TJOIZLS,X,X,O,X,X,X,X,X,X,X,X
TJOIZSL,O,X,O,X,X,X,X,X,O,X,X
TJOLISZ,X,X,O,X,X,X,X,X,X,X,X
TJOLIZS,X,X,O,X,X,X,X,X,X,X,X
TJOLSIZ,O,X,O,X,X,X,X,X,X,X,X
TJOLSZI,O,X,O,X,X,X,X,X,X,X,X
TJOLZIS,X,X,O,X,X,X,X,X,X,X,X
TJOLZSI,O,X,O,X,X,X,X,X,X,X,X
TJOSILZ,O,X,O,O,X,X,X,X,O,X,X
TJOSIZL,O,X,O,O,X,X,X,X,X,X,X
TJOSLIZ,O,X,O,X,X,X,X,X,O,X,X
TJOSLZI,O,X,O,O,X,X,X,X,O,X,X
TJOSZIL,O,X,O,O,X,X,X,X,O,X,X
TJOSZLI,O,X,O,O,X,X,X,X,O,X,X
TJOZILS,X,X,O,X,X,X,X,X,X,X,X
TJOZISL,O,X,O,O,X,X,X,X,O,X,X
TJOZLIS,X,X,O,X,X,X,X,X,X,X,X
TJOZLSI,O,X,O,X,X,X,X,X,X,X,X
TJOZSIL,O,X,O,O,X,X,X,X,O,X,X
TJOZSLI,O,X,O,O,X,X,X,X,O,X,X
TSILJZO,O,O,X,O,X,X,O,X,X,X,O
TSILJOZ,O,O,X,O,O,X,O,X,X,X,X
TSILZJO,O,O,X,O,O,X,O,X,X,X,O
TSILZOJ,O,O,X,O,O,X,O,X,X,X,O
TSILOJZ,O,O,X,O,O,X,O,X,X,X,X
TSILOZJ,O,O,X,O,O,X,O,X,X,X,X
TSIJLZO,O,O,X,O,X,X,O,X,X,X,O
TSIJLOZ,O,O,O,O,X,X,O,X,X,X,X
TSIJZLO,O,O,O,O,X,X,X,X,X,X,O
TSIJZOL,O,O,O,O,X,X,X,X,X,X,X
TSIJOLZ,O,O,O,O,X,X,O,X,X,X,X
TSIJOZL,O,O,O,O,X,X,X,X,X,X,X
TSIZLJO,O,O,O,O,O,X,O,X,X,X,O
TSIZLOJ,O,O,O,O,O,X,O,X,X,X,O
TSIZJLO,O,O,O,O,X,X,X,X,X,X,O
TSIZJOL,O,O,O,O,X,X,X,X,X,X,X
TSIZOLJ,O,O,O,O,O,X,O,X,X,X,X
TSIZOJL,O,O,O,O,X,X,X,X,X,X,X
TSIOLJZ,O,O,O,O,O,X,O,X,X,X,X
TSIOLZJ,O,O,O,O,O,X,O,X,X,X,X
TSIOJLZ,O,O,O,O,X,X,O,X,X,X,X
TSIOJZL,O,O,O,O,X,X,X,X,X,X,X
TSIOZLJ,O,O,O,O,O,X,O,X,X,X,X
TSIOZJL,O,O,O,O,X,X,X,X,X,X,X
TSLIJZO,O,O,X,O,X,X,O,X,X,X,O
TSLIJOZ,O,O,X,O,O,X,O,X,X,X,X
TSLIZJO,O,O,X,O,O,X,O,X,X,X,O
TSLIZOJ,O,O,X,O,O,X,O,X,X,X,O
TSLIOJZ,O,O,X,O,O,X,O,X,X,X,X
TSLIOZJ,O,O,X,O,O,X,O,X,X,X,X
TSLJIZO,O,X,X,X,X,X,X,X,X,O,O
TSLJIOZ,O,X,O,X,O,X,X,X,X,X,X
TSLJZIO,O,O,O,O,O,X,O,X,X,O,O
TSLJZOI,O,O,O,O,O,X,O,X,X,O,O
TSLJOIZ,O,X,O,X,O,X,X,X,O,X,X
TSLJOZI,O,O,O,O,O,X,O,X,O,X,O
TSLZIJO,O,X,O,O,O,X,O,X,X,X,O
TSLZIOJ,O,X,O,O,O,X,O,X,X,X,O
TSLZJIO,O,X,O,O,O,X,O,X,X,X,O
TSLZJOI,O,X,O,O,O,X,O,X,X,X,O
TSLZOIJ,O,X,O,O,O,X,O,X,O,X,O
TSLZOJI,O,X,O,O,O,X,O,X,O,X,O
TSLOIJZ,O,O,O,O,O,X,O,X,O,X,X
TSLOIZJ,O,O,O,O,O,X,O,X,X,X,X
TSLOJIZ,O,X,O,X,O,X,X,X,O,X,X
TSLOJZI,O,O,O,O,O,X,O,X,O,X,O
TSLOZIJ,O,X,O,O,O,X,O,X,O,X,O
TSLOZJI,O,X,O,O,O,X,O,X,O,X,O
TSJILZO,O,O,X,O,X,X,O,X,X,O,O
TSJILOZ,O,O,O,O,X,X,O,X,X,X,X
TSJIZLO,O,O,O,O,X,X,X,X,X,O,O
TSJIZOL,O,O,O,O,X,X,X,X,X,X,X
TSJIOLZ,O,O,O,O,X,X,O,X,X,X,X
TSJIOZL,O,O,O,O,X,X,X,X,X,X,X
TSJLIZO,O,X,X,X,X,X,X,X,X,O,O
TSJLIOZ,O,X,O,X,O,X,X,X,X,X,X
TSJLZIO,O,O,O,O,O,X,O,X,X,O,O
TSJLZOI,O,O,O,O,O,X,O,X,X,O,O
TSJLOIZ,O,X,O,X,O,X,X,X,O,X,X
TSJLOZI,O,O,O,O,O,X,O,X,O,X,O
TSJZILO,O,O,O,O,X,X,X,X,X,O,O
TSJZIOL,O,O,O,O,X,X,X,X,X,X,X
TSJZLIO,O,O,O,O,O,X,X,X,X,O,O
TSJZLOI,O,O,O,O,O,X,X,X,X,O,O
TSJZOIL,O,O,O,O,X,X,X,X,X,X,X
TSJZOLI,O,O,O,O,O,X,X,X,X,X,O
TSJOILZ,O,O,O,O,X,X,O,X,O,X,X
TSJOIZL,O,O,O,O,X,X,X,X,X,X,X
TSJOLIZ,O,X,O,X,O,X,X,X,O,X,X
TSJOLZI,O,O,O,O,O,X,O,X,O,X,O
TSJOZIL,O,O,O,O,X,X,X,X,O,X,X
