sequence,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhF0hB5oB3lBz?nBinBWxB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KelBJvhF3iB5oBilB8?sBGlBzrB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KelBJvhFziB5oBilB8?rBGlB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhFTiBeoB5oB3?lBUsB6rB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF3hBTlB8rB+?sB6tBFtB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeaFJvhFulB1mB5oBz?nB8rB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhF0hBxiB3lBz?rBCtBGtB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeUAJvhFxmB6tB3lBF?oBGsBzrB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhFTlBlmBUoBX?sB6tBGsB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF3hBTlB8rBV?tB+sB6tB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF1mBSoBTlB8?rBGtB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8Ke3AJvhFxmB6tBUlBF?oBGsBzrB
TIOSJLZ,O,X,X,X,X,O,X,X,X,X,O,X
TIOSJZL,O,X,X,X,X,X,X,X,O,X,X,X
TIOSZLJ,O,O,X,X,X,X,X,X,O,O,X,X
TIOSZJL,O,O,X,X,X,X,X,X,O,O,X,X
TIOZLJS,X,O,X,X,X,O,O,X,X,O,X,X
TIOZLSJ,X,O,X,X,X,X,O,X,X,O,X,X
TIOZJLS,X,O,X,X,X,O,O,X,X,O,O,X
TIOZJSL,X,O,X,X,X,X,O,X,X,O,X,X
TIOZSLJ,X,O,X,X,X,X,O,X,O,O,X,X
TIOZSJL,X,O,X,X,X,X,O,X,O,O,X,X
TLIJSZO,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,O,X,X,X,X,X,X
TLIJZSO,X,O,O,X,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,O,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,O,X,X,X,X,X,X
TLIJOZS,X,O,X,X,X,O,X,X,X,X,X,X
TLISJZO,X,X,X,X,X,X,X,X,X,X,X,O
TLISJOZ,X,X,X,X,X,O,X,X,X,X,X,O
TLISZJO,X,O,O,X,X,X,X,X,X,X,X,O
TLISZOJ,X,O,O,X,X,X,X,X,X,X,X,O
TLISOJZ,X,X,X,X,X,O,X,X,X,X,X,O
TLISOZJ,X,O,O,X,X,X,X,X,X,X,X,O
TLIZJSO,X,O,O,X,X,X,X,O,X,X,X,X
TLIZJOS,X,X,X,X,X,O,X,O,X,X,X,X
TLIZSJO,X,O,O,X,X,X,X,O,X,X,X,X
TLIZSOJ,X,O,O,X,X,X,X,O,X,X,X,X
TLIZOJS,X,O,X,X,X,O,X,O,X,X,X,X
TLIZOSJ,X,O,O,X,X,X,X,O,X,X,X,X
TLIOJSZ,X,X,X,X,X,O,X,X,X,X,X,X
TLIOJZS,X,O,X,X,X,O,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,O,X,X,X,X,X,X
TLIOSZJ,X,O,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,O,X,X,X,O,O,X,X,X,X,X
TLIOZSJ,X,O,O,X,X,X,O,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X,X,X,X,O
TLJISOZ,X,X,X,X,X,O,X,X,X,X,X,O
TLJIZSO,X,O,O,X,X,X,X,O,X,X,X,X
TLJIZOS,X,X,X,X,X,O,X,O,X,X,X,X
TLJIOSZ,X,X,X,X,X,O,X,X,X,X,O,X
TLJIOZS,X,O,X,X,X,O,X,X,X,X,O,X
TLJSIZO,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,O,X,X,X,X,X,X
TLJSZIO,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,O,X,X,X,X,O,X
TLJSOZI,X,X,X,X,X,X,X,X,X,X,O,X
TLJZISO,X,O,O,X,X,X,X,O,X,X,X,X
TLJZIOS,X,X,X,X,X,O,X,O,X,X,X,X
TLJZSIO,X,O,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,O,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,O,O,X,X,X,X,O,X
TLJZOSI,X,X,X,X,O,X,X,X,X,X,O,X
TLJOISZ,X,X,X,X,X,O,X,X,X,X,O,X
TLJOIZS,X,O,X,X,O,O,X,X,X,X,O,X
TLJOSIZ,X,X,X,X,X,O,X,X,X,X,O,X
TLJOSZI,X,X,X,X,X,X,X,X,X,X,O,X
TLJOZIS,X,O,X,X,O,O,O,X,X,X,O,X
TLJOZSI,X,O,X,X,O,X,X,X,X,X,O,X
TLSIJZO,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,O,X,X,X,X,X,X
TLSIZJO,X,O,O,X,X,X,X,X,X,X,X,X
TLSIZOJ,X,O,O,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,O,O,X,X,X,X,X
TLSIOZJ,X,O,O,X,X,X,O,X,X,X,X,X
TLSJIZO,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,O,X,X,X,X,X,X
TLSJZIO,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,O,O,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X,O,X,X,X,X,X
TLSZIJO,X,O,O,X,X,X,X,X,X,X,X,X
TLSZIOJ,X,O,O,X,X,X,X,X,X,X,X,X
TLSZJIO,X,O,O,X,X,X,X,X,X,X,X,X
TLSZJOI,X,X,O,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,O,O,X,X,X,O,X,O,X,X,X
TLSZOJI,X,X,O,X,X,X,O,X,O,X,X,X
TLSOIJZ,X,X,X,X,X,O,O,X,X,X,X,X
TLSOIZJ,X,O,O,X,X,X,O,X,O,X,X,X
TLSOJIZ,X,X,X,X,X,O,O,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,O,X,X,X,X,X
TLSOZIJ,X,O,O,X,X,X,O,X,O,X,X,X
TLSOZJI,X,O,O,X,X,X,O,X,O,X,X,X
TLZIJSO,X,O,O,X,X,X,X,O,X,X,X,X
TLZIJOS,X,X,X,X,X,O,X,O,X,X,X,X
TLZISJO,X,O,O,X,X,X,X,O,X,X,X,X
TLZISOJ,X,O,O,X,X,X,X,O,X,X,X,X
TLZIOJS,X,O,X,X,X,O,X,O,X,X,X,X
TLZIOSJ,X,O,O,X,X,X,X,O,X,X,X,X
TLZJISO,X,O,O,X,X,X,X,O,X,X,X,X
TLZJIOS,X,X,X,X,X,O,X,O,X,X,X,X
TLZJSIO,X,O,X,X,X,X,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,O,X,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,O,O,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,O,O,X,X,X,X,X,X,X,X,X
TLZSJIO,X,O,X,X,X,X,X,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,O,X,X,X,X,X,X,X,O,X,X
TLZSOJI,X,X,X,X,X,X,X,X,X,O,X,X
TLZOIJS,X,O,X,X,X,O,O,X,X,O,X,X
TLZOISJ,X,O,O,X,X,X,O,X,X,O,X,X
TLZOJIS,X,O,X,X,X,O,O,X,X,O,X,X
TLZOJSI,X,O,X,X,X,X,X,X,X,O,X,X
TLZOSIJ,X,O,X,X,X,X,O,X,X,O,X,X
TLZOSJI,X,O,X,X,X,X,X,X,X,O,X,X
TLOIJSZ,X,X,X,X,X,O,X,X,X,X,O,X
TLOIJZS,X,O,X,X,O,O,X,X,X,X,O,X
TLOISJZ,X,X,X,X,X,O,X,X,X,X,X,X
TLOISZJ,X,O,X,X,X,X,X,X,O,X,X,X
TLOIZJS,X,O,X,X,X,O,O,X,X,O,X,X
TLOIZSJ,X,O,O,X,X,X,O,X,X,O,X,X
TLOJISZ,X,X,X,X,X,O,X,X,X,X,O,X
TLOJIZS,X,O,X,X,O,O,X,X,X,X,O,X
TLOJSIZ,X,X,X,X,X,O,X,X,X,X,O,X
TLOJSZI,X,X,X,X,X,X,X,X,X,X,O,X
TLOJZIS,X,O,X,X,O,O,O,X,X,X,O,X
TLOJZSI,X,O,X,X,O,X,X,X,X,X,O,X
TLOSIJZ,X,X,X,X,X,O,O,X,X,X,X,X
TLOSIZJ,X,O,X,X,X,X,O,X,O,X,X,X
TLOSJIZ,X,X,X,X,X,O,O,X,X,X,X,X
TLOSJZI,X,X,X,X,X,X,O,X,X,X,X,X
TLOSZIJ,X,O,X,X,X,X,O,X,O,X,X,X
TLOSZJI,X,O,X,X,X,X,O,X,O,X,X,X
TLOZIJS,X,O,X,X,X,O,O,X,X,O,X,X
TLOZISJ,X,O,O,X,X,X,O,X,X,O,X,X
TLOZJIS,X,O,X,X,X,O,O,X,X,O,X,X
TLOZJSI,X,O,X,X,X,X,X,X,X,O,X,X
TLOZSIJ,X,O,X,X,X,X,O,X,X,O,X,X
TLOZSJI,X,O,X,X,X,X,O,X,X,O,X,X
TJILSZO,X,X,X,X,X,X,X,X,X,X,X,O
TJILSOZ,X,X,X,X,X,O,X,X,X,X,X,O
TJILZSO,X,X,X,X,X,X,X,O,X,X,X,X
TJILZOS,X,X,X,X,X,O,X,O,X,X,X,X
TJILOSZ,X,X,X,X,X,O,X,X,X,X,O,X
TJILOZS,X,X,X,X,X,O,X,X,X,X,O,X
TJISLZO,O,X,X,O,X,X,X,X,X,X,X,O
TJISLOZ,O,X,X,X,X,O,X,X,X,X,X,O
TJISZLO,O,X,X,O,X,X,X,X,X,X,X,X
TJISZOL,O,X,X,O,X,X,X,X,X,X,X,X
TJISOLZ,O,X,X,X,X,O,X,X,X,X,X,X
TJISOZL,O,X,X,O,X,X,X,X,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X,O,X,X,X,X
TJIZLOS,X,X,X,X,X,O,X,O,X,X,X,X
TJIZSLO,O,X,X,O,X,X,X,X,X,X,X,X
TJIZSOL,O,X,X,O,X,X,X,X,X,X,X,X
TJIZOLS,X,X,X,X,X,O,X,X,X,X,X,X
TJIZOSL,O,X,X,O,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,O,X,X,X,X,O,X
TJIOLZS,X,X,X,X,X,O,X,X,X,X,O,X
TJIOSLZ,O,X,X,X,X,O,X,X,X,X,O,X
TJIOSZL,O,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,O,X,X,X,X,O,X
TJIOZSL,O,X,X,X,X,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,X,X,X,X,O
TJLISOZ,X,X,X,X,X,O,X,X,X,X,X,O
TJLIZSO,X,X,X,X,X,X,X,O,X,X,X,X
TJLIZOS,X,X,X,X,X,O,X,O,X,X,X,X
TJLIOSZ,X,X,X,X,X,O,X,X,X,X,O,X
TJLIOZS,X,X,X,X,X,O,X,X,X,X,O,X
TJLSIZO,X,X,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,O,X,X,X,X,X,X
TJLSZIO,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,O,X,X,X,X,O,X
TJLSOZI,X,X,X,X,X,X,X,X,X,X,O,X
TJLZISO,X,X,X,X,X,X,X,O,X,X,X,X
TJLZIOS,X,X,X,X,X,O,X,O,X,X,X,X
TJLZSIO,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,X,X,X,X,O,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,O,O,X,X,X,X,O,X
TJLZOSI,X,X,X,X,O,X,X,X,X,X,O,X
TJLOISZ,X,X,X,X,X,O,X,X,X,X,O,X
TJLOIZS,X,X,X,X,O,O,X,X,X,X,O,X
TJLOSIZ,X,X,X,X,X,O,X,X,X,X,O,X
TJLOSZI,X,X,X,X,X,X,X,X,X,X,O,X
TJLOZIS,X,X,X,X,O,O,O,X,X,X,O,X
TJLOZSI,X,X,X,X,O,X,X,X,X,X,O,X
TJSILZO,O,X,X,O,X,X,X,X,X,X,X,X
TJSILOZ,O,X,X,X,X,O,X,X,X,X,X,X
TJSIZLO,O,X,X,O,X,X,X,X,X,X,X,X
TJSIZOL,O,X,X,O,X,X,X,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,O,X,X,X,X,X,X
TJSIOZL,O,X,X,O,X,X,X,X,X,X,X,X
TJSLIZO,O,X,X,O,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,X,X,X,O,X,X,X,X,X,X
TJSLZIO,O,X,X,O,X,X,X,X,X,X,X,X
TJSLZOI,O,X,X,O,X,X,X,X,X,X,X,X
TJSLOIZ,O,X,X,X,X,O,X,X,X,X,O,X
TJSLOZI,O,X,X,X,X,X,X,X,X,X,O,X
TJSZILO,O,X,X,O,X,X,X,X,X,X,X,X
TJSZIOL,O,X,X,O,X,X,X,X,X,X,X,X
TJSZLIO,O,X,X,O,X,X,X,X,X,X,X,X
TJSZLOI,O,X,X,O,X,X,X,X,X,X,X,X
TJSZOIL,O,X,X,O,X,X,X,X,O,X,X,X
TJSZOLI,O,X,X,O,X,X,X,X,O,X,X,X
TJSOILZ,O,X,X,X,X,O,X,X,X,X,O,X
TJSOIZL,O,X,X,O,X,X,X,X,O,X,X,X
TJSOLIZ,O,X,X,X,X,O,X,X,X,X,O,X
TJSOLZI,O,X,X,X,X,X,X,X,X,X,O,X
TJSOZIL,O,X,X,O,X,X,X,X,O,X,X,X
TJSOZLI,O,X,X,O,X,X,X,X,O,X,X,X
TJZILSO,X,X,X,X,X,X,X,O,X,X,X,X
TJZILOS,X,X,X,X,X,O,X,O,X,X,X,X
TJZISLO,O,X,X,O,X,X,X,X,X,X,X,X
TJZISOL,O,X,X,O,X,X,X,X,X,X,X,X
TJZIOLS,X,X,X,X,X,O,X,X,X,X,X,X
TJZIOSL,O,X,X,O,X,X,X,X,X,X,X,X
TJZLISO,X,X,X,X,X,X,X,O,X,X,X,X
TJZLIOS,X,X,X,X,X,O,X,O,X,X,X,X
TJZLSIO,X,X,X,X,X,X,X,X,X,X,X,X
TJZLSOI,X,X,X,X,O,X,X,X,X,X,X,X
TJZLOIS,X,X,X,X,O,O,X,X,X,X,O,X
TJZLOSI,X,X,X,X,O,X,X,X,X,X,O,X
TJZSILO,O,X,X,O,X,X,X,X,X,X,X,X
TJZSIOL,O,X,X,O,X,X,X,X,X,X,X,X
TJZSLIO,O,X,X,O,X,X,X,X,X,X,X,X
TJZSLOI,O,X,X,O,O,X,X,X,X,X,X,X
TJZSOIL,O,X,X,O,O,X,X,X,X,O,X,X
TJZSOLI,O,X,X,O,O,X,X,X,X,O,X,X
TJZOILS,X,X,X,X,O,O,X,X,X,O,O,X
TJZOISL,O,X,X,O,O,X,X,X,X,O,X,X
TJZOLIS,X,X,X,X,O,O,X,X,X,O,O,X
TJZOLSI,X,X,X,X,O,X,X,X,X,O,O,X
TJZOSIL,O,X,X,O,O,X,X,X,X,O,X,X
TJZOSLI,O,X,X,O,O,X,X,X,X,O,X,X
TJOILSZ,X,X,X,X,X,O,X,X,X,X,O,X
TJOILZS,X,X,X,X,O,O,X,X,X,X,O,X
TJOISLZ,O,X,X,X,X,O,X,X,X,X,O,X
TJOISZL,O,X,X,X,X,X,X,X,O,X,X,X
TJOIZLS,X,X,X,X,O,O,X,X,X,O,O,X
TJOIZSL,O,X,X,X,O,X,X,X,X,O,X,X
TJOLISZ,X,X,X,X,X,O,X,X,X,X,O,X
TJOLIZS,X,X,X,X,O,O,X,X,X,X,O,X
TJOLSIZ,X,X,X,X,X,O,X,X,X,X,O,X
TJOLSZI,X,X,X,X,X,X,X,X,X,X,O,X
TJOLZIS,X,X,X,X,O,O,O,X,X,X,O,X
TJOLZSI,X,X,X,X,O,X,X,X,X,X,O,X
TJOSILZ,O,X,X,X,X,O,X,X,X,X,O,X
TJOSIZL,O,X,X,X,X,X,X,X,O,X,X,X
TJOSLIZ,O,X,X,X,X,O,X,X,X,X,O,X
TJOSLZI,O,X,X,X,X,X,X,X,X,X,O,X
TJOSZIL,O,X,X,X,X,X,X,X,O,X,X,X
TJOSZLI,O,X,X,X,X,X,X,X,O,X,X,X
TJOZILS,X,X,X,X,O,O,O,X,X,O,O,X
TJOZISL,O,X,X,X,O,X,O,X,X,O,X,X
TJOZLIS,X,X,X,X,O,O,O,X,X,O,O,X
TJOZLSI,X,X,X,X,O,X,X,X,X,O,O,X
TJOZSIL,O,X,X,X,O,X,X,X,X,O,X,X
TJOZSLI,O,X,X,X,O,X,X,X,X,O,X,X
TSILJZO,O,X,X,O,X,X,X,X,X,X,X,X
TSILJOZ,O,X,X,X,X,O,X,X,X,X,X,X
TSILZJO,O,X,O,O,X,X,X,X,X,X,X,X
TSILZOJ,O,X,O,X,X,X,X,X,X,X,X,X
TSILOJZ,O,X,X,X,X,O,O,X,X,X,X,X
TSILOZJ,O,X,O,X,X,X,O,X,X,X,X,X
TSIJLZO,O,X,X,O,X,X,X,X,X,X,X,X
TSIJLOZ,O,X,X,X,X,O,X,X,X,X,X,X
TSIJZLO,O,X,X,O,X,X,X,X,X,X,X,X
TSIJZOL,O,X,X,O,X,X,X,X,X,X,X,X
TSIJOLZ,O,X,X,X,X,O,X,X,X,X,X,X
TSIJOZL,O,X,X,O,X,X,X,X,X,X,X,X
TSIZLJO,O,X,O,O,X,X,X,X,X,X,X,X
TSIZLOJ,O,X,O,X,X,X,X,X,X,X,X,X
TSIZJLO,O,X,O,O,X,X,X,X,X,X,X,X
TSIZJOL,O,X,O,O,X,X,X,X,X,X,X,X
TSIZOLJ,O,X,O,X,X,X,X,X,O,X,X,X
TSIZOJL,O,X,O,O,X,X,X,X,O,X,X,X
TSIOLJZ,O,X,X,X,X,O,O,X,X,X,X,X
TSIOLZJ,O,X,O,X,X,X,O,X,O,X,X,X
TSIOJLZ,O,X,X,X,X,O,X,X,X,X,X,X
TSIOJZL,O,X,X,O,X,X,X,X,O,X,X,X
TSIOZLJ,O,X,O,X,X,X,O,X,O,X,X,X
TSIOZJL,O,X,O,O,X,X,O,X,O,X,X,X
TSLIJZO,O,X,X,O,X,X,X,X,X,X,X,X
TSLIJOZ,O,X,X,X,X,O,X,X,X,X,X,X
TSLIZJO,O,X,O,O,X,X,X,X,X,X,X,X
TSLIZOJ,O,X,O,X,X,X,X,X,X,X,X,X
TSLIOJZ,O,X,X,X,X,O,O,X,X,X,X,X
TSLIOZJ,O,X,O,X,X,X,O,X,X,X,X,X
TSLJIZO,O,X,X,O,X,X,X,X,X,X,X,X
TSLJIOZ,O,X,X,X,X,O,X,X,X,X,X,X
TSLJZIO,O,X,X,O,X,X,X,X,X,X,X,X
TSLJZOI,O,X,X,O,X,X,X,X,X,X,X,X
TSLJOIZ,O,X,X,X,X,O,O,X,X,X,X,X
