sequence,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFzfBChBXiB8?nBerBFqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFqkBTgBOmBX?iB8nB1vB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFukBFhBXiB8?nBTlByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8Jei/IvhF3gBRiBcpBO?rBlnBTqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFGgBFiB8nBz?kBXmByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeTAJvhFRiBOpBXmBl?nB0kByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFVmBynBzkBf?rBGnBUqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFukBXiB8nBK?qBzlBFrB
TLIJOZS,O,O,O,O,X,X,O,O
TLISJZO,X,O,O,X,X,X,X,X
TLISJOZ,X,O,X,X,X,O,X,X
TLISZJO,X,O,O,X,X,X,X,X
TLISZOJ,X,O,O,X,X,X,X,X
TLISOJZ,X,O,O,X,X,O,O,X
TLISOZJ,X,O,O,X,X,X,O,X
TLIZJSO,O,O,O,O,X,X,X,O
TLIZJOS,O,O,O,O,X,X,X,O
TLIZSJO,X,O,O,O,X,X,X,O
TLIZSOJ,X,O,O,O,X,X,X,O
TLIZOJS,O,O,O,O,X,X,O,O
TLIZOSJ,X,O,O,O,X,X,O,O
TLIOJSZ,O,O,O,X,X,X,O,X
TLIOJZS,O,O,O,X,X,X,O,O
TLIOSJZ,X,O,O,X,X,X,O,X
TLIOSZJ,X,O,O,O,X,X,O,X
TLIOZJS,O,O,O,O,X,X,O,O
TLIOZSJ,X,O,O,O,X,X,O,O
TLJISZO,O,O,O,O,X,X,X,X
TLJISOZ,O,O,X,X,X,O,X,X
TLJIZSO,O,O,O,O,X,X,X,O
TLJIZOS,O,O,O,O,X,X,X,O
TLJIOSZ,O,O,O,O,X,X,O,X
TLJIOZS,O,O,O,O,X,X,O,O
TLJSIZO,O,O,O,O,X,X,X,X
TLJSIOZ,O,O,X,X,X,O,X,X
TLJSZIO,O,O,O,O,X,X,X,X
TLJSZOI,O,O,O,O,X,X,X,X
TLJSOIZ,O,O,X,X,X,O,X,X
TLJSOZI,O,O,X,X,X,O,X,X
TLJZISO,O,O,O,O,X,X,X,O
TLJZIOS,O,O,O,O,X,X,X,O
TLJZSIO,O,O,O,O,X,X,X,O
TLJZSOI,O,O,O,O,X,X,X,O
TLJZOIS,O,O,O,O,X,X,X,O
TLJZOSI,O,O,O,O,X,X,X,O
TLJOISZ,O,O,O,O,X,X,O,X
TLJOIZS,O,O,O,O,X,X,O,O
TLJOSIZ,O,O,O,O,X,X,X,X
TLJOSZI,O,O,O,O,X,X,X,X
TLJOZIS,O,O,O,O,X,X,X,O
TLJOZSI,O,O,O,O,X,X,X,O
TLSIJZO,X,O,O,X,X,X,X,X
TLSIJOZ,X,O,X,X,X,O,X,X
TLSIZJO,X,O,O,X,X,X,X,X
TLSIZOJ,X,O,O,X,X,X,X,X
TLSIOJZ,X,O,O,X,X,O,O,X
TLSIOZJ,X,O,O,X,X,X,O,X
TLSJIZO,X,O,O,X,X,X,X,X
TLSJIOZ,X,O,X,X,X,O,X,X
TLSJZIO,X,O,O,X,X,X,X,X
TLSJZOI,X,O,O,X,X,X,X,X
TLSJOIZ,X,O,X,X,X,O,X,X
TLSJOZI,X,O,X,X,X,O,X,X
TLSZIJO,X,O,O,X,X,X,X,X
TLSZIOJ,X,O,O,X,X,X,X,X
TLSZJIO,X,O,O,X,X,X,X,X
TLSZJOI,X,O,O,X,X,X,X,X
TLSZOIJ,X,O,O,X,X,X,X,X
TLSZOJI,X,O,O,X,X,X,X,X
TLSOIJZ,X,O,O,X,X,O,O,X
TLSOIZJ,X,O,O,X,X,X,O,X
TLSOJIZ,X,O,O,X,X,O,X,X
TLSOJZI,X,O,O,X,X,O,X,X
TLSOZIJ,X,O,O,X,X,X,X,X
TLSOZJI,X,O,O,X,X,X,X,X
TLZIJSO,O,O,O,O,X,X,X,O
TLZIJOS,O,O,O,O,X,X,X,O
TLZISJO,X,O,O,O,X,X,X,O
TLZISOJ,X,O,O,O,X,X,X,O
TLZIOJS,O,O,O,O,X,X,O,O
TLZIOSJ,X,O,O,O,X,X,O,O
TLZJISO,O,O,O,O,X,X,X,O
TLZJIOS,O,O,O,O,X,X,X,O
TLZJSIO,O,O,O,O,X,X,X,O
TLZJSOI,O,O,O,O,X,X,X,O
TLZJOIS,O,O,O,O,X,X,X,O
TLZJOSI,O,O,O,O,X,X,X,O
TLZSIJO,X,O,O,O,X,X,X,O
TLZSIOJ,X,O,O,O,X,X,X,O
TLZSJIO,X,O,O,O,X,X,X,O
TLZSJOI,X,O,O,O,X,X,X,O
TLZSOIJ,X,O,O,O,X,X,X,O
TLZSOJI,X,O,O,O,X,X,X,O
TLZOIJS,O,O,O,O,X,X,O,O
TLZOISJ,X,O,O,O,X,X,O,O
TLZOJIS,O,O,O,O,X,X,X,O
TLZOJSI,O,O,O,O,X,X,X,O
TLZOSIJ,X,O,O,O,X,X,X,O
TLZOSJI,X,O,O,O,X,X,X,O
TLOIJSZ,O,O,O,X,X,X,O,X
TLOIJZS,O,O,O,X,X,X,O,O
TLOISJZ,X,O,O,X,X,X,O,X
TLOISZJ,X,O,O,O,X,X,O,X
TLOIZJS,O,O,O,O,X,X,O,O
TLOIZSJ,X,O,O,O,X,X,O,O
TLOJISZ,O,O,O,O,X,X,O,X
TLOJIZS,O,O,O,O,X,X,O,O
TLOJSIZ,O,O,O,O,X,X,X,X
TLOJSZI,O,O,O,O,X,X,X,X
TLOJZIS,O,O,O,O,X,X,X,O
TLOJZSI,O,O,O,O,X,X,X,O
TLOSIJZ,X,O,O,X,X,X,O,X
TLOSIZJ,X,O,O,O,X,X,O,X
TLOSJIZ,X,O,O,X,X,X,X,X
TLOSJZI,X,O,O,X,X,X,X,X
TLOSZIJ,X,O,O,O,X,X,X,X
TLOSZJI,X,O,O,O,X,X,X,X
TLOZIJS,O,O,O,O,X,X,O,O
TLOZISJ,X,O,O,O,X,X,O,O
TLOZJIS,O,O,O,O,X,X,X,O
TLOZJSI,O,O,O,O,X,X,X,O
TLOZSIJ,X,O,O,O,X,X,X,O
TLOZSJI,X,O,O,O,X,X,X,O
TJILSZO,O,O,O,O,X,X,X,X
TJILSOZ,O,O,X,X,X,O,X,X
TJILZSO,O,O,O,O,X,X,X,O
TJILZOS,O,O,O,O,X,X,X,O
TJILOSZ,O,O,X,O,X,X,O,X
TJILOZS,O,O,O,O,X,X,O,O
TJISLZO,O,O,X,O,X,X,X,X
TJISLOZ,O,O,X,X,X,O,X,X
TJISZLO,O,O,X,O,X,X,X,X
TJISZOL,O,O,X,O,X,O,X,X
TJISOLZ,O,X,X,O,X,O,X,X
TJISOZL,O,X,X,O,X,O,X,X
TJIZLSO,O,O,O,O,X,X,X,O
TJIZLOS,O,O,O,O,X,X,X,O
TJIZSLO,O,O,O,O,X,X,X,O
TJIZSOL,O,O,O,O,X,O,X,X
TJIZOLS,O,O,X,O,X,X,X,X
TJIZOSL,O,O,X,O,X,X,X,X
TJIOLSZ,O,O,X,O,X,X,O,X
TJIOLZS,O,O,X,O,X,X,O,X
TJIOSLZ,O,X,X,O,X,O,X,X
TJIOSZL,O,X,X,O,X,O,X,X
TJIOZLS,O,O,X,O,X,X,X,X
TJIOZSL,O,O,X,O,X,X,X,X
TJLISZO,O,O,O,O,X,X,X,X
TJLISOZ,O,O,X,X,X,O,X,X
TJLIZSO,O,O,O,O,X,X,X,O
TJLIZOS,O,O,O,O,X,X,X,O
TJLIOSZ,O,O,X,O,X,X,O,X
TJLIOZS,O,O,O,O,X,X,O,O
TJLSIZO,O,O,O,O,X,X,X,X
TJLSIOZ,O,O,X,X,X,O,X,X
TJLSZIO,O,O,O,O,X,X,X,X
TJLSZOI,O,O,O,O,X,X,X,X
TJLSOIZ,O,O,X,X,X,O,X,X
TJLSOZI,O,O,X,X,X,O,X,X
TJLZISO,O,O,O,O,X,X,X,O
TJLZIOS,O,O,O,O,X,X,X,O
TJLZSIO,O,O,O,O,X,X,X,O
TJLZSOI,O,O,O,O,X,X,X,O
TJLZOIS,O,O,O,O,X,X,X,O
TJLZOSI,O,O,O,O,X,X,X,O
TJLOISZ,O,O,X,O,X,X,O,X
TJLOIZS,O,O,O,O,X,X,O,O
TJLOSIZ,O,O,X,O,X,X,X,X
TJLOSZI,O,O,X,O,X,X,X,X
TJLOZIS,O,O,O,O,X,X,X,O
TJLOZSI,O,O,O,O,X,X,X,O
TJSILZO,O,O,X,O,X,X,X,X
TJSILOZ,O,O,X,X,X,O,X,X
TJSIZLO,O,O,X,O,X,X,X,X
TJSIZOL,O,O,X,O,X,O,X,X
TJSIOLZ,O,X,X,O,X,O,X,X
TJSIOZL,O,X,X,O,X,O,X,X
TJSLIZO,O,O,X,O,X,X,X,X
TJSLIOZ,O,O,X,X,X,O,X,X
TJSLZIO,O,O,X,O,X,X,X,X
TJSLZOI,O,O,X,O,X,X,X,X
TJSLOIZ,O,O,X,X,X,O,X,X
TJSLOZI,O,O,X,X,X,O,X,X
TJSZILO,O,O,X,O,X,X,X,X
TJSZIOL,O,O,X,O,X,O,X,X
TJSZLIO,O,O,X,O,X,X,X,X
TJSZLOI,O,O,X,O,X,X,X,X
TJSZOIL,O,O,X,O,X,O,X,X
TJSZOLI,O,O,X,O,X,O,X,X
TJSOILZ,O,X,X,O,X,O,X,X
TJSOIZL,O,X,X,O,X,O,X,X
TJSOLIZ,O,O,X,O,X,O,X,X
TJSOLZI,O,O,X,O,X,O,X,X
TJSOZIL,O,O,X,O,X,O,X,X
TJSOZLI,O,O,X,O,X,O,X,X
TJZILSO,O,O,O,O,X,X,X,O
TJZILOS,O,O,O,O,X,X,X,O
TJZISLO,O,O,O,O,X,X,X,O
TJZISOL,O,O,O,O,X,O,X,X
TJZIOLS,O,O,X,O,X,X,X,X
TJZIOSL,O,O,X,O,X,X,X,X
TJZLISO,O,O,O,O,X,X,X,O
TJZLIOS,O,O,O,O,X,X,X,O
TJZLSIO,O,O,O,O,X,X,X,O
TJZLSOI,O,O,O,O,X,X,X,O
TJZLOIS,O,O,O,O,X,X,X,O
TJZLOSI,O,O,O,O,X,X,X,O
TJZSILO,O,O,O,O,X,X,X,O
TJZSIOL,O,O,O,O,X,O,X,X
TJZSLIO,O,O,O,O,X,X,X,O
TJZSLOI,O,O,O,O,X,X,X,O
TJZSOIL,O,O,O,O,X,O,X,X
TJZSOLI,O,O,X,O,X,O,X,X
TJZOILS,O,O,X,O,X,X,X,X
TJZOISL,O,O,X,O,X,X,X,X
TJZOLIS,O,O,X,O,X,X,X,X
TJZOLSI,O,O,X,O,X,X,X,X
TJZOSIL,O,O,X,O,X,X,X,X
TJZOSLI,O,O,X,O,X,X,X,X
TJOILSZ,O,O,X,O,X,X,O,X
TJOILZS,O,O,X,O,X,X,O,X
TJOISLZ,O,X,X,O,X,O,X,X
TJOISZL,O,X,X,O,X,O,X,X
TJOIZLS,O,O,X,O,X,X,X,X
TJOIZSL,O,O,X,O,X,X,X,X
TJOLISZ,O,O,X,O,X,X,O,X
TJOLIZS,O,O,X,O,X,X,O,X
TJOLSIZ,O,O,X,O,X,X,X,X
TJOLSZI,O,O,X,O,X,X,X,X
TJOLZIS,O,O,X,O,X,X,X,X
TJOLZSI,O,O,X,O,X,X,X,X
TJOSILZ,O,X,X,O,X,O,X,X
TJOSIZL,O,X,X,O,X,O,X,X
TJOSLIZ,O,O,X,O,X,O,X,X
TJOSLZI,O,O,X,O,X,O,X,X
TJOSZIL,O,O,X,O,X,O,X,X
TJOSZLI,O,O,X,O,X,O,X,X
TJOZILS,O,O,X,O,X,X,X,X
TJOZISL,O,O,X,O,X,X,X,X
TJOZLIS,O,O,X,O,X,X,X,X
TJOZLSI,O,O,X,O,X,X,X,X
TJOZSIL,O,O,X,O,X,X,X,X
TJOZSLI,O,O,X,O,X,X,X,X
TSILJZO,X,O,X,X,X,X,X,X
TSILJOZ,X,O,X,X,X,O,X,X
TSILZJO,X,O,X,X,X,X,X,X
TSILZOJ,X,O,X,X,X,X,X,X
TSILOJZ,X,O,X,X,X,O,O,X
TSILOZJ,X,O,X,X,X,X,O,X
TSIJLZO,O,O,X,O,X,X,X,X
TSIJLOZ,O,O,X,X,X,O,X,X
TSIJZLO,O,O,X,O,X,X,X,X
TSIJZOL,O,O,X,O,X,O,X,X
TSIJOLZ,O,X,X,O,X,O,X,X
TSIJOZL,O,X,X,O,X,O,X,X
TSIZLJO,X,O,X,O,X,X,X,X
TSIZLOJ,X,O,X,O,O,X,X,X
TSIZJLO,O,O,X,O,X,X,X,X
TSIZJOL,O,O,X,O,O,O,X,X
TSIZOLJ,X,O,X,O,O,X,X,X
TSIZOJL,O,O,X,O,O,O,X,X
TSIOLJZ,X,X,X,X,X,O,O,X
TSIOLZJ,X,X,X,O,X,X,O,X
TSIOJLZ,O,X,X,X,X,O,X,X
TSIOJZL,O,X,X,O,O,O,X,X
TSIOZLJ,X,X,X,O,O,X,X,X
TSIOZJL,O,X,X,O,O,O,X,X
TSLIJZO,X,O,X,X,X,X,X,X
TSLIJOZ,X,O,X,X,X,O,X,X
TSLIZJO,X,O,X,X,X,X,X,X
TSLIZOJ,X,O,X,X,X,X,X,X
TSLIOJZ,X,O,X,X,X,O,O,X
TSLIOZJ,X,O,X,X,X,X,O,X
TSLJIZO,X,O,X,X,X,X,X,X
TSLJIOZ,X,O,X,X,X,O,X,X
TSLJZIO,X,O,X,X,X,X,X,X
TSLJZOI,X,O,X,X,X,X,X,X
TSLJOIZ,X,O,X,X,X,O,X,X
TSLJOZI,X,O,X,X,X,O,X,X
TSLZIJO,X,O,X,X,X,X,X,X
TSLZIOJ,X,O,X,X,X,X,X,X
TSLZJIO,X,O,X,X,X,X,X,X
TSLZJOI,X,O,X,X,X,X,X,X
TSLZOIJ,X,O,X,X,X,X,X,X
TSLZOJI,X,O,X,X,X,X,X,X
TSLOIJZ,X,O,X,X,X,O,O,X
TSLOIZJ,X,O,X,X,X,X,O,X
TSLOJIZ,X,O,X,X,X,O,X,X
TSLOJZI,X,O,X,X,X,O,X,X
TSLOZIJ,X,O,X,X,X,X,X,X
TSLOZJI,X,O,X,X,X,X,X,X
TSJILZO,O,O,X,O,X,X,X,X
TSJILOZ,O,O,X,X,X,O,X,X
TSJIZLO,O,O,X,O,X,X,X,X
TSJIZOL,O,O,X,O,X,O,X,X
TSJIOLZ,O,X,X,O,X,O,X,X
TSJIOZL,O,X,X,O,X,O,X,X
TSJLIZO,O,O,X,O,X,X,X,X
TSJLIOZ,O,O,X,X,X,O,X,X
TSJLZIO,O,O,X,O,X,X,X,X
TSJLZOI,O,O,X,O,X,X,X,X
TSJLOIZ,O,O,X,X,X,O,X,X
TSJLOZI,O,O,X,X,X,O,X,X
TSJZILO,O,O,X,O,X,X,X,X
TSJZIOL,O,O,X,O,X,O,X,X
TSJZLIO,O,O,X,O,X,X,X,X
TSJZLOI,O,O,X,O,X,X,X,X
TSJZOIL,O,O,X,O,X,O,X,X
TSJZOLI,O,O,X,O,X,O,X,X
TSJOILZ,O,X,X,O,X,O,X,X
TSJOIZL,O,X,X,O,X,O,X,X
TSJOLIZ,O,O,X,O,X,O,X,X
TSJOLZI,O,O,X,O,X,O,X,X
TSJOZIL,O,O,X,O,X,O,X,X
TSJOZLI,O,O,X,O,X,O,X,X
TSZILJO,X,O,X,O,X,X,X,X
TSZILOJ,X,O,X,O,O,X,X,X
TSZIJLO,O,O,X,O,X,X,X,X
TSZIJOL,O,O,X,O,O,O,X,X
TSZIOLJ,X,O,X,O,O,X,X,X
TSZIOJL,O,O,X,O,O,O,X,X
TSZLIJO,X,O,X,O,X,X,X,X
TSZLIOJ,X,O,X,O,O,X,X,X
TSZLJIO,X,O,X,O,X,X,X,X
TSZLJOI,X,O,X,O,X,X,X,X
TSZLOIJ,X,O,X,O,O,X,X,X
TSZLOJI,X,O,X,O,O,X,X,X
TSZJILO,O,O,X,O,X,X,X,X
TSZJIOL,O,O,X,O,O,O,X,X
TSZJLIO,O,O,X,O,X,X,X,X
TSZJLOI,O,O,X,O,X,X,X,X
TSZJOIL,O,O,X,O,O,O,X,X
TSZJOLI,O,O,X,O,O,O,X,X
TSZOILJ,X,O,X,O,O,X,X,X
TSZOIJL,O,O,X,O,O,O,X,X
TSZOLIJ,X,O,X,O,O,X,X,X
TSZOLJI,X,O,X,O,O,X,X,X
TSZOJIL,O,O,X,O,O,O,X,X
TSZOJLI,O,O,X,O,O,O,X,X
TSOILJZ,X,X,X,X,X,O,O,X
TSOILZJ,X,X,X,O,X,X,O,X
TSOIJLZ,O,X,X,X,X,O,X,X
TSOIJZL,O,X,X,O,O,O,X,X
TSOIZLJ,X,X,X,O,O,X,X,X
TSOIZJL,O,X,X,O,O,O,X,X
TSOLIJZ,X,O,X,X,X,O,O,X
TSOLIZJ,X,O,X,O,X,X,O,X
TSOLJIZ,X,O,X,X,X,O,X,X
TSOLJZI,X,O,X,X,X,O,X,X
TSOLZIJ,X,O,X,O,X,X,X,X
TSOLZJI,X,O,X,O,X,X,X,X
TSOJILZ,O,X,X,O,X,O,X,X
TSOJIZL,O,X,X,O,O,O,X,X
TSOJLIZ,O,O,X,O,X,O,X,X
TSOJLZI,O,O,X,O,X,O,X,X
TSOJZIL,O,O,X,O,O,O,X,X
TSOJZLI,O,O,X,O,O,O,X,X
TSOZILJ,X,O,X,O,O,X,X,X
TSOZIJL,O,O,X,O,O,O,X,X
TSOZLIJ,X,O,X,O,O,X,X,X
TSOZLJI,X,O,X,O,O,X,X,X
TSOZJIL,O,O,X,O,O,O,X,X
TSOZJLI,O,O,X,O,O,O,X,X
TZILJSO,O,O,O,O,X,X,X,O
TZILJOS,O,O,O,O,X,X,X,O
TZILSJO,X,O,O,O,X,X,X,O
TZILSOJ,X,O,O,O,O,X,X,O
TZILOJS,O,O,O,O,X,X,O,O
TZILOSJ,X,O,O,O,O,X,O,O
TZIJLSO,O,O,O,O,X,X,X,O
TZIJLOS,O,O,O,O,X,X,X,O
TZIJSLO,O,O,O,O,X,X,X,O
TZIJSOL,O,O,O,O,O,O,X,X
TZIJOLS,O,O,X,O,X,X,X,X
TZIJOSL,O,O,X,O,O,X,X,X
TZISLJO,O,O,O,O,X,X,X,O
TZISLOJ,X,O,O,O,O,X,X,O
TZISJLO,O,O,O,O,X,X,X,O
TZISJOL,O,O,O,O,O,O,X,X
TZISOLJ,X,O,O,O,O,X,X,X
TZISOJL,O,O,O,O,O,O,X,X
TZIOLJS,O,O,X,O,X,X,O,X
TZIOLSJ,X,O,X,O,O,X,O,X
TZIOJLS,O,O,X,O,X,X,X,X
TZIOJSL,O,O,X,O,O,X,X,X
TZIOSLJ,X,O,X,O,O,X,X,X
TZIOSJL,O,O,X,O,O,X,X,X
TZLIJSO,O,O,O,O,X,X,X,O
TZLIJOS,O,O,O,O,X,X,X,O
TZLISJO,X,O,O,O,X,X,X,O
TZLISOJ,X,O,O,O,O,X,X,O
TZLIOJS,O,O,O,O,X,X,O,O
TZLIOSJ,X,O,O,O,O,X,O,O
TZLJISO,O,O,O,O,X,X,X,O
TZLJIOS,O,O,O,O,X,X,X,O
TZLJSIO,O,O,O,O,X,X,X,O
TZLJSOI,O,O,O,O,X,X,X,O
TZLJOIS,O,O,O,O,X,X,X,O
TZLJOSI,O,O,O,O,X,X,X,O
TZLSIJO,X,O,O,O,X,X,X,O
TZLSIOJ,X,O,O,O,O,X,X,O
TZLSJIO,X,O,O,O,X,X,X,O
TZLSJOI,X,O,O,O,X,X,X,O
TZLSOIJ,X,O,O,O,O,X,X,O
TZLSOJI,X,O,O,O,O,X,X,O
TZLOIJS,O,O,O,O,X,X,O,O
TZLOISJ,X,O,O,O,O,X,O,O
TZLOJIS,O,O,O,O,X,X,X,O
TZLOJSI,O,O,O,O,X,X,X,O
TZLOSIJ,X,O,O,O,O,X,X,O
TZLOSJI,X,O,O,O,O,X,X,O
TZJILSO,O,O,O,O,X,X,X,O
TZJILOS,O,O,O,O,X,X,X,O
TZJISLO,O,O,O,O,X,X,X,O
TZJISOL,O,O,O,O,O,O,X,X
TZJIOLS,O,O,X,O,X,X,X,X
TZJIOSL,O,O,X,O,O,X,X,X
TZJLISO,O,O,O,O,X,X,X,O
TZJLIOS,O,O,O,O,X,X,X,O
TZJLSIO,O,O,O,O,X,X,X,O
TZJLSOI,O,O,O,O,X,X,X,O
TZJLOIS,O,O,O,O,X,X,X,O
TZJLOSI,O,O,O,O,X,X,X,O
TZJSILO,O,O,O,O,X,X,X,O
TZJSIOL,O,O,O,O,O,O,X,X
TZJSLIO,O,O,O,O,X,X,X,O
TZJSLOI,O,O,O,O,X,X,X,O
TZJSOIL,O,O,O,O,O,O,X,X
