sequence,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF3gBcmB6nBT?jBdsBWwB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF3gBumB9nBT?jB8qBywB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lBymB+nBT?jBXrB0rB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lBOmBXiBT?jBcsBSwB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lBymB+nBT?jB0rBXrB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lB2mBTjBc?sBXrBCsB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lB6nBTjBm?mBXrB0rB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhFihB9nBTjB0?lBfsBWwB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF3hB9nBTjB6?qBmrBUrB
TIZJSLO,X,X,X,X,X,X,X,X,X
TIZJSOL,X,O,X,X,X,X,X,X,X
TIZJOLS,X,X,X,X,O,X,X,X,X
TIZJOSL,X,O,X,X,X,X,X,X,X
TIZSLJO,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,X,X,X,X,X,O,X
TIZSJLO,X,X,X,X,X,X,X,X,X
TIZSJOL,X,O,X,O,X,O,X,X,X
TIZSOLJ,O,X,X,X,X,X,X,O,X
TIZSOJL,X,O,X,O,X,O,X,X,X
TIZOLJS,X,X,X,O,X,X,X,X,X
TIZOLSJ,O,X,X,O,X,X,X,X,X
TIZOJLS,X,X,X,X,O,X,X,X,X
TIZOJSL,X,O,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,X,O,X
TIZOSJL,X,O,X,O,X,O,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,X,O
TIOLJZS,O,O,X,O,X,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,O,X,O
TIOLSZJ,X,X,X,X,X,X,X,X,X
TIOLZJS,X,O,X,O,X,X,X,X,X
TIOLZSJ,O,O,X,O,X,X,X,X,X
TIOJLSZ,X,X,O,X,X,X,X,X,X
TIOJLZS,O,O,X,X,O,X,X,X,X
TIOJSLZ,X,X,O,X,X,X,X,X,X
TIOJSZL,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,X,O,X,X,X,X
TIOJZSL,O,O,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,O,X,X
TIOSLZJ,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,O,X,X,X,O,X,X
TIOSJZL,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,X,X,O,X
TIOSZJL,X,O,X,X,X,O,X,X,X
TIOZLJS,X,X,X,O,X,X,X,X,X
TIOZLSJ,O,X,X,O,X,X,X,X,X
TIOZJLS,X,X,X,X,O,X,X,X,X
TIOZJSL,X,O,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,X,O,X
TIOZSJL,X,O,X,O,X,O,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,X,O
TLIJZSO,O,O,X,O,X,X,X,X,X
TLIJZOS,O,O,X,O,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,X,O
TLIJOZS,O,O,X,O,X,X,X,X,X
TLISJZO,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,X,X,X,O,X,X
TLISZJO,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,X,X,X,X,X
TLISOJZ,X,X,X,X,X,X,O,X,O
TLISOZJ,X,X,X,X,X,X,X,X,X
TLIZJSO,X,O,X,O,X,X,X,X,X
TLIZJOS,X,O,X,O,X,X,X,X,X
TLIZSJO,X,O,X,O,X,X,X,X,X
TLIZSOJ,O,O,X,O,X,X,X,X,X
TLIZOJS,X,O,X,O,X,X,X,X,X
TLIZOSJ,O,O,X,O,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,X,O
TLIOJZS,O,O,X,O,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,X,O,X,O
TLIOSZJ,X,X,X,X,X,X,X,X,X
TLIOZJS,X,O,X,O,X,X,X,X,X
TLIOZSJ,O,O,X,O,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,X,O
TLJIZSO,O,O,X,O,X,X,X,X,X
TLJIZOS,O,O,X,O,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,X,O
TLJIOZS,O,O,X,O,X,X,X,X,X
TLJSIZO,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,X,X,O
TLJSZIO,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,X,O
TLJSOZI,X,X,X,X,X,X,X,X,X
TLJZISO,O,O,X,O,X,X,X,X,X
TLJZIOS,O,O,X,O,X,X,X,X,X
TLJZSIO,O,O,X,O,X,X,X,X,X
TLJZSOI,O,O,X,O,X,X,X,X,X
TLJZOIS,O,O,X,O,X,X,X,X,X
TLJZOSI,O,O,X,O,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,X,X,O
TLJOIZS,O,O,X,O,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,X,X,X,O
TLJOSZI,X,X,X,X,X,X,X,X,X
TLJOZIS,O,O,X,O,X,X,X,X,X
TLJOZSI,O,O,X,O,X,X,X,X,X
TLSIJZO,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,X,O,X,X
TLSIZJO,X,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,X,O,X,O
TLSIOZJ,X,X,X,X,X,X,X,X,X
TLSJIZO,X,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,X,O,X,X
TLSJZIO,X,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,X,O,X,X
TLSJOZI,X,X,X,X,X,X,X,X,X
TLSZIJO,X,X,X,X,X,X,X,X,X
TLSZIOJ,X,X,X,X,X,X,X,X,X
TLSZJIO,X,X,X,X,X,X,X,X,X
TLSZJOI,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,O,X,O
TLSOIZJ,X,X,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,X,X,X,O,X,X
TLSOJZI,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,X,X,X,X
TLZIJSO,X,O,X,O,X,X,X,X,X
TLZIJOS,X,O,X,O,X,X,X,X,X
TLZISJO,X,O,X,O,X,X,X,X,X
TLZISOJ,O,O,X,O,X,X,X,X,X
TLZIOJS,X,O,X,O,X,X,X,X,X
TLZIOSJ,O,O,X,O,X,X,X,X,X
TLZJISO,X,O,X,O,X,X,X,X,X
TLZJIOS,X,O,X,O,X,X,X,X,X
TLZJSIO,X,O,X,O,X,X,X,X,X
TLZJSOI,X,O,X,O,X,X,X,X,X
TLZJOIS,X,O,X,O,X,X,X,X,X
TLZJOSI,X,O,X,O,X,X,X,X,X
TLZSIJO,X,O,X,O,X,X,X,X,X
TLZSIOJ,O,O,X,O,X,X,X,X,X
TLZSJIO,X,O,X,O,X,X,X,X,X
TLZSJOI,X,O,X,O,X,X,X,X,X
TLZSOIJ,O,O,X,O,X,X,X,X,X
TLZSOJI,X,O,X,O,X,X,X,X,X
TLZOIJS,X,O,X,O,X,X,X,X,X
TLZOISJ,O,O,X,O,X,X,X,X,X
TLZOJIS,X,O,X,O,X,X,X,X,X
TLZOJSI,X,O,X,O,X,X,X,X,X
TLZOSIJ,O,O,X,O,X,X,X,X,X
TLZOSJI,X,O,X,O,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X,X,O
TLOIJZS,O,O,X,O,X,X,X,X,X
TLOISJZ,X,X,X,X,X,X,O,X,O
TLOISZJ,X,X,X,X,X,X,X,X,X
TLOIZJS,X,O,X,O,X,X,X,X,X
TLOIZSJ,O,O,X,O,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X,X,O
TLOJIZS,O,O,X,O,X,X,X,X,X
TLOJSIZ,X,X,X,X,X,X,X,X,O
TLOJSZI,X,X,X,X,X,X,X,X,X
TLOJZIS,O,O,X,O,X,X,X,X,X
TLOJZSI,O,O,X,O,X,X,X,X,X
TLOSIJZ,X,X,X,X,X,X,O,X,O
TLOSIZJ,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,X,X,O,X,X
TLOSJZI,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X,X,X,X
TLOZIJS,X,O,X,O,X,X,X,X,X
TLOZISJ,O,O,X,O,X,X,X,X,X
TLOZJIS,X,O,X,O,X,X,X,X,X
TLOZJSI,X,O,X,O,X,X,X,X,X
TLOZSIJ,O,O,X,O,X,X,X,X,X
TLOZSJI,X,O,X,O,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X,X,X
TJILZSO,O,O,X,X,X,X,X,X,X
TJILZOS,O,O,X,X,X,X,X,X,X
TJILOSZ,X,X,O,X,X,X,X,X,X
TJILOZS,O,O,X,X,O,X,X,X,X
TJISLZO,X,X,X,X,X,X,X,X,X
TJISLOZ,X,X,O,X,X,X,X,X,X
TJISZLO,X,X,X,X,X,X,X,X,X
TJISZOL,X,X,X,X,X,X,X,X,X
TJISOLZ,X,X,O,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,X,X,X,X
TJIZLSO,O,X,X,X,X,X,X,X,X
TJIZLOS,O,X,X,X,O,X,X,X,X
TJIZSLO,O,X,X,X,X,X,X,X,X
TJIZSOL,O,O,X,X,X,X,X,X,X
TJIZOLS,O,X,X,X,O,X,X,X,X
TJIZOSL,O,O,X,X,X,X,X,X,X
TJIOLSZ,X,X,O,X,X,X,X,X,X
TJIOLZS,O,O,X,X,O,X,X,X,X
TJIOSLZ,X,X,O,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X,X,X,X
TJIOZLS,O,X,X,X,O,X,X,X,X
TJIOZSL,O,O,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,X,X
TJLIZSO,O,O,X,X,X,X,X,X,X
TJLIZOS,O,O,X,X,X,X,X,X,X
TJLIOSZ,X,X,O,X,X,X,X,X,X
TJLIOZS,O,O,X,X,O,X,X,X,X
TJLSIZO,X,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,X,X
TJLSZIO,X,X,X,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X,X
TJLZISO,O,O,X,X,X,X,X,X,X
TJLZIOS,O,O,X,X,X,X,X,X,X
TJLZSIO,O,O,X,X,X,X,X,X,X
TJLZSOI,O,O,X,X,X,X,X,X,X
TJLZOIS,O,O,X,X,X,X,X,X,X
TJLZOSI,O,O,X,X,X,X,X,X,X
TJLOISZ,X,X,O,X,X,X,X,X,X
TJLOIZS,O,O,X,X,O,X,X,X,X
TJLOSIZ,X,X,X,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X
TJLOZIS,O,O,X,X,X,X,X,X,X
TJLOZSI,O,O,X,X,X,X,X,X,X
TJSILZO,X,X,X,X,X,X,X,X,X
TJSILOZ,X,X,O,X,X,X,X,X,X
TJSIZLO,X,X,X,X,X,X,X,X,X
TJSIZOL,X,X,X,X,X,X,X,X,X
TJSIOLZ,X,X,O,X,X,X,X,X,X
TJSIOZL,X,X,X,X,X,X,X,X,X
TJSLIZO,X,X,X,X,X,X,X,X,X
TJSLIOZ,X,X,O,X,X,X,X,X,X
TJSLZIO,X,X,X,X,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X,X,X,X
TJSLOIZ,X,X,O,X,X,X,X,X,X
TJSLOZI,X,X,X,X,X,X,X,X,X
TJSZILO,X,X,X,X,X,X,X,X,X
TJSZIOL,X,X,X,X,X,X,X,X,X
TJSZLIO,X,X,X,X,X,X,X,X,X
TJSZLOI,X,X,X,X,X,X,X,X,X
TJSZOIL,X,X,X,X,X,X,X,X,X
TJSZOLI,X,X,X,X,X,X,X,X,X
TJSOILZ,X,X,O,X,X,X,X,X,X
TJSOIZL,X,X,X,X,X,X,X,X,X
TJSOLIZ,X,X,O,X,X,X,X,X,X
TJSOLZI,X,X,X,X,X,X,X,X,X
TJSOZIL,X,X,X,X,X,X,X,X,X
TJSOZLI,X,X,X,X,X,X,X,X,X
TJZILSO,O,X,X,X,X,X,X,X,X
TJZILOS,O,X,X,X,O,X,X,X,X
TJZISLO,O,X,X,X,X,X,X,X,X
TJZISOL,O,O,X,X,X,X,X,X,X
TJZIOLS,O,X,X,X,O,X,X,X,X
TJZIOSL,O,O,X,X,X,X,X,X,X
TJZLISO,O,X,X,X,X,X,X,X,X
TJZLIOS,O,X,X,X,O,X,X,X,X
TJZLSIO,O,X,X,X,X,X,X,X,X
TJZLSOI,O,X,X,X,X,X,X,X,X
TJZLOIS,O,X,X,X,O,X,X,X,X
TJZLOSI,O,X,X,X,X,X,X,X,X
TJZSILO,O,X,X,X,X,X,X,X,X
TJZSIOL,O,O,X,X,X,X,X,X,X
TJZSLIO,O,X,X,X,X,X,X,X,X
TJZSLOI,O,X,X,X,X,X,X,X,X
TJZSOIL,O,O,X,X,X,X,X,X,X
TJZSOLI,O,X,X,X,X,X,X,X,X
TJZOILS,O,X,X,X,O,X,X,X,X
TJZOISL,O,O,X,X,X,X,X,X,X
TJZOLIS,O,X,X,X,O,X,X,X,X
TJZOLSI,O,X,X,X,X,X,X,X,X
TJZOSIL,O,O,X,X,X,X,X,X,X
TJZOSLI,O,X,X,X,X,X,X,X,X
TJOILSZ,X,X,O,X,X,X,X,X,X
TJOILZS,O,O,X,X,O,X,X,X,X
TJOISLZ,X,X,O,X,X,X,X,X,X
TJOISZL,X,X,X,X,X,X,X,X,X
TJOIZLS,O,X,X,X,O,X,X,X,X
TJOIZSL,O,O,X,X,X,X,X,X,X
TJOLISZ,X,X,O,X,X,X,X,X,X
TJOLIZS,O,O,X,X,O,X,X,X,X
TJOLSIZ,X,X,X,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X,X,X,X
TJOLZIS,O,O,X,X,X,X,X,X,X
TJOLZSI,O,O,X,X,X,X,X,X,X
TJOSILZ,X,X,O,X,X,X,X,X,X
TJOSIZL,X,X,X,X,X,X,X,X,X
TJOSLIZ,X,X,O,X,X,X,X,X,X
TJOSLZI,X,X,X,X,X,X,X,X,X
TJOSZIL,X,X,X,X,X,X,X,X,X
TJOSZLI,X,X,X,X,X,X,X,X,X
TJOZILS,O,X,X,X,O,X,X,X,X
TJOZISL,O,O,X,X,X,X,X,X,X
TJOZLIS,O,X,X,X,O,X,X,X,X
TJOZLSI,O,X,X,X,X,X,X,X,X
TJOZSIL,O,O,X,X,X,X,X,X,X
TJOZSLI,O,X,X,X,X,X,X,X,X
TSILJZO,X,X,X,X,X,X,X,X,X
TSILJOZ,X,X,O,X,X,X,O,X,X
TSILZJO,X,X,X,X,X,X,X,X,X
TSILZOJ,X,X,X,X,X,X,X,X,X
TSILOJZ,X,X,X,X,X,X,O,X,X
TSILOZJ,X,X,X,X,X,X,X,X,X
TSIJLZO,X,X,X,X,X,X,X,X,X
TSIJLOZ,X,X,O,X,X,X,O,X,X
TSIJZLO,X,X,X,X,X,X,X,X,X
TSIJZOL,X,X,X,X,X,X,X,X,X
TSIJOLZ,X,X,O,X,X,X,O,X,X
TSIJOZL,X,X,X,X,X,X,X,X,X
TSIZLJO,X,X,X,X,X,X,X,X,X
TSIZLOJ,X,X,X,X,X,X,X,O,X
TSIZJLO,X,X,X,X,X,X,X,X,X
TSIZJOL,X,O,X,X,X,O,X,X,X
TSIZOLJ,X,X,X,X,X,X,X,O,X
TSIZOJL,X,O,X,X,X,O,X,X,X
TSIOLJZ,X,X,X,X,X,X,O,X,X
TSIOLZJ,X,X,X,X,X,X,X,X,X
TSIOJLZ,X,X,O,X,X,X,O,X,X
TSIOJZL,X,X,X,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,X,X,X,O,X
TSIOZJL,X,O,X,X,X,O,X,X,X
TSLIJZO,X,X,X,X,X,X,X,X,X
TSLIJOZ,X,X,O,X,X,X,O,X,X
TSLIZJO,X,X,X,X,X,X,X,X,X
TSLIZOJ,X,X,X,X,X,X,X,X,X
TSLIOJZ,X,X,X,X,X,X,O,X,X
TSLIOZJ,X,X,X,X,X,X,X,X,X
TSLJIZO,X,X,X,X,X,X,X,X,X
TSLJIOZ,X,X,O,X,X,X,O,X,X
TSLJZIO,X,X,X,X,X,X,X,X,X
TSLJZOI,X,X,X,X,X,X,X,X,X
TSLJOIZ,X,X,O,X,X,X,O,X,X
TSLJOZI,X,X,X,X,X,X,X,X,X
TSLZIJO,X,X,X,X,X,X,X,X,X
TSLZIOJ,X,X,X,X,X,X,X,X,X
TSLZJIO,X,X,X,X,X,X,X,X,X
TSLZJOI,X,X,X,X,X,X,X,X,X
TSLZOIJ,X,X,X,X,X,X,X,X,X
TSLZOJI,X,X,X,X,X,X,X,X,X
TSLOIJZ,X,X,X,X,X,X,O,X,X
TSLOIZJ,X,X,X,X,X,X,X,X,X
TSLOJIZ,X,X,X,X,X,X,O,X,X
TSLOJZI,X,X,X,X,X,X,X,X,X
TSLOZIJ,X,X,X,X,X,X,X,X,X
TSLOZJI,X,X,X,X,X,X,X,X,X
TSJILZO,X,X,X,X,X,X,X,X,X
TSJILOZ,X,X,O,X,X,X,O,X,X
TSJIZLO,X,X,X,X,X,X,X,X,X
TSJIZOL,X,X,X,X,X,X,X,X,X
TSJIOLZ,X,X,O,X,X,X,O,X,X
TSJIOZL,X,X,X,X,X,X,X,X,X
TSJLIZO,X,X,X,X,X,X,X,X,X
TSJLIOZ,X,X,O,X,X,X,O,X,X
TSJLZIO,X,X,X,X,X,X,X,X,X
TSJLZOI,X,X,X,X,X,X,X,X,X
TSJLOIZ,X,X,O,X,X,X,O,X,X
TSJLOZI,X,X,X,X,X,X,X,X,X
TSJZILO,X,X,X,X,X,X,X,X,X
TSJZIOL,X,X,X,X,X,X,X,X,X
TSJZLIO,X,X,X,X,X,X,X,X,X
TSJZLOI,X,X,X,X,X,X,X,X,X
TSJZOIL,X,X,X,X,X,X,X,X,X
TSJZOLI,X,X,X,X,X,X,X,X,X
TSJOILZ,X,X,O,X,X,X,O,X,X
TSJOIZL,X,X,X,X,X,X,X,X,X
TSJOLIZ,X,X,O,X,X,X,O,X,X
TSJOLZI,X,X,X,X,X,X,X,X,X
TSJOZIL,X,X,X,X,X,X,X,X,X
TSJOZLI,X,X,X,X,X,X,X,X,X
TSZILJO,X,X,X,X,X,X,X,X,X
TSZILOJ,X,X,X,X,X,X,X,O,X
TSZIJLO,X,X,X,X,X,X,X,X,X
TSZIJOL,X,O,X,X,X,O,X,X,X
TSZIOLJ,X,X,X,X,X,X,X,O,X
TSZIOJL,X,O,X,X,X,O,X,X,X
TSZLIJO,X,X,X,X,X,X,X,X,X
TSZLIOJ,X,X,X,X,X,X,X,O,X
TSZLJIO,X,X,X,X,X,X,X,X,X
TSZLJOI,X,X,X,X,X,X,X,X,X
TSZLOIJ,X,X,X,X,X,X,X,O,X
TSZLOJI,X,X,X,X,X,X,X,X,X
TSZJILO,X,X,X,X,X,X,X,X,X
TSZJIOL,X,O,X,X,X,O,X,X,X
TSZJLIO,X,X,X,X,X,X,X,X,X
TSZJLOI,X,X,X,X,X,X,X,X,X
TSZJOIL,X,O,X,X,X,O,X,X,X
TSZJOLI,X,X,X,X,X,X,X,X,X
TSZOILJ,X,X,X,X,X,X,X,O,X
TSZOIJL,X,O,X,X,X,O,X,X,X
TSZOLIJ,X,X,X,X,X,X,X,O,X
TSZOLJI,X,X,X,X,X,X,X,X,X
TSZOJIL,X,O,X,X,X,O,X,X,X
TSZOJLI,X,X,X,X,X,X,X,X,X
TSOILJZ,X,X,X,X,X,X,O,X,X
TSOILZJ,X,X,X,X,X,X,X,X,X
TSOIJLZ,X,X,O,X,X,X,O,X,X
TSOIJZL,X,X,X,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,X,X,X,O,X
TSOIZJL,X,O,X,X,X,O,X,X,X
TSOLIJZ,X,X,X,X,X,X,O,X,X
TSOLIZJ,X,X,X,X,X,X,X,X,X
TSOLJIZ,X,X,X,X,X,X,O,X,X
TSOLJZI,X,X,X,X,X,X,X,X,X
TSOLZIJ,X,X,X,X,X,X,X,X,X
TSOLZJI,X,X,X,X,X,X,X,X,X
TSOJILZ,X,X,O,X,X,X,O,X,X
TSOJIZL,X,X,X,X,X,X,X,X,X
TSOJLIZ,X,X,O,X,X,X,O,X,X
TSOJLZI,X,X,X,X,X,X,X,X,X
TSOJZIL,X,X,X,X,X,X,X,X,X
TSOJZLI,X,X,X,X,X,X,X,X,X
TSOZILJ,X,X,X,X,X,X,X,O,X
TSOZIJL,X,O,X,X,X,O,X,X,X
TSOZLIJ,X,X,X,X,X,X,X,O,X
TSOZLJI,X,X,X,X,X,X,X,X,X
TSOZJIL,X,O,X,X,X,O,X,X,X
TSOZJLI,X,X,X,X,X,X,X,X,X
TZILJSO,X,X,X,O,X,X,X,X,X
TZILJOS,X,X,X,O,O,X,X,X,X
TZILSJO,X,X,X,O,X,X,X,X,X
TZILSOJ,O,X,X,O,X,X,X,X,X
TZILOJS,X,X,X,O,X,X,X,X,X
TZILOSJ,O,X,X,O,X,X,X,X,X
TZIJLSO,X,X,X,X,X,X,X,X,X
TZIJLOS,X,X,X,X,O,X,X,X,X
TZIJSLO,X,X,X,X,X,X,X,X,X
TZIJSOL,X,O,X,X,X,X,X,X,X
TZIJOLS,X,X,X,X,O,X,X,X,X
TZIJOSL,X,O,X,X,X,X,X,X,X
TZISLJO,X,X,X,X,X,X,X,X,X
TZISLOJ,O,X,X,X,X,X,X,O,X
TZISJLO,X,X,X,X,X,X,X,X,X
TZISJOL,X,O,X,O,X,O,X,X,X
TZISOLJ,O,X,X,X,X,X,X,O,X
TZISOJL,X,O,X,O,X,O,X,X,X
