sequence,v115@PhD8GeD8BeB8AeB8Jei/IvhFzgBWnBxiBUlBXrBlsB,v115@PhD8GeD8BeB8AeB8JeT/IvhF2lBRhBCjB3mB0qBlsB,v115@PhD8GeD8BeB8AeB8Jex/IvhFXhB8mBCjBmkBzqBlsB,v115@PhD8GeD8BeB8AeB8Jex/IvhF8lBzhBCjBmkBXrBlsB,v115@PhD8GeD8BeB8AeB8JeT/IvhF0gBxiB/qBCnBOrBlsB,v115@PhD8GeD8BeB8AeB8JeT/IvhFXhBxiB2qBCnBlsB0qB,v115@PhD8GeD8BeB8AeB8JeT/IvhFUiB/qBFmBRsBmqBCtB
TOILZSJ,O,O,O,X,O,O,X
TOIJLSZ,O,X,O,O,O,O,X
TOIJLZS,O,X,O,X,X,O,X
TOIJSLZ,O,X,O,O,O,O,X
TOIJSZL,O,X,O,O,O,X,X
TOIJZLS,O,X,O,X,X,O,X
TOIJZSL,O,X,O,X,X,X,X
TOISLJZ,O,O,X,O,O,O,X
TOISLZJ,O,O,X,O,O,O,O
TOISJLZ,O,O,X,O,O,O,X
TOISJZL,O,O,X,O,O,X,O
TOISZLJ,O,O,X,O,O,X,O
TOISZJL,O,O,X,O,O,X,O
TOIZLJS,O,O,O,X,X,O,X
TOIZLSJ,O,O,O,X,O,O,X
TOIZJLS,O,O,O,X,X,O,X
TOIZJSL,O,O,O,X,X,X,X
TOIZSLJ,O,O,O,X,O,X,O
TOIZSJL,O,O,O,X,O,X,O
TOLIJSZ,O,X,O,O,O,O,X
TOLIJZS,O,X,O,X,X,O,X
TOLISJZ,O,O,X,O,O,O,X
TOLISZJ,O,O,X,O,O,O,X
TOLIZJS,O,O,O,X,X,O,X
TOLIZSJ,O,O,O,X,O,O,X
TOLJISZ,O,X,O,O,O,O,X
TOLJIZS,O,X,O,X,X,O,X
TOLJSIZ,O,O,O,O,O,O,X
TOLJSZI,O,O,O,O,O,O,X
TOLJZIS,O,O,O,X,X,O,X
TOLJZSI,O,O,O,O,X,O,X
TOLSIJZ,O,O,X,O,O,O,X
TOLSIZJ,O,O,X,O,O,O,X
TOLSJIZ,O,O,O,O,O,O,X
TOLSJZI,O,O,O,O,O,O,X
TOLSZIJ,O,O,O,O,O,O,X
TOLSZJI,O,O,O,O,O,O,X
TOLZIJS,O,O,O,X,X,O,X
TOLZISJ,O,O,O,X,O,O,X
TOLZJIS,O,O,O,X,X,O,X
TOLZJSI,O,O,O,O,X,O,X
TOLZSIJ,O,O,O,O,O,O,X
TOLZSJI,O,O,O,O,O,O,X
TOJILSZ,O,X,O,O,O,O,X
TOJILZS,O,X,O,X,X,O,X
TOJISLZ,O,X,O,O,O,O,X
TOJISZL,O,X,O,O,O,X,X
TOJIZLS,O,X,O,X,X,O,X
TOJIZSL,O,X,O,X,X,X,X
TOJLISZ,O,X,O,O,O,O,X
TOJLIZS,O,X,O,X,X,O,X
TOJLSIZ,O,O,O,O,O,O,X
TOJLSZI,O,O,O,O,O,O,X
TOJLZIS,O,O,O,X,X,O,X
TOJLZSI,O,O,O,O,X,O,X
TOJSILZ,O,O,O,O,O,O,X
TOJSIZL,O,O,O,O,O,X,X
TOJSLIZ,O,O,O,O,O,O,X
TOJSLZI,O,O,O,O,O,O,X
TOJSZIL,O,O,O,O,O,X,X
TOJSZLI,O,O,O,O,O,X,X
TOJZILS,O,O,O,X,X,O,X
TOJZISL,O,O,O,X,X,X,X
TOJZLIS,O,O,O,X,X,O,X
TOJZLSI,O,O,O,O,X,O,X
TOJZSIL,O,O,O,O,X,X,X
TOJZSLI,O,O,O,O,X,X,X
TOSILJZ,O,O,X,O,O,O,X
TOSILZJ,O,O,X,O,O,O,O
TOSIJLZ,O,O,X,O,O,O,X
TOSIJZL,O,O,X,O,O,X,O
TOSIZLJ,O,O,O,O,O,X,O
TOSIZJL,O,O,X,O,O,X,O
TOSLIJZ,O,O,X,O,O,O,X
TOSLIZJ,O,O,X,O,O,O,O
TOSLJIZ,O,O,O,O,O,O,X
TOSLJZI,O,O,O,O,O,O,X
TOSLZIJ,O,O,O,O,O,O,O
TOSLZJI,O,O,O,O,O,O,X
TOSJILZ,O,O,O,O,O,O,X
TOSJIZL,O,O,O,O,O,X,O
TOSJLIZ,O,O,O,O,O,O,X
TOSJLZI,O,O,O,O,O,O,X
TOSJZIL,O,O,O,O,O,X,O
TOSJZLI,O,O,O,O,O,X,X
TOSZILJ,O,O,O,O,O,X,O
TOSZIJL,O,O,O,O,O,X,O
TOSZLIJ,O,O,O,O,O,X,O
TOSZLJI,O,O,O,O,O,X,X
TOSZJIL,O,O,O,O,O,X,O
TOSZJLI,O,O,O,O,O,X,X
TOZILJS,O,O,O,X,X,O,X
TOZILSJ,O,O,O,X,O,O,X
TOZIJLS,O,O,O,X,X,O,X
TOZIJSL,O,O,O,X,X,X,X
TOZISLJ,O,O,O,X,O,X,X
TOZISJL,O,O,O,X,O,X,X
TOZLIJS,O,O,O,X,X,O,X
TOZLISJ,O,O,O,X,O,O,X
TOZLJIS,O,O,O,X,X,O,X
TOZLJSI,O,O,O,O,X,O,X
TOZLSIJ,O,O,O,O,O,O,X
TOZLSJI,O,O,O,O,O,O,X
TOZJILS,O,O,O,X,X,O,X
TOZJISL,O,O,O,X,X,X,X
TOZJLIS,O,O,O,X,X,O,X
TOZJLSI,O,O,O,O,X,O,X
TOZJSIL,O,O,O,O,X,X,X
TOZJSLI,O,O,O,O,X,X,X
TOZSILJ,O,O,O,O,O,X,X
TOZSIJL,O,O,O,O,O,X,X
TOZSLIJ,O,O,O,O,O,X,X
TOZSLJI,O,O,O,O,O,X,X
TOZSJIL,O,O,O,O,O,X,X
TOZSJLI,O,O,O,O,O,X,X
ITLJSZO,O,X,O,O,O,O,X
ITLJSOZ,O,X,O,O,O,O,X
ITLJZSO,O,X,O,X,X,O,X
ITLJZOS,O,X,O,X,X,O,X
ITLJOSZ,O,X,O,O,O,O,X
ITLJOZS,O,X,O,X,X,O,X
ITLSJZO,O,O,X,O,O,O,X
ITLSJOZ,O,O,X,O,O,O,X
ITLSZJO,O,O,X,O,O,O,X
ITLSZOJ,O,O,X,O,O,O,X
ITLSOJZ,O,O,X,O,O,O,X
ITLSOZJ,O,O,X,O,O,O,X
ITLZJSO,O,O,O,X,X,O,X
ITLZJOS,O,O,O,X,X,O,X
ITLZSJO,O,O,O,X,O,O,X
ITLZSOJ,O,O,O,X,O,O,X
ITLZOJS,O,O,O,X,X,O,X
ITLZOSJ,O,O,O,X,O,O,X
ITLOJSZ,O,X,O,O,O,O,X
ITLOJZS,O,X,O,X,X,O,X
ITLOSJZ,O,O,X,O,O,O,X
ITLOSZJ,O,O,X,O,O,O,X
ITLOZJS,O,O,O,X,X,O,X
ITLOZSJ,O,O,O,X,O,O,X
ITJLSZO,O,X,O,O,O,O,X
ITJLSOZ,O,X,O,O,O,O,X
ITJLZSO,O,X,O,X,X,O,X
ITJLZOS,O,X,O,X,X,O,X
ITJLOSZ,O,X,O,O,O,O,X
ITJLOZS,O,X,O,X,X,O,X
ITJSLZO,O,X,O,O,O,O,X
ITJSLOZ,O,X,O,O,O,O,X
ITJSZLO,O,X,O,O,O,X,X
ITJSZOL,O,X,O,O,O,X,X
ITJSOLZ,O,X,O,O,O,O,X
ITJSOZL,O,X,O,O,O,X,X
ITJZLSO,O,X,O,X,X,O,X
ITJZLOS,O,X,O,X,X,O,X
ITJZSLO,O,X,O,X,X,X,X
ITJZSOL,O,X,O,X,X,X,X
ITJZOLS,O,X,O,X,X,O,X
ITJZOSL,O,X,O,X,X,X,X
ITJOLSZ,O,X,O,O,O,O,X
ITJOLZS,O,X,O,X,X,O,X
ITJOSLZ,O,X,O,O,O,O,X
ITJOSZL,O,X,O,O,O,X,X
ITJOZLS,O,X,O,X,X,O,X
ITJOZSL,O,X,O,X,X,X,X
ITSLJZO,O,O,X,O,O,O,X
ITSLJOZ,O,O,X,O,O,O,X
ITSLZJO,O,O,X,O,O,O,X
ITSLZOJ,O,O,X,O,O,O,O
ITSLOJZ,O,O,X,O,O,O,X
ITSLOZJ,O,O,X,O,O,O,O
ITSJLZO,O,O,X,O,O,O,X
ITSJLOZ,O,O,X,O,O,O,X
ITSJZLO,O,O,X,O,O,X,X
ITSJZOL,O,O,X,O,O,X,O
ITSJOLZ,O,O,X,O,O,O,X
ITSJOZL,O,O,X,O,O,X,O
ITSZLJO,O,O,X,O,O,X,X
ITSZLOJ,O,O,X,O,O,X,O
ITSZJLO,O,O,X,O,O,X,X
ITSZJOL,O,O,X,O,O,X,O
ITSZOLJ,O,O,X,O,O,X,O
ITSZOJL,O,O,X,O,O,X,O
ITSOLJZ,O,O,X,O,O,O,X
ITSOLZJ,O,O,X,O,O,O,O
ITSOJLZ,O,O,X,O,O,O,X
ITSOJZL,O,O,X,O,O,X,O
ITSOZLJ,O,O,X,O,O,X,O
ITSOZJL,O,O,X,O,O,X,O
ITZLJSO,O,O,O,X,X,O,X
ITZLJOS,O,O,O,X,X,O,X
ITZLSJO,O,O,O,X,O,O,X
ITZLSOJ,O,O,O,X,O,O,X
ITZLOJS,O,O,O,X,X,O,X
ITZLOSJ,O,O,O,X,O,O,X
ITZJLSO,O,O,O,X,X,O,X
ITZJLOS,O,O,O,X,X,O,X
ITZJSLO,O,O,O,X,X,X,X
ITZJSOL,O,O,O,X,X,X,X
ITZJOLS,O,O,O,X,X,O,X
ITZJOSL,O,O,O,X,X,X,X
ITZSLJO,O,O,O,X,O,X,X
ITZSLOJ,O,O,O,X,O,X,O
ITZSJLO,O,O,O,X,O,X,X
ITZSJOL,O,O,O,X,O,X,O
ITZSOLJ,O,O,O,X,O,X,O
ITZSOJL,O,O,X,X,O,X,O
ITZOLJS,O,O,O,X,X,O,X
ITZOLSJ,O,O,O,X,O,O,X
ITZOJLS,O,O,O,X,X,O,X
ITZOJSL,O,O,O,X,X,X,X
ITZOSLJ,O,O,O,X,O,X,O
ITZOSJL,O,O,O,X,O,X,O
ITOLJSZ,O,X,O,O,O,O,X
ITOLJZS,O,X,O,X,X,O,X
ITOLSJZ,O,O,X,O,O,O,X
ITOLSZJ,O,O,X,O,O,O,X
ITOLZJS,O,O,O,X,X,O,X
ITOLZSJ,O,O,O,X,O,O,X
ITOJLSZ,O,X,O,O,O,O,X
ITOJLZS,O,X,O,X,X,O,X
ITOJSLZ,O,X,O,O,O,O,X
ITOJSZL,O,X,O,O,O,X,X
ITOJZLS,O,X,O,X,X,O,X
ITOJZSL,O,X,O,X,X,X,X
ITOSLJZ,O,O,X,O,O,O,X
ITOSLZJ,O,O,X,O,O,O,O
ITOSJLZ,O,O,X,O,O,O,X
ITOSJZL,O,O,X,O,O,X,O
ITOSZLJ,O,O,X,O,O,X,O
ITOSZJL,O,O,X,O,O,X,O
ITOZLJS,O,O,O,X,X,O,X
ITOZLSJ,O,O,O,X,O,O,X
ITOZJLS,O,O,O,X,X,O,X
ITOZJSL,O,O,O,X,X,X,X
ITOZSLJ,O,O,O,X,O,X,O
ITOZSJL,O,O,O,X,O,X,O
ILTJSZO,O,X,X,X,O,O,X
ILTJSOZ,O,X,X,X,O,O,X
ILTJZSO,O,X,X,X,X,O,X
ILTJZOS,O,X,X,X,X,O,X
ILTJOSZ,O,X,X,X,O,O,X
ILTJOZS,O,X,X,X,X,O,X
ILTSJZO,O,X,X,X,O,O,X
ILTSJOZ,O,X,X,X,O,O,X
ILTSZJO,O,X,X,X,O,O,X
ILTSZOJ,O,X,X,X,O,O,X
ILTSOJZ,O,X,X,X,O,O,X
ILTSOZJ,O,X,X,X,O,O,X
ILTZJSO,O,X,X,X,X,O,X
ILTZJOS,O,X,X,X,X,O,X
ILTZSJO,O,X,X,X,O,O,X
ILTZSOJ,O,X,X,X,O,O,X
ILTZOJS,O,X,X,X,X,O,X
ILTZOSJ,O,X,X,X,O,O,X
ILTOJSZ,O,X,X,X,O,O,X
ILTOJZS,O,X,X,X,X,O,X
ILTOSJZ,O,X,X,X,O,O,X
ILTOSZJ,O,X,X,X,O,O,X
ILTOZJS,O,X,X,X,X,O,X
ILTOZSJ,O,X,X,X,O,O,X
ILJTSZO,O,X,X,X,X,O,X
ILJTSOZ,O,X,X,X,X,O,X
ILJTZSO,O,X,O,X,X,O,X
ILJTZOS,O,X,X,X,X,O,X
ILJTOSZ,O,X,X,X,X,O,X
ILJTOZS,O,X,O,X,X,O,X
ILJSTZO,O,X,X,X,X,X,X
ILJSTOZ,O,X,X,X,X,X,X
ILJSZTO,O,X,O,O,X,X,X
ILJSZOT,O,X,O,O,O,X,X
ILJSOTZ,O,X,X,X,X,O,X
ILJSOZT,O,X,O,O,O,X,X
ILJZTSO,O,X,O,X,X,X,X
ILJZTOS,O,X,X,X,X,X,X
ILJZSTO,O,X,O,X,X,X,X
ILJZSOT,O,X,O,X,X,X,X
ILJZOTS,X,X,O,X,X,X,X
ILJZOST,X,X,O,X,X,X,X
ILJOTSZ,X,X,X,X,X,O,X
ILJOTZS,X,X,O,X,X,O,X
ILJOSTZ,X,X,X,X,X,O,X
ILJOSZT,X,X,O,X,O,X,X
ILJOZTS,X,X,O,X,X,X,X
ILJOZST,X,X,O,X,X,X,X
ILSTJZO,O,X,X,X,O,X,X
ILSTJOZ,O,O,X,X,O,X,X
ILSTZJO,O,X,X,X,O,X,X
ILSTZOJ,O,X,X,X,O,X,O
ILSTOJZ,O,O,X,X,O,X,X
ILSTOZJ,O,X,X,X,O,X,O
ILSJTZO,O,X,X,X,X,X,X
ILSJTOZ,O,O,X,X,X,X,X
ILSJZTO,O,X,X,O,X,X,X
ILSJZOT,O,O,X,O,O,X,X
ILSJOTZ,O,O,X,X,X,O,X
ILSJOZT,O,O,X,O,O,X,X
ILSZTJO,O,O,X,X,X,X,X
ILSZTOJ,O,O,X,O,O,X,O
ILSZJTO,O,O,X,O,X,X,X
ILSZJOT,O,O,X,O,O,X,X
ILSZOTJ,O,O,X,O,O,X,O
ILSZOJT,O,O,X,O,O,X,X
ILSOTJZ,O,O,X,X,O,X,X
ILSOTZJ,O,X,X,X,O,X,O
ILSOJTZ,O,O,X,X,X,O,X
ILSOJZT,O,O,X,O,O,X,X
ILSOZTJ,O,O,X,O,O,X,O
ILSOZJT,O,O,X,O,O,X,X
ILZTJSO,O,X,X,X,X,X,X
ILZTJOS,O,X,X,X,X,X,X
ILZTSJO,O,X,X,X,X,X,X
ILZTSOJ,O,X,X,X,X,X,X
ILZTOJS,O,X,X,X,X,X,X
ILZTOSJ,O,X,X,X,X,X,X
ILZJTSO,O,O,O,X,X,X,X
ILZJTOS,O,O,X,X,X,X,X
ILZJSTO,O,O,O,X,X,X,X
ILZJSOT,O,O,O,X,X,X,X
ILZJOTS,X,O,O,X,X,X,X
ILZJOST,X,O,O,X,X,X,X
ILZSTJO,O,O,O,X,X,X,X
ILZSTOJ,O,O,X,X,O,X,O
ILZSJTO,O,O,O,X,X,X,X
ILZSJOT,O,O,O,X,O,X,X
ILZSOTJ,O,O,X,X,O,X,O
ILZSOJT,O,O,O,X,O,X,X
ILZOTJS,O,X,X,X,X,X,X
ILZOTSJ,O,X,X,X,X,X,X
ILZOJTS,X,O,O,X,X,X,X
ILZOJST,X,O,O,X,X,X,X
ILZOSTJ,O,O,O,X,O,X,O
ILZOSJT,O,O,O,X,O,X,X
ILOTJSZ,O,X,X,X,O,O,X
ILOTJZS,O,X,X,X,X,O,X
ILOTSJZ,O,X,X,X,O,O,X
ILOTSZJ,O,X,X,X,O,O,X
ILOTZJS,O,X,X,X,X,O,X
ILOTZSJ,O,X,X,X,O,O,X
ILOJTSZ,X,X,X,X,X,O,X
ILOJTZS,X,X,O,X,X,O,X
ILOJSTZ,X,X,X,X,X,O,X
ILOJSZT,X,X,O,X,O,X,X
ILOJZTS,X,X,O,X,X,X,X
ILOJZST,X,X,O,X,X,X,X
ILOSTJZ,O,O,X,X,O,X,X
ILOSTZJ,X,X,X,X,O,X,O
ILOSJTZ,O,O,X,X,X,O,X
ILOSJZT,O,O,X,X,O,X,X
ILOSZTJ,O,O,X,X,O,X,O
ILOSZJT,O,O,X,X,O,X,X
ILOZTJS,O,X,X,X,X,X,X
ILOZTSJ,O,X,X,X,X,X,X
ILOZJTS,X,O,O,X,X,X,X
ILOZJST,X,O,O,X,X,X,X
ILOZSTJ,O,O,O,X,O,X,O
ILOZSJT,O,O,O,X,O,X,X
IJTLSZO,O,X,O,O,O,O,X
IJTLSOZ,O,X,O,O,O,O,X
IJTLZSO,O,X,O,X,X,O,X
IJTLZOS,O,X,O,X,X,O,X
IJTLOSZ,O,X,O,O,O,O,X
IJTLOZS,O,X,O,X,X,O,X
IJTSLZO,O,X,O,O,O,O,X
IJTSLOZ,O,X,O,O,O,O,X
IJTSZLO,O,X,O,O,O,X,X
IJTSZOL,O,X,O,O,O,X,X
IJTSOLZ,O,X,O,O,O,O,X
IJTSOZL,O,X,O,O,O,X,X
IJTZLSO,O,X,O,X,X,O,X
IJTZLOS,O,X,O,X,X,O,X
IJTZSLO,O,X,O,X,X,X,X
IJTZSOL,O,X,O,X,X,X,X
IJTZOLS,O,X,O,X,X,O,X
IJTZOSL,O,X,O,X,X,X,X
IJTOLSZ,O,X,O,O,O,O,X
IJTOLZS,O,X,O,X,X,O,X
IJTOSLZ,O,X,O,O,O,O,X
IJTOSZL,O,X,O,O,O,X,X
IJTOZLS,O,X,O,X,X,O,X
IJTOZSL,O,X,O,X,X,X,X
IJLTSZO,O,X,O,X,X,O,X
IJLTSOZ,O,X,O,X,X,O,X
IJLTZSO,O,X,O,X,X,O,X
IJLTZOS,O,X,O,X,X,O,X
IJLTOSZ,O,X,O,X,X,O,X
IJLTOZS,O,X,O,X,X,O,X
IJLSTZO,O,X,X,X,X,X,X
IJLSTOZ,O,X,X,X,X,X,X
IJLSZTO,O,X,O,O,X,X,X
IJLSZOT,O,X,O,O,O,X,X
IJLSOTZ,O,X,X,X,X,O,X
IJLSOZT,O,X,O,O,O,X,X
IJLZTSO,O,X,O,X,X,X,X
IJLZTOS,O,X,X,X,X,X,X
IJLZSTO,O,X,O,X,X,X,X
IJLZSOT,O,X,O,X,X,X,X
IJLZOTS,X,X,O,X,X,X,X
IJLZOST,X,X,O,X,X,X,X
IJLOTSZ,X,X,O,X,X,O,X
IJLOTZS,X,X,O,X,X,O,X
IJLOSTZ,X,X,X,X,X,O,X
IJLOSZT,X,X,O,X,O,X,X
IJLOZTS,X,X,O,X,X,X,X
IJLOZST,X,X,O,X,X,X,X
IJSTLZO,O,X,O,O,O,O,X
IJSTLOZ,O,X,O,O,O,O,X
IJSTZLO,O,X,O,O,O,X,X
IJSTZOL,O,X,O,O,O,X,O
IJSTOLZ,O,X,O,O,O,O,X
IJSTOZL,X,X,O,O,O,X,O
IJSLTZO,O,X,X,X,X,X,X
IJSLTOZ,O,X,X,X,X,X,X
IJSLZTO,O,X,O,O,X,X,X
IJSLZOT,O,X,O,O,O,X,X
IJSLOTZ,O,X,X,X,X,O,X
IJSLOZT,O,X,O,O,O,X,X
IJSZTLO,O,X,O,O,X,X,X
IJSZTOL,O,X,X,O,X,X,O
IJSZLTO,O,X,O,O,X,X,X
IJSZLOT,O,X,O,O,O,X,X
IJSZOTL,O,X,X,O,X,X,O
IJSZOLT,O,X,O,O,O,X,X
IJSOTLZ,O,X,O,X,O,O,X
IJSOTZL,X,X,O,X,O,X,O
IJSOLTZ,O,X,X,X,X,O,X
IJSOLZT,O,X,O,O,O,X,X
IJSOZTL,O,X,O,O,X,X,O
IJSOZLT,O,X,O,O,O,X,X
IJZTLSO,O,X,O,X,X,O,X
IJZTLOS,O,X,O,X,X,O,X
IJZTSLO,O,X,O,X,X,X,X
IJZTSOL,O,X,O,X,X,X,X
IJZTOLS,O,X,O,X,X,O,X
IJZTOSL,O,X,O,X,X,X,X
IJZLTSO,O,X,O,X,X,X,X
IJZLTOS,O,X,X,X,X,X,X
IJZLSTO,O,X,O,X,X,X,X
IJZLSOT,O,X,O,X,X,X,X
IJZLOTS,X,X,O,X,X,X,X
IJZLOST,X,X,O,X,X,X,X
IJZSTLO,O,X,O,X,X,X,X
IJZSTOL,O,X,X,X,X,X,O
IJZSLTO,O,X,O,X,X,X,X
IJZSLOT,O,X,O,X,X,X,X
IJZSOTL,O,X,X,X,X,X,O
IJZSOLT,O,X,O,X,X,X,X
IJZOTLS,X,X,O,X,X,O,X
IJZOTSL,X,X,O,X,X,X,X
IJZOLTS,X,X,O,X,X,X,X
IJZOLST,X,X,O,X,X,X,X
IJZOSTL,X,X,O,X,X,X,O
IJZOSLT,X,X,O,X,X,X,X
IJOTLSZ,X,X,O,X,O,O,X
IJOTLZS,X,X,O,X,X,O,X
IJOTSLZ,X,X,O,X,O,O,X
IJOTSZL,X,X,O,X,O,X,X
IJOTZLS,X,X,O,X,X,O,X
IJOTZSL,X,X,O,X,X,X,X
IJOLTSZ,X,X,O,X,X,O,X
IJOLTZS,X,X,O,X,X,O,X
IJOLSTZ,X,X,X,X,X,O,X
IJOLSZT,X,X,O,X,O,X,X
IJOLZTS,X,X,O,X,X,X,X
IJOLZST,X,X,O,X,X,X,X
IJOSTLZ,X,X,O,X,O,O,X
IJOSTZL,X,X,O,X,O,X,O
IJOSLTZ,X,X,X,X,X,O,X
IJOSLZT,X,X,O,X,O,X,X
IJOSZTL,X,X,O,X,X,X,O
IJOSZLT,X,X,O,X,O,X,X
IJOZTLS,X,X,O,X,X,O,X
IJOZTSL,X,X,O,X,X,X,X
IJOZLTS,X,X,O,X,X,X,X
IJOZLST,X,X,O,X,X,X,X
IJOZSTL,X,X,O,X,X,X,O
IJOZSLT,X,X,O,X,X,X,X
ISTLJZO,O,X,X,O,O,O,X
ISTLJOZ,O,O,X,O,O,O,X
ISTLZJO,O,X,X,O,O,O,X
ISTLZOJ,O,X,X,O,O,O,O
ISTLOJZ,O,O,X,O,O,O,X
ISTLOZJ,O,X,X,O,O,O,O
ISTJLZO,O,X,X,O,O,O,X
ISTJLOZ,O,O,X,O,O,O,X
ISTJZLO,O,X,X,O,O,X,X
ISTJZOL,O,X,X,O,O,X,O
ISTJOLZ,O,O,X,O,O,O,X
ISTJOZL,O,X,X,O,O,X,O
ISTZLJO,O,X,X,O,O,X,X
ISTZLOJ,O,X,X,O,O,X,O
ISTZJLO,O,X,X,O,O,X,X
ISTZJOL,O,X,X,O,O,X,O
ISTZOLJ,O,X,X,O,O,X,O
ISTZOJL,O,X,X,O,O,X,O
ISTOLJZ,O,O,X,O,O,O,X
ISTOLZJ,O,X,X,O,O,O,O
ISTOJLZ,O,O,X,O,O,O,X
ISTOJZL,O,X,X,O,O,X,O
ISTOZLJ,O,X,X,O,O,X,O
ISTOZJL,O,X,X,O,O,X,O
ISLTJZO,O,X,X,X,O,X,X
ISLTJOZ,O,O,X,X,O,X,X
ISLTZJO,O,X,X,X,O,X,X
ISLTZOJ,O,X,X,X,O,X,O
ISLTOJZ,O,O,X,X,O,X,X
ISLTOZJ,O,X,X,X,O,X,O
ISLJTZO,O,X,X,X,X,X,X
ISLJTOZ,O,O,X,X,X,X,X
ISLJZTO,O,X,X,O,X,X,X
ISLJZOT,O,O,X,O,O,X,X
ISLJOTZ,O,O,X,X,X,X,X
ISLJOZT,O,O,X,O,O,X,X
ISLZTJO,O,O,X,X,X,X,X
ISLZTOJ,O,O,X,O,O,X,O
ISLZJTO,O,O,X,O,X,X,X
ISLZJOT,O,O,X,O,O,X,X
ISLZOTJ,O,O,X,O,O,X,O
ISLZOJT,O,O,X,O,O,X,X
ISLOTJZ,O,O,X,X,O,X,X
ISLOTZJ,O,X,X,X,O,X,O
ISLOJTZ,O,O,X,X,X,X,X
ISLOJZT,O,O,X,O,O,X,X
ISLOZTJ,O,O,X,O,O,X,O
ISLOZJT,O,O,X,O,O,X,X
ISJTLZO,O,X,X,O,O,O,X
ISJTLOZ,O,O,X,O,O,O,X
ISJTZLO,O,X,X,O,O,X,X
ISJTZOL,O,X,X,O,O,X,O
ISJTOLZ,O,O,X,O,O,O,X
ISJTOZL,X,X,X,O,O,X,O
ISJLTZO,O,X,X,X,X,X,X
ISJLTOZ,O,O,X,X,X,X,X
ISJLZTO,O,X,X,O,X,X,X
ISJLZOT,O,O,X,O,O,X,X
ISJLOTZ,O,O,X,X,X,X,X
ISJLOZT,O,O,X,O,O,X,X
ISJZTLO,O,X,X,O,X,X,X
ISJZTOL,O,X,X,O,X,X,O
ISJZLTO,O,X,X,O,X,X,X
ISJZLOT,O,O,X,O,O,X,X
ISJZOTL,O,X,X,O,X,X,O
ISJZOLT,O,O,X,O,O,X,X
ISJOTLZ,O,O,X,X,O,O,X
ISJOTZL,X,X,X,X,O,X,O
ISJOLTZ,O,O,X,X,X,X,X
ISJOLZT,O,O,X,O,O,X,X
ISJOZTL,O,X,X,O,X,X,O
ISJOZLT,O,O,X,O,O,X,X
ISZTLJO,O,O,X,O,O,X,X
ISZTLOJ,O,O,X,O,O,X,O
ISZTJLO,O,O,X,O,O,X,X
ISZTJOL,O,O,X,O,O,X,O
ISZTOLJ,O,O,X,O,O,X,O
ISZTOJL,O,O,X,O,O,X,O
ISZLTJO,O,O,X,O,X,X,X
ISZLTOJ,O,O,X,O,O,X,O
ISZLJTO,O,O,X,O,X,X,X
ISZLJOT,O,O,X,O,O,X,X
ISZLOTJ,O,O,X,O,O,X,O
ISZLOJT,O,O,X,O,O,X,X
ISZJTLO,O,O,X,O,X,X,X
ISZJTOL,O,O,X,O,X,X,O
ISZJLTO,O,O,X,O,X,X,X
ISZJLOT,O,O,X,O,O,X,X
ISZJOTL,O,O,X,O,X,X,O
ISZJOLT,O,O,X,O,O,X,X
ISZOTLJ,O,O,X,O,O,X,O
ISZOTJL,O,O,X,O,O,X,O
ISZOLTJ,O,O,X,O,O,X,O
ISZOLJT,O,O,X,O,O,X,X
ISZOJTL,O,O,X,O,X,X,O
ISZOJLT,O,O,X,O,O,X,X
ISOTLJZ,O,O,X,X,O,O,X
ISOTLZJ,O,X,X,X,O,O,O
ISOTJLZ,O,O,X,X,O,O,X
ISOTJZL,O,X,X,X,O,X,O
ISOTZLJ,O,X,X,X,O,X,O
ISOTZJL,O,X,X,X,O,X,O
ISOLTJZ,O,O,X,X,O,X,X
ISOLTZJ,O,X,X,X,O,X,O
ISOLJTZ,O,O,X,X,X,X,X
ISOLJZT,O,O,X,O,O,X,X
ISOLZTJ,O,O,X,O,O,X,O
ISOLZJT,O,O,X,O,O,X,X
ISOJTLZ,O,O,X,X,O,O,X
ISOJTZL,X,X,X,X,O,X,O
ISOJLTZ,O,O,X,X,X,X,X
ISOJLZT,O,O,X,O,O,X,X
ISOJZTL,O,X,X,O,X,X,O
ISOJZLT,O,O,X,O,O,X,X
ISOZTLJ,O,O,X,O,O,X,O
ISOZTJL,O,O,X,X,O,X,O
ISOZLTJ,O,O,X,O,O,X,O
ISOZLJT,O,O,X,O,O,X,X
ISOZJTL,O,O,X,O,X,X,O
ISOZJLT,O,O,X,O,O,X,X
IZTLJSO,O,O,X,X,X,O,X
IZTLJOS,O,O,X,X,X,O,X
IZTLSJO,O,O,X,X,O,O,X
IZTLSOJ,O,O,X,X,O,O,X
IZTLOJS,O,O,X,X,X,O,X
IZTLOSJ,O,O,X,X,O,O,X
IZTJLSO,O,O,X,X,X,O,X
IZTJLOS,O,O,X,X,X,O,X
IZTJSLO,O,O,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X
IZTJOLS,O,O,X,X,X,O,X
IZTJOSL,O,O,X,X,X,X,X
IZTSLJO,O,O,X,X,O,X,X
IZTSLOJ,O,O,X,X,O,X,O
IZTSJLO,O,O,X,X,O,X,X
IZTSJOL,O,O,X,X,O,X,O
IZTSOLJ,O,O,X,X,O,X,O
IZTSOJL,O,O,X,X,O,X,O
