sequence,v115@HhB8HeB8EeD8EeD8Jem/IvhFRiBSoBFmB8rBXqBzqB,v115@HhB8HeB8EeD8EeD8Jex/IvhFlhBcnBTjBmlBXqBSwB,v115@HhB8HeB8EeD8EeD8Jex/IvhFylBumBcnBTjBXqBVwB,v115@HhB8HeB8EeD8EeD8Jex/IvhF8lBCiBTjBeqBXnBVwB,v115@HhB8HeB8EeD8EeD8JeKFJvhFWmBxhBTjBXnBVwB0pB,v115@HhB8HeB8EeD8EeD8Jem/IvhFUhBTjB1qBXnBCsBRvB,v115@HhB8HeB8EeD8EeD8Jem/IvhFSnBTjB3lBFmB8rBRvB
TIZOLJS,X,O,O,X,X,O,X
TIZOLSJ,X,O,O,X,X,O,X
TIZOJLS,X,O,O,X,X,O,X
TIZOJSL,X,O,O,X,X,O,X
TIZOSLJ,X,O,O,X,X,O,X
TIZOSJL,X,O,O,X,X,O,X
TIOLJSZ,X,X,X,X,O,O,O
TIOLJZS,X,O,O,X,X,O,X
TIOLSJZ,X,X,X,X,O,O,O
TIOLSZJ,X,X,O,X,O,O,X
TIOLZJS,X,O,O,X,X,O,X
TIOLZSJ,X,O,O,X,X,O,X
TIOJLSZ,X,X,X,X,O,O,O
TIOJLZS,X,X,O,X,X,O,X
TIOJSLZ,X,X,X,O,O,O,O
TIOJSZL,X,X,X,O,O,O,X
TIOJZLS,X,X,O,O,X,O,X
TIOJZSL,X,X,O,O,X,O,X
TIOSLJZ,X,X,X,O,O,O,O
TIOSLZJ,X,X,O,X,O,O,X
TIOSJLZ,X,X,X,O,O,O,O
TIOSJZL,X,O,X,O,O,O,X
TIOSZLJ,X,O,O,X,O,O,X
TIOSZJL,X,O,O,X,O,O,X
TIOZLJS,X,O,O,X,X,O,X
TIOZLSJ,X,O,O,X,X,O,X
TIOZJLS,X,O,O,X,X,O,X
TIOZJSL,X,O,O,X,X,O,X
TIOZSLJ,X,O,O,X,X,O,X
TIOZSJL,X,O,O,X,X,O,X
TLIJSZO,O,X,X,X,O,X,X
TLIJSOZ,X,X,X,X,O,X,O
TLIJZSO,O,O,O,X,X,X,X
TLIJZOS,X,O,O,X,X,X,X
TLIJOSZ,X,X,X,X,O,X,O
TLIJOZS,X,O,O,X,X,X,X
TLISJZO,O,X,X,X,O,X,X
TLISJOZ,X,X,X,X,O,X,O
TLISZJO,O,X,O,X,O,X,X
TLISZOJ,O,X,O,X,O,X,X
TLISOJZ,X,X,X,X,O,X,O
TLISOZJ,X,X,O,X,O,X,X
TLIZJSO,O,O,O,X,X,X,X
TLIZJOS,X,O,O,X,X,X,X
TLIZSJO,O,X,O,X,X,X,X
TLIZSOJ,O,O,O,X,X,X,X
TLIZOJS,X,O,O,X,X,X,X
TLIZOSJ,X,O,O,X,X,X,X
TLIOJSZ,X,X,X,X,O,X,O
TLIOJZS,X,O,O,X,X,X,X
TLIOSJZ,X,X,X,X,O,X,O
TLIOSZJ,X,X,O,X,O,X,X
TLIOZJS,X,O,O,X,X,X,X
TLIOZSJ,X,O,O,X,X,X,X
TLJISZO,O,X,X,X,O,X,X
TLJISOZ,X,X,X,X,O,X,O
TLJIZSO,O,O,O,X,X,X,X
TLJIZOS,X,O,O,X,X,X,X
TLJIOSZ,X,X,X,X,O,X,O
TLJIOZS,X,O,O,X,X,X,X
TLJSIZO,O,X,X,O,O,X,X
TLJSIOZ,X,X,X,O,O,X,X
TLJSZIO,O,X,X,O,O,X,X
TLJSZOI,O,X,X,O,O,X,X
TLJSOIZ,X,X,X,O,O,X,X
TLJSOZI,X,X,X,O,O,X,X
TLJZISO,O,O,O,O,X,X,X
TLJZIOS,X,O,O,O,X,X,X
TLJZSIO,O,O,O,O,O,X,X
TLJZSOI,O,O,O,O,O,X,X
TLJZOIS,X,O,O,O,X,X,X
TLJZOSI,X,O,O,O,O,X,X
TLJOISZ,X,X,X,X,O,X,O
TLJOIZS,X,O,O,X,X,X,X
TLJOSIZ,X,X,X,O,O,X,X
TLJOSZI,X,X,X,O,O,X,X
TLJOZIS,X,O,O,O,X,X,X
TLJOZSI,X,O,O,O,O,X,X
TLSIJZO,O,X,X,O,O,X,X
TLSIJOZ,X,X,X,O,O,X,X
TLSIZJO,O,X,O,X,O,X,X
TLSIZOJ,O,X,O,X,O,X,X
TLSIOJZ,X,X,X,O,O,X,X
TLSIOZJ,X,X,O,X,O,X,X
TLSJIZO,O,X,X,O,O,X,X
TLSJIOZ,X,X,X,O,O,X,X
TLSJZIO,O,X,X,O,O,X,X
TLSJZOI,O,X,X,O,O,X,X
TLSJOIZ,X,X,X,O,O,X,X
TLSJOZI,X,X,X,O,O,X,X
TLSZIJO,O,X,O,X,O,X,X
TLSZIOJ,O,X,O,X,O,X,X
TLSZJIO,O,X,O,O,O,X,X
TLSZJOI,O,X,O,O,O,X,X
TLSZOIJ,O,X,O,X,O,X,X
TLSZOJI,O,X,O,O,O,X,X
TLSOIJZ,X,X,X,O,O,X,X
TLSOIZJ,X,X,O,X,O,X,X
TLSOJIZ,X,X,X,O,O,X,X
TLSOJZI,X,X,X,O,O,X,X
TLSOZIJ,X,X,O,X,O,X,X
TLSOZJI,X,X,O,O,O,X,X
TLZIJSO,O,O,O,X,X,X,X
TLZIJOS,X,O,O,X,X,X,X
TLZISJO,O,X,O,X,X,X,X
TLZISOJ,O,O,O,X,X,X,X
TLZIOJS,X,O,O,X,X,X,X
TLZIOSJ,X,O,O,X,X,X,X
TLZJISO,O,O,O,X,X,X,X
TLZJIOS,X,O,O,X,X,X,X
TLZJSIO,O,O,O,X,O,X,X
TLZJSOI,O,O,O,X,O,X,X
TLZJOIS,X,O,O,X,X,X,X
TLZJOSI,X,O,O,X,O,X,X
TLZSIJO,O,X,O,X,O,X,X
TLZSIOJ,O,O,O,X,O,X,X
TLZSJIO,O,O,O,X,O,X,X
TLZSJOI,O,O,O,X,O,X,X
TLZSOIJ,O,O,O,X,O,X,X
TLZSOJI,O,O,O,X,O,X,X
TLZOIJS,X,O,O,X,X,X,X
TLZOISJ,X,O,O,X,X,X,X
TLZOJIS,X,O,O,X,X,X,X
TLZOJSI,X,O,O,X,O,X,X
TLZOSIJ,X,O,O,X,O,X,X
TLZOSJI,X,O,O,X,O,X,X
TLOIJSZ,X,X,X,X,O,X,O
TLOIJZS,X,O,O,X,X,X,X
TLOISJZ,X,X,X,X,O,X,O
TLOISZJ,X,X,O,X,O,X,X
TLOIZJS,X,O,O,X,X,X,X
TLOIZSJ,X,O,O,X,X,X,X
TLOJISZ,X,X,X,X,O,X,O
TLOJIZS,X,O,O,X,X,X,X
TLOJSIZ,X,X,X,O,O,X,X
TLOJSZI,X,X,X,O,O,X,X
TLOJZIS,X,O,O,O,X,X,X
TLOJZSI,X,O,O,O,O,X,X
TLOSIJZ,X,X,X,O,O,X,X
TLOSIZJ,X,X,O,X,O,X,X
TLOSJIZ,X,X,X,O,O,X,X
TLOSJZI,X,X,X,O,O,X,X
TLOSZIJ,X,X,O,X,O,X,X
TLOSZJI,X,X,O,O,O,X,X
TLOZIJS,X,O,O,X,X,X,X
TLOZISJ,X,O,O,X,X,X,X
TLOZJIS,X,O,O,X,X,X,X
TLOZJSI,X,O,O,X,O,X,X
TLOZSIJ,X,O,O,X,O,X,X
TLOZSJI,X,O,O,X,O,X,X
TJILSZO,X,X,X,X,O,O,X
TJILSOZ,X,X,X,X,O,O,O
TJILZSO,X,X,O,X,X,O,X
TJILZOS,X,X,O,X,X,O,X
TJILOSZ,X,X,X,X,O,O,O
TJILOZS,X,X,O,X,X,O,X
TJISLZO,X,X,X,O,O,O,X
TJISLOZ,X,X,X,O,O,O,O
TJISZLO,X,X,X,O,O,O,X
TJISZOL,X,X,X,O,O,O,X
TJISOLZ,X,X,X,O,O,O,O
TJISOZL,X,X,X,O,O,O,X
TJIZLSO,X,X,O,O,X,O,X
TJIZLOS,X,X,O,O,X,O,X
TJIZSLO,X,X,O,O,X,O,X
TJIZSOL,X,X,O,O,X,O,X
TJIZOLS,X,X,O,O,X,O,X
TJIZOSL,X,X,O,O,X,O,X
TJIOLSZ,X,X,X,X,O,O,O
TJIOLZS,X,X,O,X,X,O,X
TJIOSLZ,X,X,X,O,O,O,O
TJIOSZL,X,X,X,O,O,O,X
TJIOZLS,X,X,O,O,X,O,X
TJIOZSL,X,X,O,O,X,O,X
TJLISZO,O,X,X,X,O,X,X
TJLISOZ,X,X,X,X,O,X,O
TJLIZSO,O,X,O,X,X,X,X
TJLIZOS,X,X,O,X,X,X,X
TJLIOSZ,X,X,X,X,O,X,O
TJLIOZS,X,X,O,X,X,X,X
TJLSIZO,O,X,X,O,O,X,X
TJLSIOZ,X,X,X,O,O,X,X
TJLSZIO,O,X,X,O,O,X,X
TJLSZOI,O,X,X,O,O,X,X
TJLSOIZ,X,X,X,O,O,X,X
TJLSOZI,X,X,X,O,O,X,X
TJLZISO,O,X,O,O,X,X,X
TJLZIOS,X,X,O,O,X,X,X
TJLZSIO,O,X,O,O,O,X,X
TJLZSOI,O,X,O,O,O,X,X
TJLZOIS,X,X,O,O,X,X,X
TJLZOSI,X,X,O,O,O,X,X
TJLOISZ,X,X,X,X,O,X,O
TJLOIZS,X,X,O,X,X,X,X
TJLOSIZ,X,X,X,O,O,X,X
TJLOSZI,X,X,X,O,O,X,X
TJLOZIS,X,X,O,O,X,X,X
TJLOZSI,X,X,O,O,O,X,X
TJSILZO,X,X,X,O,O,X,X
TJSILOZ,X,X,X,O,O,X,X
TJSIZLO,X,X,X,O,O,X,X
TJSIZOL,X,X,X,O,O,X,X
TJSIOLZ,X,X,X,O,O,X,X
TJSIOZL,X,X,X,O,O,X,X
TJSLIZO,O,X,X,O,O,X,X
TJSLIOZ,X,X,X,O,O,X,X
TJSLZIO,O,X,X,O,O,X,X
TJSLZOI,O,X,X,O,O,X,X
TJSLOIZ,X,X,X,O,O,X,X
TJSLOZI,X,X,X,O,O,X,X
TJSZILO,O,X,X,O,O,X,X
TJSZIOL,O,X,X,O,O,X,X
TJSZLIO,O,X,X,O,O,X,X
TJSZLOI,O,X,X,O,O,X,X
TJSZOIL,O,X,X,O,O,X,X
TJSZOLI,O,X,X,O,O,X,X
TJSOILZ,X,X,X,O,O,X,X
TJSOIZL,X,X,X,O,O,X,X
TJSOLIZ,X,X,X,O,O,X,X
TJSOLZI,X,X,X,O,O,X,X
TJSOZIL,X,X,X,O,O,X,X
TJSOZLI,X,X,X,O,O,X,X
TJZILSO,O,X,O,O,X,X,X
TJZILOS,X,X,O,O,X,X,X
TJZISLO,O,X,O,O,X,X,X
TJZISOL,O,X,O,O,X,X,X
TJZIOLS,X,X,O,O,X,X,X
TJZIOSL,X,X,O,O,X,X,X
TJZLISO,O,X,O,O,X,X,X
TJZLIOS,X,X,O,O,X,X,X
TJZLSIO,O,X,O,O,O,X,X
TJZLSOI,O,X,O,O,O,X,X
TJZLOIS,X,X,O,O,X,X,X
TJZLOSI,X,X,O,O,O,X,X
TJZSILO,O,X,O,O,O,X,X
TJZSIOL,O,X,O,O,O,X,X
TJZSLIO,O,X,O,O,O,X,X
TJZSLOI,O,X,O,O,O,X,X
TJZSOIL,O,X,O,O,O,X,X
TJZSOLI,O,X,O,O,O,X,X
TJZOILS,X,X,O,O,X,X,X
TJZOISL,X,X,O,O,X,X,X
TJZOLIS,X,X,O,O,X,X,X
TJZOLSI,X,X,O,O,O,X,X
TJZOSIL,X,X,O,O,O,X,X
TJZOSLI,X,X,O,O,O,X,X
TJOILSZ,X,X,X,X,O,O,O
TJOILZS,X,X,O,X,X,O,X
TJOISLZ,X,X,X,O,O,O,O
TJOISZL,X,X,X,O,O,O,X
TJOIZLS,X,X,O,O,X,O,X
TJOIZSL,X,X,O,O,X,O,X
TJOLISZ,X,X,X,X,O,X,O
TJOLIZS,X,X,O,X,X,X,X
TJOLSIZ,X,X,X,O,O,X,X
TJOLSZI,X,X,X,O,O,X,X
TJOLZIS,X,X,O,O,X,X,X
TJOLZSI,X,X,O,O,O,X,X
TJOSILZ,X,X,X,O,O,X,X
TJOSIZL,X,X,X,O,O,X,X
TJOSLIZ,X,X,X,O,O,X,X
TJOSLZI,X,X,X,O,O,X,X
TJOSZIL,X,X,X,O,O,X,X
TJOSZLI,X,X,X,O,O,X,X
TJOZILS,X,X,O,O,X,X,X
TJOZISL,X,X,O,O,X,X,X
TJOZLIS,X,X,O,O,X,X,X
TJOZLSI,X,X,O,O,O,X,X
TJOZSIL,X,X,O,O,O,X,X
TJOZSLI,X,X,O,O,O,X,X
TSILJZO,X,X,X,O,O,O,X
TSILJOZ,X,X,X,O,O,O,X
TSILZJO,X,X,O,X,O,O,X
TSILZOJ,X,X,O,X,O,O,X
TSILOJZ,X,X,X,O,O,O,X
TSILOZJ,X,X,O,X,O,O,X
TSIJLZO,X,X,X,O,O,O,X
TSIJLOZ,X,X,X,O,O,O,X
TSIJZLO,X,O,X,O,O,O,X
TSIJZOL,X,O,X,O,O,O,X
TSIJOLZ,X,X,X,O,O,O,X
TSIJOZL,X,O,X,O,O,O,X
TSIZLJO,X,O,O,X,O,O,X
TSIZLOJ,X,O,O,X,O,O,X
TSIZJLO,X,O,O,X,O,O,X
TSIZJOL,X,O,O,X,O,O,X
TSIZOLJ,X,O,O,X,O,O,X
TSIZOJL,X,O,O,X,O,O,X
TSIOLJZ,X,X,X,O,O,O,X
TSIOLZJ,X,X,O,X,O,O,X
TSIOJLZ,X,X,X,O,O,O,X
TSIOJZL,X,O,X,O,O,O,X
TSIOZLJ,X,O,O,X,O,O,X
TSIOZJL,X,O,O,X,O,O,X
TSLIJZO,O,X,X,O,O,X,X
TSLIJOZ,X,X,X,O,O,X,X
TSLIZJO,O,X,O,X,O,X,X
TSLIZOJ,O,X,O,X,O,X,X
TSLIOJZ,X,X,X,O,O,X,X
TSLIOZJ,X,X,O,X,O,X,X
TSLJIZO,O,X,X,O,O,X,X
TSLJIOZ,X,X,X,O,O,X,X
TSLJZIO,O,X,X,O,O,X,X
TSLJZOI,O,X,X,O,O,X,X
TSLJOIZ,X,X,X,O,O,X,X
TSLJOZI,X,X,X,O,O,X,X
TSLZIJO,O,X,O,X,O,X,X
TSLZIOJ,O,X,O,X,O,X,X
TSLZJIO,O,X,O,O,O,X,X
TSLZJOI,O,X,O,O,O,X,X
TSLZOIJ,O,X,O,X,O,X,X
TSLZOJI,O,X,O,O,O,X,X
TSLOIJZ,X,X,X,O,O,X,X
TSLOIZJ,X,X,O,X,O,X,X
TSLOJIZ,X,X,X,O,O,X,X
TSLOJZI,X,X,X,O,O,X,X
TSLOZIJ,X,X,O,X,O,X,X
TSLOZJI,X,X,O,O,O,X,X
TSJILZO,X,X,X,O,O,X,X
TSJILOZ,X,X,X,O,O,X,X
TSJIZLO,X,O,X,O,O,X,X
TSJIZOL,X,O,X,O,O,X,X
TSJIOLZ,X,X,X,O,O,X,X
TSJIOZL,X,O,X,O,O,X,X
TSJLIZO,O,X,X,O,O,X,X
TSJLIOZ,X,X,X,O,O,X,X
TSJLZIO,O,X,X,O,O,X,X
TSJLZOI,O,X,X,O,O,X,X
TSJLOIZ,X,X,X,O,O,X,X
TSJLOZI,X,X,X,O,O,X,X
TSJZILO,O,O,X,O,O,X,X
TSJZIOL,O,O,X,O,O,X,X
TSJZLIO,O,O,X,O,O,X,X
TSJZLOI,O,O,X,O,O,X,X
TSJZOIL,O,O,X,O,O,X,X
TSJZOLI,O,O,X,O,O,X,X
TSJOILZ,X,X,X,O,O,X,X
TSJOIZL,X,O,X,O,O,X,X
TSJOLIZ,X,X,X,O,O,X,X
TSJOLZI,X,X,X,O,O,X,X
TSJOZIL,X,O,X,O,O,X,X
TSJOZLI,X,O,X,O,O,X,X
TSZILJO,O,O,O,X,O,X,X
TSZILOJ,O,O,O,X,O,X,X
TSZIJLO,O,O,O,X,O,X,X
TSZIJOL,O,O,O,X,O,X,X
TSZIOLJ,O,O,O,X,O,X,X
TSZIOJL,O,O,O,X,O,X,X
TSZLIJO,O,O,O,X,O,X,X
TSZLIOJ,O,O,O,X,O,X,X
TSZLJIO,O,O,O,O,O,X,X
TSZLJOI,O,O,O,O,O,X,X
TSZLOIJ,O,O,O,X,O,X,X
TSZLOJI,O,O,O,O,O,X,X
TSZJILO,O,O,O,O,O,X,X
TSZJIOL,O,O,O,O,O,X,X
TSZJLIO,O,O,O,O,O,X,X
TSZJLOI,O,O,O,O,O,X,X
TSZJOIL,O,O,O,O,O,X,X
TSZJOLI,O,O,O,O,O,X,X
TSZOILJ,O,O,O,X,O,X,X
TSZOIJL,O,O,O,X,O,X,X
TSZOLIJ,O,O,O,X,O,X,X
TSZOLJI,O,O,O,O,O,X,X
TSZOJIL,O,O,O,O,O,X,X
TSZOJLI,O,O,O,O,O,X,X
TSOILJZ,X,X,X,O,O,O,X
TSOILZJ,X,X,O,X,O,O,X
TSOIJLZ,X,X,X,O,O,O,X
TSOIJZL,X,O,X,O,O,O,X
TSOIZLJ,X,O,O,X,O,O,X
TSOIZJL,X,O,O,X,O,O,X
TSOLIJZ,X,X,X,O,O,X,X
TSOLIZJ,X,X,O,X,O,X,X
TSOLJIZ,X,X,X,O,O,X,X
TSOLJZI,X,X,X,O,O,X,X
TSOLZIJ,X,X,O,X,O,X,X
TSOLZJI,X,X,O,O,O,X,X
TSOJILZ,X,X,X,O,O,X,X
TSOJIZL,X,O,X,O,O,X,X
TSOJLIZ,X,X,X,O,O,X,X
TSOJLZI,X,X,X,O,O,X,X
TSOJZIL,X,O,X,O,O,X,X
TSOJZLI,X,O,X,O,O,X,X
TSOZILJ,X,O,O,X,O,X,X
TSOZIJL,X,O,O,X,O,X,X
TSOZLIJ,X,O,O,X,O,X,X
TSOZLJI,X,O,O,O,O,X,X
TSOZJIL,X,O,O,O,O,X,X
TSOZJLI,X,O,O,O,O,X,X
TZILJSO,O,O,O,X,X,X,X
TZILJOS,X,O,O,X,X,X,X
TZILSJO,O,X,O,X,X,X,X
TZILSOJ,O,O,O,X,X,X,X
TZILOJS,X,O,O,X,X,X,X
TZILOSJ,X,O,O,X,X,X,X
TZIJLSO,O,X,O,X,X,X,X
TZIJLOS,X,X,O,X,X,X,X
TZIJSLO,O,X,O,X,X,X,X
TZIJSOL,O,X,O,X,X,X,X
TZIJOLS,X,O,O,X,X,X,X
TZIJOSL,X,O,O,X,X,X,X
TZISLJO,O,O,O,X,X,X,X
TZISLOJ,O,O,O,X,X,X,X
TZISJLO,O,O,O,X,X,X,X
TZISJOL,O,O,O,X,X,X,X
TZISOLJ,O,O,O,X,X,X,X
TZISOJL,O,O,O,X,X,X,X
TZIOLJS,X,O,O,X,X,X,X
TZIOLSJ,X,O,O,X,X,X,X
TZIOJLS,X,O,O,X,X,X,X
TZIOJSL,X,O,O,X,X,X,X
TZIOSLJ,X,O,O,X,X,X,X
TZIOSJL,X,O,O,X,X,X,X
TZLIJSO,O,O,O,X,X,X,X
TZLIJOS,X,O,O,X,X,X,X
TZLISJO,O,X,O,X,X,X,X
TZLISOJ,O,O,O,X,X,X,X
TZLIOJS,X,O,O,X,X,X,X
TZLIOSJ,X,O,O,X,X,X,X
TZLJISO,O,O,O,X,X,X,X
TZLJIOS,X,O,O,X,X,X,X
TZLJSIO,O,O,O,X,O,X,X
TZLJSOI,O,O,O,X,O,X,X
TZLJOIS,X,O,O,X,X,X,X
TZLJOSI,X,O,O,X,O,X,X
TZLSIJO,O,X,O,X,O,X,X
TZLSIOJ,O,O,O,X,O,X,X
TZLSJIO,O,O,O,X,O,X,X
TZLSJOI,O,O,O,X,O,X,X
TZLSOIJ,O,O,O,X,O,X,X
TZLSOJI,O,O,O,X,O,X,X
TZLOIJS,X,O,O,X,X,X,X
TZLOISJ,X,O,O,X,X,X,X
TZLOJIS,X,O,O,X,X,X,X
TZLOJSI,X,O,O,X,O,X,X
TZLOSIJ,X,O,O,X,O,X,X
TZLOSJI,X,O,O,X,O,X,X
TZJILSO,O,X,O,O,X,X,X
TZJILOS,X,X,O,O,X,X,X
TZJISLO,O,X,O,O,X,X,X
TZJISOL,O,X,O,O,X,X,X
TZJIOLS,X,O,O,O,X,X,X
TZJIOSL,X,O,O,O,X,X,X
TZJLISO,O,O,O,O,X,X,X
TZJLIOS,X,O,O,O,X,X,X
TZJLSIO,O,O,O,O,O,X,X
TZJLSOI,O,O,O,O,O,X,X
TZJLOIS,X,O,O,O,X,X,X
TZJLOSI,X,O,O,O,O,X,X
TZJSILO,O,X,O,O,O,X,X
TZJSIOL,O,O,O,O,O,X,X
TZJSLIO,O,X,O,O,O,X,X
TZJSLOI,O,X,O,O,O,X,X
TZJSOIL,O,O,O,O,O,X,X
TZJSOLI,O,X,O,O,O,X,X
TZJOILS,X,O,O,O,X,X,X
TZJOISL,X,O,O,O,X,X,X
TZJOLIS,X,O,O,O,X,X,X
TZJOLSI,X,O,O,O,O,X,X
TZJOSIL,X,O,O,O,O,X,X
TZJOSLI,X,X,O,O,O,X,X
TZSILJO,O,O,O,X,O,X,X
TZSILOJ,O,O,O,X,O,X,X
TZSIJLO,O,O,O,X,O,X,X
TZSIJOL,O,O,O,X,O,X,X
TZSIOLJ,O,O,O,X,O,X,X
TZSIOJL,O,O,O,X,O,X,X
TZSLIJO,O,O,O,X,O,X,X
TZSLIOJ,O,O,O,X,O,X,X
TZSLJIO,O,O,O,O,O,X,X
TZSLJOI,O,O,O,O,O,X,X
TZSLOIJ,O,O,O,X,O,X,X
TZSLOJI,O,O,O,O,O,X,X
TZSJILO,O,O,O,O,O,X,X
TZSJIOL,O,O,O,O,O,X,X
TZSJLIO,O,O,O,O,O,X,X
TZSJLOI,O,O,O,O,O,X,X
TZSJOIL,O,O,O,O,O,X,X
TZSJOLI,O,O,O,O,O,X,X
TZSOILJ,O,O,O,X,O,X,X
TZSOIJL,O,O,O,X,O,X,X
TZSOLIJ,O,O,O,X,O,X,X
TZSOLJI,O,O,O,O,O,X,X
TZSOJIL,O,O,O,O,O,X,X
TZSOJLI,O,O,O,O,O,X,X
TZOILJS,X,O,O,X,X,X,X
TZOILSJ,X,O,O,X,X,X,X
TZOIJLS,X,O,O,X,X,X,X
TZOIJSL,X,O,O,X,X,X,X
TZOISLJ,X,O,O,X,X,X,X
TZOISJL,X,O,O,X,X,X,X
TZOLIJS,X,O,O,X,X,X,X
TZOLISJ,X,O,O,X,X,X,X
TZOLJIS,X,O,O,X,X,X,X
TZOLJSI,X,O,O,X,O,X,X
TZOLSIJ,X,O,O,X,O,X,X
TZOLSJI,X,O,O,X,O,X,X
TZOJILS,X,O,O,O,X,X,X
TZOJISL,X,O,O,O,X,X,X
TZOJLIS,X,O,O,O,X,X,X
TZOJLSI,X,O,O,O,O,X,X
TZOJSIL,X,O,O,O,O,X,X
TZOJSLI,X,X,O,O,O,X,X
TZOSILJ,X,O,O,X,O,X,X
TZOSIJL,X,O,O,X,O,X,X
TZOSLIJ,X,O,O,X,O,X,X
TZOSLJI,X,O,O,O,O,X,X
TZOSJIL,X,O,O,O,O,X,X
TZOSJLI,X,O,O,O,O,X,X
TOILJSZ,X,X,X,X,O,O,O
TOILJZS,X,O,O,X,X,O,X
TOILSJZ,X,X,X,X,O,O,O
TOILSZJ,X,X,O,X,O,O,X
TOILZJS,X,O,O,X,X,O,X
