sequence,v115@JhA8GeD8FeF8CeA8JeT/IvhF0gBxhBXjB1rBStB2xB,v115@JhA8GeD8FeF8CeA8JeT/IvhF0gBlhBxnBCoBmrBXtB,v115@JhA8GeD8FeF8CeA8JeT/IvhFxgB/nB+oBFmBUsBatB,v115@JhA8GeD8FeF8CeA8JeT/IvhF0gBGjBRnBimBFsBXtB,v115@JhA8GeD8FeF8CeA8JeT/IvhF0gBlhBGjBxrBXtBisB,v115@JhA8GeD8FeF8CeA8JeT/IvhF0gBlhB3iB+oBxrByxB
TIZOSLJ,O,X,O,O,O,X
TIZOSJL,X,X,O,O,O,O
TIOLJSZ,O,X,X,X,X,O
TIOLJZS,O,X,O,O,X,O
TIOLSJZ,O,X,X,X,O,X
TIOLSZJ,O,X,X,X,O,X
TIOLZJS,O,X,O,O,X,O
TIOLZSJ,O,X,O,X,O,X
TIOJLSZ,O,X,X,X,X,O
TIOJLZS,O,X,O,O,X,O
TIOJSLZ,X,X,X,X,O,O
TIOJSZL,X,X,O,O,O,O
TIOJZLS,O,X,O,O,X,O
TIOJZSL,X,X,O,O,O,O
TIOSLJZ,O,X,X,O,O,X
TIOSLZJ,O,X,X,O,O,X
TIOSJLZ,X,X,X,O,O,O
TIOSJZL,X,X,O,O,O,O
TIOSZLJ,O,X,O,O,O,X
TIOSZJL,X,X,O,O,O,O
TIOZLJS,O,X,O,O,X,O
TIOZLSJ,O,X,O,X,O,X
TIOZJLS,O,X,O,O,X,O
TIOZJSL,X,X,O,O,O,O
TIOZSLJ,O,X,O,O,O,X
TIOZSJL,X,X,O,O,O,O
TLIJSZO,O,X,X,X,X,X
TLIJSOZ,O,X,X,X,X,X
TLIJZSO,O,X,O,X,X,X
TLIJZOS,O,X,O,O,X,X
TLIJOSZ,O,X,X,X,X,X
TLIJOZS,O,X,O,O,X,X
TLISJZO,O,X,X,X,X,X
TLISJOZ,O,X,X,X,X,X
TLISZJO,O,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X
TLISOJZ,O,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X
TLIZJSO,O,X,O,X,X,X
TLIZJOS,O,X,O,O,X,X
TLIZSJO,O,X,O,X,X,X
TLIZSOJ,O,X,O,X,X,X
TLIZOJS,O,X,O,O,X,X
TLIZOSJ,O,X,O,X,X,X
TLIOJSZ,O,X,X,X,X,X
TLIOJZS,O,X,O,O,X,X
TLIOSJZ,O,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X
TLIOZJS,O,X,O,O,X,X
TLIOZSJ,O,X,O,X,X,X
TLJISZO,O,X,X,X,X,X
TLJISOZ,O,X,X,X,X,X
TLJIZSO,O,X,O,X,X,X
TLJIZOS,O,X,O,X,X,X
TLJIOSZ,O,X,X,X,X,X
TLJIOZS,O,X,O,X,X,X
TLJSIZO,O,X,X,X,X,X
TLJSIOZ,O,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X
TLJSZOI,O,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,X
TLJSOZI,O,X,X,X,X,X
TLJZISO,O,X,O,X,X,X
TLJZIOS,O,X,O,X,X,X
TLJZSIO,O,X,O,X,X,X
TLJZSOI,O,X,O,X,X,X
TLJZOIS,O,X,O,X,X,X
TLJZOSI,O,X,O,X,X,X
TLJOISZ,O,X,X,X,X,X
TLJOIZS,O,X,O,X,X,X
TLJOSIZ,O,X,X,X,X,X
TLJOSZI,O,X,X,X,X,X
TLJOZIS,O,X,O,X,X,X
TLJOZSI,O,X,O,X,X,X
TLSIJZO,O,X,X,O,X,X
TLSIJOZ,O,X,X,O,X,X
TLSIZJO,O,X,X,O,X,X
TLSIZOJ,O,X,X,O,X,X
TLSIOJZ,O,X,X,O,X,X
TLSIOZJ,O,X,X,O,X,X
TLSJIZO,O,X,X,O,X,X
TLSJIOZ,O,X,X,O,X,X
TLSJZIO,O,X,X,X,X,X
TLSJZOI,O,X,X,X,X,X
TLSJOIZ,O,X,X,O,X,X
TLSJOZI,O,X,X,X,X,X
TLSZIJO,O,X,X,O,X,X
TLSZIOJ,O,X,X,O,X,X
TLSZJIO,O,X,X,X,X,X
TLSZJOI,O,X,X,X,X,X
TLSZOIJ,O,X,X,O,X,X
TLSZOJI,O,X,X,X,X,X
TLSOIJZ,O,X,X,O,X,X
TLSOIZJ,O,X,X,O,X,X
TLSOJIZ,O,X,X,O,X,X
TLSOJZI,O,X,X,X,X,X
TLSOZIJ,O,X,X,O,X,X
TLSOZJI,O,X,X,X,X,X
TLZIJSO,O,X,O,X,X,X
TLZIJOS,O,X,O,O,X,X
TLZISJO,O,X,O,X,X,X
TLZISOJ,O,X,O,X,X,X
TLZIOJS,O,X,O,O,X,X
TLZIOSJ,O,X,O,X,X,X
TLZJISO,O,X,O,X,X,X
TLZJIOS,O,X,O,X,X,X
TLZJSIO,O,X,O,X,X,X
TLZJSOI,O,X,O,X,X,X
TLZJOIS,O,X,O,X,X,X
TLZJOSI,O,X,O,X,X,X
TLZSIJO,O,X,O,O,X,X
TLZSIOJ,O,X,O,O,X,X
TLZSJIO,O,X,O,X,X,X
TLZSJOI,O,X,O,X,X,X
TLZSOIJ,O,X,O,O,X,X
TLZSOJI,O,X,O,X,X,X
TLZOIJS,O,X,O,O,X,X
TLZOISJ,O,X,O,X,X,X
TLZOJIS,O,X,O,X,X,X
TLZOJSI,O,X,O,X,X,X
TLZOSIJ,O,X,O,O,X,X
TLZOSJI,O,X,O,X,X,X
TLOIJSZ,O,X,X,X,X,X
TLOIJZS,O,X,O,O,X,X
TLOISJZ,O,X,X,X,X,X
TLOISZJ,O,X,X,X,X,X
TLOIZJS,O,X,O,O,X,X
TLOIZSJ,O,X,O,X,X,X
TLOJISZ,O,X,X,X,X,X
TLOJIZS,O,X,O,X,X,X
TLOJSIZ,O,X,X,X,X,X
TLOJSZI,O,X,X,X,X,X
TLOJZIS,O,X,O,X,X,X
TLOJZSI,O,X,O,X,X,X
TLOSIJZ,O,X,X,O,X,X
TLOSIZJ,O,X,X,O,X,X
TLOSJIZ,O,X,X,O,X,X
TLOSJZI,O,X,X,X,X,X
TLOSZIJ,O,X,X,O,X,X
TLOSZJI,O,X,X,X,X,X
TLOZIJS,O,X,O,O,X,X
TLOZISJ,O,X,O,X,X,X
TLOZJIS,O,X,O,X,X,X
TLOZJSI,O,X,O,X,X,X
TLOZSIJ,O,X,O,O,X,X
TLOZSJI,O,X,O,X,X,X
TJILSZO,O,X,X,X,X,O
TJILSOZ,O,X,X,X,X,O
TJILZSO,O,X,O,X,X,O
TJILZOS,O,O,O,O,X,O
TJILOSZ,O,X,X,X,X,O
TJILOZS,O,O,O,O,X,O
TJISLZO,X,O,X,X,X,O
TJISLOZ,X,O,X,X,X,O
TJISZLO,X,O,O,X,X,O
TJISZOL,X,O,O,O,X,O
TJISOLZ,X,O,X,X,X,O
TJISOZL,X,O,O,O,X,O
TJIZLSO,O,X,O,X,X,O
TJIZLOS,O,O,O,O,X,O
TJIZSLO,X,O,O,X,X,O
TJIZSOL,X,O,O,O,X,O
TJIZOLS,O,O,O,O,X,O
TJIZOSL,X,O,O,O,X,O
TJIOLSZ,O,X,X,X,X,O
TJIOLZS,O,O,O,O,X,O
TJIOSLZ,X,O,X,X,X,O
TJIOSZL,X,O,O,O,X,O
TJIOZLS,O,O,O,O,X,O
TJIOZSL,X,O,O,O,X,O
TJLISZO,O,X,X,X,X,X
TJLISOZ,O,X,X,X,X,X
TJLIZSO,O,X,O,X,X,X
TJLIZOS,O,O,O,X,X,X
TJLIOSZ,O,X,X,X,X,X
TJLIOZS,O,O,O,X,X,X
TJLSIZO,O,O,X,X,X,X
TJLSIOZ,O,O,X,X,X,X
TJLSZIO,O,O,X,X,X,X
TJLSZOI,O,O,X,X,X,X
TJLSOIZ,O,O,X,X,X,X
TJLSOZI,O,O,X,X,X,X
TJLZISO,O,X,O,X,X,X
TJLZIOS,O,O,O,X,X,X
TJLZSIO,O,O,O,X,X,X
TJLZSOI,O,O,O,X,X,X
TJLZOIS,O,O,O,X,X,X
TJLZOSI,O,O,O,X,X,X
TJLOISZ,O,X,X,X,X,X
TJLOIZS,O,O,O,X,X,X
TJLOSIZ,O,O,X,X,X,X
TJLOSZI,O,O,X,X,X,X
TJLOZIS,O,O,O,X,X,X
TJLOZSI,O,O,O,X,X,X
TJSILZO,X,O,X,O,X,X
TJSILOZ,X,O,X,O,X,X
TJSIZLO,X,O,O,O,X,X
TJSIZOL,X,O,O,O,X,X
TJSIOLZ,X,O,X,O,X,X
TJSIOZL,X,O,O,O,X,X
TJSLIZO,X,O,X,O,X,X
TJSLIOZ,X,O,X,O,X,X
TJSLZIO,X,O,X,X,X,X
TJSLZOI,X,O,X,X,X,X
TJSLOIZ,X,O,X,O,X,X
TJSLOZI,X,O,X,X,X,X
TJSZILO,X,O,O,O,X,X
TJSZIOL,X,O,O,O,X,X
TJSZLIO,X,O,O,X,X,X
TJSZLOI,X,O,O,X,X,X
TJSZOIL,X,O,O,O,X,X
TJSZOLI,X,O,O,X,X,X
TJSOILZ,X,O,X,O,X,X
TJSOIZL,X,O,O,O,X,X
TJSOLIZ,X,O,X,O,X,X
TJSOLZI,X,O,X,X,X,X
TJSOZIL,X,O,O,O,X,X
TJSOZLI,X,O,O,X,X,X
TJZILSO,O,X,O,X,X,O
TJZILOS,O,O,O,O,X,O
TJZISLO,X,O,O,X,X,O
TJZISOL,X,O,O,O,X,O
TJZIOLS,O,O,O,O,X,O
TJZIOSL,X,O,O,O,X,O
TJZLISO,O,X,O,X,X,O
TJZLIOS,O,O,O,X,X,O
TJZLSIO,O,O,O,X,X,X
TJZLSOI,O,O,O,X,X,X
TJZLOIS,O,O,O,X,X,O
TJZLOSI,O,O,O,X,X,X
TJZSILO,X,O,O,O,X,O
TJZSIOL,X,O,O,O,X,O
TJZSLIO,X,O,O,X,X,X
TJZSLOI,X,O,O,X,X,X
TJZSOIL,X,O,O,O,X,O
TJZSOLI,X,O,O,X,X,X
TJZOILS,O,O,O,O,X,O
TJZOISL,X,O,O,O,X,O
TJZOLIS,O,O,O,X,X,O
TJZOLSI,O,O,O,X,X,X
TJZOSIL,X,O,O,O,X,O
TJZOSLI,X,O,O,X,X,X
TJOILSZ,O,X,X,X,X,O
TJOILZS,O,O,O,O,X,O
TJOISLZ,X,O,X,X,X,O
TJOISZL,X,O,O,O,X,O
TJOIZLS,O,O,O,O,X,O
TJOIZSL,X,O,O,O,X,O
TJOLISZ,O,X,X,X,X,X
TJOLIZS,O,O,O,X,X,X
TJOLSIZ,O,O,X,X,X,X
TJOLSZI,O,O,X,X,X,X
TJOLZIS,O,O,O,X,X,X
TJOLZSI,O,O,O,X,X,X
TJOSILZ,X,O,X,O,X,X
TJOSIZL,X,O,O,O,X,X
TJOSLIZ,X,O,X,O,X,X
TJOSLZI,X,O,X,X,X,X
TJOSZIL,X,O,O,O,X,X
TJOSZLI,X,O,O,X,X,X
TJOZILS,O,O,O,O,X,O
TJOZISL,X,O,O,O,X,O
TJOZLIS,O,O,O,X,X,O
TJOZLSI,O,O,O,X,X,X
TJOZSIL,X,O,O,O,X,O
TJOZSLI,X,O,O,X,X,X
TSILJZO,O,X,X,O,O,X
TSILJOZ,O,X,X,O,O,X
TSILZJO,O,X,X,O,O,X
TSILZOJ,O,O,X,O,O,X
TSILOJZ,O,X,X,O,O,X
TSILOZJ,O,O,X,O,O,X
TSIJLZO,X,O,X,O,O,X
TSIJLOZ,X,O,X,O,O,X
TSIJZLO,X,O,O,O,O,X
TSIJZOL,X,O,O,O,O,X
TSIJOLZ,X,O,X,O,O,X
TSIJOZL,X,O,O,O,O,X
TSIZLJO,O,X,O,O,O,X
TSIZLOJ,O,O,O,O,O,X
TSIZJLO,X,O,O,O,O,X
TSIZJOL,X,O,O,O,O,X
TSIZOLJ,O,O,O,O,O,X
TSIZOJL,X,O,O,O,O,X
TSIOLJZ,O,X,X,O,O,X
TSIOLZJ,O,O,X,O,O,X
TSIOJLZ,X,O,X,O,O,X
TSIOJZL,X,O,O,O,O,X
TSIOZLJ,O,O,O,O,O,X
TSIOZJL,X,O,O,O,O,X
TSLIJZO,O,X,X,O,X,X
TSLIJOZ,O,X,X,O,X,X
TSLIZJO,O,X,X,O,X,X
TSLIZOJ,O,X,X,O,X,X
TSLIOJZ,O,X,X,O,X,X
TSLIOZJ,O,X,X,O,X,X
TSLJIZO,O,X,X,O,X,X
TSLJIOZ,O,X,X,O,X,X
TSLJZIO,O,X,X,X,X,X
TSLJZOI,O,X,X,X,X,X
TSLJOIZ,O,X,X,O,X,X
TSLJOZI,O,X,X,X,X,X
TSLZIJO,O,X,X,O,X,X
TSLZIOJ,O,X,X,O,X,X
TSLZJIO,O,X,X,X,X,X
TSLZJOI,O,X,X,X,X,X
TSLZOIJ,O,X,X,O,X,X
TSLZOJI,O,X,X,X,X,X
TSLOIJZ,O,X,X,O,X,X
TSLOIZJ,O,X,X,O,X,X
TSLOJIZ,O,X,X,O,X,X
TSLOJZI,O,X,X,X,X,X
TSLOZIJ,O,X,X,O,X,X
TSLOZJI,O,X,X,X,X,X
TSJILZO,X,O,X,O,O,X
TSJILOZ,X,O,X,O,O,X
TSJIZLO,X,O,O,O,O,X
TSJIZOL,X,O,O,O,O,X
TSJIOLZ,X,O,X,O,O,X
TSJIOZL,X,O,O,O,O,X
TSJLIZO,X,O,X,O,X,X
TSJLIOZ,X,O,X,O,X,X
TSJLZIO,X,O,X,X,X,X
TSJLZOI,X,O,X,X,X,X
TSJLOIZ,X,O,X,O,X,X
TSJLOZI,X,O,X,X,X,X
TSJZILO,X,O,O,O,O,X
TSJZIOL,X,O,O,O,O,X
TSJZLIO,X,O,O,X,X,X
TSJZLOI,X,O,O,X,O,X
TSJZOIL,X,O,O,O,O,X
TSJZOLI,X,O,O,X,O,X
TSJOILZ,X,O,X,O,O,X
TSJOIZL,X,O,O,O,O,X
TSJOLIZ,X,O,X,O,X,X
TSJOLZI,X,O,X,X,X,X
TSJOZIL,X,O,O,O,O,X
TSJOZLI,X,O,O,X,O,X
TSZILJO,O,X,O,O,O,X
TSZILOJ,O,O,O,O,O,X
TSZIJLO,X,O,O,O,O,X
TSZIJOL,X,O,O,O,O,X
TSZIOLJ,O,O,O,O,O,X
TSZIOJL,X,O,O,O,O,X
TSZLIJO,O,X,O,O,O,X
TSZLIOJ,O,O,O,O,O,X
TSZLJIO,O,X,O,X,X,X
TSZLJOI,O,X,O,X,O,X
TSZLOIJ,O,O,O,O,O,X
TSZLOJI,O,X,O,X,O,X
TSZJILO,X,X,O,O,O,X
TSZJIOL,X,O,O,O,O,X
TSZJLIO,X,X,O,X,X,X
TSZJLOI,X,X,O,X,O,X
TSZJOIL,X,O,O,O,O,X
TSZJOLI,X,X,O,X,O,X
TSZOILJ,O,O,O,O,O,X
TSZOIJL,X,O,O,O,O,X
TSZOLIJ,O,O,O,O,O,X
TSZOLJI,O,X,O,X,O,X
TSZOJIL,X,O,O,O,O,X
TSZOJLI,X,X,O,X,O,X
TSOILJZ,O,X,X,O,O,X
TSOILZJ,O,O,X,O,O,X
TSOIJLZ,X,O,X,O,O,X
TSOIJZL,X,O,O,O,O,X
TSOIZLJ,O,O,O,O,O,X
TSOIZJL,X,O,O,O,O,X
TSOLIJZ,O,X,X,O,X,X
TSOLIZJ,O,X,X,O,X,X
TSOLJIZ,O,X,X,O,X,X
TSOLJZI,O,X,X,X,X,X
TSOLZIJ,O,X,X,O,X,X
TSOLZJI,O,X,X,X,X,X
TSOJILZ,X,O,X,O,O,X
TSOJIZL,X,O,O,O,O,X
TSOJLIZ,X,O,X,O,X,X
TSOJLZI,X,O,X,X,X,X
TSOJZIL,X,O,O,O,O,X
TSOJZLI,X,O,O,X,O,X
TSOZILJ,O,O,O,O,O,X
TSOZIJL,X,O,O,O,O,X
TSOZLIJ,O,O,O,O,O,X
TSOZLJI,O,X,O,X,O,X
TSOZJIL,X,O,O,O,O,X
TSOZJLI,X,X,O,X,O,X
TZILJSO,O,X,O,X,X,O
TZILJOS,O,X,O,O,X,O
TZILSJO,O,X,O,X,O,X
TZILSOJ,O,X,O,X,O,X
TZILOJS,O,X,O,O,X,O
TZILOSJ,O,X,O,X,O,X
TZIJLSO,O,X,O,X,X,O
TZIJLOS,O,O,O,O,X,O
TZIJSLO,X,O,O,X,O,O
TZIJSOL,X,O,O,O,O,O
TZIJOLS,O,O,O,O,X,O
TZIJOSL,X,O,O,O,O,O
TZISLJO,O,X,O,O,O,X
TZISLOJ,O,O,O,O,O,X
TZISJLO,X,X,O,O,O,O
TZISJOL,X,O,O,O,O,O
TZISOLJ,O,O,O,O,O,X
TZISOJL,X,O,O,O,O,O
TZIOLJS,O,X,O,O,X,O
TZIOLSJ,O,X,O,X,O,X
TZIOJLS,O,O,O,O,X,O
TZIOJSL,X,O,O,O,O,O
TZIOSLJ,O,O,O,O,O,X
TZIOSJL,X,O,O,O,O,O
TZLIJSO,O,X,O,X,X,O
TZLIJOS,O,X,O,O,X,O
TZLISJO,O,X,O,X,O,X
TZLISOJ,O,X,O,X,O,X
TZLIOJS,O,X,O,O,X,O
TZLIOSJ,O,X,O,X,O,X
TZLJISO,O,X,O,X,X,O
TZLJIOS,O,O,O,X,X,O
TZLJSIO,O,O,O,X,X,X
TZLJSOI,O,O,O,X,X,X
TZLJOIS,O,O,O,X,X,O
TZLJOSI,O,O,O,X,X,X
TZLSIJO,O,X,O,O,O,X
TZLSIOJ,O,O,O,O,O,X
TZLSJIO,O,X,O,X,X,X
TZLSJOI,O,X,O,X,O,X
TZLSOIJ,O,O,O,O,O,X
TZLSOJI,O,X,O,X,O,X
TZLOIJS,O,X,O,O,X,O
TZLOISJ,O,X,O,X,O,X
TZLOJIS,O,O,O,X,X,O
TZLOJSI,O,O,O,X,X,X
TZLOSIJ,O,O,O,O,O,X
TZLOSJI,O,X,O,X,O,X
TZJILSO,O,X,O,X,X,O
TZJILOS,O,O,O,O,X,O
TZJISLO,X,O,O,X,O,O
TZJISOL,X,O,O,O,O,O
TZJIOLS,O,O,O,O,X,O
TZJIOSL,X,O,O,O,O,O
TZJLISO,O,X,O,X,X,O
TZJLIOS,O,O,O,X,X,O
TZJLSIO,O,O,O,X,X,X
TZJLSOI,O,O,O,X,X,X
TZJLOIS,O,O,O,X,X,O
TZJLOSI,O,O,O,X,X,X
TZJSILO,X,O,O,O,O,O
TZJSIOL,X,O,O,O,O,O
TZJSLIO,X,O,O,X,X,X
TZJSLOI,X,O,O,X,O,X
TZJSOIL,X,O,O,O,O,O
TZJSOLI,X,O,O,X,O,X
TZJOILS,O,O,O,O,X,O
TZJOISL,X,O,O,O,O,O
TZJOLIS,O,O,O,X,X,O
TZJOLSI,O,O,O,X,X,X
TZJOSIL,X,O,O,O,O,O
TZJOSLI,X,O,O,X,O,X
TZSILJO,O,X,O,O,O,X
TZSILOJ,O,O,O,O,O,X
TZSIJLO,X,O,O,O,O,O
TZSIJOL,X,O,O,O,O,O
TZSIOLJ,O,O,O,O,O,X
TZSIOJL,X,O,O,O,O,O
TZSLIJO,O,X,O,O,O,X
TZSLIOJ,O,O,O,O,O,X
TZSLJIO,O,X,O,X,X,X
TZSLJOI,O,X,O,X,O,X
TZSLOIJ,O,O,O,O,O,X
TZSLOJI,O,X,O,X,O,X
TZSJILO,X,O,O,O,O,O
TZSJIOL,X,O,O,O,O,O
TZSJLIO,X,O,O,X,X,X
TZSJLOI,X,O,O,X,O,X
TZSJOIL,X,O,O,O,O,O
TZSJOLI,X,O,O,X,O,X
TZSOILJ,O,O,O,O,O,X
TZSOIJL,X,O,O,O,O,O
TZSOLIJ,O,O,O,O,O,X
TZSOLJI,O,X,O,X,O,X
TZSOJIL,X,O,O,O,O,O
TZSOJLI,X,O,O,X,O,X
TZOILJS,O,X,O,O,X,O
TZOILSJ,O,X,O,X,O,X
TZOIJLS,O,O,O,O,X,O
TZOIJSL,X,O,O,O,O,O
TZOISLJ,O,O,O,O,O,X
TZOISJL,X,O,O,O,O,O
TZOLIJS,O,X,O,O,X,O
TZOLISJ,O,X,O,X,O,X
TZOLJIS,O,O,O,X,X,O
TZOLJSI,O,O,O,X,X,X
TZOLSIJ,O,O,O,O,O,X
TZOLSJI,O,X,O,X,O,X
TZOJILS,O,O,O,O,X,O
TZOJISL,X,O,O,O,O,O
TZOJLIS,O,O,O,X,X,O
TZOJLSI,O,O,O,X,X,X
TZOJSIL,X,O,O,O,O,O
TZOJSLI,X,O,O,X,O,X
TZOSILJ,O,O,O,O,O,X
TZOSIJL,X,O,O,O,O,O
TZOSLIJ,O,O,O,O,O,X
TZOSLJI,O,X,O,X,O,X
TZOSJIL,X,O,O,O,O,O
TZOSJLI,X,O,O,X,O,X
TOILJSZ,O,X,X,X,X,O
TOILJZS,O,X,O,O,X,O
TOILSJZ,O,X,X,X,O,X
TOILSZJ,O,X,X,X,O,X
TOILZJS,O,X,O,O,X,O
TOILZSJ,O,X,O,X,O,X
TOIJLSZ,O,X,X,X,X,O
TOIJLZS,O,X,O,O,X,O
TOIJSLZ,X,X,X,X,O,O
TOIJSZL,X,X,O,O,O,O
TOIJZLS,O,X,O,O,X,O
TOIJZSL,X,X,O,O,O,O
TOISLJZ,O,X,X,O,O,X
TOISLZJ,O,X,X,O,O,X
TOISJLZ,X,X,X,O,O,O
TOISJZL,X,X,O,O,O,O
TOISZLJ,O,X,O,O,O,X
TOISZJL,X,X,O,O,O,O
TOIZLJS,O,X,O,O,X,O
TOIZLSJ,O,X,O,X,O,X
TOIZJLS,O,X,O,O,X,O
TOIZJSL,X,X,O,O,O,O
TOIZSLJ,O,X,O,O,O,X
TOIZSJL,X,X,O,O,O,O
TOLIJSZ,O,X,X,X,X,X
TOLIJZS,O,X,O,O,X,X
TOLISJZ,O,X,X,X,X,X
TOLISZJ,O,X,X,X,X,X
TOLIZJS,O,X,O,O,X,X
TOLIZSJ,O,X,O,X,X,X
TOLJISZ,O,X,X,X,X,X
TOLJIZS,O,X,O,X,X,X
TOLJSIZ,O,X,X,X,X,X
TOLJSZI,O,X,X,X,X,X
TOLJZIS,O,X,O,X,X,X
TOLJZSI,O,X,O,X,X,X
TOLSIJZ,O,X,X,O,X,X
TOLSIZJ,O,X,X,O,X,X
TOLSJIZ,O,X,X,O,X,X
TOLSJZI,O,X,X,X,X,X
TOLSZIJ,O,X,X,O,X,X
TOLSZJI,O,X,X,X,X,X
TOLZIJS,O,X,O,O,X,X
TOLZISJ,O,X,O,X,X,X
TOLZJIS,O,X,O,X,X,X
TOLZJSI,O,X,O,X,X,X
TOLZSIJ,O,X,O,O,X,X
TOLZSJI,O,X,O,X,X,X
TOJILSZ,O,X,X,X,X,O
TOJILZS,O,O,O,O,X,O
TOJISLZ,X,O,X,X,X,O
TOJISZL,X,O,O,O,X,O
TOJIZLS,O,O,O,O,X,O
TOJIZSL,X,O,O,O,X,O
TOJLISZ,O,X,X,X,X,X
TOJLIZS,O,O,O,X,X,X
TOJLSIZ,O,O,X,X,X,X
TOJLSZI,O,O,X,X,X,X
TOJLZIS,O,O,O,X,X,X
TOJLZSI,O,O,O,X,X,X
TOJSILZ,X,O,X,O,X,X
TOJSIZL,X,O,O,O,X,X
TOJSLIZ,X,O,X,O,X,X
TOJSLZI,X,O,X,X,X,X
TOJSZIL,X,O,O,O,X,X
TOJSZLI,X,O,O,X,X,X
TOJZILS,O,O,O,O,X,O
TOJZISL,X,O,O,O,X,O
TOJZLIS,O,O,O,X,X,O
TOJZLSI,O,O,O,X,X,X
