sequence,v115@QhA8HeE8AeF8JeUBJvhFFiBXjBTkB6qBmpBxwB,v115@QhA8HeE8AeF8Je1FJvhF0hBxiBTkB3nBmkBCrB,v115@QhA8HeE8AeF8Je3AJvhFqmBxiBTkB8qBlsBmpB,v115@QhA8HeE8AeF8JeOEJvhFXgBzhBFjBSsBRqB8qB,v115@QhA8HeE8AeF8JeOEJvhFxhBXjBzkBVrBUnB6qB,v115@QhA8HeE8AeF8JexCJvhFTkB0lBlmB3nBmkBCrB,v115@QhA8HeE8AeF8Jex/IvhFqmB/nBFjBTkB2qB8qB,v115@QhA8HeE8AeF8JeT/IvhFXjBmlBUnBCnBxpBlqB,v115@QhA8HeE8AeF8JeFCJvhFXjBxkB8qBWxBTpBiqB,v115@QhA8HeE8AeF8JeUBJvhFFjBxkBTnBikB3mBGqB
TLIZJOS,O,X,O,O,X,X,X,X,X,X
TLIZSJO,O,O,O,X,X,X,X,X,X,X
TLIZSOJ,O,O,O,X,X,X,X,X,X,X
TLIZOJS,O,X,O,O,X,X,X,X,X,X
TLIZOSJ,O,O,O,X,X,X,X,X,X,X
TLIOJSZ,O,X,X,O,X,X,X,X,X,X
TLIOJZS,O,X,O,O,X,X,X,X,X,X
TLIOSJZ,O,O,X,O,X,X,X,X,X,X
TLIOSZJ,O,O,O,X,X,X,X,X,X,X
TLIOZJS,O,X,O,O,X,X,X,X,X,X
TLIOZSJ,O,O,O,X,X,X,X,X,X,X
TLJISZO,X,X,X,O,X,X,X,X,X,X
TLJISOZ,X,X,X,O,X,X,X,X,X,X
TLJIZSO,X,X,O,O,X,X,X,X,X,X
TLJIZOS,X,X,O,O,X,X,X,X,X,X
TLJIOSZ,X,X,X,O,X,X,X,X,X,X
TLJIOZS,X,X,O,O,X,X,X,X,X,O
TLJSIZO,X,O,X,O,X,X,X,X,X,X
TLJSIOZ,X,O,X,O,X,X,O,X,X,X
TLJSZIO,X,O,X,X,X,X,X,X,X,X
TLJSZOI,X,O,X,X,X,X,O,X,X,X
TLJSOIZ,X,O,X,O,X,X,O,X,X,X
TLJSOZI,X,O,X,X,X,X,O,X,X,X
TLJZISO,X,X,O,O,X,X,X,X,X,X
TLJZIOS,X,X,O,O,X,X,X,X,X,X
TLJZSIO,X,O,O,X,X,X,X,X,X,X
TLJZSOI,X,O,O,X,X,X,X,X,X,X
TLJZOIS,X,X,O,O,X,X,X,X,X,X
TLJZOSI,X,O,O,X,X,X,X,X,X,X
TLJOISZ,X,X,X,O,X,X,X,X,X,X
TLJOIZS,X,X,O,O,X,X,X,X,X,O
TLJOSIZ,X,O,X,O,X,X,O,X,X,X
TLJOSZI,X,O,X,X,X,X,O,X,X,X
TLJOZIS,X,X,O,O,X,X,X,X,X,X
TLJOZSI,X,O,O,X,X,X,X,X,X,X
TLSIJZO,X,O,X,O,X,X,X,X,X,X
TLSIJOZ,X,O,X,O,X,X,O,X,X,X
TLSIZJO,X,O,O,X,X,X,X,X,X,X
TLSIZOJ,O,O,O,X,X,O,X,X,X,X
TLSIOJZ,X,O,X,O,X,X,O,X,X,X
TLSIOZJ,O,O,O,X,X,O,X,X,X,X
TLSJIZO,X,O,X,O,X,X,X,X,X,X
TLSJIOZ,X,O,X,O,X,X,O,X,X,X
TLSJZIO,X,O,X,X,X,X,X,X,X,X
TLSJZOI,O,O,X,X,X,X,O,X,X,X
TLSJOIZ,X,O,X,O,X,X,O,X,X,X
TLSJOZI,O,O,X,X,X,X,O,X,X,X
TLSZIJO,X,O,O,X,X,X,X,X,X,X
TLSZIOJ,O,O,O,X,O,O,X,X,X,X
TLSZJIO,X,O,O,X,X,X,X,X,X,X
TLSZJOI,O,O,O,X,X,X,O,X,X,X
TLSZOIJ,O,O,O,X,O,O,X,X,X,X
TLSZOJI,O,O,O,X,O,O,O,X,X,X
TLSOIJZ,X,O,X,O,X,X,O,X,X,X
TLSOIZJ,O,O,O,X,X,O,X,X,X,X
TLSOJIZ,X,O,X,O,X,X,O,X,X,X
TLSOJZI,O,O,X,X,O,X,O,X,X,X
TLSOZIJ,O,O,O,X,O,O,X,X,X,X
TLSOZJI,O,O,O,X,O,O,O,X,X,X
TLZIJSO,O,X,O,O,X,X,X,X,X,X
TLZIJOS,O,X,O,O,X,X,X,X,X,X
TLZISJO,O,O,O,X,X,X,X,X,X,X
TLZISOJ,O,O,O,X,O,X,X,X,X,X
TLZIOJS,O,X,O,O,O,X,X,X,X,X
TLZIOSJ,O,O,O,X,O,X,X,X,X,X
TLZJISO,X,X,O,O,X,X,X,X,X,X
TLZJIOS,X,X,O,O,X,X,X,X,X,X
TLZJSIO,X,O,O,X,X,X,X,X,X,X
TLZJSOI,O,O,O,X,X,X,X,X,X,X
TLZJOIS,X,X,O,O,X,X,X,X,X,X
TLZJOSI,O,O,O,X,X,X,X,X,X,X
TLZSIJO,X,O,O,X,X,X,X,X,X,X
TLZSIOJ,O,O,O,X,O,O,X,X,X,X
TLZSJIO,X,O,O,X,X,X,X,X,X,X
TLZSJOI,O,O,O,X,X,X,X,X,X,X
TLZSOIJ,O,O,O,X,O,O,X,X,X,X
TLZSOJI,O,O,O,X,O,O,X,X,X,X
TLZOIJS,O,X,O,O,O,X,X,X,X,X
TLZOISJ,O,O,O,X,O,X,X,X,X,X
TLZOJIS,X,X,O,O,O,X,X,X,X,X
TLZOJSI,O,O,O,X,O,X,X,X,X,X
TLZOSIJ,O,O,O,X,O,O,X,X,X,X
TLZOSJI,O,O,O,X,O,O,X,X,X,X
TLOIJSZ,O,X,X,O,X,X,X,X,X,X
TLOIJZS,O,X,O,O,X,X,X,X,X,X
TLOISJZ,O,O,X,O,X,X,X,X,X,X
TLOISZJ,O,O,O,X,X,X,X,X,X,X
TLOIZJS,O,X,O,O,X,X,X,X,X,X
TLOIZSJ,O,O,O,X,X,X,X,X,X,X
TLOJISZ,X,X,X,O,X,X,X,X,X,X
TLOJIZS,X,X,O,O,X,X,X,X,X,O
TLOJSIZ,X,O,X,O,X,X,O,X,X,X
TLOJSZI,X,O,X,X,O,X,O,X,X,X
TLOJZIS,X,X,O,O,O,X,X,X,X,X
TLOJZSI,X,O,O,X,O,X,X,X,X,X
TLOSIJZ,X,O,X,O,X,X,O,X,X,X
TLOSIZJ,O,O,O,X,X,O,X,X,X,X
TLOSJIZ,X,O,X,O,X,X,O,X,X,X
TLOSJZI,O,O,X,X,O,X,O,X,X,X
TLOSZIJ,O,O,O,X,O,O,X,X,X,X
TLOSZJI,O,O,O,X,O,O,O,X,X,X
TLOZIJS,O,X,O,O,O,X,X,X,X,X
TLOZISJ,O,O,O,X,O,X,X,X,X,X
TLOZJIS,X,X,O,O,O,X,X,X,X,X
TLOZJSI,O,O,O,X,O,X,X,X,X,X
TLOZSIJ,O,O,O,X,O,O,X,X,X,X
TLOZSJI,O,O,O,X,O,O,X,X,X,X
TJILSZO,X,X,X,O,X,X,X,X,X,X
TJILSOZ,X,X,X,O,X,X,X,X,X,X
TJILZSO,X,X,O,O,X,X,X,X,X,X
TJILZOS,X,X,O,O,X,X,X,X,X,X
TJILOSZ,X,X,X,O,X,X,X,X,X,X
TJILOZS,X,X,O,O,X,X,X,X,X,O
TJISLZO,X,X,X,O,X,X,X,X,X,X
TJISLOZ,X,X,X,O,X,X,O,X,X,X
TJISZLO,X,X,X,X,X,X,X,X,O,X
TJISZOL,X,X,X,X,X,X,X,O,O,X
TJISOLZ,X,X,X,X,X,X,O,X,X,X
TJISOZL,X,X,X,X,X,X,X,O,X,O
TJIZLSO,X,X,O,O,X,X,X,X,O,X
TJIZLOS,X,X,O,O,X,X,X,X,X,X
TJIZSLO,X,X,X,X,X,X,X,X,O,X
TJIZSOL,X,X,X,X,X,X,X,O,O,X
TJIZOLS,X,X,O,X,X,X,X,X,X,O
TJIZOSL,X,X,X,X,X,X,X,O,O,O
TJIOLSZ,X,X,X,O,X,X,X,X,X,X
TJIOLZS,X,X,O,O,X,X,X,X,X,O
TJIOSLZ,X,X,X,X,X,X,O,X,X,X
TJIOSZL,X,X,X,X,X,X,X,O,X,O
TJIOZLS,X,X,O,X,X,X,X,X,X,O
TJIOZSL,X,X,X,X,X,X,X,O,X,O
TJLISZO,X,X,X,O,X,X,X,X,X,X
TJLISOZ,X,X,X,O,X,X,X,X,X,X
TJLIZSO,X,X,O,O,X,X,X,X,X,X
TJLIZOS,X,X,O,O,X,X,X,X,X,X
TJLIOSZ,X,X,X,O,X,X,X,X,X,X
TJLIOZS,X,X,O,O,X,X,X,X,X,O
TJLSIZO,X,X,X,O,X,X,X,X,X,X
TJLSIOZ,X,X,X,O,X,X,O,X,X,X
TJLSZIO,X,X,X,X,X,X,X,X,O,X
TJLSZOI,X,X,X,X,X,X,O,X,X,X
TJLSOIZ,X,X,X,O,X,X,O,X,X,X
TJLSOZI,X,X,X,X,X,X,O,X,X,X
TJLZISO,X,X,O,O,X,X,X,X,O,X
TJLZIOS,X,X,O,O,X,X,X,X,X,X
TJLZSIO,X,X,O,X,X,X,X,X,O,X
TJLZSOI,X,X,O,X,X,X,X,X,X,X
TJLZOIS,X,X,O,O,X,X,X,X,X,X
TJLZOSI,X,X,O,X,X,X,X,X,X,X
TJLOISZ,X,X,X,O,X,X,X,X,X,X
TJLOIZS,X,X,O,O,X,X,X,X,X,O
TJLOSIZ,X,X,X,O,X,X,O,X,X,X
TJLOSZI,X,X,X,X,X,X,O,X,X,X
TJLOZIS,X,X,O,O,X,X,X,X,X,X
TJLOZSI,X,X,O,X,X,X,X,X,X,X
TJSILZO,X,X,X,O,X,X,X,X,X,X
TJSILOZ,X,X,X,O,X,X,O,X,X,X
TJSIZLO,X,X,X,X,X,X,X,X,O,X
TJSIZOL,X,X,X,X,X,O,X,O,O,X
TJSIOLZ,X,X,X,X,X,X,O,X,X,X
TJSIOZL,X,X,X,X,X,O,X,O,X,O
TJSLIZO,X,X,X,O,X,X,X,X,X,X
TJSLIOZ,X,X,X,O,X,X,O,X,X,X
TJSLZIO,X,X,X,X,X,X,X,X,O,X
TJSLZOI,X,X,X,X,X,X,O,X,X,X
TJSLOIZ,X,X,X,O,X,X,O,X,X,X
TJSLOZI,X,X,X,X,X,X,O,X,X,X
TJSZILO,X,X,X,X,X,X,X,X,O,X
TJSZIOL,X,X,X,X,O,O,X,O,O,X
TJSZLIO,X,X,X,X,X,X,X,X,O,X
TJSZLOI,X,X,X,X,X,X,O,X,X,X
TJSZOIL,X,X,X,X,O,O,X,X,O,X
TJSZOLI,X,X,X,X,O,O,O,X,X,X
TJSOILZ,X,X,X,X,X,X,O,X,X,X
TJSOIZL,X,X,X,X,O,O,X,X,X,O
TJSOLIZ,X,X,X,X,X,X,O,X,X,X
TJSOLZI,X,X,X,X,O,X,O,X,X,X
TJSOZIL,X,X,X,X,O,O,X,X,O,X
TJSOZLI,X,X,X,X,O,O,O,X,X,X
TJZILSO,X,X,O,O,X,X,X,X,O,X
TJZILOS,X,X,O,O,X,X,X,X,X,X
TJZISLO,X,X,X,X,X,X,X,X,O,X
TJZISOL,X,X,X,X,O,X,X,O,O,X
TJZIOLS,X,X,O,X,O,X,X,X,X,O
TJZIOSL,X,X,X,X,O,X,X,O,O,O
TJZLISO,X,X,O,O,X,X,X,X,O,X
TJZLIOS,X,X,O,O,X,X,X,X,X,X
TJZLSIO,X,X,O,X,X,X,X,X,O,X
TJZLSOI,X,X,O,X,X,X,X,X,X,X
TJZLOIS,X,X,O,O,X,X,X,X,X,X
TJZLOSI,X,X,O,X,X,X,X,X,X,X
TJZSILO,X,X,X,X,X,X,X,X,O,X
TJZSIOL,X,X,X,X,O,O,X,O,O,X
TJZSLIO,X,X,X,X,X,X,X,X,O,X
TJZSLOI,X,X,X,X,X,X,O,X,X,X
TJZSOIL,X,X,X,X,O,O,X,X,O,X
TJZSOLI,X,X,X,X,O,O,O,X,X,X
TJZOILS,X,X,O,X,O,X,X,X,X,O
TJZOISL,X,X,X,X,O,X,X,X,O,O
TJZOLIS,X,X,O,X,O,X,X,X,X,X
TJZOLSI,X,X,O,X,O,X,X,X,X,X
TJZOSIL,X,X,X,X,O,O,X,X,O,X
TJZOSLI,X,X,X,X,O,O,O,X,X,X
TJOILSZ,X,X,X,O,X,X,X,X,X,X
TJOILZS,X,X,O,O,X,X,X,X,X,O
TJOISLZ,X,X,X,X,X,X,O,X,X,X
TJOISZL,X,X,X,X,O,X,X,X,X,O
TJOIZLS,X,X,O,X,O,X,X,X,X,O
TJOIZSL,X,X,X,X,O,X,X,X,X,O
TJOLISZ,X,X,X,O,X,X,X,X,X,X
TJOLIZS,X,X,O,O,X,X,X,X,X,O
TJOLSIZ,X,X,X,O,X,X,O,X,X,X
TJOLSZI,X,X,X,X,O,X,O,X,X,X
TJOLZIS,X,X,O,O,O,X,X,X,X,X
TJOLZSI,X,X,O,X,O,X,X,X,X,X
TJOSILZ,X,X,X,X,X,X,O,X,X,X
TJOSIZL,X,X,X,X,O,O,X,X,X,O
TJOSLIZ,X,X,X,X,X,X,O,X,X,X
TJOSLZI,X,X,X,X,O,X,O,X,X,X
TJOSZIL,X,X,X,X,O,O,X,X,O,X
TJOSZLI,X,X,X,X,O,O,O,X,X,X
TJOZILS,X,X,O,X,O,X,X,X,X,O
TJOZISL,X,X,X,X,O,X,X,X,O,O
TJOZLIS,X,X,O,X,O,X,X,X,X,X
TJOZLSI,X,X,O,X,O,X,X,X,X,X
TJOZSIL,X,X,X,X,O,O,X,X,O,X
TJOZSLI,X,X,X,X,O,O,O,X,X,X
TSILJZO,O,O,X,O,X,X,X,X,X,X
TSILJOZ,O,O,X,O,X,X,O,X,X,X
TSILZJO,O,O,O,X,X,X,X,X,X,X
TSILZOJ,O,O,O,X,X,O,X,X,X,X
TSILOJZ,O,O,X,O,X,X,O,X,X,X
TSILOZJ,O,O,O,X,X,O,X,X,X,X
TSIJLZO,O,X,X,O,X,X,X,X,X,X
TSIJLOZ,O,X,X,O,X,X,O,X,X,X
TSIJZLO,O,X,X,X,X,X,X,X,O,X
TSIJZOL,X,X,X,X,X,O,X,O,O,X
TSIJOLZ,O,X,X,X,X,X,O,X,X,X
TSIJOZL,X,X,X,X,X,O,X,O,X,X
TSIZLJO,O,X,O,X,X,X,X,X,X,X
TSIZLOJ,O,X,O,X,O,O,X,X,X,X
TSIZJLO,O,X,X,X,X,X,X,X,X,X
TSIZJOL,X,X,X,X,O,O,X,O,X,X
TSIZOLJ,O,X,O,X,O,O,X,X,X,X
TSIZOJL,X,X,X,X,O,O,X,O,X,X
TSIOLJZ,O,O,X,X,X,X,O,X,X,X
TSIOLZJ,O,O,O,X,X,O,X,X,X,X
TSIOJLZ,O,X,X,X,X,X,O,X,X,X
TSIOJZL,X,X,X,X,O,O,X,O,X,X
TSIOZLJ,O,X,O,X,O,O,X,X,X,X
TSIOZJL,X,X,X,X,O,O,X,O,X,X
TSLIJZO,O,O,X,O,X,X,X,X,X,X
TSLIJOZ,O,O,X,O,X,X,O,X,X,X
TSLIZJO,O,O,O,X,X,X,X,X,X,X
TSLIZOJ,O,O,O,X,X,O,X,X,X,X
TSLIOJZ,O,O,X,O,X,X,O,X,X,X
TSLIOZJ,O,O,O,X,X,O,X,X,X,X
TSLJIZO,X,O,X,O,X,X,X,X,X,X
TSLJIOZ,X,O,X,O,X,X,O,X,X,X
TSLJZIO,X,O,X,X,X,X,X,X,O,X
TSLJZOI,O,O,X,X,X,X,O,X,X,X
TSLJOIZ,X,O,X,O,X,X,O,X,X,X
TSLJOZI,O,O,X,X,X,X,O,X,X,X
TSLZIJO,X,O,O,X,X,X,X,X,X,X
TSLZIOJ,O,O,O,X,O,O,X,X,X,X
TSLZJIO,X,O,O,X,X,X,X,X,X,X
TSLZJOI,O,O,O,X,X,X,O,X,X,X
TSLZOIJ,O,O,O,X,O,O,X,X,X,X
TSLZOJI,O,O,O,X,O,O,O,X,X,X
TSLOIJZ,O,O,X,O,X,X,O,X,X,X
TSLOIZJ,O,O,O,X,X,O,X,X,X,X
TSLOJIZ,X,O,X,O,X,X,O,X,X,X
TSLOJZI,O,O,X,X,O,X,O,X,X,X
TSLOZIJ,O,O,O,X,O,O,X,X,X,X
TSLOZJI,O,O,O,X,O,O,O,X,X,X
TSJILZO,O,X,X,O,X,X,X,X,X,X
TSJILOZ,O,X,X,O,X,X,O,X,X,X
TSJIZLO,O,X,X,X,X,X,X,X,O,X
TSJIZOL,X,X,X,X,X,O,X,O,O,X
TSJIOLZ,O,X,X,X,X,X,O,X,X,X
TSJIOZL,X,X,X,X,X,O,X,O,X,O
TSJLIZO,X,X,X,O,X,X,X,X,X,X
TSJLIOZ,X,X,X,O,X,X,O,X,X,X
TSJLZIO,X,X,X,X,X,X,X,X,O,X
TSJLZOI,O,X,X,X,X,X,O,X,X,X
TSJLOIZ,X,X,X,O,X,X,O,X,X,X
TSJLOZI,O,X,X,X,X,X,O,X,X,X
TSJZILO,X,X,X,X,X,X,X,X,O,X
TSJZIOL,X,X,X,X,O,O,X,O,O,X
TSJZLIO,X,X,X,X,X,X,X,X,O,X
TSJZLOI,X,X,X,X,X,X,O,X,X,X
TSJZOIL,X,X,X,X,O,O,X,X,O,X
TSJZOLI,X,X,X,X,O,O,O,X,X,X
TSJOILZ,O,X,X,X,X,X,O,X,X,X
TSJOIZL,X,X,X,X,O,O,X,X,X,O
TSJOLIZ,X,X,X,X,X,X,O,X,X,X
TSJOLZI,O,X,X,X,O,X,O,X,X,X
TSJOZIL,X,X,X,X,O,O,X,X,O,X
TSJOZLI,X,X,X,X,O,O,O,X,X,X
TSZILJO,O,X,O,X,X,X,X,X,X,X
TSZILOJ,O,X,O,X,O,O,X,X,X,X
TSZIJLO,O,X,X,X,X,X,X,X,O,X
TSZIJOL,X,X,X,X,O,O,X,O,O,X
TSZIOLJ,O,X,O,X,O,O,X,X,X,X
TSZIOJL,X,X,X,X,O,O,X,O,X,X
TSZLIJO,X,X,O,X,X,X,X,X,X,X
TSZLIOJ,O,X,O,X,O,O,X,X,X,X
TSZLJIO,X,X,O,X,X,X,X,X,X,X
TSZLJOI,O,X,O,X,X,X,O,X,X,X
TSZLOIJ,O,X,O,X,O,O,X,X,X,X
TSZLOJI,O,X,O,X,O,O,O,X,X,X
TSZJILO,X,X,X,X,X,X,X,X,O,X
TSZJIOL,X,X,X,X,O,O,X,O,O,X
TSZJLIO,X,X,X,X,X,X,X,X,O,X
TSZJLOI,X,X,X,X,X,X,O,X,X,X
TSZJOIL,X,X,X,X,O,O,X,X,O,X
TSZJOLI,X,X,X,X,O,O,O,X,X,X
TSZOILJ,O,X,O,X,O,O,X,X,X,X
TSZOIJL,X,X,X,X,O,O,X,X,X,X
TSZOLIJ,O,X,O,X,O,O,X,X,X,X
TSZOLJI,O,X,O,X,O,O,O,X,X,X
TSZOJIL,X,X,X,X,O,O,X,X,X,X
TSZOJLI,X,X,X,X,O,O,O,X,X,X
TSOILJZ,O,O,X,X,X,X,O,X,X,X
TSOILZJ,O,O,O,X,X,O,X,X,X,X
TSOIJLZ,O,X,X,X,X,X,O,X,X,X
TSOIJZL,X,X,X,X,O,O,X,X,X,X
TSOIZLJ,O,X,O,X,O,O,X,X,X,X
TSOIZJL,X,X,X,X,O,O,X,X,X,X
TSOLIJZ,O,O,X,X,X,X,O,X,X,X
TSOLIZJ,O,O,O,X,X,O,X,X,X,X
TSOLJIZ,X,O,X,X,X,X,O,X,X,X
TSOLJZI,O,O,X,X,O,X,O,X,X,X
TSOLZIJ,O,O,O,X,O,O,X,X,X,X
TSOLZJI,O,O,O,X,O,O,O,X,X,X
