sequence,v115@AhA8IeE8EeB8HeC8CeA8Je/EJvhFalBxhBTjB2uBUs?BFtB,v115@AhA8IeE8EeB8HeC8CeA8Jem/IvhFxhBTjBKpBfqBUs?BFtB,v115@AhA8IeE8EeB8HeC8CeA8Je2EJvhFxhBTjB3kByuBUs?BFtB,v115@AhA8IeE8EeB8HeC8CeA8JeyEJvhFxhBTjB0kB2uBFs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8Jei/IvhFxhBTjBcpBeqBFs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8Jei/IvhFxhBTjBmpBUsBFt?B3pB,v115@AhA8IeE8EeB8HeC8CeA8JeOEJvhF8kBxhBTjByuBFs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8JexBJvhFTjBikB3pBUsBFt?BmpB,v115@AhA8IeE8EeB8HeC8CeA8JeyEJvhFxhBToB0kB2uBFs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8JeZFJvhFOpBToB6pBlmBcs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8JeZFJvhF6pBToBOpBlmBcs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8JeOEJvhF8kBxhBToByuBFs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8JexCJvhFikBToB0mB3pB1x?BmpB,v115@AhA8IeE8EeB8HeC8CeA8JexBJvhFTjBmkB0pBFsBXt?BipB,v115@AhA8IeE8EeB8HeC8CeA8JeZFJvhFTjB6pBOpBlmBcs?BXtB
TIOLZSJ,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
TIOJLSZ,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
TIOJLZS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X
TIOJSLZ,O,X,X,O,O,X,X,X,O,O,X,X,O,X,X
TIOJSZL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TIOJZLS,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TIOJZSL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TIOSLJZ,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X
TIOSLZJ,X,O,X,X,X,X,O,O,X,X,X,O,O,O,X
TIOSJLZ,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TIOSJZL,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TIOSZLJ,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
TIOSZJL,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TIOZLJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOZLSJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZJLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZJSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOZSLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TIOZSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIJSZO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TLIJZSO,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
TLIJZOS,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
TLIJOSZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLIJOZS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLISJZO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLISJOZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TLISZJO,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TLISZOJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TLISOJZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O
TLISOZJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O
TLIZJSO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TLIZJOS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLIZSJO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TLIZSOJ,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TLIZOJS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLIZOSJ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLIOJSZ,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TLIOJZS,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X
TLIOSJZ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TLIOSZJ,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
TLIOZJS,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TLIOZSJ,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
TLJISZO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLJISOZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TLJIZSO,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
TLJIZOS,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
TLJIOSZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLJIOZS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLJSIZO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TLJSZIO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLJSZOI,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLJSOIZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TLJSOZI,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TLJZISO,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
TLJZIOS,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
TLJZSIO,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
TLJZSOI,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
TLJZOIS,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
TLJZOSI,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
TLJOISZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLJOIZS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLJOSIZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLJOSZI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLJOZIS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLJOZSI,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLSIJZO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLSIJOZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TLSIZJO,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TLSIZOJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TLSIOJZ,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O
TLSIOZJ,X,O,X,X,X,X,O,O,X,X,X,O,O,O,O
TLSJIZO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLSJIOZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TLSJZIO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLSJZOI,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLSJOIZ,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X
TLSJOZI,X,O,O,O,O,X,O,O,X,X,X,X,O,X,X
TLSZIJO,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TLSZIOJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TLSZJIO,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TLSZJOI,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TLSZOIJ,X,O,X,X,X,X,O,O,X,X,X,O,O,O,X
TLSZOJI,X,O,X,X,X,X,O,O,X,X,X,O,O,O,X
TLSOIJZ,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O
TLSOIZJ,X,O,X,X,X,X,O,O,X,X,X,O,O,O,O
TLSOJIZ,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X
TLSOJZI,X,O,O,O,O,X,O,O,X,X,X,X,O,X,X
TLSOZIJ,X,O,X,X,X,X,O,O,X,X,X,O,O,O,X
TLSOZJI,X,O,X,X,X,X,O,O,X,X,X,O,O,O,X
TLZIJSO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TLZIJOS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLZISJO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TLZISOJ,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TLZIOJS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLZIOSJ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLZJISO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TLZJIOS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLZJSIO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TLZJSOI,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TLZJOIS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLZJOSI,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLZSIJO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TLZSIOJ,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TLZSJIO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TLZSJOI,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TLZSOIJ,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TLZSOJI,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TLZOIJS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLZOISJ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLZOJIS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLZOJSI,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLZOSIJ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLZOSJI,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLOIJSZ,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TLOIJZS,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X
TLOISJZ,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TLOISZJ,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X
TLOIZJS,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TLOIZSJ,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
TLOJISZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLOJIZS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLOJSIZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLOJSZI,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLOJZIS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLOJZSI,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLOSIJZ,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X
TLOSIZJ,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X
TLOSJIZ,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X
TLOSJZI,X,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TLOSZIJ,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X
TLOSZJI,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X
TLOZIJS,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TLOZISJ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
TLOZJIS,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TLOZJSI,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TLOZSIJ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
TLOZSJI,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
TJILSZO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJILSOZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TJILZSO,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
TJILZOS,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TJILOSZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TJILOZS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TJISLZO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJISLOZ,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TJISZLO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJISZOL,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJISOLZ,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TJISOZL,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJIZLSO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TJIZLOS,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TJIZSLO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TJIZSOL,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TJIZOLS,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TJIZOSL,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
TJIOLSZ,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
TJIOLZS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X
TJIOSLZ,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TJIOSZL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TJIOZLS,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TJIOZSL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TJLISZO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJLISOZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TJLIZSO,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
TJLIZOS,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TJLIOSZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TJLIOZS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TJLSIZO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TJLSZIO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJLSZOI,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJLSOIZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TJLSOZI,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TJLZISO,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
TJLZIOS,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TJLZSIO,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
TJLZSOI,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
TJLZOIS,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TJLZOSI,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TJLOISZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TJLOIZS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TJLOSIZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TJLOSZI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TJLOZIS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TJLOZSI,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TJSILZO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSILOZ,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TJSIZLO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSIZOL,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSIOLZ,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TJSIOZL,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSLIZO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TJSLZIO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSLZOI,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSLOIZ,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TJSLOZI,O,X,X,O,O,X,O,O,O,X,X,X,O,X,X
TJSZILO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSZIOL,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSZLIO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSZLOI,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSZOIL,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSZOLI,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSOILZ,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TJSOIZL,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSOLIZ,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TJSOLZI,O,X,X,O,O,X,O,O,O,X,X,X,O,X,X
TJSOZIL,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSOZLI,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJZILSO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TJZILOS,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TJZISLO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TJZISOL,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TJZIOLS,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TJZIOSL,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
TJZLISO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TJZLIOS,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TJZLSIO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TJZLSOI,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TJZLOIS,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TJZLOSI,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TJZSILO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TJZSIOL,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TJZSLIO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TJZSLOI,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
