sequence,v115@LhD8FeA8EeF8CeA8JeOEJvhFXgBxhBTjBSqBUsBFtB,v115@LhD8FeA8EeF8CeA8Jei/IvhF+lBxhBTjB3kBUsBFtB,v115@LhD8FeA8EeF8CeA8Je0/IvhF6lBxhBTjB2pBFsBXtB,v115@LhD8FeA8EeF8CeA8Jei/IvhF+lBxiB3kBToB0mB1xB,v115@LhD8FeA8EeF8CeA8JeKEJvhFGgBxhBTjBUlBFsBXtB
TJLZSOI,X,X,O,X,X
TJLZOIS,X,X,X,X,X
TJLZOSI,X,X,X,X,X
TJLOISZ,O,X,X,X,X
TJLOIZS,X,X,X,X,X
TJLOSIZ,O,X,X,X,X
TJLOSZI,O,X,X,X,X
TJLOZIS,X,X,X,X,X
TJLOZSI,X,X,X,X,X
TJSILZO,X,X,O,X,X
TJSILOZ,X,O,O,X,X
TJSIZLO,X,X,O,X,X
TJSIZOL,X,X,O,X,X
TJSIOLZ,X,O,O,X,X
TJSIOZL,X,X,O,X,X
TJSLIZO,X,X,O,X,X
TJSLIOZ,X,O,O,X,X
TJSLZIO,X,X,O,X,X
TJSLZOI,X,X,O,X,X
TJSLOIZ,X,O,O,O,X
TJSLOZI,X,O,O,O,X
TJSZILO,X,X,O,X,X
TJSZIOL,X,X,O,X,X
TJSZLIO,X,X,O,X,X
TJSZLOI,X,X,O,X,X
TJSZOIL,X,X,O,X,X
TJSZOLI,X,X,O,X,X
TJSOILZ,X,O,O,O,X
TJSOIZL,X,X,O,X,X
TJSOLIZ,X,O,O,O,X
TJSOLZI,X,O,O,O,X
TJSOZIL,X,X,O,X,X
TJSOZLI,X,X,O,X,X
TJZILSO,X,X,O,X,X
TJZILOS,X,X,X,X,X
TJZISLO,X,X,O,X,X
TJZISOL,X,X,O,X,X
TJZIOLS,X,X,X,X,X
TJZIOSL,X,X,X,X,X
TJZLISO,X,X,O,X,X
TJZLIOS,X,X,X,X,X
TJZLSIO,X,X,O,X,X
TJZLSOI,X,X,O,X,X
TJZLOIS,X,X,X,X,X
TJZLOSI,X,X,X,X,X
TJZSILO,X,X,O,X,X
TJZSIOL,X,X,O,X,X
TJZSLIO,X,X,O,X,X
TJZSLOI,X,X,O,X,X
TJZSOIL,X,X,O,X,X
TJZSOLI,X,X,O,X,X
TJZOILS,X,X,X,X,X
TJZOISL,X,X,X,X,X
TJZOLIS,X,X,X,X,X
TJZOLSI,X,X,X,X,X
TJZOSIL,X,X,X,X,X
TJZOSLI,X,X,X,X,X
TJOILSZ,O,X,X,X,X
TJOILZS,X,X,X,X,X
TJOISLZ,X,O,X,O,X
TJOISZL,X,X,X,X,X
TJOIZLS,X,X,X,X,X
TJOIZSL,X,X,X,X,X
TJOLISZ,O,X,X,X,X
TJOLIZS,X,X,X,X,X
TJOLSIZ,O,X,X,X,X
TJOLSZI,O,X,X,X,X
TJOLZIS,X,X,X,X,X
TJOLZSI,X,X,X,X,X
TJOSILZ,X,O,X,O,X
TJOSIZL,X,X,X,X,X
TJOSLIZ,X,O,X,O,X
TJOSLZI,X,O,X,O,X
TJOSZIL,X,X,X,X,X
TJOSZLI,X,X,X,X,X
TJOZILS,X,X,X,X,X
TJOZISL,X,X,X,X,X
TJOZLIS,X,X,X,X,X
TJOZLSI,X,X,X,X,X
TJOZSIL,X,X,X,X,X
TJOZSLI,X,X,X,X,X
