sequence,v115@PhA8BeB8EeA8AeE8AeA8AeB8JeOEJvhFXgB8lBzhB5?nB6oBlrB,v115@PhA8BeB8EeA8AeE8AeA8AeB8JeOEJvhFXgBlhB5nB6?oBzlB8rB
TLOJIZS,O,O
TLOJSIZ,O,O
TLOJSZI,O,O
TLOJZIS,O,O
TLOJZSI,O,O
TLOSIJZ,O,O
TLOSIZJ,O,O
TLOSJIZ,O,O
TLOSJZI,O,O
TLOSZIJ,O,O
TLOSZJI,O,O
TLOZIJS,O,O
TLOZISJ,O,O
TLOZJIS,O,O
TLOZJSI,O,O
TLOZSIJ,O,O
TLOZSJI,O,O
TJILSZO,O,O
TJILSOZ,O,O
TJILZSO,O,O
TJILZOS,O,O
TJILOSZ,O,O
TJILOZS,O,O
TJISLZO,O,O
TJISLOZ,O,O
TJISZLO,O,O
TJISZOL,O,O
TJISOLZ,O,O
TJISOZL,O,O
TJIZLSO,O,O
TJIZLOS,O,O
TJIZSLO,O,O
TJIZSOL,O,O
TJIZOLS,O,O
TJIZOSL,O,O
TJIOLSZ,O,O
TJIOLZS,O,O
TJIOSLZ,O,O
TJIOSZL,O,O
TJIOZLS,O,O
TJIOZSL,O,O
TJLISZO,O,O
TJLISOZ,O,O
TJLIZSO,O,O
TJLIZOS,O,O
TJLIOSZ,O,O
TJLIOZS,O,O
TJLSIZO,O,O
TJLSIOZ,O,O
TJLSZIO,O,O
TJLSZOI,O,O
TJLSOIZ,O,O
TJLSOZI,O,O
TJLZISO,O,O
TJLZIOS,O,O
TJLZSIO,O,O
TJLZSOI,O,O
TJLZOIS,O,O
TJLZOSI,O,O
TJLOISZ,O,O
TJLOIZS,O,O
TJLOSIZ,O,O
TJLOSZI,O,O
TJLOZIS,O,O
TJLOZSI,O,O
TJSILZO,O,O
TJSILOZ,O,O
TJSIZLO,O,O
TJSIZOL,O,O
TJSIOLZ,O,O
TJSIOZL,O,O
TJSLIZO,O,O
TJSLIOZ,O,O
TJSLZIO,O,O
TJSLZOI,O,O
