sequence,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeuEJvhF0iB6oB?/qBRmBFmBzsB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JexBJvhFTjBClB?8qBGnBFlBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeGAJvhFlhBzkB?8qBxnBCoBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhFfmB0hB?xiBGqBFtBCtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhF3hBFjB?StBRqBuqB0sB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhF1mB0iB?StBRqBuqBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhFRhB3iB?FmBGqBCtBctB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeCAJvhFlhBXlB?8qBxnBGoBzsB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhF3hBlnB?ctBRqBuqBCtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JexBJvhFClB8qB?GnBToBFlBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeqEJvhF3hB0lB?xnBGoBzsBlqB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeqEJvhFTgBlhB?8qBxnBWtBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Je3BJvhFFlBxnB?ClB8qBGoBzsB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhFXjBRmB?ctBFmB6sBGqB
TILOZSJ,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TIJLSZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TIJLOSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJSLZO,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TIJSLOZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIJSZLO,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TIJSZOL,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TIJSOLZ,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TIJSOZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TIJZLSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TIJZSLO,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJZOLS,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TIJZOSL,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIJOLSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIJOSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TISLJZO,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TISLJOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TISLZJO,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TISLZOJ,X,X,O,X,O,O,X,X,X,X,O,O,O,X
TISLOJZ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TISLOZJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TISJLZO,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TISJLOZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TISJZLO,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TISJZOL,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TISJOLZ,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TISJOZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TISZLJO,X,X,X,O,X,O,X,O,O,X,X,X,O,X
TISZLOJ,X,X,O,X,X,O,X,O,O,X,X,O,O,X
TISZJLO,X,X,X,O,X,X,X,O,O,X,X,X,O,X
TISZJOL,X,X,O,O,X,X,X,X,O,X,X,X,O,X
TISZOLJ,X,X,O,X,X,O,X,O,O,X,X,X,O,X
TISZOJL,X,X,O,O,X,X,X,X,O,X,X,X,O,X
TISOLJZ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TISOLZJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TISOJLZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOJZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOZLJ,X,X,O,X,X,O,X,X,O,X,X,X,O,X
TISOZJL,X,X,O,X,X,X,X,X,O,X,X,X,O,X
TIZLJSO,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TIZLJOS,X,X,X,X,X,O,O,X,O,X,X,O,X,X
TIZLSJO,X,X,X,O,X,O,X,O,O,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,O,X,O,O,X,X,O,X,X
TIZLOJS,X,X,O,X,X,O,X,X,O,X,X,O,X,X
TIZLOSJ,X,X,X,X,X,O,X,X,O,X,X,O,X,X
TIZJLSO,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TIZJLOS,X,X,X,X,X,O,O,X,O,X,X,O,X,X
TIZJSLO,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TIZJSOL,X,X,X,O,X,X,X,X,O,X,X,X,X,O
TIZJOLS,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TIZJOSL,X,X,O,X,X,X,X,X,O,X,X,X,X,O
TIZSLJO,X,X,X,O,X,O,X,O,O,X,X,X,O,X
TIZSLOJ,X,X,O,X,X,O,X,O,O,X,X,O,O,X
TIZSJLO,X,X,X,O,X,X,X,O,O,X,X,X,O,X
TIZSJOL,X,X,O,O,X,X,X,X,O,X,X,X,O,O
TIZSOLJ,X,X,O,X,X,O,X,O,O,X,X,X,O,X
TIZSOJL,X,X,O,O,X,X,X,O,O,X,X,X,O,X
TIZOLJS,X,X,O,X,X,O,X,X,O,X,X,O,X,X
TIZOLSJ,X,X,X,X,X,O,X,O,O,X,X,O,X,X
TIZOJLS,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TIZOJSL,X,X,O,X,X,X,X,O,O,X,X,X,X,X
TIZOSLJ,X,X,O,X,X,O,X,O,O,X,X,X,X,X
TIZOSJL,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TIOLJSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOLJZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIOLSZJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIOLZJS,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TIOLZSJ,X,X,X,X,O,O,X,O,X,X,X,O,X,X
TIOJLSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIOJSZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOJZLS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIOSLZJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIOSJLZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOSJZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOSZLJ,X,X,X,X,X,O,X,O,O,X,X,X,O,X
TIOSZJL,X,X,X,X,X,X,X,O,O,X,X,X,O,X
TIOZLJS,X,X,O,X,X,O,X,X,O,X,X,O,X,X
TIOZLSJ,X,X,X,X,X,O,X,O,O,X,X,O,X,X
TIOZJLS,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TIOZJSL,X,X,O,X,X,X,X,O,O,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,O,X,O,O,X,X,X,O,X
TIOZSJL,X,X,O,X,X,X,X,O,O,X,X,X,O,X
TLIJSZO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TLIJOSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLISJZO,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TLISJOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLISZJO,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TLISZOJ,X,X,X,X,O,O,X,X,X,X,O,O,O,X
TLISOJZ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TLISOZJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TLIZJSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TLIZSJO,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,O,O,X,O,X,X,O,O,X,X
TLIZOJS,X,X,O,X,O,O,X,X,X,X,X,O,X,X
TLIZOSJ,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TLIOJSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TLIOZSJ,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TLJISZO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TLJIOSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLJSIZO,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TLJSZIO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJSZOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJSOZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TLJZSIO,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,O,X,X,X,X,O,X,X
TLJZOSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJOSZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSIJZO,O,X,X,X,O,O,O,X,X,X,X,X,O,X
TLSIJOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLSIZJO,O,X,X,X,O,O,X,X,X,X,X,X,O,X
TLSIZOJ,X,X,O,X,O,O,X,X,X,X,O,O,O,X
TLSIOJZ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TLSIOZJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TLSJIZO,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TLSJZIO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLSJZOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLSJOZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLSZIJO,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLSZIOJ,X,X,O,X,O,O,X,X,X,X,O,O,X,X
TLSZJIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSZJOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,O,X,X,X,X,X,X,X,O,O,X,X
TLSZOJI,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLSOIZJ,X,X,X,X,O,X,X,X,X,X,O,X,O,X
TLSOJIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSOZJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLZIJOS,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TLZISJO,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TLZISOJ,X,X,X,X,O,O,X,O,X,X,O,O,X,X
TLZIOJS,X,X,O,X,O,O,X,X,X,X,X,O,X,X
TLZIOSJ,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TLZJISO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLZJIOS,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TLZJSIO,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X,O,X,X,X,X,O,X,X
TLZJOSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZSIJO,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TLZSIOJ,X,X,O,X,O,O,X,O,X,X,O,O,X,X
TLZSJIO,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLZSJOI,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLZSOIJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X
TLZSOJI,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLZOIJS,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TLZOISJ,X,X,X,X,X,O,X,O,X,X,O,O,X,X
TLZOJIS,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLZOJSI,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X
TLZOSJI,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLOIJZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLOISJZ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TLOISZJ,X,X,X,X,O,O,X,X,X,X,O,X,O,X
TLOIZJS,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TLOIZSJ,X,X,X,X,O,O,X,O,X,X,O,O,X,X
TLOJISZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJSIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJSZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJZSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLOSIZJ,X,X,X,X,O,X,X,X,X,X,O,X,O,X
TLOSJIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOSZJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLOZISJ,X,X,X,X,X,O,X,O,X,X,O,O,X,X
TLOZJIS,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLOZJSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,X,X,O,X,X,O,O,X,X
TLOZSJI,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TJILOSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJISLZO,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TJISLOZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJISZLO,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TJISZOL,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TJISOLZ,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TJISOZL,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TJIZLSO,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TJIZLOS,X,X,X,X,X,O,O,X,X,O,X,O,X,X
TJIZSLO,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJIZSOL,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TJIZOLS,X,X,O,X,X,O,O,X,X,O,X,X,X,X
TJIZOSL,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TJIOLSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIOLZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIOSLZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJIOSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TJIOZSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TJLISZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TJLIOSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLSIZO,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLSZIO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLSZOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLSOZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLZIOS,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TJLZSIO,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,O,X,X,X,X,O,X,X
TJLZOSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLOIZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLOSZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJSILZO,O,X,X,O,X,X,O,X,X,X,X,X,O,X
TJSILOZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSIZLO,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TJSIZOL,X,O,O,O,X,X,X,X,X,X,X,X,O,X
TJSIOLZ,O,X,X,O,X,X,O,X,X,X,X,X,O,X
TJSIOZL,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TJSLIZO,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSLIOZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSLZIO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSLZOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSLOZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSZILO,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSZIOL,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TJSZLIO,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSZLOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSZOIL,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TJSZOLI,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TJSOILZ,O,X,X,O,X,X,O,X,X,X,X,X,O,X
TJSOIZL,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TJSOLIZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSOLZI,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSOZIL,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSOZLI,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZILSO,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TJZILOS,X,X,X,X,X,O,O,X,X,O,X,O,X,X
TJZISLO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TJZISOL,X,O,X,O,X,X,X,X,X,X,X,X,X,O
TJZIOLS,X,X,O,X,X,O,O,X,X,O,X,X,X,X
TJZIOSL,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TJZLISO,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TJZLIOS,X,X,X,X,X,O,O,X,X,O,X,O,X,X
TJZLSIO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJZLSOI,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X,O,X,X,O,X,O,X,X
TJZLOSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TJZSILO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TJZSIOL,X,O,O,O,X,X,X,X,X,X,X,X,X,O
TJZSLIO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TJZSLOI,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TJZSOIL,X,O,O,O,X,X,X,O,X,X,X,X,X,O
TJZSOLI,X,O,O,O,X,X,X,O,X,X,X,X,X,X
TJZOILS,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TJZOISL,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TJZOLIS,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TJZOLSI,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TJZOSIL,X,X,O,O,X,X,X,O,X,X,X,X,X,O
TJZOSLI,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJOILZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJOISLZ,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TJOISZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TJOIZLS,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TJOIZSL,X,X,X,X,X,X,X,O,X,X,X,X,X,O
