sequence,v115@KhB8GeC8DeE8DeB8JeKEJvhFzfBRhBGjB8sB3rBFsB,v115@KhB8GeC8DeE8DeB8JeKEJvhFzfBGhBcoBXnBlnBxwB,v115@KhB8GeC8DeE8DeB8JeRBJvhF3iBcoBlkB+rBikBTsB,v115@KhB8GeC8DeE8DeB8JeGBJvhFTjBlkB0nBikBXnBxwB,v115@KhB8GeC8DeE8DeB8Jei/IvhFRhBTjB3kB+rBlsBcsB,v115@KhB8GeC8DeE8DeB8JeKEJvhFzfBRhBcoBFsBusB3rB,v115@KhB8GeC8DeE8DeB8JeGBJvhFTjBikBXnBlkB0nBxwB,v115@KhB8GeC8DeE8DeB8Jem/IvhFxiBTkBXoBUsBCsBFrB,v115@KhB8GeC8DeE8DeB8Jei/IvhFTjB3kBFnBGmB0nBxwB
TJILZSO,X,O,O,X,X,O,X,X,X
TJILZOS,X,O,X,O,X,O,X,X,X
TJILOSZ,O,O,X,X,X,X,O,X,X
TJILOZS,O,O,O,O,X,O,X,X,X
TJISLZO,X,O,X,X,O,X,X,X,X
TJISLOZ,X,O,X,X,O,X,O,X,X
TJISZLO,X,O,O,X,O,X,X,X,X
TJISZOL,X,X,O,O,O,X,X,X,X
TJISOLZ,X,X,X,X,O,X,O,X,X
TJISOZL,X,X,O,O,O,X,X,X,X
TJIZLSO,X,O,O,X,X,O,X,X,X
TJIZLOS,X,O,X,O,X,O,X,X,X
TJIZSLO,X,O,O,X,X,X,X,X,X
TJIZSOL,X,X,O,O,X,X,X,X,X
TJIZOLS,X,X,O,O,X,X,X,X,X
TJIZOSL,X,X,O,O,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,O,X,X
TJIOLZS,X,X,O,O,X,X,X,X,X
TJIOSLZ,X,X,X,X,O,X,O,X,X
TJIOSZL,X,X,O,O,O,X,X,X,X
TJIOZLS,X,X,O,O,X,X,X,X,X
TJIOZSL,X,X,O,O,X,X,X,X,X
TJLISZO,X,O,X,X,X,X,X,X,X
TJLISOZ,X,O,X,X,X,X,O,X,X
TJLIZSO,X,O,O,X,X,O,X,X,X
TJLIZOS,X,O,X,O,X,O,X,X,X
TJLIOSZ,O,O,X,X,X,X,O,X,X
TJLIOZS,O,O,O,O,X,O,X,X,X
TJLSIZO,X,X,X,X,O,X,X,X,X
TJLSIOZ,O,X,X,X,O,X,X,X,X
TJLSZIO,X,X,X,X,O,X,X,X,X
TJLSZOI,X,X,X,X,O,X,X,X,X
TJLSOIZ,O,X,X,X,O,X,X,X,X
TJLSOZI,X,X,X,X,O,X,X,X,X
TJLZISO,X,O,O,X,X,O,X,X,X
TJLZIOS,O,O,X,X,X,O,X,X,X
TJLZSIO,O,X,O,X,X,O,X,X,X
TJLZSOI,O,X,O,X,X,O,X,X,X
TJLZOIS,O,O,O,O,X,O,X,X,X
TJLZOSI,O,X,O,O,X,O,X,X,X
TJLOISZ,O,O,X,X,X,X,O,X,X
TJLOIZS,O,O,O,O,X,O,X,X,X
TJLOSIZ,O,X,X,X,O,X,X,X,X
TJLOSZI,X,X,X,X,O,X,X,X,X
TJLOZIS,O,O,O,O,X,O,X,X,X
TJLOZSI,O,X,O,O,X,O,X,X,X
TJSILZO,X,X,X,X,O,X,X,X,X
TJSILOZ,O,X,X,X,O,X,X,X,X
TJSIZLO,X,X,O,X,O,X,X,X,X
TJSIZOL,X,X,O,O,O,X,X,X,X
TJSIOLZ,X,X,X,X,O,X,X,X,X
TJSIOZL,X,X,O,O,O,X,X,X,X
TJSLIZO,X,X,X,X,O,X,X,X,X
TJSLIOZ,O,X,X,X,O,X,X,X,X
TJSLZIO,X,X,X,X,O,X,X,X,X
TJSLZOI,X,X,X,X,O,X,X,X,X
TJSLOIZ,O,X,X,X,O,X,X,X,X
TJSLOZI,X,X,X,X,O,X,X,X,X
TJSZILO,X,X,O,X,O,X,X,X,X
TJSZIOL,X,X,O,X,O,X,X,X,X
TJSZLIO,X,X,O,X,O,X,X,X,X
TJSZLOI,X,X,O,X,O,X,X,X,X
TJSZOIL,X,X,O,O,O,X,X,X,X
TJSZOLI,X,X,O,O,O,X,X,X,X
TJSOILZ,X,X,X,X,O,X,X,X,X
TJSOIZL,X,X,O,O,O,X,X,X,X
TJSOLIZ,X,X,X,X,O,X,X,X,X
TJSOLZI,X,X,X,X,O,X,X,X,X
TJSOZIL,X,X,O,O,O,X,X,X,X
TJSOZLI,X,X,O,O,O,X,X,X,X
TJZILSO,X,O,O,X,X,O,X,X,X
TJZILOS,O,O,X,O,X,O,X,X,X
TJZISLO,X,O,O,X,X,X,X,X,X
TJZISOL,X,X,O,O,X,X,X,X,X
TJZIOLS,X,X,O,O,X,X,X,X,X
TJZIOSL,X,X,O,O,X,X,X,X,X
TJZLISO,X,O,O,X,X,O,X,X,X
TJZLIOS,O,O,X,X,X,O,X,X,X
TJZLSIO,O,X,O,X,X,O,X,X,X
TJZLSOI,O,X,O,X,X,O,X,X,X
TJZLOIS,O,O,O,O,X,O,X,X,X
TJZLOSI,O,X,O,O,X,O,X,X,X
TJZSILO,O,X,O,X,O,X,X,X,X
TJZSIOL,X,X,O,X,O,X,X,X,X
TJZSLIO,O,X,O,X,O,X,X,X,X
TJZSLOI,O,X,O,X,O,X,X,X,X
TJZSOIL,X,X,O,O,O,X,X,X,X
TJZSOLI,X,X,O,O,O,X,X,X,X
TJZOILS,X,X,O,O,X,X,X,X,X
TJZOISL,X,X,O,O,X,X,X,X,X
TJZOLIS,X,X,O,O,X,X,X,X,X
TJZOLSI,X,X,O,O,X,X,X,X,X
TJZOSIL,X,X,O,O,O,X,X,X,X
TJZOSLI,X,X,O,O,O,X,X,X,X
TJOILSZ,X,X,X,X,X,X,O,X,X
TJOILZS,X,X,O,O,X,X,X,X,X
TJOISLZ,X,X,X,X,O,X,O,X,X
TJOISZL,X,X,O,O,O,X,X,X,X
TJOIZLS,X,X,O,O,X,X,X,X,X
TJOIZSL,X,X,O,O,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X,O,X,X
TJOLIZS,X,X,O,O,X,X,X,X,X
TJOLSIZ,X,X,X,X,O,X,X,X,X
TJOLSZI,X,X,X,X,O,X,X,X,X
TJOLZIS,X,X,O,O,X,X,X,X,X
TJOLZSI,X,X,O,O,X,X,X,X,X
TJOSILZ,X,X,X,X,O,X,X,X,X
TJOSIZL,X,X,O,O,O,X,X,X,X
TJOSLIZ,X,X,X,X,O,X,X,X,X
TJOSLZI,X,X,X,X,O,X,X,X,X
TJOSZIL,X,X,O,O,O,X,X,X,X
TJOSZLI,X,X,O,O,O,X,X,X,X
TJOZILS,X,X,O,O,X,X,X,X,X
TJOZISL,X,X,O,O,X,X,X,X,X
TJOZLIS,X,X,O,O,X,X,X,X,X
TJOZLSI,X,X,O,O,X,X,X,X,X
TJOZSIL,X,X,O,O,O,X,X,X,X
TJOZSLI,X,X,O,O,O,X,X,X,X
TSILJZO,X,X,X,X,O,X,X,X,X
TSILJOZ,O,X,X,X,O,X,X,X,O
TSILZJO,O,X,X,X,X,O,X,X,X
TSILZOJ,O,X,X,X,X,O,X,X,O
TSILOJZ,O,X,X,X,O,X,X,X,O
TSILOZJ,O,X,X,X,X,O,X,X,O
TSIJLZO,X,X,X,X,O,X,X,X,X
TSIJLOZ,O,X,X,X,O,X,X,X,O
TSIJZLO,X,X,O,X,O,X,X,X,X
TSIJZOL,X,X,O,O,O,X,X,X,X
TSIJOLZ,X,X,X,X,O,X,X,X,O
TSIJOZL,X,X,O,O,O,X,X,X,X
TSIZLJO,O,X,X,X,X,O,X,X,X
TSIZLOJ,O,X,X,X,X,O,X,X,O
TSIZJLO,O,X,O,X,X,X,X,X,X
TSIZJOL,X,X,O,O,X,X,X,X,X
TSIZOLJ,X,X,X,X,X,X,X,X,O
TSIZOJL,X,X,X,O,X,X,X,X,X
TSIOLJZ,X,X,X,X,O,X,X,X,O
TSIOLZJ,X,X,X,X,X,X,X,X,O
TSIOJLZ,X,X,X,X,O,X,X,X,O
TSIOJZL,X,X,X,O,O,X,X,X,X
TSIOZLJ,X,X,X,X,X,X,X,X,O
TSIOZJL,X,X,X,O,X,X,X,X,X
TSLIJZO,X,X,X,X,O,X,X,X,X
TSLIJOZ,O,X,X,X,O,X,X,X,O
TSLIZJO,O,X,X,X,X,O,X,X,X
TSLIZOJ,O,X,X,X,X,O,X,X,O
TSLIOJZ,O,X,X,X,O,X,X,X,O
TSLIOZJ,O,X,X,X,X,O,X,X,O
TSLJIZO,X,X,X,X,O,X,X,X,X
TSLJIOZ,O,X,X,X,O,X,X,X,X
TSLJZIO,X,X,X,X,O,X,X,X,X
TSLJZOI,X,X,X,X,O,X,X,X,X
TSLJOIZ,O,X,X,X,O,X,X,X,X
TSLJOZI,X,X,X,X,O,X,X,X,X
TSLZIJO,O,X,X,X,X,O,X,X,X
TSLZIOJ,O,X,X,X,X,O,X,X,X
TSLZJIO,O,X,X,X,O,O,X,X,X
TSLZJOI,O,X,X,X,O,O,X,X,X
TSLZOIJ,O,X,X,X,X,O,X,X,X
TSLZOJI,O,X,X,X,O,O,X,X,X
TSLOIJZ,O,X,X,X,O,X,X,X,O
TSLOIZJ,O,X,X,X,X,O,X,X,O
TSLOJIZ,O,X,X,X,O,X,X,X,X
TSLOJZI,X,X,X,X,O,X,X,X,X
TSLOZIJ,O,X,X,X,X,O,X,X,X
TSLOZJI,O,X,X,X,O,O,X,X,X
TSJILZO,X,X,X,X,O,X,X,X,X
TSJILOZ,O,X,X,X,O,X,X,X,X
TSJIZLO,X,X,O,X,O,X,X,X,X
TSJIZOL,X,X,O,O,O,X,X,X,X
TSJIOLZ,X,X,X,X,O,X,X,X,X
TSJIOZL,X,X,O,O,O,X,X,X,X
TSJLIZO,X,X,X,X,O,X,X,X,X
TSJLIOZ,O,X,X,X,O,X,X,X,X
TSJLZIO,X,X,X,X,O,X,X,X,X
TSJLZOI,X,X,X,X,O,X,X,X,X
TSJLOIZ,O,X,X,X,O,X,X,X,X
TSJLOZI,X,X,X,X,O,X,X,X,X
TSJZILO,X,X,O,X,O,X,X,X,X
TSJZIOL,X,X,O,X,O,X,X,X,X
TSJZLIO,X,X,O,X,O,X,X,X,X
TSJZLOI,X,X,O,X,O,X,X,X,X
TSJZOIL,X,X,O,O,O,X,X,X,X
TSJZOLI,X,X,O,O,O,X,X,X,X
TSJOILZ,X,X,X,X,O,X,X,X,X
TSJOIZL,X,X,O,O,O,X,X,X,X
TSJOLIZ,X,X,X,X,O,X,X,X,X
TSJOLZI,X,X,X,X,O,X,X,X,X
TSJOZIL,X,X,O,O,O,X,X,X,X
TSJOZLI,X,X,O,O,O,X,X,X,X
TSZILJO,O,X,X,X,X,O,X,X,X
TSZILOJ,O,X,X,X,X,O,X,X,X
TSZIJLO,O,X,O,X,X,X,X,X,X
TSZIJOL,X,X,O,X,X,X,X,X,X
TSZIOLJ,X,X,X,X,X,X,X,O,X
TSZIOJL,X,X,X,X,X,X,X,O,X
TSZLIJO,O,X,X,X,X,O,X,X,X
TSZLIOJ,O,X,X,X,X,O,X,X,X
TSZLJIO,O,X,X,X,O,O,X,X,X
TSZLJOI,O,X,X,X,O,O,X,X,X
TSZLOIJ,O,X,X,X,X,O,X,X,X
TSZLOJI,O,X,X,X,O,O,X,X,X
TSZJILO,O,X,O,X,O,X,X,X,X
TSZJIOL,X,X,O,X,O,X,X,X,X
TSZJLIO,O,X,O,X,O,X,X,X,X
TSZJLOI,O,X,O,X,O,X,X,X,X
TSZJOIL,X,X,O,O,O,X,X,X,X
TSZJOLI,X,X,O,O,O,X,X,X,X
TSZOILJ,X,X,X,X,X,X,X,O,X
TSZOIJL,X,X,X,X,X,X,X,O,X
TSZOLIJ,X,X,X,X,X,X,X,O,X
TSZOLJI,X,X,X,X,O,X,X,O,X
TSZOJIL,X,X,O,O,O,X,X,O,X
TSZOJLI,X,X,O,O,O,X,X,O,X
TSOILJZ,X,X,X,X,O,X,X,X,O
TSOILZJ,X,X,X,X,X,X,X,X,O
TSOIJLZ,X,X,X,X,O,X,X,X,O
TSOIJZL,X,X,X,O,O,X,X,X,X
TSOIZLJ,X,X,X,X,X,X,X,X,O
TSOIZJL,X,X,X,O,X,X,X,X,X
TSOLIJZ,X,X,X,X,O,X,X,X,O
TSOLIZJ,X,X,X,X,X,X,X,X,O
TSOLJIZ,X,X,X,X,O,X,X,X,X
TSOLJZI,X,X,X,X,O,X,X,X,X
TSOLZIJ,X,X,X,X,X,X,X,X,X
TSOLZJI,X,X,X,X,O,X,X,X,X
TSOJILZ,X,X,X,X,O,X,X,X,X
TSOJIZL,X,X,O,O,O,X,X,X,X
TSOJLIZ,X,X,X,X,O,X,X,X,X
TSOJLZI,X,X,X,X,O,X,X,X,X
TSOJZIL,X,X,O,O,O,X,X,O,X
TSOJZLI,X,X,O,O,O,X,X,O,X
TSOZILJ,X,X,X,X,X,X,X,O,X
TSOZIJL,X,X,X,X,X,X,X,O,X
TSOZLIJ,X,X,X,X,X,X,X,O,X
TSOZLJI,X,X,X,X,O,X,X,O,X
TSOZJIL,X,X,O,O,O,X,X,O,X
TSOZJLI,X,X,O,O,O,X,X,O,X
TZILJSO,X,O,O,X,X,O,X,X,X
TZILJOS,O,O,X,O,X,O,X,X,X
TZILSJO,X,O,X,X,X,O,X,X,X
TZILSOJ,X,O,X,X,X,O,X,X,X
TZILOJS,O,O,X,O,X,O,X,X,X
TZILOSJ,X,O,X,X,X,O,X,X,X
TZIJLSO,X,O,O,X,X,O,X,X,X
TZIJLOS,O,O,X,O,X,O,X,X,X
TZIJSLO,X,O,O,X,X,X,X,X,X
TZIJSOL,X,X,O,O,X,X,X,X,X
TZIJOLS,X,X,O,O,X,X,X,X,X
TZIJOSL,X,X,O,O,X,X,X,X,X
TZISLJO,X,O,X,X,X,O,X,X,X
TZISLOJ,X,O,X,X,X,O,X,X,X
TZISJLO,X,O,O,X,X,X,X,X,X
TZISJOL,X,X,O,O,X,X,X,X,X
TZISOLJ,X,X,X,X,X,X,X,X,X
TZISOJL,X,X,X,O,X,X,X,X,X
TZIOLJS,X,X,X,O,X,O,X,X,X
TZIOLSJ,X,X,X,X,X,O,X,X,X
TZIOJLS,X,X,O,O,X,X,X,X,X
TZIOJSL,X,X,O,O,X,X,X,X,X
TZIOSLJ,X,X,X,X,X,X,X,X,X
TZIOSJL,X,X,X,O,X,X,X,X,X
TZLIJSO,X,O,O,X,X,O,X,X,X
