sequence,v115@RhA8CeB8DeH8AeA8Je2EJvhFRgB3hBcnBTjBSqBFtB,v115@RhA8CeB8DeH8AeA8Je/EJvhFRgB1mB0iB6oBTlBmsB,v115@RhA8CeB8DeH8AeA8Je2EJvhFRgB3hBFjBSqBTnBctB,v115@RhA8CeB8DeH8AeA8Jei/IvhFulB1mBxiBzkB3nBctB,v115@RhA8CeB8DeH8AeA8JeXDJvhFlkBRmBctBmpBCrBTsB
TZILSOJ,X,X,X,X,X
TZILOJS,X,X,X,X,X
TZILOSJ,X,X,X,X,X
TZIJLSO,X,X,X,O,X
TZIJLOS,X,X,X,O,X
TZIJSLO,X,X,X,X,X
TZIJSOL,X,X,X,X,X
TZIJOLS,X,X,X,O,X
TZIJOSL,X,X,X,X,X
TZISLJO,X,X,X,X,O
TZISLOJ,X,X,X,X,O
TZISJLO,X,X,X,X,O
TZISJOL,X,X,X,X,O
TZISOLJ,X,X,X,X,O
TZISOJL,X,X,X,X,O
TZIOLJS,X,X,X,O,X
TZIOLSJ,X,X,X,X,X
TZIOJLS,X,X,X,O,X
TZIOJSL,X,X,X,X,X
TZIOSLJ,X,X,X,X,X
TZIOSJL,X,X,X,X,X
TZLIJSO,O,X,X,O,X
TZLIJOS,O,X,X,O,X
TZLISJO,O,X,X,X,X
TZLISOJ,O,X,X,X,X
TZLIOJS,O,X,X,X,X
TZLIOSJ,O,X,X,X,X
TZLJISO,O,X,X,O,X
TZLJIOS,O,X,X,O,X
TZLJSIO,O,X,X,O,X
TZLJSOI,O,X,X,X,X
TZLJOIS,O,X,X,X,X
TZLJOSI,O,X,X,X,X
TZLSIJO,O,X,X,O,X
TZLSIOJ,O,O,X,X,X
TZLSJIO,O,X,X,O,X
TZLSJOI,O,X,X,X,X
TZLSOIJ,O,O,X,X,X
TZLSOJI,O,X,X,X,X
TZLOIJS,O,X,X,X,X
TZLOISJ,O,X,X,X,X
TZLOJIS,O,X,X,X,X
TZLOJSI,O,X,X,X,X
TZLOSIJ,O,O,X,X,X
TZLOSJI,O,X,X,X,X
TZJILSO,X,X,X,O,X
TZJILOS,X,X,X,O,X
TZJISLO,X,X,X,X,X
TZJISOL,O,X,X,X,X
TZJIOLS,X,X,X,O,X
TZJIOSL,O,X,X,X,X
TZJLISO,O,X,X,O,X
TZJLIOS,O,X,X,O,X
TZJLSIO,O,X,X,O,X
TZJLSOI,O,X,X,X,X
TZJLOIS,O,X,X,X,X
TZJLOSI,O,X,X,X,X
TZJSILO,X,X,X,O,X
TZJSIOL,O,X,X,O,X
TZJSLIO,O,X,X,O,X
TZJSLOI,O,X,X,X,X
TZJSOIL,O,X,X,O,X
TZJSOLI,O,X,X,O,X
TZJOILS,X,X,X,O,X
TZJOISL,O,X,X,X,X
TZJOLIS,O,X,X,O,X
TZJOLSI,O,X,X,O,X
TZJOSIL,O,X,X,O,X
TZJOSLI,O,X,X,O,X
TZSILJO,X,X,X,O,O
TZSILOJ,X,O,X,X,O
TZSIJLO,X,X,X,O,O
TZSIJOL,O,X,X,O,O
TZSIOLJ,X,X,X,O,O
TZSIOJL,O,X,X,O,O
TZSLIJO,O,X,X,O,X
TZSLIOJ,O,O,X,X,X
TZSLJIO,O,X,X,O,X
TZSLJOI,O,X,X,X,X
TZSLOIJ,O,O,X,X,X
TZSLOJI,O,X,X,X,X
TZSJILO,X,X,X,O,X
TZSJIOL,O,X,X,O,X
TZSJLIO,O,X,X,O,X
TZSJLOI,O,X,X,X,X
TZSJOIL,O,X,X,O,X
TZSJOLI,O,X,X,O,X
TZSOILJ,X,O,X,O,X
TZSOIJL,O,X,X,O,X
TZSOLIJ,O,O,X,O,X
TZSOLJI,O,X,X,O,X
TZSOJIL,O,X,X,O,X
TZSOJLI,O,X,X,O,X
TZOILJS,X,X,X,O,X
TZOILSJ,X,X,X,X,X
TZOIJLS,X,X,X,O,X
TZOIJSL,X,X,X,X,X
TZOISLJ,X,X,X,X,X
TZOISJL,X,X,X,X,X
TZOLIJS,O,X,X,O,X
TZOLISJ,O,X,X,X,X
TZOLJIS,O,X,X,O,X
TZOLJSI,O,X,X,O,X
TZOLSIJ,O,O,X,O,X
TZOLSJI,O,X,X,O,X
TZOJILS,X,X,X,O,X
TZOJISL,O,X,X,X,X
TZOJLIS,O,X,X,O,X
TZOJLSI,O,X,X,O,X
TZOJSIL,O,X,X,O,X
TZOJSLI,O,X,X,O,X
TZOSILJ,X,O,X,O,X
TZOSIJL,O,X,X,O,X
TZOSLIJ,O,O,X,O,X
TZOSLJI,O,X,X,O,X
TZOSJIL,O,X,X,O,X
TZOSJLI,O,X,X,O,X
TOILJSZ,X,X,X,X,X
TOILJZS,X,X,X,O,X
TOILSJZ,X,X,X,X,X
TOILSZJ,X,X,X,X,X
TOILZJS,X,X,X,X,X
TOILZSJ,X,X,X,X,X
TOIJLSZ,X,X,X,X,X
TOIJLZS,X,X,X,O,X
TOIJSLZ,X,X,X,X,X
TOIJSZL,X,X,X,X,X
TOIJZLS,X,X,X,X,X
TOIJZSL,X,X,X,X,X
TOISLJZ,X,X,X,X,X
TOISLZJ,X,X,X,X,X
TOISJLZ,X,X,X,X,X
TOISJZL,X,X,X,X,X
TOISZLJ,X,X,X,X,X
TOISZJL,X,X,X,X,X
TOIZLJS,X,X,X,X,X
TOIZLSJ,X,X,X,X,X
TOIZJLS,X,X,X,X,X
TOIZJSL,X,X,X,X,X
TOIZSLJ,X,X,X,X,X
TOIZSJL,X,X,X,X,X
TOLIJSZ,X,X,X,X,X
TOLIJZS,O,X,X,O,X
TOLISJZ,X,X,X,X,X
TOLISZJ,X,X,X,X,X
TOLIZJS,O,X,X,X,X
TOLIZSJ,O,X,X,X,X
TOLJISZ,X,X,X,X,X
TOLJIZS,O,X,X,O,X
