sequence,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeeFJvhFRhBCjB8rBT?oB3qBFrB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JelAJvhF3hBCjB8rBT?oBRqB2vB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JecGJvhFenBCjBXlBT?oBllBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je/FJvhFxiBKrBFnBT?oBGmBUqB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeaHJvhFGjBXlBTmBU?oBllBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je/FJvhFRhBziB+oBU?qBirBlrB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeCCJvhFmlBxnBllBT?oBUqB3rB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeiAJvhFcmBxiBXnBT?oBFqBWwB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeiBJvhFXlBzmBFoB0?lBGoBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JezBJvhFSoBXlB2rBl?lBUoBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JexAJvhFziB+oBVqBi?rB8rB3qB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JexCJvhFmlBXnBToBF?qB6rB0qB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeGDJvhFVqBRmBUoBi?mB3rBTqB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeaHJvhFWoBxlB/rBT?oBFqB0qB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je0AJvhFfoB6oBzmBR?qB2vBlrB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je0BJvhFWoBllBXlBy?rBToBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JefIJvhF6oBVqBRmBO?rB8rBTqB
TIJSZOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJSOLZ,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TIJSOZL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJZLSO,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X
TIJZLOS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIJZSLO,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TIJZSOL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TIJZOLS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJZOSL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TIJOLSZ,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
TIJOLZS,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIJOSLZ,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TIJOSZL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJOZLS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJOZSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISLJZO,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
TISLJOZ,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TISLZJO,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O
TISLZOJ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TISLOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TISLOZJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TISJLZO,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
TISJLOZ,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TISJZLO,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
TISJZOL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TISJOLZ,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TISJOZL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZLJO,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O
TISZLOJ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TISZJLO,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
TISZJOL,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
TISZOLJ,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TISZOJL,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TISOLJZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X
TISOLZJ,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O
TISOJLZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TISOJZL,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TISOZLJ,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TISOZJL,X,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X
TIZLJSO,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X
TIZLJOS,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X
TIZLSJO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X
TIZJLOS,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X
TIZJSLO,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TIZJSOL,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
TIZJOLS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIZJOSL,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
TIZSLJO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TIZSLOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZSJLO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
TIZSJOL,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
TIZSOLJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSOJL,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZOLJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZOJLS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TIZOJSL,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
TIZOSLJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZOSJL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIOLJZS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOLSJZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TIOLSZJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOLZJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIOJLZS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOJSLZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TIOJSZL,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOJZLS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOJZSL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOSLJZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X
TIOSLZJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O
TIOSJLZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TIOSJZL,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOSZLJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOSZJL,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIOZLJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOZJLS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TIOZJSL,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
TIOZSLJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOZSJL,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TLIJZSO,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLISJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TLISJOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLISZJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLISZOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLISOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TLIZJSO,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TLIZJOS,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLIZSJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TLIOJZS,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJISOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TLJIOZS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJSIZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJSIOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJSZIO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLJZISO,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJZIOS,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJZSIO,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJZSOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJZOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJZOSI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TLJOIZS,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJOSIZ,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLJOZIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOZSI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLSIJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TLSIJOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLSIZJO,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
TLSIZOJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TLSIOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TLSJIZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
TLSJIOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLSJZIO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLSZIJO,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
TLSZIOJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TLSZJIO,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLSZJOI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSZOJI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLSOIZJ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O
TLSOJIZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLSOZIJ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSOZJI,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZIJSO,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TLZIJOS,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLZISJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X
TLZJIOS,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLZJSIO,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
TLZJSOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLZJOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZJOSI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLZSIJO,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLZSIOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLZSJOI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TLOIJZS,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOISJZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLOISZJ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOIZJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TLOJIZS,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TLOJSIZ,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
TLOJSZI,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
TLOJZIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOJZSI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLOSIZJ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLOSJZI,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLOSZIJ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOSZJI,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOZIJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOZJIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOZSJI,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJILSOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TJILZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TJILZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TJILOSZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TJILOZS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJISLZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TJISLOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TJISZLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJISZOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJISOLZ,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TJISOZL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X
TJIZLOS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TJIZSLO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TJIZSOL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TJIZOLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJIZOSL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TJIOLSZ,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
TJIOLZS,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJIOSLZ,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TJIOSZL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIOZLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJIOZSL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJLISZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLISOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLIZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TJLIOZS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLSIZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLSZIO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TJLZISO,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLZIOS,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLZSIO,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLZSOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLZOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLZOSI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TJLOIZS,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLOSIZ,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TJLOZIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOZSI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
