sequence,v115@vhETJJ2vBRrBSxBTtB,v115@vhETJJiqBGsBTtBRwB,v115@vhHT5IfnBTjBKpBUqBFrBGtBRxB,v115@vhHT1ITfB8lB+tBipBlrB3sBRvB,v115@vhHT1IOkBfoBzkBUrBFsBSyBxuB,v115@vhHT5I8kB6oBznB2uBlqB3rBxxB,v115@vhHc/I5oBFlB6rBTnBetBTpB3qB,v115@vhH/DJZkBqpBTlBOrBlnBUsBTtB,v115@vhHzAJfnBziBKpBUqBFrBGtBRxB,v115@vhHz/I8lBzhB+tBipBlrB3sBRvB,v115@vhHfGJ0hBziBKpBFqBGsBTtBRwB,v115@vhHz/IXhB8mB+tBTpBiqBlsBRwB,v115@vhHGBJziBKpBUmB/sBFqBTtBRwB,v115@vhHz/IihBcqB3mB+tBTpBlsBRwB,v115@vhHz4IfnBziBKpBUqBFrBGtBRxB,v115@vhHz1IzfB8lB+tBipBlrB3sBRvB,v115@vhH2/IKpBfqBllBcrBTnBToBxxB,v115@vhH2/IKpBfqBllBcrBxnBTsBTtB,v115@vhHSDJTkBTlB/rBFnB8sB+tBxuB,v115@vhHSDJxkB/rBFnB8sB+tBTpBTqB,v115@vhHT6IegBKpBUmB/sBFqBTtBRwB,v115@vhHqCJTeBcqB3mB+tBTpBlsBRwB,v115@vhHT1I0fBfnB2pBFrBSxBTtBxuB,v115@vhHT5I8lBXjBStBTpB2vBlrBxxB,v115@vhHT5IcoBmkBXmBTpBFsBSyBxvB,v115@vhHT1I/kB0mBCoB2uBlqBTtBxwB,v115@vhHzAJfnBTjBKpBUqBFrBGtBRxB,v115@vhHT/I8lBzhB+tBipBlrB3sBRvB,v115@vhHfGJ0hBTjBKpBFqBGsBTtBRwB,v115@vhHT/IXhB8mB+tBTpBiqBlsBRwB,v115@vhHGBJTjBKpBUmB/sBFqBTtBRwB,v115@vhHT/IihBcqB3mB+tBTpBlsBRwB,v115@vhHT/IfnB0iBKqBTpBFrBGtBRxB,v115@vhHXAJ8lBTjB+sBipBlrBTtBRvB,v115@vhHT/IGiBKqBUnB/tBTpBFrBRxB,v115@vhHiAJTjBcpB3lB+sBlrBTtBRvB,v115@vhHOEJzhBfoBzkBUrBFsBSyBxuB,v115@vhH8EJzgB6oBznB2uBlqB3rBxxB,v115@vhHOEJfnB0iBzkBFrBSxBTtBxuB,v115@vhHXAJ8lB6oBznBTpB2vBlrBxxB,v115@vhH26ITfBKqBUnB/tBTpBFrBRxB,v115@vhHS+ITjBcpB3lB+sBlrBTtBRvB,v115@vhHT1I0fBfmBKpBFqBGsBTtBRwB,v115@vhHT5I8mBXjB+tBTpBiqBlsBRwB,v115@vhH0/IfmBziBKpBFqBGsBTtBRwB,v115@vhHz/I8mBXjB+tBTpBiqBlsBRwB,v115@vhHT+IWoBKpBUmB/sBFqBTtBRwB,v115@vhHT6IykBcqB3mB+tBTpBlsBRwB,v115@vhHcBJ5lBTkBeqBFnB6tBTrB3sB,v115@vhH/BJZnBOpBllBqsBToBUqBTrB,v115@vhHG5I/jBxkB0mBlnBTpBiqBTtB,v115@vhHi1IcfBFlBXmBxnBTpBGsBTtB,v115@vhHfDJ2kBUmBFnBStBTpBTqBRxB,v115@vhH8/ISoB2pBllB3mBTsBTtBRvB,v115@vhHT6IcoBmkBXmBTpBFsBSyBxvB,v115@vhHT+I/kB0mBCoB2uBlqBTtBxwB,v115@vhHO6IzfBKpBUmB/sBFqBTtBRwB,v115@vhH6+IziBcqB3mB+tBTpBlsBRwB,v115@vhHG5I/jBxkB0mBlnBipBzqBTtB,v115@vhHi1IcfBFlBXmBxnBTpBzrBGtB,v115@vhHz8I5jB/pBUlBFmBTnBKtBWxB,v115@vhHZ/IzbB+pBTlBlmB3nBctByvB,v115@vhHT5IfjB5oBikBUmBFnBGqBzsB,v115@vhHT1I8fBZkBllB3mBGoBzpBisB,v115@vhHcFJThBTkBesBqsB/tBFrBxuB,v115@vhHTBJ/nBcpBeqBqqBToBlrBxxB,v115@vhHcFJThBTkBmnBFrBXsBSyBxuB,v115@vhHTBJ/nBClBToB2uB0qBlrBxxB,v115@vhH8/IZkBllBasBGoBzpBXrBzsB,v115@vhHfDJ5oBikBuqBFnBzpB0rBzsB,v115@vhHWDJ/pBRlBFnB6tBTqB0rBzsB,v115@vhHy/IOpBllBRnBctBzpBXrBTsB
TILSZJO,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TILSOJZ,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TILSOZJ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TILZJSO,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TILZSJO,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TILZOJS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
TILZOSJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
TILOJSZ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
TILOJZS,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
TILOSJZ,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
TILOSZJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
TILOZJS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
TILOZSJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
TIJLSZO,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIJLZSO,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJLOSZ,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
TIJLOZS,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
TIJSLZO,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIJSZLO,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJSOLZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
TIJSOZL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
TIJZLSO,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJZSLO,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJZOLS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJZOSL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJOLSZ,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
TIJOLZS,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
TIJOSLZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
TIJOSZL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
TIJOZLS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
TIJOZSL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
TISLJZO,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISLZJO,X,X,X,X,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISLOJZ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISLOZJ,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISJLZO,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
