sequence,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBGjBinB0p?B3sB,v115@LhB8GeC8CeB8BeC8BeB8JeOEJvhFNlBRhB3iBcoBqp?BTsB,v115@LhB8GeC8CeB8BeC8BeB8JeNEJvhFUgBRhBGjBinBzp?B3sB,v115@LhB8GeC8CeB8BeC8BeB8Jei/IvhFRhB3iBcoB9pBOq?BTsB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBSoB2sB0p?B3sB,v115@LhB8GeC8CeB8BeC8BeB8Jei/IvhFRhBcnBTjB9pBOq?B3sB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBOsBXoB0p?BCtB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBWoBKsBXo?B0pB,v115@LhB8GeC8CeB8BeC8BeB8JeNFJvhFRhBGjBTkBinB3s?B0pB,v115@LhB8GeC8CeB8BeC8BeB8JeNEJvhFRhBunBcoBXlBKs?BzpB,v115@LhB8GeC8CeB8BeC8BeB8JeUAJvhFRhBTjBmpBisB/p?B9sB
ITOLJZS,X,O,O,O,X,X,X,O,X,X,X
ITOLSJZ,X,O,O,X,X,X,X,X,O,X,X
ITOLSZJ,X,O,O,O,X,O,X,X,O,O,X
ITOLZJS,X,O,O,O,X,X,X,O,X,O,X
ITOLZSJ,X,O,O,O,X,X,X,O,X,O,X
ITOJLSZ,X,O,X,O,X,O,X,X,X,X,X
ITOJLZS,X,O,O,O,O,X,X,X,X,X,X
ITOJSLZ,X,X,O,O,X,O,X,X,O,X,X
ITOJSZL,X,X,O,O,X,O,O,X,X,X,X
ITOJZLS,O,O,O,O,O,X,O,X,X,X,X
ITOJZSL,O,O,O,O,O,X,O,X,X,X,X
ITOSLJZ,O,O,O,X,X,X,X,X,O,X,X
ITOSLZJ,O,O,O,O,X,O,X,X,O,O,X
ITOSJLZ,X,X,O,X,X,O,X,X,O,X,X
ITOSJZL,O,X,O,X,X,O,X,X,X,X,X
ITOSZLJ,O,O,O,O,X,O,X,X,O,X,X
ITOSZJL,O,O,O,O,X,O,X,X,X,X,X
ITOZLJS,O,O,O,O,O,X,O,O,X,X,X
ITOZLSJ,O,O,O,O,X,X,X,O,X,X,X
ITOZJLS,O,O,O,O,O,X,O,O,X,X,X
ITOZJSL,O,O,O,O,O,X,O,X,X,X,X
ITOZSLJ,O,O,O,O,X,X,X,O,O,X,X
ITOZSJL,O,O,O,O,O,X,O,X,X,X,X
ILTJSZO,X,O,X,X,O,X,O,O,X,O,O
ILTJSOZ,X,O,X,X,X,X,X,X,X,X,O
ILTJZSO,X,O,O,O,O,X,O,O,X,O,O
ILTJZOS,O,O,X,X,O,X,O,O,X,O,O
ILTJOSZ,X,O,X,X,X,X,X,X,X,X,O
ILTJOZS,X,O,X,O,O,X,X,O,X,X,O
ILTSJZO,O,O,O,X,X,X,X,O,O,O,X
ILTSJOZ,O,O,O,X,X,X,X,X,O,X,X
ILTSZJO,O,O,O,O,X,X,X,O,O,O,X
ILTSZOJ,O,O,O,O,X,X,X,O,O,O,X
ILTSOJZ,O,O,O,X,X,X,X,X,O,X,X
ILTSOZJ,O,O,O,O,X,X,X,X,O,O,X
ILTZJSO,X,O,O,O,O,X,O,O,X,O,X
ILTZJOS,O,O,X,X,O,X,O,O,X,O,X
ILTZSJO,O,O,O,O,X,X,X,O,X,O,X
ILTZSOJ,O,O,O,O,X,X,X,O,X,O,X
ILTZOJS,O,O,X,O,O,X,O,O,X,O,X
ILTZOSJ,O,O,X,O,X,X,X,O,X,O,X
ILTOJSZ,X,O,X,X,X,X,X,X,X,X,X
ILTOJZS,X,O,X,O,X,X,X,O,X,X,X
ILTOSJZ,X,O,X,X,X,X,X,X,O,X,X
ILTOSZJ,X,O,X,O,X,X,X,X,O,O,X
ILTOZJS,X,O,X,O,X,X,X,O,X,O,X
ILTOZSJ,X,O,X,O,X,X,X,O,X,O,X
ILJTSZO,X,O,X,O,O,X,O,O,X,O,O
ILJTSOZ,X,O,X,O,X,X,X,X,X,X,O
ILJTZSO,X,O,O,O,O,X,O,O,X,O,O
ILJTZOS,O,O,X,O,O,X,O,O,X,O,O
ILJTOSZ,X,O,X,O,X,X,X,X,X,X,O
ILJTOZS,X,O,X,O,O,X,X,O,X,X,O
ILJSTZO,X,X,X,X,O,X,O,O,X,O,O
ILJSTOZ,X,X,X,X,X,X,X,X,X,X,O
ILJSZTO,X,X,X,X,O,X,O,O,X,O,O
ILJSZOT,X,X,X,X,X,X,X,X,X,O,O
ILJSOTZ,X,X,X,X,X,X,X,X,X,X,O
ILJSOZT,X,X,X,X,X,X,X,X,X,X,O
ILJZTSO,X,O,X,O,O,X,O,O,X,O,O
ILJZTOS,O,O,X,O,O,X,O,O,X,O,O
ILJZSTO,X,O,X,O,O,X,O,O,X,O,O
ILJZSOT,X,X,X,X,X,X,X,X,X,O,O
ILJZOTS,X,O,X,X,O,X,X,O,X,O,X
ILJZOST,X,O,X,X,X,X,X,X,X,O,X
ILJOTSZ,X,O,X,O,X,X,X,X,X,X,O
ILJOTZS,X,O,O,O,O,X,X,O,X,X,O
ILJOSTZ,X,X,X,X,X,X,X,X,X,X,O
ILJOSZT,X,X,X,X,X,X,X,X,X,X,O
ILJOZTS,X,O,X,O,O,X,X,O,X,X,X
ILJOZST,X,O,X,O,X,X,X,X,X,X,X
ILSTJZO,O,X,O,X,X,X,X,O,O,O,X
ILSTJOZ,O,X,O,X,X,X,X,X,O,X,X
ILSTZJO,O,X,O,X,X,X,X,O,O,O,X
ILSTZOJ,O,X,O,X,X,X,X,O,O,O,X
ILSTOJZ,O,X,O,X,X,X,X,X,O,X,X
ILSTOZJ,O,X,O,X,X,X,X,X,O,O,X
ILSJTZO,O,X,O,X,X,X,X,O,O,O,O
ILSJTOZ,O,X,O,X,X,X,X,X,O,X,O
ILSJZTO,O,X,O,X,X,X,X,O,O,O,O
ILSJZOT,O,X,O,X,X,X,X,X,X,O,O
ILSJOTZ,O,X,O,X,X,X,X,X,O,X,O
ILSJOZT,O,X,O,X,X,X,X,X,X,X,O
ILSZTJO,O,X,O,X,X,X,X,O,O,O,X
ILSZTOJ,O,X,O,X,X,X,X,O,O,O,X
ILSZJTO,O,X,O,X,X,X,X,O,O,O,X
ILSZJOT,O,X,O,X,X,X,X,X,X,O,X
ILSZOTJ,O,X,O,X,X,X,X,X,X,O,X
ILSZOJT,O,X,O,X,X,X,X,X,X,O,X
ILSOTJZ,O,X,O,X,X,X,X,X,O,X,X
ILSOTZJ,O,X,O,X,X,X,X,X,O,O,X
ILSOJTZ,O,X,O,X,X,X,X,X,O,X,X
ILSOJZT,O,X,O,X,X,X,X,X,X,X,X
ILSOZTJ,O,X,O,X,X,X,X,X,X,O,X
ILSOZJT,O,X,O,X,X,X,X,X,X,O,X
ILZTJSO,X,O,X,O,O,X,O,O,X,O,X
ILZTJOS,O,O,X,X,O,X,O,O,X,O,X
ILZTSJO,O,O,X,O,X,X,X,O,X,O,X
ILZTSOJ,O,O,X,O,X,X,X,O,X,O,X
ILZTOJS,O,O,X,X,O,X,O,O,X,O,X
ILZTOSJ,O,O,X,O,X,X,X,O,X,O,X
ILZJTSO,X,O,X,O,O,X,O,O,X,O,O
ILZJTOS,O,O,X,O,O,X,O,O,X,O,O
ILZJSTO,X,O,X,O,O,X,O,O,X,O,O
ILZJSOT,X,X,X,X,X,X,X,X,X,O,O
ILZJOTS,X,O,X,X,O,X,X,O,X,O,X
ILZJOST,X,O,X,X,X,X,X,X,X,O,X
ILZSTJO,O,O,X,O,X,X,X,O,X,O,X
ILZSTOJ,O,O,X,O,X,X,X,O,X,O,X
ILZSJTO,O,O,X,O,X,X,X,O,X,O,X
ILZSJOT,O,X,X,X,X,X,X,X,X,O,X
ILZSOTJ,O,X,X,X,X,X,X,X,X,O,X
ILZSOJT,O,X,X,X,X,X,X,X,X,O,X
ILZOTJS,X,O,X,X,O,X,X,O,X,O,X
ILZOTSJ,X,O,X,X,X,X,X,O,X,O,X
ILZOJTS,X,O,X,X,O,X,X,O,X,O,X
ILZOJST,X,O,X,X,X,X,X,X,X,O,X
ILZOSTJ,X,O,X,X,X,X,X,X,X,O,X
ILZOSJT,X,O,X,X,X,X,X,X,X,O,X
ILOTJSZ,X,O,X,X,X,X,X,X,X,X,X
ILOTJZS,X,O,O,O,X,X,X,O,X,X,X
ILOTSJZ,X,O,O,X,X,X,X,X,X,X,X
ILOTSZJ,X,O,O,O,X,X,X,X,X,O,X
ILOTZJS,X,O,O,O,X,X,X,O,X,O,X
ILOTZSJ,X,O,O,O,X,X,X,O,X,O,X
ILOJTSZ,X,O,X,O,X,X,X,X,X,X,O
ILOJTZS,X,O,O,O,X,X,X,O,X,X,O
ILOJSTZ,X,X,X,X,X,X,X,X,X,X,O
ILOJSZT,X,X,X,X,X,X,X,X,X,X,O
ILOJZTS,X,O,X,O,X,X,X,O,X,X,X
ILOJZST,X,O,X,O,X,X,X,X,X,X,X
ILOSTJZ,X,X,O,X,X,X,X,X,X,X,X
ILOSTZJ,X,X,O,X,X,X,X,X,X,O,X
ILOSJTZ,X,X,O,X,X,X,X,X,X,X,X
ILOSJZT,X,X,O,X,X,X,X,X,X,X,X
ILOSZTJ,X,X,O,X,X,X,X,X,X,O,X
ILOSZJT,X,X,O,X,X,X,X,X,X,O,X
ILOZTJS,X,O,X,O,X,X,X,O,X,O,X
ILOZTSJ,X,O,X,O,X,X,X,O,X,O,X
ILOZJTS,X,O,X,O,X,X,X,O,X,O,X
ILOZJST,X,O,X,O,X,X,X,X,X,O,X
ILOZSTJ,X,O,X,O,X,X,X,X,X,O,X
ILOZSJT,X,O,X,O,X,X,X,X,X,O,X
IJTLSZO,X,O,X,O,O,O,O,O,X,O,O
IJTLSOZ,X,O,X,O,X,O,X,X,X,X,O
IJTLZSO,X,O,O,O,O,X,O,O,X,O,O
IJTLZOS,O,O,X,O,O,X,O,O,X,O,O
IJTLOSZ,X,O,X,O,X,O,X,X,X,X,O
IJTLOZS,X,O,X,O,O,X,X,O,X,X,O
IJTSLZO,O,X,O,O,O,O,O,X,O,O,X
IJTSLOZ,O,X,O,O,X,O,X,X,O,X,X
IJTSZLO,O,X,O,O,O,O,O,X,X,X,X
IJTSZOL,O,X,O,O,O,O,O,X,X,X,X
IJTSOLZ,X,X,X,O,X,O,X,X,O,X,X
IJTSOZL,O,X,O,O,X,O,O,X,X,X,X
IJTZLSO,X,O,O,O,O,X,O,O,X,X,X
IJTZLOS,O,O,X,O,O,X,O,O,X,X,X
IJTZSLO,O,O,O,O,O,X,O,X,X,X,X
IJTZSOL,O,X,O,O,O,X,O,X,X,X,X
IJTZOLS,O,X,X,O,O,X,O,O,X,X,X
IJTZOSL,O,X,O,O,O,X,O,X,X,X,X
IJTOLSZ,X,O,X,O,X,O,X,X,X,X,X
IJTOLZS,X,O,O,O,O,X,X,X,X,X,X
IJTOSLZ,X,X,X,O,X,O,X,X,O,X,X
IJTOSZL,X,X,O,O,X,O,O,X,X,X,X
IJTOZLS,O,O,O,O,O,X,O,X,X,X,X
IJTOZSL,O,O,O,O,O,X,O,X,X,X,X
IJLTSZO,X,X,X,O,O,X,O,O,X,O,O
IJLTSOZ,X,X,X,O,X,X,X,X,X,X,O
IJLTZSO,X,X,O,O,O,X,O,O,X,O,O
IJLTZOS,O,X,X,O,O,X,O,O,X,O,O
IJLTOSZ,X,X,X,O,X,X,X,X,X,X,O
IJLTOZS,X,X,X,O,O,X,X,O,X,X,O
IJLSTZO,X,X,X,X,O,X,O,O,X,O,O
IJLSTOZ,X,X,X,X,X,X,X,X,X,X,O
IJLSZTO,X,X,X,X,O,X,O,O,X,O,O
IJLSZOT,X,X,X,X,X,X,X,X,X,O,O
IJLSOTZ,X,X,X,X,X,X,X,X,X,X,O
IJLSOZT,X,X,X,X,X,X,X,X,X,X,O
IJLZTSO,X,X,X,O,O,X,O,O,X,O,O
IJLZTOS,O,X,X,O,O,X,O,O,X,O,O
IJLZSTO,X,X,X,O,O,X,O,O,X,O,O
IJLZSOT,X,X,X,X,X,X,X,X,X,O,O
IJLZOTS,X,X,X,X,O,X,X,O,X,O,X
IJLZOST,X,X,X,X,X,X,X,X,X,O,X
IJLOTSZ,X,X,X,O,X,X,X,X,X,X,O
IJLOTZS,X,X,O,O,O,X,X,O,X,X,O
IJLOSTZ,X,X,X,X,X,X,X,X,X,X,O
IJLOSZT,X,X,X,X,X,X,X,X,X,X,O
IJLOZTS,X,X,X,O,O,X,X,O,X,X,X
IJLOZST,X,X,X,O,X,X,X,X,X,X,X
IJSTLZO,O,X,O,O,O,O,O,X,O,O,X
IJSTLOZ,O,X,O,O,X,O,X,X,O,X,X
IJSTZLO,O,X,O,O,O,O,O,X,X,X,X
IJSTZOL,O,X,O,O,O,O,O,X,X,X,X
IJSTOLZ,X,X,O,O,X,O,X,X,O,X,X
IJSTOZL,O,X,O,O,X,O,O,X,X,X,X
IJSLTZO,O,X,O,X,O,X,O,X,O,O,O
IJSLTOZ,O,X,O,X,X,X,X,X,O,X,O
IJSLZTO,O,X,O,X,O,X,O,X,O,O,O
IJSLZOT,O,X,O,X,X,X,X,X,X,O,O
IJSLOTZ,O,X,O,X,X,X,X,X,O,X,O
IJSLOZT,O,X,O,X,X,X,X,X,X,X,O
IJSZTLO,O,X,O,O,O,O,O,X,X,X,X
IJSZTOL,O,X,O,O,O,O,O,X,X,X,X
IJSZLTO,O,X,X,O,O,O,O,X,X,X,X
IJSZLOT,O,X,X,X,X,O,X,X,X,X,X
IJSZOTL,O,X,O,O,X,O,O,X,X,X,X
IJSZOLT,X,X,X,X,X,O,X,X,X,X,X
IJSOTLZ,X,X,O,O,X,O,X,X,X,X,X
IJSOTZL,O,X,O,O,X,O,O,X,X,X,X
IJSOLTZ,X,X,O,X,X,X,X,X,X,X,X
IJSOLZT,X,X,O,X,X,X,X,X,X,X,X
IJSOZTL,O,X,O,O,X,O,O,X,X,X,X
IJSOZLT,X,X,X,O,X,O,X,X,X,X,X
IJZTLSO,X,O,O,O,O,X,O,O,X,X,X
IJZTLOS,O,O,X,O,O,X,O,O,X,X,X
IJZTSLO,O,O,O,O,O,X,O,X,X,X,X
IJZTSOL,O,X,O,O,O,X,O,X,X,X,X
IJZTOLS,O,X,X,O,O,X,O,O,X,X,X
IJZTOSL,O,X,O,O,O,X,O,X,X,X,X
IJZLTSO,X,X,X,O,O,X,O,O,X,X,O
IJZLTOS,O,X,X,O,O,X,O,O,X,X,O
IJZLSTO,X,X,X,O,O,X,O,O,X,X,O
IJZLSOT,X,X,X,X,X,X,X,X,X,X,O
IJZLOTS,X,X,X,X,O,X,X,O,X,X,X
IJZLOST,X,X,X,X,X,X,X,X,X,X,X
IJZSTLO,O,O,X,O,O,X,O,X,X,X,X
IJZSTOL,O,X,X,O,O,X,O,X,X,X,X
IJZSLTO,O,X,X,O,O,X,O,X,X,X,X
IJZSLOT,O,X,X,X,X,X,X,X,X,X,X
IJZSOTL,O,X,X,O,X,X,O,X,X,X,X
IJZSOLT,X,X,X,X,X,X,X,X,X,X,X
IJZOTLS,O,X,O,O,O,X,O,O,X,X,X
IJZOTSL,O,X,O,O,O,X,O,X,X,X,X
IJZOLTS,X,X,X,O,O,X,X,O,X,X,X
IJZOLST,X,X,X,O,X,X,X,X,X,X,X
IJZOSTL,X,X,X,O,X,X,O,X,X,X,X
IJZOSLT,X,X,X,O,X,X,X,X,X,X,X
IJOTLSZ,X,O,X,O,X,O,X,X,X,X,X
IJOTLZS,X,O,O,O,O,X,X,X,X,X,X
IJOTSLZ,X,X,O,O,X,O,X,X,X,X,X
IJOTSZL,X,X,O,O,X,O,O,X,X,X,X
IJOTZLS,O,O,O,O,O,X,O,X,X,X,X
IJOTZSL,O,O,O,O,O,X,O,X,X,X,X
IJOLTSZ,X,X,X,O,X,X,X,X,X,X,O
IJOLTZS,X,X,O,O,O,X,X,X,X,X,O
IJOLSTZ,X,X,X,X,X,X,X,X,X,X,O
IJOLSZT,X,X,X,X,X,X,X,X,X,X,O
IJOLZTS,X,X,X,O,O,X,X,X,X,X,X
IJOLZST,X,X,X,O,X,X,X,X,X,X,X
IJOSTLZ,X,X,O,O,X,O,X,X,X,X,X
IJOSTZL,X,X,O,O,X,O,O,X,X,X,X
IJOSLTZ,X,X,O,X,X,X,X,X,X,X,X
IJOSLZT,X,X,O,X,X,X,X,X,X,X,X
IJOSZTL,X,X,O,O,X,O,O,X,X,X,X
IJOSZLT,X,X,X,O,X,O,X,X,X,X,X
IJOZTLS,O,O,O,O,O,X,O,X,X,X,X
IJOZTSL,O,O,O,O,O,X,O,X,X,X,X
IJOZLTS,X,X,X,O,O,X,X,X,X,X,X
IJOZLST,X,X,X,O,X,X,X,X,X,X,X
IJOZSTL,X,O,X,O,X,X,O,X,X,X,X
IJOZSLT,X,X,X,O,X,X,X,X,X,X,X
ISTLJZO,O,O,O,X,X,X,X,O,O,O,X
ISTLJOZ,O,O,O,X,X,X,X,X,O,X,X
ISTLZJO,O,O,O,O,X,O,X,O,O,O,X
ISTLZOJ,O,O,O,O,X,O,X,O,O,O,X
ISTLOJZ,O,O,O,X,X,X,X,X,O,X,X
ISTLOZJ,O,O,O,O,X,O,X,X,O,O,X
ISTJLZO,O,X,O,X,O,O,O,X,O,O,X
ISTJLOZ,O,X,O,X,X,O,X,X,O,X,X
ISTJZLO,O,X,O,X,O,O,O,X,X,X,X
ISTJZOL,O,X,O,X,O,O,O,X,X,X,X
ISTJOLZ,X,X,O,X,X,O,X,X,O,X,X
ISTJOZL,O,X,O,X,X,O,O,X,X,X,X
ISTZLJO,O,O,O,O,X,O,X,O,O,O,X
ISTZLOJ,O,O,O,O,X,O,X,O,O,O,X
ISTZJLO,O,O,O,O,O,O,O,X,X,X,X
ISTZJOL,O,X,O,X,O,O,O,X,X,X,X
ISTZOLJ,O,O,O,O,X,O,X,O,O,X,X
ISTZOJL,O,X,O,X,O,O,O,X,X,X,X
ISTOLJZ,O,O,O,X,X,X,X,X,O,X,X
ISTOLZJ,O,O,O,O,X,O,X,X,O,O,X
ISTOJLZ,X,X,O,X,X,O,X,X,O,X,X
ISTOJZL,O,X,O,X,X,O,X,X,X,X,X
ISTOZLJ,O,O,O,O,X,O,X,X,O,X,X
ISTOZJL,O,O,O,O,X,O,X,X,X,X,X
ISLTJZO,O,X,O,X,X,X,X,O,O,O,X
ISLTJOZ,O,X,O,X,X,X,X,X,O,X,X
ISLTZJO,O,X,O,X,X,X,X,O,O,O,X
ISLTZOJ,O,X,O,X,X,X,X,O,O,O,X
ISLTOJZ,O,X,O,X,X,X,X,X,O,X,X
ISLTOZJ,O,X,O,X,X,X,X,X,O,O,X
ISLJTZO,O,X,O,X,X,X,X,O,O,O,O
ISLJTOZ,O,X,O,X,X,X,X,X,O,X,O
ISLJZTO,O,X,O,X,X,X,X,O,O,O,O
ISLJZOT,O,X,O,X,X,X,X,X,X,O,O
ISLJOTZ,O,X,O,X,X,X,X,X,O,X,O
ISLJOZT,O,X,O,X,X,X,X,X,X,X,O
ISLZTJO,O,X,O,X,X,X,X,O,O,O,X
ISLZTOJ,O,X,O,X,X,X,X,O,O,O,X
ISLZJTO,O,X,O,X,X,X,X,O,O,O,X
ISLZJOT,O,X,O,X,X,X,X,X,X,O,X
ISLZOTJ,O,X,O,X,X,X,X,X,X,O,X
ISLZOJT,O,X,O,X,X,X,X,X,X,O,X
ISLOTJZ,O,X,O,X,X,X,X,X,O,X,X
ISLOTZJ,O,X,O,X,X,X,X,X,O,O,X
ISLOJTZ,O,X,O,X,X,X,X,X,O,X,X
ISLOJZT,O,X,O,X,X,X,X,X,X,X,X
ISLOZTJ,O,X,O,X,X,X,X,X,X,O,X
ISLOZJT,O,X,O,X,X,X,X,X,X,O,X
ISJTLZO,O,X,O,O,O,O,O,X,O,O,X
ISJTLOZ,O,X,O,O,X,O,X,X,O,X,X
ISJTZLO,O,X,O,O,O,O,O,X,X,X,X
ISJTZOL,O,X,O,O,O,O,O,X,X,X,X
ISJTOLZ,X,X,O,O,X,O,X,X,O,X,X
ISJTOZL,O,X,O,O,X,O,O,X,X,X,X
ISJLTZO,O,X,O,X,O,X,O,X,O,O,O
ISJLTOZ,O,X,O,X,X,X,X,X,O,X,O
ISJLZTO,O,X,O,X,O,X,O,X,O,O,O
ISJLZOT,O,X,O,X,X,X,X,X,X,O,O
ISJLOTZ,O,X,O,X,X,X,X,X,O,X,O
ISJLOZT,O,X,O,X,X,X,X,X,X,X,O
ISJZTLO,O,X,O,O,O,O,O,X,X,X,X
ISJZTOL,O,X,O,O,O,O,O,X,X,X,X
ISJZLTO,O,X,X,O,O,O,O,X,X,X,X
ISJZLOT,O,X,X,X,X,O,X,X,X,X,X
ISJZOTL,O,X,O,O,X,O,O,X,X,X,X
ISJZOLT,O,X,X,X,X,O,X,X,X,X,X
ISJOTLZ,X,X,O,O,X,O,X,X,O,X,X
ISJOTZL,O,X,O,O,X,O,O,X,X,X,X
ISJOLTZ,X,X,O,X,X,X,X,X,O,X,X
ISJOLZT,X,X,O,X,X,X,X,X,X,X,X
ISJOZTL,O,X,O,O,X,O,O,X,X,X,X
ISJOZLT,X,X,X,O,X,O,X,X,X,X,X
ISZTLJO,O,O,O,O,X,O,X,O,O,O,X
ISZTLOJ,O,O,O,O,X,O,X,O,O,O,X
ISZTJLO,O,O,O,O,O,O,O,X,X,X,X
ISZTJOL,O,X,O,O,O,O,O,X,X,X,X
ISZTOLJ,O,O,O,O,X,O,X,O,O,X,X
ISZTOJL,O,X,O,X,O,O,O,X,X,X,X
ISZLTJO,O,O,O,O,X,O,X,O,O,O,X
ISZLTOJ,O,O,O,O,X,O,X,O,O,O,X
ISZLJTO,O,X,O,O,X,O,X,O,O,O,X
ISZLJOT,O,X,O,X,X,O,X,X,X,O,X
ISZLOTJ,O,X,O,X,X,O,X,X,X,O,X
ISZLOJT,O,X,O,X,X,O,X,X,X,O,X
ISZJTLO,O,O,O,O,O,O,O,X,X,X,X
ISZJTOL,O,X,O,O,O,O,O,X,X,X,X
ISZJLTO,O,X,X,O,O,O,O,X,X,X,X
ISZJLOT,O,X,X,X,X,O,X,X,X,X,X
ISZJOTL,O,X,O,O,X,O,O,X,X,X,X
ISZJOLT,O,X,X,X,X,O,X,X,X,X,X
ISZOTLJ,O,O,O,O,X,O,X,X,X,X,X
ISZOTJL,O,X,O,X,X,O,O,X,X,X,X
ISZOLTJ,O,X,O,X,X,O,X,X,X,X,X
ISZOLJT,O,X,O,X,X,O,X,X,X,X,X
ISZOJTL,O,X,O,O,X,O,O,X,X,X,X
ISZOJLT,O,X,X,X,X,O,X,X,X,X,X
ISOTLJZ,O,O,O,X,X,X,X,X,O,X,X
ISOTLZJ,O,O,O,O,X,O,X,X,O,O,X
ISOTJLZ,X,X,O,X,X,O,X,X,O,X,X
ISOTJZL,O,X,O,X,X,O,X,X,X,X,X
ISOTZLJ,O,O,O,O,X,O,X,X,O,X,X
ISOTZJL,O,O,O,O,X,O,X,X,X,X,X
ISOLTJZ,O,X,O,X,X,X,X,X,O,X,X
ISOLTZJ,O,X,O,X,X,X,X,X,O,O,X
ISOLJTZ,O,X,O,X,X,X,X,X,O,X,X
ISOLJZT,O,X,O,X,X,X,X,X,X,X,X
ISOLZTJ,O,X,O,X,X,X,X,X,X,O,X
ISOLZJT,O,X,O,X,X,X,X,X,X,O,X
ISOJTLZ,X,X,O,O,X,O,X,X,O,X,X
ISOJTZL,O,X,O,O,X,O,X,X,X,X,X
ISOJLTZ,X,X,O,X,X,X,X,X,O,X,X
ISOJLZT,X,X,O,X,X,X,X,X,X,X,X
ISOJZTL,O,X,O,O,X,O,X,X,X,X,X
ISOJZLT,X,X,X,O,X,O,X,X,X,X,X
ISOZTLJ,O,O,O,O,X,O,X,X,X,X,X
ISOZTJL,O,O,O,O,X,O,X,X,X,X,X
ISOZLTJ,O,O,O,O,X,O,X,X,X,X,X
ISOZLJT,O,X,O,O,X,O,X,X,X,X,X
ISOZJTL,O,O,O,O,X,O,X,X,X,X,X
ISOZJLT,X,X,X,O,X,O,X,X,X,X,X
IZTLJSO,X,O,O,O,O,X,O,O,X,O,X
IZTLJOS,O,O,X,X,O,X,O,O,X,O,X
IZTLSJO,O,O,O,O,X,X,X,O,X,O,X
IZTLSOJ,O,O,O,O,X,X,X,O,X,O,X
IZTLOJS,O,O,X,O,O,X,O,O,X,O,X
IZTLOSJ,O,O,X,O,X,X,X,O,X,O,X
IZTJLSO,X,O,O,O,O,X,O,O,X,X,X
IZTJLOS,O,O,X,O,O,X,O,O,X,X,X
IZTJSLO,O,O,O,O,O,X,O,X,X,X,X
IZTJSOL,O,X,O,O,O,X,O,X,X,X,X
IZTJOLS,O,X,X,O,O,X,O,O,X,X,X
IZTJOSL,O,X,O,O,O,X,O,X,X,X,X
IZTSLJO,O,O,O,O,X,X,X,O,O,O,X
IZTSLOJ,O,O,O,O,X,X,X,O,O,O,X
IZTSJLO,O,O,O,O,O,X,O,X,X,X,X
IZTSJOL,O,X,O,O,O,X,O,X,X,X,X
IZTSOLJ,O,O,O,O,X,X,X,O,O,X,X
IZTSOJL,O,X,O,X,O,X,O,X,X,X,X
IZTOLJS,O,O,X,O,O,X,O,O,X,X,X
IZTOLSJ,O,O,X,O,X,X,X,O,X,X,X
IZTOJLS,O,O,X,O,O,X,O,O,X,X,X
IZTOJSL,O,O,O,O,O,X,O,X,X,X,X
IZTOSLJ,O,O,O,O,X,X,X,O,O,X,X
IZTOSJL,O,O,O,O,O,X,O,X,X,X,X
IZLTJSO,X,O,X,O,O,X,O,O,X,O,X
IZLTJOS,O,O,X,X,O,X,O,O,X,O,X
IZLTSJO,O,O,X,O,X,X,X,O,X,O,X
IZLTSOJ,O,O,X,O,X,X,X,O,X,O,X
IZLTOJS,O,O,X,X,O,X,O,O,X,O,X
IZLTOSJ,O,O,X,O,X,X,X,O,X,O,X
IZLJTSO,X,O,X,O,O,X,O,O,X,O,O
IZLJTOS,O,O,X,O,O,X,O,O,X,O,O
IZLJSTO,X,O,X,O,O,X,O,O,X,O,O
IZLJSOT,X,X,X,X,X,X,X,X,X,O,O
IZLJOTS,X,O,X,X,O,X,X,O,X,O,X
IZLJOST,X,O,X,X,X,X,X,X,X,O,X
IZLSTJO,O,O,X,O,X,X,X,O,X,O,X
IZLSTOJ,O,O,X,O,X,X,X,O,X,O,X
IZLSJTO,O,O,X,O,X,X,X,O,X,O,X
IZLSJOT,O,X,X,X,X,X,X,X,X,O,X
IZLSOTJ,O,X,X,X,X,X,X,X,X,O,X
IZLSOJT,O,X,X,X,X,X,X,X,X,O,X
IZLOTJS,X,O,X,X,O,X,X,O,X,O,X
IZLOTSJ,X,O,X,X,X,X,X,O,X,O,X
IZLOJTS,X,O,X,X,O,X,X,O,X,O,X
IZLOJST,X,O,X,X,X,X,X,X,X,O,X
IZLOSTJ,X,O,X,X,X,X,X,X,X,O,X
IZLOSJT,X,O,X,X,X,X,X,X,X,O,X
IZJTLSO,X,O,O,O,O,X,O,O,X,X,X
IZJTLOS,O,O,X,O,O,X,O,O,X,X,X
IZJTSLO,O,O,O,O,O,X,O,X,X,X,X
IZJTSOL,O,X,O,O,O,X,O,X,X,X,X
IZJTOLS,O,X,X,O,O,X,O,O,X,X,X
IZJTOSL,O,X,O,O,O,X,O,X,X,X,X
IZJLTSO,X,X,X,O,O,X,O,O,X,X,O
IZJLTOS,O,X,X,O,O,X,O,O,X,X,O
IZJLSTO,X,X,X,O,O,X,O,O,X,X,O
IZJLSOT,X,X,X,X,X,X,X,X,X,X,O
IZJLOTS,X,X,X,X,O,X,X,O,X,X,X
IZJLOST,X,X,X,X,X,X,X,X,X,X,X
