sequence,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBGjBinB0p?B3sB,v115@LhB8GeC8CeB8BeC8BeB8JeOEJvhFNlBRhB3iBcoBqp?BTsB,v115@LhB8GeC8CeB8BeC8BeB8JeNEJvhFUgBRhBGjBinBzp?B3sB,v115@LhB8GeC8CeB8BeC8BeB8Jei/IvhFRhB3iBcoB9pBOq?BTsB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBSoB2sB0p?B3sB,v115@LhB8GeC8CeB8BeC8BeB8Jei/IvhFRhBcnBTjB9pBOq?B3sB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBOsBXoB0p?BCtB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBWoBKsBXo?B0pB,v115@LhB8GeC8CeB8BeC8BeB8JeNFJvhFRhBGjBTkBinB3s?B0pB,v115@LhB8GeC8CeB8BeC8BeB8JeNEJvhFRhBunBcoBXlBKs?BzpB,v115@LhB8GeC8CeB8BeC8BeB8JeUAJvhFRhBTjBmpBisB/p?B9sB
TLIOSJZ,X,O,X,X,X,X,X,X,O,X,X
TLIOSZJ,X,O,X,O,X,O,X,X,O,O,X
TLIOZJS,X,O,X,O,X,X,X,O,X,O,X
TLIOZSJ,X,O,X,O,X,X,X,O,X,O,X
TLJISZO,X,O,X,O,O,O,O,O,X,O,O
TLJISOZ,X,O,X,O,X,O,X,X,X,X,O
TLJIZSO,X,O,O,O,O,X,O,O,X,O,O
TLJIZOS,O,O,X,O,O,X,O,O,X,O,O
TLJIOSZ,X,O,X,O,X,O,X,X,X,X,O
TLJIOZS,X,O,X,O,O,X,X,O,X,X,O
TLJSIZO,X,O,X,O,O,O,O,O,X,O,O
TLJSIOZ,X,O,X,O,X,O,X,X,X,X,O
TLJSZIO,X,O,X,O,O,O,O,O,X,O,O
TLJSZOI,X,O,X,O,O,O,O,O,X,O,O
TLJSOIZ,X,O,X,O,X,O,X,X,X,X,O
TLJSOZI,X,O,X,O,X,O,X,X,X,X,O
TLJZISO,X,O,O,O,O,X,O,O,X,O,O
TLJZIOS,O,O,X,O,O,X,O,O,X,O,O
TLJZSIO,X,O,X,O,O,O,O,O,X,O,O
TLJZSOI,X,O,X,O,O,O,O,O,X,O,O
TLJZOIS,O,O,X,O,O,X,O,O,X,O,O
TLJZOSI,X,O,X,O,O,O,O,O,X,O,O
TLJOISZ,X,O,X,O,X,O,X,X,X,X,O
TLJOIZS,X,O,X,O,O,X,X,O,X,X,O
TLJOSIZ,X,O,X,O,X,O,X,X,X,X,O
TLJOSZI,X,O,X,O,X,O,X,X,X,X,O
TLJOZIS,X,O,X,O,O,X,X,O,X,X,O
TLJOZSI,X,O,X,O,O,O,X,O,X,X,O
TLSIJZO,O,O,O,X,X,X,X,O,O,O,X
TLSIJOZ,O,O,O,X,X,X,X,X,O,X,X
TLSIZJO,O,O,O,O,X,O,X,O,O,O,X
TLSIZOJ,O,O,O,O,X,O,X,O,O,O,X
TLSIOJZ,O,O,O,X,X,X,X,X,O,X,X
TLSIOZJ,O,O,O,O,X,O,X,X,O,O,X
TLSJIZO,O,O,O,X,O,O,O,O,O,O,X
TLSJIOZ,O,O,O,X,X,O,X,X,O,X,X
TLSJZIO,O,O,O,X,O,O,O,O,O,O,X
TLSJZOI,O,O,O,X,O,O,O,O,O,O,X
TLSJOIZ,O,O,O,X,X,O,X,X,O,X,X
TLSJOZI,O,O,O,X,X,O,X,X,O,X,X
TLSZIJO,O,O,O,O,X,O,X,O,O,O,X
TLSZIOJ,O,O,O,O,X,O,X,O,O,O,X
TLSZJIO,O,O,O,O,O,O,O,O,O,O,X
TLSZJOI,O,O,O,X,O,O,O,O,O,O,X
TLSZOIJ,O,O,O,O,X,O,X,O,O,O,X
TLSZOJI,O,O,O,O,O,O,O,O,O,O,X
TLSOIJZ,O,O,O,X,X,X,X,X,O,X,X
TLSOIZJ,O,O,O,O,X,O,X,X,O,O,X
TLSOJIZ,O,O,O,X,X,O,X,X,O,X,X
TLSOJZI,O,O,O,X,X,O,X,X,O,X,X
TLSOZIJ,O,O,O,O,X,O,X,X,O,O,X
TLSOZJI,O,O,O,O,X,O,X,X,O,O,X
TLZIJSO,X,O,O,O,O,X,O,O,X,O,X
TLZIJOS,O,O,X,X,O,X,O,O,X,O,X
TLZISJO,O,O,O,O,X,X,X,O,X,O,X
TLZISOJ,O,O,O,O,X,X,X,O,X,O,X
TLZIOJS,O,O,X,O,O,X,O,O,X,O,X
TLZIOSJ,O,O,X,O,X,X,X,O,X,O,X
TLZJISO,X,O,O,O,O,X,O,O,X,O,X
TLZJIOS,O,O,X,O,O,X,O,O,X,O,X
TLZJSIO,X,O,X,O,O,X,O,O,X,O,X
TLZJSOI,X,O,X,O,O,X,O,O,X,O,X
TLZJOIS,O,O,X,O,O,X,O,O,X,O,X
TLZJOSI,X,O,X,O,O,X,O,O,X,O,X
TLZSIJO,O,O,O,O,X,O,X,O,X,O,X
TLZSIOJ,O,O,O,O,X,O,X,O,X,O,X
TLZSJIO,O,O,O,O,O,O,O,O,X,O,X
TLZSJOI,O,O,O,O,O,O,O,O,X,O,X
TLZSOIJ,O,O,O,O,X,O,X,O,X,O,X
TLZSOJI,O,O,O,O,O,O,O,O,X,O,X
TLZOIJS,O,O,X,O,O,X,O,O,X,O,X
TLZOISJ,O,O,X,O,X,X,X,O,X,O,X
TLZOJIS,O,O,X,O,O,X,O,O,X,O,X
TLZOJSI,X,O,X,O,O,X,O,O,X,O,X
TLZOSIJ,O,O,X,O,X,O,X,O,X,O,X
TLZOSJI,O,O,X,O,O,O,O,O,X,O,X
TLOIJSZ,X,O,X,X,X,X,X,X,X,X,X
TLOIJZS,X,O,X,O,X,X,X,O,X,X,X
TLOISJZ,X,O,X,X,X,X,X,X,O,X,X
TLOISZJ,X,O,X,O,X,O,X,X,O,O,X
TLOIZJS,X,O,X,O,X,X,X,O,X,O,X
TLOIZSJ,X,O,X,O,X,X,X,O,X,O,X
TLOJISZ,X,O,X,O,X,O,X,X,X,X,O
TLOJIZS,X,O,X,O,O,X,X,O,X,X,O
TLOJSIZ,X,O,X,O,X,O,X,X,X,X,O
TLOJSZI,X,O,X,O,X,O,X,X,X,X,O
TLOJZIS,X,O,X,O,O,X,X,O,X,X,O
TLOJZSI,X,O,X,O,O,O,X,O,X,X,O
TLOSIJZ,X,O,X,X,X,X,X,X,O,X,X
TLOSIZJ,X,O,X,O,X,O,X,X,O,O,X
TLOSJIZ,X,O,X,X,X,O,X,X,O,X,X
TLOSJZI,X,O,X,X,X,O,X,X,O,X,X
TLOSZIJ,X,O,X,O,X,O,X,X,O,O,X
TLOSZJI,X,O,X,O,X,O,X,X,O,O,X
TLOZIJS,X,O,X,O,O,X,X,O,X,O,X
TLOZISJ,X,O,X,O,X,X,X,O,X,O,X
TLOZJIS,X,O,X,O,O,X,X,O,X,O,X
TLOZJSI,X,O,X,O,O,X,X,O,X,O,X
TLOZSIJ,X,O,X,O,X,O,X,O,X,O,X
TLOZSJI,X,O,X,O,O,O,X,O,X,O,X
TJILSZO,X,O,X,O,O,O,O,O,X,O,O
TJILSOZ,X,O,X,O,X,O,X,X,X,X,O
TJILZSO,X,O,O,O,O,X,O,O,X,O,O
TJILZOS,O,O,X,O,O,X,O,O,X,O,O
TJILOSZ,X,O,X,O,X,O,X,X,X,X,O
