sequence,v115@VhA8CeB8AeI8JeZEJvhFUlBFmBXnBToBWvBSxB,v115@VhA8CeB8AeI8JeZEJvhFqpB/qBUmBGnBToBVxB,v115@VhA8CeB8AeI8JeZEJvhFqpB/qBFmB8rB+sBTtB,v115@VhA8CeB8AeI8JeZEJvhFClBXmB8rB+sBToBVvB,v115@VhA8CeB8AeI8JeT/IvhF/lBRhBGjB0mBlnBipB
TJLOISZ,O,O,O,O,O
TJLOIZS,O,O,O,O,O
TJLOSIZ,O,O,O,O,O
TJLOSZI,O,O,O,O,O
TJLOZIS,O,O,O,O,O
TJLOZSI,O,O,O,O,O
TJSILZO,O,O,X,O,O
TJSILOZ,O,O,X,O,O
TJSIZLO,O,O,X,O,O
TJSIZOL,O,O,X,O,O
TJSIOLZ,O,O,X,O,O
TJSIOZL,O,O,X,O,X
TJSLIZO,O,O,O,O,O
TJSLIOZ,O,O,O,O,O
TJSLZIO,O,O,O,O,O
TJSLZOI,O,O,O,O,O
TJSLOIZ,O,O,O,O,O
TJSLOZI,O,O,O,O,O
TJSZILO,O,O,O,O,O
TJSZIOL,O,O,O,O,O
TJSZLIO,O,O,O,O,O
TJSZLOI,O,O,O,O,O
TJSZOIL,O,O,O,O,O
TJSZOLI,O,O,O,O,O
TJSOILZ,O,O,X,O,O
TJSOIZL,O,O,X,O,X
TJSOLIZ,O,O,O,O,O
TJSOLZI,O,O,O,O,O
TJSOZIL,O,O,O,O,O
TJSOZLI,O,O,O,O,O
TJZILSO,O,O,O,O,O
TJZILOS,O,O,O,O,O
TJZISLO,O,O,O,O,O
TJZISOL,O,O,O,O,O
TJZIOLS,O,O,O,O,X
TJZIOSL,O,O,O,O,O
TJZLISO,O,O,O,O,O
TJZLIOS,O,O,O,O,O
TJZLSIO,O,O,O,O,O
TJZLSOI,O,O,O,O,O
TJZLOIS,O,O,O,O,O
TJZLOSI,O,O,O,O,O
TJZSILO,O,O,O,O,O
TJZSIOL,O,O,O,O,O
TJZSLIO,O,O,O,O,O
TJZSLOI,O,O,O,O,O
TJZSOIL,O,O,O,O,O
TJZSOLI,O,O,O,O,O
TJZOILS,O,O,O,O,X
TJZOISL,O,O,O,O,O
TJZOLIS,O,O,O,O,O
TJZOLSI,O,O,O,O,O
TJZOSIL,O,O,O,O,O
TJZOSLI,O,O,O,O,O
TJOILSZ,O,O,O,O,X
TJOILZS,O,O,O,O,X
TJOISLZ,O,O,X,O,O
TJOISZL,O,O,X,O,X
TJOIZLS,O,O,O,O,X
TJOIZSL,O,O,X,O,X
TJOLISZ,O,O,O,O,O
TJOLIZS,O,O,O,O,O
TJOLSIZ,O,O,O,O,O
TJOLSZI,O,O,O,O,O
TJOLZIS,O,O,O,O,O
TJOLZSI,O,O,O,O,O
TJOSILZ,O,O,X,O,O
TJOSIZL,O,O,X,O,X
TJOSLIZ,O,O,O,O,O
TJOSLZI,O,O,O,O,O
TJOSZIL,O,O,O,O,O
TJOSZLI,O,O,O,O,O
TJOZILS,O,O,O,O,X
TJOZISL,O,O,O,O,O
TJOZLIS,O,O,O,O,O
TJOZLSI,O,O,O,O,O
TJOZSIL,O,O,O,O,O
TJOZSLI,O,O,O,O,O
TSILJZO,O,O,O,O,O
TSILJOZ,O,O,X,O,O
TSILZJO,O,O,O,O,O
TSILZOJ,O,O,O,O,O
TSILOJZ,O,O,X,O,O
TSILOZJ,O,O,O,O,O
TSIJLZO,O,O,X,O,O
TSIJLOZ,O,O,X,O,O
TSIJZLO,O,O,X,O,O
TSIJZOL,O,O,X,O,O
TSIJOLZ,O,O,X,O,O
TSIJOZL,O,O,X,O,X
TSIZLJO,X,O,O,O,O
TSIZLOJ,X,O,O,O,O
TSIZJLO,X,O,O,O,O
TSIZJOL,X,O,O,O,O
TSIZOLJ,X,O,X,O,O
TSIZOJL,X,O,X,O,O
TSIOLJZ,O,O,X,O,O
TSIOLZJ,O,O,X,O,O
TSIOJLZ,O,O,X,O,O
TSIOJZL,O,O,X,O,X
TSIOZLJ,X,O,X,O,X
TSIOZJL,X,O,X,O,X
TSLIJZO,O,O,O,O,O
TSLIJOZ,O,O,O,O,O
TSLIZJO,O,O,O,O,O
TSLIZOJ,O,O,O,O,O
TSLIOJZ,O,O,O,O,O
TSLIOZJ,O,O,O,O,O
TSLJIZO,O,O,O,O,O
TSLJIOZ,O,O,O,O,O
TSLJZIO,O,O,O,O,O
TSLJZOI,O,O,O,O,O
TSLJOIZ,O,O,O,O,O
TSLJOZI,O,O,O,O,O
TSLZIJO,O,O,O,O,O
TSLZIOJ,O,O,O,O,O
TSLZJIO,O,O,O,O,O
TSLZJOI,O,O,O,O,O
TSLZOIJ,O,O,O,O,O
TSLZOJI,O,O,O,O,O
TSLOIJZ,O,O,O,O,O
TSLOIZJ,O,O,O,O,O
TSLOJIZ,O,O,O,O,O
TSLOJZI,O,O,O,O,O
TSLOZIJ,O,O,O,O,O
TSLOZJI,O,O,O,O,O
TSJILZO,O,O,X,O,O
TSJILOZ,O,O,X,O,O
TSJIZLO,O,O,X,O,O
TSJIZOL,O,O,X,O,O
TSJIOLZ,O,O,X,O,O
TSJIOZL,O,O,X,O,X
TSJLIZO,O,O,O,O,O
TSJLIOZ,O,O,O,O,O
TSJLZIO,O,O,O,O,O
TSJLZOI,O,O,O,O,O
TSJLOIZ,O,O,O,O,O
TSJLOZI,O,O,O,O,O
TSJZILO,O,O,O,O,O
TSJZIOL,O,O,O,O,O
TSJZLIO,O,O,O,O,O
TSJZLOI,O,O,O,O,O
TSJZOIL,O,O,O,O,O
TSJZOLI,O,O,O,O,O
TSJOILZ,O,O,X,O,O
TSJOIZL,O,O,X,O,X
TSJOLIZ,O,O,O,O,O
TSJOLZI,O,O,O,O,O
TSJOZIL,O,O,O,O,O
TSJOZLI,O,O,O,O,O
TSZILJO,X,O,O,O,O
TSZILOJ,X,O,O,O,O
TSZIJLO,X,O,O,O,O
TSZIJOL,X,O,O,O,O
TSZIOLJ,X,O,X,O,O
TSZIOJL,X,O,X,O,O
TSZLIJO,X,O,O,O,O
TSZLIOJ,X,O,O,O,O
TSZLJIO,X,O,O,O,O
TSZLJOI,X,O,O,O,O
TSZLOIJ,X,O,O,O,O
TSZLOJI,X,O,O,O,O
TSZJILO,X,O,O,O,O
TSZJIOL,X,O,O,O,O
TSZJLIO,X,O,O,O,O
TSZJLOI,X,O,O,O,O
TSZJOIL,X,O,O,O,O
TSZJOLI,X,O,O,O,O
TSZOILJ,X,O,X,O,O
TSZOIJL,X,O,X,O,O
TSZOLIJ,X,O,O,O,O
TSZOLJI,X,O,O,O,O
TSZOJIL,X,O,O,O,O
TSZOJLI,X,O,O,O,O
TSOILJZ,O,O,X,O,O
TSOILZJ,O,O,X,O,O
TSOIJLZ,O,O,X,O,O
TSOIJZL,O,O,X,O,X
TSOIZLJ,X,O,X,O,X
TSOIZJL,X,O,X,O,X
TSOLIJZ,O,O,O,O,O
TSOLIZJ,O,O,O,O,O
TSOLJIZ,O,O,O,O,O
TSOLJZI,O,O,O,O,O
TSOLZIJ,O,O,O,O,O
TSOLZJI,O,O,O,O,O
TSOJILZ,O,O,X,O,O
TSOJIZL,O,O,X,O,X
TSOJLIZ,O,O,O,O,O
TSOJLZI,O,O,O,O,O
TSOJZIL,O,O,O,O,O
TSOJZLI,O,O,O,O,O
TSOZILJ,X,O,X,O,O
TSOZIJL,X,O,X,O,O
TSOZLIJ,X,O,O,O,O
TSOZLJI,X,O,O,O,O
TSOZJIL,X,O,O,O,O
TSOZJLI,X,O,O,O,O
TZILJSO,O,O,O,O,O
TZILJOS,O,O,O,O,O
TZILSJO,O,O,O,O,O
TZILSOJ,O,O,O,O,O
TZILOJS,O,O,X,O,O
TZILOSJ,O,O,X,O,O
TZIJLSO,O,O,O,O,O
TZIJLOS,O,O,O,O,O
TZIJSLO,O,O,O,O,O
TZIJSOL,O,O,O,O,O
TZIJOLS,O,O,O,O,X
TZIJOSL,O,O,O,O,O
TZISLJO,X,O,O,O,O
TZISLOJ,X,O,O,O,O
TZISJLO,X,O,O,O,O
TZISJOL,X,O,O,O,O
TZISOLJ,X,O,X,O,O
TZISOJL,X,O,X,O,O
TZIOLJS,O,O,X,O,X
TZIOLSJ,O,O,X,O,X
TZIOJLS,O,O,X,O,X
TZIOJSL,O,O,X,O,O
TZIOSLJ,X,O,X,O,O
TZIOSJL,X,O,X,O,O
TZLIJSO,O,O,O,O,O
TZLIJOS,O,O,O,O,O
TZLISJO,O,O,O,O,O
TZLISOJ,O,O,O,O,O
TZLIOJS,O,O,X,O,O
TZLIOSJ,O,O,X,O,O
TZLJISO,O,O,O,O,O
TZLJIOS,O,O,O,O,O
TZLJSIO,O,O,O,O,O
TZLJSOI,O,O,O,O,O
TZLJOIS,O,O,O,O,O
TZLJOSI,O,O,O,O,O
TZLSIJO,O,O,O,O,O
TZLSIOJ,O,O,O,O,O
TZLSJIO,O,O,O,O,O
TZLSJOI,O,O,O,O,O
TZLSOIJ,O,O,O,O,O
TZLSOJI,O,O,O,O,O
TZLOIJS,O,O,X,O,O
TZLOISJ,O,O,X,O,O
TZLOJIS,O,O,X,O,O
TZLOJSI,O,O,X,O,O
TZLOSIJ,O,O,X,O,O
TZLOSJI,O,O,X,O,O
TZJILSO,O,O,O,O,O
TZJILOS,O,O,O,O,O
TZJISLO,O,O,O,O,O
TZJISOL,O,O,O,O,O
TZJIOLS,O,O,O,O,X
TZJIOSL,O,O,O,O,O
TZJLISO,O,O,O,O,O
TZJLIOS,O,O,O,O,O
TZJLSIO,O,O,O,O,O
TZJLSOI,O,O,O,O,O
TZJLOIS,O,O,O,O,O
TZJLOSI,O,O,O,O,O
TZJSILO,O,O,O,O,O
TZJSIOL,O,O,O,O,O
TZJSLIO,O,O,O,O,O
TZJSLOI,O,O,O,O,O
TZJSOIL,O,O,O,O,O
TZJSOLI,O,O,O,O,O
