sequence,v115@9gA8IeA8IeA8AeA8CeA8CeA8AeE8BeA8Je5EJvhFmg?BtmB6nBTjB0lBXtB,v115@9gA8IeA8IeA8AeA8CeA8CeA8AeE8BeA8Je5EJvhFTg?BemBtmBXjBStB0sB,v115@9gA8IeA8IeA8AeA8CeA8CeA8AeE8BeA8Je5EJvhFyl?BumB9nBTjB0lBXtB,v115@9gA8IeA8IeA8AeA8CeA8CeA8AeE8BeA8Je5EJvhFyl?BumB3iB9oB0lBzsB,v115@9gA8IeA8IeA8AeA8CeA8CeA8AeE8BeA8JeRAJvhFtm?BXjBupBzlBctB6sB
LTJOZSI,X,O,X,O,O
LTSIJZO,O,O,O,O,X
LTSIJOZ,O,O,O,O,X
LTSIZJO,O,O,O,O,X
LTSIZOJ,O,X,O,X,X
LTSIOJZ,O,O,O,O,X
LTSIOZJ,O,X,O,X,X
LTSJIZO,O,O,O,O,X
LTSJIOZ,O,O,O,O,X
LTSJZIO,O,O,O,O,X
LTSJZOI,O,O,O,X,X
LTSJOIZ,O,O,O,O,X
LTSJOZI,O,O,O,X,X
LTSZIJO,O,O,O,O,X
LTSZIOJ,O,X,O,X,X
LTSZJIO,O,O,O,O,X
LTSZJOI,O,O,O,X,X
LTSZOIJ,O,X,O,X,X
LTSZOJI,O,X,O,X,X
LTSOIJZ,O,O,O,O,X
LTSOIZJ,O,X,O,X,X
LTSOJIZ,O,O,O,O,X
LTSOJZI,O,O,O,X,X
LTSOZIJ,O,X,O,X,X
LTSOZJI,O,X,O,X,X
LTZIJSO,O,O,O,O,X
LTZIJOS,O,O,X,X,X
LTZISJO,O,O,O,O,X
LTZISOJ,O,X,O,X,X
LTZIOJS,O,X,X,X,X
LTZIOSJ,O,X,X,X,X
LTZJISO,O,O,O,O,X
LTZJIOS,O,O,X,X,X
LTZJSIO,O,O,O,O,X
LTZJSOI,O,O,O,X,O
LTZJOIS,O,O,X,X,O
LTZJOSI,O,O,X,X,O
LTZSIJO,O,O,O,O,X
LTZSIOJ,O,X,O,X,X
LTZSJIO,O,O,O,O,X
LTZSJOI,O,O,O,X,O
LTZSOIJ,O,X,O,X,X
LTZSOJI,O,X,O,X,O
LTZOIJS,O,X,X,X,X
LTZOISJ,O,X,X,X,X
LTZOJIS,O,X,X,X,O
LTZOJSI,O,X,X,X,O
LTZOSIJ,O,X,X,X,X
LTZOSJI,O,X,X,X,O
LTOIJSZ,X,O,O,O,X
LTOIJZS,X,O,X,O,X
LTOISJZ,O,O,O,O,X
LTOISZJ,O,X,O,O,X
LTOIZJS,O,X,X,O,X
LTOIZSJ,O,X,X,O,X
LTOJISZ,X,O,O,O,X
LTOJIZS,X,O,X,O,O
LTOJSIZ,X,O,O,O,X
LTOJSZI,X,O,O,O,X
LTOJZIS,X,O,X,O,O
LTOJZSI,X,O,X,O,O
LTOSIJZ,O,O,O,O,X
LTOSIZJ,O,X,O,O,X
LTOSJIZ,O,O,O,O,X
LTOSJZI,O,O,O,O,X
LTOSZIJ,O,X,O,O,X
LTOSZJI,O,X,O,O,X
LTOZIJS,O,X,X,O,X
LTOZISJ,O,X,X,O,X
LTOZJIS,O,X,X,O,O
LTOZJSI,O,X,X,O,O
LTOZSIJ,O,X,X,O,X
LTOZSJI,O,X,X,O,O
LITJSZO,O,O,O,O,X
LITJSOZ,O,O,O,O,X
LITJZSO,O,O,O,O,X
LITJZOS,O,O,X,X,X
LITJOSZ,X,O,O,O,X
LITJOZS,X,O,X,O,X
LITSJZO,O,O,O,O,X
LITSJOZ,O,O,O,O,X
LITSZJO,O,O,O,O,X
LITSZOJ,O,X,O,X,X
LITSOJZ,O,O,O,O,X
LITSOZJ,O,X,O,X,X
LITZJSO,O,O,O,O,X
LITZJOS,O,O,X,X,X
LITZSJO,O,O,O,O,X
LITZSOJ,O,X,O,X,X
LITZOJS,O,X,X,X,X
LITZOSJ,O,X,X,X,X
LITOJSZ,X,O,O,O,X
LITOJZS,X,O,X,O,X
LITOSJZ,O,O,O,O,X
LITOSZJ,O,X,O,O,X
LITOZJS,O,X,X,O,X
LITOZSJ,O,X,X,O,X
LIJTSZO,X,O,O,O,X
LIJTSOZ,X,O,O,O,X
LIJTZSO,X,O,O,O,X
LIJTZOS,X,O,X,X,X
LIJTOSZ,X,O,O,O,X
LIJTOZS,X,O,X,O,X
LIJSTZO,X,O,O,O,X
LIJSTOZ,X,O,O,O,X
LIJSZTO,X,O,O,X,X
LIJSZOT,X,O,X,X,X
LIJSOTZ,X,O,O,O,X
LIJSOZT,X,O,X,X,X
LIJZTSO,X,O,O,O,X
LIJZTOS,X,O,X,X,X
LIJZSTO,X,O,O,X,X
LIJZSOT,X,O,X,X,X
LIJZOTS,X,O,X,O,X
LIJZOST,X,O,X,X,X
LIJOTSZ,X,O,O,O,X
LIJOTZS,X,O,X,O,X
LIJOSTZ,X,O,O,O,X
LIJOSZT,X,O,X,X,X
LIJOZTS,X,O,X,O,X
LIJOZST,X,O,X,X,X
LISTJZO,O,O,O,O,X
LISTJOZ,O,O,O,O,X
LISTZJO,O,O,O,O,X
LISTZOJ,O,X,O,X,X
LISTOJZ,O,O,O,O,X
LISTOZJ,O,X,O,X,X
LISJTZO,O,O,O,O,X
LISJTOZ,O,O,O,O,X
LISJZTO,O,O,O,X,X
LISJZOT,O,O,X,X,X
LISJOTZ,O,O,O,O,X
LISJOZT,O,O,X,X,X
LISZTJO,O,O,O,X,X
LISZTOJ,O,X,O,X,X
LISZJTO,O,O,O,X,X
LISZJOT,O,O,X,X,X
LISZOTJ,O,X,O,X,X
LISZOJT,O,O,X,X,X
LISOTJZ,O,O,O,O,X
LISOTZJ,O,X,O,O,X
LISOJTZ,O,O,O,O,X
LISOJZT,O,O,X,X,X
LISOZTJ,O,X,O,X,X
LISOZJT,O,O,X,X,X
LIZTJSO,O,O,O,O,X
LIZTJOS,O,O,X,X,X
LIZTSJO,O,O,O,O,X
LIZTSOJ,O,X,O,X,X
LIZTOJS,O,X,X,X,X
LIZTOSJ,O,X,X,X,X
LIZJTSO,O,O,O,O,X
LIZJTOS,O,O,X,X,X
LIZJSTO,O,O,O,X,X
LIZJSOT,O,O,X,X,X
LIZJOTS,X,O,X,O,X
LIZJOST,X,O,X,X,X
LIZSTJO,O,O,O,X,X
LIZSTOJ,O,X,O,X,X
LIZSJTO,O,O,O,X,X
LIZSJOT,O,O,X,X,X
LIZSOTJ,O,X,O,X,X
LIZSOJT,O,O,X,X,X
LIZOTJS,X,X,X,O,X
LIZOTSJ,X,X,X,O,X
LIZOJTS,X,O,X,O,X
LIZOJST,X,O,X,X,X
LIZOSTJ,X,X,X,X,X
LIZOSJT,X,O,X,X,X
LIOTJSZ,X,O,O,O,X
LIOTJZS,X,O,X,O,X
LIOTSJZ,X,O,O,O,X
LIOTSZJ,X,X,O,O,X
LIOTZJS,X,X,X,O,X
LIOTZSJ,X,X,X,O,X
LIOJTSZ,X,O,O,O,X
LIOJTZS,X,O,X,O,X
LIOJSTZ,X,O,O,O,X
LIOJSZT,X,O,X,X,X
LIOJZTS,X,O,X,O,X
LIOJZST,X,O,X,X,X
LIOSTJZ,X,O,O,O,X
LIOSTZJ,X,X,O,O,X
LIOSJTZ,X,O,O,O,X
LIOSJZT,X,O,X,X,X
LIOSZTJ,X,X,O,X,X
LIOSZJT,X,O,X,X,X
LIOZTJS,X,X,X,O,X
LIOZTSJ,X,X,X,O,X
LIOZJTS,X,O,X,O,X
LIOZJST,X,O,X,X,X
LIOZSTJ,X,X,X,X,X
LIOZSJT,X,O,X,X,X
LJTISZO,X,O,O,O,X
LJTISOZ,X,O,O,O,X
LJTIZSO,X,O,O,O,X
LJTIZOS,X,O,X,X,X
LJTIOSZ,X,O,O,O,X
LJTIOZS,X,O,X,O,X
LJTSIZO,X,O,O,O,X
LJTSIOZ,X,O,O,O,X
LJTSZIO,X,O,O,O,X
LJTSZOI,X,O,O,X,X
LJTSOIZ,X,O,O,O,X
LJTSOZI,X,O,O,X,X
LJTZISO,X,O,O,O,X
LJTZIOS,X,O,X,X,X
LJTZSIO,X,O,O,O,X
LJTZSOI,X,O,O,X,O
LJTZOIS,X,O,X,X,O
LJTZOSI,X,O,X,X,O
LJTOISZ,X,O,O,O,X
LJTOIZS,X,O,X,O,O
LJTOSIZ,X,O,O,O,X
LJTOSZI,X,O,O,O,X
LJTOZIS,X,O,X,O,O
LJTOZSI,X,O,X,O,O
LJITSZO,X,O,O,O,X
LJITSOZ,X,O,O,O,X
LJITZSO,X,O,O,O,X
LJITZOS,X,O,X,X,X
LJITOSZ,X,O,O,O,X
LJITOZS,X,O,X,O,X
LJISTZO,X,O,O,O,X
LJISTOZ,X,O,O,O,X
LJISZTO,X,O,O,X,X
LJISZOT,X,O,X,X,X
LJISOTZ,X,O,O,O,X
LJISOZT,X,O,X,X,X
LJIZTSO,X,O,O,O,X
LJIZTOS,X,O,X,X,X
LJIZSTO,X,O,O,X,X
LJIZSOT,X,O,X,X,X
LJIZOTS,X,O,X,O,X
LJIZOST,X,O,X,X,X
LJIOTSZ,X,O,O,O,X
LJIOTZS,X,O,X,O,X
LJIOSTZ,X,O,O,O,X
LJIOSZT,X,O,X,X,X
LJIOZTS,X,O,X,O,X
LJIOZST,X,O,X,X,X
LJSTIZO,X,O,O,O,X
LJSTIOZ,X,O,O,O,X
LJSTZIO,X,O,O,O,X
LJSTZOI,X,O,O,X,X
LJSTOIZ,X,O,O,O,X
LJSTOZI,X,O,O,X,X
LJSITZO,X,O,O,O,X
LJSITOZ,X,O,O,O,X
LJSIZTO,X,O,O,X,X
LJSIZOT,X,O,X,X,X
LJSIOTZ,X,O,O,O,X
LJSIOZT,X,O,X,X,X
LJSZTIO,X,O,O,X,X
LJSZTOI,X,O,O,X,X
LJSZITO,X,O,O,X,X
LJSZIOT,X,O,X,X,X
LJSZOTI,X,O,X,X,X
LJSZOIT,X,O,X,X,X
LJSOTIZ,X,O,O,O,X
LJSOTZI,X,O,O,O,X
LJSOITZ,X,O,O,O,X
LJSOIZT,X,O,X,X,X
LJSOZTI,X,O,X,X,X
LJSOZIT,X,O,X,X,X
LJZTISO,X,O,O,O,X
LJZTIOS,X,O,X,X,X
LJZTSIO,X,O,O,O,X
LJZTSOI,X,O,O,X,O
LJZTOIS,X,O,X,X,O
LJZTOSI,X,O,X,X,O
LJZITSO,X,O,O,O,X
LJZITOS,X,O,X,X,X
LJZISTO,X,O,O,X,X
LJZISOT,X,O,X,X,X
LJZIOTS,X,O,X,O,X
LJZIOST,X,O,X,X,X
LJZSTIO,X,O,O,X,X
LJZSTOI,X,O,O,X,O
LJZSITO,X,O,O,X,X
LJZSIOT,X,O,X,X,X
LJZSOTI,X,O,X,X,O
LJZSOIT,X,O,X,X,O
LJZOTIS,X,O,X,O,O
LJZOTSI,X,O,X,O,O
LJZOITS,X,O,X,O,O
LJZOIST,X,O,X,X,O
LJZOSTI,X,O,X,X,O
LJZOSIT,X,O,X,X,O
LJOTISZ,X,O,O,O,X
LJOTIZS,X,O,X,O,O
LJOTSIZ,X,O,O,O,X
LJOTSZI,X,O,O,O,X
LJOTZIS,X,O,X,O,O
LJOTZSI,X,O,X,O,O
LJOITSZ,X,O,O,O,X
LJOITZS,X,O,X,O,O
LJOISTZ,X,O,O,O,X
LJOISZT,X,O,X,X,X
LJOIZTS,X,O,X,O,O
LJOIZST,X,O,X,X,O
LJOSTIZ,X,O,O,O,X
LJOSTZI,X,O,O,O,X
LJOSITZ,X,O,O,O,X
LJOSIZT,X,O,X,X,X
LJOSZTI,X,O,X,X,X
LJOSZIT,X,O,X,X,X
LJOZTIS,X,O,X,O,O
LJOZTSI,X,O,X,O,O
LJOZITS,X,O,X,O,O
LJOZIST,X,O,X,X,O
LJOZSTI,X,O,X,X,O
LJOZSIT,X,O,X,X,O
LSTIJZO,O,O,O,O,X
LSTIJOZ,O,O,O,O,X
LSTIZJO,O,O,O,O,X
LSTIZOJ,O,X,O,X,X
LSTIOJZ,O,O,O,O,X
LSTIOZJ,O,X,O,X,X
LSTJIZO,O,O,O,O,X
LSTJIOZ,O,O,O,O,X
LSTJZIO,O,O,O,O,X
LSTJZOI,O,O,O,X,X
LSTJOIZ,O,O,O,O,X
LSTJOZI,O,O,O,X,X
LSTZIJO,O,O,O,O,X
LSTZIOJ,O,X,O,X,X
LSTZJIO,O,O,O,O,X
LSTZJOI,O,O,O,X,X
LSTZOIJ,O,X,O,X,X
LSTZOJI,O,X,O,X,X
LSTOIJZ,O,O,O,O,X
LSTOIZJ,O,X,O,X,X
LSTOJIZ,O,O,O,O,X
LSTOJZI,O,O,O,X,X
LSTOZIJ,O,X,O,X,X
LSTOZJI,O,X,O,X,X
LSITJZO,O,O,O,O,X
LSITJOZ,O,O,O,O,X
LSITZJO,O,O,O,O,X
LSITZOJ,O,X,O,X,X
LSITOJZ,O,O,O,O,X
LSITOZJ,O,X,O,X,X
LSIJTZO,O,O,O,O,X
LSIJTOZ,O,O,O,O,X
LSIJZTO,O,O,O,X,X
LSIJZOT,O,O,X,X,X
LSIJOTZ,O,O,O,O,X
LSIJOZT,O,O,X,X,X
LSIZTJO,O,O,O,X,X
LSIZTOJ,O,X,O,X,X
LSIZJTO,O,O,O,X,X
LSIZJOT,O,O,X,X,X
LSIZOTJ,O,X,O,X,X
LSIZOJT,O,O,X,X,X
LSIOTJZ,O,O,O,O,X
LSIOTZJ,O,X,O,O,X
LSIOJTZ,O,O,O,O,X
LSIOJZT,O,O,X,X,X
LSIOZTJ,O,X,O,X,X
LSIOZJT,O,O,X,X,X
LSJTIZO,O,O,O,O,X
LSJTIOZ,O,O,O,O,X
LSJTZIO,O,O,O,O,X
LSJTZOI,O,O,O,X,X
LSJTOIZ,O,O,O,O,X
LSJTOZI,O,O,O,X,X
LSJITZO,O,O,O,O,X
LSJITOZ,O,O,O,O,X
LSJIZTO,O,O,O,X,X
LSJIZOT,O,O,X,X,X
LSJIOTZ,O,O,O,O,X
LSJIOZT,O,O,X,X,X
LSJZTIO,O,O,O,X,X
LSJZTOI,O,O,O,X,X
LSJZITO,O,O,O,X,X
LSJZIOT,O,O,X,X,X
LSJZOTI,O,O,X,X,X
LSJZOIT,O,O,X,X,X
LSJOTIZ,O,O,O,O,X
LSJOTZI,O,O,O,O,X
LSJOITZ,O,O,O,O,X
LSJOIZT,O,O,X,X,X
LSJOZTI,O,O,X,X,X
LSJOZIT,O,O,X,X,X
LSZTIJO,O,O,O,X,X
LSZTIOJ,O,X,O,X,X
LSZTJIO,O,O,O,X,X
LSZTJOI,O,O,O,X,X
LSZTOIJ,O,X,O,X,X
LSZTOJI,O,X,O,X,X
LSZITJO,O,O,O,X,X
LSZITOJ,O,X,O,X,X
LSZIJTO,O,O,O,X,X
LSZIJOT,O,O,X,X,X
LSZIOTJ,O,X,O,X,X
LSZIOJT,O,O,X,X,X
LSZJTIO,O,O,O,X,X
LSZJTOI,O,O,O,X,X
LSZJITO,O,O,O,X,X
LSZJIOT,O,O,X,X,X
LSZJOTI,O,O,X,X,X
LSZJOIT,O,O,X,X,X
LSZOTIJ,O,X,O,X,X
LSZOTJI,O,X,O,X,X
LSZOITJ,O,X,O,X,X
LSZOIJT,O,O,X,X,X
LSZOJTI,O,O,X,X,X
LSZOJIT,O,O,X,X,X
LSOTIJZ,O,O,O,O,X
LSOTIZJ,O,X,O,O,X
LSOTJIZ,O,O,O,O,X
LSOTJZI,O,O,O,O,X
LSOTZIJ,O,X,O,O,X
LSOTZJI,O,X,O,O,X
LSOITJZ,O,O,O,O,X
LSOITZJ,O,X,O,O,X
LSOIJTZ,O,O,O,O,X
LSOIJZT,O,O,X,X,X
LSOIZTJ,O,X,O,X,X
LSOIZJT,O,O,X,X,X
LSOJTIZ,O,O,O,O,X
LSOJTZI,O,O,O,O,X
LSOJITZ,O,O,O,O,X
LSOJIZT,O,O,X,X,X
LSOJZTI,O,O,X,X,X
LSOJZIT,O,O,X,X,X
LSOZTIJ,O,X,O,X,X
LSOZTJI,O,X,O,X,X
LSOZITJ,O,X,O,X,X
LSOZIJT,O,O,X,X,X
LSOZJTI,O,O,X,X,X
LSOZJIT,O,O,X,X,X
LZTIJSO,O,O,O,O,X
LZTIJOS,O,O,X,X,X
LZTISJO,O,O,O,O,X
LZTISOJ,O,X,O,X,X
LZTIOJS,O,X,X,X,X
LZTIOSJ,O,X,X,X,X
LZTJISO,O,O,O,O,X
LZTJIOS,O,O,X,X,X
LZTJSIO,O,O,O,O,X
LZTJSOI,O,O,O,X,O
LZTJOIS,O,O,X,X,O
LZTJOSI,O,O,X,X,O
LZTSIJO,O,O,O,O,X
LZTSIOJ,O,X,O,X,X
LZTSJIO,O,O,O,O,X
LZTSJOI,O,O,O,X,O
LZTSOIJ,O,X,O,X,X
LZTSOJI,O,X,O,X,O
LZTOIJS,O,X,X,X,X
LZTOISJ,O,X,X,X,X
LZTOJIS,O,X,X,X,O
LZTOJSI,O,X,X,X,O
LZTOSIJ,O,X,X,X,X
LZTOSJI,O,X,X,X,O
LZITJSO,O,O,O,O,X
LZITJOS,O,O,X,X,X
LZITSJO,O,O,O,O,X
LZITSOJ,O,X,O,X,X
LZITOJS,O,X,X,X,X
LZITOSJ,O,X,X,X,X
LZIJTSO,O,O,O,O,X
LZIJTOS,O,O,X,X,X
LZIJSTO,O,O,O,X,X
LZIJSOT,O,O,X,X,X
LZIJOTS,X,O,X,O,X
LZIJOST,X,O,X,X,X
LZISTJO,O,O,O,X,X
LZISTOJ,O,X,O,X,X
LZISJTO,O,O,O,X,X
LZISJOT,O,O,X,X,X
LZISOTJ,O,X,O,X,X
LZISOJT,O,O,X,X,X
LZIOTJS,X,X,X,O,X
LZIOTSJ,X,X,X,O,X
LZIOJTS,X,O,X,O,X
LZIOJST,X,O,X,X,X
LZIOSTJ,X,X,X,X,X
LZIOSJT,X,O,X,X,X
LZJTISO,O,O,O,O,X
LZJTIOS,O,O,X,X,X
LZJTSIO,O,O,O,O,X
LZJTSOI,O,O,O,X,O
LZJTOIS,O,O,X,X,O
LZJTOSI,O,O,X,X,O
LZJITSO,O,O,O,O,X
LZJITOS,O,O,X,X,X
LZJISTO,O,O,O,X,X
LZJISOT,O,O,X,X,X
LZJIOTS,X,O,X,O,X
LZJIOST,X,O,X,X,X
LZJSTIO,O,O,O,X,X
LZJSTOI,O,O,O,X,O
LZJSITO,O,O,O,X,X
LZJSIOT,O,O,X,X,X
LZJSOTI,O,O,X,X,O
LZJSOIT,O,O,X,X,O
LZJOTIS,X,O,X,O,O
LZJOTSI,X,O,X,O,O
LZJOITS,X,O,X,O,O
LZJOIST,X,O,X,X,O
LZJOSTI,X,O,X,X,O
LZJOSIT,X,O,X,X,O
LZSTIJO,O,O,O,X,X
LZSTIOJ,O,X,O,X,X
LZSTJIO,O,O,O,X,X
LZSTJOI,O,O,O,X,O
LZSTOIJ,O,X,O,X,X
LZSTOJI,O,X,O,X,O
LZSITJO,O,O,O,X,X
LZSITOJ,O,X,O,X,X
LZSIJTO,O,O,O,X,X
LZSIJOT,O,O,X,X,X
LZSIOTJ,O,X,O,X,X
LZSIOJT,O,O,X,X,X
LZSJTIO,O,O,O,X,X
LZSJTOI,O,O,O,X,O
LZSJITO,O,O,O,X,X
LZSJIOT,O,O,X,X,X
LZSJOTI,O,O,X,X,O
LZSJOIT,O,O,X,X,O
LZSOTIJ,O,X,O,X,X
LZSOTJI,O,X,O,X,O
LZSOITJ,O,X,O,X,X
LZSOIJT,O,O,X,X,X
LZSOJTI,O,O,X,X,O
LZSOJIT,O,O,X,X,O
LZOTIJS,X,X,X,O,X
LZOTISJ,X,X,X,O,X
LZOTJIS,X,X,X,O,O
LZOTJSI,X,X,X,O,O
LZOTSIJ,X,X,X,O,X
LZOTSJI,X,X,X,O,O
LZOITJS,X,X,X,O,X
LZOITSJ,X,X,X,O,X
LZOIJTS,X,O,X,O,X
LZOIJST,X,O,X,X,X
LZOISTJ,X,X,X,X,X
LZOISJT,X,O,X,X,X
LZOJTIS,X,O,X,O,O
LZOJTSI,X,O,X,O,O
LZOJITS,X,O,X,O,O
LZOJIST,X,O,X,X,O
LZOJSTI,X,O,X,X,O
LZOJSIT,X,O,X,X,O
LZOSTIJ,X,X,X,X,X
LZOSTJI,X,X,X,X,O
LZOSITJ,X,X,X,X,X
LZOSIJT,X,O,X,X,X
LZOSJTI,X,O,X,X,O
LZOSJIT,X,O,X,X,O
LOTIJSZ,X,O,O,O,X
LOTIJZS,X,O,X,O,X
LOTISJZ,X,O,O,O,X
LOTISZJ,X,X,O,O,X
LOTIZJS,X,X,X,O,X
LOTIZSJ,X,X,X,O,X
LOTJISZ,X,O,O,O,X
LOTJIZS,X,O,X,O,O
LOTJSIZ,X,O,O,O,X
LOTJSZI,X,O,O,O,X
LOTJZIS,X,O,X,O,O
LOTJZSI,X,O,X,O,O
LOTSIJZ,X,O,O,O,X
LOTSIZJ,X,X,O,O,X
LOTSJIZ,X,O,O,O,X
LOTSJZI,X,O,O,O,X
LOTSZIJ,X,X,O,O,X
LOTSZJI,X,X,O,O,X
LOTZIJS,X,X,X,O,X
LOTZISJ,X,X,X,O,X
LOTZJIS,X,X,X,O,O
LOTZJSI,X,X,X,O,O
LOTZSIJ,X,X,X,O,X
LOTZSJI,X,X,X,O,O
LOITJSZ,X,O,O,O,X
LOITJZS,X,O,X,O,X
LOITSJZ,X,O,O,O,X
LOITSZJ,X,X,O,O,X
LOITZJS,X,X,X,O,X
LOITZSJ,X,X,X,O,X
LOIJTSZ,X,O,O,O,X
LOIJTZS,X,O,X,O,X
LOIJSTZ,X,O,O,O,X
LOIJSZT,X,O,X,X,X
LOIJZTS,X,O,X,O,X
LOIJZST,X,O,X,X,X
LOISTJZ,X,O,O,O,X
LOISTZJ,X,X,O,O,X
LOISJTZ,X,O,O,O,X
LOISJZT,X,O,X,X,X
LOISZTJ,X,X,O,X,X
LOISZJT,X,O,X,X,X
LOIZTJS,X,X,X,O,X
LOIZTSJ,X,X,X,O,X
LOIZJTS,X,O,X,O,X
LOIZJST,X,O,X,X,X
LOIZSTJ,X,X,X,X,X
LOIZSJT,X,O,X,X,X
LOJTISZ,X,O,O,O,X
LOJTIZS,X,O,X,O,O
LOJTSIZ,X,O,O,O,X
LOJTSZI,X,O,O,O,X
LOJTZIS,X,O,X,O,O
LOJTZSI,X,O,X,O,O
LOJITSZ,X,O,O,O,X
LOJITZS,X,O,X,O,O
LOJISTZ,X,O,O,O,X
LOJISZT,X,O,X,X,X
LOJIZTS,X,O,X,O,O
LOJIZST,X,O,X,X,O
LOJSTIZ,X,O,O,O,X
LOJSTZI,X,O,O,O,X
LOJSITZ,X,O,O,O,X
LOJSIZT,X,O,X,X,X
LOJSZTI,X,O,X,X,X
LOJSZIT,X,O,X,X,X
LOJZTIS,X,O,X,O,O
LOJZTSI,X,O,X,O,O
LOJZITS,X,O,X,O,O
LOJZIST,X,O,X,X,O
LOJZSTI,X,O,X,X,O
LOJZSIT,X,O,X,X,O
LOSTIJZ,X,O,O,O,X
LOSTIZJ,X,X,O,O,X
LOSTJIZ,X,O,O,O,X
LOSTJZI,X,O,O,O,X
LOSTZIJ,X,X,O,O,X
LOSTZJI,X,X,O,O,X
LOSITJZ,X,O,O,O,X
LOSITZJ,X,X,O,O,X
LOSIJTZ,X,O,O,O,X
LOSIJZT,X,O,X,X,X
LOSIZTJ,X,X,O,X,X
LOSIZJT,X,O,X,X,X
LOSJTIZ,X,O,O,O,X
LOSJTZI,X,O,O,O,X
LOSJITZ,X,O,O,O,X
LOSJIZT,X,O,X,X,X
LOSJZTI,X,O,X,X,X
LOSJZIT,X,O,X,X,X
LOSZTIJ,X,X,O,X,X
LOSZTJI,X,X,O,X,X
LOSZITJ,X,X,O,X,X
LOSZIJT,X,O,X,X,X
LOSZJTI,X,O,X,X,X
LOSZJIT,X,O,X,X,X
LOZTIJS,X,X,X,O,X
LOZTISJ,X,X,X,O,X
LOZTJIS,X,X,X,O,O
LOZTJSI,X,X,X,O,O
LOZTSIJ,X,X,X,O,X
LOZTSJI,X,X,X,O,O
LOZITJS,X,X,X,O,X
LOZITSJ,X,X,X,O,X
LOZIJTS,X,O,X,O,X
LOZIJST,X,O,X,X,X
LOZISTJ,X,X,X,X,X
LOZISJT,X,O,X,X,X
LOZJTIS,X,O,X,O,O
LOZJTSI,X,O,X,O,O
LOZJITS,X,O,X,O,O
LOZJIST,X,O,X,X,O
LOZJSTI,X,O,X,X,O
LOZJSIT,X,O,X,X,O
LOZSTIJ,X,X,X,X,X
LOZSTJI,X,X,X,X,O
LOZSITJ,X,X,X,X,X
LOZSIJT,X,O,X,X,X
LOZSJTI,X,O,X,X,O
LOZSJIT,X,O,X,X,O
JTILSZO,O,O,O,O,X
JTILSOZ,O,O,O,O,X
JTILZSO,O,O,O,O,X
JTILZOS,O,O,X,X,X
JTILOSZ,X,O,O,O,X
JTILOZS,X,O,X,O,X
JTISLZO,O,O,O,O,X
JTISLOZ,O,O,O,O,X
JTISZLO,O,X,O,O,X
JTISZOL,O,X,O,X,X
JTISOLZ,O,O,O,O,X
JTISOZL,O,X,O,X,X
JTIZLSO,O,O,O,O,X
JTIZLOS,O,O,X,X,X
JTIZSLO,O,X,O,O,X
JTIZSOL,O,X,O,X,O
JTIZOLS,O,O,X,X,O
JTIZOSL,O,X,X,X,O
JTIOLSZ,X,O,O,O,X
JTIOLZS,X,O,X,O,O
JTIOSLZ,X,O,O,O,X
JTIOSZL,X,X,O,O,O
JTIOZLS,X,O,X,O,O
JTIOZSL,X,X,X,O,O
JTLISZO,O,O,O,O,X
JTLISOZ,O,O,O,O,X
JTLIZSO,O,O,O,O,X
JTLIZOS,O,O,X,X,X
JTLIOSZ,X,O,O,O,X
JTLIOZS,X,O,X,O,X
JTLSIZO,O,O,O,O,X
JTLSIOZ,O,O,O,O,X
JTLSZIO,O,O,O,O,X
JTLSZOI,O,O,O,X,X
JTLSOIZ,O,O,O,O,X
JTLSOZI,O,O,O,X,X
JTLZISO,O,O,O,O,X
JTLZIOS,O,O,X,X,X
JTLZSIO,O,O,O,O,X
JTLZSOI,O,O,O,X,O
JTLZOIS,O,O,X,X,O
JTLZOSI,O,O,X,X,O
JTLOISZ,X,O,O,O,X
JTLOIZS,X,O,X,O,O
JTLOSIZ,X,O,O,O,X
JTLOSZI,X,O,O,O,X
JTLOZIS,X,O,X,O,O
JTLOZSI,X,O,X,O,O
JTSILZO,O,O,O,O,X
JTSILOZ,O,O,O,O,X
JTSIZLO,O,X,O,O,X
JTSIZOL,O,X,O,X,X
JTSIOLZ,O,O,O,O,X
JTSIOZL,O,X,O,X,X
JTSLIZO,O,O,O,O,X
JTSLIOZ,O,O,O,O,X
JTSLZIO,O,O,O,O,X
JTSLZOI,O,O,O,X,X
JTSLOIZ,O,O,O,O,X
JTSLOZI,O,O,O,X,X
JTSZILO,O,X,O,O,X
JTSZIOL,O,X,O,X,O
JTSZLIO,O,X,O,O,X
JTSZLOI,O,X,O,X,O
JTSZOIL,O,X,O,X,O
JTSZOLI,O,X,O,X,O
JTSOILZ,O,O,O,O,X
JTSOIZL,O,X,O,X,O
JTSOLIZ,O,O,O,O,X
JTSOLZI,O,O,O,X,X
JTSOZIL,O,X,O,X,O
JTSOZLI,O,X,O,X,O
JTZILSO,O,O,O,O,X
JTZILOS,O,O,X,X,X
JTZISLO,O,X,O,O,X
JTZISOL,O,X,O,X,O
JTZIOLS,O,O,X,X,O
JTZIOSL,O,X,X,X,O
JTZLISO,O,O,O,O,X
JTZLIOS,O,O,X,X,X
JTZLSIO,O,O,O,O,X
JTZLSOI,O,O,O,X,O
JTZLOIS,O,O,X,X,O
JTZLOSI,O,O,X,X,O
JTZSILO,O,X,O,O,X
JTZSIOL,O,X,O,X,O
