sequence,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFtlBxhBXjBurBct?BTsB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFtlBxhBTjBurBcs?BXtB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxiBToBXs?B0sB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxiBToB0s?BXsB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBTjBxsBXs?B0sB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulBRiB9oB0mBzs?BXsB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFtlBXiBTjBWtB0m?BRxB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxnBToBXs?B0sB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxnBToB0s?BXsB
TISZJLO,O,O,X,X,X,X,X,O,X
TISZJOL,X,O,X,X,X,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X,X,X
TISZOJL,X,O,X,X,X,X,X,X,X
TISOLJZ,X,O,O,X,O,X,X,O,X
TISOLZJ,O,O,O,X,X,X,X,X,X
TISOJLZ,X,O,O,X,O,X,X,O,X
TISOJZL,X,X,O,X,O,X,X,X,X
TISOZLJ,O,O,O,X,X,X,X,X,X
TISOZJL,O,O,O,X,X,X,X,X,X
TIZLJSO,O,O,X,X,O,X,O,X,O
TIZLJOS,O,O,X,O,O,O,O,X,O
TIZLSJO,O,O,X,X,X,X,X,X,O
TIZLSOJ,O,O,X,X,X,X,X,X,X
TIZLOJS,O,X,X,O,O,X,X,X,O
TIZLOSJ,O,O,X,O,X,X,X,X,X
TIZJLSO,O,O,X,X,O,X,O,X,O
TIZJLOS,O,O,X,O,O,O,O,X,O
TIZJSLO,O,O,X,X,O,X,O,X,O
TIZJSOL,O,O,X,X,O,X,O,X,X
TIZJOLS,O,O,X,O,O,X,O,X,O
TIZJOSL,O,O,X,O,O,X,O,X,X
TIZSLJO,O,O,X,X,X,X,X,X,O
TIZSLOJ,O,O,X,X,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X,X,O
TIZSJOL,O,O,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,X,X,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X,X,X
TIZOLJS,O,X,X,O,O,X,X,X,O
TIZOLSJ,O,O,X,O,X,X,X,X,X
TIZOJLS,O,X,X,O,O,X,X,X,O
TIZOJSL,O,X,X,O,O,X,X,X,X
TIZOSLJ,O,O,X,O,X,X,X,X,X
TIZOSJL,O,O,X,O,X,X,X,X,X
TIOLJSZ,O,X,O,O,O,O,O,X,X
TIOLJZS,O,O,O,O,O,O,O,X,X
TIOLSJZ,X,O,O,O,O,O,X,X,X
TIOLSZJ,O,O,O,X,X,X,X,X,X
TIOLZJS,O,X,O,O,O,O,X,X,X
TIOLZSJ,O,O,X,O,X,O,X,X,X
TIOJLSZ,O,X,O,O,O,O,O,X,X
TIOJLZS,O,O,O,O,O,O,O,X,X
TIOJSLZ,O,X,O,O,O,O,O,X,X
TIOJSZL,O,X,O,X,O,X,O,X,X
TIOJZLS,O,O,O,O,O,O,O,X,X
TIOJZSL,O,O,X,O,O,O,O,X,X
TIOSLJZ,X,O,O,O,O,O,X,X,X
TIOSLZJ,O,O,O,X,X,X,X,X,X
TIOSJLZ,X,O,O,O,O,O,X,X,X
TIOSJZL,X,X,O,X,O,X,X,X,X
TIOSZLJ,O,O,O,X,X,X,X,X,X
TIOSZJL,O,X,O,X,X,X,X,X,X
TIOZLJS,O,X,O,O,O,O,X,X,X
TIOZLSJ,O,O,X,O,X,O,X,X,X
TIOZJLS,O,X,O,O,O,O,X,X,X
TIOZJSL,O,X,X,O,O,O,X,X,X
TIOZSLJ,O,O,X,O,X,O,X,X,X
TIOZSJL,O,O,X,O,X,O,X,X,X
TLIJSZO,O,O,X,X,O,X,O,O,X
TLIJSOZ,O,O,O,X,O,O,O,O,X
TLIJZSO,O,O,X,X,O,X,O,X,O
TLIJZOS,O,O,X,O,O,O,O,X,O
TLIJOSZ,O,X,O,O,O,O,O,X,X
TLIJOZS,O,O,O,O,O,O,O,X,X
TLISJZO,O,O,X,X,O,X,O,O,X
TLISJOZ,O,O,O,X,O,O,O,O,X
TLISZJO,O,O,X,X,X,X,X,O,X
TLISZOJ,O,O,X,X,X,X,X,X,X
TLISOJZ,X,O,O,X,O,X,X,O,X
TLISOZJ,O,O,O,X,X,X,X,X,X
TLIZJSO,O,O,X,X,O,X,O,X,O
TLIZJOS,O,O,X,O,O,O,O,X,O
TLIZSJO,O,O,X,X,X,X,X,X,O
TLIZSOJ,O,O,X,X,X,X,X,X,X
TLIZOJS,O,X,X,O,O,X,X,X,O
TLIZOSJ,O,O,X,O,X,X,X,X,X
TLIOJSZ,O,X,O,O,O,O,O,X,X
TLIOJZS,O,O,O,O,O,O,O,X,X
TLIOSJZ,X,O,O,O,O,O,X,X,X
TLIOSZJ,O,O,O,X,X,X,X,X,X
TLIOZJS,O,X,O,O,O,O,X,X,X
TLIOZSJ,O,O,X,O,X,O,X,X,X
TLJISZO,O,O,X,X,O,X,O,O,X
TLJISOZ,O,O,O,X,O,O,O,O,X
TLJIZSO,O,O,X,X,O,X,O,X,O
TLJIZOS,O,O,X,O,O,O,O,X,O
TLJIOSZ,O,X,O,O,O,O,O,X,X
TLJIOZS,O,O,O,O,O,O,O,X,X
TLJSIZO,O,O,X,X,O,X,O,O,X
TLJSIOZ,O,O,O,X,O,O,O,O,X
TLJSZIO,O,O,X,X,X,X,X,O,O
TLJSZOI,O,O,O,O,X,X,O,X,X
TLJSOIZ,O,O,O,O,X,O,O,O,X
TLJSOZI,O,O,O,O,X,O,O,X,X
TLJZISO,O,O,X,X,O,X,O,X,O
TLJZIOS,O,O,X,O,O,O,O,X,O
TLJZSIO,O,O,X,X,X,X,X,O,O
TLJZSOI,O,O,O,O,X,X,O,X,X
TLJZOIS,O,O,O,O,X,O,O,X,O
TLJZOSI,O,O,O,O,X,O,O,X,X
TLJOISZ,O,X,O,O,O,O,O,X,X
TLJOIZS,O,O,O,O,O,O,O,X,X
TLJOSIZ,O,X,O,O,X,O,O,O,X
TLJOSZI,O,X,O,O,X,O,O,X,X
TLJOZIS,O,O,O,O,X,O,O,X,O
TLJOZSI,O,O,O,O,X,O,O,X,X
TLSIJZO,O,O,X,X,O,X,O,O,X
TLSIJOZ,O,O,O,X,O,O,O,O,X
TLSIZJO,O,O,X,X,X,X,X,O,X
TLSIZOJ,O,O,X,X,X,X,X,X,X
TLSIOJZ,X,O,O,X,O,X,X,O,X
TLSIOZJ,O,O,O,X,X,X,X,X,X
TLSJIZO,O,O,X,X,O,X,O,O,X
TLSJIOZ,O,O,O,X,O,O,O,O,X
TLSJZIO,O,O,X,X,X,X,X,O,O
TLSJZOI,O,O,O,O,X,X,O,X,X
TLSJOIZ,O,O,O,O,X,O,O,O,X
TLSJOZI,O,O,O,O,X,O,O,X,X
TLSZIJO,O,O,X,X,X,X,X,O,O
TLSZIOJ,O,O,X,X,X,X,X,X,X
TLSZJIO,O,O,X,X,X,X,X,O,O
TLSZJOI,O,O,O,O,X,X,X,X,X
TLSZOIJ,O,O,O,O,X,X,X,X,X
TLSZOJI,O,O,O,O,X,X,X,X,X
TLSOIJZ,X,O,O,O,X,O,X,O,X
TLSOIZJ,O,O,O,X,X,X,X,X,X
TLSOJIZ,O,O,O,O,X,O,X,O,X
TLSOJZI,O,O,O,O,X,O,X,X,X
TLSOZIJ,O,O,O,O,X,O,X,X,X
TLSOZJI,O,O,O,O,X,O,X,X,X
TLZIJSO,O,O,X,X,O,X,O,X,O
TLZIJOS,O,O,X,O,O,O,O,X,O
TLZISJO,O,O,X,X,X,X,X,X,O
TLZISOJ,O,O,X,X,X,X,X,X,X
TLZIOJS,O,X,X,O,O,X,X,X,O
TLZIOSJ,O,O,X,O,X,X,X,X,X
TLZJISO,O,O,X,X,O,X,O,X,O
TLZJIOS,O,O,X,O,O,O,O,X,O
TLZJSIO,O,O,X,X,X,X,X,O,O
TLZJSOI,O,O,O,O,X,X,O,X,X
TLZJOIS,O,O,O,O,X,O,O,X,O
TLZJOSI,O,O,O,O,X,O,O,X,X
TLZSIJO,O,O,X,X,X,X,X,O,O
TLZSIOJ,O,O,X,X,X,X,X,X,X
TLZSJIO,O,O,X,X,X,X,X,O,O
TLZSJOI,O,O,O,O,X,X,X,X,X
TLZSOIJ,O,O,O,O,X,X,X,X,X
TLZSOJI,O,O,O,O,X,X,X,X,X
TLZOIJS,O,X,O,O,X,O,X,X,O
TLZOISJ,O,O,X,O,X,O,X,X,X
TLZOJIS,O,O,O,O,X,O,X,X,O
TLZOJSI,O,O,O,O,X,O,X,X,X
TLZOSIJ,O,O,O,O,X,O,X,X,X
TLZOSJI,O,O,O,O,X,O,X,X,X
TLOIJSZ,O,X,O,O,O,O,O,X,X
TLOIJZS,O,O,O,O,O,O,O,X,X
TLOISJZ,X,O,O,O,O,O,X,X,X
TLOISZJ,O,O,O,X,X,X,X,X,X
TLOIZJS,O,X,O,O,O,O,X,X,X
TLOIZSJ,O,O,X,O,X,O,X,X,X
TLOJISZ,O,X,O,O,O,O,O,X,X
TLOJIZS,O,O,O,O,O,O,O,X,X
TLOJSIZ,O,X,O,O,X,O,O,O,X
TLOJSZI,O,X,O,O,X,O,O,X,X
TLOJZIS,O,O,O,O,X,O,O,X,O
TLOJZSI,O,O,O,O,X,O,O,X,X
TLOSIJZ,X,O,O,O,X,O,X,O,X
TLOSIZJ,O,O,O,X,X,X,X,X,X
TLOSJIZ,O,O,O,O,X,O,X,O,X
TLOSJZI,O,O,O,O,X,O,X,X,X
TLOSZIJ,O,O,O,O,X,O,X,X,X
TLOSZJI,O,O,O,O,X,O,X,X,X
TLOZIJS,O,X,O,O,X,O,X,X,O
TLOZISJ,O,O,X,O,X,O,X,X,X
TLOZJIS,O,O,O,O,X,O,X,X,O
TLOZJSI,O,O,O,O,X,O,X,X,X
TLOZSIJ,O,O,O,O,X,O,X,X,X
TLOZSJI,O,O,O,O,X,O,X,X,X
TJILSZO,O,O,X,X,O,X,O,O,X
TJILSOZ,O,O,O,X,O,O,O,O,X
TJILZSO,O,O,X,X,O,X,O,X,O
TJILZOS,O,O,X,O,O,O,O,X,O
TJILOSZ,O,X,O,O,O,O,O,X,X
TJILOZS,O,O,O,O,O,O,O,X,X
TJISLZO,O,O,X,X,O,X,O,O,X
TJISLOZ,O,O,O,X,O,O,O,O,X
TJISZLO,O,O,X,X,O,X,O,O,X
TJISZOL,O,O,X,X,O,X,O,X,X
TJISOLZ,O,O,O,X,O,X,O,O,X
TJISOZL,O,X,O,X,O,X,O,X,X
TJIZLSO,O,O,X,X,O,X,O,X,O
TJIZLOS,O,O,X,O,O,O,O,X,O
TJIZSLO,O,O,X,X,O,X,O,X,O
TJIZSOL,O,O,X,X,O,X,O,X,X
TJIZOLS,O,O,X,O,O,X,O,X,O
TJIZOSL,O,O,X,O,O,X,O,X,X
TJIOLSZ,O,X,O,O,O,O,O,X,X
TJIOLZS,O,O,O,O,O,O,O,X,X
TJIOSLZ,O,X,O,O,O,O,O,X,X
TJIOSZL,O,X,O,X,O,X,O,X,X
TJIOZLS,O,O,O,O,O,O,O,X,X
TJIOZSL,O,O,X,O,O,O,O,X,X
TJLISZO,O,O,X,X,O,X,O,O,X
TJLISOZ,O,O,O,X,O,O,O,O,X
TJLIZSO,O,O,X,X,O,X,O,X,O
TJLIZOS,O,O,X,O,O,O,O,X,O
TJLIOSZ,O,X,O,O,O,O,O,X,X
TJLIOZS,O,O,O,O,O,O,O,X,X
TJLSIZO,O,O,X,X,O,X,O,O,X
TJLSIOZ,O,O,O,X,O,O,O,O,X
TJLSZIO,O,O,X,X,X,X,X,O,O
TJLSZOI,O,O,O,O,X,X,O,X,X
TJLSOIZ,O,O,O,O,X,O,O,O,X
TJLSOZI,O,O,O,O,X,O,O,X,X
TJLZISO,O,O,X,X,O,X,O,X,O
TJLZIOS,O,O,X,O,O,O,O,X,O
TJLZSIO,O,O,X,X,X,X,X,O,O
TJLZSOI,O,O,O,O,X,X,O,X,X
TJLZOIS,O,O,O,O,X,O,O,X,O
TJLZOSI,O,O,O,O,X,O,O,X,X
TJLOISZ,O,X,O,O,O,O,O,X,X
TJLOIZS,O,O,O,O,O,O,O,X,X
TJLOSIZ,O,X,O,O,X,O,O,O,X
TJLOSZI,O,X,O,O,X,O,O,X,X
TJLOZIS,O,O,O,O,X,O,O,X,O
TJLOZSI,O,O,O,O,X,O,O,X,X
TJSILZO,O,O,X,X,O,X,O,O,X
TJSILOZ,O,O,O,X,O,O,O,O,X
TJSIZLO,O,O,X,X,O,X,O,O,X
TJSIZOL,O,O,X,X,O,X,O,X,X
TJSIOLZ,O,O,O,X,O,X,O,O,X
TJSIOZL,O,X,O,X,O,X,O,X,X
TJSLIZO,O,O,X,X,O,X,O,O,X
TJSLIOZ,O,O,O,X,O,O,O,O,X
TJSLZIO,O,O,X,X,X,X,X,O,O
TJSLZOI,O,O,O,O,X,X,O,X,X
TJSLOIZ,O,O,O,O,X,O,O,O,X
TJSLOZI,O,O,O,O,X,O,O,X,X
TJSZILO,O,O,X,X,X,X,X,O,O
TJSZIOL,O,O,X,X,X,X,X,X,X
TJSZLIO,O,O,X,X,X,X,X,O,O
TJSZLOI,O,O,O,O,X,X,O,X,X
TJSZOIL,O,O,O,O,X,X,X,X,X
TJSZOLI,O,O,O,O,X,X,O,X,X
TJSOILZ,O,O,O,O,X,O,O,O,X
TJSOIZL,O,X,O,X,X,X,O,X,X
TJSOLIZ,O,O,O,O,X,O,O,O,X
TJSOLZI,O,O,O,O,X,O,O,X,X
TJSOZIL,O,O,O,O,X,O,X,X,X
TJSOZLI,O,O,O,O,X,O,O,X,X
TJZILSO,O,O,X,X,O,X,O,X,O
TJZILOS,O,O,X,O,O,O,O,X,O
TJZISLO,O,O,X,X,O,X,O,X,O
TJZISOL,O,O,X,X,O,X,O,X,X
TJZIOLS,O,O,X,O,O,X,O,X,O
TJZIOSL,O,O,X,O,O,X,O,X,X
TJZLISO,O,O,X,X,O,X,O,X,O
TJZLIOS,O,O,X,O,O,O,O,X,O
TJZLSIO,O,O,X,X,X,X,X,O,O
TJZLSOI,O,O,O,O,X,X,O,X,X
TJZLOIS,O,O,O,O,X,O,O,X,O
TJZLOSI,O,O,O,O,X,O,O,X,X
TJZSILO,O,O,X,X,X,X,X,O,O
TJZSIOL,O,O,X,X,X,X,X,X,X
TJZSLIO,O,O,X,X,X,X,X,O,O
TJZSLOI,O,O,O,O,X,X,O,X,X
TJZSOIL,O,O,O,O,X,X,X,X,X
TJZSOLI,O,O,O,O,X,X,O,X,X
TJZOILS,O,O,O,O,X,O,O,X,O
TJZOISL,O,O,X,O,X,O,O,X,X
TJZOLIS,O,O,O,O,X,O,O,X,O
TJZOLSI,O,O,O,O,X,O,O,X,X
TJZOSIL,O,O,O,O,X,O,X,X,X
TJZOSLI,O,O,O,O,X,O,O,X,X
TJOILSZ,O,X,O,O,O,O,O,X,X
TJOILZS,O,O,O,O,O,O,O,X,X
TJOISLZ,O,X,O,O,O,O,O,X,X
TJOISZL,O,X,O,X,O,X,O,X,X
TJOIZLS,O,O,O,O,O,O,O,X,X
TJOIZSL,O,O,X,O,O,O,O,X,X
TJOLISZ,O,X,O,O,O,O,O,X,X
TJOLIZS,O,O,O,O,O,O,O,X,X
TJOLSIZ,O,X,O,O,X,O,O,O,X
TJOLSZI,O,X,O,O,X,O,O,X,X
TJOLZIS,O,O,O,O,X,O,O,X,O
TJOLZSI,O,O,O,O,X,O,O,X,X
TJOSILZ,O,X,O,O,X,O,O,O,X
TJOSIZL,O,X,O,X,X,X,O,X,X
TJOSLIZ,O,X,O,O,X,O,O,O,X
TJOSLZI,O,X,O,O,X,O,O,X,X
TJOSZIL,O,X,O,O,X,O,X,X,X
TJOSZLI,O,X,O,O,X,O,O,X,X
TJOZILS,O,O,O,O,X,O,O,X,O
TJOZISL,O,O,X,O,X,O,O,X,X
TJOZLIS,O,O,O,O,X,O,O,X,O
TJOZLSI,O,O,O,O,X,O,O,X,X
TJOZSIL,O,O,O,O,X,O,X,X,X
TJOZSLI,O,O,O,O,X,O,O,X,X
TSILJZO,O,O,X,X,O,X,O,O,X
TSILJOZ,O,O,O,X,O,O,O,O,X
TSILZJO,O,O,X,X,X,X,X,O,X
TSILZOJ,O,O,X,X,X,X,X,X,X
TSILOJZ,X,O,O,X,O,X,X,O,X
TSILOZJ,O,O,O,X,X,X,X,X,X
TSIJLZO,O,O,X,X,O,X,O,O,X
TSIJLOZ,O,O,O,X,O,O,O,O,X
TSIJZLO,O,O,X,X,O,X,O,O,X
TSIJZOL,O,O,X,X,O,X,O,X,X
TSIJOLZ,O,O,O,X,O,X,O,O,X
TSIJOZL,O,X,O,X,O,X,O,X,X
TSIZLJO,O,O,X,X,X,X,X,O,X
TSIZLOJ,O,O,X,X,X,X,X,X,X
TSIZJLO,O,O,X,X,X,X,X,O,X
TSIZJOL,X,O,X,X,X,X,X,X,X
TSIZOLJ,O,O,X,X,X,X,X,X,X
TSIZOJL,X,O,X,X,X,X,X,X,X
TSIOLJZ,X,O,O,X,O,X,X,O,X
TSIOLZJ,O,O,O,X,X,X,X,X,X
TSIOJLZ,X,O,O,X,O,X,X,O,X
TSIOJZL,X,X,O,X,O,X,X,X,X
TSIOZLJ,O,O,O,X,X,X,X,X,X
TSIOZJL,O,O,O,X,X,X,X,X,X
TSLIJZO,O,O,X,X,O,X,O,O,X
TSLIJOZ,O,O,O,X,O,O,O,O,X
TSLIZJO,O,O,X,X,X,X,X,O,X
TSLIZOJ,O,O,X,X,X,X,X,X,X
TSLIOJZ,X,O,O,X,O,X,X,O,X
TSLIOZJ,O,O,O,X,X,X,X,X,X
TSLJIZO,O,O,X,X,O,X,O,O,X
TSLJIOZ,O,O,O,X,O,O,O,O,X
TSLJZIO,O,O,X,X,X,X,X,O,O
TSLJZOI,O,O,O,O,X,X,O,X,X
TSLJOIZ,O,O,O,O,X,O,O,O,X
TSLJOZI,O,O,O,O,X,O,O,X,X
TSLZIJO,O,O,X,X,X,X,X,O,O
TSLZIOJ,O,O,X,X,X,X,X,X,X
TSLZJIO,O,O,X,X,X,X,X,O,O
TSLZJOI,O,O,O,O,X,X,X,X,X
TSLZOIJ,O,O,O,O,X,X,X,X,X
TSLZOJI,O,O,O,O,X,X,X,X,X
TSLOIJZ,X,O,O,O,X,O,X,O,X
TSLOIZJ,O,O,O,X,X,X,X,X,X
TSLOJIZ,O,O,O,O,X,O,X,O,X
TSLOJZI,O,O,O,O,X,O,X,X,X
TSLOZIJ,O,O,O,O,X,O,X,X,X
TSLOZJI,O,O,O,O,X,O,X,X,X
TSJILZO,O,O,X,X,O,X,O,O,X
TSJILOZ,O,O,O,X,O,O,O,O,X
TSJIZLO,O,O,X,X,O,X,O,O,X
TSJIZOL,O,O,X,X,O,X,O,X,X
TSJIOLZ,O,O,O,X,O,X,O,O,X
TSJIOZL,O,X,O,X,O,X,O,X,X
TSJLIZO,O,O,X,X,O,X,O,O,X
TSJLIOZ,O,O,O,X,O,O,O,O,X
TSJLZIO,O,O,X,X,X,X,X,O,O
TSJLZOI,O,O,O,O,X,X,O,X,X
TSJLOIZ,O,O,O,O,X,O,O,O,X
TSJLOZI,O,O,O,O,X,O,O,X,X
TSJZILO,O,O,X,X,X,X,X,O,O
TSJZIOL,O,O,X,X,X,X,X,X,X
TSJZLIO,O,O,X,X,X,X,X,O,O
TSJZLOI,O,O,O,O,X,X,O,X,X
TSJZOIL,O,O,O,O,X,X,X,X,X
TSJZOLI,O,O,O,O,X,X,O,X,X
TSJOILZ,O,O,O,O,X,O,O,O,X
TSJOIZL,O,X,O,X,X,X,O,X,X
TSJOLIZ,O,O,O,O,X,O,O,O,X
TSJOLZI,O,O,O,O,X,O,O,X,X
TSJOZIL,O,O,O,O,X,O,X,X,X
TSJOZLI,O,O,O,O,X,O,O,X,X
TSZILJO,O,O,X,X,X,X,X,O,O
TSZILOJ,O,O,X,X,X,X,X,X,X
TSZIJLO,O,O,X,X,X,X,X,O,O
TSZIJOL,O,O,X,X,X,X,X,X,X
TSZIOLJ,O,O,X,X,X,X,X,X,X
TSZIOJL,O,O,X,X,X,X,X,X,X
TSZLIJO,O,O,X,X,X,X,X,O,O
TSZLIOJ,O,O,X,X,X,X,X,X,X
TSZLJIO,O,O,X,X,X,X,X,O,O
TSZLJOI,O,O,O,O,X,X,X,X,X
TSZLOIJ,O,O,O,O,X,X,X,X,X
TSZLOJI,O,O,O,O,X,X,X,X,X
TSZJILO,O,O,X,X,X,X,X,O,O
TSZJIOL,O,O,X,X,X,X,X,X,X
TSZJLIO,O,O,X,X,X,X,X,O,O
TSZJLOI,O,O,O,O,X,X,X,X,X
TSZJOIL,O,O,O,O,X,X,X,X,X
TSZJOLI,O,O,O,O,X,X,X,X,X
TSZOILJ,O,O,O,O,X,X,X,X,X
TSZOIJL,O,O,O,O,X,X,X,X,X
TSZOLIJ,O,O,O,O,X,X,X,X,X
TSZOLJI,O,O,O,O,X,X,X,X,X
TSZOJIL,O,O,O,O,X,X,X,X,X
TSZOJLI,O,O,O,O,X,X,X,X,X
TSOILJZ,X,O,O,O,X,O,X,O,X
TSOILZJ,O,O,O,X,X,X,X,X,X
TSOIJLZ,X,O,O,O,X,O,X,O,X
TSOIJZL,X,X,O,X,X,X,X,X,X
TSOIZLJ,O,O,O,X,X,X,X,X,X
TSOIZJL,O,O,O,X,X,X,X,X,X
TSOLIJZ,X,O,O,O,X,O,X,O,X
TSOLIZJ,O,O,O,X,X,X,X,X,X
TSOLJIZ,O,O,O,O,X,O,X,O,X
TSOLJZI,O,O,O,O,X,O,X,X,X
TSOLZIJ,O,O,O,O,X,O,X,X,X
TSOLZJI,O,O,O,O,X,O,X,X,X
TSOJILZ,O,O,O,O,X,O,X,O,X
TSOJIZL,O,X,O,X,X,X,X,X,X
TSOJLIZ,O,O,O,O,X,O,X,O,X
TSOJLZI,O,O,O,O,X,O,X,X,X
TSOJZIL,O,O,O,O,X,O,X,X,X
TSOJZLI,O,O,O,O,X,O,X,X,X
TSOZILJ,O,O,O,O,X,O,X,X,X
TSOZIJL,O,O,O,O,X,O,X,X,X
TSOZLIJ,O,O,O,O,X,O,X,X,X
TSOZLJI,O,O,O,O,X,O,X,X,X
TSOZJIL,O,O,O,O,X,O,X,X,X
TSOZJLI,O,O,O,O,X,O,X,X,X
TZILJSO,O,O,X,X,O,X,O,X,O
TZILJOS,O,O,X,O,O,O,O,X,O
TZILSJO,O,O,X,X,X,X,X,X,O
TZILSOJ,O,O,X,X,X,X,X,X,X
TZILOJS,O,X,X,O,O,X,X,X,O
TZILOSJ,O,O,X,O,X,X,X,X,X
TZIJLSO,O,O,X,X,O,X,O,X,O
TZIJLOS,O,O,X,O,O,O,O,X,O
TZIJSLO,O,O,X,X,O,X,O,X,O
TZIJSOL,O,O,X,X,O,X,O,X,X
TZIJOLS,O,O,X,O,O,X,O,X,O
TZIJOSL,O,O,X,O,O,X,O,X,X
TZISLJO,O,O,X,X,X,X,X,X,O
TZISLOJ,O,O,X,X,X,X,X,X,X
TZISJLO,O,O,X,X,X,X,X,X,O
TZISJOL,O,O,X,X,X,X,X,X,X
TZISOLJ,O,O,X,X,X,X,X,X,X
TZISOJL,O,O,X,X,X,X,X,X,X
TZIOLJS,O,X,X,O,O,X,X,X,O
TZIOLSJ,O,O,X,O,X,X,X,X,X
TZIOJLS,O,X,X,O,O,X,X,X,O
TZIOJSL,O,X,X,O,O,X,X,X,X
