sequence,v115@GhA8IeA8CeA8CeA8AeB8BeE8AeA8JeT/IvhFOlBdmB?CiBZoBXnB0pB,v115@GhA8IeA8CeA8CeA8AeB8BeE8AeA8Je0/IvhFdmBqmB?TiBZoB2pBXqB,v115@GhA8IeA8CeA8CeA8AeB8BeE8AeA8JeT/IvhFNlBamB?WnBZoBXnB0pB,v115@GhA8IeA8CeA8CeA8AeB8BeE8AeA8JeNEJvhFUgBamB?WnBZoBXnBzpB,v115@GhA8IeA8CeA8CeA8AeB8BeE8AeA8Je0/IvhFdmBRiB?/pBzmBatBOqB
TJZLSIO,X,X,X,X,X
TJZLSOI,X,X,X,X,X
TJZLOIS,X,O,O,X,X
TJZLOSI,X,X,X,X,X
TJZSILO,O,X,X,X,X
TJZSIOL,O,X,X,X,X
TJZSLIO,O,X,X,X,X
TJZSLOI,O,X,X,X,X
TJZSOIL,O,X,X,X,X
TJZSOLI,O,X,X,X,X
TJZOILS,X,X,O,X,X
TJZOISL,O,X,X,X,X
TJZOLIS,X,X,O,X,X
TJZOLSI,X,X,X,X,X
TJZOSIL,O,X,X,X,X
TJZOSLI,O,X,X,X,X
TJOILSZ,X,X,X,X,X
TJOILZS,X,X,X,X,X
TJOISLZ,X,X,X,X,X
TJOISZL,X,X,X,X,X
TJOIZLS,X,X,X,X,X
TJOIZSL,X,X,X,X,X
TJOLISZ,X,X,X,X,X
TJOLIZS,X,X,X,X,X
TJOLSIZ,X,X,X,X,X
TJOLSZI,X,X,X,X,X
TJOLZIS,X,X,X,X,X
TJOLZSI,X,X,X,X,X
TJOSILZ,X,X,X,X,X
TJOSIZL,X,X,X,X,X
TJOSLIZ,X,X,X,X,X
TJOSLZI,X,X,X,X,X
TJOSZIL,X,X,X,X,X
TJOSZLI,X,X,X,X,X
TJOZILS,X,X,X,X,X
TJOZISL,X,X,X,X,X
TJOZLIS,X,X,X,X,X
TJOZLSI,X,X,X,X,X
TJOZSIL,X,X,X,X,X
TJOZSLI,X,X,X,X,X
TSILJZO,O,X,X,X,X
TSILJOZ,X,X,X,X,X
TSILZJO,O,X,X,X,X
TSILZOJ,O,X,X,X,X
TSILOJZ,X,X,X,X,X
TSILOZJ,X,X,X,X,X
TSIJLZO,O,X,X,X,X
TSIJLOZ,X,X,X,X,X
TSIJZLO,O,X,X,X,X
TSIJZOL,O,X,X,X,X
TSIJOLZ,X,X,X,X,X
TSIJOZL,X,X,X,X,X
TSIZLJO,O,X,X,X,X
TSIZLOJ,O,X,X,X,X
TSIZJLO,O,X,X,X,X
TSIZJOL,O,X,X,X,X
TSIZOLJ,O,X,X,X,X
TSIZOJL,O,X,X,X,X
TSIOLJZ,X,X,X,X,X
TSIOLZJ,X,X,X,X,X
TSIOJLZ,X,X,X,X,X
TSIOJZL,X,X,X,X,X
TSIOZLJ,X,X,X,X,X
TSIOZJL,X,X,X,X,X
TSLIJZO,O,X,X,X,X
TSLIJOZ,X,X,X,X,X
TSLIZJO,O,X,X,X,X
TSLIZOJ,O,X,X,X,X
TSLIOJZ,X,X,X,X,X
TSLIOZJ,X,X,X,X,X
TSLJIZO,O,X,X,X,X
TSLJIOZ,X,X,X,X,X
TSLJZIO,O,X,X,X,X
TSLJZOI,O,X,X,X,X
TSLJOIZ,X,X,X,X,X
TSLJOZI,X,X,X,X,X
TSLZIJO,O,X,X,X,X
TSLZIOJ,O,X,X,X,X
TSLZJIO,O,X,X,X,X
TSLZJOI,O,X,X,X,X
TSLZOIJ,O,X,X,X,O
TSLZOJI,O,X,X,X,O
TSLOIJZ,X,X,X,X,X
TSLOIZJ,X,X,X,X,O
TSLOJIZ,X,X,X,X,X
TSLOJZI,X,X,X,X,X
TSLOZIJ,X,X,X,X,O
TSLOZJI,X,X,X,X,O
TSJILZO,O,X,X,X,X
TSJILOZ,X,X,X,X,X
TSJIZLO,O,X,X,X,X
TSJIZOL,O,X,X,X,X
TSJIOLZ,X,X,X,X,X
TSJIOZL,X,X,X,X,X
TSJLIZO,O,X,X,X,X
TSJLIOZ,X,X,X,X,X
TSJLZIO,O,X,X,X,X
TSJLZOI,O,X,X,X,X
TSJLOIZ,X,X,X,X,X
TSJLOZI,X,X,X,X,X
TSJZILO,O,X,X,X,X
TSJZIOL,O,X,X,X,X
TSJZLIO,O,X,X,X,X
TSJZLOI,O,X,X,X,X
TSJZOIL,O,X,X,X,X
TSJZOLI,O,X,X,X,X
TSJOILZ,X,X,X,X,X
TSJOIZL,X,X,X,X,X
TSJOLIZ,X,X,X,X,X
TSJOLZI,X,X,X,X,X
TSJOZIL,X,X,X,X,X
TSJOZLI,X,X,X,X,X
TSZILJO,O,X,X,X,X
TSZILOJ,O,X,X,X,X
TSZIJLO,O,X,X,X,X
TSZIJOL,O,X,X,X,X
TSZIOLJ,O,X,X,X,X
TSZIOJL,O,X,X,X,X
TSZLIJO,O,X,X,X,X
TSZLIOJ,O,X,X,X,X
TSZLJIO,O,X,X,X,X
TSZLJOI,O,X,X,X,X
TSZLOIJ,O,X,X,X,O
TSZLOJI,O,X,X,X,O
TSZJILO,O,X,X,X,X
TSZJIOL,O,X,X,X,X
TSZJLIO,O,X,X,X,X
TSZJLOI,O,X,X,X,X
TSZJOIL,O,X,X,X,X
TSZJOLI,O,X,X,X,X
TSZOILJ,O,X,X,X,X
TSZOIJL,O,X,X,X,X
TSZOLIJ,O,X,X,X,O
TSZOLJI,O,X,X,X,O
TSZOJIL,O,X,X,X,X
TSZOJLI,O,X,X,X,X
TSOILJZ,X,X,X,X,X
TSOILZJ,X,X,X,X,X
TSOIJLZ,X,X,X,X,X
TSOIJZL,X,X,X,X,X
TSOIZLJ,X,X,X,X,X
TSOIZJL,X,X,X,X,X
TSOLIJZ,X,X,X,X,X
TSOLIZJ,X,X,X,X,O
TSOLJIZ,X,X,X,X,X
TSOLJZI,X,X,X,X,X
TSOLZIJ,X,X,X,X,O
TSOLZJI,X,X,X,X,O
TSOJILZ,X,X,X,X,X
TSOJIZL,X,X,X,X,X
TSOJLIZ,X,X,X,X,X
TSOJLZI,X,X,X,X,X
TSOJZIL,X,X,X,X,X
TSOJZLI,X,X,X,X,X
TSOZILJ,X,X,X,X,X
TSOZIJL,X,X,X,X,X
TSOZLIJ,X,X,X,X,O
TSOZLJI,X,X,X,X,O
TSOZJIL,X,X,X,X,X
TSOZJLI,X,X,X,X,X
TZILJSO,X,X,X,O,X
TZILJOS,X,X,O,X,X
TZILSJO,X,X,X,X,X
TZILSOJ,X,X,X,X,X
TZILOJS,X,X,O,X,X
TZILOSJ,X,X,X,X,X
TZIJLSO,X,X,X,O,X
TZIJLOS,X,X,O,X,X
TZIJSLO,O,X,X,X,X
TZIJSOL,O,X,X,X,X
TZIJOLS,X,X,O,X,X
TZIJOSL,O,X,X,X,X
TZISLJO,O,X,X,X,X
TZISLOJ,O,X,X,X,X
TZISJLO,O,X,X,X,X
TZISJOL,O,X,X,X,X
TZISOLJ,O,X,X,X,X
TZISOJL,O,X,X,X,X
TZIOLJS,X,X,O,X,X
TZIOLSJ,X,X,X,X,X
TZIOJLS,X,X,O,X,X
TZIOJSL,O,X,X,X,X
TZIOSLJ,O,X,X,X,X
TZIOSJL,O,X,X,X,X
TZLIJSO,X,X,X,O,X
TZLIJOS,X,X,O,X,X
TZLISJO,X,X,X,X,X
TZLISOJ,X,X,X,X,X
TZLIOJS,X,X,O,X,X
TZLIOSJ,X,X,X,X,X
TZLJISO,X,X,X,O,X
TZLJIOS,X,X,O,X,X
TZLJSIO,X,X,X,X,X
TZLJSOI,X,X,X,X,X
TZLJOIS,X,X,O,X,X
TZLJOSI,X,X,X,X,X
TZLSIJO,X,X,X,X,X
TZLSIOJ,X,X,X,X,X
TZLSJIO,X,X,X,X,X
TZLSJOI,X,X,X,X,X
TZLSOIJ,X,X,X,X,X
TZLSOJI,X,X,X,X,X
TZLOIJS,X,X,O,X,X
TZLOISJ,X,X,X,X,X
TZLOJIS,X,X,O,X,X
TZLOJSI,X,X,X,X,X
TZLOSIJ,X,X,X,X,X
TZLOSJI,X,X,X,X,X
TZJILSO,X,X,X,O,X
TZJILOS,X,X,O,X,X
TZJISLO,O,X,X,X,X
TZJISOL,O,X,X,X,X
TZJIOLS,X,X,O,X,X
TZJIOSL,O,X,X,X,X
TZJLISO,X,X,X,O,X
TZJLIOS,X,X,O,X,X
TZJLSIO,X,X,X,X,X
TZJLSOI,X,X,X,X,X
TZJLOIS,X,X,O,X,X
TZJLOSI,X,X,X,X,X
TZJSILO,O,X,X,X,X
TZJSIOL,O,X,X,X,X
TZJSLIO,O,X,X,X,X
TZJSLOI,O,X,X,X,X
TZJSOIL,O,X,X,X,X
TZJSOLI,O,X,X,X,X
TZJOILS,X,X,O,X,X
TZJOISL,O,X,X,X,X
TZJOLIS,X,X,O,X,X
TZJOLSI,X,X,X,X,X
TZJOSIL,O,X,X,X,X
TZJOSLI,O,X,X,X,X
TZSILJO,O,X,X,X,X
TZSILOJ,O,X,X,X,X
TZSIJLO,O,X,X,X,X
TZSIJOL,O,X,X,X,X
TZSIOLJ,O,X,X,X,X
TZSIOJL,O,X,X,X,X
TZSLIJO,O,X,X,X,X
TZSLIOJ,O,X,X,X,X
TZSLJIO,O,X,X,X,X
TZSLJOI,O,X,X,X,X
TZSLOIJ,O,X,X,X,X
TZSLOJI,O,X,X,X,X
TZSJILO,O,X,X,X,X
TZSJIOL,O,X,X,X,X
TZSJLIO,O,X,X,X,X
TZSJLOI,O,X,X,X,X
TZSJOIL,O,X,X,X,X
TZSJOLI,O,X,X,X,X
TZSOILJ,O,X,X,X,X
TZSOIJL,O,X,X,X,X
TZSOLIJ,O,X,X,X,X
TZSOLJI,O,X,X,X,X
TZSOJIL,O,X,X,X,X
TZSOJLI,O,X,X,X,X
TZOILJS,X,X,O,X,X
TZOILSJ,X,X,X,X,X
TZOIJLS,X,X,O,X,X
TZOIJSL,O,X,X,X,X
TZOISLJ,O,X,X,X,X
TZOISJL,O,X,X,X,X
TZOLIJS,X,X,O,X,X
TZOLISJ,X,X,X,X,X
TZOLJIS,X,X,O,X,X
TZOLJSI,X,X,X,X,X
TZOLSIJ,X,X,X,X,X
TZOLSJI,X,X,X,X,X
TZOJILS,X,X,O,X,X
TZOJISL,O,X,X,X,X
TZOJLIS,X,X,O,X,X
TZOJLSI,X,X,X,X,X
TZOJSIL,O,X,X,X,X
TZOJSLI,O,X,X,X,X
TZOSILJ,O,X,X,X,X
TZOSIJL,O,X,X,X,X
TZOSLIJ,O,X,X,X,X
TZOSLJI,O,X,X,X,X
TZOSJIL,O,X,X,X,X
TZOSJLI,O,X,X,X,X
TOILJSZ,X,X,X,X,X
TOILJZS,X,X,X,X,X
TOILSJZ,X,X,X,X,X
TOILSZJ,X,X,X,X,X
TOILZJS,X,X,X,X,X
TOILZSJ,X,X,X,X,X
TOIJLSZ,X,X,X,X,X
TOIJLZS,X,X,X,X,X
TOIJSLZ,X,X,X,X,X
TOIJSZL,X,X,X,X,X
TOIJZLS,X,X,X,X,X
TOIJZSL,X,X,X,X,X
TOISLJZ,X,X,X,X,X
TOISLZJ,X,X,X,X,X
TOISJLZ,X,X,X,X,X
TOISJZL,X,X,X,X,X
TOISZLJ,X,X,X,X,X
TOISZJL,X,X,X,X,X
TOIZLJS,X,X,X,X,X
TOIZLSJ,X,X,X,X,X
TOIZJLS,X,X,X,X,X
TOIZJSL,X,X,X,X,X
TOIZSLJ,X,X,X,X,X
TOIZSJL,X,X,X,X,X
TOLIJSZ,X,X,X,X,X
TOLIJZS,X,X,X,X,X
TOLISJZ,X,X,X,X,X
TOLISZJ,X,X,X,X,O
TOLIZJS,X,X,X,X,X
TOLIZSJ,X,X,X,X,X
TOLJISZ,X,X,X,X,X
TOLJIZS,X,X,X,X,X
TOLJSIZ,X,X,X,X,X
TOLJSZI,X,X,X,X,X
TOLJZIS,X,X,X,X,X
TOLJZSI,X,X,X,X,X
TOLSIJZ,X,X,X,X,X
TOLSIZJ,X,X,X,X,O
TOLSJIZ,X,X,X,X,X
TOLSJZI,X,X,X,X,X
TOLSZIJ,X,X,X,X,O
TOLSZJI,X,X,X,X,O
TOLZIJS,X,X,X,X,X
TOLZISJ,X,X,X,X,X
TOLZJIS,X,X,X,X,X
TOLZJSI,X,X,X,X,X
TOLZSIJ,X,X,X,X,X
TOLZSJI,X,X,X,X,X
TOJILSZ,X,X,X,X,X
TOJILZS,X,X,X,X,X
TOJISLZ,X,X,X,X,X
TOJISZL,X,X,X,X,X
TOJIZLS,X,X,X,X,X
TOJIZSL,X,X,X,X,X
TOJLISZ,X,X,X,X,X
TOJLIZS,X,X,X,X,X
TOJLSIZ,X,X,X,X,X
TOJLSZI,X,X,X,X,X
TOJLZIS,X,X,X,X,X
TOJLZSI,X,X,X,X,X
TOJSILZ,X,X,X,X,X
TOJSIZL,X,X,X,X,X
TOJSLIZ,X,X,X,X,X
TOJSLZI,X,X,X,X,X
TOJSZIL,X,X,X,X,X
TOJSZLI,X,X,X,X,X
TOJZILS,X,X,X,X,X
TOJZISL,X,X,X,X,X
TOJZLIS,X,X,X,X,X
TOJZLSI,X,X,X,X,X
TOJZSIL,X,X,X,X,X
TOJZSLI,X,X,X,X,X
TOSILJZ,X,X,X,X,X
TOSILZJ,X,X,X,X,X
TOSIJLZ,X,X,X,X,X
TOSIJZL,X,X,X,X,X
TOSIZLJ,X,X,X,X,X
TOSIZJL,X,X,X,X,X
TOSLIJZ,X,X,X,X,X
TOSLIZJ,X,X,X,X,O
TOSLJIZ,X,X,X,X,X
TOSLJZI,X,X,X,X,X
TOSLZIJ,X,X,X,X,O
TOSLZJI,X,X,X,X,O
TOSJILZ,X,X,X,X,X
TOSJIZL,X,X,X,X,X
TOSJLIZ,X,X,X,X,X
TOSJLZI,X,X,X,X,X
TOSJZIL,X,X,X,X,X
TOSJZLI,X,X,X,X,X
TOSZILJ,X,X,X,X,X
TOSZIJL,X,X,X,X,X
TOSZLIJ,X,X,X,X,O
TOSZLJI,X,X,X,X,O
TOSZJIL,X,X,X,X,X
TOSZJLI,X,X,X,X,X
TOZILJS,X,X,X,X,X
TOZILSJ,X,X,X,X,X
