sequence,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeRAJvhF3hBzkBtqB8?rB+sBatB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFzgBRiB/qB9?rB0sBisB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JetEJvhFThBmiBxqBX?sB6qB0sB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeGAJvhFxhBzkB/sBC?rBdtB0rB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeGAJvhFxhBzkB8qBq?rB/sBdtB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFziBxqB0sB9?qB/rBasB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFThBynBxqB0?sB9qBXsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhF6mBmiBRqBX?sBtqB0sB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFThBynBxqBX?sB9qB0sB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhFfmBxhBGqBC?sBdtBUsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhF0hBRqBCsBt?qB3sBmsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeqEJvhFUhBRiBNsBG?rB/qBzsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeRAJvhFCiBzkBuqB/?sB0rBdtB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeRAJvhF3hBzkBtqBC?sBcsBetB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFUiBxqBTsB9?qB/rBatB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFRhB/qBUmB9?sBatBzrB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhF/nBRqBUsBu?qB9rBatB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeCAJvhFxhBXlB8qBu?rBTsBdtB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFzgB/qBxrBd?tBUsBCsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhF9mBynBRqBX?sBuqB0sB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JexBJvhFzkBCmB/sB0?rBdtBGqB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhF9mBynBRqB0?sBuqBXsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeWFJvhF8qBRnBXlB6?rBNsBzsB
TIZJSLO,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZJSOL,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZJOLS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZJOSL,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZSLJO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIZSLOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIZSJLO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIZSJOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIZSOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIZSOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIZOLJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZOLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZOJLS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZOJSL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZOSLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIZOSJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIOLJSZ,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TIOLSZJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOLZJS,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TIOLZSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIOJLSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIOJSZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIOJZLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOJZSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOSLJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIOSLZJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOSJLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOSJZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOSZLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIOSZJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIOZLJS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOZJLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOZJSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOZSLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIOZSJL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TLIJSZO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
