sequence,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFmhBCjB/qBToB0r?BFrB,v115@HhB8HeB8DeB8BeC8DeC8Jem/IvhFChBxiB/rBToB0q?BFsB,v115@HhB8HeB8DeB8BeC8DeC8Jem/IvhF8mBCjB3lBToBFm?BRwB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFymBTlBFoBGoB0r?BXrB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFymBTlBFoBGoBXr?B0rB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhF/mBGjBTlBUoBVw?BasB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFlhBziB+oB/qBUm?BywB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFzhBfoB6oB2qB1w?B8qB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFVmBGjB/qBUoBTr?BasB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFylB3mBFoBGoB0q?BzrB,v115@HhB8HeB8DeB8BeC8DeC8JeFBJvhF6qBcrBxnBmkBTo?BXsB,v115@HhB8HeB8DeB8BeC8DeC8Je3AJvhFCiB8qBxnBmkBTo?B1wB
TIOLZJS,O,X,X,O,O,O,X,X,X,X,X,X
TIOLZSJ,X,X,X,O,O,O,X,X,X,X,X,O
TIOJLSZ,O,X,X,O,O,X,X,X,X,X,X,X
TIOJLZS,O,X,X,O,O,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,O,X,X,O,X,X,X,X
TIOJSZL,X,X,X,X,X,O,X,X,X,X,X,X
TIOJZLS,X,X,X,O,X,O,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,O,X,X,X,X,X,X
TIOSLJZ,O,X,X,O,O,X,X,O,X,X,X,X
TIOSLZJ,O,X,X,O,O,O,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,O,X,X,O,X,X,X,X
TIOSJZL,X,X,X,X,X,O,X,X,X,X,X,X
TIOSZLJ,O,X,X,O,O,O,X,X,X,X,X,X
TIOSZJL,O,X,X,X,X,O,X,X,X,X,X,X
TIOZLJS,O,X,X,O,O,O,X,X,X,X,X,X
TIOZLSJ,X,X,X,O,O,O,X,X,X,X,X,O
TIOZJLS,O,X,X,O,X,O,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,O,X,X,X,X,X,X
TIOZSLJ,X,X,X,O,O,O,X,X,X,O,X,O
TIOZSJL,X,X,X,X,X,O,X,X,X,X,X,X
TLIJSZO,O,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,X,X,X,X,X,X,X,X,X,X,O
TLIJZOS,O,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,O,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,O,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,X,X,X,X,X,X,X,X,X,O
TLISZOJ,X,X,X,X,X,X,X,X,X,X,X,O
TLISOJZ,X,X,X,X,O,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,O,X,X,X,X,X,X,X
TLIZJSO,O,X,X,X,X,X,X,X,X,X,O,O
TLIZJOS,O,X,X,X,X,X,X,X,X,X,O,X
TLIZSJO,X,X,X,X,X,X,X,X,X,O,O,O
TLIZSOJ,X,X,X,X,X,X,X,X,X,O,O,O
TLIZOJS,X,X,X,O,X,X,X,X,X,X,O,X
TLIZOSJ,X,X,X,O,X,X,X,X,X,X,O,O
TLIOJSZ,X,X,X,O,O,X,X,X,X,X,X,X
TLIOJZS,X,X,X,O,O,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,O,O,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,O,O,X,X,X,X,X,X,X
TLIOZJS,X,X,X,O,O,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,O,O,X,X,X,X,X,X,O
TLJISZO,O,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,X,X,X,X,X,X,X,X,X,X,O
TLJIZOS,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,X,X,X,X,X,X,O,X,X,X,X
TLJSIOZ,O,X,X,X,X,X,X,O,X,X,X,X
TLJSZIO,X,X,X,X,X,X,X,O,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,O,X,X,X,X
TLJSOIZ,X,X,X,X,O,X,X,O,X,X,X,X
TLJSOZI,X,X,X,X,O,X,X,O,X,X,X,X
TLJZISO,O,X,X,X,X,X,X,X,X,X,X,O
TLJZIOS,O,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,X,X,X,X,X,X,X,X,X,X,O
TLJZSOI,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,O,X,X,X,X,X,X,X,X
TLJZOSI,X,X,X,O,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,O,O,X,X,X,X,X,X,X
TLJOIZS,X,X,X,O,O,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,O,O,X,X,O,X,X,X,X
TLJOSZI,X,X,X,O,O,X,X,O,X,X,X,X
TLJOZIS,X,X,X,O,O,X,X,X,X,X,X,X
TLJOZSI,X,X,X,O,O,X,X,X,X,X,X,X
TLSIJZO,O,X,X,X,X,X,X,O,X,X,X,X
TLSIJOZ,O,X,X,X,X,X,X,O,X,X,X,X
TLSIZJO,O,X,X,X,X,X,X,X,X,X,X,O
TLSIZOJ,X,X,X,X,X,X,X,X,X,X,X,O
TLSIOJZ,X,X,X,X,O,X,X,O,X,X,X,X
TLSIOZJ,X,X,X,X,O,X,X,X,X,X,X,X
TLSJIZO,O,X,X,X,X,X,X,O,X,X,X,X
TLSJIOZ,O,X,X,X,X,X,X,O,X,X,X,X
TLSJZIO,X,X,X,X,X,X,X,O,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,O,X,X,X,X
TLSJOIZ,X,X,X,X,O,X,X,O,X,X,X,X
TLSJOZI,X,X,X,X,O,X,X,O,X,X,X,X
TLSZIJO,O,X,X,X,X,X,X,X,X,O,X,O
TLSZIOJ,X,X,X,X,X,X,X,X,X,O,X,O
TLSZJIO,O,X,X,X,X,X,X,O,X,O,X,O
TLSZJOI,X,X,X,X,X,O,X,O,X,O,X,X
TLSZOIJ,X,X,X,O,O,O,X,X,X,O,X,O
TLSZOJI,X,X,X,O,O,O,X,O,X,O,X,X
TLSOIJZ,X,X,X,O,O,X,X,O,X,X,X,X
TLSOIZJ,X,X,X,O,O,O,X,X,X,X,X,X
TLSOJIZ,X,X,X,O,O,X,X,O,X,X,X,X
TLSOJZI,X,X,X,O,O,X,X,O,X,X,X,X
TLSOZIJ,X,X,X,O,O,O,X,X,X,X,X,X
TLSOZJI,X,X,X,O,O,O,X,O,X,X,X,X
TLZIJSO,O,X,X,X,X,X,X,X,X,X,O,O
TLZIJOS,O,X,X,X,X,X,X,X,X,X,O,X
TLZISJO,X,X,X,X,X,X,X,X,X,O,O,O
TLZISOJ,X,X,X,X,X,X,X,X,X,O,O,O
TLZIOJS,X,X,X,O,X,X,X,X,X,X,O,X
TLZIOSJ,X,X,X,O,X,X,X,X,X,X,O,O
TLZJISO,O,X,X,X,X,X,X,X,X,X,O,O
TLZJIOS,O,X,X,X,X,X,X,X,X,X,O,X
TLZJSIO,O,X,X,X,X,X,X,X,X,X,X,O
TLZJSOI,X,X,X,X,X,O,X,X,X,X,X,X
TLZJOIS,X,X,X,O,X,O,X,X,X,X,X,X
TLZJOSI,X,X,X,O,X,O,X,X,X,X,X,X
TLZSIJO,O,X,X,X,X,X,X,X,X,O,O,O
TLZSIOJ,X,X,X,X,X,X,X,X,X,O,O,O
TLZSJIO,O,X,X,X,X,X,X,X,X,O,X,O
TLZSJOI,X,X,X,X,X,O,X,X,X,O,X,X
TLZSOIJ,X,X,X,O,O,O,X,X,X,O,X,O
TLZSOJI,X,X,X,O,O,O,X,X,X,O,X,X
TLZOIJS,X,X,X,O,O,O,X,X,X,X,O,X
TLZOISJ,X,X,X,O,O,O,X,X,X,X,O,O
TLZOJIS,X,X,X,O,O,O,X,X,X,X,X,X
TLZOJSI,X,X,X,O,O,O,X,X,X,X,X,X
TLZOSIJ,X,X,X,O,O,O,X,X,X,X,X,O
TLZOSJI,X,X,X,O,O,O,X,X,X,X,X,X
TLOIJSZ,X,X,X,O,O,X,X,X,X,X,X,X
TLOIJZS,X,X,X,O,O,X,X,X,X,X,X,X
TLOISJZ,X,X,X,O,O,X,X,X,X,X,X,X
TLOISZJ,X,X,X,O,O,O,X,X,X,X,X,X
TLOIZJS,X,X,X,O,O,O,X,X,X,X,X,X
TLOIZSJ,X,X,X,O,O,O,X,X,X,X,X,O
TLOJISZ,X,X,X,O,O,X,X,X,X,X,X,X
TLOJIZS,X,X,X,O,O,X,X,X,X,X,X,X
TLOJSIZ,X,X,X,O,O,X,X,O,X,X,X,X
TLOJSZI,X,X,X,O,O,X,X,O,X,X,X,X
TLOJZIS,X,X,X,O,O,X,X,X,X,X,X,X
TLOJZSI,X,X,X,O,O,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,O,O,X,X,O,X,X,X,X
TLOSIZJ,X,X,X,O,O,O,X,X,X,X,X,X
TLOSJIZ,X,X,X,O,O,X,X,O,X,X,X,X
TLOSJZI,X,X,X,O,O,X,X,O,X,X,X,X
TLOSZIJ,X,X,X,O,O,O,X,X,X,X,X,X
TLOSZJI,X,X,X,O,O,O,X,O,X,X,X,X
TLOZIJS,X,X,X,O,O,O,X,X,X,X,X,X
TLOZISJ,X,X,X,O,O,O,X,X,X,X,X,O
TLOZJIS,X,X,X,O,O,O,X,X,X,X,X,X
TLOZJSI,X,X,X,O,O,O,X,X,X,X,X,X
TLOZSIJ,X,X,X,O,O,O,X,X,X,X,X,O
TLOZSJI,X,X,X,O,O,O,X,X,X,X,X,X
TJILSZO,O,X,X,X,X,X,X,X,X,X,X,X
TJILSOZ,O,X,X,X,X,X,X,X,X,X,X,X
TJILZSO,O,X,X,X,X,X,X,X,X,X,X,O
TJILZOS,O,X,X,X,X,X,X,X,X,X,X,X
TJILOSZ,O,X,X,X,X,X,X,X,X,X,X,X
TJILOZS,O,X,X,X,X,X,X,X,X,X,X,X
TJISLZO,X,X,X,X,X,X,X,O,X,X,X,X
TJISLOZ,X,X,X,X,X,X,X,O,X,X,X,X
TJISZLO,X,X,X,X,X,X,O,X,X,X,X,X
TJISZOL,X,X,O,X,X,X,O,X,X,X,X,X
TJISOLZ,X,X,O,X,X,X,X,O,X,X,X,X
TJISOZL,X,X,O,X,X,X,O,X,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X,X,X,X,X,O
TJIZLOS,X,X,X,X,X,X,X,X,X,X,X,X
TJIZSLO,X,X,X,X,X,X,X,X,X,O,X,O
TJIZSOL,X,X,O,X,X,X,X,X,X,X,X,X
TJIZOLS,X,X,O,X,X,X,X,X,X,X,X,X
TJIZOSL,X,X,O,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,O,O,O,X,X,X,X,X,X,X
TJIOLZS,O,X,O,O,O,X,X,X,X,X,X,X
TJIOSLZ,X,X,O,X,O,X,X,O,X,X,X,X
TJIOSZL,X,X,O,X,X,X,O,X,X,X,X,X
TJIOZLS,X,X,O,O,X,X,X,X,X,X,X,X
TJIOZSL,X,X,O,X,X,X,X,X,X,X,X,X
TJLISZO,O,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,O,X,X,X,X,X,X,X,X,X,X,X
TJLIZSO,O,X,X,X,X,X,X,X,X,X,X,O
TJLIZOS,O,X,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,O,X,X,X,X,X,X,X,X,X,X,X
TJLIOZS,O,X,X,X,X,X,X,X,X,X,X,X
TJLSIZO,O,X,X,X,X,X,X,O,X,X,X,X
TJLSIOZ,O,X,X,X,X,X,X,O,X,X,X,X
TJLSZIO,X,X,X,X,X,X,X,O,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,O,X,X,X,X
TJLSOIZ,X,X,X,X,O,X,X,O,X,X,X,X
TJLSOZI,X,X,X,X,O,X,X,O,X,X,X,X
TJLZISO,O,X,X,X,X,X,X,X,X,X,X,O
TJLZIOS,O,X,X,X,X,X,X,X,X,X,X,X
TJLZSIO,O,X,X,X,X,X,X,X,X,X,X,O
TJLZSOI,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,O,X,X,X,X,X,X,X,X
TJLZOSI,X,X,X,O,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,O,O,X,X,X,X,X,X,X
TJLOIZS,X,X,X,O,O,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,O,O,X,X,O,X,X,X,X
TJLOSZI,X,X,X,O,O,X,X,O,X,X,X,X
TJLOZIS,X,X,X,O,O,X,X,X,X,X,X,X
TJLOZSI,X,X,X,O,O,X,X,X,X,X,X,X
TJSILZO,O,X,X,X,X,X,X,O,X,X,X,X
TJSILOZ,O,X,X,X,X,X,X,O,X,X,X,X
TJSIZLO,X,X,X,X,X,X,O,X,X,X,X,X
TJSIZOL,X,X,X,X,X,X,O,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,X,X,O,X,X,X,X
TJSIOZL,X,X,X,X,X,X,O,X,X,X,X,X
TJSLIZO,O,X,X,X,X,X,X,O,X,X,X,X
TJSLIOZ,O,X,X,X,X,X,X,O,X,X,X,X
TJSLZIO,X,X,X,X,X,X,X,O,X,X,X,X
TJSLZOI,X,X,X,X,X,X,X,O,X,X,X,X
TJSLOIZ,X,X,X,X,O,X,X,O,X,X,X,X
TJSLOZI,X,X,X,X,O,X,X,O,X,X,X,X
TJSZILO,X,X,X,X,X,X,O,X,X,O,X,X
TJSZIOL,X,X,X,X,X,O,O,X,X,X,X,X
TJSZLIO,X,X,X,X,X,X,O,O,X,O,X,X
TJSZLOI,X,X,X,X,X,O,O,O,X,O,X,X
TJSZOIL,X,X,X,X,X,O,O,X,X,X,X,X
TJSZOLI,X,X,O,X,X,O,O,O,X,X,X,X
TJSOILZ,O,X,X,X,O,X,X,O,X,X,X,X
TJSOIZL,X,X,X,X,X,O,O,X,X,X,X,X
TJSOLIZ,O,X,X,X,O,X,X,O,X,X,X,X
TJSOLZI,X,X,O,X,O,X,X,O,X,X,X,X
TJSOZIL,X,X,X,X,X,O,O,X,X,X,X,X
TJSOZLI,X,X,O,X,X,O,O,O,X,X,X,X
TJZILSO,O,X,X,X,X,X,X,X,X,X,X,O
TJZILOS,O,X,X,X,X,X,X,X,X,X,X,X
TJZISLO,X,X,X,X,X,X,X,X,X,O,X,O
TJZISOL,X,X,O,X,X,O,X,X,X,X,X,X
TJZIOLS,O,X,O,X,X,O,X,X,X,X,X,X
TJZIOSL,X,X,O,X,X,O,X,X,X,X,X,X
TJZLISO,O,X,X,X,X,X,X,X,X,X,X,O
TJZLIOS,O,X,X,X,X,X,X,X,X,X,X,X
TJZLSIO,O,X,X,X,X,X,X,X,X,X,X,O
TJZLSOI,X,X,X,X,X,O,X,X,X,X,X,X
TJZLOIS,X,O,X,O,X,O,X,X,X,X,X,X
TJZLOSI,X,X,X,O,X,O,X,X,X,X,X,X
TJZSILO,O,X,X,X,X,X,X,X,X,O,X,O
TJZSIOL,O,X,X,X,X,O,X,X,X,X,X,X
TJZSLIO,O,X,X,X,X,X,X,O,X,O,X,O
TJZSLOI,X,O,X,X,X,O,X,O,X,O,X,X
TJZSOIL,O,O,X,X,X,O,X,X,X,X,X,X
TJZSOLI,O,O,O,X,X,O,X,O,X,X,X,X
TJZOILS,O,O,O,O,X,O,X,X,X,X,X,X
TJZOISL,X,O,O,X,X,O,X,X,X,X,X,X
TJZOLIS,O,O,O,O,X,O,X,X,X,X,X,X
TJZOLSI,O,X,O,O,X,O,X,X,X,X,X,X
TJZOSIL,O,O,X,X,X,O,X,X,X,X,X,X
TJZOSLI,O,O,O,X,X,O,X,O,X,X,X,X
TJOILSZ,O,X,O,O,O,X,X,X,X,X,X,X
TJOILZS,O,X,O,O,O,X,X,X,X,X,X,X
TJOISLZ,X,X,O,X,O,X,X,O,X,X,X,X
TJOISZL,X,X,O,X,X,O,O,X,X,X,X,X
TJOIZLS,X,O,O,O,X,O,X,X,X,X,X,X
TJOIZSL,X,O,O,X,X,O,X,X,X,X,X,X
TJOLISZ,O,X,O,O,O,X,X,X,X,X,X,X
TJOLIZS,O,X,O,O,O,X,X,X,X,X,X,X
TJOLSIZ,O,X,X,O,O,X,X,O,X,X,X,X
TJOLSZI,X,X,O,O,O,X,X,O,X,X,X,X
TJOLZIS,O,X,O,O,O,X,X,X,X,X,X,X
TJOLZSI,O,X,O,O,O,X,X,X,X,X,X,X
TJOSILZ,O,X,X,X,O,X,X,O,X,X,X,X
TJOSIZL,X,X,X,X,X,O,O,X,X,X,X,X
TJOSLIZ,O,X,X,X,O,X,X,O,X,X,X,X
TJOSLZI,X,X,O,X,O,X,X,O,X,X,X,X
TJOSZIL,X,X,X,X,X,O,O,X,X,X,X,X
TJOSZLI,X,X,O,X,X,O,O,O,X,X,X,X
TJOZILS,O,O,O,O,X,O,X,X,X,X,X,X
TJOZISL,X,O,O,X,X,O,X,X,X,X,X,X
TJOZLIS,O,O,O,O,X,O,X,X,X,X,X,X
TJOZLSI,O,X,O,O,X,O,X,X,X,X,X,X
TJOZSIL,O,O,X,X,X,O,X,X,X,X,X,X
TJOZSLI,O,O,O,X,X,O,X,O,X,X,X,X
TSILJZO,O,X,X,X,X,X,X,O,X,X,X,X
TSILJOZ,O,X,X,X,X,X,X,O,X,X,X,X
TSILZJO,O,X,X,X,X,X,X,X,X,X,X,O
TSILZOJ,X,X,X,X,X,X,X,X,X,X,X,O
TSILOJZ,X,X,X,X,O,X,X,O,X,X,X,X
TSILOZJ,X,X,X,X,O,X,X,X,X,X,X,X
TSIJLZO,O,X,X,X,X,X,X,O,X,X,X,X
TSIJLOZ,O,X,X,X,X,X,X,O,X,X,X,X
TSIJZLO,X,X,X,X,X,X,O,X,X,X,X,X
TSIJZOL,X,X,X,X,X,X,O,X,X,X,X,X
TSIJOLZ,O,X,X,X,X,X,X,O,X,X,X,X
TSIJOZL,X,X,X,X,X,X,O,X,X,X,X,X
TSIZLJO,O,X,X,X,X,X,O,X,X,O,X,O
TSIZLOJ,X,X,X,X,X,X,X,X,X,O,X,O
TSIZJLO,O,X,X,X,X,X,O,X,X,O,X,O
TSIZJOL,O,X,X,X,X,O,O,X,O,X,X,X
TSIZOLJ,O,X,X,X,X,O,X,X,O,O,X,O
TSIZOJL,O,X,X,X,X,O,O,X,O,X,X,X
TSIOLJZ,O,X,X,O,O,X,X,O,X,X,X,X
TSIOLZJ,O,X,X,O,O,O,X,X,O,X,X,X
TSIOJLZ,O,X,X,X,O,X,X,O,X,X,X,X
TSIOJZL,X,X,X,X,X,O,X,X,O,X,X,X
TSIOZLJ,O,X,X,O,O,O,X,X,O,X,X,X
TSIOZJL,O,X,X,X,X,O,X,X,O,X,X,X
TSLIJZO,O,X,X,X,X,X,X,O,X,X,X,X
TSLIJOZ,O,X,X,X,X,X,X,O,X,X,X,X
TSLIZJO,O,X,X,X,X,X,X,X,X,X,X,O
TSLIZOJ,X,X,X,X,X,X,X,X,X,X,X,O
TSLIOJZ,X,X,X,X,O,X,X,O,X,X,X,X
TSLIOZJ,X,X,X,X,O,X,X,X,X,X,X,X
TSLJIZO,O,X,X,X,X,X,X,O,X,X,X,X
TSLJIOZ,O,X,X,X,X,X,X,O,X,X,X,X
TSLJZIO,X,X,X,X,X,X,X,O,X,X,X,X
TSLJZOI,X,X,X,X,X,X,X,O,X,X,X,X
TSLJOIZ,X,X,X,X,O,X,X,O,X,X,X,X
TSLJOZI,X,X,X,X,O,X,X,O,X,X,X,X
TSLZIJO,O,X,X,X,X,X,X,X,X,O,X,O
TSLZIOJ,X,X,X,X,X,X,X,X,X,O,X,O
