sequence,v115@LhB8DeA8CeC8CeB8BeC8BeA8Jei/IvhFRhB9nBTjBG?lBUqBXtB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Je/EJvhFUgBRhB9nB6?oBetBTqB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Jei/IvhFRhB3iB9oBG?lBUqBzsB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Je/EJvhFUgBRhBGjB6?sBNtBTqB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Je2EJvhFRhB9nBTjBS?qBXtBUqB,v115@LhB8DeA8CeC8CeB8BeC8BeA8JeT/IvhF/lBRhBGjB6?sBNtBUqB,v115@LhB8DeA8CeC8CeB8BeC8BeA8JeRBJvhF9nBTjB0kB6?qBXtBmpB,v115@LhB8DeA8CeC8CeB8BeC8BeA8JeyEJvhFRhB9nBTjB+?qB0kBXtB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Jei/IvhFRhB9nBGlBT?oBUqBXtB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Je/EJvhFalBRhB9oB+?qB0nBzsB,v115@LhB8DeA8CeC8CeB8BeC8BeA8JeT/IvhFRhB3iBGqBC?tBNqBctB
TIJZLOS,O,O,O,X,X,X,X,X,O,X,X
TIJZSLO,O,O,O,O,X,O,X,O,O,O,X
TIJZSOL,O,O,O,O,X,O,X,O,O,O,X
TIJZOLS,O,O,O,X,X,X,X,X,O,X,X
TIJZOSL,O,O,O,O,X,O,X,X,O,O,X
TIJOLSZ,X,O,X,O,X,X,X,O,X,X,X
TIJOLZS,X,O,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,O,X,O,X,X,X,O,X,O,X
TIJOSZL,X,O,X,O,X,X,X,O,X,O,X
TIJOZLS,X,O,X,X,X,X,X,X,O,X,X
TIJOZSL,X,O,X,O,X,O,X,X,O,O,X
TISLJZO,X,O,O,O,O,X,O,O,X,X,X
TISLJOZ,O,O,X,O,O,X,O,O,X,X,X
TISLZJO,O,O,O,O,O,X,O,X,X,X,X
TISLZOJ,O,X,O,O,O,X,O,X,X,X,X
TISLOJZ,O,X,X,O,O,X,O,O,X,X,X
TISLOZJ,O,X,O,O,O,X,O,X,X,X,X
TISJLZO,X,O,O,O,O,X,O,O,X,O,X
TISJLOZ,O,O,X,X,O,X,O,O,X,O,X
TISJZLO,O,O,O,O,X,X,X,O,X,O,X
TISJZOL,O,O,O,O,X,X,X,O,X,O,X
TISJOLZ,O,O,X,O,O,X,O,O,X,O,X
TISJOZL,O,O,X,O,X,X,X,O,X,O,X
TISZLJO,O,O,O,O,O,X,O,X,X,X,X
TISZLOJ,O,X,O,O,O,X,O,X,X,X,X
TISZJLO,O,O,O,O,X,X,X,O,O,O,X
TISZJOL,O,O,O,O,X,X,X,O,O,O,X
TISZOLJ,O,X,O,X,O,X,O,X,X,X,X
TISZOJL,O,O,O,O,X,X,X,O,O,X,X
TISOLJZ,O,O,X,O,O,X,O,O,X,X,X
TISOLZJ,O,O,O,O,O,X,O,X,X,X,X
TISOJLZ,O,O,X,O,O,X,O,O,X,X,X
TISOJZL,O,O,X,O,X,X,X,O,X,X,X
TISOZLJ,O,O,O,O,O,X,O,X,X,X,X
TISOZJL,O,O,O,O,X,X,X,O,O,X,X
TIZLJSO,O,X,O,X,O,O,O,X,O,O,X
TIZLJOS,O,X,O,X,X,O,X,X,O,X,X
TIZLSJO,O,X,O,X,O,O,O,X,X,X,X
TIZLSOJ,O,X,O,X,O,O,O,X,X,X,X
TIZLOJS,X,X,O,X,X,O,X,X,O,X,X
TIZLOSJ,O,X,O,X,X,O,O,X,X,X,X
TIZJLSO,O,O,O,X,X,X,X,O,O,O,X
TIZJLOS,O,O,O,X,X,X,X,X,O,X,X
TIZJSLO,O,O,O,O,X,O,X,O,O,O,X
TIZJSOL,O,O,O,O,X,O,X,O,O,O,X
TIZJOLS,O,O,O,X,X,X,X,X,O,X,X
TIZJOSL,O,O,O,O,X,O,X,X,O,O,X
TIZSLJO,O,O,O,O,O,O,O,X,X,X,X
TIZSLOJ,O,X,O,X,O,O,O,X,X,X,X
TIZSJLO,O,O,O,O,X,O,X,O,O,O,X
TIZSJOL,O,O,O,O,X,O,X,O,O,O,X
TIZSOLJ,O,X,O,X,O,O,O,X,X,X,X
TIZSOJL,O,O,O,O,X,O,X,O,O,X,X
TIZOLJS,X,X,O,X,X,O,X,X,O,X,X
TIZOLSJ,O,X,O,X,X,O,X,X,X,X,X
TIZOJLS,O,O,O,X,X,X,X,X,O,X,X
TIZOJSL,O,O,O,O,X,O,X,X,O,O,X
TIZOSLJ,O,O,O,O,X,O,X,X,X,X,X
TIZOSJL,O,O,O,O,X,O,X,X,O,X,X
TIOLJSZ,X,O,O,O,O,X,X,X,X,X,X
TIOLJZS,X,O,X,O,X,O,X,X,X,X,X
TIOLSJZ,O,O,O,O,O,X,O,X,X,X,X
TIOLSZJ,O,O,O,O,O,X,O,X,X,X,X
TIOLZJS,X,X,O,O,X,O,X,X,O,X,X
TIOLZSJ,X,X,O,O,X,O,O,X,X,X,X
TIOJLSZ,X,O,O,O,X,X,X,O,X,X,X
TIOJLZS,X,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,O,O,X,X,X,O,X,O,X
TIOJSZL,X,O,O,O,X,X,X,O,X,O,X
TIOJZLS,X,O,O,X,X,X,X,X,O,X,X
TIOJZSL,X,O,O,O,X,O,X,X,O,O,X
TIOSLJZ,O,O,O,O,O,X,O,O,X,X,X
TIOSLZJ,O,O,O,O,O,X,O,X,X,X,X
TIOSJLZ,O,O,O,O,O,X,O,O,X,X,X
TIOSJZL,O,O,O,O,X,X,X,O,X,X,X
TIOSZLJ,O,O,O,O,O,X,O,X,X,X,X
TIOSZJL,O,O,O,O,X,X,X,O,O,X,X
TIOZLJS,X,X,O,X,X,O,X,X,O,X,X
TIOZLSJ,O,X,O,X,X,O,X,X,X,X,X
TIOZJLS,O,O,O,X,X,X,X,X,O,X,X
TIOZJSL,O,O,O,O,X,O,X,X,O,O,X
TIOZSLJ,O,O,O,O,X,O,X,X,X,X,X
TIOZSJL,O,O,O,O,X,O,X,X,O,X,X
TLIJSZO,X,O,O,O,O,X,O,O,X,O,O
TLIJSOZ,O,O,X,O,O,X,O,O,X,O,O
TLIJZSO,X,O,X,O,O,O,O,O,X,O,O
TLIJZOS,X,O,X,O,X,O,X,X,X,X,O
TLIJOSZ,X,O,X,O,O,X,X,O,X,X,O
TLIJOZS,X,O,X,O,X,O,X,X,X,X,O
TLISJZO,X,O,O,O,O,X,O,O,X,X,X
TLISJOZ,O,O,X,O,O,X,O,O,X,X,X
TLISZJO,O,O,O,O,O,X,O,X,X,X,X
TLISZOJ,O,X,O,O,O,X,O,X,X,X,X
TLISOJZ,O,X,X,O,O,X,O,O,X,X,X
TLISOZJ,O,X,O,O,O,X,O,X,X,X,X
TLIZJSO,O,X,O,O,O,O,O,X,O,O,X
TLIZJOS,O,X,O,O,X,O,X,X,O,X,X
TLIZSJO,O,X,O,O,O,O,O,X,X,X,X
TLIZSOJ,O,X,O,O,O,O,O,X,X,X,X
TLIZOJS,X,X,X,O,X,O,X,X,O,X,X
TLIZOSJ,O,X,O,O,X,O,O,X,X,X,X
TLIOJSZ,X,O,O,O,O,X,X,X,X,X,X
TLIOJZS,X,O,X,O,X,O,X,X,X,X,X
TLIOSJZ,O,O,O,O,O,X,O,X,X,X,X
TLIOSZJ,O,O,O,O,O,X,O,X,X,X,X
TLIOZJS,X,X,X,O,X,O,X,X,O,X,X
TLIOZSJ,X,X,O,O,X,O,O,X,X,X,X
TLJISZO,X,O,O,O,O,X,O,O,X,O,O
TLJISOZ,O,O,X,O,O,X,O,O,X,O,O
TLJIZSO,X,O,X,O,O,O,O,O,X,O,O
TLJIZOS,X,O,X,O,X,O,X,X,X,X,O
TLJIOSZ,X,O,X,O,O,X,X,O,X,X,O
TLJIOZS,X,O,X,O,X,O,X,X,X,X,O
TLJSIZO,X,O,O,O,O,X,O,O,X,O,O
TLJSIOZ,O,O,X,O,O,X,O,O,X,O,O
TLJSZIO,X,O,X,O,O,O,O,O,X,O,O
TLJSZOI,X,O,X,O,O,O,O,O,X,O,O
TLJSOIZ,O,O,X,O,O,X,O,O,X,O,O
TLJSOZI,X,O,X,O,O,O,O,O,X,O,O
TLJZISO,X,O,X,O,O,O,O,O,X,O,O
TLJZIOS,X,O,X,O,X,O,X,X,X,X,O
TLJZSIO,X,O,X,O,O,O,O,O,X,O,O
TLJZSOI,X,O,X,O,O,O,O,O,X,O,O
TLJZOIS,X,O,X,O,X,O,X,X,X,X,O
TLJZOSI,X,O,X,O,X,O,X,X,X,X,O
TLJOISZ,X,O,X,O,O,X,X,O,X,X,O
TLJOIZS,X,O,X,O,X,O,X,X,X,X,O
TLJOSIZ,X,O,X,O,O,X,X,O,X,X,O
TLJOSZI,X,O,X,O,O,O,X,O,X,X,O
TLJOZIS,X,O,X,O,X,O,X,X,X,X,O
TLJOZSI,X,O,X,O,X,O,X,X,X,X,O
TLSIJZO,X,O,O,O,O,X,O,O,X,X,X
TLSIJOZ,O,O,X,O,O,X,O,O,X,X,X
TLSIZJO,O,O,O,O,O,X,O,X,X,X,X
TLSIZOJ,O,X,O,O,O,X,O,X,X,X,X
TLSIOJZ,O,X,X,O,O,X,O,O,X,X,X
TLSIOZJ,O,X,O,O,O,X,O,X,X,X,X
TLSJIZO,X,O,O,O,O,X,O,O,X,O,X
TLSJIOZ,O,O,X,O,O,X,O,O,X,O,X
TLSJZIO,X,O,X,O,O,O,O,O,X,O,X
TLSJZOI,X,O,X,O,O,O,O,O,X,O,X
TLSJOIZ,O,O,X,O,O,X,O,O,X,O,X
TLSJOZI,X,O,X,O,O,O,O,O,X,O,X
TLSZIJO,O,O,O,O,O,O,O,X,X,X,X
TLSZIOJ,O,X,O,O,O,O,O,X,X,X,X
TLSZJIO,O,O,O,O,O,O,O,O,X,O,X
TLSZJOI,O,O,O,O,O,O,O,O,X,O,X
TLSZOIJ,O,X,O,O,O,O,O,X,X,X,X
TLSZOJI,O,X,O,O,O,O,O,O,X,X,X
TLSOIJZ,O,O,X,O,O,X,O,O,X,X,X
TLSOIZJ,O,O,O,O,O,X,O,X,X,X,X
TLSOJIZ,O,O,X,O,O,X,O,O,X,X,X
TLSOJZI,X,O,X,O,O,O,O,O,X,X,X
TLSOZIJ,O,O,X,O,O,O,O,X,X,X,X
TLSOZJI,O,O,X,O,O,O,O,O,X,X,X
TLZIJSO,O,X,O,O,O,O,O,X,O,O,X
TLZIJOS,O,X,O,O,X,O,X,X,O,X,X
TLZISJO,O,X,O,O,O,O,O,X,X,X,X
TLZISOJ,O,X,O,O,O,O,O,X,X,X,X
TLZIOJS,X,X,X,O,X,O,X,X,O,X,X
TLZIOSJ,O,X,O,O,X,O,O,X,X,X,X
TLZJISO,O,X,O,O,O,O,O,O,O,O,X
TLZJIOS,O,X,O,O,X,O,X,X,O,X,X
TLZJSIO,O,X,O,O,O,O,O,O,O,O,X
TLZJSOI,O,X,O,O,O,O,O,O,O,O,X
TLZJOIS,O,X,O,O,X,O,X,X,O,X,X
TLZJOSI,O,X,O,O,X,O,X,X,O,X,X
TLZSIJO,O,X,O,O,O,O,O,X,X,X,X
TLZSIOJ,O,X,O,O,O,O,O,X,X,X,X
TLZSJIO,O,X,O,O,O,O,O,O,O,O,X
TLZSJOI,O,X,O,O,O,O,O,O,O,O,X
TLZSOIJ,O,X,O,O,O,O,O,X,X,X,X
TLZSOJI,O,X,O,O,O,O,O,O,O,X,X
TLZOIJS,X,X,X,O,X,O,X,X,O,X,X
TLZOISJ,O,X,O,O,X,O,O,X,X,X,X
TLZOJIS,O,X,O,O,X,O,X,X,O,X,X
TLZOJSI,O,X,O,O,X,O,X,X,O,X,X
TLZOSIJ,O,X,O,O,X,O,O,X,X,X,X
TLZOSJI,O,X,O,O,X,O,O,X,O,X,X
TLOIJSZ,X,O,O,O,O,X,X,X,X,X,X
TLOIJZS,X,O,X,O,X,O,X,X,X,X,X
TLOISJZ,O,O,O,O,O,X,O,X,X,X,X
TLOISZJ,O,O,O,O,O,X,O,X,X,X,X
TLOIZJS,X,X,X,O,X,O,X,X,O,X,X
TLOIZSJ,X,X,O,O,X,O,O,X,X,X,X
TLOJISZ,X,O,O,O,O,X,X,O,X,X,O
TLOJIZS,X,O,X,O,X,O,X,X,X,X,O
TLOJSIZ,X,O,O,O,O,X,X,O,X,X,O
TLOJSZI,X,O,X,O,O,O,X,O,X,X,O
TLOJZIS,X,O,X,O,X,O,X,X,X,X,O
TLOJZSI,X,O,X,O,X,O,X,X,X,X,O
TLOSIJZ,O,O,O,O,O,X,O,O,X,X,X
TLOSIZJ,O,O,O,O,O,X,O,X,X,X,X
TLOSJIZ,O,O,O,O,O,X,O,O,X,X,X
TLOSJZI,X,O,X,O,O,O,O,O,X,X,X
TLOSZIJ,O,O,O,O,O,O,O,X,X,X,X
TLOSZJI,X,O,X,O,O,O,O,O,X,X,X
TLOZIJS,X,X,X,O,X,O,X,X,O,X,X
TLOZISJ,X,X,O,O,X,O,O,X,X,X,X
TLOZJIS,X,X,X,O,X,O,X,X,O,X,X
TLOZJSI,X,X,X,O,X,O,X,X,O,X,X
TLOZSIJ,X,X,O,O,X,O,O,X,X,X,X
TLOZSJI,X,X,X,O,X,O,O,X,O,X,X
TJILSZO,X,O,O,O,O,X,O,O,X,O,O
TJILSOZ,O,O,X,X,O,X,O,O,X,O,O
TJILZSO,X,O,X,X,O,X,O,O,X,O,O
TJILZOS,X,O,X,X,X,X,X,X,X,X,O
TJILOSZ,X,O,X,O,O,X,X,O,X,X,O
TJILOZS,X,O,X,X,X,X,X,X,X,X,O
TJISLZO,X,O,O,O,O,X,O,O,X,O,X
TJISLOZ,O,O,X,X,O,X,O,O,X,O,X
TJISZLO,O,O,O,O,X,X,X,O,X,O,X
TJISZOL,O,O,O,O,X,X,X,O,X,O,X
TJISOLZ,O,O,X,O,O,X,O,O,X,O,X
TJISOZL,O,O,X,O,X,X,X,O,X,O,X
TJIZLSO,O,O,O,X,X,X,X,O,O,O,X
TJIZLOS,O,O,O,X,X,X,X,X,O,X,X
TJIZSLO,O,O,O,O,X,O,X,O,O,O,X
TJIZSOL,O,O,O,O,X,O,X,O,O,O,X
TJIZOLS,O,O,O,X,X,X,X,X,O,X,X
TJIZOSL,O,O,O,O,X,O,X,X,O,O,X
TJIOLSZ,X,O,X,O,X,X,X,O,X,X,X
TJIOLZS,X,O,X,X,X,X,X,X,X,X,X
TJIOSLZ,X,O,X,O,X,X,X,O,X,O,X
TJIOSZL,X,O,X,O,X,X,X,O,X,O,X
TJIOZLS,X,O,X,X,X,X,X,X,O,X,X
TJIOZSL,X,O,X,O,X,O,X,X,O,O,X
TJLISZO,X,O,O,O,O,X,O,O,X,O,O
TJLISOZ,O,O,X,O,O,X,O,O,X,O,O
TJLIZSO,X,O,X,O,O,O,O,O,X,O,O
TJLIZOS,X,O,X,O,X,O,X,X,X,X,O
TJLIOSZ,X,O,X,O,O,X,X,O,X,X,O
TJLIOZS,X,O,X,O,X,O,X,X,X,X,O
TJLSIZO,X,O,O,O,O,X,O,O,X,O,O
TJLSIOZ,O,O,X,O,O,X,O,O,X,O,O
TJLSZIO,X,O,X,O,O,O,O,O,X,O,O
TJLSZOI,X,O,X,O,O,O,O,O,X,O,O
TJLSOIZ,O,O,X,O,O,X,O,O,X,O,O
TJLSOZI,X,O,X,O,O,O,O,O,X,O,O
TJLZISO,X,O,X,O,O,O,O,O,X,O,O
TJLZIOS,X,O,X,O,X,O,X,X,X,X,O
TJLZSIO,X,O,X,O,O,O,O,O,X,O,O
TJLZSOI,X,O,X,O,O,O,O,O,X,O,O
TJLZOIS,X,O,X,O,X,O,X,X,X,X,O
TJLZOSI,X,O,X,O,X,O,X,X,X,X,O
TJLOISZ,X,O,X,O,O,X,X,O,X,X,O
TJLOIZS,X,O,X,O,X,O,X,X,X,X,O
TJLOSIZ,X,O,X,O,O,X,X,O,X,X,O
TJLOSZI,X,O,X,O,O,O,X,O,X,X,O
TJLOZIS,X,O,X,O,X,O,X,X,X,X,O
TJLOZSI,X,O,X,O,X,O,X,X,X,X,O
TJSILZO,X,O,O,O,O,X,O,O,X,O,X
TJSILOZ,O,O,X,X,O,X,O,O,X,O,X
TJSIZLO,O,O,O,O,X,X,X,O,X,O,X
TJSIZOL,O,O,O,O,X,X,X,O,X,O,X
TJSIOLZ,O,O,X,O,O,X,O,O,X,O,X
TJSIOZL,O,O,X,O,X,X,X,O,X,O,X
TJSLIZO,X,O,O,O,O,X,O,O,X,O,X
TJSLIOZ,O,O,X,O,O,X,O,O,X,O,X
TJSLZIO,X,O,X,O,O,X,O,O,X,O,X
TJSLZOI,X,O,X,O,O,X,O,O,X,O,X
TJSLOIZ,O,O,X,O,O,X,O,O,X,O,X
TJSLOZI,X,O,X,O,O,X,O,O,X,O,X
TJSZILO,O,O,O,O,X,O,X,O,X,O,X
TJSZIOL,O,O,O,O,X,O,X,O,X,O,X
TJSZLIO,O,O,O,O,O,O,O,O,X,O,X
TJSZLOI,O,O,O,O,O,O,O,O,X,O,X
TJSZOIL,O,O,O,O,X,O,X,O,X,O,X
TJSZOLI,O,O,O,O,O,O,O,O,X,O,X
TJSOILZ,O,O,X,O,O,X,O,O,X,O,X
TJSOIZL,O,O,X,O,X,X,X,O,X,O,X
TJSOLIZ,O,O,X,O,O,X,O,O,X,O,X
TJSOLZI,X,O,X,O,O,X,O,O,X,O,X
TJSOZIL,O,O,X,O,X,O,X,O,X,O,X
TJSOZLI,O,O,X,O,O,O,O,O,X,O,X
TJZILSO,O,O,O,X,X,X,X,O,O,O,X
TJZILOS,O,O,O,X,X,X,X,X,O,X,X
TJZISLO,O,O,O,O,X,O,X,O,O,O,X
TJZISOL,O,O,O,O,X,O,X,O,O,O,X
TJZIOLS,O,O,O,X,X,X,X,X,O,X,X
TJZIOSL,O,O,O,O,X,O,X,X,O,O,X
TJZLISO,O,O,O,X,O,O,O,O,O,O,X
TJZLIOS,O,O,O,X,X,O,X,X,O,X,X
TJZLSIO,O,O,O,X,O,O,O,O,O,O,X
TJZLSOI,O,O,O,X,O,O,O,O,O,O,X
TJZLOIS,O,O,O,X,X,O,X,X,O,X,X
TJZLOSI,O,O,O,X,X,O,X,X,O,X,X
TJZSILO,O,O,O,O,X,O,X,O,O,O,X
TJZSIOL,O,O,O,O,X,O,X,O,O,O,X
TJZSLIO,O,O,O,O,O,O,O,O,O,O,X
TJZSLOI,O,O,O,X,O,O,O,O,O,O,X
TJZSOIL,O,O,O,O,X,O,X,O,O,O,X
TJZSOLI,O,O,O,O,O,O,O,O,O,O,X
TJZOILS,O,O,O,X,X,X,X,X,O,X,X
TJZOISL,O,O,O,O,X,O,X,X,O,O,X
TJZOLIS,O,O,O,X,X,O,X,X,O,X,X
TJZOLSI,O,O,O,X,X,O,X,X,O,X,X
TJZOSIL,O,O,O,O,X,O,X,X,O,O,X
TJZOSLI,O,O,O,O,X,O,X,X,O,O,X
TJOILSZ,X,O,X,O,X,X,X,O,X,X,X
TJOILZS,X,O,X,X,X,X,X,X,X,X,X
TJOISLZ,X,O,X,O,X,X,X,O,X,O,X
TJOISZL,X,O,X,O,X,X,X,O,X,O,X
TJOIZLS,X,O,X,X,X,X,X,X,O,X,X
TJOIZSL,X,O,X,O,X,O,X,X,O,O,X
TJOLISZ,X,O,X,O,O,X,X,O,X,X,O
TJOLIZS,X,O,X,O,X,O,X,X,X,X,O
TJOLSIZ,X,O,X,O,O,X,X,O,X,X,O
TJOLSZI,X,O,X,O,O,O,X,O,X,X,O
TJOLZIS,X,O,X,O,X,O,X,X,X,X,O
TJOLZSI,X,O,X,O,X,O,X,X,X,X,O
TJOSILZ,X,O,X,O,O,X,X,O,X,O,X
TJOSIZL,X,O,X,O,X,X,X,O,X,O,X
TJOSLIZ,X,O,X,O,O,X,X,O,X,O,X
TJOSLZI,X,O,X,O,O,X,X,O,X,O,X
TJOSZIL,X,O,X,O,X,O,X,O,X,O,X
TJOSZLI,X,O,X,O,O,O,X,O,X,O,X
TJOZILS,X,O,X,X,X,X,X,X,O,X,X
TJOZISL,X,O,X,O,X,O,X,X,O,O,X
TJOZLIS,X,O,X,X,X,O,X,X,O,X,X
TJOZLSI,X,O,X,X,X,O,X,X,O,X,X
TJOZSIL,X,O,X,O,X,O,X,X,O,O,X
TJOZSLI,X,O,X,O,X,O,X,X,O,O,X
TSILJZO,X,O,O,O,O,X,O,O,X,X,X
TSILJOZ,O,O,X,O,O,X,O,O,X,X,X
TSILZJO,O,O,O,O,O,X,O,X,X,X,X
TSILZOJ,O,X,O,O,O,X,O,X,X,X,X
TSILOJZ,O,X,X,O,O,X,O,O,X,X,X
TSILOZJ,O,X,O,O,O,X,O,X,X,X,X
TSIJLZO,X,O,O,O,O,X,O,O,X,O,X
TSIJLOZ,O,O,X,X,O,X,O,O,X,O,X
TSIJZLO,O,O,O,O,X,X,X,O,X,O,X
TSIJZOL,O,O,O,O,X,X,X,O,X,O,X
TSIJOLZ,O,O,X,O,O,X,O,O,X,O,X
TSIJOZL,O,O,X,O,X,X,X,O,X,O,X
TSIZLJO,O,O,O,O,O,X,O,X,X,X,X
TSIZLOJ,O,X,O,O,O,X,O,X,X,X,X
TSIZJLO,O,O,O,O,X,X,X,O,O,O,X
TSIZJOL,O,O,O,O,X,X,X,O,O,O,X
TSIZOLJ,O,X,O,X,O,X,O,X,X,X,X
TSIZOJL,O,O,O,O,X,X,X,O,O,X,X
TSIOLJZ,O,O,X,O,O,X,O,O,X,X,X
TSIOLZJ,O,O,O,O,O,X,O,X,X,X,X
TSIOJLZ,O,O,X,O,O,X,O,O,X,X,X
TSIOJZL,O,O,X,O,X,X,X,O,X,X,X
TSIOZLJ,O,O,O,O,O,X,O,X,X,X,X
TSIOZJL,O,O,O,O,X,X,X,O,O,X,X
TSLIJZO,X,O,O,O,O,X,O,O,X,X,X
TSLIJOZ,O,O,X,O,O,X,O,O,X,X,X
TSLIZJO,O,O,O,O,O,X,O,X,X,X,X
TSLIZOJ,O,X,O,O,O,X,O,X,X,X,X
TSLIOJZ,O,X,X,O,O,X,O,O,X,X,X
TSLIOZJ,O,X,O,O,O,X,O,X,X,X,X
TSLJIZO,X,O,O,O,O,X,O,O,X,O,X
TSLJIOZ,O,O,X,O,O,X,O,O,X,O,X
TSLJZIO,X,O,X,O,O,O,O,O,X,O,X
TSLJZOI,X,O,X,O,O,O,O,O,X,O,X
TSLJOIZ,O,O,X,O,O,X,O,O,X,O,X
TSLJOZI,X,O,X,O,O,O,O,O,X,O,X
TSLZIJO,O,O,O,O,O,O,O,X,X,X,X
TSLZIOJ,O,X,O,O,O,O,O,X,X,X,X
TSLZJIO,O,O,O,O,O,O,O,O,X,O,X
TSLZJOI,O,O,O,O,O,O,O,O,X,O,X
TSLZOIJ,O,X,O,O,O,O,O,X,X,X,X
TSLZOJI,O,X,O,O,O,O,O,O,X,X,X
TSLOIJZ,O,O,X,O,O,X,O,O,X,X,X
TSLOIZJ,O,O,O,O,O,X,O,X,X,X,X
TSLOJIZ,O,O,X,O,O,X,O,O,X,X,X
TSLOJZI,X,O,X,O,O,O,O,O,X,X,X
TSLOZIJ,O,O,X,O,O,O,O,X,X,X,X
TSLOZJI,O,O,X,O,O,O,O,O,X,X,X
TSJILZO,X,O,O,O,O,X,O,O,X,O,X
TSJILOZ,O,O,X,X,O,X,O,O,X,O,X
TSJIZLO,O,O,O,O,X,X,X,O,X,O,X
TSJIZOL,O,O,O,O,X,X,X,O,X,O,X
TSJIOLZ,O,O,X,O,O,X,O,O,X,O,X
TSJIOZL,O,O,X,O,X,X,X,O,X,O,X
TSJLIZO,X,O,O,O,O,X,O,O,X,O,X
TSJLIOZ,O,O,X,O,O,X,O,O,X,O,X
TSJLZIO,X,O,X,O,O,X,O,O,X,O,X
TSJLZOI,X,O,X,O,O,X,O,O,X,O,X
TSJLOIZ,O,O,X,O,O,X,O,O,X,O,X
TSJLOZI,X,O,X,O,O,X,O,O,X,O,X
TSJZILO,O,O,O,O,X,O,X,O,X,O,X
TSJZIOL,O,O,O,O,X,O,X,O,X,O,X
TSJZLIO,O,O,O,O,O,O,O,O,X,O,X
TSJZLOI,O,O,O,O,O,O,O,O,X,O,X
TSJZOIL,O,O,O,O,X,O,X,O,X,O,X
