sequence,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeZEJvhFXhBliBzkBU?nBGlByvB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeZEJvhFUgBFhBfqBG?nBinBzqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeZEJvhFzfBFhBfrBG?nBinBUqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeZEJvhFqkBTgBliBU?nB3qBOrB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeUBJvhFRiBOpBKqBf?rBTsBlpB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeZEJvhFVmBanBunBz?kBfrBUqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8Jex/IvhFXhBliBUnBm?pBzqBipB,v115@GhA8HeB8EeA8BeB8AeA8CeE8Je3CJvhFOpBxlBlkBU?nBiqBzqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeRCJvhF3kBFmBTnB0?qBOpBiqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeUBJvhFRiB1pBfrBT?nBOpBKqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8Je2EJvhFVmBRiBTnBf?rBipBUqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeUCJvhFOpBxlBlkB3?nBiqBzqB
TIOSJLZ,X,O,X,X,X,O,O,X,X,O,X,X
TIOSJZL,X,O,X,X,X,X,O,X,X,O,X,X
TIOSZLJ,X,O,X,X,X,X,O,X,O,O,X,X
TIOSZJL,X,O,X,X,X,X,O,X,O,O,X,X
TIOZLJS,O,X,X,X,X,O,X,X,X,X,O,X
TIOZLSJ,O,X,X,X,X,X,X,X,O,X,X,X
TIOZJLS,O,X,X,X,X,O,X,X,X,X,X,X
TIOZJSL,O,O,X,X,X,X,X,X,O,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,X,O,O,X,X
TIOZSJL,O,O,X,X,X,X,X,X,O,O,X,X
TLIJSZO,X,X,X,X,X,X,X,O,X,X,X,X
TLIJSOZ,X,X,X,X,X,O,X,O,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,X,X,X,O
TLIJZOS,X,X,X,X,X,O,X,X,X,X,X,O
TLIJOSZ,X,X,X,X,X,O,X,X,X,X,O,X
TLIJOZS,X,X,X,X,X,O,X,X,X,X,O,X
TLISJZO,X,X,X,X,X,X,X,O,X,X,X,X
TLISJOZ,X,X,X,X,X,O,X,O,X,X,X,X
TLISZJO,O,X,X,O,X,X,X,X,X,X,X,X
TLISZOJ,O,X,X,O,X,X,X,X,X,X,X,X
TLISOJZ,X,X,X,X,X,O,X,X,X,X,X,X
TLISOZJ,O,X,X,O,X,X,X,X,X,X,X,X
TLIZJSO,O,X,X,O,X,X,X,X,X,X,X,O
TLIZJOS,O,X,X,X,X,O,X,X,X,X,X,O
TLIZSJO,O,X,X,O,X,X,X,X,X,X,X,X
TLIZSOJ,O,X,X,O,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,O,X,X,X,X,X,X
TLIZOSJ,O,X,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,O,X,X,X,X,O,X
TLIOJZS,X,X,X,X,X,O,X,X,X,X,O,X
TLIOSJZ,X,X,X,X,X,O,X,X,X,X,O,X
TLIOSZJ,O,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,O,X,X,X,X,O,X
TLIOZSJ,O,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,O,X,X,X,X
TLJISOZ,X,X,X,X,X,O,X,O,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,X,X,X,O
TLJIZOS,X,X,X,X,X,O,X,X,X,X,X,O
TLJIOSZ,X,X,X,X,X,O,X,X,X,X,O,X
TLJIOZS,X,X,X,X,X,O,X,X,X,X,O,X
TLJSIZO,X,X,X,X,X,X,X,O,X,X,X,X
TLJSIOZ,X,X,X,X,X,O,X,O,X,X,X,X
TLJSZIO,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,O,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,O,O,X,X,X,X,O,X
TLJSOZI,X,X,X,X,O,X,X,X,X,X,O,X
TLJZISO,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,O,X,X,X,X,X,X
TLJZSIO,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,O,X,X,X,X,O,X
TLJZOSI,X,X,X,X,X,X,X,X,X,X,O,X
TLJOISZ,X,X,X,X,O,O,X,X,X,X,O,X
TLJOIZS,X,X,X,X,X,O,X,X,X,X,O,X
TLJOSIZ,X,X,X,X,O,O,O,X,X,X,O,X
TLJOSZI,X,X,X,X,O,X,X,X,X,X,O,X
TLJOZIS,X,X,X,X,X,O,X,X,X,X,O,X
TLJOZSI,X,X,X,X,X,X,X,X,X,X,O,X
TLSIJZO,X,X,X,X,X,X,X,O,X,X,X,X
TLSIJOZ,X,X,X,X,X,O,X,O,X,X,X,X
TLSIZJO,O,X,X,O,X,X,X,X,X,X,X,X
TLSIZOJ,O,X,X,O,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,O,X,X,X,X,X,X
TLSIOZJ,O,X,X,O,X,X,X,X,X,X,X,X
TLSJIZO,X,X,X,X,X,X,X,O,X,X,X,X
TLSJIOZ,X,X,X,X,X,O,X,O,X,X,X,X
TLSJZIO,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,O,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,O,O,X,X,X,X,O,X
TLSJOZI,X,X,X,X,O,X,X,X,X,X,O,X
TLSZIJO,O,X,X,O,X,X,X,X,X,X,X,X
TLSZIOJ,O,X,X,O,X,X,X,X,X,X,X,X
TLSZJIO,O,X,X,O,X,X,X,X,X,X,X,X
TLSZJOI,O,X,X,O,O,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,O,O,X,X,X,X,O,X,X
TLSZOJI,O,X,X,O,O,X,X,X,X,O,X,X
TLSOIJZ,X,X,X,X,O,O,X,X,X,O,O,X
TLSOIZJ,O,X,X,O,O,X,X,X,X,O,X,X
TLSOJIZ,X,X,X,X,O,O,X,X,X,O,O,X
TLSOJZI,X,X,X,X,O,X,X,X,X,O,O,X
TLSOZIJ,O,X,X,O,O,X,X,X,X,O,X,X
TLSOZJI,O,X,X,O,O,X,X,X,X,O,X,X
TLZIJSO,O,X,X,O,X,X,X,X,X,X,X,X
TLZIJOS,O,X,X,X,X,O,X,X,X,X,X,X
TLZISJO,O,X,X,O,X,X,X,X,X,X,X,X
TLZISOJ,O,X,X,O,X,X,X,X,X,X,X,X
TLZIOJS,O,X,X,X,X,O,X,X,X,X,X,X
TLZIOSJ,O,X,X,O,X,X,X,X,X,X,X,X
TLZJISO,O,X,X,O,X,X,X,X,X,X,X,X
TLZJIOS,O,X,X,X,X,O,X,X,X,X,X,X
TLZJSIO,O,X,X,O,X,X,X,X,X,X,X,X
TLZJSOI,O,X,X,O,X,X,X,X,X,X,X,X
TLZJOIS,O,X,X,X,X,O,X,X,X,X,O,X
TLZJOSI,O,X,X,X,X,X,X,X,X,X,O,X
TLZSIJO,O,X,X,O,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,X,O,X,X,X,X,X,X,X,X
TLZSJIO,O,X,X,O,X,X,X,X,X,X,X,X
TLZSJOI,O,X,X,O,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,O,X,X,X,X,O,X,X,X
TLZSOJI,O,X,X,O,X,X,X,X,O,X,X,X
TLZOIJS,O,X,X,X,X,O,X,X,X,X,O,X
TLZOISJ,O,X,X,O,X,X,X,X,O,X,X,X
TLZOJIS,O,X,X,X,X,O,X,X,X,X,O,X
TLZOJSI,O,X,X,X,X,X,X,X,X,X,O,X
TLZOSIJ,O,X,X,O,X,X,X,X,O,X,X,X
TLZOSJI,O,X,X,O,X,X,X,X,O,X,X,X
TLOIJSZ,X,X,X,X,O,O,X,X,X,X,O,X
TLOIJZS,X,X,X,X,X,O,X,X,X,X,O,X
TLOISJZ,X,X,X,X,O,O,X,X,X,O,O,X
TLOISZJ,O,X,X,X,O,X,X,X,X,O,X,X
TLOIZJS,O,X,X,X,X,O,X,X,X,X,O,X
TLOIZSJ,O,X,X,X,X,X,X,X,O,X,X,X
TLOJISZ,X,X,X,X,O,O,X,X,X,X,O,X
TLOJIZS,X,X,X,X,X,O,X,X,X,X,O,X
TLOJSIZ,X,X,X,X,O,O,O,X,X,X,O,X
TLOJSZI,X,X,X,X,O,X,X,X,X,X,O,X
TLOJZIS,X,X,X,X,X,O,X,X,X,X,O,X
TLOJZSI,X,X,X,X,X,X,X,X,X,X,O,X
TLOSIJZ,X,X,X,X,O,O,O,X,X,O,O,X
TLOSIZJ,O,X,X,X,O,X,O,X,X,O,X,X
TLOSJIZ,X,X,X,X,O,O,O,X,X,O,O,X
TLOSJZI,X,X,X,X,O,X,X,X,X,O,O,X
TLOSZIJ,O,X,X,X,O,X,X,X,X,O,X,X
TLOSZJI,O,X,X,X,O,X,X,X,X,O,X,X
TLOZIJS,O,X,X,X,X,O,X,X,X,X,O,X
TLOZISJ,O,X,X,X,X,X,X,X,O,X,X,X
TLOZJIS,O,X,X,X,X,O,X,X,X,X,O,X
TLOZJSI,O,X,X,X,X,X,X,X,X,X,O,X
TLOZSIJ,O,X,X,X,X,X,X,X,O,X,X,X
TLOZSJI,O,X,X,X,X,X,X,X,O,X,X,X
TJILSZO,X,O,O,X,X,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,O,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,O,X,X,X,X,X,X
TJILOSZ,X,O,X,X,X,O,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,O,X,X,X,X,X,X
TJISLZO,X,O,O,X,X,X,X,O,X,X,X,X
TJISLOZ,X,X,X,X,X,O,X,O,X,X,X,X
TJISZLO,X,O,O,X,X,X,X,O,X,X,X,X
TJISZOL,X,O,O,X,X,X,X,O,X,X,X,X
TJISOLZ,X,O,X,X,X,O,X,O,X,X,X,X
TJISOZL,X,O,O,X,X,X,X,O,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X,X,X,X,X,O
TJIZLOS,X,X,X,X,X,O,X,X,X,X,X,O
TJIZSLO,X,O,O,X,X,X,X,X,X,X,X,O
TJIZSOL,X,O,O,X,X,X,X,X,X,X,X,O
TJIZOLS,X,X,X,X,X,O,X,X,X,X,X,O
TJIZOSL,X,O,O,X,X,X,X,X,X,X,X,O
TJIOLSZ,X,O,X,X,X,O,X,X,X,X,X,X
TJIOLZS,X,X,X,X,X,O,X,X,X,X,X,X
TJIOSLZ,X,O,X,X,X,O,O,X,X,X,X,X
TJIOSZL,X,O,O,X,X,X,O,X,X,X,X,X
TJIOZLS,X,X,X,X,X,O,X,X,X,X,X,X
TJIOZSL,X,O,X,X,X,X,X,X,X,X,X,X
TJLISZO,X,O,O,X,X,X,X,O,X,X,X,X
TJLISOZ,X,X,X,X,X,O,X,O,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X,X,X,X,O
TJLIZOS,X,X,X,X,X,O,X,X,X,X,X,O
TJLIOSZ,X,O,X,X,X,O,X,X,X,X,O,X
TJLIOZS,X,X,X,X,X,O,X,X,X,X,O,X
TJLSIZO,X,O,O,X,X,X,X,O,X,X,X,X
TJLSIOZ,X,X,X,X,X,O,X,O,X,X,X,X
TJLSZIO,X,O,X,X,X,X,X,X,X,X,X,X
TJLSZOI,X,X,X,X,O,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,O,O,X,X,X,X,O,X
TJLSOZI,X,X,X,X,O,X,X,X,X,X,O,X
TJLZISO,X,X,X,X,X,X,X,X,X,X,X,X
TJLZIOS,X,X,X,X,X,O,X,X,X,X,X,X
TJLZSIO,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,O,X,X,X,X,O,X
TJLZOSI,X,X,X,X,X,X,X,X,X,X,O,X
TJLOISZ,X,O,X,X,O,O,X,X,X,X,O,X
TJLOIZS,X,X,X,X,X,O,X,X,X,X,O,X
TJLOSIZ,X,O,X,X,O,O,O,X,X,X,O,X
TJLOSZI,X,O,X,X,O,X,X,X,X,X,O,X
TJLOZIS,X,X,X,X,X,O,X,X,X,X,O,X
TJLOZSI,X,X,X,X,X,X,X,X,X,X,O,X
TJSILZO,X,O,O,X,X,X,X,O,X,X,X,X
TJSILOZ,X,X,X,X,X,O,X,O,X,X,X,X
TJSIZLO,X,O,O,X,X,X,X,O,X,X,X,X
TJSIZOL,X,O,O,X,X,X,X,O,X,X,X,X
TJSIOLZ,X,O,X,X,X,O,X,O,X,X,X,X
TJSIOZL,X,O,O,X,X,X,X,O,X,X,X,X
TJSLIZO,X,O,O,X,X,X,X,O,X,X,X,X
TJSLIOZ,X,X,X,X,X,O,X,O,X,X,X,X
TJSLZIO,X,O,X,X,X,X,X,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,O,X,X,X,X,X,X
TJSLOZI,X,X,X,X,X,X,X,X,X,X,X,X
TJSZILO,X,O,O,X,X,X,X,X,X,X,X,X
TJSZIOL,X,O,O,X,X,X,X,X,X,X,X,X
TJSZLIO,X,O,X,X,X,X,X,X,X,X,X,X
TJSZLOI,X,X,X,X,X,X,X,X,X,X,X,X
TJSZOIL,X,O,X,X,X,X,X,X,X,O,X,X
TJSZOLI,X,X,X,X,X,X,X,X,X,O,X,X
TJSOILZ,X,O,X,X,X,O,O,X,X,O,X,X
TJSOIZL,X,O,O,X,X,X,O,X,X,O,X,X
TJSOLIZ,X,O,X,X,X,O,O,X,X,O,X,X
TJSOLZI,X,O,X,X,X,X,X,X,X,O,X,X
TJSOZIL,X,O,X,X,X,X,O,X,X,O,X,X
TJSOZLI,X,O,X,X,X,X,X,X,X,O,X,X
TJZILSO,X,X,X,X,X,X,X,X,X,X,X,X
TJZILOS,X,X,X,X,X,O,X,X,X,X,X,X
TJZISLO,X,O,O,X,X,X,X,X,X,X,X,X
TJZISOL,X,O,O,X,X,X,X,X,X,X,X,X
TJZIOLS,X,X,X,X,X,O,O,X,X,X,X,X
TJZIOSL,X,O,O,X,X,X,O,X,X,X,X,X
TJZLISO,X,X,X,X,X,X,X,X,X,X,X,X
TJZLIOS,X,X,X,X,X,O,X,X,X,X,X,X
TJZLSIO,X,X,X,X,X,X,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,O,O,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X,O,X,X,X,X,X
TJZSILO,X,O,O,X,X,X,X,X,X,X,X,X
TJZSIOL,X,O,O,X,X,X,X,X,X,X,X,X
TJZSLIO,X,O,O,X,X,X,X,X,X,X,X,X
TJZSLOI,X,X,O,X,X,X,X,X,X,X,X,X
TJZSOIL,X,O,O,X,X,X,O,X,O,X,X,X
TJZSOLI,X,X,O,X,X,X,O,X,O,X,X,X
TJZOILS,X,X,X,X,X,O,O,X,X,X,X,X
TJZOISL,X,O,O,X,X,X,O,X,O,X,X,X
TJZOLIS,X,X,X,X,X,O,O,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X,O,X,X,X,X,X
TJZOSIL,X,O,O,X,X,X,O,X,O,X,X,X
TJZOSLI,X,O,O,X,X,X,O,X,O,X,X,X
TJOILSZ,X,O,X,X,O,O,X,X,X,X,O,X
TJOILZS,X,X,X,X,X,O,X,X,X,X,O,X
TJOISLZ,X,O,X,X,X,O,O,X,X,O,X,X
TJOISZL,X,O,O,X,X,X,O,X,X,O,X,X
TJOIZLS,X,X,X,X,X,O,X,X,X,X,X,X
TJOIZSL,X,O,X,X,X,X,X,X,O,X,X,X
TJOLISZ,X,O,X,X,O,O,X,X,X,X,O,X
TJOLIZS,X,X,X,X,X,O,X,X,X,X,O,X
TJOLSIZ,X,O,X,X,O,O,O,X,X,X,O,X
TJOLSZI,X,O,X,X,O,X,X,X,X,X,O,X
TJOLZIS,X,X,X,X,X,O,X,X,X,X,O,X
TJOLZSI,X,X,X,X,X,X,X,X,X,X,O,X
TJOSILZ,X,O,X,X,X,O,O,X,X,O,X,X
TJOSIZL,X,O,O,X,X,X,O,X,X,O,X,X
TJOSLIZ,X,O,X,X,X,O,O,X,X,O,X,X
TJOSLZI,X,O,X,X,X,X,X,X,X,O,X,X
TJOSZIL,X,O,X,X,X,X,O,X,X,O,X,X
TJOSZLI,X,O,X,X,X,X,O,X,X,O,X,X
TJOZILS,X,X,X,X,X,O,O,X,X,X,X,X
TJOZISL,X,O,X,X,X,X,O,X,O,X,X,X
TJOZLIS,X,X,X,X,X,O,O,X,X,X,X,X
TJOZLSI,X,X,X,X,X,X,O,X,X,X,X,X
TJOZSIL,X,O,X,X,X,X,O,X,O,X,X,X
TJOZSLI,X,O,X,X,X,X,O,X,O,X,X,X
TSILJZO,X,X,O,X,X,X,X,X,X,X,X,X
TSILJOZ,X,X,X,X,X,O,X,X,X,X,X,X
TSILZJO,X,X,O,O,X,X,X,X,X,X,X,X
TSILZOJ,X,X,O,O,X,X,X,X,X,X,X,X
TSILOJZ,X,X,X,X,X,O,X,X,X,X,X,X
TSILOZJ,X,X,X,O,X,X,X,X,X,X,X,X
TSIJLZO,X,O,O,X,X,X,X,O,X,X,X,X
TSIJLOZ,X,X,X,X,X,O,X,O,X,X,X,X
TSIJZLO,X,O,O,X,X,X,X,O,X,X,X,X
TSIJZOL,X,O,O,X,X,X,X,O,X,X,X,X
TSIJOLZ,X,O,X,X,X,O,X,O,X,X,X,X
TSIJOZL,X,O,O,X,X,X,X,O,X,X,X,X
TSIZLJO,X,O,O,O,X,X,X,X,X,X,X,X
TSIZLOJ,X,X,O,O,X,X,X,X,X,X,X,X
TSIZJLO,X,O,O,O,X,X,X,X,X,X,X,X
TSIZJOL,X,O,O,X,X,X,X,X,X,X,X,X
TSIZOLJ,X,X,O,O,X,X,X,X,X,O,X,X
TSIZOJL,X,O,O,X,X,X,X,X,X,O,X,X
TSIOLJZ,X,O,X,X,X,O,X,X,X,O,X,X
TSIOLZJ,X,O,X,X,X,X,X,X,X,O,X,X
TSIOJLZ,X,O,X,X,X,O,X,X,X,O,X,X
TSIOJZL,X,O,O,X,X,X,X,X,X,O,X,X
TSIOZLJ,X,O,O,X,X,X,X,X,X,O,X,X
TSIOZJL,X,O,O,X,X,X,X,X,X,O,X,X
TSLIJZO,X,X,O,X,X,X,X,O,X,X,X,X
TSLIJOZ,X,X,X,X,X,O,X,O,X,X,X,X
TSLIZJO,X,X,O,O,X,X,X,X,X,X,X,X
TSLIZOJ,X,X,O,O,X,X,X,X,X,X,X,X
TSLIOJZ,X,X,X,X,X,O,X,X,X,X,X,X
TSLIOZJ,X,X,X,O,X,X,X,X,X,X,X,X
TSLJIZO,X,X,O,X,X,X,X,O,X,X,X,X
TSLJIOZ,X,X,X,X,X,O,X,O,X,X,X,X
TSLJZIO,X,X,X,X,X,X,X,X,X,X,X,X
TSLJZOI,X,X,X,X,O,X,X,X,X,X,X,X
TSLJOIZ,X,X,X,X,O,O,X,X,X,X,O,X
