sequence,v115@HhA8IeB8FeD8CeE8Jel/IvhFRhB+nBTjB3mB0qBiqB,v115@HhA8IeB8FeD8CeE8Jel/IvhF6nBTjBmmBxqBcqBXrB,v115@HhA8IeB8FeD8CeE8Jel/IvhF3gBGiBTjBUnBxqByvB,v115@HhA8IeB8FeD8CeE8Jex/IvhFTjBUlBFmBXnBGnByvB,v115@HhA8IeB8FeD8CeE8Jex/IvhF8lBTjBaqBFnBGnBXrB
TJLZSOI,O,X,X,X,X
TJLZOIS,X,O,X,X,X
TJLZOSI,O,X,X,X,X
TJLOISZ,X,O,X,X,X
TJLOIZS,X,O,X,X,X
TJLOSIZ,O,O,X,X,X
TJLOSZI,O,X,X,X,O
TJLOZIS,X,O,X,X,X
TJLOZSI,O,X,X,X,X
TJSILZO,X,O,X,X,X
TJSILOZ,O,O,X,X,X
TJSIZLO,O,X,X,X,X
TJSIZOL,O,X,X,X,X
TJSIOLZ,O,O,X,X,X
TJSIOZL,O,X,X,X,X
TJSLIZO,X,O,X,X,X
TJSLIOZ,O,O,X,X,X
TJSLZIO,O,X,X,X,O
TJSLZOI,O,X,X,X,O
TJSLOIZ,O,O,X,X,X
TJSLOZI,O,X,X,X,O
TJSZILO,O,X,X,X,X
TJSZIOL,O,X,X,X,X
TJSZLIO,O,X,X,X,O
TJSZLOI,O,X,X,X,O
TJSZOIL,O,X,X,X,X
TJSZOLI,O,X,X,X,O
TJSOILZ,O,O,X,X,X
TJSOIZL,O,X,X,X,X
TJSOLIZ,O,O,X,X,X
TJSOLZI,O,X,X,X,O
TJSOZIL,O,X,X,X,X
TJSOZLI,O,X,X,X,O
TJZILSO,X,O,O,X,X
TJZILOS,X,O,O,X,X
TJZISLO,O,X,O,X,X
TJZISOL,O,X,O,X,X
TJZIOLS,X,O,O,X,X
TJZIOSL,O,X,O,X,X
TJZLISO,X,O,O,X,X
TJZLIOS,X,O,O,X,X
TJZLSIO,O,X,X,X,X
TJZLSOI,O,X,X,X,X
TJZLOIS,X,O,O,X,X
TJZLOSI,O,X,X,X,X
TJZSILO,O,X,O,X,X
TJZSIOL,O,X,O,X,X
TJZSLIO,O,X,X,X,X
TJZSLOI,O,X,X,X,X
TJZSOIL,O,X,O,X,X
TJZSOLI,O,X,X,X,X
TJZOILS,X,O,O,X,X
TJZOISL,O,X,O,X,X
TJZOLIS,X,O,O,X,X
TJZOLSI,O,X,X,X,X
TJZOSIL,O,X,O,X,X
TJZOSLI,O,X,X,X,X
TJOILSZ,X,O,X,X,X
TJOILZS,X,O,X,X,X
TJOISLZ,O,O,X,X,X
TJOISZL,O,X,O,X,X
TJOIZLS,X,O,O,X,X
TJOIZSL,O,X,O,X,X
TJOLISZ,X,O,X,X,X
TJOLIZS,X,O,X,X,X
TJOLSIZ,O,O,X,X,X
TJOLSZI,O,X,X,X,O
TJOLZIS,X,O,X,X,X
TJOLZSI,O,X,X,X,X
TJOSILZ,O,O,X,X,X
TJOSIZL,O,X,X,X,X
TJOSLIZ,O,O,X,X,X
TJOSLZI,O,X,X,X,O
TJOSZIL,O,X,X,X,X
TJOSZLI,O,X,X,X,O
TJOZILS,X,O,O,X,X
TJOZISL,O,X,O,X,X
TJOZLIS,X,O,O,X,X
TJOZLSI,O,X,X,X,X
TJOZSIL,O,X,O,X,X
TJOZSLI,O,X,X,X,X
TSILJZO,X,O,X,X,X
TSILJOZ,O,O,X,X,X
TSILZJO,X,X,O,X,O
TSILZOJ,X,X,O,X,O
TSILOJZ,X,O,X,X,X
TSILOZJ,X,X,O,X,O
TSIJLZO,X,O,X,X,X
TSIJLOZ,O,O,X,X,X
TSIJZLO,O,X,O,X,X
TSIJZOL,O,X,O,X,X
TSIJOLZ,O,O,X,X,X
TSIJOZL,O,X,O,X,X
TSIZLJO,O,X,O,X,O
TSIZLOJ,X,X,O,O,O
TSIZJLO,O,X,O,X,X
TSIZJOL,O,X,O,O,X
TSIZOLJ,X,X,O,O,O
TSIZOJL,O,X,O,O,X
TSIOLJZ,X,O,X,X,X
TSIOLZJ,X,X,O,X,O
TSIOJLZ,O,O,X,X,X
TSIOJZL,O,X,O,X,X
TSIOZLJ,X,X,O,O,O
TSIOZJL,X,X,O,O,X
TSLIJZO,X,O,X,X,X
TSLIJOZ,O,O,X,X,X
TSLIZJO,X,X,X,X,O
TSLIZOJ,X,X,X,X,O
TSLIOJZ,X,O,X,X,X
TSLIOZJ,X,X,X,X,O
TSLJIZO,X,O,X,X,X
TSLJIOZ,O,O,X,X,X
TSLJZIO,O,X,X,X,O
TSLJZOI,O,X,X,X,O
TSLJOIZ,O,O,X,X,X
TSLJOZI,O,X,X,X,O
TSLZIJO,O,X,X,X,O
TSLZIOJ,X,X,X,O,O
TSLZJIO,O,X,X,X,O
TSLZJOI,O,X,X,X,O
TSLZOIJ,X,X,X,O,O
TSLZOJI,X,X,X,O,O
TSLOIJZ,X,O,X,X,X
TSLOIZJ,X,X,X,X,O
TSLOJIZ,X,O,X,X,X
TSLOJZI,X,X,X,X,O
TSLOZIJ,X,X,X,O,O
TSLOZJI,X,X,X,O,O
TSJILZO,X,O,X,X,X
TSJILOZ,O,O,X,X,X
TSJIZLO,O,X,X,X,X
TSJIZOL,O,X,X,X,X
TSJIOLZ,O,O,X,X,X
TSJIOZL,O,X,X,X,X
TSJLIZO,X,O,X,X,X
TSJLIOZ,O,O,X,X,X
TSJLZIO,O,X,X,X,O
TSJLZOI,O,X,X,X,O
TSJLOIZ,O,O,X,X,X
TSJLOZI,O,X,X,X,O
TSJZILO,O,X,X,X,X
TSJZIOL,O,X,X,O,X
TSJZLIO,O,X,X,X,O
TSJZLOI,O,X,X,X,O
TSJZOIL,O,X,X,O,X
TSJZOLI,O,X,X,O,O
TSJOILZ,O,O,X,X,X
TSJOIZL,O,X,X,X,X
TSJOLIZ,O,O,X,X,X
TSJOLZI,O,X,X,X,O
TSJOZIL,O,X,X,O,X
TSJOZLI,O,X,X,O,O
TSZILJO,O,X,O,X,O
TSZILOJ,X,X,O,O,O
TSZIJLO,O,X,O,X,X
TSZIJOL,O,X,O,O,X
TSZIOLJ,X,X,O,O,O
TSZIOJL,O,X,O,O,X
TSZLIJO,O,X,X,X,O
TSZLIOJ,X,X,X,O,O
TSZLJIO,O,X,X,X,O
TSZLJOI,O,X,X,X,O
TSZLOIJ,X,X,X,O,O
TSZLOJI,X,X,X,O,O
TSZJILO,O,X,O,X,X
TSZJIOL,O,X,O,O,X
TSZJLIO,O,X,X,X,O
TSZJLOI,O,X,X,X,O
TSZJOIL,O,X,O,O,X
TSZJOLI,O,X,X,O,O
TSZOILJ,X,X,O,O,O
TSZOIJL,O,X,O,O,X
TSZOLIJ,X,X,X,O,O
TSZOLJI,X,X,X,O,O
TSZOJIL,O,X,O,O,X
TSZOJLI,O,X,X,O,O
TSOILJZ,X,O,X,X,X
TSOILZJ,X,X,O,X,O
TSOIJLZ,O,O,X,X,X
TSOIJZL,O,X,O,X,X
TSOIZLJ,X,X,O,O,O
TSOIZJL,X,X,O,O,X
TSOLIJZ,X,O,X,X,X
TSOLIZJ,X,X,X,X,O
TSOLJIZ,X,O,X,X,X
TSOLJZI,X,X,X,X,O
TSOLZIJ,X,X,X,O,O
TSOLZJI,X,X,X,O,O
TSOJILZ,O,O,X,X,X
TSOJIZL,O,X,X,X,X
TSOJLIZ,O,O,X,X,X
TSOJLZI,O,X,X,X,O
TSOJZIL,O,X,X,O,X
TSOJZLI,O,X,X,O,O
TSOZILJ,X,X,O,O,O
TSOZIJL,O,X,O,O,X
TSOZLIJ,X,X,X,O,O
TSOZLJI,X,X,X,O,O
TSOZJIL,O,X,O,O,X
TSOZJLI,O,X,X,O,O
TZILJSO,X,O,O,X,X
TZILJOS,X,O,O,X,X
TZILSJO,X,X,O,X,X
TZILSOJ,X,X,O,O,X
TZILOJS,X,O,O,X,X
TZILOSJ,X,X,O,O,X
TZIJLSO,X,O,O,X,X
TZIJLOS,X,O,O,X,X
TZIJSLO,O,X,O,X,X
TZIJSOL,O,X,O,O,X
TZIJOLS,X,O,O,X,X
TZIJOSL,O,X,O,O,X
TZISLJO,O,X,O,X,X
TZISLOJ,X,X,O,O,X
TZISJLO,O,X,O,X,X
TZISJOL,O,X,O,O,X
TZISOLJ,X,X,O,O,X
TZISOJL,O,X,O,O,X
TZIOLJS,X,O,O,X,X
TZIOLSJ,X,X,O,O,X
TZIOJLS,X,O,O,X,X
TZIOJSL,O,X,O,O,X
TZIOSLJ,X,X,O,O,X
TZIOSJL,X,X,O,O,X
TZLIJSO,X,O,O,X,X
TZLIJOS,X,O,O,X,X
