sequence,v115@QhA8FeE8CeF8Jex/IvhF/mBUiBFjBTkB2qBSvB,v115@QhA8FeE8CeF8Jei/IvhF3gBUiBFjBTmBxpBWvB,v115@QhA8FeE8CeF8Jex/IvhFFiBXjBTkBeqBSrB8qB,v115@QhA8FeE8CeF8JeKEJvhFRgBUiBFjBTmBXqBGqB,v115@QhA8FeE8CeF8JeKEJvhFUhBFiBXjBxqBupBTqB,v115@QhA8FeE8CeF8Jex/IvhFFiBXjB2pBSrB8qBzpB,v115@QhA8FeE8CeF8JeT/IvhFXjB2qBRmBCnB0pBlqB,v115@QhA8FeE8CeF8JeT/IvhFRhBFjBmlBCnB/qB0pB
IJOTZLS,X,O,X,X,X,X,X,X
IJOTZSL,O,O,X,X,X,X,X,X
IJOLTSZ,O,O,O,X,X,X,X,X
IJOLTZS,X,O,O,X,X,X,X,X
IJOLSTZ,O,O,O,X,X,X,X,X
IJOLSZT,O,O,O,X,X,X,X,X
IJOLZTS,X,O,O,X,X,X,X,X
IJOLZST,X,O,O,X,X,X,X,X
IJOSTLZ,O,O,O,X,X,X,X,X
IJOSTZL,O,O,X,X,X,X,X,X
IJOSLTZ,O,O,O,X,X,X,X,X
IJOSLZT,O,O,O,X,X,X,X,X
IJOSZTL,O,O,X,X,X,X,O,X
IJOSZLT,O,O,X,X,X,X,O,X
IJOZTLS,X,O,X,X,X,X,X,X
IJOZTSL,O,O,X,X,X,X,O,X
IJOZLTS,X,O,X,X,X,X,X,X
IJOZLST,X,O,X,X,X,X,O,X
IJOZSTL,O,O,X,X,X,X,O,X
IJOZSLT,O,O,X,X,X,X,O,X
ISTLJZO,X,O,X,X,O,O,X,X
ISTLJOZ,X,X,O,X,O,O,X,X
ISTLZJO,X,O,X,X,O,X,X,X
ISTLZOJ,X,O,X,X,O,X,X,X
ISTLOJZ,X,O,O,O,O,X,X,X
ISTLOZJ,X,O,X,O,O,X,X,X
ISTJLZO,O,O,X,X,O,O,X,X
ISTJLOZ,X,X,O,X,O,O,X,X
ISTJZLO,O,O,X,X,O,X,X,X
ISTJZOL,O,X,X,X,X,X,O,X
ISTJOLZ,O,X,O,X,X,X,X,X
ISTJOZL,O,X,X,X,X,X,X,X
ISTZLJO,X,O,X,X,O,X,X,X
ISTZLOJ,X,O,X,X,O,X,X,X
ISTZJLO,O,O,X,X,O,X,X,X
ISTZJOL,O,X,X,X,X,X,O,X
ISTZOLJ,O,O,X,X,O,X,X,X
ISTZOJL,O,X,X,X,X,X,O,X
ISTOLJZ,X,O,O,O,O,X,X,X
ISTOLZJ,O,O,X,O,O,X,X,X
ISTOJLZ,O,O,O,X,X,X,X,X
ISTOJZL,O,O,X,X,X,X,X,X
ISTOZLJ,O,O,X,O,O,X,X,X
ISTOZJL,O,O,X,X,X,X,X,X
ISLTJZO,X,O,X,X,O,O,X,X
ISLTJOZ,X,X,O,X,O,O,X,X
ISLTZJO,X,O,X,X,O,X,X,X
ISLTZOJ,X,O,X,X,O,X,X,X
ISLTOJZ,X,O,O,O,O,X,X,X
ISLTOZJ,X,O,X,O,O,X,X,X
ISLJTZO,X,O,X,X,O,O,X,X
ISLJTOZ,X,X,O,X,O,O,X,X
ISLJZTO,X,O,X,X,O,O,X,X
ISLJZOT,X,X,X,X,O,O,O,X
ISLJOTZ,X,X,O,X,O,O,X,X
ISLJOZT,X,X,O,X,O,O,X,X
ISLZTJO,X,O,X,X,O,X,X,X
ISLZTOJ,X,O,X,X,O,X,X,X
ISLZJTO,X,O,X,X,O,X,X,X
ISLZJOT,X,X,X,X,O,X,O,X
ISLZOTJ,X,O,X,X,O,X,X,X
ISLZOJT,X,X,X,X,O,X,O,X
ISLOTJZ,X,O,O,O,O,X,X,X
ISLOTZJ,X,O,X,O,O,X,X,X
ISLOJTZ,X,O,O,O,O,X,X,X
ISLOJZT,X,O,O,O,O,X,X,X
ISLOZTJ,X,O,X,O,O,X,X,X
ISLOZJT,X,O,X,O,O,X,X,X
ISJTLZO,O,O,X,X,O,O,X,X
ISJTLOZ,X,X,O,X,O,O,X,X
ISJTZLO,O,O,X,X,O,X,X,X
ISJTZOL,O,X,X,X,X,X,O,X
ISJTOLZ,O,X,O,X,X,X,X,X
ISJTOZL,O,X,X,X,X,X,X,X
ISJLTZO,O,O,X,X,O,O,X,X
ISJLTOZ,X,X,O,X,O,O,X,X
ISJLZTO,O,O,X,X,O,O,X,X
ISJLZOT,X,X,X,X,O,O,O,X
ISJLOTZ,X,X,O,X,O,O,X,X
ISJLOZT,X,X,O,X,O,O,X,X
ISJZTLO,O,O,X,X,O,X,X,X
ISJZTOL,O,X,X,X,X,X,O,X
ISJZLTO,O,O,X,X,O,X,X,X
ISJZLOT,X,X,X,X,O,X,O,X
ISJZOTL,O,X,X,X,X,X,O,X
ISJZOLT,O,X,X,X,X,X,O,X
ISJOTLZ,O,X,O,X,X,X,X,X
ISJOTZL,O,X,X,X,X,X,X,X
ISJOLTZ,O,X,O,X,X,X,X,X
ISJOLZT,O,X,O,X,X,X,X,X
ISJOZTL,O,X,X,X,X,X,O,X
ISJOZLT,O,X,X,X,X,X,O,X
ISZTLJO,X,O,X,X,O,X,X,X
ISZTLOJ,X,O,X,X,O,X,X,X
ISZTJLO,O,O,X,X,O,X,X,X
ISZTJOL,O,X,X,X,X,X,O,X
ISZTOLJ,O,O,X,X,O,X,X,X
ISZTOJL,O,X,X,X,X,X,O,X
ISZLTJO,X,O,X,X,O,X,X,X
ISZLTOJ,X,O,X,X,O,X,X,X
ISZLJTO,X,O,X,X,O,X,X,X
ISZLJOT,X,X,X,X,O,X,O,X
ISZLOTJ,X,O,X,X,O,X,X,X
ISZLOJT,X,X,X,X,O,X,O,X
ISZJTLO,O,O,X,X,O,X,X,X
ISZJTOL,O,X,X,X,X,X,O,X
ISZJLTO,O,O,X,X,O,X,X,X
ISZJLOT,X,X,X,X,O,X,O,X
ISZJOTL,O,X,X,X,X,X,O,X
ISZJOLT,O,X,X,X,X,X,O,X
ISZOTLJ,O,O,X,X,O,X,X,X
ISZOTJL,O,X,X,X,X,X,O,X
ISZOLTJ,O,O,X,X,O,X,X,X
ISZOLJT,X,X,X,X,O,X,O,X
ISZOJTL,O,X,X,X,X,X,O,X
ISZOJLT,O,X,X,X,X,X,O,X
ISOTLJZ,X,O,O,O,O,X,X,X
ISOTLZJ,O,O,X,O,O,X,X,X
ISOTJLZ,O,O,O,X,X,X,X,X
ISOTJZL,O,O,X,X,X,X,X,X
ISOTZLJ,O,O,X,O,O,X,X,X
ISOTZJL,O,O,X,X,X,X,X,X
ISOLTJZ,X,O,O,O,O,X,X,X
ISOLTZJ,O,O,X,O,O,X,X,X
ISOLJTZ,X,O,O,O,O,X,X,X
ISOLJZT,X,O,O,O,O,X,X,X
ISOLZTJ,O,O,X,O,O,X,X,X
ISOLZJT,X,O,X,O,O,X,X,X
ISOJTLZ,O,O,O,X,X,X,X,X
ISOJTZL,O,O,X,X,X,X,X,X
ISOJLTZ,O,O,O,X,X,X,X,X
ISOJLZT,O,O,O,X,X,X,X,X
ISOJZTL,O,O,X,X,X,X,O,X
ISOJZLT,O,O,X,X,X,X,O,X
ISOZTLJ,O,O,X,O,O,X,X,X
ISOZTJL,O,O,X,X,X,X,O,X
ISOZLTJ,O,O,X,O,O,X,X,X
ISOZLJT,X,O,X,O,O,X,O,X
ISOZJTL,O,O,X,X,X,X,O,X
ISOZJLT,O,O,X,X,X,X,O,X
IZTLJSO,X,O,X,X,O,X,X,X
IZTLJOS,X,X,X,X,O,X,X,O
IZTLSJO,X,O,X,X,O,X,X,X
IZTLSOJ,X,O,X,X,O,X,X,X
IZTLOJS,X,O,X,O,O,X,X,O
IZTLOSJ,X,O,X,O,O,X,X,X
IZTJLSO,X,O,X,X,O,X,X,X
IZTJLOS,X,X,X,X,O,X,X,O
IZTJSLO,X,O,X,X,O,X,X,X
IZTJSOL,X,X,X,X,X,X,O,X
IZTJOLS,X,X,X,X,X,X,X,O
IZTJOSL,X,X,X,X,X,X,O,X
IZTSLJO,X,O,X,X,O,X,X,X
IZTSLOJ,X,O,X,X,O,X,X,X
IZTSJLO,O,O,X,X,O,X,X,X
IZTSJOL,O,X,X,X,X,X,O,X
IZTSOLJ,O,O,X,X,O,X,X,X
IZTSOJL,O,X,X,X,X,X,O,X
IZTOLJS,X,O,X,O,O,X,X,O
IZTOLSJ,X,O,X,O,O,X,X,X
IZTOJLS,X,O,X,X,X,X,X,O
IZTOJSL,X,O,X,X,X,X,O,X
IZTOSLJ,O,O,X,O,O,X,X,X
IZTOSJL,O,O,X,X,X,X,O,X
IZLTJSO,X,O,X,X,O,X,X,X
IZLTJOS,X,X,X,X,O,X,X,O
IZLTSJO,X,O,X,X,O,X,X,X
IZLTSOJ,X,O,X,X,O,X,X,X
IZLTOJS,X,O,X,O,O,X,X,O
IZLTOSJ,X,O,X,O,O,X,X,X
IZLJTSO,X,O,X,X,O,X,X,X
IZLJTOS,X,X,X,X,O,X,X,O
IZLJSTO,X,O,X,X,O,X,X,X
IZLJSOT,X,X,X,X,O,X,O,X
IZLJOTS,X,X,X,X,O,X,X,O
IZLJOST,X,X,X,X,O,X,O,X
IZLSTJO,X,O,X,X,O,X,X,X
IZLSTOJ,X,O,X,X,O,X,X,X
IZLSJTO,X,O,X,X,O,X,X,X
IZLSJOT,X,X,X,X,O,X,O,X
IZLSOTJ,X,O,X,X,O,X,X,X
IZLSOJT,X,X,X,X,O,X,O,X
IZLOTJS,X,O,X,O,O,X,X,O
IZLOTSJ,X,O,X,O,O,X,X,X
IZLOJTS,X,O,X,O,O,X,X,O
IZLOJST,X,O,X,X,O,X,O,X
IZLOSTJ,X,O,X,O,O,X,X,X
IZLOSJT,X,O,X,O,O,X,O,X
IZJTLSO,X,O,X,X,O,X,X,X
IZJTLOS,X,X,X,X,O,X,X,O
IZJTSLO,X,O,X,X,O,X,X,X
IZJTSOL,X,X,X,X,X,X,O,X
IZJTOLS,X,X,X,X,X,X,X,O
IZJTOSL,X,X,X,X,X,X,O,X
IZJLTSO,X,O,X,X,O,X,X,X
IZJLTOS,X,X,X,X,O,X,X,O
IZJLSTO,X,O,X,X,O,X,X,X
IZJLSOT,X,X,X,X,O,X,O,X
IZJLOTS,X,X,X,X,O,X,X,O
IZJLOST,X,X,X,X,O,X,O,X
IZJSTLO,X,O,X,X,O,X,X,X
IZJSTOL,X,X,X,X,X,X,O,X
IZJSLTO,X,O,X,X,O,X,X,X
IZJSLOT,X,X,X,X,O,X,O,X
IZJSOTL,X,X,X,X,X,X,O,X
IZJSOLT,X,X,X,X,X,X,O,X
IZJOTLS,X,X,X,X,X,X,X,O
IZJOTSL,X,X,X,X,X,X,O,X
IZJOLTS,X,X,X,X,X,X,X,O
IZJOLST,X,X,X,X,X,X,O,X
IZJOSTL,X,X,X,X,X,X,O,X
IZJOSLT,X,X,X,X,X,X,O,X
IZSTLJO,X,O,X,X,O,X,X,X
IZSTLOJ,X,O,X,X,O,X,X,X
IZSTJLO,O,O,X,X,O,X,X,X
IZSTJOL,O,X,X,X,X,X,O,X
IZSTOLJ,O,O,X,X,O,X,X,X
IZSTOJL,O,X,X,X,X,X,O,X
IZSLTJO,X,O,X,X,O,X,X,X
IZSLTOJ,X,O,X,X,O,X,X,X
IZSLJTO,X,O,X,X,O,X,X,X
IZSLJOT,X,X,X,X,O,X,O,X
IZSLOTJ,X,O,X,X,O,X,X,X
IZSLOJT,X,X,X,X,O,X,O,X
IZSJTLO,O,O,X,X,O,X,X,X
IZSJTOL,O,X,X,X,X,X,O,X
IZSJLTO,O,O,X,X,O,X,X,X
IZSJLOT,X,X,X,X,O,X,O,X
IZSJOTL,O,X,X,X,X,X,O,X
IZSJOLT,O,X,X,X,X,X,O,X
IZSOTLJ,O,O,X,X,O,X,X,X
IZSOTJL,O,X,X,X,X,X,O,X
IZSOLTJ,O,O,X,X,O,X,X,X
IZSOLJT,X,X,X,X,O,X,O,X
IZSOJTL,O,X,X,X,X,X,O,X
IZSOJLT,O,X,X,X,X,X,O,X
IZOTLJS,X,O,X,O,O,X,X,O
IZOTLSJ,X,O,X,O,O,X,X,X
IZOTJLS,X,O,X,X,X,X,X,O
IZOTJSL,X,O,X,X,X,X,O,X
IZOTSLJ,O,O,X,O,O,X,X,X
IZOTSJL,O,O,X,X,X,X,O,X
IZOLTJS,X,O,X,O,O,X,X,O
IZOLTSJ,X,O,X,O,O,X,X,X
IZOLJTS,X,O,X,O,O,X,X,O
IZOLJST,X,O,X,X,O,X,O,X
IZOLSTJ,X,O,X,O,O,X,X,X
IZOLSJT,X,O,X,O,O,X,O,X
IZOJTLS,X,O,X,X,X,X,X,O
IZOJTSL,X,O,X,X,X,X,O,X
IZOJLTS,X,O,X,X,X,X,X,O
IZOJLST,X,O,X,X,X,X,O,X
IZOJSTL,X,O,X,X,X,X,O,X
IZOJSLT,X,O,X,X,X,X,O,X
IZOSTLJ,O,O,X,O,O,X,X,X
IZOSTJL,O,O,X,X,X,X,O,X
IZOSLTJ,O,O,X,O,O,X,X,X
IZOSLJT,X,O,X,O,O,X,O,X
IZOSJTL,O,O,X,X,X,X,O,X
IZOSJLT,O,O,X,X,X,X,O,X
IOTLJSZ,O,O,O,X,O,X,X,X
IOTLJZS,X,O,O,O,O,X,X,X
IOTLSJZ,X,O,O,O,O,X,X,X
IOTLSZJ,O,O,X,O,O,X,X,X
IOTLZJS,X,O,X,O,O,X,X,X
IOTLZSJ,X,O,X,O,O,X,X,X
IOTJLSZ,O,O,O,X,X,X,X,X
IOTJLZS,X,O,O,X,X,X,X,X
IOTJSLZ,O,O,O,X,X,X,X,X
IOTJSZL,O,O,X,X,X,X,X,X
IOTJZLS,X,O,X,X,X,X,X,X
IOTJZSL,O,O,X,X,X,X,X,X
IOTSLJZ,X,O,O,O,O,X,X,X
IOTSLZJ,O,O,X,O,O,X,X,X
IOTSJLZ,O,O,O,X,X,X,X,X
IOTSJZL,O,O,X,X,X,X,X,X
IOTSZLJ,O,O,X,O,O,X,X,X
IOTSZJL,O,O,X,X,X,X,X,X
IOTZLJS,X,O,X,O,O,X,X,X
IOTZLSJ,X,O,X,O,O,X,X,X
IOTZJLS,X,O,X,X,X,X,X,X
IOTZJSL,O,O,X,X,X,X,X,X
IOTZSLJ,O,O,X,O,O,X,X,X
IOTZSJL,O,O,X,X,X,X,X,X
IOLTJSZ,O,O,O,X,O,X,X,X
IOLTJZS,X,O,O,O,O,X,X,X
IOLTSJZ,X,O,O,O,O,X,X,X
IOLTSZJ,O,O,X,O,O,X,X,X
IOLTZJS,X,O,X,O,O,X,X,X
IOLTZSJ,X,O,X,O,O,X,X,X
IOLJTSZ,O,O,O,X,O,X,X,X
IOLJTZS,X,O,O,O,O,X,X,X
IOLJSTZ,O,O,O,X,O,X,X,X
IOLJSZT,O,O,O,X,O,X,X,X
IOLJZTS,X,O,O,O,O,X,X,X
IOLJZST,X,O,O,X,O,X,X,X
IOLSTJZ,X,O,O,O,O,X,X,X
IOLSTZJ,O,O,X,O,O,X,X,X
IOLSJTZ,X,O,O,O,O,X,X,X
IOLSJZT,X,O,O,O,O,X,X,X
IOLSZTJ,O,O,X,O,O,X,X,X
IOLSZJT,X,O,X,O,O,X,X,X
IOLZTJS,X,O,X,O,O,X,X,X
IOLZTSJ,X,O,X,O,O,X,X,X
IOLZJTS,X,O,X,O,O,X,X,X
IOLZJST,X,O,X,X,O,X,X,X
IOLZSTJ,X,O,X,O,O,X,X,X
IOLZSJT,X,O,X,O,O,X,X,X
IOJTLSZ,O,O,O,X,X,X,X,X
IOJTLZS,X,O,O,X,X,X,X,X
IOJTSLZ,O,O,O,X,X,X,X,X
IOJTSZL,O,O,X,X,X,X,X,X
IOJTZLS,X,O,X,X,X,X,X,X
IOJTZSL,O,O,X,X,X,X,X,X
IOJLTSZ,O,O,O,X,X,X,X,X
IOJLTZS,X,O,O,X,X,X,X,X
IOJLSTZ,O,O,O,X,X,X,X,X
IOJLSZT,O,O,O,X,X,X,X,X
IOJLZTS,X,O,O,X,X,X,X,X
IOJLZST,X,O,O,X,X,X,X,X
IOJSTLZ,O,O,O,X,X,X,X,X
IOJSTZL,O,O,X,X,X,X,X,X
IOJSLTZ,O,O,O,X,X,X,X,X
IOJSLZT,O,O,O,X,X,X,X,X
IOJSZTL,O,O,X,X,X,X,O,X
IOJSZLT,O,O,X,X,X,X,O,X
IOJZTLS,X,O,X,X,X,X,X,X
IOJZTSL,O,O,X,X,X,X,O,X
IOJZLTS,X,O,X,X,X,X,X,X
IOJZLST,X,O,X,X,X,X,O,X
IOJZSTL,O,O,X,X,X,X,O,X
IOJZSLT,O,O,X,X,X,X,O,X
IOSTLJZ,X,O,O,O,O,X,X,X
IOSTLZJ,O,O,X,O,O,X,X,X
IOSTJLZ,O,O,O,X,X,X,X,X
IOSTJZL,O,O,X,X,X,X,X,X
IOSTZLJ,O,O,X,O,O,X,X,X
IOSTZJL,O,O,X,X,X,X,X,X
IOSLTJZ,X,O,O,O,O,X,X,X
IOSLTZJ,O,O,X,O,O,X,X,X
IOSLJTZ,X,O,O,O,O,X,X,X
IOSLJZT,X,O,O,O,O,X,X,X
IOSLZTJ,O,O,X,O,O,X,X,X
IOSLZJT,X,O,X,O,O,X,X,X
IOSJTLZ,O,O,O,X,X,X,X,X
IOSJTZL,O,O,X,X,X,X,X,X
IOSJLTZ,O,O,O,X,X,X,X,X
IOSJLZT,O,O,O,X,X,X,X,X
IOSJZTL,O,O,X,X,X,X,O,X
IOSJZLT,O,O,X,X,X,X,O,X
IOSZTLJ,O,O,X,O,O,X,X,X
IOSZTJL,O,O,X,X,X,X,O,X
IOSZLTJ,O,O,X,O,O,X,X,X
IOSZLJT,X,O,X,O,O,X,O,X
IOSZJTL,O,O,X,X,X,X,O,X
IOSZJLT,O,O,X,X,X,X,O,X
IOZTLJS,X,O,X,O,O,X,X,X
IOZTLSJ,X,O,X,O,O,X,X,X
IOZTJLS,X,O,X,X,X,X,X,X
IOZTJSL,O,O,X,X,X,X,O,X
IOZTSLJ,O,O,X,O,O,X,X,X
IOZTSJL,O,O,X,X,X,X,O,X
IOZLTJS,X,O,X,O,O,X,X,X
IOZLTSJ,X,O,X,O,O,X,X,X
IOZLJTS,X,O,X,O,O,X,X,X
IOZLJST,X,O,X,X,O,X,O,X
IOZLSTJ,X,O,X,O,O,X,X,X
IOZLSJT,X,O,X,O,O,X,O,X
IOZJTLS,X,O,X,X,X,X,X,X
IOZJTSL,O,O,X,X,X,X,O,X
IOZJLTS,X,O,X,X,X,X,X,X
IOZJLST,X,O,X,X,X,X,O,X
IOZJSTL,O,O,X,X,X,X,O,X
IOZJSLT,O,O,X,X,X,X,O,X
IOZSTLJ,O,O,X,O,O,X,X,X
IOZSTJL,O,O,X,X,X,X,O,X
IOZSLTJ,O,O,X,O,O,X,X,X
IOZSLJT,X,O,X,O,O,X,O,X
IOZSJTL,O,O,X,X,X,X,O,X
IOZSJLT,O,O,X,X,X,X,O,X
LTIJSZO,X,O,X,X,O,O,X,X
LTIJSOZ,X,X,O,X,O,O,X,X
LTIJZSO,X,O,X,X,O,O,X,X
LTIJZOS,X,X,X,X,O,O,X,O
LTIJOSZ,X,O,O,X,O,O,X,X
LTIJOZS,X,O,O,X,O,O,X,X
LTISJZO,X,O,X,X,O,O,X,X
LTISJOZ,X,X,O,X,O,O,X,X
LTISZJO,X,O,X,X,O,X,X,X
LTISZOJ,X,O,X,X,O,X,X,X
LTISOJZ,X,O,O,O,O,X,X,X
LTISOZJ,X,O,X,O,O,X,X,X
LTIZJSO,X,O,X,X,O,X,X,X
LTIZJOS,X,X,X,X,O,X,X,O
LTIZSJO,X,O,X,X,O,X,X,X
LTIZSOJ,X,O,X,X,O,X,X,X
LTIZOJS,X,O,X,O,O,X,X,O
LTIZOSJ,X,O,X,O,O,X,X,X
LTIOJSZ,X,O,O,X,O,X,X,X
LTIOJZS,X,O,O,O,O,X,X,X
LTIOSJZ,X,O,O,O,O,X,X,X
LTIOSZJ,X,O,X,O,O,X,X,X
LTIOZJS,X,O,X,O,O,X,X,X
LTIOZSJ,X,O,X,O,O,X,X,X
LTJISZO,O,X,X,X,O,O,X,X
LTJISOZ,X,X,O,X,O,O,X,X
LTJIZSO,X,X,X,X,O,O,X,X
LTJIZOS,X,X,X,X,O,O,X,O
LTJIOSZ,X,X,O,X,O,O,X,X
LTJIOZS,X,X,O,X,O,O,X,X
LTJSIZO,O,X,X,X,O,O,X,X
LTJSIOZ,X,X,O,X,O,O,X,X
LTJSZIO,O,X,X,X,X,O,X,X
LTJSZOI,O,X,O,X,X,O,X,O
LTJSOIZ,O,X,O,O,X,O,X,X
LTJSOZI,O,X,O,O,X,O,X,X
LTJZISO,X,X,X,X,X,O,X,X
LTJZIOS,X,X,X,X,X,O,X,O
LTJZSIO,X,X,X,X,X,O,X,X
LTJZSOI,X,X,O,X,X,O,X,O
LTJZOIS,X,X,O,O,X,O,X,O
LTJZOSI,X,X,O,O,X,O,X,O
LTJOISZ,O,X,O,X,X,O,X,X
LTJOIZS,X,X,O,O,X,O,X,X
LTJOSIZ,O,X,O,O,X,O,X,X
LTJOSZI,O,X,O,O,X,O,X,X
LTJOZIS,X,X,O,O,X,O,X,O
LTJOZSI,X,X,O,O,X,O,X,O
LTSIJZO,X,X,X,X,O,O,X,X
LTSIJOZ,X,X,O,X,O,O,X,X
LTSIZJO,X,X,X,X,O,X,X,X
LTSIZOJ,X,X,X,X,O,X,X,X
LTSIOJZ,X,X,O,O,O,X,X,X
LTSIOZJ,X,X,X,O,O,X,X,X
LTSJIZO,O,X,X,X,O,O,X,X
LTSJIOZ,X,X,O,X,O,O,X,X
LTSJZIO,O,X,X,X,X,O,X,X
LTSJZOI,O,X,O,X,X,O,X,O
LTSJOIZ,O,X,O,O,X,O,X,X
LTSJOZI,O,X,O,O,X,O,X,X
LTSZIJO,X,X,X,X,O,X,X,X
LTSZIOJ,X,X,X,X,O,X,X,X
LTSZJIO,O,X,X,X,X,O,X,X
LTSZJOI,O,X,O,X,X,O,X,O
LTSZOIJ,O,X,X,O,X,X,X,X
LTSZOJI,O,X,O,O,X,X,X,O
LTSOIJZ,X,X,O,O,O,X,X,X
LTSOIZJ,O,X,X,O,O,X,X,X
LTSOJIZ,O,X,O,O,X,O,X,X
LTSOJZI,O,X,O,O,X,O,X,X
LTSOZIJ,O,X,X,O,X,X,X,X
LTSOZJI,O,X,O,O,X,X,X,X
LTZIJSO,X,O,X,X,O,X,X,X
LTZIJOS,X,X,X,X,O,X,X,O
LTZISJO,X,O,X,X,O,X,X,X
LTZISOJ,X,O,X,X,O,X,X,X
LTZIOJS,X,X,X,O,O,X,X,O
LTZIOSJ,X,O,X,O,O,X,X,X
LTZJISO,X,X,X,X,X,O,X,X
LTZJIOS,X,X,X,X,X,O,X,O
LTZJSIO,X,X,X,X,X,O,X,X
LTZJSOI,X,X,O,X,X,O,X,O
LTZJOIS,X,X,O,O,X,O,X,O
LTZJOSI,X,X,O,O,X,O,X,O
LTZSIJO,X,X,X,X,O,X,X,X
LTZSIOJ,X,X,X,X,O,X,X,X
LTZSJIO,O,X,X,X,X,O,X,X
LTZSJOI,O,X,O,X,X,O,X,O
LTZSOIJ,O,X,X,O,X,X,X,X
LTZSOJI,O,X,O,O,X,X,X,O
LTZOIJS,X,O,X,O,X,X,X,O
LTZOISJ,X,O,X,O,X,X,X,X
LTZOJIS,X,X,O,O,X,X,X,O
LTZOJSI,X,X,O,O,X,X,X,O
LTZOSIJ,O,O,X,O,X,X,X,X
LTZOSJI,O,O,O,O,X,X,X,O
LTOIJSZ,O,O,O,X,O,X,X,X
LTOIJZS,X,O,O,O,O,X,X,X
LTOISJZ,X,O,O,O,O,X,X,X
LTOISZJ,O,O,X,O,O,X,X,X
LTOIZJS,X,O,X,O,O,X,X,X
LTOIZSJ,X,O,X,O,O,X,X,X
LTOJISZ,O,X,O,X,X,O,X,X
LTOJIZS,X,X,O,O,X,O,X,X
LTOJSIZ,O,X,O,O,X,O,X,X
LTOJSZI,O,X,O,O,X,O,X,X
LTOJZIS,X,X,O,O,X,O,X,O
LTOJZSI,X,X,O,O,X,O,X,O
LTOSIJZ,X,O,O,O,O,X,X,X
LTOSIZJ,O,O,X,O,O,X,X,X
LTOSJIZ,O,X,O,O,X,O,X,X
LTOSJZI,O,O,O,O,X,O,X,X
LTOSZIJ,O,O,X,O,X,X,X,X
LTOSZJI,O,O,O,O,X,X,X,X
LTOZIJS,X,O,X,O,X,X,X,O
LTOZISJ,X,O,X,O,X,X,X,X
LTOZJIS,X,X,O,O,X,X,X,O
LTOZJSI,X,X,O,O,X,X,X,O
LTOZSIJ,O,O,X,O,X,X,X,X
LTOZSJI,O,O,O,O,X,X,X,O
LITJSZO,X,O,X,X,O,O,X,X
LITJSOZ,X,X,O,X,O,O,X,X
LITJZSO,X,O,X,X,O,O,X,X
LITJZOS,X,X,X,X,O,O,X,O
LITJOSZ,X,O,O,X,O,O,X,X
LITJOZS,X,O,O,X,O,O,X,X
LITSJZO,X,O,X,X,O,O,X,X
LITSJOZ,X,X,O,X,O,O,X,X
LITSZJO,X,O,X,X,O,X,X,X
LITSZOJ,X,O,X,X,O,X,X,X
LITSOJZ,X,O,O,O,O,X,X,X
LITSOZJ,X,O,X,O,O,X,X,X
LITZJSO,X,O,X,X,O,X,X,X
LITZJOS,X,X,X,X,O,X,X,O
LITZSJO,X,O,X,X,O,X,X,X
LITZSOJ,X,O,X,X,O,X,X,X
LITZOJS,X,O,X,O,O,X,X,O
LITZOSJ,X,O,X,O,O,X,X,X
LITOJSZ,X,O,O,X,O,X,X,X
LITOJZS,X,O,O,O,O,X,X,X
LITOSJZ,X,O,O,O,O,X,X,X
LITOSZJ,X,O,X,O,O,X,X,X
LITOZJS,X,O,X,O,O,X,X,X
LITOZSJ,X,O,X,O,O,X,X,X
LIJTSZO,X,O,X,X,O,O,X,X
LIJTSOZ,X,X,O,X,O,O,X,X
LIJTZSO,X,O,X,X,O,O,X,X
LIJTZOS,X,X,X,X,O,O,X,O
LIJTOSZ,X,O,O,X,O,O,X,X
LIJTOZS,X,O,O,X,O,O,X,X
LIJSTZO,X,O,X,X,O,O,X,X
LIJSTOZ,X,X,O,X,O,O,X,X
LIJSZTO,X,O,X,X,O,O,X,X
LIJSZOT,X,X,X,X,O,O,O,X
LIJSOTZ,X,X,O,X,O,O,X,X
LIJSOZT,X,X,O,X,O,O,X,X
LIJZTSO,X,O,X,X,O,O,X,X
LIJZTOS,X,X,X,X,O,O,X,O
LIJZSTO,X,O,X,X,O,O,X,X
LIJZSOT,X,X,X,X,O,O,O,X
LIJZOTS,X,X,X,X,O,O,X,O
LIJZOST,X,X,X,X,O,O,O,X
LIJOTSZ,X,O,O,X,O,O,X,X
LIJOTZS,X,O,O,X,O,O,X,X
LIJOSTZ,X,O,O,X,O,O,X,X
LIJOSZT,X,O,O,X,O,O,X,X
LIJOZTS,X,O,O,X,O,O,X,X
LIJOZST,X,O,O,X,O,O,X,X
LISTJZO,X,O,X,X,O,O,X,X
LISTJOZ,X,X,O,X,O,O,X,X
LISTZJO,X,O,X,X,O,X,X,X
LISTZOJ,X,O,X,X,O,X,X,X
LISTOJZ,X,O,O,O,O,X,X,X
LISTOZJ,X,O,X,O,O,X,X,X
LISJTZO,X,O,X,X,O,O,X,X
LISJTOZ,X,X,O,X,O,O,X,X
LISJZTO,X,O,X,X,O,O,X,X
LISJZOT,X,X,X,X,O,O,O,X
LISJOTZ,X,X,O,X,O,O,X,X
LISJOZT,X,X,O,X,O,O,X,X
LISZTJO,X,O,X,X,O,X,X,X
LISZTOJ,X,O,X,X,O,X,X,X
LISZJTO,X,O,X,X,O,X,X,X
LISZJOT,X,X,X,X,O,X,O,X
