sequence,v115@QhA8FeE8CeF8Jex/IvhF/mBUiBFjBTkB2qBSvB,v115@QhA8FeE8CeF8Jei/IvhF3gBUiBFjBTmBxpBWvB,v115@QhA8FeE8CeF8Jex/IvhFFiBXjBTkBeqBSrB8qB,v115@QhA8FeE8CeF8JeKEJvhFRgBUiBFjBTmBXqBGqB,v115@QhA8FeE8CeF8JeKEJvhFUhBFiBXjBxqBupBTqB,v115@QhA8FeE8CeF8Jex/IvhFFiBXjB2pBSrB8qBzpB,v115@QhA8FeE8CeF8JeT/IvhFXjB2qBRmBCnB0pBlqB,v115@QhA8FeE8CeF8JeT/IvhFRhBFjBmlBCnB/qB0pB
TJISOZL,O,X,X,X,X,X,X,X
TJIZLSO,X,O,X,X,O,X,X,X
TJIZLOS,X,X,X,X,O,X,X,O
TJIZSLO,O,O,X,X,O,X,X,X
TJIZSOL,O,X,X,X,X,X,O,X
TJIZOLS,X,X,X,X,X,X,X,O
TJIZOSL,X,X,X,X,X,X,O,X
TJIOLSZ,O,O,O,X,X,X,X,X
TJIOLZS,X,O,O,X,X,X,X,X
TJIOSLZ,O,O,O,X,X,X,X,X
TJIOSZL,O,O,X,X,X,X,X,X
TJIOZLS,X,O,X,X,X,X,X,X
TJIOZSL,O,O,X,X,X,X,X,X
TJLISZO,O,X,X,X,O,O,X,X
TJLISOZ,X,X,O,X,O,O,X,X
TJLIZSO,X,X,X,X,O,O,X,X
TJLIZOS,X,X,X,X,O,O,X,O
TJLIOSZ,X,X,O,X,O,O,X,X
TJLIOZS,X,X,O,X,O,O,X,X
TJLSIZO,O,X,X,X,O,O,X,X
TJLSIOZ,X,X,O,X,O,O,X,X
TJLSZIO,O,X,X,X,X,O,X,X
TJLSZOI,O,X,O,X,X,O,X,O
TJLSOIZ,O,X,O,O,X,O,X,X
TJLSOZI,O,X,O,O,X,O,X,X
TJLZISO,X,X,X,X,X,O,X,X
TJLZIOS,X,X,X,X,X,O,X,O
TJLZSIO,X,X,X,X,X,O,X,X
TJLZSOI,X,X,O,X,X,O,X,O
TJLZOIS,X,X,O,O,X,O,X,O
TJLZOSI,X,X,O,O,X,O,X,O
TJLOISZ,O,X,O,X,X,O,X,X
TJLOIZS,X,X,O,O,X,O,X,X
TJLOSIZ,O,X,O,O,X,O,X,X
TJLOSZI,O,X,O,O,X,O,X,X
TJLOZIS,X,X,O,O,X,O,X,O
TJLOZSI,X,X,O,O,X,O,X,O
TJSILZO,O,X,X,X,O,O,X,X
TJSILOZ,X,X,O,X,O,O,X,X
TJSIZLO,O,X,X,X,O,X,X,X
TJSIZOL,O,X,X,X,X,X,O,X
TJSIOLZ,O,X,O,X,X,X,X,X
TJSIOZL,O,X,X,X,X,X,X,X
TJSLIZO,O,X,X,X,O,O,X,X
TJSLIOZ,X,X,O,X,O,O,X,X
TJSLZIO,O,X,X,X,X,O,X,X
TJSLZOI,O,X,O,X,X,O,X,O
TJSLOIZ,O,X,O,O,X,O,X,X
TJSLOZI,O,X,O,O,X,O,X,X
TJSZILO,O,X,X,X,X,X,X,X
TJSZIOL,O,X,X,X,X,X,O,X
TJSZLIO,O,X,X,X,X,O,X,X
TJSZLOI,O,X,O,X,X,O,X,O
TJSZOIL,O,X,X,X,X,X,O,X
TJSZOLI,O,X,O,X,X,X,X,O
TJSOILZ,O,X,O,X,X,X,X,X
TJSOIZL,O,X,X,X,X,X,X,X
TJSOLIZ,O,X,O,O,X,O,X,X
TJSOLZI,O,X,O,O,X,O,X,X
TJSOZIL,O,X,X,X,X,X,X,X
TJSOZLI,O,X,O,O,X,X,X,X
TJZILSO,X,O,X,X,X,X,X,X
TJZILOS,X,X,X,X,X,X,X,O
TJZISLO,O,O,X,X,X,X,X,X
TJZISOL,O,X,X,X,X,X,O,X
TJZIOLS,X,X,X,X,X,X,X,O
TJZIOSL,X,X,X,X,X,X,O,X
TJZLISO,X,X,X,X,X,O,X,X
TJZLIOS,X,X,X,X,X,O,X,O
TJZLSIO,X,X,X,X,X,O,X,X
TJZLSOI,X,X,O,X,X,O,X,O
TJZLOIS,X,X,O,O,X,O,X,O
TJZLOSI,X,X,O,O,X,O,X,O
TJZSILO,O,X,X,X,X,X,X,X
TJZSIOL,O,X,X,X,X,X,O,X
TJZSLIO,O,X,X,X,X,O,X,X
TJZSLOI,O,X,O,X,X,O,X,O
TJZSOIL,O,X,X,X,X,X,O,X
TJZSOLI,O,X,O,X,X,X,X,O
TJZOILS,X,O,X,X,X,X,X,O
TJZOISL,O,O,X,X,X,X,O,X
TJZOLIS,X,X,O,O,X,X,X,O
TJZOLSI,X,X,O,O,X,X,X,O
TJZOSIL,O,O,X,X,X,X,O,X
TJZOSLI,O,O,O,O,X,X,X,O
TJOILSZ,O,O,O,X,X,X,X,X
TJOILZS,X,O,O,X,X,X,X,X
TJOISLZ,O,O,O,X,X,X,X,X
TJOISZL,O,O,X,X,X,X,X,X
TJOIZLS,X,O,X,X,X,X,X,X
TJOIZSL,O,O,X,X,X,X,X,X
TJOLISZ,O,X,O,X,X,O,X,X
TJOLIZS,X,X,O,O,X,O,X,X
TJOLSIZ,O,X,O,O,X,O,X,X
TJOLSZI,O,X,O,O,X,O,X,X
TJOLZIS,X,X,O,O,X,O,X,O
TJOLZSI,X,X,O,O,X,O,X,O
TJOSILZ,O,O,O,X,X,X,X,X
TJOSIZL,O,O,X,X,X,X,X,X
TJOSLIZ,O,X,O,O,X,O,X,X
TJOSLZI,O,O,O,O,X,O,X,X
TJOSZIL,O,O,X,X,X,X,X,X
TJOSZLI,O,O,O,O,X,X,X,X
TJOZILS,X,O,X,X,X,X,X,O
