sequence,v115@9gD8FeA8IeB8HeB8EeC8JefIJvhF6oBRlBUnBlmBTq?B2wB,v115@9gD8FeA8IeB8HeB8EeC8JeGDJvhFaqBRmBUoBlmBzq?BXsB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhFxiBToBmqBCsBUq?BFsB,v115@9gD8FeA8IeB8HeB8EeC8Je0BJvhFxiBFlBSsBToB3q?B2wB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhFTjBFlB0mBWtB3q?BywB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhF8nB+oBFlB3qBzr?BirB,v115@9gD8FeA8IeB8HeB8EeC8JeVGJvhFUlBOsBToB3mBCo?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JezCJvhF+oBRlBiqBFsB8r?BXrB,v115@9gD8FeA8IeB8HeB8EeC8JeKGJvhFWnBxiBToB0qBXs?BFqB,v115@9gD8FeA8IeB8HeB8EeC8JemBJvhFCjBToBxqBXsBUq?BFrB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhFVnBUlBToBCoBmr?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JemBJvhFCjBUlBToBxrB3q?B1wB,v115@9gD8FeA8IeB8HeB8EeC8JeUFJvhFFmBXnBToBCoBmr?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JeRFJvhFFnBXoBGoBTqB0r?BirB,v115@9gD8FeA8IeB8HeB8EeC8JeeGJvhFUiBFlBfsBToBCo?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JeVHJvhFUjBRlBXmBStB2v?BzrB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhF6oBUlB1rBznBOs?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhF6oB1qBznB3rBUq?BmrB,v115@9gD8FeA8IeB8HeB8EeC8JeWIJvhFUlBRmBlmBToByv?BXsB,v115@9gD8FeA8IeB8HeB8EeC8JeTBJvhF6oBUlBmnBxrB1v?BXsB,v115@9gD8FeA8IeB8HeB8EeC8Je0CJvhF6oBFlB3qBRsBmr?BTrB
TIZOSJL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TIOLJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOLSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TIOJLSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJLZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJZLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOJZSL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIOSLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOSLZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOSZLJ,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TIOSZJL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
TIOZLJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
TIOZJLS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TIOZJSL,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X
TIOZSLJ,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
TIOZSJL,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X
TLIJSZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
