sequence,v115@9gD8FeA8IeB8HeB8EeC8JefIJvhF6oBRlBUnBlmBTq?B2wB,v115@9gD8FeA8IeB8HeB8EeC8JeGDJvhFaqBRmBUoBlmBzq?BXsB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhFxiBToBmqBCsBUq?BFsB,v115@9gD8FeA8IeB8HeB8EeC8Je0BJvhFxiBFlBSsBToB3q?B2wB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhFTjBFlB0mBWtB3q?BywB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhF8nB+oBFlB3qBzr?BirB,v115@9gD8FeA8IeB8HeB8EeC8JeVGJvhFUlBOsBToB3mBCo?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JezCJvhF+oBRlBiqBFsB8r?BXrB,v115@9gD8FeA8IeB8HeB8EeC8JeKGJvhFWnBxiBToB0qBXs?BFqB,v115@9gD8FeA8IeB8HeB8EeC8JemBJvhFCjBToBxqBXsBUq?BFrB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhFVnBUlBToBCoBmr?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JemBJvhFCjBUlBToBxrB3q?B1wB,v115@9gD8FeA8IeB8HeB8EeC8JeUFJvhFFmBXnBToBCoBmr?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JeRFJvhFFnBXoBGoBTqB0r?BirB,v115@9gD8FeA8IeB8HeB8EeC8JeeGJvhFUiBFlBfsBToBCo?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JeVHJvhFUjBRlBXmBStB2v?BzrB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhF6oBUlB1rBznBOs?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhF6oB1qBznB3rBUq?BmrB,v115@9gD8FeA8IeB8HeB8EeC8JeWIJvhFUlBRmBlmBToByv?BXsB,v115@9gD8FeA8IeB8HeB8EeC8JeTBJvhF6oBUlBmnBxrB1v?BXsB,v115@9gD8FeA8IeB8HeB8EeC8Je0CJvhF6oBFlB3qBRsBmr?BTrB
JLZITSO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JLZITOS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JLZISTO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLZISOT,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZIOTS,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JLZIOST,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSTIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSTOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSITO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLZSIOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSOTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSOIT,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOTIS,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOTSI,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOITS,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
JLZOIST,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOSTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOSIT,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTISZ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTIZS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JLOTSIZ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTSZI,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTZIS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JLOTZSI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOITSZ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOITZS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JLOISTZ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JLOISZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZTS,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOIZST,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSTIZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JLOSTZI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JLOSITZ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JLOSIZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSZTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSZIT,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZTIS,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZTSI,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZITS,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
JLOZIST,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZSTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZSIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTILZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTILOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSTIZLO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTIZOL,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSTIOLZ,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSTIOZL,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSTLIZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLIOZ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTLZIO,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLZOI,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLOIZ,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTLOZI,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZILO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSTZIOL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSTZLIO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZLOI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZOIL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZOLI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOILZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSTOIZL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOLIZ,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSTOLZI,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSTOZIL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOZLI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITLZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITLOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSITZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITZOL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSITOLZ,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSITOZL,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSILTZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILTOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILZTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILZOT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILOZT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIZTOL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIZLTO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIZLOT,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSIZOTL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIZOLT,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSIOTLZ,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSIOTZL,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JSIOLTZ,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIOLZT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIOZTL,O,X,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSIOZLT,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLTIZO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIOZ,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLTZIO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTZOI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTOIZ,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLTOZI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLITZO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLITOZ,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLIZTO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLIZOT,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,O,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLIOZT,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZITO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JSLZIOT,O,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JSLZOTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZOIT,X,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOTZI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOITZ,O,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOIZT,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOZTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOZIT,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZTILO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZTIOL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZTLIO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLOI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOIL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOLI,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZITLO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZITOL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZILTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JSZILOT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZIOTL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZIOLT,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZLTIO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTOI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JSZLIOT,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JSZLOTI,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOIT,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZOTIL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTLI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOITL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZOILT,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZOLTI,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLIT,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOTILZ,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JSOTIZL,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JSOTLIZ,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOTLZI,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOTZIL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOTZLI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOITLZ,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSOITZL,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JSOILTZ,O,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JSOILZT,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOIZTL,O,X,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSOIZLT,O,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JSOLTZI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOLITZ,O,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JSOLIZT,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOLZTI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLZIT,O,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOZTIL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTLI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZITL,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JSOZILT,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSOZLTI,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLIT,O,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTILSO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZTILOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZTISLO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTISOL,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTIOLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTIOSL,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTLISO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JZTLIOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JZTLSIO,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLSOI,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTLOIS,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLOSI,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSILO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSIOL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSLIO,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLOI,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSOIL,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSOLI,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOILS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOISL,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZTOLIS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOLSI,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOSIL,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOSLI,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITLSO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZITLOS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
JZITSLO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITSOL,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITOLS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZITOSL,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZILTSO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JZILTOS,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JZILSTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZILSOT,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILOTS,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JZILOST,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISTLO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISTOL,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZISLTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZISLOT,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISOTL,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZISOLT,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZIOTLS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZIOTSL,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JZIOLTS,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JZIOLST,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZIOSTL,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZIOSLT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLTISO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLTIOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLTSIO,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSOI,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTOIS,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOSI,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLITSO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLITOS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLISTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLISOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLIOST,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZLSTOI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLSITO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JZLSIOT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZLSOTI,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLSOIT,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZLOTIS,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTSI,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLOITS,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
JZLOIST,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOSTI,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLOSIT,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTILO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZSTIOL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JZSTLIO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLOI,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSTOIL,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSTOLI,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSITLO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZSITOL,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JZSILTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JZSILOT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZSIOTL,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JZSIOLT,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZSLTIO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSLITO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JZSLIOT,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZSLOTI,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSLOIT,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTIL,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSOTLI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSOITL,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JZSOILT,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZSOLTI,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSOLIT,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOTISL,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
