sequence,v115@PhB8FeE8AeB8CeC8JeT/IvhF/lBWnBxiBlpB0rBarB,v115@PhB8FeE8AeB8CeC8Je0/IvhFlgBzhBCjB/pBxqB2wB,v115@PhB8FeE8AeB8CeC8Jel/IvhFWnBxiB/pBTlB0rBarB,v115@PhB8FeE8AeB8CeC8JeKEJvhFFhBxiBTlBcrBupBXsB,v115@PhB8FeE8AeB8CeC8JeT/IvhFigBxiBWrBlpBcrBXsB,v115@PhB8FeE8AeB8CeC8JeT/IvhF2lBxiBCnBfrBlpB0rB,v115@PhB8FeE8AeB8CeC8JexCJvhFTkB2qBCnBfrBlpB0rB,v115@PhB8FeE8AeB8CeC8Je3AJvhFCjBTkBxqBcrBesBlpB,v115@PhB8FeE8AeB8CeC8JeOEJvhFXgBxiBUmBCqBFsBTrB
TIOLJSZ,X,O,X,X,O,O,O,X,X
TIOLJZS,O,X,X,X,O,O,X,O,X
TIOLSJZ,X,O,X,X,X,O,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,X,X
TIOLZJS,O,X,X,O,X,O,X,X,X
TIOLZSJ,O,O,X,O,X,X,X,X,X
TIOJLSZ,X,O,X,X,O,O,O,X,X
TIOJLZS,O,X,X,X,O,O,X,O,X
TIOJSLZ,X,O,X,X,O,O,X,X,X
TIOJSZL,O,O,X,X,O,X,X,X,X
TIOJZLS,O,X,X,X,O,O,X,O,X
TIOJZSL,O,X,X,X,O,X,X,O,X
TIOSLJZ,X,O,X,X,X,O,X,X,X
TIOSLZJ,O,O,O,X,X,X,X,X,X
TIOSJLZ,X,O,X,X,O,O,X,X,X
TIOSJZL,O,O,O,X,O,X,X,X,X
TIOSZLJ,O,O,O,X,X,X,X,X,X
TIOSZJL,O,O,O,X,X,X,X,O,X
TIOZLJS,O,X,X,O,X,O,X,X,X
TIOZLSJ,O,O,X,O,X,X,X,X,X
TIOZJLS,O,X,X,O,O,O,X,O,X
TIOZJSL,O,X,O,X,O,X,X,O,X
TIOZSLJ,O,O,O,O,X,X,X,X,X
TIOZSJL,O,O,O,X,X,X,X,O,X
TLIJSZO,X,O,X,X,O,X,X,X,X
TLIJSOZ,X,O,X,X,O,O,X,X,X
TLIJZSO,O,X,X,X,O,X,X,X,X
TLIJZOS,O,X,X,X,O,O,X,X,X
TLIJOSZ,X,O,X,X,O,O,O,X,X
TLIJOZS,O,X,X,X,O,O,X,X,X
TLISJZO,X,O,X,X,X,X,X,X,X
TLISJOZ,X,O,X,X,X,O,X,X,X
TLISZJO,O,O,X,X,X,X,X,X,X
TLISZOJ,O,O,X,X,X,X,X,X,X
TLISOJZ,X,O,X,X,X,O,X,X,X
TLISOZJ,O,O,X,X,X,X,X,X,X
TLIZJSO,O,X,X,X,X,X,X,X,X
TLIZJOS,O,X,X,X,X,O,X,X,X
TLIZSJO,O,O,X,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,X,X,X
TLIZOJS,O,X,X,O,X,O,X,X,X
TLIZOSJ,O,O,X,O,X,X,X,X,X
TLIOJSZ,X,O,X,X,O,O,O,X,X
TLIOJZS,O,X,X,X,O,O,X,O,X
TLIOSJZ,X,O,X,X,X,O,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,X,X
TLIOZJS,O,X,X,O,X,O,X,X,X
TLIOZSJ,O,O,X,O,X,X,X,X,X
TLJISZO,X,X,X,X,O,X,X,X,X
TLJISOZ,X,X,X,X,O,O,X,X,X
TLJIZSO,O,X,X,X,O,X,X,X,X
TLJIZOS,O,X,X,X,O,O,X,X,X
TLJIOSZ,X,X,X,X,O,O,O,X,X
TLJIOZS,O,X,X,X,O,O,X,X,X
TLJSIZO,X,X,X,X,O,X,X,X,X
TLJSIOZ,X,X,X,X,O,O,X,X,X
TLJSZIO,X,X,X,X,O,X,X,X,O
TLJSZOI,X,X,X,X,O,X,X,X,O
TLJSOIZ,X,X,X,X,O,O,X,X,X
TLJSOZI,X,X,X,X,O,O,X,X,X
TLJZISO,O,X,X,X,O,X,X,X,O
TLJZIOS,O,X,X,X,O,O,X,X,O
TLJZSIO,O,X,X,X,O,X,X,X,O
TLJZSOI,O,X,X,X,O,X,X,X,O
TLJZOIS,O,X,X,X,O,O,X,X,O
TLJZOSI,O,X,X,X,O,O,X,X,O
TLJOISZ,X,X,X,X,O,O,O,X,X
TLJOIZS,O,X,X,X,O,O,X,X,X
TLJOSIZ,X,X,X,X,O,O,O,X,X
TLJOSZI,X,X,X,X,O,O,O,X,X
TLJOZIS,O,X,X,X,O,O,X,X,X
TLJOZSI,O,X,X,X,O,O,X,X,X
TLSIJZO,X,O,X,X,X,X,X,X,X
TLSIJOZ,X,O,X,X,X,O,X,X,X
TLSIZJO,O,O,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,X,X,X,X,X
TLSIOJZ,X,O,X,X,X,O,X,X,X
TLSIOZJ,O,O,X,X,X,X,X,X,X
TLSJIZO,X,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,O,X,X,X
TLSJZIO,X,X,X,X,O,X,X,X,O
TLSJZOI,X,X,X,X,O,X,X,X,O
TLSJOIZ,X,X,X,X,X,O,X,X,X
TLSJOZI,X,X,X,X,O,O,X,X,X
TLSZIJO,O,O,X,X,X,X,X,X,X
TLSZIOJ,O,O,X,X,X,X,X,X,X
TLSZJIO,O,O,X,X,X,X,X,X,O
TLSZJOI,O,O,X,X,X,X,X,X,O
TLSZOIJ,O,O,X,X,X,X,X,X,X
TLSZOJI,O,O,X,X,X,X,X,X,X
TLSOIJZ,X,O,X,X,X,O,X,X,X
TLSOIZJ,O,O,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,X,X,O,X,X,X
TLSOJZI,X,X,X,X,O,O,X,X,X
TLSOZIJ,O,O,X,X,X,X,X,X,X
TLSOZJI,O,O,X,X,X,X,X,X,X
TLZIJSO,O,X,X,X,X,X,X,X,X
TLZIJOS,O,X,X,X,X,O,X,X,X
TLZISJO,O,X,X,X,X,X,X,X,X
TLZISOJ,O,X,X,X,X,X,X,X,X
TLZIOJS,O,X,X,O,X,O,X,X,X
TLZIOSJ,O,X,X,O,X,X,X,X,X
TLZJISO,O,X,X,X,O,X,X,X,O
TLZJIOS,O,X,X,X,O,O,X,X,O
TLZJSIO,O,X,X,X,O,X,X,X,O
TLZJSOI,O,X,X,X,O,X,X,X,O
TLZJOIS,O,X,X,X,O,O,X,X,O
TLZJOSI,O,X,X,X,O,O,X,X,O
TLZSIJO,O,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,X,X,X,X
TLZSJIO,O,X,X,X,X,X,X,X,O
TLZSJOI,O,X,X,X,X,X,X,X,O
TLZSOIJ,O,X,X,X,X,X,X,X,X
TLZSOJI,O,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,O,X,O,X,X,X
TLZOISJ,O,X,X,O,X,X,X,X,X
TLZOJIS,O,X,X,O,O,O,X,X,X
TLZOJSI,O,X,X,O,O,O,X,X,X
TLZOSIJ,O,X,X,O,X,X,X,X,X
TLZOSJI,O,X,X,O,X,X,X,X,X
TLOIJSZ,X,O,X,X,O,O,O,X,X
TLOIJZS,O,X,X,X,O,O,X,O,X
TLOISJZ,X,O,X,X,X,O,X,X,X
TLOISZJ,O,O,X,X,X,X,X,X,X
TLOIZJS,O,X,X,O,X,O,X,X,X
TLOIZSJ,O,O,X,O,X,X,X,X,X
TLOJISZ,X,X,X,X,O,O,O,X,X
TLOJIZS,O,X,X,X,O,O,X,X,X
TLOJSIZ,X,X,X,X,O,O,O,X,X
TLOJSZI,X,X,X,X,O,O,O,X,X
TLOJZIS,O,X,X,X,O,O,X,X,X
TLOJZSI,O,X,X,X,O,O,X,X,X
TLOSIJZ,X,O,X,X,X,O,X,X,X
TLOSIZJ,O,O,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,X,O,X,X,X
TLOSJZI,X,X,X,X,O,O,X,X,X
TLOSZIJ,O,O,X,X,X,X,X,X,X
TLOSZJI,O,O,X,X,X,X,X,X,X
TLOZIJS,O,X,X,O,X,O,X,X,X
TLOZISJ,O,X,X,O,X,X,X,X,X
TLOZJIS,O,X,X,O,O,O,X,X,X
TLOZJSI,O,X,X,O,O,O,X,X,X
TLOZSIJ,O,X,X,O,X,X,X,X,X
TLOZSJI,O,X,X,O,X,X,X,X,X
TJILSZO,X,X,X,X,O,X,X,X,X
TJILSOZ,X,X,X,X,O,O,X,X,X
TJILZSO,O,X,X,X,O,X,X,X,X
TJILZOS,O,X,X,X,O,O,X,X,X
TJILOSZ,X,X,X,X,O,O,O,X,X
TJILOZS,O,X,X,X,O,O,X,X,X
TJISLZO,X,X,X,X,O,X,X,X,X
TJISLOZ,X,X,X,X,O,O,X,X,X
TJISZLO,O,X,X,X,O,X,X,X,X
TJISZOL,O,X,O,X,O,X,X,X,X
TJISOLZ,X,X,X,X,O,O,X,X,X
TJISOZL,O,X,X,X,O,X,X,X,X
TJIZLSO,O,X,X,X,O,X,X,X,X
TJIZLOS,O,X,X,X,O,O,X,X,X
TJIZSLO,O,X,X,X,O,X,X,X,X
TJIZSOL,O,X,O,X,O,X,X,X,X
TJIZOLS,O,X,X,X,O,O,X,X,X
TJIZOSL,O,X,O,X,O,X,X,X,X
TJIOLSZ,X,X,X,X,O,O,O,X,X
TJIOLZS,O,X,X,X,O,O,X,X,X
TJIOSLZ,X,X,X,X,O,O,X,X,X
TJIOSZL,O,X,X,X,O,X,X,X,X
TJIOZLS,O,X,X,X,O,O,X,X,X
TJIOZSL,O,X,X,X,O,X,X,X,X
TJLISZO,X,X,X,X,O,X,X,X,X
TJLISOZ,X,X,X,X,O,O,X,X,X
TJLIZSO,O,X,X,X,O,X,X,X,X
TJLIZOS,O,X,X,X,O,O,X,X,X
TJLIOSZ,X,X,X,X,O,O,O,X,X
TJLIOZS,O,X,X,X,O,O,X,X,X
TJLSIZO,X,X,X,X,O,X,X,X,X
TJLSIOZ,X,X,X,X,O,O,X,X,X
TJLSZIO,X,X,X,X,O,X,X,X,O
TJLSZOI,X,X,X,X,O,X,X,X,O
TJLSOIZ,X,X,X,X,O,O,X,X,X
TJLSOZI,X,X,X,X,O,O,X,X,X
TJLZISO,O,X,X,X,O,X,X,X,O
TJLZIOS,O,X,X,X,O,O,X,X,O
TJLZSIO,O,X,X,X,O,X,X,X,O
TJLZSOI,O,X,X,X,O,X,X,X,O
TJLZOIS,O,X,X,X,O,O,X,X,O
TJLZOSI,O,X,X,X,O,O,X,X,O
TJLOISZ,X,X,X,X,O,O,O,X,X
TJLOIZS,O,X,X,X,O,O,X,X,X
TJLOSIZ,X,X,X,X,O,O,O,X,X
TJLOSZI,X,X,X,X,O,O,O,X,X
TJLOZIS,O,X,X,X,O,O,X,X,X
TJLOZSI,O,X,X,X,O,O,X,X,X
TJSILZO,X,X,X,X,O,X,X,X,X
TJSILOZ,X,X,X,X,O,O,X,X,X
TJSIZLO,O,X,X,X,O,X,X,X,X
TJSIZOL,O,X,O,X,O,X,X,X,X
TJSIOLZ,X,X,X,X,O,O,X,X,X
TJSIOZL,O,X,X,X,O,X,X,X,X
TJSLIZO,X,X,X,X,O,X,X,X,X
TJSLIOZ,X,X,X,X,O,O,X,X,X
TJSLZIO,X,X,X,X,O,X,X,X,X
TJSLZOI,X,X,X,X,O,X,X,X,X
TJSLOIZ,X,X,X,X,O,O,X,X,X
TJSLOZI,X,X,X,X,O,O,X,X,X
TJSZILO,O,X,X,X,O,X,X,X,X
TJSZIOL,O,X,O,X,O,X,X,X,X
TJSZLIO,O,X,X,X,O,X,X,X,X
TJSZLOI,O,X,X,X,O,X,X,X,X
TJSZOIL,O,X,O,X,O,X,X,X,X
TJSZOLI,O,X,O,X,O,X,X,X,X
TJSOILZ,X,X,X,X,O,O,X,X,X
TJSOIZL,O,X,X,X,O,X,X,X,X
TJSOLIZ,X,X,X,X,O,O,X,X,X
TJSOLZI,X,X,X,X,O,O,X,X,X
TJSOZIL,O,X,X,X,O,X,X,X,X
TJSOZLI,O,X,X,X,O,X,X,X,X
TJZILSO,O,X,X,X,O,X,X,X,X
TJZILOS,O,X,X,X,O,O,X,X,X
TJZISLO,O,X,X,X,O,X,X,X,X
TJZISOL,O,X,O,X,O,X,X,X,X
TJZIOLS,O,X,X,X,O,O,X,X,X
TJZIOSL,O,X,O,X,O,X,X,X,X
TJZLISO,O,X,X,X,O,X,X,X,X
TJZLIOS,O,X,X,X,O,O,X,X,X
TJZLSIO,O,X,X,X,O,X,X,X,X
TJZLSOI,O,X,X,X,O,X,X,X,X
TJZLOIS,O,X,X,X,O,O,X,X,X
TJZLOSI,O,X,X,X,O,O,X,X,X
TJZSILO,O,X,X,X,O,X,X,X,X
TJZSIOL,O,X,O,X,O,X,X,X,X
TJZSLIO,O,X,X,X,O,X,X,X,X
TJZSLOI,O,X,X,X,O,X,X,X,X
TJZSOIL,O,X,O,X,O,X,X,X,X
TJZSOLI,O,X,O,X,O,X,X,X,X
TJZOILS,O,X,X,X,O,O,X,X,X
TJZOISL,O,X,O,X,O,X,X,X,X
TJZOLIS,O,X,X,X,O,O,X,X,X
TJZOLSI,O,X,X,X,O,O,X,X,X
TJZOSIL,O,X,O,X,O,X,X,X,X
TJZOSLI,O,X,O,X,O,X,X,X,X
TJOILSZ,X,X,X,X,O,O,O,X,X
TJOILZS,O,X,X,X,O,O,X,X,X
TJOISLZ,X,X,X,X,O,O,X,X,X
TJOISZL,O,X,X,X,O,X,X,X,X
TJOIZLS,O,X,X,X,O,O,X,X,X
TJOIZSL,O,X,X,X,O,X,X,X,X
TJOLISZ,X,X,X,X,O,O,O,X,X
TJOLIZS,O,X,X,X,O,O,X,X,X
TJOLSIZ,X,X,X,X,O,O,O,X,X
TJOLSZI,X,X,X,X,O,O,O,X,X
TJOLZIS,O,X,X,X,O,O,X,X,X
TJOLZSI,O,X,X,X,O,O,X,X,X
TJOSILZ,X,X,X,X,O,O,X,X,X
TJOSIZL,O,X,X,X,O,X,X,X,X
TJOSLIZ,X,X,X,X,O,O,X,X,X
TJOSLZI,X,X,X,X,O,O,X,X,X
TJOSZIL,O,X,X,X,O,X,X,X,X
TJOSZLI,O,X,X,X,O,X,X,X,X
TJOZILS,O,X,X,X,O,O,X,X,X
TJOZISL,O,X,X,X,O,X,X,X,X
TJOZLIS,O,X,X,X,O,O,X,X,X
TJOZLSI,O,X,X,X,O,O,X,X,X
TJOZSIL,O,X,X,X,O,X,X,X,X
TJOZSLI,O,X,X,X,O,X,X,X,X
TSILJZO,X,O,X,X,X,X,X,X,X
TSILJOZ,X,O,X,X,X,O,X,X,X
TSILZJO,O,O,X,X,X,X,X,X,X
TSILZOJ,O,O,X,X,X,X,X,X,X
TSILOJZ,X,O,X,X,X,O,X,X,X
TSILOZJ,O,O,O,X,X,X,X,X,X
TSIJLZO,X,O,X,X,O,X,X,X,X
TSIJLOZ,X,O,X,X,O,O,X,X,X
TSIJZLO,O,O,X,X,O,X,X,X,X
TSIJZOL,O,O,O,X,O,X,X,X,X
TSIJOLZ,X,O,X,X,O,O,X,X,X
TSIJOZL,O,O,O,X,O,X,X,X,X
TSIZLJO,O,O,X,X,X,X,X,X,X
TSIZLOJ,O,O,X,X,X,X,X,X,X
TSIZJLO,O,O,X,X,X,X,X,X,X
TSIZJOL,O,O,O,X,X,X,X,X,X
TSIZOLJ,O,O,O,X,X,X,X,X,X
TSIZOJL,O,O,O,X,X,X,X,X,X
TSIOLJZ,X,O,X,X,X,O,X,X,X
TSIOLZJ,O,O,O,X,X,X,X,X,X
TSIOJLZ,X,O,X,X,O,O,X,X,X
TSIOJZL,O,O,O,X,O,X,X,X,X
TSIOZLJ,O,O,O,X,X,X,X,X,X
TSIOZJL,O,O,O,X,X,X,X,X,X
TSLIJZO,X,O,X,X,X,X,X,X,X
TSLIJOZ,X,O,X,X,X,O,X,X,X
TSLIZJO,O,O,X,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,X,X
TSLIOJZ,X,O,X,X,X,O,X,X,X
TSLIOZJ,O,O,O,X,X,X,X,X,X
TSLJIZO,X,X,X,X,X,X,X,X,X
TSLJIOZ,X,X,X,X,X,O,X,X,X
TSLJZIO,X,X,X,X,O,X,X,X,X
TSLJZOI,X,X,X,X,O,X,X,X,X
TSLJOIZ,X,X,X,X,X,O,X,X,X
TSLJOZI,X,X,X,X,O,O,X,X,X
TSLZIJO,O,O,X,X,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X,X
TSLZJIO,O,O,X,X,X,X,X,X,X
TSLZJOI,O,O,X,X,X,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X,X
TSLZOJI,O,O,X,X,X,X,X,X,X
TSLOIJZ,X,O,X,X,X,O,X,X,X
TSLOIZJ,O,O,O,X,X,X,X,X,X
TSLOJIZ,X,X,X,X,X,O,X,X,X
TSLOJZI,X,X,X,X,O,O,X,X,X
TSLOZIJ,O,O,O,X,X,X,X,X,X
TSLOZJI,O,O,O,X,X,X,X,X,X
TSJILZO,X,X,X,X,O,X,X,X,X
TSJILOZ,X,X,X,X,O,O,X,X,X
TSJIZLO,O,X,X,X,O,X,X,X,X
TSJIZOL,O,X,O,X,O,X,X,X,X
TSJIOLZ,X,X,X,X,O,O,X,X,X
TSJIOZL,O,X,O,X,O,X,X,X,X
TSJLIZO,X,X,X,X,O,X,X,X,X
TSJLIOZ,X,X,X,X,O,O,X,X,X
TSJLZIO,X,X,X,X,O,X,X,X,X
TSJLZOI,X,X,X,X,O,X,X,X,X
TSJLOIZ,X,X,X,X,O,O,X,X,X
TSJLOZI,X,X,X,X,O,O,X,X,X
TSJZILO,O,X,X,X,O,X,X,X,X
TSJZIOL,O,X,O,X,O,X,X,X,X
TSJZLIO,O,X,X,X,O,X,X,X,X
TSJZLOI,O,X,X,X,O,X,X,X,X
TSJZOIL,O,X,O,X,O,X,X,X,X
TSJZOLI,O,X,O,X,O,X,X,X,X
TSJOILZ,X,X,X,X,O,O,X,X,X
TSJOIZL,O,X,O,X,O,X,X,X,X
TSJOLIZ,X,X,X,X,O,O,X,X,X
TSJOLZI,X,X,X,X,O,O,X,X,X
TSJOZIL,O,X,O,X,O,X,X,X,X
TSJOZLI,O,X,O,X,O,X,X,X,X
TSZILJO,O,O,X,X,X,X,X,X,X
TSZILOJ,O,O,X,X,X,X,X,X,X
TSZIJLO,O,O,X,X,X,X,X,X,X
TSZIJOL,O,O,O,X,X,X,X,X,X
TSZIOLJ,O,O,O,X,X,X,X,X,X
TSZIOJL,O,O,O,X,X,X,X,X,X
TSZLIJO,O,O,X,X,X,X,X,X,X
TSZLIOJ,O,O,X,X,X,X,X,X,X
TSZLJIO,O,O,X,X,X,X,X,X,X
TSZLJOI,O,O,X,X,X,X,X,X,X
TSZLOIJ,O,O,X,X,X,X,X,X,X
TSZLOJI,O,O,X,X,X,X,X,X,X
TSZJILO,O,O,X,X,X,X,X,X,X
TSZJIOL,O,O,O,X,X,X,X,X,X
TSZJLIO,O,O,X,X,X,X,X,X,X
TSZJLOI,O,O,X,X,X,X,X,X,X
TSZJOIL,O,X,O,X,X,X,X,X,X
TSZJOLI,O,O,O,X,X,X,X,X,X
TSZOILJ,O,O,O,X,X,X,X,X,X
TSZOIJL,O,O,O,X,X,X,X,X,X
TSZOLIJ,O,O,O,X,X,X,X,X,X
TSZOLJI,O,O,O,X,X,X,X,X,X
TSZOJIL,O,X,O,X,X,X,X,X,X
TSZOJLI,O,O,O,X,X,X,X,X,X
TSOILJZ,X,O,X,X,X,O,X,X,X
TSOILZJ,O,O,O,X,X,X,X,X,X
TSOIJLZ,X,O,X,X,O,O,X,X,X
TSOIJZL,O,O,O,X,O,X,X,X,X
TSOIZLJ,O,O,O,X,X,X,X,X,X
TSOIZJL,O,O,O,X,X,X,X,X,X
TSOLIJZ,X,O,X,X,X,O,X,X,X
TSOLIZJ,O,O,O,X,X,X,X,X,X
TSOLJIZ,X,X,X,X,X,O,X,X,X
TSOLJZI,X,X,X,X,O,O,X,X,X
TSOLZIJ,O,O,O,X,X,X,X,X,X
TSOLZJI,O,O,O,X,X,X,X,X,X
TSOJILZ,X,X,X,X,O,O,X,X,X
TSOJIZL,O,X,O,X,O,X,X,X,X
TSOJLIZ,X,X,X,X,O,O,X,X,X
TSOJLZI,X,X,X,X,O,O,X,X,X
TSOJZIL,O,X,O,X,O,X,X,X,X
TSOJZLI,O,X,O,X,O,X,X,X,X
TSOZILJ,O,O,O,X,X,X,X,X,X
TSOZIJL,O,O,O,X,X,X,X,X,X
TSOZLIJ,O,O,O,X,X,X,X,X,X
TSOZLJI,O,O,O,X,X,X,X,X,X
TSOZJIL,O,X,O,X,X,X,X,X,X
TSOZJLI,O,O,O,X,X,X,X,X,X
TZILJSO,O,X,X,X,X,X,X,X,X
TZILJOS,O,X,X,X,X,O,X,X,X
TZILSJO,O,X,X,X,X,X,X,X,X
TZILSOJ,O,X,X,X,X,X,X,X,X
TZILOJS,O,X,X,O,X,O,X,X,X
TZILOSJ,O,X,X,O,X,X,X,X,X
TZIJLSO,O,X,X,X,O,X,X,X,X
TZIJLOS,O,X,X,X,O,O,X,X,X
TZIJSLO,O,X,X,X,O,X,X,X,X
TZIJSOL,O,X,O,X,O,X,X,X,X
TZIJOLS,O,X,X,O,O,O,X,X,X
TZIJOSL,O,X,O,X,O,X,X,X,X
TZISLJO,O,X,X,X,X,X,X,X,X
TZISLOJ,O,X,X,X,X,X,X,X,X
TZISJLO,O,X,X,X,X,X,X,X,X
TZISJOL,O,X,O,X,X,X,X,X,X
TZISOLJ,O,X,O,O,X,X,X,X,X
TZISOJL,O,X,O,X,X,X,X,X,X
TZIOLJS,O,X,X,O,X,O,X,X,X
TZIOLSJ,O,X,X,O,X,X,X,X,X
TZIOJLS,O,X,X,O,O,O,X,X,X
TZIOJSL,O,X,O,X,O,X,X,X,X
TZIOSLJ,O,X,O,O,X,X,X,X,X
TZIOSJL,O,X,O,X,X,X,X,X,X
TZLIJSO,O,X,X,X,X,X,X,X,X
