sequence,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeOEJvhFXgBaoBRmBc?sBlmBzpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeT/IvhFxgBilBfsBm?nBlnB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeFBJvhFiiBxkBfsBz?nBmkB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8Jex/IvhFXhB8mBziBl?pBisBmpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8Jel/IvhFUhBziB2pBR?sBasBXqB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeXAJvhFVmBziB2pBR?sBasB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUAJvhFRhBziBlmBm?pBisB/pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeFBJvhFmiBxkBfsB0?nBikBzpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUBJvhFziB/pBFlBR?sBasBmpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JexAJvhFTkBilBfsBm?nBlnB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUBJvhFeoBxkBXnBi?kBzpBFsB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeFBJvhFTiBeoBxkBf?sBypB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUBJvhFxkBlnBikBf?sBmnBzpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8Je0/IvhFziB/pBRmBO?qBlmBisB
JLOZIST,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JLOZSTI,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JLOZSIT,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JSTILZO,X,O,X,X,O,O,O,X,O,X,X,X,X,X
JSTILOZ,X,X,X,X,O,O,O,X,O,O,X,O,X,X
JSTIZLO,X,X,X,O,O,O,X,O,O,X,X,X,X,X
JSTIZOL,X,X,X,X,O,O,X,O,O,X,O,O,X,X
JSTIOLZ,X,X,O,X,O,O,X,X,O,X,X,O,X,X
JSTIOZL,X,X,X,X,O,O,X,X,O,X,X,O,X,X
JSTLIZO,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JSTLIOZ,X,X,X,X,X,O,O,X,X,O,X,O,X,X
JSTLZIO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JSTLZOI,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JSTLOIZ,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JSTLOZI,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JSTZILO,X,X,X,O,O,O,X,O,O,X,X,X,X,X
JSTZIOL,X,X,O,X,O,O,X,O,O,X,O,O,X,X
JSTZLIO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JSTZLOI,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JSTZOIL,X,X,O,X,X,X,X,O,X,X,O,O,X,X
JSTZOLI,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSTOILZ,X,X,O,X,X,O,X,X,X,X,X,O,X,X
JSTOIZL,X,X,X,X,X,O,X,O,X,X,O,O,X,X
JSTOLIZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X
JSTOLZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSTOZIL,X,X,O,X,X,X,X,O,X,X,O,O,X,X
JSTOZLI,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSITLZO,X,O,X,X,O,O,X,X,O,X,X,X,X,X
JSITLOZ,X,X,X,X,O,O,X,X,O,O,X,O,X,X
JSITZLO,X,X,X,X,O,O,X,O,O,X,X,X,X,X
JSITZOL,X,X,X,X,O,O,X,O,O,X,O,O,X,X
JSITOLZ,X,X,O,X,O,O,X,X,O,X,X,O,X,X
JSITOZL,X,X,X,X,O,O,X,X,O,X,X,O,X,X
JSILTZO,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JSILTOZ,X,X,X,X,O,O,X,X,X,O,X,O,X,X
JSILZTO,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JSILZOT,X,O,X,X,O,X,X,X,X,O,O,X,X,O
JSILOTZ,X,X,X,X,O,O,X,X,X,O,X,O,X,X
JSILOZT,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JSIZTLO,X,X,X,X,O,O,X,O,O,X,X,X,X,X
JSIZTOL,X,X,X,X,O,O,X,O,O,X,O,O,X,X
JSIZLTO,X,O,X,X,O,X,X,O,X,X,X,X,X,X
JSIZLOT,X,O,X,O,O,X,X,X,X,O,O,X,X,O
JSIZOTL,X,X,X,X,O,O,X,O,O,X,O,O,X,X
JSIZOLT,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JSIOTLZ,X,X,O,X,O,O,X,X,O,X,X,O,X,X
JSIOTZL,X,X,X,X,O,O,X,X,O,X,O,O,X,X
JSIOLTZ,X,X,O,X,O,O,X,X,X,O,X,O,X,X
JSIOLZT,X,O,X,X,O,X,X,X,X,O,O,X,X,X
JSIOZTL,X,X,X,X,O,O,X,X,O,X,O,O,X,X
JSIOZLT,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JSLTIZO,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JSLTIOZ,X,X,X,X,X,O,O,X,X,O,X,O,X,X
JSLTZIO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JSLTZOI,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JSLTOIZ,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JSLTOZI,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JSLITZO,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSLITOZ,X,X,X,X,X,O,X,X,X,O,X,O,X,X
JSLIZTO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLIZOT,X,O,X,X,X,X,X,X,X,O,O,X,X,O
JSLIOTZ,X,X,X,X,X,O,X,X,X,O,X,O,X,X
JSLIOZT,X,O,X,X,X,X,X,X,X,O,X,X,X,O
JSLZTIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLZITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLZIOT,O,O,X,X,X,X,X,X,X,O,O,X,X,O
JSLZOTI,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSLZOIT,X,O,X,X,X,X,X,X,X,O,O,X,X,O
JSLOTIZ,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JSLOTZI,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JSLOITZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JSLOIZT,X,O,X,X,X,X,X,X,X,O,O,X,X,O
JSLOZTI,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSLOZIT,X,O,X,X,X,X,X,X,X,O,O,X,X,O
JSZTILO,X,X,X,O,O,O,X,O,O,X,X,X,X,X
JSZTIOL,X,X,O,X,O,O,X,O,O,X,O,O,X,X
JSZTLIO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JSZTLOI,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JSZTOIL,X,X,O,X,X,X,X,O,X,X,O,O,X,X
JSZTOLI,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSZITLO,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JSZITOL,X,X,O,X,O,O,X,O,O,X,O,O,X,X
JSZILTO,O,O,X,X,O,X,X,O,X,X,X,X,X,X
JSZILOT,O,O,X,O,O,X,X,X,X,O,O,X,X,O
JSZIOTL,X,X,O,X,O,O,X,O,O,X,O,O,X,X
JSZIOLT,O,O,O,X,O,X,X,O,X,X,O,X,X,X
JSZLTIO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JSZLTOI,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JSZLITO,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZLIOT,O,O,X,O,X,X,X,X,X,O,O,X,X,O
JSZLOTI,X,O,X,O,X,X,X,O,X,O,X,X,X,X
JSZLOIT,X,O,X,O,X,X,X,O,X,O,O,X,X,O
JSZOTIL,X,X,O,X,X,X,X,O,X,X,O,O,X,X
JSZOTLI,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSZOITL,X,X,O,X,X,X,X,O,X,X,O,O,X,X
JSZOILT,X,O,O,X,X,X,X,O,X,X,O,X,X,X
JSZOLTI,X,O,O,X,X,X,X,O,X,O,X,X,X,X
JSZOLIT,X,O,O,X,X,X,X,O,X,O,O,X,X,X
JSOTILZ,X,X,O,X,X,O,X,X,X,X,X,O,X,X
JSOTIZL,X,X,X,X,X,O,X,O,X,X,O,O,X,X
JSOTLIZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X
JSOTLZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOTZIL,X,X,O,X,X,X,X,O,X,X,O,O,X,X
JSOTZLI,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSOITLZ,X,X,O,X,X,O,X,X,X,X,X,O,X,X
JSOITZL,X,X,X,X,X,O,X,O,X,X,O,O,X,X
JSOILTZ,X,X,O,X,X,O,X,X,X,O,X,O,X,X
JSOILZT,X,O,X,X,X,X,X,X,X,O,O,X,X,X
JSOIZTL,X,X,X,X,X,O,X,O,X,X,O,O,X,X
JSOIZLT,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JSOLTIZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X
JSOLTZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOLITZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X
JSOLIZT,X,O,X,X,X,X,X,X,X,O,O,X,X,X
JSOLZTI,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSOLZIT,X,O,O,X,X,X,X,X,X,O,O,X,X,X
JSOZTIL,X,X,O,X,X,X,X,O,X,X,O,O,X,X
JSOZTLI,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSOZITL,X,X,O,X,X,X,X,O,X,X,O,O,X,X
JSOZILT,X,O,O,X,X,X,X,O,X,X,O,X,X,X
JSOZLTI,X,O,O,X,X,X,X,O,X,O,X,X,X,X
JSOZLIT,X,O,O,X,X,X,X,O,X,O,O,X,X,X
JZTILSO,O,X,X,X,O,O,O,X,X,X,X,X,O,X
JZTILOS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JZTISLO,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JZTISOL,X,X,O,X,O,O,X,X,X,X,O,O,O,X
JZTIOLS,X,X,X,X,O,O,X,X,X,X,X,X,O,X
JZTIOSL,X,X,X,X,O,O,X,X,X,X,X,X,O,X
JZTLISO,O,X,X,O,O,X,O,X,X,X,X,X,X,X
JZTLIOS,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JZTLSIO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZTLSOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZTLOIS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZTLOSI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZTSILO,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JZTSIOL,X,X,O,X,O,O,X,X,X,X,O,O,X,X
JZTSLIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSLOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSOIL,X,X,O,X,X,X,X,X,X,X,O,O,X,X
JZTSOLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOILS,X,X,X,X,O,X,X,X,X,X,X,X,O,X
JZTOISL,X,X,X,X,O,X,X,X,X,X,O,X,O,X
JZTOLIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOLSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOSIL,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZTOSLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITLSO,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JZITLOS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZITSLO,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JZITSOL,X,X,O,X,O,O,X,X,X,X,O,O,O,X
JZITOLS,X,X,X,X,O,O,X,X,X,X,X,X,O,X
JZITOSL,X,X,X,X,O,O,X,X,X,X,X,X,O,X
JZILTSO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JZILTOS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZILSTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILSOT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZILOTS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JZILOST,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISTLO,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JZISTOL,X,X,O,X,O,X,X,X,O,X,O,O,X,X
JZISLTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISLOT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZISOTL,X,X,O,X,O,X,X,X,O,X,O,O,X,X
JZISOLT,O,X,O,X,O,X,X,X,X,X,O,X,X,X
JZIOTLS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JZIOTSL,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JZIOLTS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JZIOLST,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZIOSTL,O,X,O,X,O,X,X,X,O,X,O,X,X,X
JZIOSLT,O,X,O,X,O,X,X,X,X,X,O,X,X,X
JZLTISO,O,X,X,O,O,X,O,X,X,X,X,X,X,X
JZLTIOS,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JZLTSIO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLTSOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLTOIS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLTOSI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLITSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLITOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLISTO,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZLISOT,O,O,X,X,O,X,X,X,X,X,O,X,X,X
JZLIOTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLIOST,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZLSTIO,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLSTOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLSITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,O,O,X,O,X,X,X,X,X,X,O,X,X,X
JZLSOTI,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLSOIT,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JZLOTIS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLOTSI,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLOITS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOIST,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JZLOSTI,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLOSIT,O,O,X,O,X,X,X,X,X,X,O,X,X,X
JZSTILO,X,X,X,O,O,O,X,X,O,X,X,X,X,X
JZSTIOL,X,X,O,X,O,O,X,X,O,X,O,O,X,X
JZSTLIO,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSTLOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSTOIL,X,X,O,X,X,X,X,X,X,X,O,O,X,X
JZSTOLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSITLO,O,X,X,X,O,O,X,X,O,X,X,X,X,X
JZSITOL,X,X,O,X,O,O,X,X,O,X,O,O,X,X
JZSILTO,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZSILOT,O,O,X,O,O,X,X,X,X,X,O,X,X,X
JZSIOTL,X,X,O,X,O,O,X,X,O,X,O,O,X,X
JZSIOLT,O,O,O,X,O,X,X,X,X,X,O,X,X,X
JZSLTIO,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSLTOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSLITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,O,O,X,O,X,X,X,X,X,X,O,X,X,X
JZSLOTI,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSLOIT,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JZSOTIL,X,X,O,X,X,X,X,X,X,X,O,O,X,X
JZSOTLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSOITL,X,X,O,X,X,X,X,X,X,X,O,O,X,X
JZSOILT,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JZSOLTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSOLIT,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JZOTILS,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JZOTISL,O,X,X,X,O,X,X,X,X,X,O,X,O,X
JZOTLIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTLSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTSIL,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOTSLI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOITLS,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JZOITSL,O,X,X,X,O,X,X,X,X,X,O,X,O,X
JZOILTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOILST,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZOISTL,O,X,O,X,O,X,X,X,X,X,O,X,X,X
JZOISLT,O,X,O,X,O,X,X,X,X,X,O,X,X,X
JZOLTIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLTSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLITS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLIST,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JZOLSTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSIT,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JZOSTIL,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOSTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOSITL,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOSILT,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JZOSLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JOTILSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JOTILZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JOTISLZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X
JOTISZL,X,X,X,X,O,O,X,O,X,X,O,O,X,X
JOTIZLS,X,X,X,X,O,O,X,X,X,X,X,X,O,X
JOTIZSL,X,X,X,X,O,O,X,X,X,X,O,X,O,X
JOTLISZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTLIZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTLSIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTLSZI,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTLZIS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTLZSI,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTSILZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JOTSIZL,X,X,X,X,X,O,X,O,X,X,O,O,X,X
JOTSLIZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOTSLZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZIL,O,X,X,X,X,X,X,O,X,X,O,O,X,X
JOTSZLI,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTZILS,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JOTZISL,O,X,X,X,O,X,X,X,X,X,O,X,O,X
JOTZLIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZLSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZSIL,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTZSLI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITLSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JOITLZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JOITSLZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X
JOITSZL,X,X,X,X,O,O,X,O,X,X,O,O,X,X
JOITZLS,X,X,X,X,O,O,X,X,X,X,X,X,O,X
JOITZSL,X,X,X,X,O,O,X,X,X,X,O,X,O,X
JOILTSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JOILTZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JOILSTZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JOILSZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JOILZTS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOILZST,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JOISTLZ,X,X,O,X,O,O,X,X,X,X,X,O,X,X
JOISTZL,X,X,X,X,O,O,X,O,X,X,O,O,X,X
JOISLTZ,X,X,O,X,O,O,X,X,X,X,X,O,X,X
JOISLZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JOISZTL,O,X,X,X,O,X,X,O,X,X,O,O,X,X
JOISZLT,O,X,X,X,O,X,X,O,X,X,O,X,X,X
JOIZTLS,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JOIZTSL,O,X,X,X,O,O,X,X,X,X,O,X,O,X
JOIZLTS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOIZLST,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JOIZSTL,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JOIZSLT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLTISZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLTIZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLTSIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLTSZI,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLTZIS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLTZSI,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLITSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLITZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLISTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLISZT,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JOLIZTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZST,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLSTIZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOLSTZI,O,X,X,X,X,X,O,X,X,O,X,X,X,X
JOLSITZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLSIZT,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JOLSZTI,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLSZIT,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JOLZTIS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLZTSI,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLZITS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZIST,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLZSTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSIT,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSTILZ,X,X,O,X,X,O,X,X,X,X,X,O,X,X
JOSTIZL,X,X,X,X,X,O,X,O,X,X,O,O,X,X
JOSTLIZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X
JOSTLZI,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JOSTZIL,O,X,O,X,X,X,X,O,X,X,O,O,X,X
JOSTZLI,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSITLZ,X,X,O,X,X,O,X,X,X,X,X,O,X,X
JOSITZL,X,X,X,X,X,O,X,O,X,X,O,O,X,X
JOSILTZ,X,X,O,X,X,O,X,X,X,O,X,O,X,X
JOSILZT,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JOSIZTL,O,X,X,X,X,O,X,O,X,X,O,O,X,X
JOSIZLT,O,X,X,X,X,X,X,O,X,X,O,X,X,X
JOSLTIZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X
JOSLTZI,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JOSLITZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X
JOSLIZT,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JOSLZTI,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JOSLZIT,O,X,O,X,X,X,X,X,X,O,O,X,X,X
JOSZTIL,O,X,O,X,X,X,X,O,X,X,O,O,X,X
JOSZTLI,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSZITL,O,X,O,X,X,X,X,O,X,X,O,O,X,X
JOSZILT,O,X,O,X,X,X,X,O,X,X,O,X,X,X
JOSZLTI,O,X,O,X,X,X,X,O,X,O,X,X,X,X
JOSZLIT,O,X,O,X,X,X,X,O,X,O,O,X,X,X
JOZTILS,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JOZTISL,O,X,X,X,O,X,X,X,X,X,O,X,O,X
JOZTLIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZTLSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZTSIL,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOZTSLI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZITLS,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JOZITSL,O,X,X,X,O,X,X,X,X,X,O,X,O,X
JOZILTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZILST,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JOZISTL,O,X,O,X,O,X,X,X,X,X,O,X,X,X
JOZISLT,O,X,O,X,O,X,X,X,X,X,O,X,X,X
JOZLTIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLTSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLITS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLIST,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOZLSTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLSIT,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOZSTIL,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JOZSTLI,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZSITL,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JOZSILT,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JOZSLTI,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZSLIT,O,X,O,X,X,X,X,X,X,X,O,X,X,X
STILJZO,X,O,X,X,X,O,O,X,O,X,X,X,X,X
STILJOZ,X,X,X,X,X,O,O,X,O,O,X,O,X,X
STILZJO,X,O,X,O,X,X,X,O,O,X,X,X,X,X
STILZOJ,X,O,X,O,X,X,X,X,O,X,X,X,X,O
STILOJZ,X,X,O,X,X,O,O,X,O,O,X,X,X,X
STILOZJ,X,X,O,X,X,X,X,X,O,X,X,X,X,O
STIJLZO,X,O,X,X,X,O,O,X,O,X,X,X,X,X
STIJLOZ,X,X,X,X,X,O,O,X,O,O,X,O,X,X
