sequence,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFWnBxiB6tBXlBlr?BzsB,v115@9gB8HeC8GeA8IeE8AeA8MexAJvhFTjBSqB/rBFnBGt?B0sB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBGjB8rBznBRq?BSyB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBCjB8rBToBRq?BWyB,v115@9gB8HeC8GeA8IeE8AeA8Me0AJvhFGjBzmBqsB/tBRq?BlrB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBWoB8rB6tBRq?BzsB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBSoB8rBusBRq?BTtB,v115@9gB8HeC8GeA8IeE8AeA8Me0BJvhFliB5oBzlBetBXl?BCsB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFzhB5nBOtBXlB6t?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFCiBxnBXlBToBlr?BWyB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFzhB5nB6tBXlBOt?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me0AJvhFfoB6oBzmBRqBWy?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me0BJvhFxiBzlBGoBXlBCs?BVyB
TOZLSIJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TOZLSJI,O,X,O,X,X,O,O,X,X,X,X,X,O
TOZJILS,O,X,X,O,X,O,X,O,O,O,O,X,O
TOZJISL,X,X,X,O,X,O,X,O,O,X,X,X,O
TOZJLIS,O,X,X,O,X,X,X,O,O,O,O,X,O
TOZJLSI,O,X,X,O,X,O,O,O,X,X,X,X,O
TOZJSIL,X,X,X,O,X,O,X,O,O,X,X,X,O
TOZJSLI,O,X,X,O,X,O,O,X,X,X,X,X,O
TOZSILJ,X,X,X,X,X,X,O,X,X,X,O,X,X
TOZSIJL,X,X,X,X,X,O,X,X,O,X,X,X,X
TOZSLIJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TOZSLJI,O,X,O,X,X,O,O,X,X,X,X,X,O
TOZSJIL,X,X,X,O,X,O,X,X,O,X,X,X,O
TOZSJLI,O,X,X,O,X,O,O,X,X,X,X,X,O
ITLJSZO,O,O,O,O,X,X,X,X,X,O,X,X,X
ITLJSOZ,X,O,O,X,X,X,X,X,X,X,X,X,O
ITLJZSO,O,X,O,O,X,X,X,X,X,O,X,X,X
ITLJZOS,O,X,O,O,X,X,X,X,O,O,O,X,O
ITLJOSZ,X,O,O,O,X,X,X,X,X,X,X,X,O
ITLJOZS,O,X,O,O,X,X,X,X,O,O,O,X,O
ITLSJZO,O,O,O,X,O,X,X,X,X,X,X,X,X
ITLSJOZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ITLSZJO,O,O,O,X,O,X,X,X,X,O,X,X,X
ITLSZOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
ITLSOJZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ITLSOZJ,X,X,O,X,O,X,X,X,X,X,O,X,X
ITLZJSO,O,X,O,O,X,X,X,X,X,O,X,X,X
ITLZJOS,O,X,O,O,X,X,X,X,O,O,O,X,X
ITLZSJO,O,X,O,O,O,X,X,X,X,O,X,X,X
ITLZSOJ,X,X,O,X,O,O,O,X,X,O,O,X,X
ITLZOJS,O,X,O,X,X,O,O,X,O,O,O,X,X
ITLZOSJ,X,X,O,X,O,O,O,X,X,O,O,X,X
ITLOJSZ,X,X,O,X,X,X,X,X,X,X,X,X,O
ITLOJZS,O,X,O,X,X,O,O,X,O,X,O,X,O
ITLOSJZ,X,X,O,X,O,X,X,X,X,X,X,X,X
ITLOSZJ,X,X,O,X,O,X,O,X,X,X,O,X,X
ITLOZJS,O,X,O,X,X,O,O,X,O,O,O,X,O
ITLOZSJ,X,X,O,X,O,O,O,X,X,O,O,X,X
ITJLSZO,O,O,O,O,X,X,X,X,X,O,X,X,X
ITJLSOZ,X,O,O,X,X,X,X,O,X,X,X,X,X
ITJLZSO,O,X,O,O,X,X,X,X,X,O,X,X,X
ITJLZOS,O,X,O,O,X,X,X,O,O,O,O,X,X
ITJLOSZ,X,O,O,O,X,X,X,O,X,X,X,X,O
ITJLOZS,O,X,O,O,X,X,X,O,O,O,O,X,O
ITJSLZO,X,X,X,O,X,X,X,X,X,O,X,O,X
ITJSLOZ,X,X,X,X,X,X,X,X,X,X,X,O,X
ITJSZLO,X,X,X,O,X,X,X,X,X,O,X,O,X
ITJSZOL,X,X,X,O,X,X,X,X,O,X,X,O,X
ITJSOLZ,X,X,X,O,X,X,X,O,X,X,X,O,O
ITJSOZL,X,X,X,O,X,X,X,O,O,X,X,O,O
ITJZLSO,O,X,O,O,X,X,X,X,X,O,X,X,X
ITJZLOS,O,X,O,O,X,X,X,X,O,O,O,X,X
ITJZSLO,X,X,O,O,X,X,X,X,X,O,X,O,X
ITJZSOL,X,X,X,O,X,O,O,X,O,X,X,O,X
ITJZOLS,O,X,X,O,X,O,O,O,O,O,O,X,O
ITJZOSL,X,X,X,O,X,O,O,O,O,X,X,O,O
ITJOLSZ,O,O,X,O,X,X,X,O,X,X,X,X,O
ITJOLZS,O,X,X,O,X,O,O,O,O,O,O,X,O
ITJOSLZ,X,X,X,O,X,X,X,O,X,X,X,O,O
ITJOSZL,X,X,X,O,X,O,X,O,O,X,X,O,O
ITJOZLS,O,X,X,O,X,O,O,O,O,O,O,X,O
ITJOZSL,X,X,X,O,X,O,O,O,O,X,X,O,O
ITSLJZO,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSLJOZ,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSLZJO,X,X,O,X,O,X,X,X,X,O,X,X,X
ITSLZOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
ITSLOJZ,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSLOZJ,X,X,O,X,O,X,X,X,X,X,O,X,X
ITSJLZO,X,X,X,O,O,X,X,X,X,X,X,X,X
ITSJLOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ITSJZLO,X,X,X,O,O,X,X,X,X,X,X,X,X
ITSJZOL,X,X,X,O,X,X,X,X,O,X,X,X,X
ITSJOLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
ITSJOZL,X,X,X,O,X,X,X,X,O,X,X,X,X
ITSZLJO,X,X,O,O,O,X,X,X,X,O,X,X,X
ITSZLOJ,X,X,O,X,O,O,O,X,X,O,O,X,X
ITSZJLO,X,X,O,O,O,X,X,X,X,X,X,X,X
ITSZJOL,X,X,X,O,X,O,O,X,O,X,X,X,X
ITSZOLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
ITSZOJL,X,X,X,O,X,O,O,X,O,X,X,X,X
ITSOLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
ITSOLZJ,X,X,X,X,X,X,O,X,X,X,O,X,X
ITSOJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
ITSOJZL,X,X,X,X,X,O,X,X,O,X,X,X,X
ITSOZLJ,X,X,X,X,X,O,O,X,X,X,O,X,X
ITSOZJL,X,X,X,X,X,O,O,X,O,X,X,X,X
ITZLJSO,O,X,O,O,X,X,X,X,X,O,X,X,X
ITZLJOS,O,X,O,O,X,X,X,X,O,O,O,X,X
ITZLSJO,O,X,O,O,O,X,X,X,X,O,X,X,X
ITZLSOJ,X,X,O,X,O,O,O,X,X,O,O,X,X
ITZLOJS,O,X,O,X,X,O,O,X,O,O,O,X,X
ITZLOSJ,X,X,O,X,O,O,O,X,X,O,O,X,X
ITZJLSO,O,X,O,O,X,X,X,X,X,O,X,X,X
ITZJLOS,O,X,O,O,X,X,X,X,O,O,O,X,X
ITZJSLO,X,X,O,O,X,X,X,X,X,O,X,O,X
ITZJSOL,X,X,X,O,X,O,O,X,O,X,X,O,X
ITZJOLS,O,X,X,O,X,O,O,X,O,O,O,X,X
ITZJOSL,X,X,X,O,X,O,O,X,O,X,X,O,X
ITZSLJO,X,X,O,O,O,X,X,X,X,O,X,X,X
ITZSLOJ,X,X,O,X,O,O,O,X,X,O,O,X,X
ITZSJLO,X,X,O,O,O,X,X,X,X,X,X,X,X
ITZSJOL,X,X,X,O,X,O,O,X,O,X,X,X,X
ITZSOLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
ITZSOJL,X,X,X,O,X,O,O,X,O,X,X,X,X
ITZOLJS,O,X,O,X,X,O,O,X,O,O,O,X,X
ITZOLSJ,O,X,O,X,O,O,O,X,X,O,O,X,X
ITZOJLS,O,X,X,O,X,O,O,X,O,X,O,X,X
ITZOJSL,X,X,X,O,X,O,O,X,O,X,X,O,X
ITZOSLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
ITZOSJL,X,X,X,O,X,O,O,X,O,X,X,X,X
ITOLJSZ,O,X,O,X,X,X,X,X,X,X,X,X,O
ITOLJZS,O,X,O,X,X,O,O,X,O,X,O,X,O
ITOLSJZ,O,X,O,X,O,X,X,X,X,X,X,X,X
ITOLSZJ,O,X,O,X,O,X,O,X,X,X,O,X,X
ITOLZJS,O,X,O,X,X,O,O,X,O,O,O,X,O
ITOLZSJ,O,X,O,X,O,O,O,X,X,O,O,X,X
ITOJLSZ,O,X,X,O,X,X,X,O,X,X,X,X,O
ITOJLZS,O,X,X,O,X,O,O,O,O,X,O,X,O
ITOJSLZ,X,X,X,O,X,X,X,O,X,X,X,O,O
ITOJSZL,X,X,X,O,X,O,X,O,O,X,X,O,O
ITOJZLS,O,X,X,O,X,O,O,O,O,X,O,X,O
ITOJZSL,X,X,X,O,X,O,O,O,O,X,X,O,O
ITOSLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOSLZJ,X,X,X,X,X,X,O,X,X,X,O,X,X
ITOSJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOSJZL,X,X,X,X,X,O,X,X,O,X,X,X,X
ITOSZLJ,X,X,X,X,X,O,O,X,X,X,O,X,X
ITOSZJL,X,X,X,X,X,O,O,X,O,X,X,X,X
ITOZLJS,O,X,O,X,X,O,O,X,O,O,O,X,O
ITOZLSJ,O,X,O,X,O,O,O,X,X,O,O,X,X
ITOZJLS,O,X,X,O,X,O,O,O,O,X,O,X,O
ITOZJSL,X,X,X,O,X,O,O,O,O,X,X,O,O
ITOZSLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
ITOZSJL,X,X,X,O,X,O,O,X,O,X,X,X,X
ILTJSZO,O,O,O,O,X,X,X,X,X,X,X,X,X
ILTJSOZ,X,O,O,X,X,X,X,X,X,X,X,X,O
ILTJZSO,O,X,O,O,X,X,X,X,X,X,X,X,X
ILTJZOS,O,X,O,O,X,X,X,X,O,X,O,X,O
ILTJOSZ,X,O,O,O,X,X,X,X,X,X,X,X,O
ILTJOZS,O,X,O,O,X,X,X,X,O,X,O,X,O
ILTSJZO,O,O,O,X,O,X,X,X,X,X,X,X,X
ILTSJOZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILTSZJO,O,O,O,X,O,X,X,X,X,X,X,X,X
ILTSZOJ,X,X,O,X,O,X,X,X,X,X,O,X,X
ILTSOJZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILTSOZJ,X,X,O,X,O,X,X,X,X,X,O,X,X
ILTZJSO,O,X,O,O,X,X,X,X,X,X,X,X,X
ILTZJOS,O,X,O,O,X,X,X,X,O,X,O,X,X
ILTZSJO,O,X,O,O,O,X,X,X,X,X,X,X,X
ILTZSOJ,X,X,O,X,O,O,O,X,X,X,O,X,X
ILTZOJS,O,X,O,X,X,O,O,X,O,X,O,X,X
ILTZOSJ,X,X,O,X,O,O,O,X,X,X,O,X,X
ILTOJSZ,X,X,O,X,X,X,X,X,X,X,X,X,O
ILTOJZS,O,X,O,X,X,O,O,X,O,X,O,X,O
ILTOSJZ,X,X,O,X,O,X,X,X,X,X,X,X,X
ILTOSZJ,X,X,O,X,O,X,O,X,X,X,O,X,X
ILTOZJS,O,X,O,X,X,O,O,X,O,X,O,X,O
ILTOZSJ,X,X,O,X,O,O,O,X,X,X,O,X,X
ILJTSZO,O,O,O,O,X,X,X,X,X,X,X,X,X
ILJTSOZ,X,O,O,X,X,X,X,O,X,X,X,X,X
ILJTZSO,O,X,O,O,X,X,X,X,X,X,X,X,X
ILJTZOS,O,X,O,O,X,X,X,O,O,X,O,X,X
ILJTOSZ,X,O,O,O,X,X,X,O,X,X,X,X,X
ILJTOZS,O,X,O,O,X,X,X,O,O,X,O,X,X
ILJSTZO,X,O,O,O,O,X,X,X,X,X,X,O,X
ILJSTOZ,X,O,O,X,O,X,X,O,X,X,X,O,X
ILJSZTO,X,O,O,O,O,X,X,X,X,X,X,O,X
ILJSZOT,X,O,O,O,O,X,X,X,X,X,X,O,X
ILJSOTZ,X,O,O,X,O,X,X,O,X,X,X,O,X
ILJSOZT,X,O,O,X,O,X,X,O,X,X,X,O,X
ILJZTSO,X,X,O,O,X,X,X,X,X,X,X,X,X
ILJZTOS,X,X,O,O,X,X,X,O,O,X,O,X,X
ILJZSTO,X,O,O,O,O,X,X,X,X,X,X,O,X
ILJZSOT,X,O,O,O,O,X,X,X,X,X,X,O,X
ILJZOTS,X,X,O,O,X,X,X,O,X,X,X,X,X
ILJZOST,X,O,O,O,O,X,X,O,X,X,X,O,X
ILJOTSZ,X,O,O,O,X,X,X,O,X,X,X,X,X
ILJOTZS,X,X,O,O,X,X,X,O,X,X,X,X,X
ILJOSTZ,X,O,O,O,O,X,X,O,X,X,X,O,X
ILJOSZT,X,O,O,O,O,X,X,O,X,X,X,O,X
ILJOZTS,X,X,O,O,X,X,X,O,X,X,X,X,X
ILJOZST,X,O,O,O,O,X,X,O,X,X,X,O,X
ILSTJZO,O,O,O,X,O,X,X,X,X,X,X,X,X
ILSTJOZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSTZJO,O,O,O,X,O,X,X,X,X,X,X,X,X
ILSTZOJ,X,X,O,X,O,X,X,X,X,X,O,X,X
ILSTOJZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSTOZJ,X,X,O,X,O,X,X,X,X,X,O,X,X
ILSJTZO,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSJTOZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSJZTO,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSJZOT,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSJOTZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSJOZT,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSZTJO,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSZTOJ,X,X,O,X,O,X,X,X,X,X,O,X,X
ILSZJTO,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSZJOT,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSZOTJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ILSZOJT,X,X,O,X,O,X,X,X,X,X,X,X,X
ILSOTJZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSOTZJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ILSOJTZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSOJZT,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSOZTJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ILSOZJT,X,X,O,X,O,X,X,X,X,X,X,X,X
ILZTJSO,O,X,O,O,X,X,X,X,X,X,X,X,X
ILZTJOS,O,X,O,O,X,X,X,X,O,X,O,X,X
ILZTSJO,O,X,O,O,O,X,X,X,X,X,X,X,X
ILZTSOJ,X,X,O,X,O,O,O,X,X,X,O,X,X
ILZTOJS,O,X,O,X,X,O,O,X,O,X,O,X,X
ILZTOSJ,X,X,O,X,O,O,O,X,X,X,O,X,X
ILZJTSO,X,X,O,O,X,X,X,X,X,X,X,X,X
ILZJTOS,X,X,O,O,X,X,X,X,O,X,O,X,X
ILZJSTO,X,O,O,O,O,X,X,X,X,X,X,O,X
ILZJSOT,X,O,O,O,O,X,X,X,X,X,X,O,X
ILZJOTS,X,X,O,O,X,X,X,X,X,X,X,X,X
ILZJOST,X,O,O,O,O,X,X,X,X,X,X,O,X
ILZSTJO,X,O,O,O,O,X,X,X,X,X,X,X,X
ILZSTOJ,X,X,O,X,O,O,O,X,X,X,O,X,X
ILZSJTO,X,O,O,O,O,X,X,X,X,X,X,X,X
ILZSJOT,X,O,O,O,O,X,X,X,X,X,X,X,X
ILZSOTJ,X,X,O,X,O,O,O,X,X,X,X,X,X
ILZSOJT,X,X,O,X,O,O,O,X,X,X,X,X,X
ILZOTJS,X,X,O,X,X,O,O,X,X,X,O,X,X
ILZOTSJ,X,X,O,X,O,O,O,X,X,X,O,X,X
ILZOJTS,X,X,O,X,X,O,O,X,X,X,X,X,X
ILZOJST,X,X,O,X,O,O,O,X,X,X,X,O,X
ILZOSTJ,X,X,O,X,O,O,O,X,X,X,X,X,X
ILZOSJT,X,X,O,X,O,O,O,X,X,X,X,X,X
ILOTJSZ,X,X,O,X,X,X,X,X,X,X,X,X,O
ILOTJZS,O,X,O,X,X,O,O,X,X,X,O,X,O
ILOTSJZ,X,X,O,X,O,X,X,X,X,X,X,X,X
ILOTSZJ,X,X,O,X,O,X,O,X,X,X,O,X,X
ILOTZJS,O,X,O,X,X,O,O,X,X,X,O,X,O
ILOTZSJ,X,X,O,X,O,O,O,X,X,X,O,X,X
ILOJTSZ,X,O,O,X,X,X,X,O,X,X,X,X,X
ILOJTZS,X,X,O,X,X,O,O,O,X,X,X,X,X
ILOJSTZ,X,O,O,X,O,X,X,O,X,X,X,O,X
ILOJSZT,X,O,O,X,O,X,X,O,X,X,X,O,X
ILOJZTS,X,X,O,X,X,O,O,O,X,X,X,X,X
ILOJZST,X,O,O,X,O,O,O,O,X,X,X,O,X
ILOSTJZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILOSTZJ,X,X,O,X,O,X,O,X,X,X,X,X,X
ILOSJTZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILOSJZT,X,O,O,X,O,X,X,X,X,X,X,X,X
ILOSZTJ,X,X,O,X,O,X,O,X,X,X,X,X,X
ILOSZJT,X,X,O,X,O,X,O,X,X,X,X,X,X
ILOZTJS,X,X,O,X,X,O,O,X,X,X,O,X,O
ILOZTSJ,X,X,O,X,O,O,O,X,X,X,O,X,X
ILOZJTS,X,X,O,X,X,O,O,O,X,X,X,X,X
ILOZJST,X,X,O,X,O,O,O,O,X,X,X,O,X
ILOZSTJ,X,X,O,X,O,O,O,X,X,X,X,X,X
ILOZSJT,X,X,O,X,O,O,O,X,X,X,X,X,X
IJTLSZO,X,O,O,O,X,X,X,X,X,O,X,X,X
IJTLSOZ,X,O,O,X,X,X,X,O,X,X,X,X,X
IJTLZSO,X,X,O,O,X,X,X,X,X,O,X,X,X
IJTLZOS,X,X,O,O,X,X,X,O,O,O,O,X,X
IJTLOSZ,X,O,O,O,X,X,X,O,X,X,X,X,X
IJTLOZS,X,X,O,O,X,X,X,O,O,O,O,X,X
IJTSLZO,X,X,X,O,X,X,X,X,X,O,X,O,X
IJTSLOZ,X,X,X,X,X,X,X,X,X,X,X,O,X
IJTSZLO,X,X,X,O,X,X,X,X,X,O,X,O,X
IJTSZOL,X,X,X,O,X,X,X,X,O,X,X,O,X
IJTSOLZ,X,X,X,O,X,X,X,O,X,X,X,O,X
IJTSOZL,X,X,X,O,X,X,X,O,O,X,X,O,X
IJTZLSO,X,X,O,O,X,X,X,X,X,O,X,X,X
IJTZLOS,X,X,O,O,X,X,X,X,O,O,O,X,X
IJTZSLO,X,X,O,O,X,X,X,X,X,O,X,O,X
IJTZSOL,X,X,X,O,X,O,O,X,O,X,X,O,X
IJTZOLS,X,X,X,O,X,O,O,O,O,O,O,X,X
IJTZOSL,X,X,X,O,X,O,O,O,O,X,X,O,X
IJTOLSZ,X,O,X,O,X,X,X,O,X,X,X,X,X
IJTOLZS,X,X,X,O,X,O,O,O,O,O,O,X,X
IJTOSLZ,X,X,X,O,X,X,X,O,X,X,X,O,X
IJTOSZL,X,X,X,O,X,O,X,O,O,X,X,O,X
IJTOZLS,X,X,X,O,X,O,O,O,O,O,O,X,X
IJTOZSL,X,X,X,O,X,O,O,O,O,X,X,O,X
IJLTSZO,X,O,O,O,X,X,X,X,X,O,X,X,X
IJLTSOZ,X,O,O,X,X,X,X,O,X,X,X,X,X
IJLTZSO,X,X,O,O,X,X,X,X,X,O,X,X,X
IJLTZOS,X,X,O,O,X,X,X,O,O,O,O,X,X
IJLTOSZ,X,O,O,O,X,X,X,O,X,X,X,X,X
IJLTOZS,X,X,O,O,X,X,X,O,O,O,O,X,X
IJLSTZO,X,O,O,O,O,X,X,X,X,O,X,O,X
IJLSTOZ,X,O,O,X,O,X,X,O,X,X,X,O,X
IJLSZTO,X,O,O,O,O,X,X,X,X,O,X,O,X
IJLSZOT,X,O,O,O,O,X,X,X,X,O,X,O,X
IJLSOTZ,X,O,O,X,O,X,X,O,X,X,X,O,X
IJLSOZT,X,O,O,X,O,X,X,O,X,X,X,O,X
IJLZTSO,X,X,O,O,X,X,X,X,X,O,X,X,X
IJLZTOS,X,X,O,O,X,X,X,O,O,O,O,X,X
IJLZSTO,X,O,O,O,O,X,X,X,X,O,X,O,X
IJLZSOT,X,O,O,O,O,X,X,X,X,O,X,O,X
IJLZOTS,X,X,O,O,X,X,X,O,X,O,X,X,X
IJLZOST,X,O,O,O,O,X,X,O,X,O,X,O,X
IJLOTSZ,X,O,O,O,X,X,X,O,X,X,X,X,X
IJLOTZS,X,X,O,O,X,X,X,O,X,O,X,X,X
IJLOSTZ,X,O,O,O,O,X,X,O,X,X,X,O,X
IJLOSZT,X,O,O,O,O,X,X,O,X,X,X,O,X
IJLOZTS,X,X,O,O,X,X,X,O,X,O,X,X,X
IJLOZST,X,O,O,O,O,X,X,O,X,O,X,O,X
IJSTLZO,X,O,X,O,O,X,X,X,X,O,X,O,X
IJSTLOZ,X,O,X,X,O,X,X,X,X,X,X,O,X
IJSTZLO,X,X,X,O,O,X,X,X,X,O,X,O,X
IJSTZOL,X,X,X,O,X,X,X,X,O,X,X,O,X
IJSTOLZ,X,O,X,O,X,X,X,O,X,X,X,O,X
IJSTOZL,X,X,X,O,X,X,X,O,O,X,X,O,X
IJSLTZO,X,O,X,O,O,X,X,X,X,O,X,O,X
IJSLTOZ,X,O,X,X,O,X,X,O,X,X,X,O,X
IJSLZTO,X,O,X,O,O,X,X,X,X,O,X,O,X
IJSLZOT,X,O,X,O,O,X,X,X,X,O,X,O,X
IJSLOTZ,X,O,X,X,O,X,X,O,X,X,X,O,X
IJSLOZT,X,O,X,X,O,X,X,O,X,X,X,O,X
IJSZTLO,X,X,X,O,O,X,X,X,X,X,X,O,X
IJSZTOL,X,X,X,O,X,X,X,X,O,X,X,O,X
IJSZLTO,X,X,X,O,O,X,X,X,X,O,X,O,X
IJSZLOT,X,X,X,O,O,X,X,X,X,O,X,O,X
IJSZOTL,X,X,X,O,X,X,X,X,X,X,X,O,X
IJSZOLT,X,X,X,O,O,X,X,X,X,X,X,O,X
IJSOTLZ,X,O,X,O,X,X,X,O,X,X,X,O,X
IJSOTZL,X,X,X,O,X,X,X,O,X,X,X,O,X
IJSOLTZ,X,O,X,O,O,X,X,O,X,X,X,O,X
IJSOLZT,X,O,X,O,O,X,X,O,X,X,X,O,X
IJSOZTL,X,X,X,O,X,X,X,O,X,X,X,O,X
IJSOZLT,X,X,X,O,O,X,X,O,X,X,X,O,X
IJZTLSO,X,X,O,O,X,X,X,X,X,O,X,X,X
IJZTLOS,X,X,O,O,X,X,X,X,O,O,O,X,X
IJZTSLO,X,X,O,O,X,X,X,X,X,O,X,O,X
IJZTSOL,X,X,X,O,X,O,O,X,O,X,X,O,X
IJZTOLS,X,X,X,O,X,O,O,O,O,O,O,X,X
IJZTOSL,X,X,X,O,X,O,O,O,O,X,X,O,X
IJZLTSO,X,X,O,O,X,X,X,X,X,O,X,X,X
IJZLTOS,X,X,O,O,X,X,X,O,O,O,O,X,X
IJZLSTO,X,O,O,O,O,X,X,X,X,O,X,O,X
IJZLSOT,X,O,O,O,O,X,X,X,X,O,X,O,X
IJZLOTS,X,X,O,O,X,X,X,O,X,O,X,X,X
IJZLOST,X,O,O,O,O,X,X,O,X,O,X,O,X
IJZSTLO,X,X,O,O,O,X,X,X,X,X,X,O,X
IJZSTOL,X,X,X,O,X,O,O,X,O,X,X,O,X
IJZSLTO,X,X,O,O,O,X,X,X,X,O,X,O,X
IJZSLOT,X,X,O,O,O,X,X,X,X,O,X,O,X
IJZSOTL,X,X,X,O,X,O,O,X,X,X,X,O,X
IJZSOLT,X,X,X,O,O,O,O,X,X,X,X,O,X
IJZOTLS,X,X,X,O,X,O,O,O,O,X,X,X,X
IJZOTSL,X,X,X,O,X,O,O,O,O,X,X,O,X
IJZOLTS,X,X,X,O,X,O,O,O,X,O,X,X,X
IJZOLST,X,O,X,O,O,O,O,O,X,O,X,O,X
IJZOSTL,X,X,X,O,X,O,O,O,X,X,X,O,X
IJZOSLT,X,X,X,O,X,O,O,O,X,X,X,O,X
IJOTLSZ,X,O,X,O,X,X,X,O,X,X,X,X,X
IJOTLZS,X,X,X,O,X,O,O,O,O,O,X,X,X
IJOTSLZ,X,X,X,O,X,X,X,O,X,X,X,O,X
IJOTSZL,X,X,X,O,X,O,X,O,O,X,X,O,X
IJOTZLS,X,X,X,O,X,O,O,O,O,O,X,X,X
IJOTZSL,X,X,X,O,X,O,O,O,O,X,X,O,X
IJOLTSZ,X,O,X,O,X,X,X,O,X,X,X,X,X
IJOLTZS,X,X,X,O,X,O,O,O,X,O,X,X,X
IJOLSTZ,X,O,X,O,O,X,X,O,X,X,X,O,X
IJOLSZT,X,O,X,O,O,X,X,O,X,X,X,O,X
IJOLZTS,X,X,X,O,X,O,O,O,X,O,X,X,X
IJOLZST,X,O,X,O,O,O,O,O,X,O,X,O,X
IJOSTLZ,X,O,X,O,X,X,X,O,X,X,X,O,X
IJOSTZL,X,X,X,O,X,O,X,O,X,X,X,O,X
IJOSLTZ,X,O,X,O,X,X,X,O,X,X,X,O,X
IJOSLZT,X,O,X,O,X,X,X,O,X,X,X,O,X
IJOSZTL,X,X,X,O,X,O,X,O,X,X,X,O,X
IJOSZLT,X,X,X,O,X,O,X,O,X,X,X,O,X
IJOZTLS,X,X,X,O,X,O,O,O,O,X,X,X,X
IJOZTSL,X,X,X,O,X,O,O,O,O,X,X,O,X
IJOZLTS,X,X,X,O,X,O,O,O,X,O,X,X,X
IJOZLST,X,O,X,O,O,O,O,O,X,O,X,O,X
IJOZSTL,X,X,X,O,X,O,O,O,X,X,X,O,X
IJOZSLT,X,X,X,O,X,O,O,O,X,X,X,O,X
ISTLJZO,X,O,O,X,O,X,X,X,X,X,X,X,X
ISTLJOZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ISTLZJO,X,O,O,X,O,X,X,X,X,X,X,X,X
ISTLZOJ,X,X,O,X,O,X,X,X,X,X,O,X,X
ISTLOJZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ISTLOZJ,X,X,O,X,O,X,X,X,X,X,O,X,X
ISTJLZO,X,O,X,O,O,X,X,X,X,X,X,X,X
ISTJLOZ,X,O,X,X,O,X,X,X,X,X,X,X,X
ISTJZLO,X,X,X,O,O,X,X,X,X,X,X,X,X
ISTJZOL,X,X,X,O,X,X,X,X,O,X,X,X,X
ISTJOLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ISTJOZL,X,X,X,O,X,X,X,X,O,X,X,X,X
ISTZLJO,X,X,O,O,O,X,X,X,X,X,X,X,X
ISTZLOJ,X,X,O,X,O,O,O,X,X,X,O,X,X
ISTZJLO,X,X,O,O,O,X,X,X,X,X,X,X,X
