sequence,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFWnBxiB6tBXlBlr?BzsB,v115@9gB8HeC8GeA8IeE8AeA8MexAJvhFTjBSqB/rBFnBGt?B0sB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBGjB8rBznBRq?BSyB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBCjB8rBToBRq?BWyB,v115@9gB8HeC8GeA8IeE8AeA8Me0AJvhFGjBzmBqsB/tBRq?BlrB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBWoB8rB6tBRq?BzsB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBSoB8rBusBRq?BTtB,v115@9gB8HeC8GeA8IeE8AeA8Me0BJvhFliB5oBzlBetBXl?BCsB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFzhB5nBOtBXlB6t?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFCiBxnBXlBToBlr?BWyB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFzhB5nB6tBXlBOt?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me0AJvhFfoB6oBzmBRqBWy?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me0BJvhFxiBzlBGoBXlBCs?BVyB
TIOSLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,X,O,X,X,X,O,X,X
TIOSJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,O,X,X,O,X,X,X,X
TIOSZLJ,X,X,X,X,X,O,O,X,X,X,O,X,X
TIOSZJL,X,X,X,X,X,O,O,X,O,X,X,X,X
TIOZLJS,O,X,O,X,X,O,O,X,O,O,O,X,O
TIOZLSJ,O,X,O,X,O,O,O,X,X,O,O,X,X
TIOZJLS,O,X,X,O,X,O,O,O,O,X,O,X,O
TIOZJSL,X,X,X,O,X,O,O,O,O,X,X,O,O
TIOZSLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
TIOZSJL,X,X,X,O,X,O,O,X,O,X,X,X,X
TLIJSZO,O,O,O,O,X,X,X,X,X,O,X,X,X
TLIJSOZ,X,O,O,X,X,X,X,X,X,X,X,X,O
TLIJZSO,O,X,O,O,X,X,X,X,X,O,X,X,X
TLIJZOS,O,X,O,O,X,X,X,X,O,O,O,X,O
TLIJOSZ,X,O,O,O,X,X,X,X,X,X,X,X,O
TLIJOZS,O,X,O,O,X,X,X,X,O,O,O,X,O
TLISJZO,O,O,O,X,O,X,X,X,X,X,X,X,X
TLISJOZ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLISZJO,O,O,O,X,O,X,X,X,X,O,X,X,X
TLISZOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TLISOJZ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLISOZJ,X,X,O,X,O,X,X,X,X,X,O,X,X
TLIZJSO,O,X,O,O,X,X,X,X,X,O,X,X,X
TLIZJOS,O,X,O,O,X,X,X,X,O,O,O,X,X
TLIZSJO,O,X,O,O,O,X,X,X,X,O,X,X,X
TLIZSOJ,X,X,O,X,O,O,O,X,X,O,O,X,X
TLIZOJS,O,X,O,X,X,O,O,X,O,O,O,X,X
TLIZOSJ,X,X,O,X,O,O,O,X,X,O,O,X,X
TLIOJSZ,X,X,O,X,X,X,X,X,X,X,X,X,O
TLIOJZS,O,X,O,X,X,O,O,X,O,X,O,X,O
TLIOSJZ,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,O,X,O,X,O,X,X,X,O,X,X
TLIOZJS,O,X,O,X,X,O,O,X,O,O,O,X,O
TLIOZSJ,X,X,O,X,O,O,O,X,X,O,O,X,X
TLJISZO,O,O,O,O,X,X,X,X,X,O,X,X,X
TLJISOZ,X,O,O,X,X,X,X,O,X,X,X,X,O
TLJIZSO,O,X,O,O,X,X,X,X,X,O,X,X,X
TLJIZOS,O,X,O,O,X,X,X,O,O,O,O,X,O
TLJIOSZ,X,O,O,O,X,X,X,O,X,X,X,X,O
TLJIOZS,O,X,O,O,X,X,X,O,O,O,O,X,O
TLJSIZO,O,O,O,O,X,X,X,X,X,O,X,X,X
TLJSIOZ,X,O,O,X,X,X,X,O,X,X,X,X,O
TLJSZIO,O,O,O,O,X,X,X,X,X,O,X,X,X
TLJSZOI,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,O,O,X,X,X,X,O,X,X,X,X,O
TLJSOZI,X,O,O,X,X,X,X,O,X,X,X,X,O
TLJZISO,O,X,O,O,X,X,X,X,X,O,X,X,X
TLJZIOS,O,X,O,O,X,X,X,O,O,O,O,X,O
TLJZSIO,O,X,O,O,X,X,X,X,X,O,X,X,X
TLJZSOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJZOIS,O,X,O,O,X,X,X,O,O,O,O,X,O
TLJZOSI,O,X,O,O,X,X,X,O,X,X,X,X,O
TLJOISZ,O,O,O,O,X,X,X,O,X,X,X,X,O
TLJOIZS,O,X,O,O,X,X,X,O,O,O,O,X,O
TLJOSIZ,O,O,O,O,X,X,X,O,X,X,X,X,O
TLJOSZI,O,O,O,O,X,X,X,O,X,X,X,X,O
TLJOZIS,O,X,O,O,X,X,X,O,O,O,O,X,O
TLJOZSI,O,X,O,O,X,X,X,O,X,X,X,X,O
TLSIJZO,O,O,O,X,O,X,X,X,X,X,X,X,X
TLSIJOZ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLSIZJO,O,O,O,X,O,X,X,X,X,O,X,X,X
TLSIZOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TLSIOJZ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,O,X,O,X,X,X,X,X,O,X,X
TLSJIZO,O,O,O,X,O,X,X,X,X,O,X,X,X
TLSJIOZ,X,O,O,X,O,X,X,X,X,X,X,X,O
TLSJZIO,O,O,O,X,O,X,X,X,X,O,X,X,X
TLSJZOI,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,O,O,X,X,X,X,X,X,X,X,X,O
TLSJOZI,X,O,O,X,X,X,X,X,X,X,X,X,O
TLSZIJO,O,O,O,X,O,X,X,X,X,O,X,X,X
TLSZIOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TLSZJIO,O,O,O,X,O,X,X,X,X,O,X,X,X
TLSZJOI,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,O,X,X,X,X,X,X,X,O,X,X
TLSZOJI,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,X,O,X,X,X,X,X,X,X,O,X,X
TLSOJIZ,X,O,O,X,X,X,X,X,X,X,X,X,O
TLSOJZI,X,O,O,X,X,X,X,X,X,X,X,X,O
TLSOZIJ,X,X,O,X,X,X,X,X,X,X,O,X,X
TLSOZJI,X,X,O,X,X,X,X,X,X,X,X,X,O
TLZIJSO,O,X,O,X,X,X,X,X,X,O,X,X,X
TLZIJOS,O,X,O,X,X,X,X,X,O,O,O,X,X
TLZISJO,O,X,O,X,O,X,X,X,X,O,X,X,X
TLZISOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TLZIOJS,O,X,O,X,X,X,X,X,O,O,O,X,X
TLZIOSJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TLZJISO,O,X,O,O,X,X,X,X,X,O,X,X,X
TLZJIOS,O,X,O,X,X,X,X,X,O,O,O,X,O
TLZJSIO,O,X,O,O,X,X,X,X,X,O,X,X,X
TLZJSOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TLZJOIS,O,X,O,O,X,X,X,X,O,O,O,X,O
TLZJOSI,O,X,O,O,X,X,X,X,X,X,X,X,O
TLZSIJO,O,X,O,X,O,X,X,X,X,O,X,X,X
TLZSIOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TLZSJIO,O,X,O,O,O,X,X,X,X,O,X,X,X
TLZSJOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,O,X,X,X,O,X,X,X,O,X,X
TLZSOJI,X,X,O,X,X,O,O,X,X,X,X,X,X
