sequence,v115@9gB8HeC8GeC8GeC8CeA8Me0AJvhFxhBTjB3mB1sBWw?BSyB,v115@9gB8HeC8GeC8GeC8CeA8Me0AJvhFlhB3iB5oBetBzq?BCsB,v115@9gB8HeC8GeC8GeC8CeA8MexAJvhFXiBTjBUmB1sBWw?BSyB,v115@9gB8HeC8GeC8GeC8CeA8MelAJvhFzhB5nB8qB6tBOt?B3rB,v115@9gB8HeC8GeC8GeC8CeA8MexAJvhFTjBqqB/rBFnBGt?B0sB,v115@9gB8HeC8GeC8GeC8CeA8MelAJvhFRiBSoB8qB+rB/s?BTtB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhFxiBFnB6tBGrBzs?B0qB,v115@9gB8HeC8GeC8GeC8CeA8Me6FJvhFThBxiBXnB8sB+t?BVwB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhF5oBFnB8sB6qBTr?BmsB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhFxiBFnB8sB+tB6q?BTrB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhFxiBFnBGrBCtBTt?B0qB
TLSJZOI,O,O,O,X,O,X,O,O,X,X,O
TLSJOIZ,O,O,O,X,O,X,O,O,X,X,O
TLSJOZI,O,O,O,X,O,X,O,O,X,X,O
TLSZIJO,O,X,X,O,O,X,X,X,X,X,X
TLSZIOJ,O,X,O,O,X,X,X,X,X,X,X
TLSZJIO,O,O,O,O,O,X,X,X,X,X,X
TLSZJOI,O,O,O,O,O,X,O,X,X,X,X
TLSZOIJ,O,X,O,O,X,X,O,X,X,X,X
TLSZOJI,O,X,O,O,X,X,O,X,X,X,X
TLSOIJZ,O,X,O,X,O,X,O,X,X,X,X
TLSOIZJ,O,X,O,O,X,X,O,X,X,X,X
TLSOJIZ,O,X,O,X,O,X,O,O,X,X,X
TLSOJZI,O,X,O,X,O,X,O,O,X,X,X
TLSOZIJ,O,X,O,O,X,X,O,X,X,X,X
TLSOZJI,O,X,O,O,X,X,O,X,X,X,X
TLZIJSO,O,O,X,O,X,X,X,X,X,X,X
TLZIJOS,O,O,X,X,X,X,X,X,X,X,X
TLZISJO,O,X,X,O,X,X,X,X,X,X,X
TLZISOJ,O,X,O,O,X,X,X,X,X,X,X
TLZIOJS,O,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,O,O,X,X,X,X,O,X,X
TLZJISO,O,O,O,O,X,X,X,O,X,X,X
TLZJIOS,O,O,O,X,X,X,X,O,X,X,X
TLZJSIO,O,O,O,X,X,O,X,O,X,X,X
TLZJSOI,O,O,O,X,X,O,O,O,X,X,O
TLZJOIS,O,O,O,X,X,X,X,O,X,X,O
TLZJOSI,O,O,O,X,X,O,X,O,X,X,O
TLZSIJO,O,X,X,O,X,X,X,X,X,X,X
TLZSIOJ,O,X,O,O,X,X,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,X,X,X,X
TLZSJOI,O,O,O,X,X,X,O,X,X,X,X
TLZSOIJ,O,X,O,X,X,X,O,X,X,X,X
TLZSOJI,O,X,O,X,X,X,O,X,X,X,X
TLZOIJS,O,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,X,O,O,X,X,X,X,O,X,X
TLZOJIS,O,O,O,X,X,X,X,O,X,X,X
TLZOJSI,O,O,O,X,X,O,X,O,X,X,X
TLZOSIJ,O,X,O,X,X,X,X,X,O,X,X
TLZOSJI,O,X,O,X,X,X,X,X,X,X,X
TLOIJSZ,O,O,O,X,X,X,O,O,X,X,X
TLOIJZS,O,O,O,X,X,X,O,O,X,X,X
TLOISJZ,O,X,O,X,X,X,O,X,X,X,X
TLOISZJ,O,X,O,X,X,X,O,X,X,X,X
TLOIZJS,O,O,X,X,X,X,O,X,X,X,X
TLOIZSJ,O,X,O,O,X,X,O,X,X,X,X
TLOJISZ,O,O,O,X,X,X,O,O,X,X,O
TLOJIZS,O,O,O,X,X,X,O,O,X,X,O
TLOJSIZ,O,O,O,X,X,X,O,O,X,X,O
TLOJSZI,O,O,O,X,X,X,O,O,X,X,O
TLOJZIS,O,O,O,X,X,X,O,O,X,X,O
TLOJZSI,O,O,O,X,X,X,O,O,X,X,O
TLOSIJZ,O,X,O,X,X,X,O,X,X,X,X
TLOSIZJ,O,X,O,X,X,X,O,X,X,X,X
TLOSJIZ,O,O,O,X,X,X,O,O,X,X,X
TLOSJZI,O,O,O,X,X,X,O,O,X,X,X
TLOSZIJ,O,X,O,X,X,X,O,X,O,X,X
TLOSZJI,O,O,O,X,X,X,O,X,X,X,X
TLOZIJS,O,O,X,X,X,X,O,X,X,X,X
TLOZISJ,O,X,O,O,X,X,O,X,O,X,X
TLOZJIS,O,O,O,X,X,X,O,O,X,X,X
TLOZJSI,O,O,O,X,X,O,O,O,X,X,X
TLOZSIJ,O,X,O,X,X,X,O,X,O,X,X
TLOZSJI,O,O,O,X,X,X,O,X,X,X,X
TJILSZO,O,O,O,X,O,X,X,O,X,X,X
TJILSOZ,O,O,O,X,O,X,O,O,X,X,O
TJILZSO,O,O,O,O,X,X,X,O,X,X,X
TJILZOS,O,O,O,X,X,X,X,O,X,X,X
TJILOSZ,O,O,O,X,O,X,X,O,X,X,O
TJILOZS,O,O,O,X,X,X,X,O,X,X,O
TJISLZO,O,O,O,X,X,X,X,O,X,X,X
TJISLOZ,O,O,O,X,X,X,O,O,X,X,O
TJISZLO,O,O,O,X,X,X,X,O,X,X,X
TJISZOL,O,O,O,X,X,X,X,O,X,X,X
TJISOLZ,O,O,O,X,X,X,O,O,X,X,X
TJISOZL,O,O,O,X,X,X,X,X,X,X,X
TJIZLSO,O,O,O,O,X,X,X,O,X,O,X
TJIZLOS,O,O,O,X,X,X,X,O,X,O,X
TJIZSLO,O,O,O,O,X,X,X,O,X,O,X
TJIZSOL,O,O,O,O,X,X,X,O,X,O,X
TJIZOLS,O,X,O,X,X,X,X,O,X,O,X
TJIZOSL,O,O,O,X,X,X,X,O,X,O,X
TJIOLSZ,O,O,O,X,O,X,O,O,X,X,X
TJIOLZS,O,O,O,X,X,X,O,O,X,X,X
TJIOSLZ,O,O,O,X,X,X,O,O,X,X,X
TJIOSZL,O,O,O,X,X,X,X,X,X,X,X
TJIOZLS,O,O,O,X,X,X,X,O,X,X,X
TJIOZSL,O,O,O,X,X,X,X,O,X,X,X
TJLISZO,O,O,O,X,O,X,X,O,X,X,X
TJLISOZ,O,O,O,X,O,X,O,O,X,X,O
TJLIZSO,O,O,O,O,X,X,X,O,X,X,X
TJLIZOS,O,O,O,X,X,X,X,O,X,X,X
TJLIOSZ,O,O,O,X,O,X,X,O,X,X,O
TJLIOZS,O,O,O,X,X,X,X,O,X,X,O
TJLSIZO,O,O,O,X,O,X,X,O,X,X,X
TJLSIOZ,O,O,O,X,O,X,O,O,X,X,O
TJLSZIO,O,O,O,X,O,X,X,O,X,X,X
TJLSZOI,O,O,O,X,O,X,O,O,X,X,O
TJLSOIZ,O,O,O,X,O,X,O,O,X,X,O
TJLSOZI,O,O,O,X,O,X,O,O,X,X,O
TJLZISO,O,O,O,O,X,X,X,O,X,X,X
TJLZIOS,O,O,O,X,X,X,X,O,X,X,X
TJLZSIO,O,O,O,X,X,X,X,O,X,X,X
TJLZSOI,O,O,O,X,X,X,O,O,X,X,O
TJLZOIS,O,O,O,X,X,X,X,O,X,X,O
TJLZOSI,O,O,O,X,X,X,X,O,X,X,O
TJLOISZ,O,O,O,X,O,X,O,O,X,X,O
TJLOIZS,O,O,O,X,X,X,O,O,X,X,O
TJLOSIZ,O,O,O,X,O,X,O,O,X,X,O
TJLOSZI,O,O,O,X,O,X,O,O,X,X,O
TJLOZIS,O,O,O,X,X,X,O,O,X,X,O
TJLOZSI,O,O,O,X,X,X,O,O,X,X,O
TJSILZO,O,O,O,X,X,O,X,O,X,X,X
TJSILOZ,O,O,O,X,X,X,O,O,X,X,O
TJSIZLO,O,O,O,X,X,O,X,O,X,X,X
TJSIZOL,O,O,O,X,X,O,X,O,X,X,X
TJSIOLZ,O,O,O,X,X,X,O,O,X,X,X
TJSIOZL,O,O,O,X,X,X,X,X,X,X,X
TJSLIZO,O,O,O,X,X,O,X,O,X,X,X
TJSLIOZ,O,O,O,X,X,X,O,O,X,X,O
TJSLZIO,O,O,O,X,X,O,X,O,X,X,X
TJSLZOI,O,O,O,X,X,O,O,O,X,X,O
TJSLOIZ,O,O,O,X,X,X,O,O,X,X,O
TJSLOZI,O,O,O,X,X,X,O,O,X,X,O
TJSZILO,O,O,O,X,X,O,X,O,X,X,X
TJSZIOL,O,O,O,X,X,O,X,O,X,X,X
TJSZLIO,O,O,O,X,X,O,X,O,X,X,X
TJSZLOI,O,O,O,X,X,O,O,O,X,X,O
TJSZOIL,O,O,O,X,X,O,X,O,X,X,X
TJSZOLI,O,X,O,X,X,O,O,O,X,X,X
TJSOILZ,O,O,O,X,X,O,O,O,X,X,X
TJSOIZL,O,O,O,X,X,O,X,X,X,X,X
TJSOLIZ,O,O,O,X,X,O,O,O,X,X,O
TJSOLZI,O,O,O,X,X,O,O,O,X,X,O
TJSOZIL,O,O,O,X,X,O,X,O,X,X,X
TJSOZLI,O,O,O,X,X,O,O,O,X,X,X
TJZILSO,O,O,O,O,X,X,X,O,X,O,X
TJZILOS,O,O,O,X,X,X,X,O,X,O,X
TJZISLO,O,O,O,O,X,O,X,O,X,O,X
TJZISOL,O,O,O,O,X,O,X,O,X,O,X
TJZIOLS,O,X,O,X,X,X,X,O,X,O,X
TJZIOSL,O,O,O,X,X,O,X,O,O,O,X
TJZLISO,O,O,O,O,X,X,X,O,X,O,X
TJZLIOS,O,O,O,X,X,X,X,O,X,O,X
TJZLSIO,O,O,O,X,X,O,X,O,X,O,X
TJZLSOI,O,O,O,X,X,O,O,O,X,O,O
TJZLOIS,O,O,O,X,X,X,X,O,X,O,O
TJZLOSI,O,O,O,X,X,O,X,O,X,O,O
TJZSILO,O,O,O,X,X,O,X,O,X,O,X
TJZSIOL,O,O,O,X,X,O,X,O,X,O,X
TJZSLIO,O,O,O,X,X,O,X,O,X,O,X
TJZSLOI,O,O,O,X,X,O,O,O,X,O,O
TJZSOIL,O,O,O,X,X,O,X,O,X,O,X
TJZSOLI,O,X,O,X,X,O,O,O,X,O,X
TJZOILS,O,X,O,X,X,X,X,O,X,O,X
TJZOISL,O,O,O,X,X,O,X,O,O,O,X
TJZOLIS,O,X,O,X,X,X,O,O,X,O,X
TJZOLSI,O,X,O,X,X,O,O,O,X,O,X
TJZOSIL,O,O,O,X,X,O,X,O,O,O,X
TJZOSLI,O,X,O,X,X,O,O,O,X,O,X
TJOILSZ,O,O,O,X,O,X,O,O,X,X,X
TJOILZS,O,O,O,X,X,X,O,O,X,X,X
TJOISLZ,O,O,O,X,X,X,O,O,X,X,X
TJOISZL,O,O,O,X,X,X,X,X,X,X,X
TJOIZLS,O,O,O,X,X,X,X,O,X,X,X
TJOIZSL,O,O,O,X,X,X,X,O,X,X,X
TJOLISZ,O,O,O,X,O,X,O,O,X,X,O
TJOLIZS,O,O,O,X,X,X,O,O,X,X,O
TJOLSIZ,O,O,O,X,O,X,O,O,X,X,O
TJOLSZI,O,O,O,X,O,X,O,O,X,X,O
TJOLZIS,O,O,O,X,X,X,O,O,X,X,O
TJOLZSI,O,O,O,X,X,X,O,O,X,X,O
TJOSILZ,O,O,O,X,X,O,O,O,X,X,X
TJOSIZL,O,O,O,X,X,O,X,X,X,X,X
TJOSLIZ,O,O,O,X,X,O,O,O,X,X,O
TJOSLZI,O,O,O,X,X,O,O,O,X,X,O
TJOSZIL,O,O,O,X,X,O,X,O,O,O,X
TJOSZLI,O,O,O,X,X,O,O,O,X,O,X
TJOZILS,O,O,O,X,X,X,X,O,X,O,X
TJOZISL,O,O,O,X,X,O,X,O,O,O,X
TJOZLIS,O,O,O,X,X,X,O,O,X,O,X
TJOZLSI,O,O,O,X,X,O,O,O,X,O,X
TJOZSIL,O,O,O,X,X,O,X,O,O,O,X
TJOZSLI,O,O,O,X,X,O,O,O,X,O,X
TSILJZO,O,X,O,X,X,O,X,X,X,X,X
TSILJOZ,O,X,O,X,X,X,O,X,X,X,X
TSILZJO,O,X,X,O,X,X,X,X,X,X,X
TSILZOJ,O,X,O,O,X,X,X,X,X,X,X
TSILOJZ,O,X,O,X,X,X,O,X,X,X,X
TSILOZJ,O,X,O,O,X,X,O,X,X,X,X
TSIJLZO,O,X,O,X,X,O,X,X,X,X,X
TSIJLOZ,O,X,O,X,X,X,X,X,X,X,X
TSIJZLO,O,X,O,X,X,O,X,X,X,X,X
TSIJZOL,O,X,O,X,X,O,X,X,X,X,X
TSIJOLZ,O,X,O,X,X,X,X,X,X,X,X
TSIJOZL,O,X,O,X,X,X,X,X,X,X,X
TSIZLJO,O,X,X,O,X,X,X,X,X,X,X
TSIZLOJ,O,X,O,O,X,X,X,X,X,X,X
TSIZJLO,O,X,X,O,X,X,X,X,X,X,X
TSIZJOL,O,X,X,O,X,X,X,X,X,X,X
TSIZOLJ,O,X,X,O,X,X,X,X,X,X,X
TSIZOJL,O,X,O,O,X,X,X,X,X,X,X
TSIOLJZ,O,X,O,X,X,X,O,X,X,X,X
TSIOLZJ,O,X,O,O,X,X,O,X,X,X,X
TSIOJLZ,O,X,O,X,X,X,X,X,X,X,X
TSIOJZL,O,X,O,X,X,X,X,X,X,X,X
TSIOZLJ,O,X,X,O,X,X,X,X,X,X,X
TSIOZJL,O,X,O,O,X,X,X,X,X,X,X
TSLIJZO,O,X,O,X,X,O,X,X,X,X,X
TSLIJOZ,O,X,O,X,X,X,O,X,X,X,X
TSLIZJO,O,X,X,O,X,X,X,X,X,X,X
TSLIZOJ,O,X,O,O,X,X,X,X,X,X,X
TSLIOJZ,O,X,O,X,X,X,O,X,X,X,X
TSLIOZJ,O,X,O,O,X,X,O,X,X,X,X
TSLJIZO,O,X,O,X,X,O,X,O,X,X,X
TSLJIOZ,O,X,O,X,X,X,O,O,X,X,O
TSLJZIO,O,X,O,X,X,O,X,O,X,X,X
TSLJZOI,O,X,O,X,X,O,O,O,X,X,O
TSLJOIZ,O,X,O,X,X,X,O,O,X,X,O
TSLJOZI,O,X,O,X,X,X,O,O,X,X,O
TSLZIJO,O,X,X,O,X,X,X,X,X,X,X
TSLZIOJ,O,X,O,O,X,X,X,X,X,X,X
TSLZJIO,O,X,O,O,X,X,X,X,X,X,X
TSLZJOI,O,X,O,O,X,X,O,X,X,X,X
TSLZOIJ,O,X,O,O,X,X,O,X,X,X,X
TSLZOJI,O,X,O,O,X,X,O,X,X,X,X
TSLOIJZ,O,X,O,X,X,X,O,X,X,X,X
TSLOIZJ,O,X,O,O,X,X,O,X,X,X,X
TSLOJIZ,O,X,O,X,X,X,O,O,X,X,X
TSLOJZI,O,X,O,X,X,X,O,O,X,X,X
TSLOZIJ,O,X,O,O,X,X,O,X,X,X,X
TSLOZJI,O,X,O,O,X,X,O,X,X,X,X
TSJILZO,O,X,O,X,X,O,X,O,X,X,X
TSJILOZ,O,X,O,X,X,X,O,O,X,X,O
TSJIZLO,O,X,O,X,X,O,X,O,X,X,X
TSJIZOL,O,X,O,X,X,O,X,O,X,X,X
TSJIOLZ,O,X,O,X,X,X,O,O,X,X,X
TSJIOZL,O,X,O,X,X,X,X,X,X,X,X
TSJLIZO,O,X,O,X,X,O,X,O,X,X,X
TSJLIOZ,O,X,O,X,X,X,O,O,X,X,O
TSJLZIO,O,X,O,X,X,O,X,O,X,X,X
TSJLZOI,O,X,O,X,X,O,O,O,X,X,O
TSJLOIZ,O,X,O,X,X,X,O,O,X,X,O
TSJLOZI,O,X,O,X,X,X,O,O,X,X,O
TSJZILO,O,X,O,X,X,O,X,O,X,X,X
TSJZIOL,O,X,O,X,X,O,X,O,X,X,X
TSJZLIO,O,X,O,X,X,O,X,O,X,X,X
TSJZLOI,O,X,O,X,X,O,O,O,X,X,O
TSJZOIL,O,X,O,X,X,O,X,O,X,X,X
TSJZOLI,O,X,O,X,X,O,O,O,X,X,X
TSJOILZ,O,X,O,X,X,O,O,O,X,X,X
TSJOIZL,O,X,O,X,X,O,X,X,X,X,X
