sequence,v115@OhC8GeC8CeA8AeE8Jei/IvhFzgBfnBxiBcpBeqBFrB,v115@OhC8GeC8CeA8AeE8JeOEJvhF8kBzgBfnBxnByuBFrB,v115@OhC8GeC8CeA8AeE8JeT/IvhF0hBxiBllBXlB2uBirB,v115@OhC8GeC8CeA8AeE8Jei/IvhFFhBxiBcpBzmBmqBXqB,v115@OhC8GeC8CeA8AeE8Jem/IvhFzgBfnBxiBipBFrB0pB,v115@OhC8GeC8CeA8AeE8JeyEJvhFzgBfnB0kBxnB2uBFrB,v115@OhC8GeC8CeA8AeE8JeOEJvhF8kBFhBxiBfrBzmByuB,v115@OhC8GeC8CeA8AeE8JezAJvhFfnBxiBmkB0pBFrBipB,v115@OhC8GeC8CeA8AeE8Je/EJvhFUgBxiByqBzmB2uBFrB,v115@OhC8GeC8CeA8AeE8JeFBJvhFxiBmkBfrBzmB0pBipB,v115@OhC8GeC8CeA8AeE8JefHJvhFxiBikBUmBFqBTpBmqB
TIOZJLS,X,X,O,O,X,X,X,X,X,X,X
TIOZJSL,X,X,O,O,X,X,X,O,X,O,X
TIOZSLJ,X,X,X,O,X,X,X,O,X,O,X
TIOZSJL,X,X,X,X,X,X,X,O,X,O,X
TLIJSZO,X,X,O,X,O,X,X,X,X,X,X
TLIJSOZ,X,X,O,X,O,X,X,X,X,X,X
TLIJZSO,X,X,O,X,X,X,X,X,X,X,X
TLIJZOS,X,X,O,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,O,X,O,X,X,X,X,X,X
TLIJOZS,X,X,O,X,X,X,X,X,X,X,X
TLISJZO,X,O,O,X,O,X,O,X,X,X,X
TLISJOZ,X,O,O,X,O,X,X,X,X,X,X
TLISZJO,X,O,O,X,O,X,O,X,X,X,X
TLISZOJ,X,O,X,X,O,X,O,X,X,X,X
TLISOJZ,X,O,X,X,O,X,X,X,X,X,X
TLISOZJ,X,O,X,X,O,X,O,X,X,X,X
TLIZJSO,X,O,O,X,X,X,O,X,X,X,X
TLIZJOS,X,O,O,X,X,X,O,X,X,X,X
TLIZSJO,X,O,O,X,X,X,O,X,X,X,O
TLIZSOJ,X,O,X,X,X,X,O,X,X,X,O
TLIZOJS,X,O,O,X,X,X,O,X,X,X,X
TLIZOSJ,X,O,X,X,X,X,O,X,X,X,X
TLIOJSZ,X,X,O,X,O,X,X,X,X,X,X
TLIOJZS,X,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,X,X,O,X,O,X,X,X,X
TLIOSZJ,X,O,X,X,O,X,O,X,X,X,X
TLIOZJS,X,O,O,X,X,X,O,X,X,X,X
TLIOZSJ,X,O,X,X,X,X,O,X,X,X,X
TLJISZO,X,X,O,X,O,O,X,X,X,X,X
TLJISOZ,X,X,O,X,O,O,X,X,X,X,X
TLJIZSO,X,X,O,X,X,X,X,X,X,X,X
TLJIZOS,X,X,O,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,O,X,O,O,X,X,X,X,X
TLJIOZS,X,X,O,X,X,X,X,X,X,X,X
TLJSIZO,O,O,O,X,O,O,X,X,X,X,X
TLJSIOZ,O,O,O,X,O,O,X,X,X,X,X
TLJSZIO,O,O,O,X,O,O,X,X,X,X,X
TLJSZOI,O,O,O,X,O,O,X,X,O,X,X
TLJSOIZ,O,O,O,X,O,O,X,X,O,X,X
TLJSOZI,O,O,O,X,O,O,X,X,O,X,X
TLJZISO,O,O,O,X,X,X,X,X,X,X,X
TLJZIOS,O,O,O,X,X,X,X,X,X,X,X
TLJZSIO,O,O,O,X,O,O,X,X,X,X,O
TLJZSOI,O,O,O,X,O,O,X,X,X,X,O
TLJZOIS,O,O,O,X,X,X,X,X,X,X,X
TLJZOSI,O,O,O,X,O,O,X,X,X,X,X
TLJOISZ,X,X,O,X,O,O,X,X,O,X,X
TLJOIZS,X,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,O,X,O,O,X,X,O,X,X
TLJOSZI,O,O,O,X,O,O,X,X,O,X,X
TLJOZIS,O,O,O,X,X,X,X,X,X,X,X
TLJOZSI,O,O,O,X,O,O,X,X,X,X,X
TLSIJZO,O,O,O,X,O,O,O,X,X,X,X
TLSIJOZ,O,O,O,X,O,O,X,X,X,X,X
TLSIZJO,O,O,O,X,O,X,O,O,X,X,X
TLSIZOJ,X,O,X,X,O,X,O,O,X,X,X
TLSIOJZ,O,O,X,X,O,O,X,X,X,X,X
TLSIOZJ,X,O,X,X,O,X,O,O,X,X,X
TLSJIZO,O,O,O,X,O,O,O,X,X,X,X
TLSJIOZ,O,O,O,X,O,O,X,X,X,X,X
TLSJZIO,O,O,O,X,O,O,O,X,X,X,X
TLSJZOI,O,O,O,X,O,O,O,X,X,X,X
TLSJOIZ,O,O,O,X,O,O,X,X,X,X,X
TLSJOZI,O,O,O,X,O,O,X,X,X,X,X
TLSZIJO,O,O,O,X,O,X,O,O,X,X,O
TLSZIOJ,X,O,X,X,O,X,O,O,X,X,O
TLSZJIO,O,O,O,X,O,X,O,O,X,X,O
TLSZJOI,O,O,O,X,O,X,O,O,X,X,O
TLSZOIJ,X,O,X,X,O,X,O,O,X,X,O
TLSZOJI,X,O,X,X,O,X,O,O,X,X,O
TLSOIJZ,O,O,X,X,O,O,O,X,X,X,X
TLSOIZJ,X,O,X,X,O,X,O,O,X,X,X
TLSOJIZ,O,O,X,X,O,O,O,X,X,X,X
TLSOJZI,O,O,X,X,O,O,O,X,X,X,X
TLSOZIJ,X,O,X,X,O,X,O,O,X,X,X
TLSOZJI,X,O,X,X,O,X,O,O,X,X,X
TLZIJSO,X,O,O,X,X,X,O,X,X,X,X
TLZIJOS,X,O,O,X,X,X,O,X,X,X,X
TLZISJO,X,O,O,X,X,X,O,X,X,X,O
TLZISOJ,X,O,X,X,X,X,O,X,X,X,O
TLZIOJS,X,O,O,X,X,X,O,X,X,X,X
TLZIOSJ,X,O,X,X,X,X,O,X,X,X,X
TLZJISO,O,O,O,X,X,X,O,X,X,X,X
TLZJIOS,O,O,O,X,X,X,O,X,X,X,X
TLZJSIO,O,O,O,X,O,X,O,O,X,X,O
TLZJSOI,O,O,O,X,O,X,O,O,X,X,O
TLZJOIS,O,O,O,X,X,X,O,X,X,X,X
TLZJOSI,O,O,O,X,O,X,O,O,X,X,X
TLZSIJO,O,O,O,X,O,X,O,O,X,X,O
TLZSIOJ,X,O,X,X,O,X,O,O,X,X,O
TLZSJIO,O,O,O,X,O,X,O,O,X,X,O
TLZSJOI,O,O,O,X,O,X,O,O,X,X,O
TLZSOIJ,X,O,X,X,O,X,O,O,X,X,O
TLZSOJI,X,O,X,X,O,X,O,O,X,X,O
TLZOIJS,X,O,O,X,X,X,O,X,X,X,X
TLZOISJ,X,O,X,X,X,X,O,X,X,X,X
TLZOJIS,X,O,O,X,X,X,O,X,X,X,X
TLZOJSI,X,O,O,X,O,X,O,O,X,X,X
TLZOSIJ,X,O,X,X,O,X,O,O,X,X,O
TLZOSJI,X,O,X,X,O,X,O,O,X,X,O
TLOIJSZ,X,X,O,X,O,X,X,X,O,X,X
TLOIJZS,X,X,O,X,X,X,X,X,X,X,X
TLOISJZ,X,O,X,X,O,X,O,X,X,X,X
TLOISZJ,X,O,X,X,O,X,O,X,X,X,X
TLOIZJS,X,O,O,X,X,X,O,X,X,X,X
TLOIZSJ,X,O,X,X,X,X,O,X,X,X,X
TLOJISZ,X,X,O,X,O,O,X,X,O,X,X
TLOJIZS,X,X,O,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,O,X,O,O,X,X,O,X,X
TLOJSZI,O,O,O,X,O,O,X,X,O,X,X
TLOJZIS,O,O,O,X,X,X,X,X,X,X,X
TLOJZSI,O,O,O,X,O,O,X,X,X,X,X
TLOSIJZ,O,O,X,X,O,O,O,X,X,X,X
TLOSIZJ,X,O,X,X,O,X,O,O,X,X,X
TLOSJIZ,O,O,X,X,O,O,O,X,X,X,X
TLOSJZI,O,O,X,X,O,O,O,X,X,X,X
TLOSZIJ,X,O,X,X,O,X,O,O,X,X,X
TLOSZJI,X,O,X,X,O,X,O,O,X,X,X
TLOZIJS,X,O,O,X,X,X,O,X,X,X,X
TLOZISJ,X,O,X,X,X,X,O,X,X,X,X
TLOZJIS,X,O,O,X,X,X,O,X,X,X,X
TLOZJSI,X,O,O,X,O,X,O,O,X,X,X
TLOZSIJ,X,O,X,X,O,X,O,O,X,X,O
TLOZSJI,X,O,X,X,O,X,O,O,X,X,O
TJILSZO,X,X,O,X,X,O,X,X,X,X,X
TJILSOZ,X,X,O,X,X,O,X,X,X,X,X
TJILZSO,X,X,O,O,X,X,X,X,X,X,X
TJILZOS,X,X,O,O,X,X,X,X,X,X,X
TJILOSZ,X,X,O,X,X,O,X,X,X,X,X
TJILOZS,X,X,O,X,X,X,X,X,X,X,X
TJISLZO,O,X,X,X,X,O,X,X,X,X,X
TJISLOZ,O,X,X,X,X,O,X,X,X,X,X
TJISZLO,O,X,X,O,X,O,X,X,X,X,X
TJISZOL,O,X,O,X,X,O,X,X,O,X,X
TJISOLZ,O,X,X,X,X,O,X,X,O,X,X
TJISOZL,O,X,O,X,X,O,X,X,O,X,X
TJIZLSO,O,X,X,O,X,X,X,X,X,X,X
TJIZLOS,O,X,O,O,X,X,X,X,X,X,X
TJIZSLO,O,X,X,O,X,X,X,X,X,X,X
TJIZSOL,O,X,O,X,X,X,X,X,X,X,X
TJIZOLS,O,X,O,O,X,X,X,X,X,X,X
TJIZOSL,O,X,O,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,O,X,X,O,X,X,O,X,X
TJIOLZS,X,X,O,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,O,X,X,O,X,X
TJIOSZL,O,X,O,X,X,O,X,X,O,X,X
TJIOZLS,O,X,O,O,X,X,X,X,X,X,X
TJIOZSL,O,X,O,X,X,X,X,X,X,X,X
TJLISZO,X,X,O,X,O,O,X,X,X,X,X
TJLISOZ,X,X,O,X,O,O,X,X,X,X,X
TJLIZSO,X,X,O,O,X,X,X,X,X,X,X
TJLIZOS,X,X,O,O,X,X,X,X,X,X,X
TJLIOSZ,X,X,O,X,O,O,X,X,X,X,X
TJLIOZS,X,X,O,X,X,X,X,X,X,X,X
TJLSIZO,O,O,O,X,O,O,X,X,X,X,X
TJLSIOZ,O,O,O,X,O,O,X,X,X,X,X
TJLSZIO,O,O,O,X,O,O,X,X,X,X,X
TJLSZOI,O,O,O,X,O,O,X,X,O,X,X
TJLSOIZ,O,O,O,X,O,O,X,X,O,X,X
TJLSOZI,O,O,O,X,O,O,X,X,O,X,X
TJLZISO,O,O,O,O,X,X,X,X,X,X,X
TJLZIOS,O,O,O,O,X,X,X,X,X,X,X
TJLZSIO,O,O,O,O,O,O,X,X,X,X,O
TJLZSOI,O,O,O,X,O,O,X,X,X,X,O
TJLZOIS,O,O,O,O,X,X,X,X,X,X,X
TJLZOSI,O,O,O,X,O,O,X,X,X,X,X
TJLOISZ,X,X,O,X,O,O,X,X,O,X,X
TJLOIZS,X,X,O,X,X,X,X,X,X,X,X
TJLOSIZ,O,O,O,X,O,O,X,X,O,X,X
TJLOSZI,O,O,O,X,O,O,X,X,O,X,X
TJLOZIS,O,O,O,X,X,X,X,X,X,X,X
TJLOZSI,O,O,O,X,O,O,X,X,X,X,X
TJSILZO,O,O,X,X,O,O,X,X,X,X,X
TJSILOZ,O,O,X,X,O,O,X,X,X,X,X
TJSIZLO,O,X,X,O,X,O,X,O,X,X,X
TJSIZOL,O,X,O,X,X,O,X,O,O,X,X
TJSIOLZ,O,O,X,X,O,O,X,X,O,X,X
TJSIOZL,O,X,O,X,X,O,X,O,O,X,X
TJSLIZO,O,O,O,X,O,O,X,X,X,X,X
TJSLIOZ,O,O,O,X,O,O,X,X,X,X,X
TJSLZIO,O,O,O,X,O,O,X,X,X,X,X
TJSLZOI,O,O,O,X,O,O,X,X,O,X,X
TJSLOIZ,O,O,O,X,O,O,X,X,O,X,X
TJSLOZI,O,O,O,X,O,O,X,X,O,X,X
TJSZILO,O,X,X,O,X,O,X,O,X,X,X
TJSZIOL,O,X,O,X,X,O,X,O,O,X,X
TJSZLIO,O,X,X,O,X,O,X,O,X,X,X
TJSZLOI,O,X,X,X,X,O,X,O,O,X,X
TJSZOIL,O,X,O,X,X,O,X,O,O,X,X
TJSZOLI,O,X,O,X,X,O,X,O,O,X,X
TJSOILZ,O,O,X,X,O,O,X,X,O,X,X
TJSOIZL,O,X,O,X,X,O,X,O,O,X,X
TJSOLIZ,O,O,O,X,O,O,X,X,O,X,X
TJSOLZI,O,O,O,X,O,O,X,X,O,X,X
TJSOZIL,O,X,O,X,X,O,X,O,O,X,X
TJSOZLI,O,X,O,X,X,O,X,O,O,X,X
TJZILSO,O,X,X,O,X,X,X,X,X,X,X
TJZILOS,O,X,O,O,X,X,X,X,X,X,X
TJZISLO,O,X,X,O,X,X,X,O,X,X,X
TJZISOL,O,X,O,X,X,X,X,O,X,X,X
TJZIOLS,O,X,O,O,X,X,X,X,X,X,X
TJZIOSL,O,X,O,X,X,X,X,O,X,X,X
TJZLISO,O,X,O,O,X,X,X,X,X,X,X
TJZLIOS,O,X,O,O,X,X,X,X,X,X,X
TJZLSIO,O,X,O,O,X,O,X,O,X,X,O
TJZLSOI,O,X,O,X,X,O,X,O,X,X,O
TJZLOIS,O,X,O,O,X,X,X,X,X,X,X
TJZLOSI,O,X,O,O,X,O,X,O,X,X,X
TJZSILO,O,X,X,O,X,O,X,O,X,X,O
TJZSIOL,O,X,O,X,X,O,X,O,X,X,X
TJZSLIO,O,X,X,O,X,O,X,O,X,X,O
TJZSLOI,O,X,X,X,X,O,X,O,X,X,O
TJZSOIL,O,X,O,X,X,O,X,O,X,X,X
TJZSOLI,O,X,O,X,X,O,X,O,X,X,X
