sequence,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFXgBxhB8nB1qBzr?BirB,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFlgB3hBziBUlBxr?BywB,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFXgBKnBziBxqBFr?B0rB,v115@GhA8IeA8AeA8FeF8CeC8Jex/IvhF8mBziBikB1qBXs?BOrB,v115@GhA8IeA8AeA8FeF8CeC8Jex/IvhFXhBziBikBmqBFs?B8rB
TLOSZJI,O,X,X,O,X
TLOZIJS,O,X,X,X,O
TLOZISJ,O,X,X,O,X
TLOZJIS,O,X,X,X,O
TLOZJSI,O,X,X,X,O
TLOZSIJ,O,X,X,O,X
TLOZSJI,O,X,X,O,X
TJILSZO,X,X,O,X,O
TJILSOZ,X,X,O,X,O
TJILZSO,X,X,O,X,O
TJILZOS,X,X,O,X,O
TJILOSZ,X,X,O,X,O
TJILOZS,X,X,O,X,O
TJISLZO,X,X,O,X,X
TJISLOZ,X,O,O,X,X
TJISZLO,O,O,X,X,X
TJISZOL,O,O,X,X,X
TJISOLZ,X,O,O,X,X
TJISOZL,O,O,X,X,X
TJIZLSO,O,O,X,X,X
TJIZLOS,X,O,X,X,X
TJIZSLO,O,O,X,X,X
TJIZSOL,O,O,X,X,X
TJIZOLS,O,O,X,X,X
TJIZOSL,O,O,X,X,X
TJIOLSZ,X,X,O,X,O
TJIOLZS,X,X,O,X,O
TJIOSLZ,X,O,O,X,X
TJIOSZL,O,O,X,X,X
TJIOZLS,O,O,X,X,X
TJIOZSL,O,O,X,X,X
TJLISZO,X,X,O,O,O
TJLISOZ,X,X,O,O,O
TJLIZSO,X,X,O,X,O
TJLIZOS,X,X,O,X,O
TJLIOSZ,X,X,O,O,O
TJLIOZS,X,X,O,X,O
TJLSIZO,X,X,O,O,O
TJLSIOZ,X,X,O,O,O
TJLSZIO,O,X,X,O,O
TJLSZOI,O,X,X,O,O
TJLSOIZ,X,X,O,O,O
TJLSOZI,O,X,X,O,O
TJLZISO,O,X,X,X,O
TJLZIOS,X,X,X,X,O
TJLZSIO,O,X,X,X,O
TJLZSOI,O,X,X,X,O
TJLZOIS,O,X,X,X,O
TJLZOSI,O,X,X,X,O
TJLOISZ,X,X,O,O,O
TJLOIZS,X,X,O,X,O
TJLOSIZ,X,X,O,O,O
TJLOSZI,O,X,X,O,O
TJLOZIS,O,X,X,X,O
TJLOZSI,O,X,X,X,O
TJSILZO,X,X,O,X,X
TJSILOZ,X,X,O,X,X
TJSIZLO,O,X,X,X,X
TJSIZOL,O,X,X,X,X
TJSIOLZ,X,X,O,X,X
TJSIOZL,O,X,X,X,X
TJSLIZO,X,X,O,O,O
TJSLIOZ,X,X,O,O,O
TJSLZIO,O,X,X,O,O
TJSLZOI,O,X,X,O,O
TJSLOIZ,X,X,O,O,O
TJSLOZI,O,X,X,O,O
TJSZILO,O,X,X,X,X
TJSZIOL,O,X,X,X,X
TJSZLIO,O,X,X,O,X
TJSZLOI,O,X,X,O,X
TJSZOIL,O,X,X,X,X
TJSZOLI,O,X,X,O,X
TJSOILZ,X,X,O,X,X
TJSOIZL,O,X,X,X,X
TJSOLIZ,X,X,O,O,O
TJSOLZI,O,X,X,O,O
TJSOZIL,O,X,X,X,X
TJSOZLI,O,X,X,O,X
TJZILSO,O,O,X,X,X
TJZILOS,X,O,X,X,X
TJZISLO,O,O,X,X,X
TJZISOL,O,O,X,X,X
TJZIOLS,O,O,X,X,X
TJZIOSL,O,O,X,X,X
TJZLISO,O,O,X,X,O
TJZLIOS,X,O,X,X,O
TJZLSIO,O,X,X,X,O
TJZLSOI,O,X,X,X,O
TJZLOIS,O,O,X,X,O
TJZLOSI,O,X,X,X,O
TJZSILO,O,O,X,X,X
TJZSIOL,O,O,X,X,X
TJZSLIO,O,X,X,X,X
TJZSLOI,O,X,X,X,X
TJZSOIL,O,O,X,X,X
TJZSOLI,O,X,X,X,X
TJZOILS,O,O,X,X,X
TJZOISL,O,O,X,X,X
TJZOLIS,O,O,X,X,O
TJZOLSI,O,X,X,X,O
TJZOSIL,O,O,X,X,X
TJZOSLI,O,X,X,X,X
TJOILSZ,X,X,O,X,O
TJOILZS,X,X,O,X,O
TJOISLZ,X,O,O,X,X
TJOISZL,O,O,X,X,X
TJOIZLS,O,O,X,X,X
TJOIZSL,O,O,X,X,X
TJOLISZ,X,X,O,O,O
TJOLIZS,X,X,O,X,O
TJOLSIZ,X,X,O,O,O
TJOLSZI,O,X,X,O,O
TJOLZIS,O,X,X,X,O
TJOLZSI,O,X,X,X,O
TJOSILZ,X,X,O,X,X
TJOSIZL,O,X,X,X,X
TJOSLIZ,X,X,O,O,O
TJOSLZI,O,X,X,O,O
TJOSZIL,O,X,X,X,X
TJOSZLI,O,X,X,O,X
TJOZILS,O,O,X,X,X
TJOZISL,O,O,X,X,X
TJOZLIS,O,O,X,X,O
TJOZLSI,O,X,X,X,O
TJOZSIL,O,O,X,X,X
TJOZSLI,O,X,X,X,X
TSILJZO,X,X,O,O,X
TSILJOZ,X,X,O,O,X
TSILZJO,X,X,X,O,X
TSILZOJ,X,X,X,O,X
TSILOJZ,X,X,O,O,X
TSILOZJ,X,X,X,O,X
TSIJLZO,X,X,O,X,X
TSIJLOZ,X,X,O,X,X
TSIJZLO,O,X,X,X,X
TSIJZOL,O,X,X,X,X
TSIJOLZ,X,X,O,X,X
TSIJOZL,O,X,X,X,X
TSIZLJO,O,X,X,O,X
