sequence,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFXgBxhB8nB1qBzr?BirB,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFlgB3hBziBUlBxr?BywB,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFXgBKnBziBxqBFr?B0rB,v115@GhA8IeA8AeA8FeF8CeC8Jex/IvhF8mBziBikB1qBXs?BOrB,v115@GhA8IeA8AeA8FeF8CeC8Jex/IvhFXhBziBikBmqBFs?B8rB
JTLOSIZ,X,X,O,O,O
JTLOSZI,O,X,X,O,O
JTLOZIS,O,X,X,X,O
JTLOZSI,O,X,X,X,O
JTSILZO,X,X,O,X,X
JTSILOZ,X,X,O,X,X
JTSIZLO,O,X,X,X,X
JTSIZOL,O,X,X,X,X
JTSIOLZ,X,X,O,X,X
JTSIOZL,O,X,X,X,X
JTSLIZO,X,X,O,O,O
JTSLIOZ,X,X,O,O,O
JTSLZIO,O,X,X,O,O
JTSLZOI,O,X,X,O,O
JTSLOIZ,X,X,O,O,O
JTSLOZI,O,X,X,O,O
JTSZILO,O,X,X,X,X
JTSZIOL,O,X,X,X,X
JTSZLIO,O,X,X,O,X
JTSZLOI,O,X,X,O,X
JTSZOIL,O,X,X,X,X
JTSZOLI,O,X,X,O,X
JTSOILZ,X,X,O,X,X
JTSOIZL,O,X,X,X,X
JTSOLIZ,X,X,O,O,O
JTSOLZI,O,X,X,O,O
JTSOZIL,O,X,X,X,X
JTSOZLI,O,X,X,O,X
JTZILSO,O,O,X,X,X
JTZILOS,X,O,X,X,X
JTZISLO,O,O,X,X,X
JTZISOL,O,O,X,X,X
JTZIOLS,O,O,X,X,X
JTZIOSL,O,O,X,X,X
JTZLISO,O,O,X,X,O
JTZLIOS,X,O,X,X,O
JTZLSIO,O,X,X,X,O
JTZLSOI,O,X,X,X,O
JTZLOIS,O,O,X,X,O
JTZLOSI,O,X,X,X,O
JTZSILO,O,O,X,X,X
JTZSIOL,O,O,X,X,X
JTZSLIO,O,X,X,X,X
JTZSLOI,O,X,X,X,X
JTZSOIL,O,O,X,X,X
JTZSOLI,O,X,X,X,X
JTZOILS,O,O,X,X,X
JTZOISL,O,O,X,X,X
JTZOLIS,O,O,X,X,O
JTZOLSI,O,X,X,X,O
JTZOSIL,O,O,X,X,X
JTZOSLI,O,X,X,X,X
JTOILSZ,X,X,O,X,O
JTOILZS,X,X,O,X,O
JTOISLZ,X,O,O,X,X
JTOISZL,O,O,X,X,X
JTOIZLS,O,O,X,X,X
JTOIZSL,O,O,X,X,X
JTOLISZ,X,X,O,O,O
JTOLIZS,X,X,O,X,O
JTOLSIZ,X,X,O,O,O
JTOLSZI,O,X,X,O,O
JTOLZIS,O,X,X,X,O
JTOLZSI,O,X,X,X,O
JTOSILZ,X,X,O,X,X
JTOSIZL,O,X,X,X,X
JTOSLIZ,X,X,O,O,O
JTOSLZI,O,X,X,O,O
JTOSZIL,O,X,X,X,X
JTOSZLI,O,X,X,O,X
JTOZILS,O,O,X,X,X
JTOZISL,O,O,X,X,X
JTOZLIS,O,O,X,X,O
JTOZLSI,O,X,X,X,O
JTOZSIL,O,O,X,X,X
JTOZSLI,O,X,X,X,X
JITLSZO,X,X,O,X,O
JITLSOZ,X,X,O,X,O
JITLZSO,X,X,O,X,O
JITLZOS,X,X,O,X,O
JITLOSZ,X,X,O,X,O
JITLOZS,X,X,O,X,O
JITSLZO,X,X,O,X,X
JITSLOZ,X,O,O,X,X
JITSZLO,O,O,X,X,X
JITSZOL,O,O,X,X,X
JITSOLZ,X,O,O,X,X
JITSOZL,O,O,X,X,X
JITZLSO,O,O,X,X,X
JITZLOS,X,O,X,X,X
JITZSLO,O,O,X,X,X
JITZSOL,O,O,X,X,X
JITZOLS,O,O,X,X,X
JITZOSL,O,O,X,X,X
JITOLSZ,X,X,O,X,O
JITOLZS,X,X,O,X,O
JITOSLZ,X,O,O,X,X
JITOSZL,O,O,X,X,X
JITOZLS,O,O,X,X,X
JITOZSL,O,O,X,X,X
JILTSZO,X,X,O,X,O
JILTSOZ,X,X,O,X,O
JILTZSO,X,X,O,X,O
JILTZOS,X,X,O,X,O
JILTOSZ,X,X,O,X,O
JILTOZS,X,X,O,X,O
JILSTZO,X,X,O,X,O
JILSTOZ,X,O,O,X,O
JILSZTO,X,O,O,X,X
JILSZOT,X,O,O,X,X
JILSOTZ,X,O,O,X,O
JILSOZT,X,O,O,X,X
JILZTSO,X,O,O,X,O
JILZTOS,X,O,O,X,O
JILZSTO,X,O,O,X,X
JILZSOT,X,O,O,X,X
JILZOTS,X,O,O,X,O
JILZOST,X,O,O,X,X
JILOTSZ,X,X,O,X,O
JILOTZS,X,X,O,X,O
JILOSTZ,X,O,O,X,O
JILOSZT,X,O,O,X,X
JILOZTS,X,O,O,X,O
JILOZST,X,O,O,X,X
JISTLZO,X,X,O,X,X
JISTLOZ,X,O,O,X,X
JISTZLO,O,O,X,X,X
JISTZOL,O,O,X,X,X
JISTOLZ,X,O,O,X,X
JISTOZL,O,O,X,X,X
JISLTZO,X,X,O,X,X
JISLTOZ,X,O,O,X,X
JISLZTO,X,O,O,X,X
JISLZOT,X,O,O,X,X
JISLOTZ,X,O,O,X,X
JISLOZT,X,O,O,X,X
JISZTLO,O,O,X,X,X
JISZTOL,O,O,X,X,X
JISZLTO,O,O,O,X,X
JISZLOT,O,O,O,X,X
JISZOTL,O,O,X,X,X
JISZOLT,O,O,O,X,X
JISOTLZ,X,O,O,X,X
JISOTZL,O,O,X,X,X
JISOLTZ,X,O,O,X,X
JISOLZT,X,O,O,X,X
JISOZTL,O,O,X,X,X
JISOZLT,O,O,O,X,X
JIZTLSO,O,O,X,X,X
JIZTLOS,X,O,X,X,X
JIZTSLO,O,O,X,X,X
JIZTSOL,O,O,X,X,X
JIZTOLS,O,O,X,X,X
JIZTOSL,O,O,X,X,X
JIZLTSO,O,O,O,X,X
JIZLTOS,X,O,O,X,X
JIZLSTO,O,O,O,X,X
JIZLSOT,O,O,O,X,X
JIZLOTS,O,O,O,X,X
JIZLOST,O,O,O,X,X
JIZSTLO,O,O,X,X,X
JIZSTOL,O,O,X,X,X
JIZSLTO,O,O,O,X,X
JIZSLOT,O,O,O,X,X
JIZSOTL,O,O,X,X,X
JIZSOLT,O,O,O,X,X
JIZOTLS,O,O,X,X,X
JIZOTSL,O,O,X,X,X
JIZOLTS,O,O,O,X,X
JIZOLST,O,O,O,X,X
JIZOSTL,O,O,X,X,X
JIZOSLT,O,O,O,X,X
JIOTLSZ,X,X,O,X,O
JIOTLZS,X,X,O,X,O
JIOTSLZ,X,O,O,X,X
JIOTSZL,O,O,X,X,X
JIOTZLS,O,O,X,X,X
JIOTZSL,O,O,X,X,X
JIOLTSZ,X,X,O,X,O
JIOLTZS,X,X,O,X,O
JIOLSTZ,X,O,O,X,O
JIOLSZT,X,O,O,X,X
JIOLZTS,X,O,O,X,O
JIOLZST,X,O,O,X,X
JIOSTLZ,X,O,O,X,X
JIOSTZL,O,O,X,X,X
JIOSLTZ,X,O,O,X,X
JIOSLZT,X,O,O,X,X
JIOSZTL,O,O,X,X,X
JIOSZLT,O,O,O,X,X
JIOZTLS,O,O,X,X,X
JIOZTSL,O,O,X,X,X
JIOZLTS,O,O,O,X,X
JIOZLST,O,O,O,X,X
JIOZSTL,O,O,X,X,X
JIOZSLT,O,O,O,X,X
JLTISZO,X,X,O,O,O
JLTISOZ,X,X,O,O,O
JLTIZSO,X,X,O,X,O
JLTIZOS,X,X,O,X,O
JLTIOSZ,X,X,O,O,O
JLTIOZS,X,X,O,X,O
JLTSIZO,X,X,O,O,O
JLTSIOZ,X,X,O,O,O
JLTSZIO,O,X,X,O,O
JLTSZOI,O,X,X,O,O
JLTSOIZ,X,X,O,O,O
JLTSOZI,O,X,X,O,O
JLTZISO,O,X,X,X,O
JLTZIOS,X,X,X,X,O
JLTZSIO,O,X,X,X,O
JLTZSOI,O,X,X,X,O
JLTZOIS,O,X,X,X,O
JLTZOSI,O,X,X,X,O
JLTOISZ,X,X,O,O,O
JLTOIZS,X,X,O,X,O
JLTOSIZ,X,X,O,O,O
JLTOSZI,O,X,X,O,O
JLTOZIS,O,X,X,X,O
JLTOZSI,O,X,X,X,O
JLITSZO,X,X,O,O,O
JLITSOZ,X,X,O,O,O
JLITZSO,X,X,O,X,O
JLITZOS,X,X,O,X,O
JLITOSZ,X,X,O,O,O
JLITOZS,X,X,O,X,O
JLISTZO,X,X,O,O,O
JLISTOZ,X,O,O,O,O
JLISZTO,X,O,O,X,X
JLISZOT,X,O,O,X,X
JLISOTZ,X,O,O,O,O
JLISOZT,X,O,O,X,X
JLIZTSO,X,O,O,X,O
JLIZTOS,X,O,O,X,O
JLIZSTO,X,O,O,X,X
JLIZSOT,X,O,O,X,X
JLIZOTS,X,O,O,X,O
JLIZOST,X,O,O,X,X
JLIOTSZ,X,X,O,O,O
JLIOTZS,X,X,O,X,O
JLIOSTZ,X,O,O,O,O
JLIOSZT,X,O,O,X,X
JLIOZTS,X,O,O,X,O
JLIOZST,X,O,O,X,X
JLSTIZO,X,X,O,O,O
JLSTIOZ,X,X,O,O,O
JLSTZIO,O,X,X,O,O
JLSTZOI,O,X,X,O,O
JLSTOIZ,X,X,O,O,O
JLSTOZI,O,X,X,O,O
JLSITZO,X,X,O,O,O
JLSITOZ,X,X,O,O,O
JLSIZTO,X,X,O,X,X
JLSIZOT,X,X,O,X,X
JLSIOTZ,X,X,O,O,O
JLSIOZT,X,X,O,X,X
JLSZTIO,O,X,X,O,X
JLSZTOI,O,X,X,O,X
JLSZITO,O,X,O,X,X
JLSZIOT,O,X,O,X,X
JLSZOTI,O,X,X,O,X
JLSZOIT,O,X,O,X,X
JLSOTIZ,X,X,O,O,O
JLSOTZI,O,X,X,O,O
JLSOITZ,X,X,O,O,O
JLSOIZT,X,X,O,X,X
JLSOZTI,O,X,X,O,X
JLSOZIT,O,X,O,X,X
JLZTISO,O,O,X,X,O
JLZTIOS,X,O,X,X,O
JLZTSIO,O,X,X,X,O
JLZTSOI,O,X,X,X,O
JLZTOIS,O,O,X,X,O
JLZTOSI,O,X,X,X,O
JLZITSO,O,O,O,X,O
JLZITOS,X,O,O,X,O
JLZISTO,O,O,O,X,X
JLZISOT,O,O,O,X,X
JLZIOTS,O,O,O,X,O
JLZIOST,O,O,O,X,X
JLZSTIO,O,X,X,X,X
JLZSTOI,O,X,X,X,X
JLZSITO,O,X,O,X,X
JLZSIOT,O,X,O,X,X
JLZSOTI,O,X,X,X,X
JLZSOIT,O,X,O,X,X
JLZOTIS,O,O,X,X,O
JLZOTSI,O,X,X,X,O
JLZOITS,O,O,O,X,O
JLZOIST,O,O,O,X,X
JLZOSTI,O,X,X,X,X
JLZOSIT,O,X,O,X,X
JLOTISZ,X,X,O,O,O
JLOTIZS,X,X,O,X,O
JLOTSIZ,X,X,O,O,O
JLOTSZI,O,X,X,O,O
JLOTZIS,O,X,X,X,O
JLOTZSI,O,X,X,X,O
JLOITSZ,X,X,O,O,O
JLOITZS,X,X,O,X,O
JLOISTZ,X,O,O,O,O
JLOISZT,X,O,O,X,X
JLOIZTS,X,O,O,X,O
JLOIZST,X,O,O,X,X
JLOSTIZ,X,X,O,O,O
JLOSTZI,O,X,X,O,O
JLOSITZ,X,X,O,O,O
JLOSIZT,X,X,O,X,X
JLOSZTI,O,X,X,O,X
JLOSZIT,O,X,O,X,X
JLOZTIS,O,O,X,X,O
JLOZTSI,O,X,X,X,O
JLOZITS,O,O,O,X,O
JLOZIST,O,O,O,X,X
JLOZSTI,O,X,X,X,X
JLOZSIT,O,X,O,X,X
JSTILZO,X,X,O,X,X
JSTILOZ,X,X,O,X,X
JSTIZLO,O,X,X,X,X
JSTIZOL,O,X,X,X,X
JSTIOLZ,X,X,O,X,X
JSTIOZL,O,X,X,X,X
JSTLIZO,X,X,O,O,O
JSTLIOZ,X,X,O,O,O
JSTLZIO,O,X,X,O,O
JSTLZOI,O,X,X,O,O
JSTLOIZ,X,X,O,O,O
JSTLOZI,O,X,X,O,O
JSTZILO,O,X,X,X,X
JSTZIOL,O,X,X,X,X
JSTZLIO,O,X,X,O,X
JSTZLOI,O,X,X,O,X
JSTZOIL,O,X,X,X,X
JSTZOLI,O,X,X,O,X
JSTOILZ,X,X,O,X,X
JSTOIZL,O,X,X,X,X
JSTOLIZ,X,X,O,O,O
JSTOLZI,O,X,X,O,O
JSTOZIL,O,X,X,X,X
JSTOZLI,O,X,X,O,X
JSITLZO,X,X,O,X,X
JSITLOZ,X,O,O,X,X
JSITZLO,O,O,X,X,X
JSITZOL,O,O,X,X,X
JSITOLZ,X,O,O,X,X
JSITOZL,O,O,X,X,X
JSILTZO,X,X,O,X,X
JSILTOZ,X,O,O,X,X
JSILZTO,X,O,O,X,X
JSILZOT,X,O,O,X,X
JSILOTZ,X,O,O,X,X
JSILOZT,X,O,O,X,X
JSIZTLO,O,O,X,X,X
JSIZTOL,O,O,X,X,X
JSIZLTO,O,O,O,X,X
JSIZLOT,O,O,O,X,X
JSIZOTL,O,O,X,X,X
JSIZOLT,O,O,O,X,X
JSIOTLZ,X,O,O,X,X
JSIOTZL,O,O,X,X,X
JSIOLTZ,X,O,O,X,X
JSIOLZT,X,O,O,X,X
JSIOZTL,O,O,X,X,X
JSIOZLT,O,O,O,X,X
JSLTIZO,X,X,O,O,O
JSLTIOZ,X,X,O,O,O
JSLTZIO,O,X,X,O,O
JSLTZOI,O,X,X,O,O
JSLTOIZ,X,X,O,O,O
JSLTOZI,O,X,X,O,O
JSLITZO,X,X,O,O,O
JSLITOZ,X,X,O,O,O
JSLIZTO,X,X,O,X,X
JSLIZOT,X,X,O,X,X
JSLIOTZ,X,X,O,O,O
JSLIOZT,X,X,O,X,X
JSLZTIO,O,X,X,O,X
JSLZTOI,O,X,X,O,X
JSLZITO,O,X,O,X,X
JSLZIOT,O,X,O,X,X
JSLZOTI,O,X,X,O,X
JSLZOIT,O,X,O,X,X
JSLOTIZ,X,X,O,O,O
JSLOTZI,O,X,X,O,O
JSLOITZ,X,X,O,O,O
JSLOIZT,X,X,O,X,X
JSLOZTI,O,X,X,O,X
JSLOZIT,O,X,O,X,X
JSZTILO,O,O,X,X,X
JSZTIOL,O,O,X,X,X
JSZTLIO,O,X,X,O,X
JSZTLOI,O,X,X,O,X
JSZTOIL,O,O,X,X,X
JSZTOLI,O,X,X,O,X
JSZITLO,O,O,X,X,X
JSZITOL,O,O,X,X,X
JSZILTO,O,O,O,X,X
JSZILOT,O,O,O,X,X
JSZIOTL,O,O,X,X,X
JSZIOLT,O,O,O,X,X
JSZLTIO,O,X,X,O,X
JSZLTOI,O,X,X,O,X
JSZLITO,O,X,O,X,X
JSZLIOT,O,X,O,X,X
JSZLOTI,O,X,X,O,X
JSZLOIT,O,X,O,X,X
JSZOTIL,O,O,X,X,X
JSZOTLI,O,X,X,O,X
JSZOITL,O,O,X,X,X
JSZOILT,O,O,O,X,X
JSZOLTI,O,X,X,O,X
JSZOLIT,O,X,O,X,X
JSOTILZ,X,X,O,X,X
JSOTIZL,O,X,X,X,X
JSOTLIZ,X,X,O,O,O
JSOTLZI,O,X,X,O,O
JSOTZIL,O,X,X,X,X
JSOTZLI,O,X,X,O,X
JSOITLZ,X,O,O,X,X
JSOITZL,O,O,X,X,X
JSOILTZ,X,O,O,X,X
JSOILZT,X,O,O,X,X
JSOIZTL,O,O,X,X,X
JSOIZLT,O,O,O,X,X
JSOLTIZ,X,X,O,O,O
JSOLTZI,O,X,X,O,O
JSOLITZ,X,X,O,O,O
JSOLIZT,X,X,O,X,X
JSOLZTI,O,X,X,O,X
JSOLZIT,O,X,O,X,X
JSOZTIL,O,O,X,X,X
JSOZTLI,O,X,X,O,X
JSOZITL,O,O,X,X,X
JSOZILT,O,O,O,X,X
JSOZLTI,O,X,X,O,X
JSOZLIT,O,X,O,X,X
JZTILSO,O,O,X,X,X
JZTILOS,X,O,X,X,X
JZTISLO,O,O,X,X,X
JZTISOL,O,O,X,X,X
JZTIOLS,O,O,X,X,X
JZTIOSL,O,O,X,X,X
JZTLISO,O,O,X,X,O
JZTLIOS,X,O,X,X,O
JZTLSIO,O,X,X,X,O
JZTLSOI,O,X,X,X,O
JZTLOIS,O,O,X,X,O
JZTLOSI,O,X,X,X,O
JZTSILO,O,O,X,X,X
JZTSIOL,O,O,X,X,X
JZTSLIO,O,X,X,X,X
JZTSLOI,O,X,X,X,X
JZTSOIL,O,O,X,X,X
JZTSOLI,O,X,X,X,X
JZTOILS,O,O,X,X,X
JZTOISL,O,O,X,X,X
JZTOLIS,O,O,X,X,O
JZTOLSI,O,X,X,X,O
JZTOSIL,O,O,X,X,X
JZTOSLI,O,X,X,X,X
JZITLSO,O,O,X,X,X
JZITLOS,X,O,X,X,X
JZITSLO,O,O,X,X,X
JZITSOL,O,O,X,X,X
JZITOLS,O,O,X,X,X
JZITOSL,O,O,X,X,X
JZILTSO,O,O,O,X,X
JZILTOS,X,O,O,X,X
JZILSTO,O,O,O,X,X
JZILSOT,O,O,O,X,X
JZILOTS,O,O,O,X,X
JZILOST,O,O,O,X,X
JZISTLO,O,O,X,X,X
JZISTOL,O,O,X,X,X
JZISLTO,O,O,O,X,X
JZISLOT,O,O,O,X,X
JZISOTL,O,O,X,X,X
JZISOLT,O,O,O,X,X
JZIOTLS,O,O,X,X,X
JZIOTSL,O,O,X,X,X
JZIOLTS,O,O,O,X,X
JZIOLST,O,O,O,X,X
JZIOSTL,O,O,X,X,X
JZIOSLT,O,O,O,X,X
JZLTISO,O,O,X,X,O
JZLTIOS,X,O,X,X,O
JZLTSIO,O,X,X,X,O
JZLTSOI,O,X,X,X,O
JZLTOIS,O,O,X,X,O
JZLTOSI,O,X,X,X,O
JZLITSO,O,O,O,X,O
JZLITOS,X,O,O,X,O
JZLISTO,O,O,O,X,X
JZLISOT,O,O,O,X,X
JZLIOTS,O,O,O,X,O
JZLIOST,O,O,O,X,X
JZLSTIO,O,X,X,X,X
JZLSTOI,O,X,X,X,X
JZLSITO,O,X,O,X,X
JZLSIOT,O,X,O,X,X
JZLSOTI,O,X,X,X,X
JZLSOIT,O,X,O,X,X
JZLOTIS,O,O,X,X,O
JZLOTSI,O,X,X,X,O
JZLOITS,O,O,O,X,O
JZLOIST,O,O,O,X,X
JZLOSTI,O,X,X,X,X
JZLOSIT,O,X,O,X,X
JZSTILO,O,O,X,X,X
JZSTIOL,O,O,X,X,X
JZSTLIO,O,X,X,X,X
JZSTLOI,O,X,X,X,X
JZSTOIL,O,O,X,X,X
JZSTOLI,O,X,X,X,X
JZSITLO,O,O,X,X,X
JZSITOL,O,O,X,X,X
JZSILTO,O,O,O,X,X
JZSILOT,O,O,O,X,X
JZSIOTL,O,O,X,X,X
JZSIOLT,O,O,O,X,X
JZSLTIO,O,X,X,X,X
JZSLTOI,O,X,X,X,X
JZSLITO,O,X,O,X,X
JZSLIOT,O,X,O,X,X
JZSLOTI,O,X,X,X,X
JZSLOIT,O,X,O,X,X
JZSOTIL,O,O,X,X,X
JZSOTLI,O,X,X,X,X
JZSOITL,O,O,X,X,X
JZSOILT,O,O,O,X,X
JZSOLTI,O,X,X,X,X
JZSOLIT,O,X,O,X,X
JZOTILS,O,O,X,X,X
JZOTISL,O,O,X,X,X
JZOTLIS,O,O,X,X,O
JZOTLSI,O,X,X,X,O
JZOTSIL,O,O,X,X,X
JZOTSLI,O,X,X,X,X
JZOITLS,O,O,X,X,X
JZOITSL,O,O,X,X,X
JZOILTS,O,O,O,X,X
JZOILST,O,O,O,X,X
JZOISTL,O,O,X,X,X
JZOISLT,O,O,O,X,X
JZOLTIS,O,O,X,X,O
JZOLTSI,O,X,X,X,O
JZOLITS,O,O,O,X,O
JZOLIST,O,O,O,X,X
JZOLSTI,O,X,X,X,X
JZOLSIT,O,X,O,X,X
JZOSTIL,O,O,X,X,X
JZOSTLI,O,X,X,X,X
JZOSITL,O,O,X,X,X
JZOSILT,O,O,O,X,X
JZOSLTI,O,X,X,X,X
JZOSLIT,O,X,O,X,X
JOTILSZ,X,X,O,X,O
JOTILZS,X,X,O,X,O
JOTISLZ,X,O,O,X,X
JOTISZL,O,O,X,X,X
JOTIZLS,O,O,X,X,X
JOTIZSL,O,O,X,X,X
JOTLISZ,X,X,O,O,O
JOTLIZS,X,X,O,X,O
JOTLSIZ,X,X,O,O,O
JOTLSZI,O,X,X,O,O
JOTLZIS,O,X,X,X,O
JOTLZSI,O,X,X,X,O
JOTSILZ,X,X,O,X,X
JOTSIZL,O,X,X,X,X
JOTSLIZ,X,X,O,O,O
JOTSLZI,O,X,X,O,O
JOTSZIL,O,X,X,X,X
JOTSZLI,O,X,X,O,X
JOTZILS,O,O,X,X,X
JOTZISL,O,O,X,X,X
JOTZLIS,O,O,X,X,O
JOTZLSI,O,X,X,X,O
JOTZSIL,O,O,X,X,X
JOTZSLI,O,X,X,X,X
JOITLSZ,X,X,O,X,O
JOITLZS,X,X,O,X,O
JOITSLZ,X,O,O,X,X
JOITSZL,O,O,X,X,X
JOITZLS,O,O,X,X,X
JOITZSL,O,O,X,X,X
JOILTSZ,X,X,O,X,O
JOILTZS,X,X,O,X,O
JOILSTZ,X,O,O,X,O
JOILSZT,X,O,O,X,X
JOILZTS,X,O,O,X,O
JOILZST,X,O,O,X,X
JOISTLZ,X,O,O,X,X
JOISTZL,O,O,X,X,X
JOISLTZ,X,O,O,X,X
JOISLZT,X,O,O,X,X
JOISZTL,O,O,X,X,X
JOISZLT,O,O,O,X,X
JOIZTLS,O,O,X,X,X
JOIZTSL,O,O,X,X,X
JOIZLTS,O,O,O,X,X
JOIZLST,O,O,O,X,X
JOIZSTL,O,O,X,X,X
JOIZSLT,O,O,O,X,X
JOLTISZ,X,X,O,O,O
JOLTIZS,X,X,O,X,O
JOLTSIZ,X,X,O,O,O
JOLTSZI,O,X,X,O,O
JOLTZIS,O,X,X,X,O
JOLTZSI,O,X,X,X,O
JOLITSZ,X,X,O,O,O
JOLITZS,X,X,O,X,O
JOLISTZ,X,O,O,O,O
JOLISZT,X,O,O,X,X
JOLIZTS,X,O,O,X,O
JOLIZST,X,O,O,X,X
JOLSTIZ,X,X,O,O,O
JOLSTZI,O,X,X,O,O
JOLSITZ,X,X,O,O,O
JOLSIZT,X,X,O,X,X
JOLSZTI,O,X,X,O,X
JOLSZIT,O,X,O,X,X
JOLZTIS,O,O,X,X,O
JOLZTSI,O,X,X,X,O
JOLZITS,O,O,O,X,O
JOLZIST,O,O,O,X,X
JOLZSTI,O,X,X,X,X
JOLZSIT,O,X,O,X,X
JOSTILZ,X,X,O,X,X
JOSTIZL,O,X,X,X,X
JOSTLIZ,X,X,O,O,O
JOSTLZI,O,X,X,O,O
JOSTZIL,O,X,X,X,X
JOSTZLI,O,X,X,O,X
JOSITLZ,X,O,O,X,X
JOSITZL,O,O,X,X,X
JOSILTZ,X,O,O,X,X
JOSILZT,X,O,O,X,X
JOSIZTL,O,O,X,X,X
JOSIZLT,O,O,O,X,X
JOSLTIZ,X,X,O,O,O
JOSLTZI,O,X,X,O,O
JOSLITZ,X,X,O,O,O
JOSLIZT,X,X,O,X,X
JOSLZTI,O,X,X,O,X
JOSLZIT,O,X,O,X,X
JOSZTIL,O,O,X,X,X
JOSZTLI,O,X,X,O,X
JOSZITL,O,O,X,X,X
JOSZILT,O,O,O,X,X
JOSZLTI,O,X,X,O,X
JOSZLIT,O,X,O,X,X
JOZTILS,O,O,X,X,X
JOZTISL,O,O,X,X,X
JOZTLIS,O,O,X,X,O
JOZTLSI,O,X,X,X,O
JOZTSIL,O,O,X,X,X
JOZTSLI,O,X,X,X,X
JOZITLS,O,O,X,X,X
JOZITSL,O,O,X,X,X
JOZILTS,O,O,O,X,X
JOZILST,O,O,O,X,X
JOZISTL,O,O,X,X,X
JOZISLT,O,O,O,X,X
JOZLTIS,O,O,X,X,O
JOZLTSI,O,X,X,X,O
JOZLITS,O,O,O,X,O
JOZLIST,O,O,O,X,X
JOZLSTI,O,X,X,X,X
JOZLSIT,O,X,O,X,X
JOZSTIL,O,O,X,X,X
JOZSTLI,O,X,X,X,X
JOZSITL,O,O,X,X,X
JOZSILT,O,O,O,X,X
JOZSLTI,O,X,X,X,X
JOZSLIT,O,X,O,X,X
STILJZO,X,X,O,O,X
STILJOZ,X,X,O,O,X
STILZJO,X,X,X,O,X
STILZOJ,X,X,X,O,X
STILOJZ,X,X,O,O,X
STILOZJ,X,X,X,O,X
STIJLZO,X,X,O,X,X
STIJLOZ,X,X,O,X,X
STIJZLO,O,X,X,X,X
STIJZOL,O,X,X,X,X
STIJOLZ,X,X,O,X,X
STIJOZL,O,X,X,X,X
STIZLJO,O,X,X,O,X
STIZLOJ,X,X,X,O,X
STIZJLO,O,X,X,X,X
STIZJOL,O,X,X,X,X
STIZOLJ,O,X,X,O,X
STIZOJL,O,X,X,X,X
STIOLJZ,X,X,O,O,X
STIOLZJ,X,X,X,O,X
STIOJLZ,X,X,O,X,X
STIOJZL,O,X,X,X,X
STIOZLJ,O,X,X,O,X
STIOZJL,O,X,X,X,X
STLIJZO,X,X,O,O,O
STLIJOZ,X,X,O,O,O
STLIZJO,X,X,X,O,X
STLIZOJ,X,X,X,O,X
STLIOJZ,X,X,O,O,O
STLIOZJ,X,X,X,O,X
STLJIZO,X,X,O,O,O
STLJIOZ,X,X,O,O,O
STLJZIO,O,X,X,O,O
STLJZOI,O,X,X,O,O
STLJOIZ,X,X,O,O,O
STLJOZI,O,X,X,O,O
STLZIJO,O,X,X,O,X
STLZIOJ,X,X,X,O,X
STLZJIO,O,X,X,O,X
STLZJOI,O,X,X,O,X
STLZOIJ,O,X,X,O,X
STLZOJI,O,X,X,O,X
STLOIJZ,X,X,O,O,O
STLOIZJ,X,X,X,O,X
STLOJIZ,X,X,O,O,O
STLOJZI,O,X,X,O,O
STLOZIJ,O,X,X,O,X
STLOZJI,O,X,X,O,X
STJILZO,X,X,O,X,X
STJILOZ,X,X,O,X,X
STJIZLO,O,X,X,X,X
STJIZOL,O,X,X,X,X
STJIOLZ,X,X,O,X,X
STJIOZL,O,X,X,X,X
STJLIZO,X,X,O,O,O
STJLIOZ,X,X,O,O,O
STJLZIO,O,X,X,O,O
STJLZOI,O,X,X,O,O
STJLOIZ,X,X,O,O,O
STJLOZI,O,X,X,O,O
STJZILO,O,X,X,X,X
STJZIOL,O,X,X,X,X
STJZLIO,O,X,X,O,X
STJZLOI,O,X,X,O,X
STJZOIL,O,X,X,X,X
STJZOLI,O,X,X,O,X
STJOILZ,X,X,O,X,X
STJOIZL,O,X,X,X,X
STJOLIZ,X,X,O,O,O
STJOLZI,O,X,X,O,O
STJOZIL,O,X,X,X,X
STJOZLI,O,X,X,O,X
STZILJO,O,X,X,O,X
STZILOJ,X,X,X,O,X
STZIJLO,O,X,X,X,X
STZIJOL,O,X,X,X,X
STZIOLJ,O,X,X,O,X
STZIOJL,O,X,X,X,X
STZLIJO,O,X,X,O,X
STZLIOJ,X,X,X,O,X
STZLJIO,O,X,X,O,X
STZLJOI,O,X,X,O,X
STZLOIJ,O,X,X,O,X
STZLOJI,O,X,X,O,X
STZJILO,O,X,X,X,X
STZJIOL,O,X,X,X,X
STZJLIO,O,X,X,O,X
STZJLOI,O,X,X,O,X
STZJOIL,O,X,X,X,X
STZJOLI,O,X,X,O,X
STZOILJ,O,X,X,O,X
STZOIJL,O,X,X,X,X
STZOLIJ,O,X,X,O,X
STZOLJI,O,X,X,O,X
STZOJIL,O,X,X,X,X
STZOJLI,O,X,X,O,X
STOILJZ,X,X,O,O,X
STOILZJ,X,X,X,O,X
STOIJLZ,X,X,O,X,X
STOIJZL,O,X,X,X,X
STOIZLJ,O,X,X,O,X
STOIZJL,O,X,X,X,X
