sequence,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeUBJvhFRiBKqBfrBd?sBznBupB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeRAJvhFzhBaoBNrBc?sBXqBGqB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeCAJvhFThBdoB0qBx?rBOsBXqB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JexAJvhFiiBcqBznBm?rBtpBXrB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JexAJvhFiiBcqBerBf?sBznBtpB,v115@9gA8HeB8HeC8GeB8DeA8AeC8Jez/IvhFaoBXqBxrBu?qBcrBNsB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeWFJvhFThBaoBXqBx?rBNsB0qB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeCAJvhFOmBziB0qBR?sBdsBXqB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeWFJvhFThBaoB0qBx?rBNsBXqB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JexAJvhF8mBziBmqBi?sBtpB3qB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeXBJvhFziBmqBRsBd?sBUqBCqB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeRAJvhF3hBeoB9qBi?rBcsBzpB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JemAJvhFRiBcqBasBz?nBXrBtpB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeUBJvhFRiBdsBznBm?qBqpB/qB,v115@9gA8HeB8HeC8GeB8DeA8AeC8Je3AJvhFaoBTqBxrBu?pBcrBNsB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeRBJvhFaoBNqB3mBc?sBupBzqB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JecFJvhFziB3qBRsBu?pBNrBasB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JexAJvhFmiBarBfsB0?nBTqBtpB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JezBJvhFaoBcsBxqBt?pB3qBmqB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeWFJvhFNmBziB0qBR?sBasBXqB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JexAJvhFcqBmmBznBX?rBtpBisB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeWFJvhFNmBziBXqBR?sBasB0qB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeyHJvhFRlBfsB9qBO?rB0nBzpB
TIJLZOS,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TIJSLOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIJSZLO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIJSZOL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIJSOLZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIJSOZL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIJZLSO,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TIJZLOS,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TIJZSLO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJZSOL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJZOLS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJZOSL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TIJOSZL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIJOZLS,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TIJOZSL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TISLJZO,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
TISLJOZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TISLZJO,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TISLZOJ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TISLOJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TISLOZJ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TISJLZO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TISJLOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISJZLO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISJZOL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISJOLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISJOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISZLJO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TISZLOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TISZJLO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TISZJOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TISZOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TISZOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TISOLJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOLZJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOJLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOZLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TISOZJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIZLJSO,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X
TIZLJOS,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X
TIZLSJO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X
TIZLSOJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X
TIZLOJS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZLOSJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZJLSO,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIZJLOS,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIZJSLO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZJSOL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZJOLS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZJOSL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZSLJO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X
TIZSLOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X
TIZSJLO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X
TIZSJOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIZSOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X
TIZSOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIZOLJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZOLSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZOJLS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOJSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOSLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIZOSJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIOLJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOLSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOLZJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIOLZSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIOJLSZ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TIOJSZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIOJZLS,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TIOJZSL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOSLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOSLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOSJLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOSZLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIOSZJL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIOZLJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZLSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZJLS,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIOZJSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZSLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIOZSJL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TLIJSZO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLIZJOS,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLIZSJO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLIZSOJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLIZOJS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZOSJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOZJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJZSOI,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJZOIS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOSZI,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSIJZO,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSZIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSZJIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSZJOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSZOIJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLSZOJI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLSOIJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSOZJI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLZIJOS,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLZISJO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLZISOJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLZIOJS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZIOSJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZJISO,X,X,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,X,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZJSOI,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZJOIS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZSIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZSJIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZSJOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZSOIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZSOJI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZOIJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZOISJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZOJIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
