sequence,v115@HhA8IeB8DeA8BeC8CeE8Jel/IvhFRhBGjB3mBznB0q?BiqB,v115@HhA8IeB8DeA8BeC8CeE8Jex/IvhFmhBCjBTmBXoB0q?BFqB,v115@HhA8IeB8DeA8BeC8CeE8Jel/IvhF3gBzhBunBcoBxq?ByvB,v115@HhA8IeB8DeA8BeC8CeE8Jex/IvhF8mBqnBTjBFlB3q?BOrB,v115@HhA8IeB8DeA8BeC8CeE8Jel/IvhFymBGjBznBxqBcq?BXrB,v115@HhA8IeB8DeA8BeC8CeE8Je0/IvhFqnBTjBRmBllB3m?B2vB,v115@HhA8IeB8DeA8BeC8CeE8Je0/IvhFSoBRmBllB3mBzn?B2vB,v115@HhA8IeB8DeA8BeC8CeE8Jel/IvhFxhBTjBKqBGmB0n?BfrB,v115@HhA8IeB8DeA8BeC8CeE8JeUBJvhFFlBxnBCnBXoBzq?BmpB
TJILSOZ,X,X,X,O,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,O,X,X
TJILZOS,X,X,X,X,X,O,O,X,X
TJILOSZ,X,X,X,O,O,X,X,X,X
TJILOZS,X,X,X,X,O,O,X,X,X
TJISLZO,O,O,X,O,X,X,X,X,X
TJISLOZ,O,O,X,O,X,X,X,X,X
TJISZLO,O,X,O,O,X,X,X,X,X
TJISZOL,O,X,O,X,X,X,X,X,X
TJISOLZ,O,X,X,O,X,X,X,X,X
TJISOZL,O,X,O,X,X,X,X,X,X
TJIZLSO,X,X,O,X,X,X,O,X,X
TJIZLOS,X,X,O,X,X,O,O,X,X
TJIZSLO,O,X,O,X,X,X,X,X,X
TJIZSOL,O,X,O,X,X,X,X,X,X
TJIZOLS,X,X,O,X,X,O,X,X,X
TJIZOSL,X,X,O,X,X,X,X,X,X
TJIOLSZ,X,X,X,O,O,X,X,X,X
TJIOLZS,X,X,X,X,O,O,X,X,X
TJIOSLZ,X,X,X,O,O,X,X,X,X
TJIOSZL,X,X,O,X,O,X,X,X,X
TJIOZLS,X,X,O,X,O,O,X,X,X
TJIOZSL,X,X,O,X,O,X,X,X,X
TJLISZO,X,X,X,O,X,X,X,X,X
TJLISOZ,X,X,X,O,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,O,X,X
TJLIZOS,X,X,X,X,X,O,O,O,X
TJLIOSZ,X,X,X,O,O,X,X,X,X
TJLIOZS,X,X,X,X,O,O,X,X,X
TJLSIZO,O,X,X,O,X,X,X,X,X
TJLSIOZ,O,X,X,O,X,X,X,X,X
TJLSZIO,O,X,X,O,X,X,X,X,X
TJLSZOI,X,X,X,O,X,X,X,O,X
TJLSOIZ,X,X,X,O,X,X,X,X,X
TJLSOZI,X,X,X,O,X,X,X,X,X
TJLZISO,X,X,X,X,X,X,O,X,X
TJLZIOS,X,X,X,X,X,O,O,O,X
TJLZSIO,O,X,X,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,O,X
TJLZOIS,X,X,X,X,X,O,X,O,X
TJLZOSI,X,X,X,X,X,X,X,O,X
TJLOISZ,X,X,X,O,O,X,X,X,X
TJLOIZS,X,X,X,X,O,O,X,X,X
TJLOSIZ,X,X,X,O,O,X,X,X,X
TJLOSZI,X,X,X,O,X,X,X,X,X
TJLOZIS,X,X,X,X,O,O,X,O,X
TJLOZSI,X,X,X,X,X,X,X,O,X
TJSILZO,O,O,X,O,X,X,X,X,X
TJSILOZ,O,O,X,O,X,X,X,X,X
TJSIZLO,O,X,X,O,X,X,X,X,X
TJSIZOL,O,X,X,X,X,X,X,X,X
TJSIOLZ,O,X,X,O,X,X,X,X,X
TJSIOZL,O,X,X,X,X,X,X,X,X
TJSLIZO,O,O,X,O,X,X,X,X,X
TJSLIOZ,O,O,X,O,X,X,X,X,X
TJSLZIO,O,O,X,O,X,X,X,X,X
TJSLZOI,X,X,X,O,X,X,X,X,X
TJSLOIZ,X,O,X,O,X,X,X,X,X
TJSLOZI,X,O,X,O,X,X,X,X,X
TJSZILO,O,O,X,O,X,X,X,X,X
TJSZIOL,O,X,X,X,X,X,X,X,X
TJSZLIO,O,O,X,O,X,X,X,X,X
TJSZLOI,X,X,X,O,X,X,X,X,X
TJSZOIL,O,X,X,X,X,X,X,X,X
TJSZOLI,O,X,X,X,X,X,X,X,X
TJSOILZ,O,O,X,O,X,X,X,X,X
TJSOIZL,O,X,X,X,X,X,X,X,X
TJSOLIZ,O,O,X,O,X,X,X,X,X
TJSOLZI,O,O,X,O,X,X,X,X,X
TJSOZIL,O,O,X,X,X,X,X,X,X
TJSOZLI,O,O,X,X,X,X,X,X,X
TJZILSO,X,X,O,X,X,X,O,X,X
TJZILOS,X,X,O,X,X,O,O,X,X
TJZISLO,O,O,O,X,X,X,X,X,X
TJZISOL,O,X,O,X,X,X,X,X,X
TJZIOLS,X,X,O,X,X,O,X,X,X
TJZIOSL,X,X,O,X,X,X,X,X,X
TJZLISO,X,X,O,X,X,X,O,X,X
TJZLIOS,X,X,O,X,X,O,O,O,X
TJZLSIO,O,X,X,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X,X,O,X
TJZLOIS,X,X,O,X,X,O,X,O,X
TJZLOSI,X,X,X,X,X,X,X,O,X
TJZSILO,O,O,O,X,X,X,X,X,X
TJZSIOL,O,X,O,X,X,X,X,X,X
TJZSLIO,O,O,X,X,X,X,X,X,X
TJZSLOI,X,X,X,X,X,X,X,X,X
TJZSOIL,O,X,O,X,X,X,X,X,X
TJZSOLI,O,X,X,X,X,X,X,X,X
TJZOILS,X,X,O,X,X,O,X,X,X
TJZOISL,O,X,O,X,X,X,X,X,X
TJZOLIS,X,X,O,X,X,O,X,O,X
TJZOLSI,O,X,X,X,X,X,X,O,X
TJZOSIL,O,X,O,X,X,X,X,X,X
TJZOSLI,O,X,X,X,X,X,X,X,X
TJOILSZ,X,X,X,O,O,X,X,X,X
TJOILZS,X,X,X,X,O,O,X,X,X
TJOISLZ,O,O,X,O,O,X,X,X,X
TJOISZL,O,X,O,X,O,X,X,X,X
TJOIZLS,X,X,O,X,O,O,X,X,X
TJOIZSL,O,X,O,X,O,X,X,X,X
TJOLISZ,X,X,X,O,O,X,X,X,X
TJOLIZS,X,X,X,X,O,O,X,X,X
TJOLSIZ,O,X,X,O,O,X,X,X,X
TJOLSZI,O,X,X,O,X,X,X,X,X
TJOLZIS,X,X,X,X,O,O,X,X,X
TJOLZSI,O,X,X,X,X,X,X,X,X
TJOSILZ,O,O,X,O,O,X,X,X,X
TJOSIZL,O,X,X,X,O,X,X,X,X
TJOSLIZ,O,O,X,O,O,X,X,X,X
TJOSLZI,O,O,X,O,X,X,X,X,X
TJOSZIL,O,O,X,X,X,X,X,X,X
TJOSZLI,O,O,X,X,X,X,X,X,X
TJOZILS,X,X,O,X,O,O,X,X,X
TJOZISL,O,O,O,X,O,X,X,X,X
TJOZLIS,X,X,O,X,O,O,X,X,X
TJOZLSI,O,X,X,X,X,X,X,X,X
TJOZSIL,O,O,O,X,X,X,X,X,X
TJOZSLI,O,O,X,X,X,X,X,X,X
TSILJZO,O,O,X,O,X,X,X,X,X
TSILJOZ,O,O,X,O,X,X,X,X,X
TSILZJO,X,O,O,O,X,X,X,X,X
TSILZOJ,X,O,O,O,X,X,X,X,X
TSILOJZ,O,O,X,O,O,X,X,X,X
TSILOZJ,X,X,O,O,O,X,X,X,X
TSIJLZO,O,O,X,O,X,X,X,X,X
TSIJLOZ,O,O,X,O,X,X,X,X,X
TSIJZLO,O,X,O,O,X,X,X,X,X
TSIJZOL,O,X,O,X,X,X,X,X,X
TSIJOLZ,O,X,X,O,X,X,X,X,X
TSIJOZL,O,X,O,X,X,X,X,X,X
TSIZLJO,O,O,O,O,X,X,X,X,X
TSIZLOJ,O,O,O,O,X,X,X,X,X
TSIZJLO,O,O,O,O,X,X,X,X,X
TSIZJOL,O,X,O,X,X,X,X,X,X
TSIZOLJ,O,O,O,O,X,X,X,X,X
TSIZOJL,O,O,O,X,X,X,X,X,X
TSIOLJZ,O,O,X,O,O,X,X,X,X
TSIOLZJ,X,X,O,O,O,X,X,X,X
TSIOJLZ,O,O,X,O,O,X,X,X,X
TSIOJZL,O,X,O,X,O,X,X,X,X
TSIOZLJ,O,X,O,O,O,X,X,X,X
TSIOZJL,O,X,O,X,O,X,X,X,X
TSLIJZO,O,O,X,O,X,X,X,X,X
TSLIJOZ,O,O,X,O,X,X,X,X,X
TSLIZJO,X,O,X,O,X,X,X,X,X
TSLIZOJ,X,O,X,O,X,X,X,X,X
TSLIOJZ,O,O,X,O,O,X,X,X,X
TSLIOZJ,X,X,X,O,O,X,X,X,X
TSLJIZO,O,O,X,O,X,X,X,X,X
TSLJIOZ,O,O,X,O,X,X,X,X,X
TSLJZIO,O,O,X,O,X,X,X,X,X
TSLJZOI,X,X,X,O,X,X,X,O,X
TSLJOIZ,X,O,X,O,X,X,X,X,X
TSLJOZI,X,O,X,O,X,X,X,X,X
TSLZIJO,O,O,X,O,X,X,X,X,X
TSLZIOJ,O,O,X,O,X,X,X,X,X
TSLZJIO,O,O,X,O,X,X,X,X,X
TSLZJOI,X,X,X,O,X,X,X,O,X
TSLZOIJ,O,O,X,O,X,X,X,X,X
TSLZOJI,O,O,X,O,X,X,X,O,X
TSLOIJZ,O,O,X,O,O,X,X,X,X
TSLOIZJ,X,X,X,O,O,X,X,X,X
TSLOJIZ,O,O,X,O,O,X,X,X,X
TSLOJZI,O,O,X,O,X,X,X,X,X
TSLOZIJ,O,O,X,O,X,X,X,X,X
TSLOZJI,O,O,X,O,X,X,X,X,X
TSJILZO,O,O,X,O,X,X,X,X,X
TSJILOZ,O,O,X,O,X,X,X,X,X
TSJIZLO,O,X,X,O,X,X,X,X,X
TSJIZOL,O,X,X,X,X,X,X,X,X
TSJIOLZ,O,X,X,O,X,X,X,X,X
TSJIOZL,O,X,X,X,X,X,X,X,X
TSJLIZO,O,O,X,O,X,X,X,X,X
TSJLIOZ,O,O,X,O,X,X,X,X,X
TSJLZIO,O,O,X,O,X,X,X,X,X
TSJLZOI,X,X,X,O,X,X,X,X,X
TSJLOIZ,X,O,X,O,X,X,X,X,X
TSJLOZI,X,O,X,O,X,X,X,X,X
TSJZILO,O,O,X,O,X,X,X,X,X
TSJZIOL,O,X,X,X,X,X,X,X,X
TSJZLIO,O,O,X,O,X,X,X,X,X
TSJZLOI,X,X,X,O,X,X,X,X,X
TSJZOIL,O,X,X,X,X,X,X,X,X
TSJZOLI,O,X,X,X,X,X,X,X,X
TSJOILZ,O,O,X,O,X,X,X,X,X
TSJOIZL,O,X,X,X,X,X,X,X,X
TSJOLIZ,O,O,X,O,X,X,X,X,X
TSJOLZI,O,O,X,O,X,X,X,X,X
TSJOZIL,O,O,X,X,X,X,X,X,X
TSJOZLI,O,O,X,X,X,X,X,X,X
TSZILJO,O,O,O,O,X,X,X,X,X
TSZILOJ,O,O,O,O,X,X,X,X,X
TSZIJLO,O,O,O,O,X,X,X,X,X
TSZIJOL,O,X,O,X,X,X,X,X,X
TSZIOLJ,O,O,O,O,X,X,X,X,X
TSZIOJL,O,O,O,X,X,X,X,X,X
TSZLIJO,O,O,X,O,X,X,X,X,X
TSZLIOJ,O,O,X,O,X,X,X,X,X
TSZLJIO,O,O,X,O,X,X,X,X,X
TSZLJOI,X,X,X,O,X,X,X,O,X
TSZLOIJ,O,O,X,O,X,X,X,X,X
TSZLOJI,O,O,X,O,X,X,X,O,X
TSZJILO,O,O,O,O,X,X,X,X,X
TSZJIOL,O,X,O,X,X,X,X,X,X
TSZJLIO,O,O,X,O,X,X,X,X,X
TSZJLOI,X,X,X,O,X,X,X,X,X
TSZJOIL,O,X,O,X,X,X,X,X,X
TSZJOLI,O,X,X,X,X,X,X,X,X
TSZOILJ,O,O,O,O,X,X,X,X,X
TSZOIJL,O,O,O,X,X,X,X,X,X
TSZOLIJ,O,O,X,O,X,X,X,X,X
TSZOLJI,O,O,X,O,X,X,X,O,X
TSZOJIL,O,O,O,X,X,X,X,X,X
TSZOJLI,O,O,X,X,X,X,X,X,X
TSOILJZ,O,O,X,O,O,X,X,X,X
TSOILZJ,X,X,O,O,O,X,X,X,X
TSOIJLZ,O,O,X,O,O,X,X,X,X
TSOIJZL,O,X,O,X,O,X,X,X,X
TSOIZLJ,O,X,O,O,O,X,X,X,X
TSOIZJL,O,X,O,X,O,X,X,X,X
TSOLIJZ,O,O,X,O,O,X,X,X,X
TSOLIZJ,X,X,X,O,O,X,X,X,X
TSOLJIZ,O,O,X,O,O,X,X,X,X
TSOLJZI,O,O,X,O,X,X,X,X,X
TSOLZIJ,O,O,X,O,X,X,X,X,X
TSOLZJI,O,O,X,O,X,X,X,X,X
TSOJILZ,O,O,X,O,O,X,X,X,X
TSOJIZL,O,X,X,X,O,X,X,X,X
TSOJLIZ,O,O,X,O,O,X,X,X,X
TSOJLZI,O,O,X,O,X,X,X,X,X
TSOJZIL,O,O,X,X,X,X,X,X,X
TSOJZLI,O,O,X,X,X,X,X,X,X
TSOZILJ,O,O,O,O,X,X,X,X,X
TSOZIJL,O,O,O,X,X,X,X,X,X
TSOZLIJ,O,O,X,O,X,X,X,X,X
TSOZLJI,O,O,X,O,X,X,X,X,X
TSOZJIL,O,O,O,X,X,X,X,X,X
TSOZJLI,O,O,X,X,X,X,X,X,X
TZILJSO,X,X,O,X,X,X,O,X,X
TZILJOS,X,X,O,X,X,X,O,O,X
TZILSJO,X,X,O,O,X,X,O,X,X
TZILSOJ,X,X,O,O,X,X,O,X,X
TZILOJS,X,X,O,X,O,O,O,O,X
TZILOSJ,X,X,O,O,O,O,O,X,X
TZIJLSO,X,X,O,X,X,X,X,X,X
TZIJLOS,X,X,O,X,X,X,X,X,X
TZIJSLO,O,O,O,X,X,X,X,X,X
TZIJSOL,O,X,O,X,X,X,X,X,X
TZIJOLS,X,X,O,X,X,X,X,X,X
TZIJOSL,X,X,O,X,X,X,X,X,X
TZISLJO,O,O,O,O,X,X,X,X,X
TZISLOJ,O,O,O,O,X,X,X,X,X
TZISJLO,O,O,O,O,X,X,X,X,X
TZISJOL,O,X,O,X,X,X,X,X,X
TZISOLJ,O,O,O,O,X,X,X,X,X
TZISOJL,O,O,O,X,X,X,X,X,X
TZIOLJS,X,X,O,X,O,O,X,O,X
TZIOLSJ,X,X,O,O,O,O,X,X,X
TZIOJLS,X,X,O,X,O,X,X,X,X
