sequence,v115@9gB8HeB8HeA8HeC8DeD8JeiAJvhFRiBcoBTnBFqBXr?BGrB,v115@9gB8HeB8HeA8HeC8DeD8JecGJvhFenBqnBTjBXlBll?BxvB,v115@9gB8HeB8HeA8HeC8DeD8JeCCJvhFTjBXlB2rB0nBll?BxvB,v115@9gB8HeB8HeA8HeC8DeD8JeeFJvhFRhBqnBTjB8rB3q?BFrB,v115@9gB8HeB8HeA8HeC8DeD8JelAJvhF3hBqnBTjB8rBRq?B2vB,v115@9gB8HeB8HeA8HeC8DeD8JeiAJvhFGiBTjBfrBUqBRs?BlrB,v115@9gB8HeB8HeA8HeC8DeD8JeeFJvhFTjBRmB1sBCnB3q?BUrB,v115@9gB8HeB8HeA8HeC8DeD8JeRCJvhFcoBXlB6rBTnBml?B1vB,v115@9gB8HeB8HeA8HeC8DeD8JeeFJvhFRmBFoBzmBCoB3q?BUrB
TISOLZJ,O,X,X,X,O,X,X,X,X
TISOJLZ,X,X,X,X,X,X,O,X,O
TISOJZL,X,X,X,X,X,X,O,X,O
TISOZLJ,O,X,X,X,O,X,X,X,X
TISOZJL,O,X,O,X,X,X,O,X,X
TIZLJSO,O,X,O,X,O,X,X,X,X
TIZLJOS,O,X,O,X,O,O,X,X,X
TIZLSJO,O,X,X,X,O,X,X,X,X
TIZLSOJ,O,X,X,X,O,X,X,X,X
TIZLOJS,O,X,O,X,O,O,X,X,X
TIZLOSJ,O,X,X,X,O,X,X,X,X
TIZJLSO,O,O,O,X,O,X,X,X,X
TIZJLOS,O,O,O,X,O,O,X,X,X
TIZJSLO,O,O,O,X,O,O,X,X,X
TIZJSOL,X,X,O,X,X,O,X,X,X
TIZJOLS,X,X,O,X,O,O,O,X,X
TIZJOSL,X,X,O,X,X,O,O,X,X
TIZSLJO,O,X,X,X,O,O,X,X,X
TIZSLOJ,O,X,X,X,O,O,X,X,X
TIZSJLO,O,O,O,X,O,O,X,X,X
TIZSJOL,X,X,O,X,X,O,X,X,X
TIZSOLJ,O,X,X,X,O,O,X,X,X
TIZSOJL,O,X,O,X,X,O,X,X,X
TIZOLJS,O,X,O,X,O,O,X,X,X
TIZOLSJ,O,X,X,X,O,X,X,X,X
TIZOJLS,O,X,O,X,O,O,O,X,X
TIZOJSL,O,X,O,X,X,O,O,X,X
TIZOSLJ,O,X,X,X,O,O,X,X,X
TIZOSJL,O,X,O,X,X,O,X,X,X
TIOLJSZ,X,O,X,X,X,X,O,X,X
TIOLJZS,X,O,X,X,O,X,O,X,X
TIOLSJZ,X,O,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,O,X,X,X,X
TIOLZJS,O,X,X,X,O,X,X,X,X
TIOLZSJ,O,X,X,X,O,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,O,X,X
TIOJLZS,X,X,X,X,O,X,O,X,X
TIOJSLZ,X,X,X,X,X,X,O,X,X
TIOJSZL,X,X,X,X,X,X,O,X,X
TIOJZLS,X,X,X,X,O,O,O,X,X
TIOJZSL,X,X,X,X,X,O,O,X,X
TIOSLJZ,X,O,X,X,X,X,O,X,X
TIOSLZJ,O,X,X,X,O,X,X,X,X
TIOSJLZ,X,X,X,X,X,X,O,X,X
TIOSJZL,X,X,X,X,X,X,O,X,X
TIOSZLJ,O,X,X,X,O,X,X,X,X
TIOSZJL,O,X,O,X,X,X,O,X,X
TIOZLJS,O,X,O,X,O,O,X,X,X
TIOZLSJ,O,X,X,X,O,X,X,X,X
TIOZJLS,O,X,O,X,O,O,O,X,X
TIOZJSL,O,X,O,X,X,O,O,X,X
TIOZSLJ,O,X,X,X,O,O,X,X,X
TIOZSJL,O,X,O,X,X,O,X,X,X
TLIJSZO,X,O,X,X,X,X,X,X,X
TLIJSOZ,X,O,X,X,X,X,X,X,X
TLIJZSO,X,O,X,X,O,X,X,X,X
TLIJZOS,X,O,X,X,O,X,X,X,X
TLIJOSZ,X,O,X,X,X,X,O,X,X
TLIJOZS,X,O,X,X,O,X,O,X,X
TLISJZO,X,O,X,X,X,X,X,X,X
TLISJOZ,X,O,X,X,X,X,X,X,X
TLISZJO,O,X,X,X,O,X,X,X,X
TLISZOJ,O,X,X,X,O,X,X,X,X
TLISOJZ,X,O,X,X,X,X,X,X,X
TLISOZJ,O,X,X,X,O,X,X,X,X
TLIZJSO,O,X,X,X,O,X,X,X,X
TLIZJOS,O,X,X,X,O,X,X,X,X
TLIZSJO,O,X,X,X,O,X,X,X,X
TLIZSOJ,O,X,X,X,O,X,X,X,X
TLIZOJS,O,X,X,X,O,X,X,X,X
TLIZOSJ,O,X,X,X,O,X,X,X,X
TLIOJSZ,X,O,X,X,X,X,O,X,X
TLIOJZS,X,O,X,X,O,X,O,X,X
TLIOSJZ,X,O,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,O,X,X,X,X
TLIOZJS,O,X,X,X,O,X,X,X,X
TLIOZSJ,O,X,X,X,O,X,X,X,X
TLJISZO,X,O,X,X,X,X,X,X,X
TLJISOZ,X,O,X,X,X,X,X,X,X
TLJIZSO,X,O,X,X,X,X,X,X,X
TLJIZOS,X,O,X,X,X,X,X,X,X
TLJIOSZ,X,O,X,X,X,X,O,X,X
TLJIOZS,X,O,X,X,X,X,O,X,X
TLJSIZO,X,X,X,X,X,X,X,X,O
TLJSIOZ,X,X,X,X,X,X,O,X,O
TLJSZIO,O,X,X,O,X,X,X,X,X
TLJSZOI,O,O,X,O,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,O,X,X
TLJSOZI,O,O,X,O,X,X,X,X,X
TLJZISO,O,O,X,X,X,X,X,X,X
TLJZIOS,O,O,X,O,X,X,X,X,X
TLJZSIO,O,X,X,O,X,X,X,X,X
TLJZSOI,O,O,X,O,X,X,X,X,X
TLJZOIS,O,O,X,O,X,X,X,X,X
TLJZOSI,X,O,X,O,X,X,X,X,X
TLJOISZ,X,O,X,X,X,X,O,X,X
TLJOIZS,X,O,X,X,X,X,O,X,X
TLJOSIZ,X,X,X,X,X,X,O,X,X
TLJOSZI,X,O,X,O,X,X,X,X,X
TLJOZIS,O,O,X,O,X,X,X,X,X
TLJOZSI,X,O,X,O,X,X,X,X,X
TLSIJZO,X,O,X,X,X,X,X,X,O
TLSIJOZ,X,O,X,X,X,X,O,X,O
TLSIZJO,O,X,X,X,X,X,X,X,X
TLSIZOJ,O,X,X,X,X,X,X,X,X
TLSIOJZ,X,O,X,X,X,X,O,X,X
TLSIOZJ,O,X,X,X,X,X,X,X,X
TLSJIZO,X,X,X,X,X,X,X,X,O
TLSJIOZ,X,X,X,X,X,X,O,X,O
TLSJZIO,O,X,X,O,X,X,X,X,X
TLSJZOI,O,O,X,O,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,X,O,X,X
TLSJOZI,O,O,X,O,X,X,X,X,X
TLSZIJO,O,X,X,X,X,X,X,X,X
TLSZIOJ,O,X,X,X,X,X,X,X,X
TLSZJIO,O,X,X,O,X,X,X,X,X
TLSZJOI,O,X,X,O,X,X,X,X,X
TLSZOIJ,O,X,X,X,X,X,X,O,X
TLSZOJI,O,X,X,O,X,X,X,O,X
TLSOIJZ,X,O,X,X,X,X,O,X,X
TLSOIZJ,O,X,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,X,X,X,O,X,X
TLSOJZI,O,O,X,O,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,X,X,O,X
TLSOZJI,O,X,X,O,X,X,X,O,X
TLZIJSO,O,X,X,X,O,X,X,X,X
TLZIJOS,O,X,X,X,O,X,X,X,X
TLZISJO,O,X,X,X,O,X,X,X,X
TLZISOJ,O,X,X,X,O,X,X,X,X
TLZIOJS,O,X,X,X,O,X,X,X,X
TLZIOSJ,O,X,X,X,O,X,X,X,X
TLZJISO,O,X,X,X,X,X,X,X,X
TLZJIOS,O,X,X,O,X,X,X,X,X
TLZJSIO,O,X,X,O,X,X,X,X,X
TLZJSOI,O,X,X,O,X,X,X,X,X
TLZJOIS,O,X,X,O,X,X,X,X,X
TLZJOSI,X,X,X,O,X,X,X,X,X
TLZSIJO,O,X,X,X,O,X,X,X,X
TLZSIOJ,O,X,X,X,O,X,X,X,X
TLZSJIO,O,X,X,O,X,X,X,X,X
TLZSJOI,O,X,X,O,O,X,X,X,X
TLZSOIJ,O,X,X,X,O,X,X,O,X
TLZSOJI,O,X,X,O,O,X,X,O,X
TLZOIJS,O,X,X,X,O,X,X,X,X
TLZOISJ,O,X,X,X,O,X,X,O,X
TLZOJIS,O,X,X,O,X,X,X,X,X
TLZOJSI,X,X,X,O,X,X,X,X,X
TLZOSIJ,O,X,X,X,O,X,X,O,X
TLZOSJI,O,X,X,O,O,X,X,O,X
TLOIJSZ,X,O,X,X,X,X,O,X,X
TLOIJZS,X,O,X,X,O,X,O,X,X
TLOISJZ,X,O,X,X,X,X,X,X,X
TLOISZJ,X,X,X,X,O,X,X,X,X
TLOIZJS,O,X,X,X,O,X,X,X,X
TLOIZSJ,O,X,X,X,O,X,X,X,X
TLOJISZ,X,O,X,X,X,X,O,X,X
TLOJIZS,X,O,X,X,X,X,O,X,X
TLOJSIZ,X,X,X,X,X,X,O,X,X
TLOJSZI,X,O,X,O,X,X,X,X,X
TLOJZIS,O,O,X,O,X,X,X,X,X
TLOJZSI,X,O,X,O,X,X,X,X,X
TLOSIJZ,X,O,X,X,X,X,O,X,X
TLOSIZJ,O,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,X,X,O,X,X
TLOSJZI,O,O,X,O,X,X,X,X,X
TLOSZIJ,O,X,X,X,X,X,X,O,X
TLOSZJI,O,X,X,O,X,X,X,O,X
TLOZIJS,O,X,X,X,O,X,X,X,X
TLOZISJ,O,X,X,X,O,X,X,O,X
TLOZJIS,O,X,X,O,X,X,X,X,X
TLOZJSI,X,X,X,O,X,X,X,X,X
TLOZSIJ,O,X,X,X,O,X,X,O,X
TLOZSJI,O,X,X,O,O,X,X,O,X
TJILSZO,X,O,O,X,X,X,X,X,X
TJILSOZ,X,O,X,X,X,X,X,X,X
TJILZSO,X,O,O,X,X,X,X,X,X
TJILZOS,X,O,O,X,X,X,X,X,X
TJILOSZ,X,O,X,X,X,X,O,X,X
TJILOZS,X,O,X,X,X,X,O,X,X
TJISLZO,X,O,O,X,X,X,X,X,O
TJISLOZ,X,O,X,X,X,X,O,X,O
TJISZLO,X,O,O,X,X,X,X,X,O
TJISZOL,X,X,O,X,X,X,O,X,O
TJISOLZ,X,X,X,X,X,X,O,X,O
TJISOZL,X,X,X,X,X,X,O,X,O
TJIZLSO,X,O,O,X,X,X,X,X,X
TJIZLOS,X,O,O,X,X,X,X,X,X
TJIZSLO,X,O,O,X,X,X,X,X,X
TJIZSOL,X,X,O,X,X,X,X,X,X
TJIZOLS,X,X,O,X,X,X,O,X,X
TJIZOSL,X,X,O,X,X,X,O,X,X
TJIOLSZ,X,X,X,X,X,X,O,X,X
TJIOLZS,X,X,X,X,X,X,O,X,X
TJIOSLZ,X,X,X,X,X,X,O,X,X
TJIOSZL,X,X,X,X,X,X,O,X,X
TJIOZLS,X,X,X,X,X,X,O,X,X
TJIOZSL,X,X,X,X,X,X,O,X,X
TJLISZO,X,O,O,X,X,X,X,X,X
TJLISOZ,X,O,X,X,X,X,X,X,X
TJLIZSO,X,O,O,X,X,X,X,X,X
TJLIZOS,X,O,O,X,X,X,X,X,X
TJLIOSZ,X,O,X,X,X,X,O,X,X
TJLIOZS,X,O,X,X,X,X,O,X,X
TJLSIZO,X,X,X,X,X,X,X,X,O
TJLSIOZ,X,X,X,X,X,X,O,X,O
TJLSZIO,O,X,X,O,X,X,X,X,X
TJLSZOI,O,O,O,O,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,O,X,X
TJLSOZI,O,O,X,O,X,X,X,X,X
TJLZISO,O,O,O,X,X,X,X,X,X
TJLZIOS,O,O,O,O,X,X,X,X,X
TJLZSIO,O,X,X,O,X,X,X,X,X
TJLZSOI,O,O,O,O,X,X,X,X,X
TJLZOIS,O,O,O,O,X,X,X,X,X
TJLZOSI,X,O,O,O,X,X,X,X,X
TJLOISZ,X,O,X,X,X,X,O,X,X
TJLOIZS,X,O,X,X,X,X,O,X,X
TJLOSIZ,X,X,X,X,X,X,O,X,X
TJLOSZI,X,O,X,O,X,X,X,X,X
TJLOZIS,O,O,X,O,X,X,X,X,X
TJLOZSI,X,O,X,O,X,X,X,X,X
TJSILZO,X,X,X,X,X,X,X,X,O
TJSILOZ,X,X,X,X,X,X,O,X,O
TJSIZLO,X,X,X,X,X,X,X,X,O
TJSIZOL,X,X,X,X,X,X,O,X,O
TJSIOLZ,X,X,X,X,X,X,O,X,O
TJSIOZL,X,X,X,X,X,X,O,X,O
TJSLIZO,X,X,X,X,X,X,X,X,O
TJSLIOZ,X,X,X,X,X,X,O,X,O
TJSLZIO,O,X,X,O,X,X,X,X,X
TJSLZOI,O,O,O,O,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,X,O,X,X
TJSLOZI,O,O,X,O,X,X,X,X,X
TJSZILO,O,X,X,O,X,X,X,X,O
TJSZIOL,X,X,X,X,X,X,O,X,O
TJSZLIO,O,X,X,O,X,X,X,X,X
TJSZLOI,O,O,O,O,X,X,X,X,X
TJSZOIL,O,X,X,X,X,X,O,X,X
TJSZOLI,O,X,O,O,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X,O,X,O
TJSOIZL,X,X,X,X,X,X,O,X,O
TJSOLIZ,X,X,X,X,X,X,O,X,X
TJSOLZI,O,X,X,O,X,X,X,X,X
TJSOZIL,O,X,X,X,X,X,O,X,X
TJSOZLI,O,X,X,O,X,X,X,X,X
TJZILSO,O,O,O,X,X,X,X,X,X
TJZILOS,O,O,O,O,X,X,X,X,X
TJZISLO,O,O,O,X,X,X,X,X,X
TJZISOL,X,X,O,X,X,X,X,X,X
TJZIOLS,X,X,O,X,X,X,O,X,X
TJZIOSL,X,X,O,X,X,X,O,X,X
TJZLISO,O,O,O,X,X,X,X,X,X
TJZLIOS,O,O,O,O,X,X,X,X,X
TJZLSIO,O,X,X,O,X,X,X,X,X
TJZLSOI,O,O,O,O,X,X,X,X,X
TJZLOIS,O,O,O,O,X,X,X,X,X
TJZLOSI,X,O,O,O,X,X,X,X,X
TJZSILO,O,X,X,O,X,X,X,X,O
TJZSIOL,X,X,X,X,X,X,O,X,O
TJZSLIO,O,X,X,O,X,X,X,X,X
TJZSLOI,O,O,O,O,X,X,X,X,X
TJZSOIL,O,X,X,X,X,X,O,X,X
TJZSOLI,O,X,O,O,X,X,X,X,X
TJZOILS,O,X,O,X,X,X,O,X,X
TJZOISL,O,X,O,X,X,X,O,X,X
TJZOLIS,O,X,O,O,X,X,X,X,X
TJZOLSI,X,X,O,O,X,X,X,X,X
TJZOSIL,O,X,X,X,X,X,O,X,X
TJZOSLI,O,X,O,O,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,O,X,X
TJOILZS,X,X,X,X,X,X,O,X,X
TJOISLZ,X,X,X,X,X,X,O,X,X
TJOISZL,X,X,X,X,X,X,O,X,X
TJOIZLS,X,X,X,X,X,X,O,X,X
TJOIZSL,X,X,X,X,X,X,O,X,X
TJOLISZ,X,X,X,X,X,X,O,X,X
TJOLIZS,X,X,X,X,X,X,O,X,X
TJOLSIZ,X,X,X,X,X,X,O,X,X
TJOLSZI,X,X,X,O,X,X,X,X,X
TJOLZIS,O,X,X,O,X,X,X,X,X
TJOLZSI,X,X,X,O,X,X,X,X,X
TJOSILZ,X,X,X,X,X,X,O,X,O
TJOSIZL,X,X,X,X,X,X,O,X,O
TJOSLIZ,X,X,X,X,X,X,O,X,X
TJOSLZI,O,X,X,O,X,X,X,X,X
TJOSZIL,O,X,X,X,X,X,O,X,X
TJOSZLI,O,X,X,O,X,X,X,X,X
TJOZILS,O,X,X,X,X,X,O,X,X
TJOZISL,O,X,X,X,X,X,O,X,X
TJOZLIS,O,X,X,O,X,X,X,X,X
TJOZLSI,X,X,X,O,X,X,X,X,X
TJOZSIL,O,X,X,X,X,X,O,X,X
TJOZSLI,O,X,X,O,X,X,X,X,X
TSILJZO,X,X,X,X,X,X,X,X,O
TSILJOZ,X,X,X,X,X,X,O,X,O
TSILZJO,O,X,X,X,X,X,X,X,X
TSILZOJ,O,X,X,X,X,X,X,O,X
TSILOJZ,X,X,X,X,X,X,O,X,X
TSILOZJ,O,X,X,X,X,X,X,O,X
TSIJLZO,X,X,X,X,X,X,X,X,O
TSIJLOZ,X,X,X,X,X,X,O,X,O
TSIJZLO,X,X,X,X,X,X,X,X,O
TSIJZOL,X,X,X,X,X,X,O,X,O
TSIJOLZ,X,X,X,X,X,X,O,X,O
TSIJOZL,X,X,X,X,X,X,O,X,O
TSIZLJO,O,X,X,X,X,X,X,X,X
TSIZLOJ,O,X,X,X,X,X,X,O,X
TSIZJLO,O,X,X,X,X,X,X,X,O
TSIZJOL,X,X,X,X,X,X,O,X,O
TSIZOLJ,O,X,X,X,X,X,X,O,X
TSIZOJL,O,X,X,X,X,X,O,X,X
TSIOLJZ,X,X,X,X,X,X,O,X,X
TSIOLZJ,O,X,X,X,X,X,X,O,X
TSIOJLZ,X,X,X,X,X,X,O,X,O
TSIOJZL,X,X,X,X,X,X,O,X,O
TSIOZLJ,O,X,X,X,X,X,X,O,X
TSIOZJL,O,X,X,X,X,X,O,X,X
TSLIJZO,X,O,X,X,X,X,X,X,O
TSLIJOZ,X,O,X,X,X,X,O,X,O
TSLIZJO,O,X,X,X,X,X,X,X,X
TSLIZOJ,O,X,X,X,X,X,X,O,X
TSLIOJZ,X,O,X,X,X,X,O,X,X
TSLIOZJ,O,X,X,X,X,X,X,O,X
TSLJIZO,X,X,X,X,X,X,X,X,O
TSLJIOZ,X,X,X,X,X,X,O,X,O
TSLJZIO,O,X,X,O,X,X,X,X,X
TSLJZOI,O,O,X,O,X,X,X,O,X
TSLJOIZ,X,X,X,X,X,X,O,X,X
TSLJOZI,O,O,X,O,X,X,X,O,X
TSLZIJO,O,X,X,X,X,X,X,X,X
TSLZIOJ,O,X,X,X,X,X,X,O,X
TSLZJIO,O,X,X,O,X,X,X,X,X
TSLZJOI,O,X,X,O,X,X,X,O,X
TSLZOIJ,O,X,X,X,X,X,X,O,X
TSLZOJI,O,X,X,O,X,X,X,O,X
TSLOIJZ,X,O,X,X,X,X,O,X,X
TSLOIZJ,O,X,X,X,X,X,X,O,X
TSLOJIZ,X,X,X,X,X,X,O,X,X
TSLOJZI,O,O,X,O,X,X,X,O,X
TSLOZIJ,O,X,X,X,X,X,X,O,X
TSLOZJI,O,X,X,O,X,X,X,O,X
TSJILZO,X,X,X,X,X,X,X,X,O
TSJILOZ,X,X,X,X,X,X,O,X,O
TSJIZLO,X,X,X,X,X,X,X,X,O
TSJIZOL,X,X,X,X,X,X,O,X,O
TSJIOLZ,X,X,X,X,X,X,O,X,O
TSJIOZL,X,X,X,X,X,X,O,X,O
TSJLIZO,X,X,X,X,X,X,X,X,O
TSJLIOZ,X,X,X,X,X,X,O,X,O
TSJLZIO,O,X,X,O,X,X,X,X,X
TSJLZOI,O,O,O,O,X,X,X,O,X
TSJLOIZ,X,X,X,X,X,X,O,X,X
TSJLOZI,O,O,X,O,X,X,X,O,X
TSJZILO,O,X,X,O,X,X,X,X,O
TSJZIOL,X,X,X,X,X,X,O,X,O
TSJZLIO,O,X,X,O,X,X,X,X,X
TSJZLOI,O,O,O,O,X,X,X,O,X
TSJZOIL,O,X,X,X,X,X,O,X,X
TSJZOLI,O,X,O,O,X,X,X,O,X
TSJOILZ,X,X,X,X,X,X,O,X,O
TSJOIZL,X,X,X,X,X,X,O,X,O
TSJOLIZ,X,X,X,X,X,X,O,X,X
TSJOLZI,O,X,X,O,X,X,X,O,X
TSJOZIL,O,X,X,X,X,X,O,X,X
TSJOZLI,O,X,X,O,X,X,X,O,X
TSZILJO,O,X,X,X,X,X,X,X,X
TSZILOJ,O,X,X,X,X,X,X,O,X
TSZIJLO,O,X,O,X,X,X,X,X,O
TSZIJOL,X,X,O,X,X,X,O,X,O
TSZIOLJ,O,X,X,X,X,X,X,O,X
TSZIOJL,O,X,O,X,X,X,O,X,X
TSZLIJO,O,X,X,X,X,X,X,X,X
TSZLIOJ,O,X,X,X,X,X,X,O,X
TSZLJIO,O,X,X,O,X,X,X,X,X
TSZLJOI,O,X,X,O,X,X,X,O,X
TSZLOIJ,O,X,X,X,X,X,X,O,X
TSZLOJI,O,X,X,O,X,X,X,O,X
TSZJILO,O,X,X,O,X,X,X,X,O
TSZJIOL,X,X,X,X,X,X,O,X,O
TSZJLIO,O,X,X,O,X,X,X,X,X
TSZJLOI,O,X,O,O,X,X,X,O,X
TSZJOIL,O,X,X,X,X,X,O,X,X
TSZJOLI,O,X,O,O,X,X,X,O,X
TSZOILJ,O,X,X,X,X,X,X,O,X
TSZOIJL,O,X,O,X,X,X,O,X,X
TSZOLIJ,O,X,X,X,X,X,X,O,X
TSZOLJI,O,X,X,O,X,X,X,O,X
TSZOJIL,O,X,X,X,X,X,O,X,X
TSZOJLI,O,X,O,O,X,X,X,O,X
TSOILJZ,X,O,X,X,X,X,O,X,X
TSOILZJ,O,X,X,X,X,X,X,O,X
TSOIJLZ,X,X,X,X,X,X,O,X,O
TSOIJZL,X,X,X,X,X,X,O,X,O
TSOIZLJ,O,X,X,X,X,X,X,O,X
TSOIZJL,O,X,O,X,X,X,O,X,X
TSOLIJZ,X,O,X,X,X,X,O,X,X
TSOLIZJ,O,X,X,X,X,X,X,O,X
TSOLJIZ,X,X,X,X,X,X,O,X,X
TSOLJZI,O,O,X,O,X,X,X,O,X
TSOLZIJ,O,X,X,X,X,X,X,O,X
TSOLZJI,O,X,X,O,X,X,X,O,X
TSOJILZ,X,X,X,X,X,X,O,X,O
TSOJIZL,X,X,X,X,X,X,O,X,O
TSOJLIZ,X,X,X,X,X,X,O,X,X
TSOJLZI,O,X,X,O,X,X,X,O,X
TSOJZIL,O,X,X,X,X,X,O,X,X
TSOJZLI,O,X,X,O,X,X,X,O,X
TSOZILJ,O,X,X,X,X,X,X,O,X
TSOZIJL,O,X,O,X,X,X,O,X,X
TSOZLIJ,O,X,X,X,X,X,X,O,X
TSOZLJI,O,X,X,O,X,X,X,O,X
TSOZJIL,O,X,X,X,X,X,O,X,X
TSOZJLI,O,X,O,O,X,X,X,O,X
TZILJSO,O,X,O,X,O,X,X,X,X
TZILJOS,O,X,O,X,O,O,X,X,X
TZILSJO,O,X,X,X,O,X,X,X,X
TZILSOJ,O,X,X,X,O,X,X,X,X
TZILOJS,O,X,O,X,O,O,X,X,X
TZILOSJ,O,X,X,X,O,X,X,X,X
TZIJLSO,O,X,O,X,O,X,X,X,X
TZIJLOS,O,X,O,X,O,O,X,X,X
TZIJSLO,O,X,O,X,O,O,X,X,X
TZIJSOL,X,X,O,X,X,O,X,X,X
TZIJOLS,X,X,O,X,O,O,O,X,X
TZIJOSL,X,X,O,X,X,O,O,X,X
TZISLJO,O,X,X,X,O,O,X,X,X
TZISLOJ,O,X,X,X,O,O,X,X,X
TZISJLO,O,X,O,X,O,O,X,X,X
TZISJOL,X,X,O,X,X,O,X,X,X
TZISOLJ,O,X,X,X,O,O,X,X,X
TZISOJL,O,X,O,X,X,O,X,X,X
TZIOLJS,O,X,O,X,O,O,X,X,X
TZIOLSJ,O,X,X,X,O,X,X,O,X
TZIOJLS,O,X,O,X,O,O,O,X,X
