sequence,v115@NhA8HeF8DeE8Je0/IvhFRiBSoB/pBFmBTqBmqB,v115@NhA8HeF8DeE8JeUBJvhFRiBSoB/pBFlBzqBmpB,v115@NhA8HeF8DeE8JeT/IvhFRiBSoB/qBFmB0pBmqB,v115@NhA8HeF8DeE8JeT/IvhFlgBRiBSoB/qBOrB0pB,v115@NhA8HeF8DeE8Jem/IvhFUhBRiBSoBTkBfrBVvB,v115@NhA8HeF8DeE8JeRCJvhFSoBTkB/qBFmB0pBmqB,v115@NhA8HeF8DeE8Jex/IvhFGiBTjB/pBUlBFmByvB,v115@NhA8HeF8DeE8JeOEJvhF8kBRiBSoBFmBXqBzqB
TIOJLZS,X,X,X,X,O,X,X,X
TIOJSLZ,O,X,X,X,O,X,X,X
TIOJSZL,O,X,X,X,O,X,O,X
TIOJZLS,X,X,X,X,O,X,X,X
TIOJZSL,X,X,X,X,O,X,X,X
TIOSLJZ,O,O,X,X,O,O,X,X
TIOSLZJ,O,O,O,X,O,O,X,O
TIOSJLZ,O,O,X,X,O,O,X,X
TIOSJZL,O,O,X,X,O,X,O,X
TIOSZLJ,O,O,O,X,O,O,O,O
TIOSZJL,O,O,O,X,O,X,O,O
TIOZLJS,X,X,X,X,O,X,X,X
TIOZLSJ,O,O,X,X,O,X,X,X
TIOZJLS,X,X,X,X,O,X,X,X
TIOZJSL,X,X,X,X,O,X,X,X
TIOZSLJ,O,O,X,X,O,X,X,X
TIOZSJL,O,O,X,X,O,X,X,X
TLIJSZO,O,X,O,O,O,X,X,O
TLIJSOZ,X,X,X,O,O,O,X,X
TLIJZSO,X,X,X,O,O,X,X,X
TLIJZOS,X,X,X,O,X,X,X,X
TLIJOSZ,O,X,X,O,O,X,X,X
TLIJOZS,X,X,X,X,O,X,X,X
TLISJZO,O,X,O,O,O,X,X,O
TLISJOZ,X,X,X,X,O,O,X,X
TLISZJO,O,X,O,O,O,X,X,O
TLISZOJ,O,X,O,O,O,O,X,O
TLISOJZ,O,O,X,X,O,O,X,X
TLISOZJ,O,O,O,O,O,O,X,O
TLIZJSO,X,X,X,O,O,X,X,X
TLIZJOS,X,X,X,O,X,X,X,X
TLIZSJO,O,X,O,O,O,X,X,O
TLIZSOJ,O,X,O,O,O,O,X,O
TLIZOJS,X,X,X,O,O,X,X,X
TLIZOSJ,O,O,O,O,O,X,X,X
TLIOJSZ,O,X,X,X,O,X,X,X
TLIOJZS,X,X,X,X,O,X,X,X
TLIOSJZ,O,O,X,X,O,O,X,X
TLIOSZJ,O,O,O,X,O,O,X,O
TLIOZJS,X,X,X,X,O,X,X,X
TLIOZSJ,O,O,X,X,O,X,X,X
TLJISZO,O,X,O,O,O,X,X,O
TLJISOZ,X,X,X,O,O,O,X,X
TLJIZSO,X,X,X,O,O,X,X,X
TLJIZOS,X,X,X,O,X,X,X,X
TLJIOSZ,O,X,X,O,O,X,X,X
TLJIOZS,X,X,X,X,O,X,X,X
TLJSIZO,O,X,O,O,O,X,X,O
TLJSIOZ,X,X,X,O,O,O,X,X
TLJSZIO,O,X,O,O,O,X,O,O
TLJSZOI,O,X,O,O,O,X,O,O
TLJSOIZ,X,X,X,O,O,O,X,X
TLJSOZI,X,X,X,O,O,O,O,X
TLJZISO,X,X,X,O,O,X,X,X
TLJZIOS,X,X,X,O,X,X,X,X
TLJZSIO,X,X,X,O,O,X,X,X
TLJZSOI,X,X,X,O,O,X,X,X
TLJZOIS,X,X,X,O,X,X,X,X
TLJZOSI,X,X,X,O,X,X,X,X
TLJOISZ,O,X,X,O,O,X,X,X
TLJOIZS,X,X,X,X,O,X,X,X
TLJOSIZ,O,X,X,O,O,X,X,X
TLJOSZI,O,X,X,O,O,X,O,X
TLJOZIS,X,X,X,X,O,X,X,X
TLJOZSI,X,X,X,X,O,X,X,X
TLSIJZO,O,X,O,O,O,X,X,O
TLSIJOZ,X,X,X,X,O,O,X,X
TLSIZJO,O,X,O,O,O,X,X,O
TLSIZOJ,O,X,O,O,O,O,X,O
TLSIOJZ,O,O,X,X,O,O,X,X
TLSIOZJ,O,O,O,O,O,O,X,O
TLSJIZO,O,X,O,O,O,X,X,O
TLSJIOZ,X,X,X,O,O,O,X,X
TLSJZIO,O,X,O,O,O,X,O,O
TLSJZOI,O,X,O,O,O,X,O,O
TLSJOIZ,X,X,X,O,O,O,X,X
TLSJOZI,X,X,X,O,O,O,O,X
TLSZIJO,O,X,O,O,O,X,O,O
TLSZIOJ,O,X,O,O,O,O,O,O
TLSZJIO,O,X,O,O,O,X,O,O
TLSZJOI,O,X,O,O,O,X,O,O
TLSZOIJ,O,X,O,O,O,O,O,O
TLSZOJI,O,X,O,O,O,O,O,O
TLSOIJZ,O,O,X,X,O,O,X,X
TLSOIZJ,O,O,O,O,O,O,X,O
TLSOJIZ,O,O,X,X,O,O,X,X
TLSOJZI,O,O,X,X,O,O,O,X
TLSOZIJ,O,O,O,O,O,O,O,O
TLSOZJI,O,O,O,O,O,O,O,O
TLZIJSO,X,X,X,O,O,X,X,X
TLZIJOS,X,X,X,O,X,X,X,X
TLZISJO,O,X,O,O,O,X,X,O
TLZISOJ,O,X,O,O,O,O,X,O
TLZIOJS,X,X,X,O,O,X,X,X
TLZIOSJ,O,O,O,O,O,X,X,X
TLZJISO,X,X,X,O,O,X,X,X
TLZJIOS,X,X,X,O,X,X,X,X
TLZJSIO,X,X,X,O,O,X,X,X
TLZJSOI,X,X,X,O,O,X,X,X
TLZJOIS,X,X,X,O,X,X,X,X
TLZJOSI,X,X,X,O,X,X,X,X
TLZSIJO,O,X,O,O,O,X,X,O
TLZSIOJ,O,X,O,O,O,O,X,O
TLZSJIO,O,X,O,O,O,X,X,O
TLZSJOI,O,X,O,O,O,X,X,O
TLZSOIJ,O,X,O,O,O,O,X,O
TLZSOJI,O,X,O,O,O,O,X,O
TLZOIJS,X,X,X,O,O,X,X,X
TLZOISJ,O,O,O,O,O,X,X,X
TLZOJIS,X,X,X,O,O,X,X,X
TLZOJSI,X,X,X,O,O,X,X,X
TLZOSIJ,O,O,O,O,O,X,X,X
TLZOSJI,O,O,O,O,O,X,X,X
TLOIJSZ,O,X,X,X,O,X,X,X
TLOIJZS,X,X,X,X,O,X,X,X
TLOISJZ,O,O,X,X,O,O,X,X
TLOISZJ,O,O,O,X,O,O,X,O
TLOIZJS,X,X,X,X,O,X,X,X
TLOIZSJ,O,O,X,X,O,X,X,X
TLOJISZ,O,X,X,X,O,X,X,X
TLOJIZS,X,X,X,X,O,X,X,X
TLOJSIZ,O,X,X,X,O,X,X,X
TLOJSZI,O,X,X,X,O,X,O,X
TLOJZIS,X,X,X,X,O,X,X,X
TLOJZSI,X,X,X,X,O,X,X,X
TLOSIJZ,O,O,X,X,O,O,X,X
TLOSIZJ,O,O,O,X,O,O,X,O
TLOSJIZ,O,O,X,X,O,O,X,X
TLOSJZI,O,O,X,X,O,O,O,X
TLOSZIJ,O,O,O,X,O,O,O,O
TLOSZJI,O,O,O,X,O,O,O,O
TLOZIJS,X,X,X,X,O,X,X,X
TLOZISJ,O,O,X,X,O,X,X,X
TLOZJIS,X,X,X,X,O,X,X,X
TLOZJSI,X,X,X,X,O,X,X,X
TLOZSIJ,O,O,X,X,O,X,X,X
TLOZSJI,O,O,X,X,O,X,X,X
TJILSZO,O,X,O,O,O,X,X,O
TJILSOZ,X,X,X,O,O,O,X,X
TJILZSO,X,X,X,O,O,X,X,X
TJILZOS,X,X,X,O,X,X,X,X
TJILOSZ,O,X,X,O,O,X,X,X
TJILOZS,X,X,X,X,O,X,X,X
TJISLZO,O,X,O,O,O,X,X,O
TJISLOZ,X,X,X,O,O,O,X,X
TJISZLO,O,X,O,O,O,X,O,O
TJISZOL,X,X,O,O,O,X,O,O
TJISOLZ,X,X,X,O,O,O,X,X
TJISOZL,X,X,X,O,O,X,O,X
TJIZLSO,X,X,X,O,O,X,X,X
TJIZLOS,X,X,X,O,X,X,X,X
TJIZSLO,X,X,X,O,O,X,X,X
TJIZSOL,X,X,X,O,O,X,X,X
TJIZOLS,X,X,X,O,X,X,X,X
TJIZOSL,X,X,X,O,X,X,X,X
TJIOLSZ,O,X,X,O,O,X,X,X
TJIOLZS,X,X,X,X,O,X,X,X
TJIOSLZ,O,X,X,O,O,X,X,X
TJIOSZL,O,X,X,O,O,X,O,X
TJIOZLS,X,X,X,X,O,X,X,X
TJIOZSL,X,X,X,X,O,X,X,X
TJLISZO,O,X,O,O,O,X,X,O
TJLISOZ,X,X,X,O,O,O,X,X
TJLIZSO,X,X,X,O,O,X,X,X
TJLIZOS,X,X,X,O,X,X,X,X
TJLIOSZ,O,X,X,O,O,X,X,X
TJLIOZS,X,X,X,X,O,X,X,X
TJLSIZO,O,X,O,O,O,X,X,O
TJLSIOZ,X,X,X,O,O,O,X,X
TJLSZIO,O,X,O,O,O,X,O,O
TJLSZOI,O,X,O,O,O,X,O,O
TJLSOIZ,X,X,X,O,O,O,X,X
TJLSOZI,X,X,X,O,O,O,O,X
TJLZISO,X,X,X,O,O,X,X,X
TJLZIOS,X,X,X,O,X,X,X,X
TJLZSIO,X,X,X,O,O,X,X,X
TJLZSOI,X,X,X,O,O,X,X,X
TJLZOIS,X,X,X,O,X,X,X,X
TJLZOSI,X,X,X,O,X,X,X,X
TJLOISZ,O,X,X,O,O,X,X,X
TJLOIZS,X,X,X,X,O,X,X,X
TJLOSIZ,O,X,X,O,O,X,X,X
TJLOSZI,O,X,X,O,O,X,O,X
TJLOZIS,X,X,X,X,O,X,X,X
TJLOZSI,X,X,X,X,O,X,X,X
TJSILZO,O,X,O,O,O,X,X,O
TJSILOZ,X,X,X,O,O,O,X,X
TJSIZLO,O,X,O,O,O,X,O,O
TJSIZOL,X,X,O,O,O,X,O,O
TJSIOLZ,X,X,X,O,O,O,X,X
TJSIOZL,X,X,X,O,O,X,O,X
TJSLIZO,O,X,O,O,O,X,X,O
TJSLIOZ,X,X,X,O,O,O,X,X
TJSLZIO,O,X,O,O,O,X,O,O
TJSLZOI,O,X,O,O,O,X,O,O
TJSLOIZ,X,X,X,O,O,O,X,X
TJSLOZI,X,X,X,O,O,O,O,X
TJSZILO,O,X,O,O,O,X,O,O
TJSZIOL,X,X,O,O,O,X,O,O
TJSZLIO,O,X,O,O,O,X,O,O
TJSZLOI,O,X,O,O,O,X,O,O
TJSZOIL,X,X,O,O,O,X,O,O
TJSZOLI,X,X,O,O,O,X,O,O
TJSOILZ,X,X,X,O,O,O,X,X
TJSOIZL,X,X,X,O,O,X,O,X
TJSOLIZ,X,X,X,O,O,O,X,X
TJSOLZI,X,X,X,O,O,O,O,X
TJSOZIL,X,X,X,O,O,X,O,X
TJSOZLI,X,X,X,O,O,X,O,X
TJZILSO,X,X,X,O,O,X,X,X
TJZILOS,X,X,X,O,X,X,X,X
TJZISLO,X,X,X,O,O,X,X,X
TJZISOL,X,X,X,O,O,X,X,X
TJZIOLS,X,X,X,O,X,X,X,X
TJZIOSL,X,X,X,O,X,X,X,X
TJZLISO,X,X,X,O,O,X,X,X
TJZLIOS,X,X,X,O,X,X,X,X
TJZLSIO,X,X,X,O,O,X,X,X
TJZLSOI,X,X,X,O,O,X,X,X
TJZLOIS,X,X,X,O,X,X,X,X
TJZLOSI,X,X,X,O,X,X,X,X
TJZSILO,X,X,X,O,O,X,O,X
TJZSIOL,X,X,X,O,O,X,O,X
TJZSLIO,X,X,X,O,O,X,O,X
TJZSLOI,X,X,X,O,O,X,O,X
TJZSOIL,X,X,X,O,O,X,O,X
TJZSOLI,X,X,X,O,O,X,O,X
TJZOILS,X,X,X,O,X,X,X,X
TJZOISL,X,X,X,O,X,X,X,X
TJZOLIS,X,X,X,O,X,X,X,X
TJZOLSI,X,X,X,O,X,X,X,X
TJZOSIL,X,X,X,O,X,X,O,X
TJZOSLI,X,X,X,O,X,X,O,X
TJOILSZ,O,X,X,O,O,X,X,X
TJOILZS,X,X,X,X,O,X,X,X
TJOISLZ,O,X,X,O,O,X,X,X
TJOISZL,O,X,X,O,O,X,O,X
TJOIZLS,X,X,X,X,O,X,X,X
TJOIZSL,X,X,X,X,O,X,X,X
TJOLISZ,O,X,X,O,O,X,X,X
TJOLIZS,X,X,X,X,O,X,X,X
TJOLSIZ,O,X,X,O,O,X,X,X
TJOLSZI,O,X,X,O,O,X,O,X
TJOLZIS,X,X,X,X,O,X,X,X
TJOLZSI,X,X,X,X,O,X,X,X
TJOSILZ,O,X,X,O,O,X,X,X
TJOSIZL,O,X,X,O,O,X,O,X
TJOSLIZ,O,X,X,O,O,X,X,X
TJOSLZI,O,X,X,O,O,X,O,X
TJOSZIL,O,X,X,O,O,X,O,X
TJOSZLI,O,X,X,O,O,X,O,X
TJOZILS,X,X,X,X,O,X,X,X
TJOZISL,X,X,X,X,O,X,X,X
TJOZLIS,X,X,X,X,O,X,X,X
TJOZLSI,X,X,X,X,O,X,X,X
TJOZSIL,X,X,X,X,O,X,O,X
TJOZSLI,X,X,X,X,O,X,O,X
TSILJZO,O,X,O,O,O,X,X,O
TSILJOZ,X,X,X,X,O,O,X,X
TSILZJO,O,X,O,O,O,X,X,O
TSILZOJ,O,X,O,O,O,O,X,O
TSILOJZ,O,O,X,X,O,O,X,X
TSILOZJ,O,O,O,O,O,O,X,O
TSIJLZO,O,X,O,O,O,X,X,O
TSIJLOZ,X,X,X,X,O,O,X,X
TSIJZLO,O,X,O,O,O,X,O,O
TSIJZOL,X,X,O,O,O,X,O,O
TSIJOLZ,X,X,X,X,O,O,X,X
TSIJOZL,X,X,X,X,O,X,O,X
TSIZLJO,O,X,O,O,O,X,O,O
TSIZLOJ,O,X,O,O,O,O,O,O
TSIZJLO,O,X,O,O,O,X,O,O
TSIZJOL,X,X,O,O,O,X,O,O
TSIZOLJ,O,X,O,O,O,O,O,O
TSIZOJL,O,X,O,O,O,X,O,O
TSIOLJZ,O,O,X,X,O,O,X,X
TSIOLZJ,O,O,O,O,O,O,X,O
TSIOJLZ,O,O,X,X,O,O,X,X
TSIOJZL,O,O,X,X,O,X,O,X
TSIOZLJ,O,O,O,O,O,O,O,O
TSIOZJL,O,O,O,O,O,X,O,O
TSLIJZO,O,X,O,O,O,X,X,O
TSLIJOZ,X,X,X,X,O,O,X,X
TSLIZJO,O,X,O,O,O,X,X,O
TSLIZOJ,O,X,O,O,O,O,X,O
TSLIOJZ,O,O,X,X,O,O,X,X
TSLIOZJ,O,O,O,O,O,O,X,O
TSLJIZO,O,X,O,O,O,X,X,O
TSLJIOZ,X,X,X,O,O,O,X,X
TSLJZIO,O,X,O,O,O,X,O,O
TSLJZOI,O,X,O,O,O,X,O,O
TSLJOIZ,X,X,X,O,O,O,X,X
TSLJOZI,X,X,X,O,O,O,O,X
TSLZIJO,O,X,O,O,O,X,O,O
TSLZIOJ,O,X,O,O,O,O,O,O
TSLZJIO,O,X,O,O,O,X,O,O
TSLZJOI,O,X,O,O,O,X,O,O
TSLZOIJ,O,X,O,O,O,O,O,O
TSLZOJI,O,X,O,O,O,O,O,O
TSLOIJZ,O,O,X,X,O,O,X,X
TSLOIZJ,O,O,O,O,O,O,X,O
TSLOJIZ,O,O,X,X,O,O,X,X
TSLOJZI,O,O,X,X,O,O,O,X
TSLOZIJ,O,O,O,O,O,O,O,O
TSLOZJI,O,O,O,O,O,O,O,O
TSJILZO,O,X,O,O,O,X,X,O
TSJILOZ,X,X,X,O,O,O,X,X
TSJIZLO,O,X,O,O,O,X,O,O
TSJIZOL,X,X,O,O,O,X,O,O
TSJIOLZ,X,X,X,O,O,O,X,X
TSJIOZL,X,X,X,O,O,X,O,X
TSJLIZO,O,X,O,O,O,X,X,O
TSJLIOZ,X,X,X,O,O,O,X,X
TSJLZIO,O,X,O,O,O,X,O,O
TSJLZOI,O,X,O,O,O,X,O,O
TSJLOIZ,X,X,X,O,O,O,X,X
TSJLOZI,X,X,X,O,O,O,O,X
TSJZILO,O,X,O,O,O,X,O,O
TSJZIOL,X,X,O,O,O,X,O,O
TSJZLIO,O,X,O,O,O,X,O,O
TSJZLOI,O,X,O,O,O,X,O,O
TSJZOIL,X,X,O,O,O,X,O,O
TSJZOLI,X,X,O,O,O,X,O,O
TSJOILZ,X,X,X,O,O,O,X,X
TSJOIZL,X,X,X,O,O,X,O,X
TSJOLIZ,X,X,X,O,O,O,X,X
TSJOLZI,X,X,X,O,O,O,O,X
TSJOZIL,X,X,X,O,O,X,O,X
TSJOZLI,X,X,X,O,O,X,O,X
TSZILJO,O,X,O,O,O,X,O,O
TSZILOJ,O,X,O,O,O,O,O,O
TSZIJLO,O,X,O,O,O,X,O,O
TSZIJOL,X,X,O,O,O,X,O,O
TSZIOLJ,O,X,O,O,O,O,O,O
TSZIOJL,O,X,O,O,O,X,O,O
TSZLIJO,O,X,O,O,O,X,O,O
TSZLIOJ,O,X,O,O,O,O,O,O
TSZLJIO,O,X,O,O,O,X,O,O
TSZLJOI,O,X,O,O,O,X,O,O
TSZLOIJ,O,X,O,O,O,O,O,O
TSZLOJI,O,X,O,O,O,O,O,O
TSZJILO,O,X,O,O,O,X,O,O
TSZJIOL,X,X,O,O,O,X,O,O
TSZJLIO,O,X,O,O,O,X,O,O
TSZJLOI,O,X,O,O,O,X,O,O
TSZJOIL,X,X,O,O,O,X,O,O
TSZJOLI,X,X,O,O,O,X,O,O
TSZOILJ,O,X,O,O,O,O,O,O
TSZOIJL,O,X,O,O,O,X,O,O
TSZOLIJ,O,X,O,O,O,O,O,O
TSZOLJI,O,X,O,O,O,O,O,O
TSZOJIL,O,X,O,O,O,X,O,O
TSZOJLI,O,X,O,O,O,X,O,O
TSOILJZ,O,O,X,X,O,O,X,X
TSOILZJ,O,O,O,O,O,O,X,O
TSOIJLZ,O,O,X,X,O,O,X,X
TSOIJZL,O,O,X,X,O,X,O,X
TSOIZLJ,O,O,O,O,O,O,O,O
TSOIZJL,O,O,O,O,O,X,O,O
TSOLIJZ,O,O,X,X,O,O,X,X
TSOLIZJ,O,O,O,O,O,O,X,O
TSOLJIZ,O,O,X,X,O,O,X,X
TSOLJZI,O,O,X,X,O,O,O,X
TSOLZIJ,O,O,O,O,O,O,O,O
TSOLZJI,O,O,O,O,O,O,O,O
TSOJILZ,O,O,X,X,O,O,X,X
TSOJIZL,O,O,X,X,O,X,O,X
TSOJLIZ,O,O,X,X,O,O,X,X
TSOJLZI,O,O,X,X,O,O,O,X
TSOJZIL,O,O,X,X,O,X,O,X
TSOJZLI,O,O,X,X,O,X,O,X
TSOZILJ,O,O,O,O,O,O,O,O
TSOZIJL,O,O,O,O,O,X,O,O
TSOZLIJ,O,O,O,O,O,O,O,O
TSOZLJI,O,O,O,O,O,O,O,O
TSOZJIL,O,O,O,O,O,X,O,O
TSOZJLI,O,O,O,O,O,X,O,O
TZILJSO,X,X,X,O,O,X,X,X
TZILJOS,X,X,X,O,X,X,X,X
TZILSJO,O,X,O,O,O,X,X,O
TZILSOJ,O,X,O,O,O,O,X,O
TZILOJS,X,X,X,O,O,X,X,X
TZILOSJ,O,O,O,O,O,X,X,X
TZIJLSO,X,X,X,O,O,X,X,X
TZIJLOS,X,X,X,O,X,X,X,X
TZIJSLO,X,X,X,O,O,X,X,X
TZIJSOL,X,X,X,O,O,X,X,X
TZIJOLS,X,X,X,O,X,X,X,X
TZIJOSL,X,X,X,O,X,X,X,X
TZISLJO,O,X,O,O,O,X,X,O
TZISLOJ,O,X,O,O,O,O,X,O
TZISJLO,O,X,O,O,O,X,X,O
TZISJOL,X,X,O,O,O,X,X,O
TZISOLJ,O,X,O,O,O,O,X,O
TZISOJL,X,X,O,O,O,X,X,O
TZIOLJS,X,X,X,O,O,X,X,X
TZIOLSJ,O,O,O,O,O,X,X,X
TZIOJLS,X,X,X,O,O,X,X,X
TZIOJSL,X,X,X,O,O,X,X,X
TZIOSLJ,O,O,O,O,O,X,X,X
TZIOSJL,O,O,O,O,O,X,X,X
TZLIJSO,X,X,X,O,O,X,X,X
TZLIJOS,X,X,X,O,X,X,X,X
TZLISJO,O,X,O,O,O,X,X,O
TZLISOJ,O,X,O,O,O,O,X,O
TZLIOJS,X,X,X,O,O,X,X,X
TZLIOSJ,O,O,O,O,O,X,X,X
TZLJISO,X,X,X,O,O,X,X,X
TZLJIOS,X,X,X,O,X,X,X,X
TZLJSIO,X,X,X,O,O,X,X,X
TZLJSOI,X,X,X,O,O,X,X,X
TZLJOIS,X,X,X,O,X,X,X,X
TZLJOSI,X,X,X,O,X,X,X,X
TZLSIJO,O,X,O,O,O,X,X,O
TZLSIOJ,O,X,O,O,O,O,X,O
TZLSJIO,O,X,O,O,O,X,X,O
TZLSJOI,O,X,O,O,O,X,X,O
TZLSOIJ,O,X,O,O,O,O,X,O
TZLSOJI,O,X,O,O,O,O,X,O
TZLOIJS,X,X,X,O,O,X,X,X
TZLOISJ,O,O,O,O,O,X,X,X
TZLOJIS,X,X,X,O,O,X,X,X
TZLOJSI,X,X,X,O,O,X,X,X
TZLOSIJ,O,O,O,O,O,X,X,X
TZLOSJI,O,O,O,O,O,X,X,X
TZJILSO,X,X,X,O,O,X,X,X
TZJILOS,X,X,X,O,X,X,X,X
TZJISLO,X,X,X,O,O,X,X,X
TZJISOL,X,X,X,O,O,X,X,X
TZJIOLS,X,X,X,O,X,X,X,X
TZJIOSL,X,X,X,O,X,X,X,X
TZJLISO,X,X,X,O,O,X,X,X
TZJLIOS,X,X,X,O,X,X,X,X
TZJLSIO,X,X,X,O,O,X,X,X
TZJLSOI,X,X,X,O,O,X,X,X
TZJLOIS,X,X,X,O,X,X,X,X
TZJLOSI,X,X,X,O,X,X,X,X
TZJSILO,X,X,X,O,O,X,O,X
TZJSIOL,X,X,X,O,O,X,O,X
TZJSLIO,X,X,X,O,O,X,O,X
TZJSLOI,X,X,X,O,O,X,O,X
TZJSOIL,X,X,X,O,O,X,O,X
TZJSOLI,X,X,X,O,O,X,O,X
TZJOILS,X,X,X,O,X,X,X,X
TZJOISL,X,X,X,O,X,X,X,X
TZJOLIS,X,X,X,O,X,X,X,X
TZJOLSI,X,X,X,O,X,X,X,X
TZJOSIL,X,X,X,O,X,X,O,X
TZJOSLI,X,X,X,O,X,X,O,X
TZSILJO,O,X,O,O,O,X,O,O
