sequence,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeNFJvhF8mBziB5oBe?rBCmBXsB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeNFJvhFXiB8nB5oBe?rBCmBzrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeKFJvhFzgBmiB5oBc?sBXrBtrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KemAJvhFxiBTlBcsB6?tBXrBtrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeXBJvhFziB5oB2qBC?sBdsB0qB
TLOJZIS,X,O,X,X,X
TLOJZSI,X,O,X,X,X
TLOSIJZ,O,X,X,X,X
TLOSIZJ,O,X,O,X,X
TLOSJIZ,O,X,X,X,X
TLOSJZI,O,X,X,O,X
TLOSZIJ,O,X,O,O,X
TLOSZJI,O,X,X,O,X
TLOZIJS,X,O,X,X,X
TLOZISJ,X,O,X,O,X
TLOZJIS,X,O,X,X,X
TLOZJSI,X,O,X,X,X
TLOZSIJ,X,O,X,O,X
TLOZSJI,X,O,X,O,X
TJILSZO,O,X,X,X,O
TJILSOZ,O,X,X,X,O
TJILZSO,X,O,O,X,O
TJILZOS,X,O,X,X,O
TJILOSZ,O,X,X,X,O
TJILOZS,X,O,X,X,O
TJISLZO,O,X,X,X,O
TJISLOZ,O,X,X,X,O
TJISZLO,O,O,X,X,X
TJISZOL,O,O,X,X,X
TJISOLZ,O,X,X,X,X
TJISOZL,O,O,X,X,X
TJIZLSO,X,O,O,X,X
TJIZLOS,X,O,X,X,X
TJIZSLO,O,O,O,X,X
TJIZSOL,O,O,X,X,X
TJIZOLS,X,O,X,X,X
TJIZOSL,O,O,X,X,X
TJIOLSZ,O,X,X,X,O
TJIOLZS,X,O,X,X,O
TJIOSLZ,O,X,X,X,X
TJIOSZL,O,O,X,X,X
TJIOZLS,X,O,X,X,X
TJIOZSL,O,O,X,X,X
TJLISZO,O,X,X,X,O
TJLISOZ,O,X,X,X,O
TJLIZSO,X,O,O,X,O
TJLIZOS,X,O,X,X,O
TJLIOSZ,O,X,X,X,O
TJLIOZS,X,O,X,X,O
TJLSIZO,O,X,X,X,O
TJLSIOZ,O,X,X,X,O
TJLSZIO,O,X,X,X,X
TJLSZOI,O,X,X,X,X
TJLSOIZ,O,X,X,X,X
TJLSOZI,O,X,X,X,X
TJLZISO,X,O,O,X,X
TJLZIOS,X,O,X,X,X
TJLZSIO,X,O,O,X,X
TJLZSOI,X,X,X,X,X
TJLZOIS,X,O,X,X,X
TJLZOSI,X,O,X,X,X
TJLOISZ,O,X,X,X,O
TJLOIZS,X,O,X,X,O
TJLOSIZ,O,X,X,X,X
TJLOSZI,O,X,X,X,X
TJLOZIS,X,O,X,X,X
TJLOZSI,X,O,X,X,X
TJSILZO,O,X,X,X,O
TJSILOZ,O,X,X,X,O
TJSIZLO,O,O,X,X,X
TJSIZOL,O,O,X,X,X
TJSIOLZ,O,X,X,X,X
TJSIOZL,O,O,X,X,X
TJSLIZO,O,X,X,X,O
TJSLIOZ,O,X,X,X,O
TJSLZIO,O,X,X,X,X
TJSLZOI,O,X,X,X,X
TJSLOIZ,O,X,X,X,X
TJSLOZI,O,X,X,X,X
TJSZILO,O,O,X,X,X
TJSZIOL,O,O,X,X,X
TJSZLIO,O,O,X,X,X
TJSZLOI,O,X,X,X,X
TJSZOIL,O,O,X,X,X
TJSZOLI,O,O,X,X,X
TJSOILZ,O,X,X,X,X
TJSOIZL,O,O,X,X,X
TJSOLIZ,O,X,X,X,X
TJSOLZI,O,X,X,X,X
TJSOZIL,O,O,X,X,X
TJSOZLI,O,O,X,X,X
TJZILSO,X,O,O,X,X
TJZILOS,X,O,X,X,X
TJZISLO,O,O,O,X,X
TJZISOL,O,O,X,X,X
TJZIOLS,X,O,X,X,X
